SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.322156,0.410171,0.33485561176470585,0.011672885976898152,0.328228,0.331894,0.336556,255,11.701834,13.114099,12.216697078431373,0.24053532275158576,12.1111485,12.219905,12.3912965,255,0.282603,0.397607,0.29626979607843135,0.015005622609659154,0.2873015,0.290395,0.2987075,255,0.136395,0.201768,0.14466577647058823,0.012830671152384149,0.137968,0.139273,0.1433255,255,3.561939,3.984798,3.687448643137255,0.07765741817744377,3.618758,3.696378,3.7377255,255,3.561939,3.984798,3.687448643137255,0.07765741817744377,3.618758,3.696378,3.7377255,255,0.0255,0.05294,0.02740475294117647,0.0027809672005139666,0.0265095,0.026804,0.0272895,255,0.051724,0.071755,0.05365235294117647,0.002102406684632968,0.0527245,0.053109,0.053674,255,39.852151,56.24287,47.603401399999996,2.3605948144585924,47.5580095,47.817918,48.042898,255,27.176976,42.880484,34.869677137254904,2.3826689838548156,35.0512015,35.14037,35.2297235,255,0.02025,0.058229,0.022163592156862744,0.00279773533877328,0.021293,0.021713,0.0221455,255,21.790302,29.543492,22.3654802627451,1.5671198500343,21.90182,21.938587,21.976224,255,4.840383,15.091289,12.06535183137255,1.798078976901792,12.700282,12.758864,12.827737,255,0.393831,0.483773,0.4147128745098039,0.014664734609818517,0.405915,0.411913,0.4179145,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.893564,13.017456,9.28591229059829,0.298814869237363,9.07322,9.191768,9.4302,1755,8.626084,12.727859,8.994557035897436,0.2929650865683551,8.785188,8.895454,9.1373575,1755,0.004964,0.635876,0.17115034150047484,0.16549764562524028,0.03083425,0.1215755,0.26638225,10530,0.006276,0.302704,0.07821518898385565,0.07510340039989889,0.01546925,0.061888,0.1059235,10530,0.03726,4.963288,1.1488211081671413,1.1863933474675796,0.09497275,0.888811,1.6955665,10530,0.03726,4.963288,1.1488211081671413,1.1863933474675796,0.09497275,0.888811,1.6955665,10530,0.094068,0.188608,0.10876237037037037,0.013136840612542652,0.1004935,0.103319,0.1147145,1755,0.129347,0.241986,0.14082703874643876,0.012188285381409054,0.1340265,0.135988,0.142812,1755,23.986475,41.580248,30.76607467920228,3.6617212183806855,28.3476375,30.172949,32.6291265,1755,14.394703,30.945676,20.899235703133904,3.630842611888882,18.511365,20.360732,22.736022,1755,0.074466,0.166917,0.08600824615384615,0.010838628039293818,0.0804925,0.082883,0.0859215,1755,13.582047,29.735605,20.051568421652423,3.5376223176710977,17.7135085,19.524939,21.886341,1755,0.105353,0.770937,0.263716992022792,0.10671978235404402,0.2034515,0.237459,0.292575,1755,0.430634,0.700762,0.4957703082621082,0.03116601256749724,0.4742415,0.489697,0.513696,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.035712,1.653343,0.0913388,0.11818233944879412,0.037685,0.0784855,0.10729425,1000,0.193989,0.369123,0.216452959,0.02362477736215347,0.19933575,0.2046505,0.2332735,1000,0.001941,0.023368,0.0027076835,0.0010848763248996404,0.002169,0.002287,0.003064,4000,0.004097,0.025429,0.00521453925,0.0015193803736916695,0.00436975,0.004546,0.005796,4000,0.014905,0.058753,0.01791305325,0.002990665523326612,0.01585575,0.0168565,0.019082,4000,0.014905,0.058753,0.01791305325,0.002990665523326612,0.01585575,0.0168565,0.019082,4000,0.020106,0.063569,0.023282326000000002,0.004277245538395475,0.020732,0.0210285,0.02495725,1000,0.02567,0.058861,0.02820249,0.003537919130209169,0.0262715,0.0267435,0.0293885,1000,0.485597,2.363099,0.5925083830000001,0.15452577775822493,0.50219925,0.549364,0.6556265,1000,0.089879,0.237884,0.105284665,0.017494785147202437,0.092788,0.096398,0.11634925,1000,0.025293,0.074523,0.029214722000000002,0.005191803672011876,0.0261275,0.026661,0.03148,1000,0.041032,0.10526,0.048327695,0.009149303841493898,0.04203975,0.044572,0.05394675,1000,0.006233,0.035052,0.007628046,0.002267528954585586,0.006427,0.006608,0.008086,1000,0.016249,0.051299,0.019574678,0.0039298657453297305,0.016974,0.017717,0.02099425,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.027597,1.700628,0.09055114900000001,0.12116853644210117,0.03733075,0.076885,0.10738075,1000,0.193007,0.313256,0.214818557,0.02081022754860578,0.19918875,0.2043125,0.228815,1000,0.001974,0.019794,0.0026779905,0.0008663378044445191,0.002166,0.002293,0.003085,4000,0.004163,0.018967,0.0052264145,0.0012242082826013515,0.004439,0.004616,0.005868,4000,0.0148,0.050583,0.01767952425,0.002683743844131168,0.01578075,0.016679,0.018921,4000,0.0148,0.050583,0.01767952425,0.002683743844131168,0.01578075,0.016679,0.018921,4000,0.020169,0.037115,0.022903507,0.003028694472863019,0.020708,0.021051,0.0249405,1000,0.025627,0.061883,0.028129380000000002,0.003231623573623636,0.0263385,0.0267215,0.0294035,1000,0.483023,2.430574,0.5882115849999999,0.15434383103429428,0.502709,0.5456275,0.64993175,1000,0.090158,0.188425,0.10482514200000001,0.01541686565485462,0.09312,0.0971295,0.115914,1000,0.025629,0.060607,0.029160366000000004,0.004435567463813846,0.02623375,0.0267875,0.03189675,1000,0.041061,0.104331,0.048364393,0.008553455653509347,0.04223275,0.0452605,0.0536465,1000,0.006044,0.021804,0.007481565,0.0017439105308974425,0.006311,0.0067925,0.00801075,1000,0.016305,0.043064,0.019289090000000002,0.003094002169019925,0.01698725,0.0175925,0.021014,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.027008,1.734268,0.06306708800000001,0.11725288422522602,0.03748375,0.0512035,0.06254225,1000,0.19442,0.340815,0.206038524,0.01325177688128743,0.2000685,0.202674,0.20644325,1000,0.001977,0.020162,0.00251072575,0.0008863578995174226,0.002133,0.002209,0.002963,4000,0.004149,0.026292,0.0049596792500000006,0.0012114326707949714,0.004382,0.0045035,0.00573225,4000,0.014739,0.047893,0.017036041249999998,0.0023283553973885594,0.01553375,0.016251,0.018722,4000,0.014739,0.047893,0.017036041249999998,0.0023283553973885594,0.01553375,0.016251,0.018722,4000,0.020362,0.055854,0.021334199,0.0021623656678274837,0.020793,0.0209215,0.021064,1000,0.025577,0.063705,0.027145634,0.0026342613199992135,0.0262415,0.026428,0.026733,1000,0.503948,2.47239,0.562508711,0.14050228074494547,0.51919975,0.5472395,0.565341,1000,0.101097,0.216642,0.125130301,0.01610344709105473,0.11408225,0.1237385,0.13041075,1000,0.025235,0.073616,0.026946373,0.0034987325064758813,0.0259015,0.026173,0.026489,1000,0.046368,0.11053,0.049795697,0.006155927023705772,0.047368,0.0479785,0.04919475,1000,0.009255,0.087475,0.029527565999999998,0.010491513042342557,0.02086175,0.030711,0.03551025,1000,0.016734,0.048576,0.018316855,0.0024411744353845344,0.0172785,0.0174885,0.017885,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.020175,1.506733,0.075424431,0.09692410163767956,0.068457,0.069277,0.071161,1000,0.059262,0.164087,0.07793726200000001,0.009228807331576274,0.0768795,0.077509,0.078495,1000,0.002916,0.023266,0.0041850590000000005,0.0010460859207154065,0.004121,0.004184,0.00425,1000,0.00586,0.024662,0.007784658999999999,0.0013901379905315154,0.007663,0.007774,0.00785525,1000,0.018749,0.066539,0.0250882,0.0035862107980429705,0.024837,0.0250715,0.02532625,1000,0.018749,0.066539,0.0250882,0.0035862107980429705,0.024837,0.0250715,0.02532625,1000,0.006179,0.028069,0.009524926,0.0016708095009677194,0.00947975,0.009603,0.00974625,1000,0.010052,0.028157,0.012318964,0.0013261081866514511,0.012231,0.01234,0.012433,1000,0.156844,1.763237,0.260896853,0.10655629214808195,0.2558795,0.258404,0.26127725,1000,0.012766,0.093482,0.038877286999999996,0.009822049628190187,0.03987525,0.04036,0.041207,1000,0.002019,0.009506,0.003004244,0.000579476562480313,0.00291975,0.002996,0.003071,1000,0.007279,0.058992,0.017260525000000002,0.0041107889952386265,0.01734375,0.0175165,0.017705,1000,0.001836,0.056585,0.016415760999999997,0.006051126031068846,0.01769375,0.0179205,0.01808625,1000,0.00097,0.010111,0.001476818,0.0007258982124761019,0.001335,0.001376,0.001418,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.031444,1.46459,0.090171076,0.09830281826904165,0.069339,0.0946185,0.098728,1000,0.059442,0.164144,0.077694922,0.008871712493646083,0.07664325,0.0774055,0.0782415,1000,0.002903,0.014363,0.004146193,0.0007338324357447005,0.004119,0.0041765,0.004234,1000,0.005801,0.024642,0.007636957000000001,0.001114739727089243,0.007596,0.0076845,0.007769,1000,0.018743,0.058263,0.025047003,0.0035567651728770342,0.024762,0.025063,0.02533925,1000,0.018743,0.058263,0.025047003,0.0035567651728770342,0.024762,0.025063,0.02533925,1000,0.006197,0.031233,0.009432636000000001,0.001665417675991221,0.009347,0.009509,0.0096745,1000,0.010173,0.036303,0.01224833,0.0014871152931430702,0.012125,0.012262,0.01238,1000,0.157784,1.736781,0.265235354,0.10893624273658738,0.24417775,0.2742655,0.27918125,1000,0.012671,0.066293,0.029162880000000002,0.0065829517026634796,0.02689875,0.0310765,0.03154925,1000,0.002009,0.013425,0.002994005,0.000598853042886984,0.0029255,0.0029925,0.003057,1000,0.007309,0.039668,0.016064391,0.0035627625885145645,0.01576675,0.0164605,0.01670825,1000,0.001905,0.039674,0.007935596,0.003054385600867055,0.00635075,0.0095275,0.0098925,1000,0.000907,0.018554,0.001460094,0.0009016171355758494,0.001273,0.0013455,0.001405,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.005176,0.125055,0.006245295,0.008369207319332878,0.005456,0.005552,0.005661,1000,1.116422,1.287491,1.132574745,0.019657803949881456,1.12148275,1.1263955,1.13118175,1000,0.067119,0.123196,0.068299719,0.004054804547945437,0.067378,0.0674655,0.06757025,1000,0.037364,0.073106,0.039344735,0.003190567746463786,0.0378215,0.0380885,0.03883275,1000,0.014987,0.030097,0.015822155,0.0013561792790685897,0.01543175,0.0155835,0.01575,1000,0.985804,1.099786,1.00121789,0.016736289752567624,0.99244675,0.9949035,0.999011,1000,0.00271,0.011745,0.002966812,0.00038769168246945916,0.002872,0.002914,0.002967,1000,0.011125,0.030405,0.011637669,0.0011517021530929772,0.01137375,0.011461,0.01158,1000,1.152059,1.475937,1.170353434,0.026389523756666092,1.1579325,1.1628955,1.16863725,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000295,0.010577,0.000361109,0.0003333427142131653,0.000328,0.000341,0.00035725,1000,2.568432,5.20509,2.637848928,0.18710462481686235,2.59655175,2.6089895,2.630185,1000,0.052007,0.090581,0.054727648000000004,0.003625079289352993,0.05246475,0.0531865,0.056543,1000,0.044534,0.087959,0.046386801,0.0031932602426672026,0.0450525,0.045316,0.047234,1000,0.691354,2.173554,0.7244627020000001,0.09781428637660859,0.7021265,0.7169,0.7282695,1000,1.765956,2.84346,1.8046488870000001,0.10461387907765504,1.77405225,1.779136,1.79986175,1000,0.001232,0.010471,0.001454587,0.00031986401553003743,0.00135675,0.001423,0.00150225,1000,0.011921,0.03806,0.012586052,0.0012944543264619265,0.012223,0.012435,0.01264525,1000,2.592413,5.266175,2.6635831370000003,0.18942754768113385,2.6211125,2.63438,2.65627275,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000298,0.000845,0.000351733,4.3606785148644006e-05,0.000334,0.000345,0.000359,1000,2.616437,4.954027,2.664092633,0.17682280797572555,2.625736,2.633695,2.655471,1000,0.050952,0.107016,0.053901847999999995,0.003339004832715281,0.052397,0.053164,0.0554935,1000,0.043787,0.088645,0.045816107,0.0032472536826603188,0.04477875,0.0450255,0.04611825,1000,0.689425,1.990225,0.707324229,0.08790769971685393,0.69521425,0.697493,0.700938,1000,1.813261,2.845733,1.8493989259999999,0.10252864321624724,1.823093,1.8265345,1.8435395,1000,0.001193,0.011253,0.001368963,0.0003352950456404031,0.001302,0.001339,0.00138825,1000,0.011846,0.024273,0.012474379,0.0006448801201455973,0.012195,0.012361,0.012617,1000,2.640165,5.011889,2.6896792740000004,0.17899831728737822,2.65123225,2.659703,2.6803595,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,7.2,1.44,2.88,0.0,0.0,0.0,5
FEMBAR_EigenSparseLU,0.000319,0.010705,0.000452026,0.00033000034139982334,0.00040275,0.0004365,0.00046925,1000,3.353807,5.888078,3.4206803339999996,0.19779929882072997,3.3686155,3.389996,3.4116015,1000,0.053253,0.101738,0.056841789,0.004625321215275648,0.054506,0.0552395,0.0586945,1000,0.045118,0.09031,0.047525495,0.003534870607812258,0.0463205,0.0468355,0.04764775,1000,0.695195,1.964538,0.715444684,0.08729170319413035,0.70191675,0.705158,0.7096845,1000,2.541284,3.811166,2.59108199,0.1222546173221032,2.55198,2.56677,2.58578325,1000,0.001449,0.01285,0.001954077,0.0005018900467941162,0.00179575,0.001922,0.002039,1000,0.012851,0.032022,0.013838389,0.0010894735653878896,0.01347575,0.0136755,0.01390325,1000,3.381587,5.950322,3.450257231,0.20028039940085912,3.3980375,3.419281,3.4415335,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSparseQR,0.000323,0.00094,0.000441113,8.397210388575482e-05,0.00038,0.0004205,0.000477,1000,10.947395,14.145801,11.070179224,0.23670024823850064,10.9946655,11.0328345,11.06695275,1000,0.054705,0.117589,0.058450989,0.004140545978838901,0.0568255,0.0575515,0.05857175,1000,0.045431,0.090316,0.048804245,0.0030988460286008076,0.047422,0.048248,0.04932025,1000,0.697124,1.969027,0.720529086,0.08728296802365627,0.70447175,0.708593,0.719566,1000,10.127164,12.121161,10.23225286,0.16049446273806584,10.17360975,10.202261,10.22971625,1000,0.00136,0.004256,0.0018192899999999999,0.00027669728206110013,0.001642,0.001816,0.001937,1000,0.012714,0.032886,0.014355294,0.0012675380260820583,0.013899,0.0141735,0.0144435,1000,10.97659,14.208501,11.100865664,0.2391568783924625,11.0237765,11.06309,11.096771,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
