SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.334492,0.429415,0.347223137254902,0.012300532651019961,0.340439,0.344528,0.3494835,255,11.866897,14.740816,12.36142731372549,0.30017258645991457,12.201119,12.393714,12.4646685,255,0.283289,0.391024,0.294943768627451,0.015162639809400077,0.2872475,0.289613,0.297457,255,0.134606,0.219249,0.14036892549019606,0.011066856210445836,0.13632,0.137868,0.1389785,255,3.888363,4.398164,4.017196501960784,0.07854211649603954,3.9618395,4.020623,4.0672205,255,3.888363,4.398164,4.017196501960784,0.07854211649603954,3.9618395,4.020623,4.0672205,255,0.021929,0.048674,0.02373537254901961,0.0021115511792935203,0.0229925,0.023308,0.023728,255,0.054717,0.082262,0.056796243137254905,0.002577971139440129,0.0556735,0.056167,0.056819,255,40.10829,62.410929,47.51654470588235,2.433017731298633,47.580847,47.922415,48.0832155,255,27.226926,49.942562,34.628868082352945,2.405148802117311,35.0125875,35.087855,35.1525995,255,0.020389,0.04219,0.021934717647058823,0.0017681391122524315,0.021271,0.021605,0.022028,255,21.770845,31.163645,22.112142050980392,1.1540813240440384,21.871036,21.899643,21.936514,255,4.841052,22.354616,12.083521443137254,1.8935752364838785,12.6895955,12.75835,12.80904,255,0.382149,0.666138,0.4089046156862745,0.027839638904882797,0.3973425,0.401923,0.408001,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,12.661995,23.64756,13.287713533333333,0.5741295371807931,13.045378,13.134257,13.3456135,1755,12.295902,22.647812,12.948588296296297,0.5541015537389382,12.7162385,12.802364,12.997556,1755,0.008213,1.210453,0.24125975745489078,0.2174807950762817,0.04619575,0.2156865,0.386043,10530,0.008363,3.33126,0.09524878803418804,0.08527311926452157,0.02111625,0.106547,0.1507235,10530,0.10331,9.098162,1.8738962732193734,1.9163449020924177,0.167532,1.125224,2.7134745,10530,0.10331,9.098162,1.8738962732193734,1.9163449020924177,0.167532,1.125224,2.7134745,10530,0.092423,0.459546,0.1073947002849003,0.016731642958996047,0.098091,0.100626,0.115524,1755,0.135744,1.013141,0.1505519304843305,0.02579191053472125,0.141446,0.143433,0.1517155,1755,23.720686,57.486902,28.99927053846154,2.6639304747251003,27.1809895,28.887282,30.6725735,1755,10.208784,38.60924,15.118757275213676,2.556354622607063,13.3577765,14.916431,16.8264175,1755,0.072579,0.307413,0.0853647150997151,0.01264741074728617,0.0791245,0.081249,0.0865465,1755,9.387411,37.25729,14.283140138461537,2.468914221990319,12.594326,14.117486,15.9571125,1755,0.103395,1.090886,0.2647461173789174,0.10742120838207082,0.2023435,0.24021,0.292432,1755,0.412684,2.166063,0.4834183071225071,0.05188257386954186,0.4588325,0.479873,0.500902,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.022696,1.739068,0.096940296,0.12115467382219468,0.04368425,0.0822205,0.11291475,1000,0.285078,0.567353,0.314130453,0.02980284341534866,0.293698,0.299645,0.3324035,1000,0.001323,0.019741,0.00201536075,0.0009142996352998493,0.001563,0.001738,0.002371,4000,0.002863,0.02427,0.0037931835,0.0010024915258134354,0.003199,0.003403,0.004314,4000,0.022573,0.069546,0.025899579750000002,0.003481384518929206,0.0234835,0.0251255,0.0271735,4000,0.022573,0.069546,0.025899579750000002,0.003481384518929206,0.0234835,0.0251255,0.0271735,4000,0.020291,0.082156,0.022769223,0.003476569479137588,0.020748,0.020999,0.0246155,1000,0.026958,0.078983,0.029399651000000002,0.0034428519441298956,0.0276275,0.027935,0.03067675,1000,0.588345,2.569306,0.7008032519999999,0.15805589309204038,0.609898,0.656705,0.76957575,1000,0.092655,0.216632,0.106978911,0.016319401532809925,0.0956415,0.0991505,0.11798425,1000,0.026027,0.059492,0.029994872,0.004788391647475799,0.02697525,0.027719,0.03241725,1000,0.041862,0.119702,0.048876015,0.009151411971863959,0.042991,0.0450155,0.0536785,1000,0.006298,0.022157,0.007591238,0.001694228182198608,0.006519,0.0067025,0.00814125,1000,0.017055,0.057301,0.019896635,0.003344524623885284,0.01776275,0.018357,0.0214615,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.033935,1.718337,0.09665988,0.12208059097684447,0.043478,0.081735,0.1132725,1000,0.284047,0.463125,0.315471978,0.02711716194146275,0.29557625,0.302086,0.332505,1000,0.001308,0.032501,0.00201178575,0.0009412056249018796,0.001584,0.0017415,0.002375,4000,0.002869,0.022921,0.0038039975,0.0010568876018734207,0.00321375,0.003416,0.00430025,4000,0.022686,0.067344,0.026115001,0.0035706741708673166,0.02367275,0.025235,0.027425,4000,0.022686,0.067344,0.026115001,0.0035706741708673166,0.02367275,0.025235,0.027425,4000,0.020271,0.049357,0.022597616999999997,0.003026519669572792,0.02066275,0.020867,0.02423675,1000,0.027046,0.063996,0.029344698,0.003427176588796673,0.02755975,0.027815,0.03062075,1000,0.589205,2.58312,0.701118061,0.15919755153118179,0.6100745,0.654808,0.76840825,1000,0.092082,0.204877,0.106824484,0.015762863258613393,0.09568375,0.0991745,0.11636575,1000,0.025978,0.076974,0.030284619999999998,0.00514879943905373,0.0271415,0.028234,0.03246925,1000,0.041775,0.117463,0.0488364,0.00881564657991687,0.0430165,0.0443365,0.053532,1000,0.006096,0.022473,0.007548582999999999,0.001656905831696841,0.00640175,0.0069095,0.00812,1000,0.016857,0.039476,0.019546497,0.0027062507629543498,0.01756,0.0180455,0.021152,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.029319,1.715199,0.06770087600000001,0.12026345713111121,0.04231625,0.0549165,0.0675585,1000,0.284087,0.47351,0.301890363,0.016371762704034988,0.294313,0.297308,0.30211125,1000,0.001242,0.019096,0.00186722825,0.0008369835748997333,0.001513,0.001622,0.002272,4000,0.002853,0.019249,0.0036080214999999996,0.000852679469107677,0.003183,0.003327,0.004155,4000,0.022574,0.093335,0.02519594675,0.003141476483743661,0.023495,0.024875,0.02565825,4000,0.022574,0.093335,0.02519594675,0.003141476483743661,0.023495,0.024875,0.02565825,4000,0.020271,0.060801,0.021345687000000002,0.0023970145579514115,0.020724,0.020841,0.020981,1000,0.027036,0.061395,0.028062873,0.002326085207139025,0.027427,0.0275785,0.02775525,1000,0.606444,2.580344,0.6692286430000001,0.14508157150672016,0.6252835,0.6534215,0.670733,1000,0.103286,0.213786,0.12781224800000002,0.016012771749028838,0.11658925,0.1266535,0.133204,1000,0.025798,0.07181,0.028216540000000002,0.0037951166638721403,0.026781,0.027254,0.02824625,1000,0.047506,0.111617,0.050947221,0.007049605929139515,0.048547,0.049051,0.04981225,1000,0.009205,0.073813,0.029193834999999998,0.009964346241865292,0.02083175,0.030672,0.03537425,1000,0.017185,0.050623,0.018864559,0.0026934647071233365,0.01776175,0.017991,0.0183375,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036817,1.536522,0.081340438,0.10147008461106237,0.0736065,0.0746805,0.07707825,1000,0.087128,0.231138,0.11399239500000001,0.012619213324093343,0.1118975,0.1145585,0.1159465,1000,0.002207,0.021076,0.003254915,0.0010264282867180736,0.003099,0.003171,0.00325,1000,0.004356,0.024843,0.005850537,0.0012379322342644609,0.005726,0.005805,0.00588625,1000,0.028217,0.100698,0.037463502999999995,0.005078885176688975,0.03632425,0.03686,0.03918475,1000,0.028217,0.100698,0.037463502999999995,0.005078885176688975,0.03632425,0.03686,0.03918475,1000,0.006344,0.02014,0.009613402,0.0015063997591595664,0.009609,0.0097085,0.00983125,1000,0.010656,0.028916,0.012897727999999999,0.001233822702828895,0.012794,0.0129115,0.013013,1000,0.190082,1.83432,0.305314831,0.11248645769315717,0.29978675,0.302975,0.3071465,1000,0.013021,0.085708,0.039859459,0.010442060282066897,0.040914,0.0413,0.042429,1000,0.002156,0.014556,0.0032900430000000003,0.0009484821079762128,0.00310675,0.003195,0.00328725,1000,0.007345,0.038142,0.017462843000000002,0.004098442094546536,0.01761975,0.0177725,0.01793825,1000,0.001863,0.056695,0.017035178,0.006338390460228527,0.0181535,0.018382,0.018582,1000,0.00098,0.021059,0.0015304300000000002,0.0009645495026695104,0.001352,0.0013945,0.001435,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.037616,1.45396,0.09643476799999999,0.09701857789582455,0.07520075,0.1032695,0.10611575,1000,0.085578,0.260702,0.113995504,0.012082405215435544,0.111948,0.114321,0.116438,1000,0.00226,0.013503,0.003316898,0.0010633205685944382,0.00314475,0.0032185,0.003297,1000,0.004273,0.031431,0.0058668869999999994,0.0012426108273433801,0.005739,0.0058355,0.00591925,1000,0.028219,0.183918,0.03771807,0.006969483964476854,0.036403,0.0369845,0.03919125,1000,0.028219,0.183918,0.03771807,0.006969483964476854,0.036403,0.0369845,0.03919125,1000,0.006464,0.034229,0.009718270000000001,0.0016851926486606806,0.009671,0.0097835,0.009933,1000,0.010765,0.023331,0.012906762,0.0010873994764372477,0.01281,0.0129115,0.0130125,1000,0.191483,1.761584,0.310377389,0.1086315936638862,0.28911925,0.3199985,0.32655075,1000,0.01296,0.074492,0.029627474999999997,0.006650512664703,0.0275425,0.031516,0.032277,1000,0.002103,0.013589,0.0031998490000000003,0.0007192550397452909,0.003076,0.003153,0.003231,1000,0.007173,0.042839,0.016218512,0.003674937691424985,0.015882,0.0166585,0.016957,1000,0.001883,0.040738,0.008164959,0.0030493695983463535,0.00654975,0.009718,0.01014475,1000,0.001037,0.010337,0.001509393,0.0006669054149960098,0.001336,0.001401,0.001462,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006566,0.137649,0.008290849,0.009066932266659932,0.00688575,0.007114,0.007415,1000,1.140695,1.347218,1.177062435,0.038921933122029996,1.15411725,1.1589855,1.18597025,1000,0.066858,0.122308,0.068792257,0.00395842684926108,0.06715275,0.0673475,0.069421,1000,0.03681,0.071233,0.038243004000000004,0.0031496147986672914,0.037145,0.037298,0.03761825,1000,0.022102,0.148988,0.024098579000000002,0.004561130052274217,0.022749,0.0230885,0.02511275,1000,0.988574,1.192192,1.022002429,0.0356452908593121,1.0020325,1.0054605,1.0284365,1000,0.002749,0.019901,0.003144136,0.0009203212349522312,0.002903,0.002972,0.003075,1000,0.011371,0.03322,0.011937974,0.0012979551114441516,0.011626,0.011717,0.01181725,1000,1.176528,1.538687,1.2163170090000002,0.04282558701483167,1.19176525,1.1970115,1.224555,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000283,0.000872,0.000347185,5.2443462652651e-05,0.00032075,0.000335,0.000358,1000,2.588956,4.981631,2.640730761,0.18175967210084826,2.59847,2.605335,2.63572925,1000,0.0518,0.103659,0.053371959000000004,0.004655143097619986,0.05217375,0.052402,0.05270325,1000,0.043861,0.069866,0.04469836,0.0014885870832437047,0.044209,0.044348,0.04453225,1000,0.698367,2.040903,0.716539482,0.09343030615065798,0.70368025,0.705762,0.70835525,1000,1.765474,2.76856,1.802037206,0.10284911286017767,1.7720845,1.77688,1.79245225,1000,0.00115,0.00401,0.0014223489999999998,0.00021702367428232342,0.001319,0.001381,0.001471,1000,0.012637,0.02682,0.013397015,0.0009980057288287477,0.01309675,0.013224,0.01341025,1000,2.613755,5.042808,2.667551146,0.18396692645094306,2.62502125,2.632099,2.66252775,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000285,0.001012,0.000342733,5.7717932317434934e-05,0.00032,0.000333,0.000347,1000,2.611577,4.939321,2.691811163,0.1828769472356547,2.62703475,2.6646315,2.693694,1000,0.05123,0.129964,0.053935411999999995,0.004743967964716456,0.052606,0.053496,0.05418625,1000,0.043594,0.094406,0.045420656000000004,0.0036852999266903637,0.044445,0.0448945,0.04526,1000,0.697073,1.978163,0.719173104,0.08560691039884097,0.70293325,0.7050245,0.72165025,1000,1.787451,2.893977,1.848785393,0.10989927021143749,1.801104,1.8309575,1.8627545,1000,0.00116,0.007786,0.001418258,0.00029344681534479124,0.001323,0.001372,0.001443,1000,0.012744,0.052971,0.013593167,0.0019102083815937462,0.01319325,0.0133455,0.0135515,1000,2.636662,4.997701,2.7188926600000003,0.185588280762726,2.6537005,2.691181,2.720393,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
