SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.326445,0.406928,0.34485235686274507,0.01458832172698093,0.3328425,0.341184,0.3538225,255,12.233425,16.398112,12.684276498039216,0.34294824518096734,12.444832,12.719305,12.794186,255,0.286859,0.497563,0.30085208235294114,0.018329700747134213,0.2905665,0.297632,0.3044,255,0.136749,0.260498,0.149763031372549,0.017802738077329457,0.1385575,0.13954,0.167417,255,3.876465,5.094869,4.01416551372549,0.08879569337860406,3.9745955,4.01154,4.0490625,255,3.876465,5.094869,4.01416551372549,0.08879569337860406,3.9745955,4.01154,4.0490625,255,0.022434,0.048216,0.02488167450980392,0.0025012077098437112,0.023558,0.023953,0.025999,255,0.053365,0.079591,0.05604518823529412,0.0024106976542598094,0.054627,0.055444,0.056792,255,40.471993,58.858573,47.74292483529412,1.9467724178081023,47.988156,48.291772,48.4854725,255,27.273565,44.617217,34.52716353333333,1.8990626707148746,35.063152,35.162944,35.2494655,255,0.020578,0.037177,0.021962898039215684,0.0012376629452619911,0.021449,0.021825,0.0222085,255,21.801189,28.615958,21.98722650980392,0.45778280067119137,21.895001,21.933235,21.9812955,255,4.878662,15.509049,12.112861949019607,1.784036638902572,12.7408365,12.810112,12.8678625,255,0.385329,0.468068,0.4026087568627451,0.015264622407219968,0.392728,0.398958,0.407117,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,11.659067,30.270305,12.996269605128205,0.6591776775433041,12.779333,12.849467,12.993384,1755,11.337873,29.955854,12.667934324216525,0.6300823725698332,12.461051,12.525099,12.6727875,1755,0.005781,0.852983,0.24250597445394112,0.21568558586876221,0.049473,0.2423785,0.388338,10530,0.005908,0.60527,0.0924125505223172,0.07671748916017865,0.0214695,0.1063885,0.1468585,10530,0.052745,12.899908,1.8280691535612537,1.8683424861321465,0.1670275,1.7840875,2.62926775,10530,0.052745,12.899908,1.8280691535612537,1.8683424861321465,0.1670275,1.7840875,2.62926775,10530,0.091487,0.848436,0.10817935897435897,0.02294040601378723,0.097483,0.101125,0.116464,1755,0.131418,0.20851,0.14566448603988605,0.013980676544047941,0.1367585,0.138927,0.1473355,1755,23.685259,73.200807,28.709645295156694,2.7856729118242294,26.909616,28.566901,30.412291,1755,10.344813,59.453798,15.12613807863248,2.6497714174267006,13.4176225,14.976176,16.829981,1755,0.07345,0.184008,0.0846878433048433,0.011332118345077528,0.0791505,0.081536,0.0851925,1755,9.520569,58.240989,14.287291202849003,2.567898083808052,12.621821,14.148699,15.972685,1755,0.103911,0.764141,0.2640070433048433,0.10493300784895791,0.202698,0.240049,0.2949285,1755,0.414426,1.332352,0.48797043190883194,0.039859539771600075,0.4643715,0.485245,0.507718,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.034166,1.885681,0.09535636,0.12476525373564709,0.043356,0.0814785,0.11081025,1000,0.277014,0.44754,0.305241745,0.025484766572875947,0.28618225,0.292623,0.3236665,1000,0.00128,0.020898,0.00198419325,0.0007828690439048139,0.001573,0.0017475,0.00235625,4000,0.002972,0.025351,0.00397986975,0.0011175932481385783,0.003412,0.0036475,0.004439,4000,0.021048,0.067248,0.0243883695,0.0033733611608408828,0.022094,0.023525,0.02572125,4000,0.021048,0.067248,0.0243883695,0.0033733611608408828,0.022094,0.023525,0.02572125,4000,0.020677,0.055014,0.023158999,0.003193520295692357,0.02119875,0.0214605,0.0249865,1000,0.025638,0.058519,0.027856167,0.0028523821015268972,0.02631075,0.0265875,0.02902375,1000,0.576866,2.705892,0.687195955,0.1597169169119194,0.6030675,0.64377,0.75436875,1000,0.092383,0.202682,0.106217593,0.015889816627052404,0.0952155,0.098693,0.115285,1000,0.025738,0.069224,0.029580241,0.004879729462677106,0.02671975,0.027291,0.03163125,1000,0.041838,0.117039,0.048771095,0.008778298652471046,0.0430685,0.044594,0.05346275,1000,0.006254,0.018034,0.007526832999999999,0.0016602218806867353,0.006462,0.0066515,0.008079,1000,0.017033,0.049282,0.019762059000000002,0.0031495774807930982,0.01770275,0.018215,0.021308,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.038399,1.638651,0.09500482399999999,0.11756578213211114,0.04288425,0.0817555,0.11077125,1000,0.273535,0.544695,0.30802506,0.030006214978907285,0.2865865,0.2943685,0.3263115,1000,0.001307,0.020583,0.00201240375,0.0008499606642286086,0.001579,0.001754,0.002372,4000,0.003011,0.018312,0.0039880805,0.0009539570435925037,0.00340775,0.003628,0.00444625,4000,0.020856,0.083205,0.02451758625,0.00413902233613941,0.02201075,0.023552,0.02570625,4000,0.020856,0.083205,0.02451758625,0.00413902233613941,0.02201075,0.023552,0.02570625,4000,0.020679,0.05579,0.023229723,0.003414258541216672,0.02116775,0.021408,0.02495275,1000,0.025828,0.071384,0.028006975,0.0030474613340246005,0.02646,0.026754,0.02909825,1000,0.576531,2.479785,0.691202427,0.15582077949991352,0.60170975,0.6458685,0.7561,1000,0.09162,0.233818,0.107074643,0.0171170986939829,0.09512975,0.0990005,0.1173135,1000,0.025661,0.082637,0.029861158,0.005636657457131487,0.0266675,0.0273775,0.032001,1000,0.042022,0.15145,0.049400205,0.009885423391184365,0.04311225,0.0445815,0.05482325,1000,0.006044,0.019688,0.0075313540000000005,0.0017873309079977327,0.006284,0.006849,0.0080775,1000,0.016866,0.051352,0.019695859,0.003222286618710229,0.0176035,0.0181175,0.021181,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.03402,1.771521,0.066758977,0.12136761748134663,0.04185525,0.053874,0.06687975,1000,0.273808,0.440423,0.295365344,0.01660312153197898,0.28738375,0.2916825,0.296284,1000,0.001272,0.02723,0.0018955175,0.0008248393750869014,0.001547,0.0016635,0.002294,4000,0.003009,0.023178,0.0038076345,0.0009475517085677964,0.00335275,0.0035065,0.004368,4000,0.021165,0.130962,0.023830232,0.0032032565262051682,0.02212675,0.023412,0.02431325,4000,0.021165,0.130962,0.023830232,0.0032032565262051682,0.02212675,0.023412,0.02431325,4000,0.020749,0.056252,0.021856721000000003,0.002393149158986752,0.02122075,0.021344,0.021497,1000,0.026029,0.057294,0.027144038,0.0025191601633393615,0.026397,0.026535,0.0267095,1000,0.596737,2.595203,0.660625124,0.14429073625920905,0.61733925,0.6442485,0.662599,1000,0.103956,0.218774,0.127496953,0.015826492099855576,0.116651,0.1263145,0.132382,1000,0.026021,0.063221,0.027951573,0.00390633646024904,0.02670675,0.0269785,0.02734325,1000,0.047761,0.110861,0.050865006000000004,0.006255813585774756,0.0486715,0.049178,0.04992175,1000,0.009294,0.059397,0.029169377,0.009950170662600266,0.02077125,0.0307245,0.03534475,1000,0.017288,0.037604,0.018936857,0.002382711304071687,0.01788675,0.018066,0.01842575,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.037499,1.575777,0.079888037,0.10225188075717546,0.072063,0.0729885,0.07571775,1000,0.081633,0.171879,0.107898152,0.009939743017648696,0.10596125,0.1087865,0.11023675,1000,0.002176,0.018724,0.0031648139999999997,0.0009313088925829066,0.003025,0.0031035,0.003176,1000,0.004367,0.022992,0.005816269000000001,0.0009954935422387227,0.005669,0.0057815,0.00592575,1000,0.02504,0.06923,0.034097651,0.003932316247353333,0.033121,0.033553,0.0359815,1000,0.02504,0.06923,0.034097651,0.003932316247353333,0.033121,0.033553,0.0359815,1000,0.006451,0.039724,0.009779174000000002,0.0018109940761151043,0.009704,0.0098595,0.0100605,1000,0.010295,0.027832,0.012418629,0.0011773428648269798,0.012297,0.012393,0.01249325,1000,0.183693,1.862838,0.29664385200000004,0.11182786052356584,0.2917905,0.294868,0.29958975,1000,0.01283,0.092346,0.039668714,0.010294036014907079,0.04065225,0.041353,0.0421615,1000,0.002221,0.013872,0.003259263,0.0008303074586145786,0.003122,0.0031965,0.003272,1000,0.00722,0.046154,0.017474541,0.004208910097200818,0.01761075,0.0178295,0.01810325,1000,0.001839,0.061341,0.016926234000000002,0.006365791878882312,0.0180515,0.018353,0.018496,1000,0.000988,0.017868,0.0014871320000000002,0.0007745044845422136,0.001326,0.00138,0.001428,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FrictionContact_LCP_without_friction,0.03589,1.462221,0.093911875,0.09629989361048835,0.07345375,0.0994705,0.10316675,1000,0.080681,0.199756,0.108031211,0.011082453680502301,0.10640675,0.1085435,0.11017175,1000,0.002204,0.022572,0.003187112,0.0010942898799934137,0.00302,0.0030975,0.003171,1000,0.004353,0.02141,0.0058531899999999994,0.001274282672682949,0.005661,0.005763,0.005848,1000,0.024828,0.088575,0.03420522,0.00465819439070548,0.0330925,0.033625,0.03594325,1000,0.024828,0.088575,0.03420522,0.00465819439070548,0.0330925,0.033625,0.03594325,1000,0.006386,0.020105,0.009612376,0.00135446182250516,0.009647,0.0097695,0.009894,1000,0.010282,0.063323,0.012401299000000001,0.0020522018291578925,0.01222,0.012314,0.01241,1000,0.184058,1.748433,0.30056455099999996,0.10669750192410972,0.279659,0.309887,0.3162615,1000,0.01298,0.064878,0.029557821,0.006901623799147487,0.0273595,0.031462,0.03196125,1000,0.002171,0.024159,0.003273643,0.0010821632850688478,0.00312275,0.003184,0.00325125,1000,0.00724,0.044569,0.016326032,0.0040641781576323645,0.015898,0.0166565,0.01692725,1000,0.001853,0.027913,0.008008926,0.0029581654643586115,0.00642975,0.009632,0.0099015,1000,0.001032,0.006798,0.001425625,0.0005740085978232383,0.001258,0.0013345,0.001399,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006444,0.137788,0.008097419,0.009094844994909973,0.00675975,0.0068955,0.007125,1000,1.135459,1.404789,1.180542419,0.04047191310656613,1.144723,1.1593915,1.21834375,1000,0.066452,0.133564,0.068661013,0.004274877710394883,0.067055,0.067299,0.06931375,1000,0.036723,0.068812,0.039477294,0.003771536425061277,0.037127,0.037377,0.040304,1000,0.021376,0.051174,0.023204714,0.0025369084043780532,0.02190475,0.0222045,0.02426275,1000,0.984388,1.185226,1.025975099,0.03609916484013445,0.9935455,1.003316,1.05869775,1000,0.002811,0.020039,0.003224692,0.0009881626187708175,0.003014,0.0030665,0.00312,1000,0.011015,0.029376,0.011520919,0.0011252757219628441,0.011256,0.011342,0.011431,1000,1.171127,1.604655,1.219218687,0.04472754099445923,1.1819655,1.1981415,1.25642325,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000291,0.009577,0.000359226,0.0002960469809405257,0.000323,0.000339,0.000368,1000,2.517716,5.015013,2.5758313139999998,0.18854434889015212,2.53229225,2.540624,2.57618675,1000,0.050398,0.090993,0.053065389000000004,0.003031139185797808,0.05179825,0.0521895,0.05330525,1000,0.042374,0.091956,0.044824365,0.0031404332869486335,0.044109,0.044302,0.044531,1000,0.697635,2.13593,0.716771867,0.09686205974187885,0.7031085,0.7050815,0.7083105,1000,1.69549,2.725843,1.737114985,0.10500025108434158,1.707926,1.7121565,1.73710025,1000,0.001305,0.002972,0.001467142,0.0001305802505588039,0.001406,0.001447,0.001497,1000,0.012621,0.036386,0.013387447,0.0011673628541250573,0.012984,0.0131815,0.01347375,1000,2.542307,5.075985,2.602771471,0.19088718471012966,2.558645,2.5673355,2.6029085,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000284,0.001191,0.00034380200000000004,5.4122719776448785e-05,0.00032,0.000332,0.000353,1000,2.619295,4.918692,2.675857503,0.17561638296543972,2.633513,2.644022,2.6706615,1000,0.051576,0.097256,0.053489937,0.0039747276375911595,0.052028,0.0523745,0.05390225,1000,0.043807,0.08376,0.045380608999999995,0.0034824603989304747,0.044358,0.0445685,0.045304,1000,0.697347,1.894439,0.7149538860000001,0.08325244283490428,0.7025905,0.7042235,0.706632,1000,1.797929,2.875331,1.83831907,0.10523402142637665,1.8084625,1.812765,1.83092525,1000,0.001256,0.003714,0.0014613789999999998,0.00014944674422348586,0.001394,0.0014335,0.00149,1000,0.012491,0.02619,0.013245473,0.001066442391913881,0.012921,0.0130525,0.013254,1000,2.645399,4.976784,2.702414104,0.17780743017112974,2.65969,2.6705605,2.69625325,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
