SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.328351,0.44247,0.3420390705882353,0.014931108131226894,0.333964,0.338087,0.3452495,255,12.034581,13.447579,12.524513592156863,0.24023000455215365,12.321154,12.578989,12.66127,255,0.284738,0.455597,0.29582302352941175,0.014706275569861366,0.2876085,0.292622,0.2985495,255,0.135652,0.219492,0.1424763254901961,0.010553092307700167,0.1370895,0.138537,0.141767,255,3.862493,4.191681,3.962502443137255,0.05880853170073018,3.909199,3.964434,4.001765,255,3.862493,4.191681,3.962502443137255,0.05880853170073018,3.909199,3.964434,4.001765,255,0.02276,0.043857,0.024459341176470587,0.002131509428640401,0.0235755,0.023902,0.024364,255,0.054091,0.087239,0.05632563921568627,0.0032768294006272386,0.055117,0.055489,0.056226,255,40.399417,49.895286,47.45336289803922,1.7255421856961575,47.820437,48.039031,48.2996275,255,27.183328,36.100441,34.40620748627451,1.78586431800264,35.002919,35.120386,35.183771,255,0.019366,0.029398,0.021236592156862747,0.0009023383339735117,0.0208025,0.02118,0.0215355,255,21.763163,22.2253,21.918145392156863,0.06389181483305902,21.8805435,21.911199,21.9459795,255,4.891335,13.449774,12.062619560784313,1.780937842626498,12.6974455,12.774223,12.8325055,255,0.383984,0.48037,0.4017516862745098,0.014529995309352705,0.393773,0.398323,0.4052875,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,12.83122,32.23767,13.448787556695155,0.7107533876812644,13.2368395,13.359109,13.4529735,1755,12.560461,31.578725,13.097726193162393,0.6964105538822858,12.8901835,13.008808,13.097327,1755,0.008226,0.828724,0.2579590801519468,0.22883872096048022,0.05520375,0.3068915,0.4068285,10530,0.008915,1.328021,0.11148824548907882,0.09083840267900137,0.023528,0.1104995,0.19100925,10530,0.102722,7.492958,1.880964524691358,1.91553618149086,0.1746625,1.176697,2.695461,10530,0.102722,7.492958,1.880964524691358,1.91553618149086,0.1746625,1.176697,2.695461,10530,0.093098,0.27871,0.11754261937321937,0.015571610878317039,0.111316,0.115765,0.11992,1755,0.136032,0.244566,0.15398053333333334,0.014723064018380982,0.14657,0.149092,0.1520285,1755,23.851779,58.046628,29.26444743076923,2.537427984378623,27.4777645,29.154824,30.9220745,1755,10.289511,26.169072,15.180825399430198,2.3735377281396346,13.5243855,14.921542,16.8620555,1755,0.07439,0.256672,0.08990791396011397,0.01304985289762215,0.082911,0.086148,0.090326,1755,9.493642,24.888139,14.317264741880342,2.2876607010670638,12.7475625,14.087705,16.002481,1755,0.110652,0.691526,0.2836263150997151,0.10816762098572275,0.21993,0.262422,0.313453,1755,0.414569,1.088797,0.4876626017094017,0.032332726323464143,0.465688,0.485686,0.5084385,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.036818,1.569707,0.098189817,0.11701356288384485,0.043402,0.08427,0.114696,1000,0.271965,0.466368,0.301751396,0.025176345034241647,0.283868,0.2892295,0.3198785,1000,0.001241,0.013614,0.00193665025,0.0007429856152207374,0.001517,0.001697,0.002334,4000,0.002943,0.024636,0.0038649415,0.000946626635785065,0.003294,0.0035215,0.004403,4000,0.020886,0.059736,0.02415288,0.003234110253315431,0.021876,0.0233825,0.025442,4000,0.020886,0.059736,0.02415288,0.003234110253315431,0.021876,0.0233825,0.025442,4000,0.020624,0.052743,0.022956473999999998,0.0029667706165667743,0.02106975,0.0213005,0.0248125,1000,0.026195,0.064191,0.028355296999999998,0.00273901123524366,0.026802,0.027083,0.02963975,1000,0.573834,2.448007,0.6851812079999999,0.15455705566281577,0.593728,0.6427275,0.75081125,1000,0.091824,0.213192,0.105794296,0.01609803274007057,0.09469425,0.098126,0.115814,1000,0.02569,0.072011,0.029470424999999998,0.004879692229882434,0.02660875,0.027192,0.03130975,1000,0.041792,0.12138,0.048688,0.008972121516341606,0.0429845,0.0443235,0.05336375,1000,0.006214,0.024487,0.007507921,0.001612684462862776,0.006482,0.0066405,0.0080875,1000,0.016946,0.057757,0.019535610000000002,0.003104890434121629,0.01750375,0.017963,0.0211435,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.026631,1.829579,0.095655243,0.12201524053840959,0.042942,0.0820185,0.11197925,1000,0.275629,0.460626,0.305380517,0.026727113955863455,0.28654125,0.292463,0.32357,1000,0.001274,0.01598,0.00198903375,0.0007696391018593958,0.001581,0.001766,0.002343,4000,0.003003,0.019238,0.00395483875,0.000897959170980751,0.0034,0.003614,0.00444925,4000,0.021016,0.083136,0.024343090499999998,0.003543207824812108,0.022022,0.0235225,0.02539125,4000,0.021016,0.083136,0.024343090499999998,0.003543207824812108,0.022022,0.0235225,0.02539125,4000,0.020429,0.045885,0.023221297,0.0030502943816607276,0.02118625,0.0214595,0.0250565,1000,0.026368,0.07265,0.028538221000000003,0.0033478445940872165,0.0268755,0.0272115,0.029589,1000,0.579355,2.641962,0.688659547,0.15919443160328753,0.59548725,0.64366,0.75418825,1000,0.091959,0.250203,0.106662829,0.016730892522270262,0.09508,0.098681,0.11687975,1000,0.025634,0.074818,0.029660638,0.0050579092733021615,0.0266555,0.027331,0.03173825,1000,0.041832,0.163913,0.049114713000000004,0.009609407549096406,0.0429745,0.0451695,0.0540305,1000,0.006003,0.02764,0.007565517,0.0018130815507612999,0.006373,0.0068875,0.00810825,1000,0.01701,0.03716,0.019732062,0.002734173712139739,0.017708,0.0182305,0.021354,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.035075,1.838827,0.067235273,0.12097748069863445,0.04209925,0.054033,0.067403,1000,0.271602,0.433726,0.29073887800000003,0.016055286274156432,0.28314875,0.2866615,0.291646,1000,0.001215,0.01314,0.001841381,0.0006603752462342907,0.001502,0.001631,0.0022915,4000,0.002967,0.023999,0.0037343405,0.0009499319041698462,0.003272,0.003433,0.00433,4000,0.020768,0.070258,0.023416858250000002,0.0029623285868817686,0.02171875,0.0230955,0.023915,4000,0.020768,0.070258,0.023416858250000002,0.0029623285868817686,0.02171875,0.0230955,0.023915,4000,0.020789,0.05111,0.021755416,0.002073178126197554,0.021149,0.021288,0.021459,1000,0.026435,0.050608,0.027389739,0.002214199443338156,0.026797,0.026924,0.027057,1000,0.59441,2.64951,0.6556526779999999,0.14495226477402248,0.61233025,0.6381755,0.6585745,1000,0.103596,0.217998,0.12730502700000002,0.015771479586147615,0.11655325,0.126163,0.13232425,1000,0.026067,0.071393,0.027797456999999998,0.0034175338740312436,0.02667475,0.0270625,0.02751025,1000,0.047458,0.113234,0.050568934999999995,0.00605042253687914,0.048561,0.0489695,0.049625,1000,0.009305,0.075008,0.029292387,0.010088518074386892,0.0208695,0.030639,0.0354865,1000,0.017429,0.045635,0.019065769,0.0026931093931808637,0.01793275,0.0181785,0.018589,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.03053,1.483125,0.082791799,0.09900808878470789,0.07216075,0.073978,0.078525,1000,0.080697,0.189507,0.106951992,0.011019057140242807,0.10441775,0.107472,0.10879975,1000,0.002134,0.01328,0.003151287,0.000887223212405424,0.003034,0.003092,0.00315925,1000,0.004329,0.021429,0.005775291,0.001122811567592265,0.005629,0.005721,0.005806,1000,0.024522,0.070262,0.033406965,0.004229819635608,0.03240975,0.03283,0.03521025,1000,0.024522,0.070262,0.033406965,0.004229819635608,0.03240975,0.03283,0.03521025,1000,0.006404,0.032123,0.009572571,0.0016686717726859888,0.009499,0.009615,0.009733,1000,0.010341,0.039084,0.01259598,0.0017165749041623552,0.012408,0.0125115,0.01261725,1000,0.185185,1.79878,0.298393939,0.1097621087688337,0.28983725,0.2934585,0.305241,1000,0.012887,0.087635,0.039225385,0.01021940511843889,0.04026075,0.040797,0.04146575,1000,0.002079,0.017825,0.0032059659999999998,0.0008596323416693907,0.00306975,0.003141,0.00320925,1000,0.007204,0.044294,0.017332924,0.004370354945793763,0.017331,0.017504,0.017802,1000,0.001877,0.058839,0.016761954000000003,0.006248547062468522,0.01797525,0.0182205,0.01842,1000,0.001024,0.005949,0.001402216,0.000535462793613151,0.001262,0.001315,0.001358,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.032808,1.595875,0.094242098,0.10289528098401984,0.07278625,0.099838,0.102355,1000,0.080853,0.179579,0.107011898,0.010648713940922443,0.10492525,0.1074255,0.10919425,1000,0.002119,0.01413,0.003131223,0.001010489066378751,0.002959,0.0030345,0.00310925,1000,0.00437,0.025803,0.005728358,0.0011921069657694313,0.005596,0.00568,0.00576425,1000,0.02459,0.069737,0.033519233999999995,0.00409527874792962,0.03245725,0.0331035,0.03520825,1000,0.02459,0.069737,0.033519233999999995,0.00409527874792962,0.03245725,0.0331035,0.03520825,1000,0.00635,0.032296,0.009558816000000001,0.0020651366037490113,0.009399,0.009553,0.009696,1000,0.010274,0.034539,0.012576584,0.001683975950821151,0.01237675,0.0125,0.0126,1000,0.181782,1.887112,0.300170701,0.11405899398879336,0.277976,0.3081645,0.31440425,1000,0.012965,0.074364,0.029640700000000002,0.007180390112243206,0.027291,0.0312805,0.0321625,1000,0.002156,0.020428,0.003259935,0.0009021986559372609,0.003091,0.003175,0.003304,1000,0.007161,0.049354,0.016304794,0.004239382799838203,0.01578775,0.0165,0.016871,1000,0.001876,0.024171,0.008139807,0.0029736757855810376,0.00649075,0.0097395,0.01017425,1000,0.001012,0.011334,0.001426079,0.0006335744224311775,0.00125175,0.00133,0.001385,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006471,0.135261,0.008043613,0.008729838444509211,0.006753,0.006877,0.00715325,1000,1.137626,1.286485,1.158509753,0.019042948994155057,1.14672825,1.1533085,1.1609295,1000,0.066718,0.122738,0.067944849,0.003779043906360311,0.067042,0.067192,0.067373,1000,0.036913,0.094003,0.037930816,0.0030023621420714724,0.03727875,0.0374535,0.0376375,1000,0.021268,0.049523,0.023080624,0.002108305581888925,0.02195975,0.022221,0.0242395,1000,0.989269,1.099969,1.006002896,0.015970048979611302,0.99485675,1.0017515,1.0091025,1000,0.002804,0.011577,0.003170223,0.0006754721173157335,0.002959,0.0030265,0.003107,1000,0.011306,0.039488,0.011849614,0.0017290498943072752,0.011506,0.011586,0.011683,1000,1.173336,1.494228,1.1974200689999999,0.025943516862989856,1.1841085,1.191298,1.19975625,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.0003,0.002898,0.000368961,9.76287123698761e-05,0.000339,0.000356,0.000377,1000,2.52421,5.049143,2.586413072,0.18585863862626567,2.5367605,2.558715,2.5803795,1000,0.05147,0.09031,0.053820307,0.0035639401241815217,0.05184175,0.0522165,0.0561685,1000,0.04388,0.100891,0.045679875999999994,0.0035895533892984516,0.04427975,0.044518,0.046684,1000,0.698779,2.096593,0.7189349840000001,0.09549180382045226,0.703954,0.706509,0.71277075,1000,1.698854,2.776735,1.7438460470000001,0.10455183952031065,1.71147325,1.717627,1.74001025,1000,0.001191,0.003921,0.001381038,0.00014651583721905288,0.001316,0.001358,0.001414,1000,0.012648,0.029883,0.013309263,0.001014198241879269,0.01301875,0.013184,0.01335,1000,2.54898,5.109919,2.612944573,0.18827406591839108,2.56313,2.5847325,2.606633,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000296,0.00286,0.000361401,0.00012102490734968566,0.000337,0.00035,0.000365,1000,2.624656,4.936283,2.6816977289999997,0.1738680383139683,2.6394605,2.6506855,2.67957825,1000,0.05156,0.083447,0.052722634,0.002197871223262182,0.05202975,0.052263,0.0525925,1000,0.043885,0.087293,0.045193426,0.0032883598742418684,0.044491,0.044639,0.044818,1000,0.698871,1.918501,0.720865051,0.08431696862972718,0.70493875,0.7079095,0.72332475,1000,1.798307,2.855329,1.838959816,0.10355304729539418,1.8103655,1.8137755,1.83384475,1000,0.0012,0.012554,0.001398686,0.0004904883356452017,0.00130475,0.001343,0.001399,1000,0.012697,0.032301,0.01337487,0.0012741921225231303,0.01303375,0.0131555,0.01331225,1000,2.650444,4.993768,2.708258367,0.1762296064330404,2.665367,2.676723,2.70604125,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
