SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.34293,0.537646,0.3601713607843137,0.021752597126239927,0.347819,0.352949,0.365068,255,11.792156,13.579153,12.300621647058824,0.30033042726861686,12.1136385,12.278004,12.4939395,255,0.284938,0.419476,0.29920565882352945,0.017169036239732434,0.2877255,0.291338,0.3046735,255,0.136772,0.216526,0.14753249411764707,0.015297706650849846,0.1382575,0.139367,0.146991,255,3.540405,3.839204,3.6129846392156866,0.05252837208702524,3.567156,3.603599,3.644993,255,3.540405,3.839204,3.6129846392156866,0.05252837208702524,3.567156,3.603599,3.644993,255,0.022038,0.034261,0.02451256862745098,0.0018381847189487101,0.02346,0.023867,0.024629,255,0.05268,0.083876,0.05637679215686274,0.0040359829796101955,0.0543595,0.054975,0.05741,255,39.938683,53.825756,47.361195521568625,1.8162457679956696,47.445099,47.869436,48.221237,255,27.183153,40.770367,34.521927619607844,1.82098735787009,35.008438,35.126994,35.3016105,255,0.020852,0.04711,0.022593827450980392,0.0031832317271996338,0.0215945,0.021902,0.022321,255,21.755422,27.503882,21.95855497647059,0.43311893752473624,21.8571095,21.890251,21.974307,255,4.851501,13.662034,12.122075388235293,1.7781590056587537,12.692522,12.79266,12.9380965,255,0.398759,0.491977,0.4156228274509804,0.01599440304685138,0.4055715,0.409608,0.420361,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.9272,13.181538,9.397677486039886,0.30641154892192835,9.1531765,9.376501,9.565549,1755,8.626717,12.886472,9.085531775498575,0.30298714608025795,8.841235,9.067316,9.2506445,1755,0.004558,0.571003,0.17733239914529914,0.1724434135729313,0.02987325,0.1199275,0.283772,10530,0.005949,0.325934,0.08245486647673315,0.07946436106248733,0.01500225,0.072422,0.1348295,10530,0.03519,5.061727,1.170738694017094,1.2033799981297963,0.0916885,0.8842595,1.753233,10530,0.03519,5.061727,1.170738694017094,1.2033799981297963,0.0916885,0.8842595,1.753233,10530,0.097985,0.187497,0.1127006678062678,0.011110984198146925,0.104753,0.107951,0.1197245,1755,0.133547,0.249698,0.1467739675213675,0.0113274861254897,0.139426,0.142905,0.1506705,1755,23.778232,41.593948,30.92227613105413,3.6702664031855106,28.451453,30.478918,32.624463,1755,14.202199,31.180164,21.002800368660967,3.6610215219994293,18.5943975,20.488944,22.868045,1755,0.073051,0.158934,0.08349765014245014,0.008244905188516614,0.079187,0.081757,0.0850535,1755,13.425051,30.361701,20.169534087749287,3.571440871458237,17.835598,19.671505,22.0307555,1755,0.100419,0.644497,0.25535841766381767,0.10340365890553553,0.1971675,0.230479,0.2839345,1755,0.434062,0.612083,0.4922284279202279,0.028750605001632647,0.4733455,0.486492,0.5052465,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.043776,1.847053,0.108554948,0.12394004588318215,0.05519575,0.0941635,0.124601,1000,0.125384,0.253767,0.14543625200000002,0.01919091485887257,0.13058375,0.138601,0.1564605,1000,0.001842,0.023517,0.0026255214999999998,0.0011843679631084885,0.002025,0.0021695,0.00306,4000,0.004072,0.032638,0.00528969775,0.001785473105620731,0.00434575,0.0046465,0.0058065,4000,0.00035,0.020958,0.000759234,0.0008262673678925,0.00046475,0.000529,0.000951,4000,0.00035,0.020958,0.000759234,0.0008262673678925,0.00046475,0.000529,0.000951,4000,0.02004,0.059363,0.023282648,0.003921508335334251,0.02067475,0.02177,0.0250235,1000,0.027789,0.066967,0.030810218,0.004654304822685768,0.0284605,0.0289305,0.03208425,1000,0.425321,2.48898,0.533215753,0.15361465717255626,0.4580955,0.492462,0.585,1000,0.087289,0.184707,0.104000202,0.016550406724706073,0.09112175,0.096684,0.11427875,1000,0.025028,0.070215,0.029668381,0.005683685827861969,0.02619475,0.0272545,0.03196025,1000,0.039732,0.10699,0.047540150999999996,0.009267490469603894,0.040905,0.043708,0.05292375,1000,0.005376,0.024436,0.006745655,0.0019462682050465194,0.00561,0.0061135,0.0071515,1000,0.016174,0.058097,0.019524919999999998,0.004215806992688351,0.01689675,0.0178115,0.0207905,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.041578,1.748606,0.10817030700000001,0.12189253917416257,0.053144,0.0935845,0.12472875,1000,0.124389,0.306915,0.14255010999999998,0.018262384652391373,0.12853025,0.1338535,0.15355525,1000,0.00181,0.022431,0.0025518047499999996,0.001183581342209921,0.002012,0.002137,0.003006,4000,0.003997,0.164365,0.005229749,0.0030503926778365767,0.004252,0.004437,0.005765,4000,0.000336,0.111295,0.0007398857500000001,0.0018856590913250832,0.000435,0.000497,0.00087775,4000,0.000336,0.111295,0.0007398857500000001,0.0018856590913250832,0.000435,0.000497,0.00087775,4000,0.01995,0.06161,0.022929434000000002,0.004289778244110527,0.020425,0.020761,0.02463825,1000,0.027602,0.068825,0.030699553,0.0044180837800104015,0.02851625,0.029175,0.03199875,1000,0.423161,2.365067,0.527760525,0.15087769316173075,0.45415575,0.488607,0.583588,1000,0.087506,0.186853,0.103177727,0.016864324323330328,0.090109,0.0943345,0.1144765,1000,0.025088,0.067014,0.02946848,0.005860220648030243,0.02606075,0.0267,0.03190675,1000,0.03964,0.104646,0.04722117,0.009877182879905586,0.04051475,0.04337,0.0525775,1000,0.005345,0.028762,0.0067190190000000006,0.0020327018002252568,0.00558475,0.0059755,0.00708025,1000,0.016132,0.050939,0.019230207,0.0039484504244261445,0.01677325,0.017269,0.02074075,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.043942,1.689562,0.081070279,0.11647765603781336,0.0535185,0.068105,0.080983,1000,0.127009,0.29977,0.14029862599999998,0.014898116870736515,0.13336425,0.135678,0.1400085,1000,0.001896,0.023122,0.0025087800000000004,0.0011893839380536463,0.002073,0.002168,0.00294125,4000,0.004082,0.044222,0.00509978475,0.0016361473345690594,0.004439,0.004628,0.00573625,4000,0.000373,0.015306,0.000788068,0.0007934796401773646,0.000508,0.0005665,0.000956,4000,0.000373,0.015306,0.000788068,0.0007934796401773646,0.000508,0.0005665,0.000956,4000,0.020074,0.051944,0.021452124,0.0030598155768974053,0.0205735,0.020735,0.02092075,1000,0.027973,0.067372,0.029523853,0.0037096280729193055,0.02856175,0.0287475,0.02897125,1000,0.446419,2.365434,0.509707301,0.13913779062944184,0.47098825,0.492092,0.51083825,1000,0.099775,0.246288,0.12375733900000001,0.017017631321663982,0.112097,0.12149,0.12833875,1000,0.025191,0.075186,0.027643991000000003,0.004945365630660588,0.0260335,0.026343,0.026727,1000,0.044856,0.109567,0.048973129000000004,0.008299547051156406,0.045859,0.046315,0.04725575,1000,0.008985,0.085713,0.02801757,0.010071067717829127,0.019526,0.029014,0.0335885,1000,0.016687,0.060917,0.018607567999999998,0.00372078914417036,0.01717775,0.0174215,0.0179295,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.039963,1.54196,0.08344436699999999,0.0980656109867894,0.074984,0.075551,0.07803325,1000,0.040182,0.119531,0.05362388,0.008660254012071471,0.0512415,0.0518005,0.053066,1000,0.002859,0.021251,0.004172421999999999,0.0012620285574883002,0.004054,0.004116,0.004177,1000,0.005807,0.02887,0.007867779,0.0020489525153499777,0.007485,0.0075985,0.00774525,1000,0.000752,0.011035,0.001017768,0.0005626093388631226,0.000923,0.000957,0.000988,1000,0.000752,0.011035,0.001017768,0.0005626093388631226,0.000923,0.000957,0.000988,1000,0.005996,0.031258,0.00939931,0.0022273366795121027,0.00917775,0.0092875,0.009415,1000,0.011209,0.044928,0.014492558000000001,0.0029968436697025086,0.013968,0.0141005,0.0142405,1000,0.140835,1.809039,0.244862458,0.10921612093363431,0.23330275,0.236185,0.2535145,1000,0.011719,0.122155,0.038636391000000006,0.011515950996687984,0.03839525,0.0388145,0.04158575,1000,0.001967,0.016243,0.003075197,0.0011015766111310643,0.00288975,0.002981,0.003059,1000,0.00667,0.049242,0.017077761,0.005341953469834701,0.016593,0.016783,0.01699025,1000,0.001576,0.093062,0.016225134,0.0069675593811638235,0.01704425,0.017228,0.017367,1000,0.000918,0.013474,0.001441161,0.0008663686046244982,0.00128,0.001325,0.001373,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.027451,1.444435,0.09837332,0.09574806876384295,0.07536875,0.103147,0.10543625,1000,0.039947,0.239266,0.053796643,0.010617970543731557,0.050991,0.0517295,0.052977,1000,0.002845,0.019673,0.004277283000000001,0.0016714890836948353,0.004062,0.004136,0.004209,1000,0.005764,0.027543,0.0077524560000000005,0.002005403140534092,0.007412,0.007522,0.007647,1000,0.000738,0.020024,0.0010376320000000001,0.0007944859524094809,0.000934,0.000961,0.00099125,1000,0.000738,0.020024,0.0010376320000000001,0.0007944859524094809,0.000934,0.000961,0.00099125,1000,0.005984,0.033693,0.009568539000000001,0.0025183639348749817,0.00914475,0.009318,0.009591,1000,0.01123,0.05047,0.014493476,0.0031891417415072666,0.013905,0.014049,0.01421625,1000,0.141377,1.697979,0.24995025,0.1062313778916545,0.22363275,0.2529,0.2590665,1000,0.011826,0.086959,0.028605278999999997,0.007704369069505887,0.02578625,0.029507,0.0302395,1000,0.002023,0.019802,0.003122042,0.001323143665758182,0.002921,0.003002,0.00309125,1000,0.00667,0.053807,0.015843008,0.004735156892008542,0.01517075,0.015786,0.016151,1000,0.00161,0.028581,0.007496675,0.0032262092500913516,0.005802,0.0089135,0.00909125,1000,0.000931,0.012311,0.0013926289999999998,0.0007118401431213331,0.00122775,0.001297,0.001371,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008496,0.148748,0.010206055,0.008871714940414565,0.008823,0.00901,0.009368,1000,1.101273,1.471075,1.170219936,0.07711567786407576,1.1256475,1.1355495,1.173921,1000,0.067115,0.129142,0.070152924,0.006821565443373243,0.067608,0.068003,0.070367,1000,0.037506,0.073985,0.038806225,0.004013291423056019,0.03782175,0.0379465,0.03817625,1000,0.000698,0.011449,0.000993964,0.0007608227051711851,0.000831,0.000868,0.000901,1000,0.984483,1.295617,1.052302654,0.0749040715630885,1.00965325,1.0192095,1.05440625,1000,0.002768,0.020553,0.003035558,0.0008677461890645213,0.002898,0.002948,0.00300725,1000,0.008473,0.031204,0.009092138999999999,0.0016250353527474408,0.00875475,0.008873,0.00900025,1000,1.134364,1.666872,1.2069731750000001,0.07928688796826608,1.16067475,1.1711555,1.211688,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000279,0.001273,0.000362579,5.720849376622321e-05,0.000336,0.000355,0.000377,1000,2.504383,5.186768,2.586580922,0.19745743755851766,2.5367735,2.5644015,2.5874945,1000,0.052118,0.102819,0.054445230000000004,0.006144801559293839,0.05246575,0.0527605,0.05334325,1000,0.043989,0.119384,0.045871392,0.004842602596366545,0.04439775,0.044802,0.04535675,1000,0.687543,2.166896,0.7151978680000001,0.10155919738194358,0.693613,0.697409,0.72210375,1000,1.70755,2.906366,1.7634333,0.11274375856698234,1.72111525,1.7462645,1.767192,1000,0.001144,0.002745,0.001297402,0.00012735166428437438,0.001235,0.001272,0.00131825,1000,0.005918,0.02258,0.006653991,0.0011834638435199445,0.00626775,0.006497,0.0067185,1000,2.520531,5.238336,2.604848088,0.19997220139877006,2.55415225,2.5822665,2.605332,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000279,0.019285,0.000362729,0.0006008200159440429,0.00031975,0.000335,0.000353,1000,2.612221,5.063469,2.698838855,0.19206762622834173,2.6433415,2.6790715,2.70053,1000,0.05205,0.122997,0.054108681,0.005428849069852559,0.05251375,0.0527335,0.05307325,1000,0.044262,0.081968,0.046233338000000006,0.005119941063308835,0.044635,0.0448805,0.04519225,1000,0.688174,2.002876,0.716816987,0.09247686238980446,0.69420125,0.70321,0.724596,1000,1.812918,2.933457,1.874154915,0.11527475812174917,1.83643275,1.855207,1.8797335,1000,0.001148,0.014419,0.001364372,0.0005779672755580544,0.001245,0.001306,0.001374,1000,0.005986,0.027496,0.006656147,0.001341622682944426,0.006314,0.0064635,0.006632,1000,2.62943,5.114347,2.7171919,0.19458372496369783,2.66203,2.6967515,2.71931775,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
