SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.302988,0.414329,0.36124375294117644,0.015212937128774967,0.349178,0.358557,0.3684325,255,11.915089,13.288212,12.366099576470587,0.23266648508387985,12.217993,12.413237,12.495083,255,0.280235,0.444742,0.29429338823529416,0.019387322079492546,0.2835915,0.285146,0.2958495,255,0.135928,0.180197,0.14083499215686274,0.007415348512953787,0.1376665,0.138368,0.139533,255,3.581108,3.931398,3.7028197333333335,0.061535390331535066,3.661286,3.705648,3.737546,255,3.581108,3.931398,3.7028197333333335,0.061535390331535066,3.661286,3.705648,3.737546,255,0.022316,0.047586,0.023812145098039215,0.002270139408029325,0.023061,0.023556,0.0239845,255,0.047246,0.076759,0.04968298039215686,0.003460197916192566,0.0484865,0.048976,0.0495285,255,40.131586,55.197345,48.49737191372549,2.7008793157879776,47.9141215,48.350827,49.3354725,255,27.219231,42.147888,35.60206956078431,2.7564493080334596,35.1173085,35.374646,36.4916745,255,0.020792,0.050477,0.02252141176470588,0.002879776520308549,0.021696,0.022009,0.022401,255,21.761475,28.566577,22.497652780392155,1.8271347575847494,21.84871,21.885231,21.922771,255,4.929227,16.133645,12.658254474509803,1.9601792170651766,12.786969,12.996715,14.1205415,255,0.3934,0.518343,0.4208472078431373,0.019168157442312282,0.4101555,0.414992,0.424935,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.945228,13.627085,9.315063982336182,0.2569552230904822,9.124471,9.24745,9.452477,1755,8.666679,13.317109,9.004007878632478,0.2523338032510197,8.816821,8.936275,9.142253,1755,0.004608,0.580883,0.17766822602089266,0.17322207835485495,0.029302,0.1202155,0.2885165,10530,0.006025,0.308698,0.08023549164292497,0.07619134262858239,0.01505175,0.0612535,0.119604,10530,0.035093,5.490298,1.1654952570750239,1.1956454410320148,0.08917125,0.9025295,1.752234,10530,0.035093,5.490298,1.1654952570750239,1.1956454410320148,0.08917125,0.9025295,1.752234,10530,0.098654,0.203784,0.11597186096866097,0.013302617248084918,0.1055985,0.116141,0.1228495,1755,0.117363,0.208538,0.13262918005698004,0.010892963714897575,0.125009,0.131496,0.135776,1755,24.086262,41.073734,30.909146336752137,3.6456298288130844,28.465457,30.394101,32.8037005,1755,14.509836,31.551045,21.077666790883193,3.6406442306278084,18.6548665,20.599111,22.974944,1755,0.072013,0.151108,0.08352324558404559,0.009925017221802631,0.078478,0.080929,0.0853255,1755,13.772595,30.299959,20.233788323646724,3.5533902803392996,17.8392625,19.751332,22.103984,1755,0.099258,0.616521,0.2573922945868946,0.10213173080112489,0.198165,0.233362,0.285723,1755,0.433543,0.713277,0.5006632045584045,0.03240744062733998,0.477229,0.495627,0.515714,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.03768,1.788979,0.10846722199999999,0.12475944146789339,0.054662,0.092896,0.1253035,1000,0.124397,0.315006,0.144560141,0.020318750785398177,0.128794,0.1396105,0.15695175,1000,0.00182,0.039238,0.00263579725,0.0013889900948683678,0.002017,0.00217,0.003046,4000,0.004017,0.025772,0.0052188289999999995,0.001730337731415171,0.004265,0.004663,0.00577625,4000,0.00032,0.021691,0.000746626,0.0009114918250450741,0.000436,0.000494,0.000926,4000,0.00032,0.021691,0.000746626,0.0009114918250450741,0.000436,0.000494,0.000926,4000,0.02002,0.059332,0.023529787,0.004655560106542605,0.02066725,0.0215385,0.025183,1000,0.025155,0.068637,0.028005719000000002,0.00426721742216623,0.02590075,0.0265035,0.0291195,1000,0.419916,2.449079,0.529853094,0.1561081213514632,0.45586225,0.4906575,0.5817805,1000,0.087262,0.204429,0.103739732,0.01709589195374655,0.0906895,0.096274,0.113929,1000,0.02503,0.065438,0.029578878,0.005563592864428165,0.0260835,0.0273295,0.03188,1000,0.039499,0.109462,0.047429886,0.009320159830443037,0.04070775,0.043832,0.05262575,1000,0.005352,0.026548,0.006730469,0.0021268418039522828,0.005579,0.005979,0.0070805,1000,0.016142,0.058914,0.019451754,0.004294886702752938,0.01673925,0.017707,0.020662,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.038349,1.781966,0.10977950900000001,0.12387544428499912,0.056541,0.095249,0.126461,1000,0.125233,0.278529,0.14377393700000002,0.019050462877868112,0.12966875,0.1360395,0.15439175,1000,0.001834,0.023199,0.0025760345000000002,0.0012066933337885606,0.002018,0.002149,0.00303025,4000,0.004027,0.037201,0.00528010125,0.0018198770031236829,0.00430175,0.004553,0.00577625,4000,0.000349,0.017993,0.0007423755,0.0007794528754195149,0.00045775,0.000523,0.00089425,4000,0.000349,0.017993,0.0007423755,0.0007794528754195149,0.00045775,0.000523,0.00089425,4000,0.020052,0.059835,0.023168651999999998,0.004701196532043306,0.020527,0.0208175,0.02477425,1000,0.025308,0.071015,0.028129526000000002,0.00449786786548071,0.02592,0.026277,0.0293005,1000,0.420276,2.498721,0.529470895,0.15617117321568658,0.45436125,0.4887975,0.58294025,1000,0.087309,0.231712,0.10360903599999999,0.017331469430625437,0.09045,0.094872,0.1150285,1000,0.025172,0.077427,0.029597949000000002,0.0060144425820186365,0.0260885,0.026816,0.0321655,1000,0.039397,0.148878,0.047237821000000006,0.009882881352265593,0.04064775,0.0432335,0.0527405,1000,0.005272,0.02684,0.006683055,0.0019846806690183186,0.00554425,0.005941,0.00709825,1000,0.015963,0.073661,0.019529555,0.004908073800277966,0.016753,0.0175495,0.02074075,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.035395,1.675387,0.079640973,0.11675237376401507,0.0529615,0.0673695,0.078127,1000,0.124824,0.259935,0.13467722000000001,0.012806321006893431,0.12828025,0.1305835,0.13378225,1000,0.001797,0.034712,0.0023791495,0.0010820627008864831,0.001956,0.0020305,0.002913,4000,0.004034,0.025713,0.004893770249999999,0.0015575918809062075,0.004247,0.004359,0.00560725,4000,0.000341,0.013603,0.0007189484999999999,0.0007234739894064955,0.00044175,0.000498,0.00091,4000,0.000341,0.013603,0.0007189484999999999,0.0007234739894064955,0.00044175,0.000498,0.00091,4000,0.020008,0.056375,0.02134679,0.002712231144998523,0.02057875,0.0207615,0.0209945,1000,0.025408,0.063394,0.026908522,0.00391770857638952,0.02582475,0.026037,0.02626525,1000,0.437057,2.335494,0.49870333899999997,0.13900811939057403,0.45745625,0.4815225,0.49981625,1000,0.099831,0.227454,0.12290079,0.016949482685849147,0.11055475,0.1207305,0.127823,1000,0.025426,0.075152,0.027613080999999998,0.004808205347989934,0.02617875,0.0264125,0.026779,1000,0.044834,0.132965,0.048570274,0.008115699356243058,0.0456765,0.0461235,0.0470615,1000,0.009011,0.075711,0.02788809,0.009984181870934644,0.01944375,0.0289985,0.033512,1000,0.016381,0.050851,0.018315478,0.00325326040296746,0.01693175,0.0172155,0.017804,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.027429,1.557156,0.08333565799999999,0.10114003117650812,0.07428825,0.07492,0.0771015,1000,0.040338,0.112647,0.053196967,0.008152468659854572,0.05115075,0.051633,0.05252075,1000,0.002842,0.020711,0.004191640999999999,0.0015335893055570648,0.004045,0.0041,0.00415625,1000,0.005727,0.0243,0.007608607,0.0015854428941311637,0.007384,0.007482,0.00764625,1000,0.000719,0.013705,0.0010410699999999998,0.000661597788010208,0.000937,0.000979,0.00101425,1000,0.000719,0.013705,0.0010410699999999998,0.000661597788010208,0.000937,0.000979,0.00101425,1000,0.006014,0.036511,0.009558866,0.0026406143554188292,0.0092465,0.009385,0.00951525,1000,0.009827,0.04008,0.012676245000000001,0.0026586741908280146,0.01225075,0.0123595,0.012468,1000,0.140539,1.800589,0.241876589,0.11071444896871446,0.2302855,0.2331945,0.2508995,1000,0.011804,0.101396,0.038296123,0.011112673161839639,0.0380685,0.0386345,0.04098925,1000,0.001984,0.021813,0.003100459,0.001348098942332869,0.00290675,0.002979,0.00305825,1000,0.006717,0.050477,0.016856535,0.0049642811375641294,0.016528,0.0166665,0.01687625,1000,0.001578,0.073348,0.01619017,0.006910758240388677,0.01680575,0.0170955,0.017303,1000,0.000959,0.017298,0.0013890920000000002,0.0007873934058245599,0.00123,0.001295,0.001357,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.029159,1.543623,0.09807132399999999,0.09957062656321403,0.07506075,0.10307,0.1046015,1000,0.040031,0.127966,0.053314534,0.008639535113699349,0.0509535,0.0517425,0.052676,1000,0.00283,0.027037,0.004145225000000001,0.0013698710984523326,0.00402175,0.004089,0.004161,1000,0.005762,0.023846,0.007784193,0.0019964410744499825,0.00742075,0.007536,0.0076795,1000,0.000692,0.010454,0.001007639,0.00047844670202541896,0.00091275,0.000953,0.00099325,1000,0.000692,0.010454,0.001007639,0.00047844670202541896,0.00091275,0.000953,0.00099325,1000,0.005966,0.028259,0.0093756,0.002139435969128312,0.00916975,0.009289,0.00942225,1000,0.00983,0.0429,0.012622911,0.0028786874170494783,0.012118,0.012229,0.01235,1000,0.139776,1.802513,0.246332718,0.1100181306211775,0.219672,0.2500685,0.2550195,1000,0.011948,0.065239,0.028430154,0.007530613802359274,0.0255445,0.029409,0.030221,1000,0.001947,0.02163,0.003075931,0.00131781570192459,0.002884,0.002956,0.003036,1000,0.006766,0.039595,0.015563383,0.004418387652788174,0.0149405,0.015605,0.015935,1000,0.00162,0.035109,0.007666269,0.0033088184547718845,0.00586375,0.008952,0.009339,1000,0.000969,0.012686,0.0013700250000000002,0.0006502356914035095,0.00121275,0.001287,0.001355,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008496,0.176383,0.010241564,0.00969941552836582,0.008779,0.0089125,0.0091805,1000,1.101431,1.291269,1.135262228,0.025681317136315576,1.11204425,1.133663,1.14305425,1000,0.066783,0.119788,0.06968469000000001,0.007654859781726899,0.06710575,0.0673495,0.06769075,1000,0.037395,0.082966,0.039037968,0.005011287715046503,0.03774975,0.0379685,0.03821525,1000,0.000686,0.021048,0.000959696,0.0009774408276637518,0.00079,0.000826,0.000864,1000,0.987492,1.125481,1.017786388,0.022366651618502396,0.9967575,1.0176315,1.026266,1000,0.002673,0.022954,0.002999775,0.0010505906178788196,0.002823,0.002886,0.00297,1000,0.008037,0.024041,0.008601338,0.0014707216085160372,0.008266,0.008347,0.00845425,1000,1.134142,1.506071,1.1715204890000002,0.03220649615869257,1.14841625,1.168473,1.179297,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000276,0.017762,0.000387053,0.0008192027222800227,0.000325,0.0003355,0.000348,1000,2.506882,5.218811,2.600286013,0.2020957634492144,2.553068,2.5789485,2.602837,1000,0.050855,0.101966,0.053795689,0.005817893795720149,0.05192575,0.052408,0.052731,1000,0.042748,0.080895,0.045557213000000006,0.005061192076342391,0.04417225,0.044564,0.04486,1000,0.687599,2.284631,0.7271817269999999,0.10646087546886165,0.69752225,0.7183855,0.737199,1000,1.707803,2.804115,1.7662461440000001,0.11154831932719231,1.73403225,1.7493625,1.77038325,1000,0.001105,0.011585,0.0013082999999999999,0.0005670764128404567,0.001213,0.001252,0.001297,1000,0.005949,0.02406,0.006625654000000001,0.0013281155206848537,0.00622975,0.0063655,0.00658525,1000,2.522819,5.271735,2.618436919,0.2047792118377069,2.5710355,2.5971975,2.62077775,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.7,0.5727128425310541,0.0,1.1,1.2,5
FEMBAR_EigenSimplicialLLT,0.0003,0.037685,0.00040090300000000003,0.0011935511265090408,0.000333,0.000347,0.000364,1000,2.61645,5.163096,2.6995804679999997,0.19335887003310961,2.63952275,2.6757585,2.702818,1000,0.051708,0.102624,0.053754803999999996,0.004699346153837149,0.0523445,0.0525365,0.05311225,1000,0.043998,0.099219,0.045593364000000004,0.00383812945085285,0.04455275,0.044841,0.04515175,1000,0.688515,2.114596,0.712805652,0.09313590702670424,0.69453625,0.6972995,0.7173885,1000,1.815978,2.939846,1.879597688,0.11612733802015206,1.83313225,1.860491,1.88804575,1000,0.001144,0.01,0.0013642460000000002,0.00043073973984762546,0.001261,0.001309,0.00139925,1000,0.00596,0.027453,0.0067432839999999996,0.0015174439598693587,0.00637875,0.006539,0.00671925,1000,2.633884,5.213562,2.7182139559999996,0.19569314317393458,2.65818,2.6941605,2.72094325,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
