SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.329702,0.414911,0.3571096039215686,0.014380181387358018,0.347243,0.351073,0.3614905,255,11.810411,12.955222,12.374279160784313,0.22637969268743277,12.2171205,12.417856,12.5444845,255,0.281478,0.375515,0.29549118823529413,0.01650855913772559,0.2852905,0.287329,0.298478,255,0.136163,0.210466,0.14630421568627452,0.014194460575035057,0.137939,0.138999,0.146913,255,3.594502,3.884547,3.708162274509804,0.0545457013299815,3.670028,3.714065,3.7468025,255,3.594502,3.884547,3.708162274509804,0.0545457013299815,3.670028,3.714065,3.7468025,255,0.02225,0.044133,0.024509996078431375,0.002565479022652669,0.023382,0.023853,0.024432,255,0.047433,0.076751,0.05046565490196078,0.0037940753016555743,0.04896,0.049483,0.050402,255,40.147726,55.140704,47.72105631372549,2.1694175744320137,47.836457,48.106147,48.3667915,255,27.213485,41.936817,34.8190513254902,2.2051514762147435,35.090219,35.263771,35.3709065,255,0.020358,0.053952,0.02219926274509804,0.002974263214347364,0.0213035,0.021648,0.022067,255,21.761412,28.281974,22.18723502352941,1.2695124341007762,21.8655515,21.893445,21.9312765,255,4.92009,13.420748,12.19216405882353,1.8195445953759324,12.7759225,12.932543,13.0181725,255,0.392689,0.490423,0.41499321960784313,0.017027736090492438,0.4036705,0.408874,0.423377,255,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
SofaScene,8.925053,13.598535,9.30401257037037,0.26839349664513223,9.121888,9.22022,9.441742,1755,8.631395,13.247428,8.996774384615383,0.26411820415858567,8.8184845,8.914117,9.1294715,1755,0.004602,0.581242,0.17479921339031337,0.17073718841305324,0.028697,0.116082,0.28118025,10530,0.00624,0.29397,0.07662888622981956,0.0736079839628139,0.01351525,0.0600085,0.10654925,10530,0.034829,5.476377,1.173828660968661,1.201704297816031,0.084337,0.903342,1.76524125,10530,0.034829,5.476377,1.173828660968661,1.201704297816031,0.084337,0.903342,1.76524125,10530,0.099329,0.184997,0.1103681868945869,0.010199695273608528,0.1040835,0.106677,0.114527,1755,0.118767,0.226219,0.12994321595441596,0.009978851045577889,0.124367,0.126845,0.1320155,1755,23.659741,41.122171,30.635218887179487,3.69841740700018,28.2203625,30.0502,32.3595785,1755,14.088711,31.036688,20.835782714529913,3.6486320058550765,18.4776365,20.270656,22.6560375,1755,0.073047,0.158914,0.08209464216524218,0.008321368867205145,0.0781365,0.080272,0.0830305,1755,13.2959,30.213346,20.00785395954416,3.561605877209223,17.6961515,19.466525,21.8416165,1755,0.101719,0.649669,0.25306043304843306,0.10315475542378391,0.196325,0.226681,0.278588,1755,0.434088,0.63128,0.4904942467236467,0.02762847864918501,0.4725285,0.485829,0.503174,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.035965,1.814453,0.108639314,0.12645175997836253,0.054784,0.093192,0.125027,1000,0.123073,0.263377,0.140529589,0.01808824653210142,0.12755875,0.1318705,0.15215,1000,0.00184,0.036723,0.002617814,0.0012707627496523495,0.002028,0.00218,0.003029,4000,0.003953,0.024255,0.00510168225,0.0016378451232595033,0.004197,0.0044215,0.005728,4000,0.000328,0.017374,0.0007070425,0.0007599244417662522,0.000425,0.000483,0.0009,4000,0.000328,0.017374,0.0007070425,0.0007599244417662522,0.000425,0.000483,0.0009,4000,0.020062,0.058414,0.022949785,0.004243650506671704,0.02049675,0.0207675,0.02449875,1000,0.025451,0.063753,0.028223723000000003,0.004281732119396425,0.02609375,0.0264375,0.0294595,1000,0.420326,2.478515,0.521519983,0.15630171490065844,0.4494545,0.481946,0.575517,1000,0.087297,0.20814,0.102274789,0.0165066982485438,0.0898605,0.0937845,0.11328525,1000,0.024964,0.062715,0.029185372,0.00546802763266756,0.025774,0.026557,0.03154575,1000,0.039805,0.127307,0.046776597999999996,0.009365018952484613,0.04062575,0.042989,0.052391,1000,0.005301,0.031921,0.006581966999999999,0.002074109592550741,0.005556,0.005679,0.00701675,1000,0.016014,0.061202,0.019189857,0.003923151831442546,0.016728,0.0174555,0.0206115,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
BilateralLagrangianConstraint_PGS,0.05109,1.801122,0.109368258,0.12411926473994049,0.05620875,0.095043,0.12711775,1000,0.123175,0.264553,0.140872029,0.017493531412672483,0.1277435,0.1328325,0.151453,1000,0.001831,0.023287,0.00255479525,0.0010575752291574522,0.002034,0.002176,0.002997,4000,0.00392,0.028702,0.00523656025,0.0018138996602265346,0.004289,0.00455,0.005809,4000,0.000338,0.013753,0.0006992235,0.000757040912400215,0.000427,0.000476,0.00080025,4000,0.000338,0.013753,0.0006992235,0.000757040912400215,0.000427,0.000476,0.00080025,4000,0.019951,0.054734,0.022926757000000002,0.00390918914583971,0.02056825,0.0208915,0.02458625,1000,0.025322,0.076836,0.027985456,0.004030400337939644,0.02605975,0.026476,0.02913825,1000,0.419262,2.414969,0.523620591,0.15362539822959523,0.44891925,0.484709,0.57779475,1000,0.08739,0.233702,0.10276106600000001,0.01658121982604549,0.090202,0.0945285,0.1139075,1000,0.025296,0.066973,0.029538296,0.00572624370686264,0.02618075,0.026922,0.03182625,1000,0.039641,0.110249,0.046683058,0.009082255297041366,0.0404195,0.0431635,0.052017,1000,0.005276,0.041691,0.006793594,0.002400258580895817,0.00559575,0.0060185,0.00710525,1000,0.016117,0.068123,0.019204680000000002,0.004312206937474128,0.016661,0.0172865,0.020582,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.036576,1.762614,0.081056788,0.1230241160207748,0.05329325,0.0682315,0.08024325,1000,0.124115,0.264975,0.134673199,0.014599013790095514,0.126782,0.1297795,0.1333605,1000,0.001849,0.019625,0.00242448275,0.0011115950317910014,0.001992,0.002079,0.002855,4000,0.003963,0.029509,0.00490074475,0.0017790956634193222,0.004181,0.004333,0.00564525,4000,0.000341,0.07835,0.00072810025,0.0014369471113092288,0.00043175,0.000494,0.000906,4000,0.000341,0.07835,0.00072810025,0.0014369471113092288,0.00043175,0.000494,0.000906,4000,0.02,0.061418,0.021383448,0.003403524729349854,0.020462,0.0206185,0.0207925,1000,0.025546,0.071269,0.027275762,0.0044205386732112184,0.02609375,0.0262485,0.026478,1000,0.433393,2.447459,0.499785304,0.1450658688155473,0.460519,0.48181,0.50267325,1000,0.098089,0.268949,0.12263415700000001,0.018685871980251578,0.1097625,0.120026,0.1271625,1000,0.025067,0.184596,0.027692728,0.007279458946378913,0.025808,0.0260715,0.0264645,1000,0.044176,0.132667,0.048424025,0.00828267397597992,0.04535275,0.0458235,0.046751,1000,0.008812,0.176747,0.027819686000000003,0.011201027348837427,0.0193055,0.028815,0.03320125,1000,0.016385,0.045713,0.018158968,0.0031720207106789204,0.01684,0.0170495,0.01752525,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.039894,1.455074,0.084108441,0.09724804970047736,0.07534575,0.076062,0.07870425,1000,0.040172,0.205869,0.054332745,0.010356197321313215,0.05152325,0.0520905,0.0532425,1000,0.002863,0.02131,0.00430983,0.0018309205878737614,0.00406,0.004122,0.00418425,1000,0.005713,0.024751,0.007877839,0.00212194665509739,0.007476,0.0076225,0.007782,1000,0.000661,0.014107,0.0010258810000000002,0.0006375875256300111,0.000936,0.000964,0.001,1000,0.000661,0.014107,0.0010258810000000002,0.0006375875256300111,0.000936,0.000964,0.001,1000,0.006044,0.031683,0.009486462,0.0022891581056266076,0.0092,0.0093425,0.00956075,1000,0.009899,0.039015,0.012832398,0.002444169958819558,0.012426,0.0125785,0.01275325,1000,0.14042,1.702754,0.24450059700000001,0.10756633757634676,0.23280225,0.2361865,0.25344375,1000,0.012037,0.108265,0.038563904999999996,0.011286491124436106,0.03848575,0.0391015,0.0413955,1000,0.001947,0.0186,0.0030852130000000003,0.0012248550361699951,0.00290475,0.0030005,0.00307425,1000,0.006822,0.062304,0.017077584,0.005153026369711686,0.01679575,0.016954,0.01714725,1000,0.001565,0.080011,0.016182567,0.00676317694486186,0.0169255,0.0172395,0.0174525,1000,0.001002,0.019034,0.00144724,0.001032592029022111,0.001278,0.001317,0.00136825,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.040005,1.462469,0.098795587,0.0967664359095468,0.075837,0.103827,0.10574425,1000,0.039708,0.206294,0.053693161999999996,0.010106807665418195,0.050684,0.0512375,0.05435625,1000,0.002817,0.019563,0.004211095000000001,0.0014340929181803387,0.00401875,0.0041,0.004196,1000,0.005667,0.025353,0.007852297,0.0022689084218608297,0.007355,0.0074775,0.0076825,1000,0.00069,0.156046,0.001181552,0.004969834987330666,0.000916,0.0009445,0.000973,1000,0.00069,0.156046,0.001181552,0.004969834987330666,0.000916,0.0009445,0.000973,1000,0.006113,0.036657,0.009509376,0.002449867156117654,0.00916875,0.0093105,0.009602,1000,0.009931,0.037014,0.012671547,0.002356117280567969,0.012302,0.0124475,0.01257925,1000,0.139815,1.710237,0.24745293299999999,0.10666588765848485,0.22136,0.251721,0.2587255,1000,0.011902,0.068465,0.028490901000000003,0.007226239792948959,0.02578,0.0295785,0.0302975,1000,0.002006,0.018148,0.003040341,0.0009542476548145141,0.002905,0.0029805,0.00306925,1000,0.006745,0.049832,0.015957334,0.004603205529459226,0.015165,0.0158555,0.016283,1000,0.001533,0.035045,0.007399389,0.00306923349807065,0.005803,0.008889,0.00910025,1000,0.00093,0.010028,0.001328271,0.0005126600838362589,0.0012,0.0012605,0.001316,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008654,0.150225,0.010405983,0.009305152683901054,0.00892875,0.0090645,0.0093745,1000,1.112347,1.401237,1.1685203160000002,0.04078151209298331,1.13633725,1.157823,1.2033065,1000,0.067065,0.115556,0.070642582,0.0072747059518083615,0.06741,0.067983,0.069991,1000,0.03773,0.083993,0.040139076999999995,0.005020223911049287,0.03820975,0.038492,0.0405175,1000,0.000699,0.015274,0.000969667,0.0008593108181042527,0.000801,0.000837,0.00088,1000,0.997436,1.248841,1.048662886,0.03644419084316462,1.0207075,1.038591,1.08098725,1000,0.00274,0.017864,0.003060713,0.0009860086676246817,0.002903,0.00296,0.003016,1000,0.008244,0.029944,0.008866220999999999,0.0017308942850905134,0.0084975,0.008596,0.00870725,1000,1.145431,1.564611,1.205098068,0.045046185658159515,1.17175175,1.1967705,1.2385275,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000293,0.013486,0.00039065300000000003,0.00051600560906932,0.000334,0.000354,0.000377,1000,2.50207,5.17861,2.588153624,0.20158877788258112,2.5319535,2.5582665,2.5980345,1000,0.051865,0.094832,0.054613112,0.005242575107087737,0.05233075,0.0526545,0.0562075,1000,0.044004,0.099127,0.046093775999999996,0.00409160388598701,0.04445375,0.044773,0.047044,1000,0.688598,2.259004,0.7173641679999999,0.10341442260286411,0.69641425,0.7030815,0.7182795,1000,1.704556,2.795022,1.762466329,0.11480902756445924,1.7149565,1.7489565,1.768683,1000,0.001171,0.00671,0.001361941,0.00023512647132766656,0.001263,0.001341,0.00140725,1000,0.00605,0.026256,0.0068201930000000004,0.0013070480732364055,0.006428,0.006619,0.00683425,1000,2.518285,5.232141,2.606716021,0.2040733917204312,2.5502505,2.577182,2.61595375,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000285,0.000993,0.000350691,5.3345941916888106e-05,0.00032,0.000343,0.000365,1000,2.61094,5.122822,2.709092386,0.19112978287416904,2.6567995,2.6848555,2.7160185,1000,0.051235,0.098219,0.053989555999999994,0.005438961731696961,0.0524385,0.0526805,0.0530695,1000,0.043112,0.083447,0.045916843,0.005177228345007684,0.04462075,0.0448195,0.0450515,1000,0.688177,2.040998,0.7179414869999999,0.09213006404485904,0.69489825,0.703948,0.72508925,1000,1.814722,2.953897,1.883771103,0.115534052123512,1.845117,1.8635785,1.88920725,1000,0.00111,0.013953,0.001322679,0.0004449278952358461,0.001217,0.001281,0.00135925,1000,0.006009,0.026893,0.006691903,0.0012674753857929552,0.00636575,0.006509,0.00670325,1000,2.6272,5.171467,2.7273525,0.19339667349842912,2.67484875,2.7027215,2.73328225,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
