SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.339275,0.521791,0.3613387098039216,0.021009836245269524,0.346695,0.356657,0.366808,255,11.858672,17.708155,12.53602500392157,0.49726168973616564,12.290499,12.425094,12.7552,255,0.287786,0.450788,0.30987974901960785,0.02232665602315368,0.292215,0.307859,0.3146785,255,0.139529,0.241709,0.15909447843137256,0.021831243760714387,0.141262,0.145668,0.1743695,255,3.573684,4.166104,3.7435054196078434,0.09569391551301558,3.677517,3.731128,3.811398,255,3.573684,4.166104,3.7435054196078434,0.09569391551301558,3.677517,3.731128,3.811398,255,0.022298,0.047471,0.02529729411764706,0.003320922755619126,0.0233335,0.023969,0.026413,255,0.048279,0.096569,0.05163727843137255,0.004429684005563223,0.0495905,0.05057,0.05254,255,40.000645,55.803695,48.03474652549019,2.387039382010496,47.753315,48.108786,48.6410965,255,27.2199,42.665708,34.959604949019614,2.3361717512668188,35.109347,35.270035,35.4730025,255,0.020345,0.04243,0.02197354901960784,0.0026297943639411593,0.021096,0.021461,0.0219405,255,21.762954,28.747942,22.29646145098039,1.3612042735237249,21.895698,21.962721,22.053619,255,4.903032,13.81607,12.220480549019609,1.77497963744085,12.772725,12.872738,13.004792,255,0.396948,0.513604,0.4178181058823529,0.022316387849198347,0.403608,0.410189,0.422698,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.967809,14.223639,9.374380572079772,0.3012452422741403,9.145057,9.288027,9.5393725,1755,8.652612,13.883247,9.061486621652422,0.29874763003125687,8.835176,8.975773,9.210402,1755,0.005157,0.689011,0.17832610854700853,0.1741501569312718,0.0286465,0.170946,0.28428625,10530,0.006055,0.306253,0.0827938101614435,0.07930975887506314,0.0143505,0.0658265,0.146007,10530,0.034207,5.74147,1.1740337775878442,1.2041199396264115,0.0908245,0.903989,1.76529725,10530,0.034207,5.74147,1.1740337775878442,1.2041199396264115,0.0908245,0.903989,1.76529725,10530,0.091504,0.178582,0.10863216296296296,0.01203293860174588,0.0986485,0.109512,0.1145445,1755,0.119737,0.211098,0.13353342564102566,0.011339661053111618,0.126421,0.131864,0.1353675,1755,24.001042,45.648706,30.7247702991453,3.7099080287709945,28.249699,30.138472,32.5065365,1755,14.287008,36.033001,20.842423272934475,3.6798795761042986,18.4688955,20.31726,22.710362,1755,0.074789,0.15108,0.08599790655270656,0.009310669514445351,0.081096,0.083866,0.0875675,1755,13.430054,34.872025,19.99815593732194,3.582546959847071,17.695575,19.471984,21.8542215,1755,0.101879,0.665063,0.25950243874643875,0.10570427807403714,0.2001635,0.234991,0.286134,1755,0.434539,0.709535,0.49651743304843304,0.03312560230534188,0.473928,0.489485,0.5098515,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.04765,1.791857,0.108564519,0.12360770203623897,0.0546595,0.093872,0.12362325,1000,0.124331,0.256767,0.144288902,0.01883831114724449,0.12983625,0.1373615,0.15666575,1000,0.0018,0.023919,0.0026119095,0.0012673950758582543,0.00201475,0.002177,0.003008,4000,0.004018,0.044219,0.00516466925,0.001793095006365931,0.004269,0.00451,0.005718,4000,0.000349,0.01127,0.0007263325,0.0007075198954402272,0.000453,0.000506,0.00091225,4000,0.000349,0.01127,0.0007263325,0.0007075198954402272,0.000453,0.000506,0.00091225,4000,0.020094,0.061409,0.023113194,0.004595281998350483,0.02059175,0.0208995,0.024861,1000,0.025366,0.063503,0.028002081999999998,0.004043072258478198,0.02599075,0.0263695,0.029209,1000,0.418954,2.436827,0.525687604,0.15309483831571588,0.452838,0.486749,0.575528,1000,0.086518,0.217913,0.102960827,0.016981110435394707,0.0904395,0.0947735,0.113301,1000,0.024847,0.071242,0.029330491,0.005729518665465626,0.02587375,0.026859,0.031603,1000,0.039512,0.118002,0.046893277000000004,0.009557341765693585,0.04047775,0.0430585,0.0520535,1000,0.005368,0.023596,0.006691247,0.001915396703033343,0.00564275,0.0058115,0.007139,1000,0.015991,0.048758,0.019518651999999997,0.003969832833117284,0.016986,0.017745,0.02094625,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.042387,1.800772,0.108331841,0.12058871858649017,0.05408625,0.094712,0.12556325,1000,0.12602,0.284061,0.144847837,0.017947794742040904,0.131661,0.137737,0.15628375,1000,0.001822,0.023765,0.002575117,0.0011867791169004448,0.002023,0.002153,0.003012,4000,0.004083,0.0391,0.0052873475,0.0017829825437293966,0.00436075,0.0045925,0.005817,4000,0.000355,0.019975,0.00073790375,0.0008550668459167023,0.000455,0.000507,0.000879,4000,0.000355,0.019975,0.00073790375,0.0008550668459167023,0.000455,0.000507,0.000879,4000,0.020364,0.057467,0.023353862,0.004337482206644311,0.02083125,0.021129,0.0249305,1000,0.025462,0.061599,0.028048039,0.00426231341825997,0.02597175,0.026379,0.02914025,1000,0.423434,2.417798,0.528711605,0.1494562851351892,0.45634725,0.490655,0.58076975,1000,0.088005,0.202529,0.10419893499999999,0.016428221049607745,0.0915405,0.0960045,0.11503875,1000,0.025089,0.076041,0.029691290000000002,0.005811074552085871,0.02623775,0.026994,0.03217525,1000,0.039811,0.11835,0.047649832999999996,0.009515802852892183,0.0409455,0.044067,0.0524565,1000,0.005391,0.029912,0.006751638,0.0019012086347784138,0.00567575,0.006075,0.00712275,1000,0.016498,0.048114,0.019552341,0.0037181351587481323,0.0172,0.0177445,0.0209435,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.037015,1.753553,0.079772512,0.1179314616700389,0.05304375,0.0675685,0.07996525,1000,0.125585,0.240649,0.13616017800000002,0.013317093315897281,0.129058,0.131682,0.13576825,1000,0.001843,0.020647,0.0024132975,0.001079259377301745,0.001979,0.002054,0.002911,4000,0.004026,0.024511,0.004886172249999999,0.0015032263389389959,0.004209,0.004375,0.005595,4000,0.000366,0.016845,0.0007212297499999999,0.0007147539156695383,0.000453,0.0005,0.00092025,4000,0.000366,0.016845,0.0007212297499999999,0.0007147539156695383,0.000453,0.0005,0.00092025,4000,0.020294,0.05857,0.021660702,0.00287251629084954,0.020802,0.021034,0.02124025,1000,0.025426,0.057489,0.027168395,0.003793796125910695,0.026082,0.026286,0.02654425,1000,0.436781,2.452963,0.502933522,0.14002567312992828,0.4625255,0.486609,0.50665475,1000,0.099236,0.237542,0.12373054,0.016980124462570936,0.111383,0.121671,0.12867275,1000,0.025072,0.06497,0.02746403,0.004380431594843139,0.025972,0.026371,0.026874,1000,0.044746,0.10794,0.048962014000000005,0.007780439811591887,0.04588525,0.0464355,0.047665,1000,0.009194,0.087588,0.028074023,0.010494265899074168,0.0194795,0.0290205,0.03358075,1000,0.016646,0.054893,0.018689349999999997,0.0035289440969644165,0.01734275,0.0175795,0.018105,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.030425,1.535057,0.08400491,0.09996023093907848,0.0742365,0.075097,0.07762275,1000,0.039797,0.124975,0.053778108,0.009664992325208333,0.05118775,0.0517175,0.0527195,1000,0.002923,0.021836,0.004183395,0.0013603671522699303,0.004049,0.00412,0.00419325,1000,0.005686,0.024548,0.007759457,0.0018723888902017656,0.0074945,0.007581,0.007687,1000,0.000757,0.010574,0.001013985,0.0004594629133836593,0.000934,0.000965,0.000997,1000,0.000757,0.010574,0.001013985,0.0004594629133836593,0.000934,0.000965,0.000997,1000,0.006083,0.035679,0.009479237,0.002223744126654638,0.00927,0.0093995,0.009542,1000,0.010016,0.041008,0.012557502,0.002481032827673991,0.01220375,0.012311,0.01242225,1000,0.139822,1.791844,0.242828497,0.1101858328477395,0.230638,0.2332845,0.25091675,1000,0.012015,0.108613,0.038747693,0.011461961822164258,0.03853775,0.0389975,0.040925,1000,0.00198,0.01826,0.003124971,0.001275045946685452,0.00294975,0.003011,0.00309,1000,0.006802,0.054008,0.017084984,0.005300338226542152,0.01665,0.01684,0.017074,1000,0.001633,0.064589,0.016300134,0.006735565910452069,0.01708225,0.017327,0.01749425,1000,0.000937,0.034013,0.001456733,0.0013079064621413109,0.001273,0.001315,0.00136,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,-0.0544,1.585882,0.09778911500000001,0.1040012250014286,0.074731,0.1019685,0.10404775,1000,0.040183,0.115229,0.053544781,0.009082395038812119,0.0511895,0.051669,0.052409,1000,0.00284,0.019313,0.004174667,0.0013685752073273139,0.00401,0.0040835,0.00414925,1000,0.005663,0.0333,0.00778187,0.002167320815915355,0.007467,0.0075575,0.007645,1000,0.000729,0.014654,0.001035713,0.0008484101264311972,0.000914,0.000949,0.00098025,1000,0.000729,0.014654,0.001035713,0.0008484101264311972,0.000914,0.000949,0.00098025,1000,0.006044,0.035104,0.009323958,0.0020231340257718966,0.00917875,0.009302,0.0094385,1000,0.010015,0.04091,0.01250476,0.002492465095121695,0.01215275,0.012248,0.01236825,1000,0.14072,1.825121,0.246042745,0.11393534913369938,0.2188285,0.250077,0.254487,1000,0.011998,0.07548,0.028414807,0.007205208375456674,0.025662,0.0295525,0.0301305,1000,0.001992,0.020693,0.003070247,0.001296492735803406,0.002876,0.0029455,0.00303225,1000,0.006809,0.045467,0.015807723,0.00449854369638342,0.0151205,0.01583,0.01609325,1000,0.001607,0.033756,0.0074146,0.002949959595316519,0.00584975,0.0089395,0.009166,1000,0.000938,0.017276,0.0013650799999999999,0.0007731554420684109,0.00120075,0.001271,0.001331,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.00842,0.186347,0.010099386,0.00973466611944159,0.00873975,0.008876,0.009164,1000,1.115084,1.307442,1.149307473,0.02488822729933313,1.1351845,1.145661,1.15821325,1000,0.067261,0.140962,0.069325126,0.006632804192656678,0.06757775,0.0677325,0.06794325,1000,0.037676,0.076923,0.039499644,0.004528878858974261,0.038156,0.0386035,0.038854,1000,0.000655,0.020657,0.000883573,0.0008632306115233634,0.000782,0.000817,0.000854,1000,1.001071,1.144449,1.031377975,0.020857831237412364,1.020373,1.0298685,1.03990125,1000,0.002645,0.020276,0.002989677,0.0008537123161059585,0.002799,0.0028455,0.00290425,1000,0.008057,0.028373,0.008608461999999999,0.001476298949588463,0.00833,0.008404,0.008509,1000,1.148372,1.490826,1.184964251,0.03136558919255302,1.168856,1.180072,1.193331,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000287,0.010889,0.00035837099999999996,0.0003367468030419888,0.00032975,0.00034,0.000356,1000,2.471897,5.07799,2.559890099,0.1998131797411002,2.50695825,2.533571,2.5615215,1000,0.051867,0.108106,0.054537343,0.005546276732849796,0.05224175,0.052733,0.053953,1000,0.043788,0.097291,0.046128794,0.005320355908354628,0.04417475,0.0444635,0.04547725,1000,0.689051,2.225875,0.717376011,0.10338083391247567,0.69597975,0.701495,0.72347525,1000,1.672535,2.759908,1.734014236,0.11294104663758125,1.69803125,1.7152165,1.73725725,1000,0.001134,0.010771,0.001342323,0.0003247623541468438,0.001271,0.0013185,0.001364,1000,0.005964,0.027653,0.006640758,0.0014083222839378776,0.0062885,0.006449,0.006616,1000,2.488321,5.127594,2.5781959210000003,0.20233340749968298,2.52631375,2.5512445,2.579517,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000291,0.000862,0.00035092200000000004,4.492698427448698e-05,0.000332,0.000344,0.000358,1000,2.615127,5.073234,2.696875989,0.19248045305578662,2.6372895,2.675253,2.69506475,1000,0.052015,0.101441,0.054305816,0.005192865709041974,0.05239175,0.0526915,0.0549015,1000,0.043759,0.098593,0.045517250999999995,0.005032872274953836,0.04418575,0.044349,0.0445795,1000,0.68868,2.011519,0.713377954,0.09227827645427654,0.69406125,0.6964585,0.720674,1000,1.816299,2.919449,1.8759921480000001,0.11534360629316259,1.8351515,1.856195,1.88132775,1000,0.001161,0.011679,0.001362473,0.0005433940626019022,0.001262,0.001298,0.001364,1000,0.005995,0.021154,0.006686927,0.0014176051741126654,0.006279,0.0064425,0.006634,1000,2.631816,5.122697,2.715307455,0.19483811740788293,2.6551095,2.6935895,2.71346625,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
