SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.329667,0.418268,0.34319429411764707,0.014452651332980758,0.33419,0.339521,0.3455,255,11.848663,13.664622,12.399469407843137,0.3049743939646543,12.249038,12.394433,12.525761,255,0.284989,0.37963,0.29922476470588233,0.01697291503472545,0.2883245,0.292466,0.304609,255,0.136116,0.217711,0.14786670980392158,0.016210363356056953,0.137854,0.139762,0.1502395,255,3.907652,4.263607,4.0271566000000005,0.07724933720594401,3.944169,4.043008,4.080071,255,3.907652,4.263607,4.0271566000000005,0.07724933720594401,3.944169,4.043008,4.080071,255,0.025734,0.051452,0.027768188235294117,0.0022329462423959553,0.0265685,0.027011,0.028291,255,0.052776,0.104785,0.055573576470588235,0.004699719390145866,0.054037,0.054521,0.056292,255,40.108066,54.006568,47.445272827450985,1.834215189950461,47.652958,48.04909,48.2169055,255,27.126642,40.79726,34.51084272941176,1.843063602087862,35.013914,35.163266,35.3148,255,0.02093,0.032919,0.02253661568627451,0.0016556825644620844,0.021796,0.022138,0.0226175,255,21.755339,27.381432,21.96133368235294,0.35452659618602955,21.8731015,21.906476,21.9721955,255,4.848272,13.490667,12.108516301960785,1.7977047825673014,12.711683,12.798035,12.928201,255,0.3968,0.51193,0.41641459999999997,0.01858872472323151,0.4067755,0.412007,0.4180155,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,12.302111,39.695804,13.206185761823361,1.433872158883554,12.8687035,12.963276,13.1650875,1755,11.929939,39.267221,12.878507067806268,1.4133567340049524,12.5470505,12.638428,12.841947,1755,0.008439,2.056448,0.25757456153846153,0.22959474700980703,0.05260825,0.3191465,0.4131785,10530,0.009747,0.834422,0.09842932165242166,0.0790028551613579,0.02685325,0.112602,0.159484,10530,0.058247,23.027155,1.8514411215574549,1.9212620183239588,0.167297,1.194901,2.647561,10530,0.058247,23.027155,1.8514411215574549,1.9212620183239588,0.167297,1.194901,2.647561,10530,0.092814,0.486036,0.11139915327635327,0.01906633395157927,0.0994285,0.108949,0.1172855,1755,0.130584,0.575947,0.14570365014245015,0.02184261117522911,0.1352375,0.141677,0.146885,1755,23.648458,61.051531,29.089684702564103,3.316288909298881,27.1619805,28.809188,30.672019,1755,10.274859,39.677524,15.283060315099714,2.6704425161501626,13.519086,15.054465,17.018585,1755,0.073841,0.342926,0.08526332193732193,0.013684746989555605,0.0798035,0.082106,0.084949,1755,9.465876,38.317378,14.411170587464387,2.580658045972162,12.719098,14.220321,16.1205255,1755,0.102883,0.950247,0.26875381025641026,0.10598889562187189,0.2069605,0.24346,0.296099,1755,0.433193,1.587537,0.5155708507122507,0.04648360810581488,0.4924015,0.511671,0.5342165,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.032435,1.72992,0.09428627499999999,0.12164019831345793,0.04308675,0.080691,0.10966375,1000,0.192058,0.31971,0.21451703400000002,0.020537573143749092,0.19974875,0.204334,0.23088425,1000,0.002087,0.013533,0.002735815,0.000801734554746769,0.00226475,0.002359,0.003081,4000,0.00417,0.023484,0.0052941857499999995,0.0012343653866448692,0.004505,0.004686,0.005944,4000,0.014712,0.054059,0.01742097625,0.0025096663816503457,0.01561675,0.01642,0.018706,4000,0.014712,0.054059,0.01742097625,0.0025096663816503457,0.01561675,0.01642,0.018706,4000,0.020548,0.04662,0.023064002,0.0031976474292823463,0.020992,0.021252,0.024882,1000,0.025543,0.067578,0.028114494,0.003159162360810853,0.0262815,0.0267695,0.02953975,1000,0.488602,2.501736,0.593050273,0.15526969685439096,0.5062555,0.553743,0.650603,1000,0.090774,0.211069,0.10551783199999999,0.016569641976451274,0.093763,0.0975595,0.1165525,1000,0.025414,0.06893,0.029397008999999998,0.004912240785722845,0.0263245,0.0270375,0.03188925,1000,0.040907,0.118619,0.048181019,0.00922594293612523,0.0421095,0.0441595,0.05277,1000,0.006213,0.022294,0.007650642,0.0019217700304240358,0.006491,0.006719,0.0082235,1000,0.016657,0.055028,0.019764235,0.003531690490653874,0.0175545,0.0181445,0.021301,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.030789,1.659834,0.094363789,0.1180684550183599,0.043616,0.0807795,0.11014175,1000,0.193891,0.342767,0.215012449,0.021073527087068243,0.1989265,0.204512,0.23156675,1000,0.002091,0.018575,0.00273857175,0.0008319933685744963,0.002251,0.0023625,0.003091,4000,0.004226,0.023623,0.005299657,0.0012408475008440806,0.004489,0.004654,0.0059375,4000,0.014845,0.050588,0.017632316,0.0028131478754491383,0.01567575,0.0163945,0.0188875,4000,0.014845,0.050588,0.017632316,0.0028131478754491383,0.01567575,0.0163945,0.0188875,4000,0.020583,0.066465,0.023237207,0.003476293304102949,0.02108975,0.0213355,0.0251075,1000,0.025639,0.054908,0.028023639,0.002698345339403205,0.02625825,0.026675,0.02958675,1000,0.487655,2.472594,0.594608851,0.15248144405488426,0.50843475,0.553629,0.6546895,1000,0.090099,0.242566,0.10574546000000001,0.01645364263482102,0.09418025,0.0981455,0.1165245,1000,0.025212,0.070607,0.029498488,0.004797454802273389,0.02641075,0.027319,0.03217325,1000,0.041205,0.139441,0.048385311,0.009257326924565159,0.0422585,0.043701,0.05309525,1000,0.006016,0.02294,0.007689384,0.0019034501271491197,0.00647,0.0069975,0.0082295,1000,0.016536,0.045952,0.019620627,0.003062724218709709,0.01742975,0.0182155,0.02135325,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.031919,1.681491,0.066150594,0.11438186930347469,0.042051,0.053778,0.0663795,1000,0.194021,0.31935,0.205531249,0.013705273122962528,0.1987975,0.201883,0.20557975,1000,0.002071,0.023821,0.0025593465000000003,0.00082946598781249,0.002221,0.002307,0.00293125,4000,0.004206,0.023373,0.00504608325,0.0011380564870951868,0.004482,0.004621,0.00583125,4000,0.014897,0.04593,0.016879435,0.0022754069805806165,0.015463,0.016106,0.018439,4000,0.014897,0.04593,0.016879435,0.0022754069805806165,0.015463,0.016106,0.018439,4000,0.020685,0.055129,0.02161946,0.0019859598763318454,0.021061,0.0211935,0.02134525,1000,0.025854,0.059621,0.026949621,0.002191671021243608,0.026316,0.0264835,0.02666225,1000,0.508664,2.419092,0.567249356,0.13762181445304106,0.52486475,0.5536515,0.56862075,1000,0.103753,0.243119,0.12637853,0.016167806065793218,0.11546975,0.1252615,0.13161775,1000,0.025863,0.077398,0.027924224999999997,0.0033344338335578056,0.026774,0.0272775,0.027862,1000,0.046614,0.117831,0.049715949999999995,0.006750145459728998,0.04750875,0.047914,0.048768,1000,0.009318,0.082874,0.029552642,0.010265967301225736,0.021003,0.030982,0.03595325,1000,0.016998,0.048204,0.018657408,0.002456710874632178,0.01766675,0.017895,0.01825725,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036274,1.608095,0.078417922,0.10046417635939646,0.0705255,0.071429,0.0744005,1000,0.060327,0.167748,0.078399541,0.009072835771704401,0.0773575,0.0778895,0.0788015,1000,0.003002,0.018632,0.004259505,0.0009305376628460559,0.0041745,0.004255,0.00433525,1000,0.006089,0.042503,0.007927779000000001,0.0017758145202016453,0.0078,0.007898,0.00800325,1000,0.01858,0.061271,0.024968799,0.0033827750011786177,0.024668,0.0249315,0.0252325,1000,0.01858,0.061271,0.024968799,0.0033827750011786177,0.024668,0.0249315,0.0252325,1000,0.006517,0.024156,0.009655883,0.00145301347251531,0.009602,0.009728,0.009962,1000,0.010199,0.037067,0.012273817999999999,0.0014737157171164322,0.01217075,0.012262,0.01236425,1000,0.162107,1.876856,0.26509424200000004,0.110996077383669,0.259621,0.261807,0.26575175,1000,0.012946,0.084392,0.038942428999999994,0.009932980670924465,0.04002375,0.0404415,0.04130425,1000,0.002135,0.012657,0.003180651,0.0006853462068174012,0.003078,0.003147,0.00322425,1000,0.007291,0.044314,0.017116309,0.0041252476332359735,0.017259,0.017451,0.01764575,1000,0.001912,0.055948,0.016473927,0.0060468589452434725,0.017813,0.017973,0.01808425,1000,0.00101,0.007669,0.0014473040000000002,0.0006300354526405636,0.00130975,0.001359,0.00141425,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.036601,1.433104,0.09258747,0.09478944313664417,0.072239,0.098448,0.1007365,1000,0.060165,0.165675,0.077471106,0.007722412775471407,0.07685475,0.077439,0.07839825,1000,0.00303,0.014427,0.0042193249999999995,0.0007100431151521715,0.00418175,0.0042645,0.004336,1000,0.006002,0.029725,0.007811703000000001,0.0011612978501620503,0.00777275,0.007859,0.007947,1000,0.018621,0.056587,0.024736576,0.003015259837596753,0.0246035,0.024815,0.02503775,1000,0.018621,0.056587,0.024736576,0.003015259837596753,0.0246035,0.024815,0.02503775,1000,0.006579,0.029483,0.009628156,0.0016180298766289823,0.009556,0.009715,0.0098755,1000,0.010182,0.041705,0.012264773999999999,0.001644895417017143,0.0120735,0.012213,0.012371,1000,0.160972,1.704303,0.268495136,0.10557016781079542,0.24765675,0.2774825,0.2829555,1000,0.012705,0.068544,0.029114381,0.006852719266819487,0.0268365,0.0309165,0.03152175,1000,0.001934,0.012391,0.003145456,0.00059886626559191,0.003074,0.003144,0.00321225,1000,0.007192,0.045445,0.015927965,0.003999343342572003,0.01554975,0.0162695,0.01664325,1000,0.001971,0.027811,0.007921922999999999,0.00291397955193083,0.0063225,0.0095165,0.0098565,1000,0.000952,0.007528,0.001409104,0.0005748919595750144,0.00126575,0.001333,0.00138925,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006079,0.133026,0.007760192,0.008847378623701824,0.00644775,0.0065735,0.0068415,1000,1.117509,1.320798,1.143770304,0.03200345162237324,1.1233035,1.130743,1.1422555,1000,0.067349,0.119706,0.06877675500000001,0.0034606690499056677,0.0678485,0.0679995,0.0681705,1000,0.037526,0.089535,0.03901151,0.0032524486046515786,0.03793875,0.038269,0.03867225,1000,0.015081,0.035597,0.015996822,0.0017959052821115038,0.015462,0.0156095,0.01579,1000,0.986186,1.155903,1.011853751,0.029226505417394653,0.99297375,0.998794,1.0092545,1000,0.00281,0.02048,0.003235848,0.0010076811216332279,0.00299775,0.00305,0.00312375,1000,0.011065,0.028767,0.011589888999999999,0.0011094848176874707,0.011296,0.011397,0.011526,1000,1.153509,1.513901,1.182478024,0.037005379307492904,1.16104675,1.168443,1.1817325,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000302,0.000884,0.00035606200000000003,4.8105614599545445e-05,0.000335,0.000348,0.000364,1000,2.506734,4.984379,2.570863565,0.18945295424458752,2.52077925,2.537829,2.5753185,1000,0.051024,0.082013,0.054157875999999994,0.003081799981930041,0.05272675,0.0533945,0.055981,1000,0.043258,0.086314,0.045760345,0.0032901794227632934,0.044634,0.044959,0.0472345,1000,0.691332,2.093735,0.711256179,0.09657036323615521,0.6973355,0.6994965,0.7035625,1000,1.706866,2.757141,1.75237217,0.10861842553710259,1.714528,1.728366,1.760573,1000,0.001265,0.011847,0.0014540830000000001,0.0003691520799223539,0.00137075,0.001418,0.001471,1000,0.012052,0.032397,0.012685229999999999,0.0011693952304930957,0.012371,0.0125015,0.012675,1000,2.530755,5.046916,2.596803484,0.19180272301502851,2.54626425,2.563795,2.601011,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000305,0.000832,0.000354295,3.943422339795726e-05,0.000339,0.000348,0.000361,1000,2.61556,4.944567,2.675195835,0.1798671241697431,2.62456825,2.6321815,2.67179775,1000,0.052046,0.097887,0.053547718,0.003490569160248225,0.052558,0.052877,0.05340425,1000,0.044659,0.092394,0.04597895,0.003901263856944311,0.0450515,0.045206,0.045424,1000,0.690586,1.959626,0.709911941,0.08647129825131296,0.6956115,0.6977,0.7003815,1000,1.814279,2.853534,1.858385642,0.10812998899304409,1.82221975,1.8258995,1.861188,1000,0.001274,0.00383,0.00151857,0.00019767879780087697,0.001374,0.0014505,0.001642,1000,0.01199,0.032256,0.012525874,0.0010656710468639,0.01226875,0.012394,0.0125375,1000,2.639278,4.999962,2.7009658990000003,0.18193144222728186,2.649692,2.6580855,2.6974815,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,8.4,1.6800000000000002,3.3600000000000003,0.0,0.0,0.0,5
