SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.341943,0.433368,0.35966483529411764,0.01529354590785332,0.3494535,0.354138,0.3636025,255,11.940871,13.416124,12.412718890196077,0.3119692161952869,12.215612,12.421448,12.5079335,255,0.283273,0.388666,0.3020097176470588,0.021868064979233142,0.2880555,0.292854,0.3060405,255,0.13641,0.247549,0.15132653333333332,0.02232615445487661,0.137838,0.138942,0.16352,255,3.539991,3.870982,3.6693719843137256,0.052614673579172676,3.638621,3.671182,3.69845,255,3.539991,3.870982,3.6693719843137256,0.052614673579172676,3.638621,3.671182,3.69845,255,0.022383,0.052587,0.02475869803921569,0.003207612964861736,0.0235005,0.023842,0.0250645,255,0.052926,0.094186,0.05614803921568627,0.004737593933719422,0.05418,0.054749,0.056142,255,39.906506,54.137725,47.59524995294118,2.1515711792842644,47.741767,48.02847,48.329326,255,27.106107,41.179777,34.64617492549019,2.1253082231066416,35.028356,35.213363,35.3285795,255,0.020563,0.041458,0.021878007843137256,0.0018908599184791648,0.0212645,0.021617,0.021943,255,21.762205,27.902197,22.062130890196077,0.9466402370648812,21.838319,21.868032,21.9195115,255,4.826425,13.660412,12.13498097254902,1.82290300677355,12.747222,12.876798,12.966143,255,0.398935,0.541501,0.42440053725490196,0.024609773143570907,0.408167,0.415363,0.4341485,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.990335,14.410244,9.296606121937321,0.35905641914240966,9.0999525,9.187941,9.4371115,1755,8.679766,14.092871,8.989272838176637,0.3560400384115964,8.796683,8.87826,9.1283305,1755,0.005082,0.661752,0.17413522013295346,0.1684507949184596,0.03195125,0.116654,0.27813825,10530,0.006119,0.320282,0.07626377644824311,0.07360171961706438,0.01416,0.0602885,0.10552175,10530,0.035178,5.614611,1.1552377280151946,1.1917742031698735,0.08439525,0.881375,1.73444125,10530,0.035178,5.614611,1.1552377280151946,1.1917742031698735,0.08439525,0.881375,1.73444125,10530,0.097195,0.168557,0.11027860854700855,0.011371499763424197,0.1030705,0.1057,0.116336,1755,0.13067,0.235395,0.1436154752136752,0.011969209665318283,0.1360925,0.138858,0.147313,1755,24.047016,44.702531,30.793310963532765,3.6505586689708163,28.3812885,30.24799,32.4947245,1755,14.369937,34.856218,20.98720538005698,3.6387691077904805,18.6089035,20.432095,22.75569,1755,0.072792,0.14431,0.08305882678062679,0.008119464008573427,0.0790775,0.081271,0.08393,1755,13.576401,34.024155,20.152888593732193,3.550490617805458,17.8258,19.643177,21.923122,1755,0.099608,0.72936,0.25454247236467237,0.10286707872856024,0.1974265,0.229899,0.2817175,1755,0.437399,0.650666,0.494487762962963,0.028804077459691838,0.475554,0.489446,0.509769,1755,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.035606,1.651944,0.107275783,0.11875023327073472,0.05401675,0.092907,0.12326575,1000,0.122895,0.296432,0.141330714,0.019065652285253816,0.12844475,0.1333065,0.15368625,1000,0.001824,0.024461,0.00258271025,0.0011528159197352096,0.002013,0.00214,0.003011,4000,0.003965,0.0292,0.005127742750000001,0.0016598307370248439,0.004247,0.00442,0.00572525,4000,0.000335,0.020387,0.00075671775,0.0007824474510054573,0.000471,0.000533,0.00095,4000,0.000335,0.020387,0.00075671775,0.0007824474510054573,0.000471,0.000533,0.00095,4000,0.019861,0.054968,0.022908166,0.0040965224335335945,0.0205435,0.020944,0.02451525,1000,0.027551,0.066841,0.030577004,0.004434643687601519,0.02822275,0.028936,0.0318855,1000,0.416887,2.290747,0.521822583,0.14848200679748744,0.45033825,0.483668,0.57595675,1000,0.085359,0.207458,0.100608417,0.015977925726924348,0.0882845,0.092688,0.1111105,1000,0.025133,0.068649,0.029344873,0.005326565295279032,0.026072,0.02678,0.031762,1000,0.037592,0.115802,0.04475188,0.008903799287135802,0.03859875,0.0410915,0.04972825,1000,0.005358,0.035711,0.006672292000000001,0.0022171086574040524,0.00558,0.0057195,0.00711175,1000,0.016031,0.05868,0.019284076,0.004390464586148486,0.016705,0.017403,0.02056375,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.041347,1.775601,0.108332985,0.12406977710416334,0.05296475,0.094361,0.1246,1000,0.124755,0.263265,0.140930307,0.01675276960531455,0.12774225,0.13258,0.15235525,1000,0.001861,0.020359,0.00253013825,0.0009620485121016182,0.002019,0.0021505,0.00298425,4000,0.003997,0.046318,0.00515926275,0.0018342804265467257,0.00424175,0.00441,0.00571325,4000,0.000352,0.010741,0.00073803975,0.0006920946107071904,0.000466,0.00053,0.000877,4000,0.000352,0.010741,0.00073803975,0.0006920946107071904,0.000466,0.00053,0.000877,4000,0.01998,0.073578,0.023224566,0.004450773083818586,0.02063475,0.0212495,0.0250805,1000,0.027463,0.069314,0.030530914,0.0045112458124784115,0.02813675,0.0291505,0.03188875,1000,0.421195,2.460553,0.524539766,0.15395276706744587,0.45108825,0.4852615,0.57739,1000,0.085455,0.20788,0.100960076,0.016153348429790774,0.08848975,0.0933365,0.11146875,1000,0.025351,0.069732,0.029648176,0.005679742124517978,0.02627875,0.0269055,0.03209675,1000,0.037753,0.126634,0.044776141000000005,0.008837601708332357,0.038736,0.041608,0.049999,1000,0.005264,0.025923,0.006748909,0.0021253138941622245,0.005588,0.005973,0.00709225,1000,0.0161,0.056641,0.01920477,0.0038143633021908126,0.01668725,0.0174755,0.0206365,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
BilateralLagrangianConstraint_UGS,0.04777,1.778825,0.079621268,0.11963417091088221,0.0527465,0.0671535,0.0786595,1000,0.123688,0.269264,0.13541635200000002,0.01431923633501787,0.128239,0.130283,0.13379975,1000,0.001814,0.034171,0.0024328745,0.0013298780486382014,0.001976,0.00206,0.002892,4000,0.003957,0.024082,0.00487818525,0.0015266476227120775,0.004213,0.00434,0.00565225,4000,0.000346,0.079619,0.000763853,0.0014383187061256623,0.000461,0.000522,0.000982,4000,0.000346,0.079619,0.000763853,0.0014383187061256623,0.000461,0.000522,0.000982,4000,0.020052,0.06232,0.021670107,0.003763178409742355,0.02061675,0.02083,0.0211215,1000,0.027777,0.066298,0.029964671999999998,0.004378648972047885,0.02844175,0.0287335,0.029985,1000,0.436667,2.48328,0.502081904,0.14270365545789912,0.465426,0.4843865,0.5046535,1000,0.097131,0.242372,0.121757592,0.017161482335087956,0.10976875,0.1199355,0.1264955,1000,0.025186,0.070847,0.027675045,0.004722881686319805,0.026119,0.02645,0.02684175,1000,0.042494,0.153451,0.046593648,0.008392949375999834,0.0437385,0.0441835,0.04497475,1000,0.008983,0.08229,0.028192319,0.010245068682309504,0.019616,0.0291955,0.0338425,1000,0.016504,0.071777,0.018771989000000003,0.003923371313663672,0.0173055,0.017599,0.01810225,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.035062,1.417552,0.083668495,0.09497349410344957,0.075406,0.075918,0.078104,1000,0.040172,0.117909,0.053796357,0.009318582575990353,0.05112,0.0516145,0.05282325,1000,0.002927,0.020932,0.004255638,0.0016253050621209547,0.004044,0.0041055,0.004166,1000,0.005777,0.026293,0.007763049,0.0021340453501739365,0.00740475,0.0075005,0.007617,1000,0.000743,0.01518,0.001089357,0.0008757014739915652,0.000958,0.000987,0.001019,1000,0.000743,0.01518,0.001089357,0.0008757014739915652,0.000958,0.000987,0.001019,1000,0.006071,0.039205,0.009655325000000001,0.002574695098720429,0.009317,0.0094455,0.009583,1000,0.011129,0.048198,0.014369299,0.0033465521337040305,0.0138145,0.0139525,0.01409025,1000,0.14151,1.667096,0.244988139,0.10494973118901106,0.23303725,0.2357485,0.2539245,1000,0.012008,0.192596,0.038172773,0.012063268126070606,0.03790525,0.038355,0.04079425,1000,0.002007,0.024813,0.00309662,0.0014089192516251595,0.002914,0.00298,0.003057,1000,0.006756,0.170102,0.016468936,0.006846998545195114,0.015861,0.0159915,0.0162,1000,0.001619,0.091242,0.016412104,0.006903591253773937,0.01723,0.0174815,0.01771025,1000,0.000918,0.018824,0.001440391,0.0008411658671861335,0.001296,0.001342,0.00139825,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.034113,1.465404,0.099127883,0.09738705686421227,0.07601675,0.104164,0.1067565,1000,0.040124,0.153034,0.053334806,0.009060877998646931,0.050768,0.0515595,0.05255675,1000,0.002749,0.024371,0.004193754,0.0015951097446520724,0.003996,0.004074,0.004139,1000,0.005689,0.025465,0.007696402,0.0018829462133571422,0.00741175,0.007523,0.007648,1000,0.000761,0.014773,0.001078979,0.0008727733397389039,0.000948,0.000981,0.001013,1000,0.000761,0.014773,0.001078979,0.0008727733397389039,0.000948,0.000981,0.001013,1000,0.006013,0.04039,0.009625316,0.0028093684813751294,0.009223,0.009353,0.00951125,1000,0.011192,0.039406,0.014177229999999999,0.0027417949429342815,0.01372775,0.0139065,0.01406925,1000,0.141714,1.699726,0.24968301199999998,0.10813858206270255,0.22200025,0.253177,0.25829075,1000,0.012035,0.18272,0.027902277,0.008799638492930887,0.02475125,0.028707,0.0292385,1000,0.001987,0.02145,0.003116347,0.0014505838323209729,0.002881,0.002946,0.0030185,1000,0.00679,0.168537,0.015089657,0.00654833043281652,0.01413575,0.014875,0.015128,1000,0.0016,0.03853,0.007503837,0.0031308873685316433,0.00585475,0.008975,0.009205,1000,0.000941,0.016474,0.001417115,0.0008423357927661629,0.001231,0.001309,0.001379,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008379,0.164168,0.010298399,0.00969354489048248,0.00875675,0.0089505,0.009435,1000,1.100072,1.320001,1.129911436,0.0289921429899534,1.107456,1.125072,1.1410215,1000,0.066706,0.111858,0.06918481,0.005817165508896924,0.0673735,0.0676025,0.067802,1000,0.037432,0.086771,0.038950464,0.004410745493757716,0.037787,0.0379355,0.03818525,1000,0.000693,0.012534,0.000960163,0.0006797937381522427,0.000795,0.0008415,0.000903,1000,0.984486,1.166637,1.012982964,0.025632763244697283,0.99333,1.009701,1.02299975,1000,0.00262,0.022608,0.002954824,0.0007100718365236013,0.00281675,0.002898,0.00299625,1000,0.008435,0.022308,0.009001862,0.001180986235718266,0.00871775,0.008816,0.00895225,1000,1.133523,1.504509,1.1660634429999999,0.034989080876964326,1.141173,1.1594125,1.17733025,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000275,0.002908,0.000346879,0.00010274179460667408,0.000311,0.000331,0.000362,1000,2.506241,5.202999,2.6243243339999998,0.21053495236785374,2.55836725,2.5778745,2.6362415,1000,0.051971,0.10227,0.054063321000000004,0.005625616609933439,0.052316,0.052505,0.05285125,1000,0.04415,0.088151,0.0459595,0.00546857727329513,0.04447875,0.044589,0.04477225,1000,0.687964,2.192313,0.7190723569999999,0.1036320900750224,0.694721,0.7146155,0.72437575,1000,1.70872,2.927505,1.797808773,0.1282228844053489,1.74133975,1.7623485,1.80192025,1000,0.001129,0.012254,0.0013118119999999999,0.00037110140751013055,0.001239,0.0012795,0.00132825,1000,0.005965,0.027605,0.006637198,0.0015691578591065973,0.00626375,0.006406,0.006563,1000,2.522421,5.252713,2.6423627450000002,0.21296407800200945,2.57675175,2.5952775,2.65319675,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000279,0.000846,0.000351133,5.5600137688678435e-05,0.000315,0.000342,0.00037125,1000,2.613905,5.152075,2.710226971,0.19319200658380295,2.65384925,2.682047,2.71779725,1000,0.051519,0.103097,0.055782923000000005,0.006056619007752675,0.05262475,0.0534665,0.05674725,1000,0.043753,0.086214,0.046838337,0.005167107551564124,0.0443845,0.0451915,0.0473335,1000,0.687943,2.048809,0.716672664,0.09320645357161224,0.69641925,0.7011625,0.72427225,1000,1.814787,2.960774,1.8833450330000001,0.11598257576847441,1.84220675,1.8620885,1.88767675,1000,0.001135,0.018589,0.0014001679999999998,0.0007146690729113721,0.001244,0.0012915,0.001427,1000,0.005891,0.02422,0.006662904999999999,0.0013520171803549689,0.0062665,0.006425,0.00667,1000,2.629636,5.200315,2.72848158,0.19555917844838067,2.671198,2.6998265,2.73661,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
