SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.328661,0.404085,0.33946796470588236,0.010008525367999602,0.3332865,0.336402,0.3426625,255,11.838939,15.388778,12.367220980392156,0.3861200488021315,12.196836,12.349605,12.470991,255,0.283798,0.495946,0.2993391803921569,0.021230581943729652,0.2865365,0.293877,0.304689,255,0.13609,0.226616,0.14862336078431373,0.016549515515544448,0.1377525,0.139668,0.167773,255,3.897735,6.310449,4.016445270588235,0.17237727101532696,3.968203,4.001123,4.0280015,255,3.897735,6.310449,4.016445270588235,0.17237727101532696,3.968203,4.001123,4.0280015,255,0.022617,0.041327,0.024694980392156864,0.0020546607361781174,0.0235995,0.02393,0.025002,255,0.052615,0.084563,0.05531157647058823,0.0035191963633977924,0.053753,0.054136,0.056427,255,40.018448,59.991925,47.77240764313726,2.6606715022366085,47.5323315,47.882511,48.2181035,255,27.131712,44.418454,34.87977139215686,2.610236861869391,34.993059,35.106895,35.2123895,255,0.020518,0.038427,0.02233145882352941,0.0015109637611538484,0.0216835,0.022144,0.0226085,255,21.731487,28.302155,22.31792057254902,1.4848628278917235,21.866766,21.903565,21.942188,255,4.853789,21.659288,12.123414819607843,1.929011387841475,12.6961485,12.759353,12.835583,255,0.396704,0.535656,0.41383917254901964,0.018648835920397636,0.405231,0.409626,0.414471,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,12.063754,33.909539,13.622480443874645,0.8534785505751957,13.308918,13.534185,13.659624,1755,11.743586,30.663276,13.2707113002849,0.7998770000527914,12.9762245,13.188752,13.309593,1755,0.009184,0.902241,0.263649881291548,0.23385436727550774,0.05488525,0.2621125,0.42055325,10530,0.009531,3.265634,0.10953779620132953,0.09127288303338661,0.0273535,0.1134365,0.19188625,10530,0.075259,12.021561,1.9024368504273506,1.9437611733804732,0.1721715,1.295259,2.742528,10530,0.075259,12.021561,1.9024368504273506,1.9437611733804732,0.1721715,1.295259,2.742528,10530,0.091916,0.239108,0.11380949458689459,0.01596381658549505,0.100787,0.112837,0.1165495,1755,0.1311,0.21372,0.1482859829059829,0.014951095755886995,0.137412,0.14416,0.147715,1755,23.326801,51.735701,29.344092924786324,2.563444790578552,27.5507805,29.295372,30.9987895,1755,10.255385,21.576603,15.110118685470086,2.354964922703993,13.4136515,14.995574,16.847253,1755,0.073337,0.249748,0.08757608717948717,0.01237566110084621,0.081062,0.084478,0.088143,1755,9.398047,20.342763,14.227766988034189,2.2727037617800545,12.5868035,14.116999,15.9135245,1755,0.106438,0.783756,0.27685515498575497,0.10750833270576081,0.214177,0.251807,0.3088645,1755,0.441569,1.241437,0.5157785766381766,0.03451809439842034,0.493299,0.512987,0.5359485,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.025525,1.613879,0.09422109399999999,0.11710086463651395,0.0435525,0.0809895,0.110066,1000,0.194619,0.331108,0.21671775399999998,0.020083605751843567,0.2019025,0.2077655,0.23122875,1000,0.00204,0.019731,0.00272333875,0.0008008071325222057,0.002238,0.002373,0.00313125,4000,0.00424,0.02062,0.00535013175,0.0011881141729193946,0.00456975,0.00479,0.0060135,4000,0.014889,0.054324,0.0177292205,0.002652802295098478,0.0158855,0.016715,0.01895025,4000,0.014889,0.054324,0.0177292205,0.002652802295098478,0.0158855,0.016715,0.01895025,4000,0.02044,0.048949,0.023202193,0.0032949866864300076,0.02112175,0.0214605,0.02507275,1000,0.025581,0.0598,0.028034771,0.002867835939965709,0.02636575,0.026764,0.0293865,1000,0.48969,2.354327,0.594913992,0.15044097301242748,0.511687,0.555432,0.6545985,1000,0.090831,0.203518,0.105516616,0.016148522866706542,0.094104,0.098147,0.1154265,1000,0.025023,0.051896,0.029306312,0.004264232409784439,0.02635975,0.027272,0.03170775,1000,0.041072,0.117571,0.048280934000000005,0.009100657536224733,0.04229325,0.0446905,0.05263025,1000,0.006255,0.032749,0.007670049,0.00201857547409033,0.00650375,0.006704,0.00819525,1000,0.016621,0.053558,0.019706663,0.003405168280633279,0.01751625,0.018099,0.02140925,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.037837,1.740262,0.094606229,0.12401854348204773,0.0427,0.0815545,0.111075,1000,0.194526,0.312266,0.216317215,0.02050077856928305,0.200721,0.2058105,0.23259725,1000,0.002,0.022441,0.0027521439999999998,0.000901289924366183,0.002227,0.002386,0.003152,4000,0.004238,0.022202,0.005307214,0.0011521480031679958,0.004545,0.0047555,0.00594925,4000,0.015037,0.046161,0.017641479749999998,0.0026421748850312572,0.0157455,0.0165725,0.018838,4000,0.015037,0.046161,0.017641479749999998,0.0026421748850312572,0.0157455,0.0165725,0.018838,4000,0.020488,0.046527,0.023271918000000003,0.0034014306730074623,0.02104675,0.0213045,0.02502525,1000,0.025595,0.059709,0.027813254000000003,0.0029883910342329706,0.02612175,0.0264765,0.02892,1000,0.490508,2.497874,0.5956203689999999,0.15823008251251353,0.50695925,0.5549745,0.65315325,1000,0.090934,0.242178,0.10594238,0.01633756313773875,0.094372,0.09804,0.1172185,1000,0.025131,0.063265,0.029697086,0.004824844838811296,0.02646575,0.0278165,0.0321095,1000,0.041245,0.131207,0.048271217,0.008883254258767506,0.04221375,0.0443225,0.053569,1000,0.006157,0.019438,0.007653933,0.001684312667681093,0.0064375,0.0070105,0.008224,1000,0.016902,0.070017,0.019773577,0.0034817797943108063,0.01759325,0.0180935,0.02137425,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.028958,1.702084,0.06614985300000001,0.1166573941503469,0.04200975,0.0536805,0.06621425,1000,0.195626,0.369337,0.205772281,0.01657077913889504,0.19906625,0.2018225,0.2051735,1000,0.00204,0.014049,0.0025483965,0.0007112462599464057,0.002196,0.002281,0.003007,4000,0.004272,0.019493,0.0050454095,0.0011588405213012489,0.004449,0.0045805,0.00583025,4000,0.014932,0.061526,0.0169882745,0.002464849991612015,0.015546,0.0161655,0.01844475,4000,0.014932,0.061526,0.0169882745,0.002464849991612015,0.015546,0.0161655,0.01844475,4000,0.020672,0.048964,0.021711784,0.002083485132978875,0.02109375,0.0212525,0.021444,1000,0.025596,0.060426,0.027003817,0.002763205635038949,0.026218,0.0264,0.02660825,1000,0.504409,2.450446,0.566531746,0.14049417568877182,0.52320425,0.5512115,0.56520575,1000,0.102187,0.253233,0.125458152,0.01669267787495152,0.114303,0.124224,0.13044675,1000,0.025243,0.054204,0.02702063,0.003115989275831995,0.0259535,0.0262715,0.02664575,1000,0.04666,0.114499,0.049749366999999996,0.006471066764785463,0.0474915,0.047968,0.048943,1000,0.009404,0.133257,0.029307754000000002,0.010650707918607288,0.02072125,0.030522,0.035398,1000,0.017209,0.047043,0.018856110000000002,0.0025876884530213447,0.017756,0.017974,0.01839925,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.030335,1.496697,0.078710709,0.0969849309869854,0.071023,0.071898,0.075002,1000,0.061159,0.180304,0.079533013,0.009008172145159693,0.07828875,0.0790185,0.080591,1000,0.00314,0.015824,0.004417585,0.0010418504493328205,0.004288,0.004351,0.004426,1000,0.006101,0.033115,0.008031854,0.001437720575314967,0.00784975,0.007957,0.00810325,1000,0.018614,0.074348,0.025229415,0.003674835575746893,0.02495675,0.025172,0.02538475,1000,0.018614,0.074348,0.025229415,0.003674835575746893,0.02495675,0.025172,0.02538475,1000,0.006588,0.027813,0.009724244,0.001567630290745876,0.009668,0.009793,0.00991925,1000,0.010122,0.023679,0.012312574,0.0012628902963139751,0.01218975,0.0122875,0.01237625,1000,0.163561,1.760786,0.26690318,0.10666918022967835,0.261347,0.263535,0.26827075,1000,0.013035,0.095591,0.039190827,0.010065877790787598,0.04017625,0.040697,0.041574,1000,0.002279,0.020119,0.00322195,0.0008878420802710356,0.003045,0.003123,0.00324325,1000,0.007306,0.060996,0.017325416,0.004415064807332277,0.017284,0.0174525,0.0177775,1000,0.001858,0.062102,0.016669539,0.006191961758318522,0.01783875,0.018223,0.01840325,1000,0.001035,0.008542,0.001484567,0.0006651577207783129,0.001338,0.001379,0.001417,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.036745,1.456558,0.09310222,0.09512057443541644,0.0723375,0.0992715,0.101185,1000,0.061058,0.140275,0.078822358,0.008164760021448027,0.0777015,0.078544,0.0798235,1000,0.003056,0.021839,0.004405992,0.0010966593755291566,0.004273,0.004349,0.00442,1000,0.006188,0.025558,0.008064688,0.001602314617875029,0.0077535,0.007907,0.00809825,1000,0.01867,0.051346,0.024853974999999997,0.0026290731572885147,0.02469675,0.0249175,0.0252035,1000,0.01867,0.051346,0.024853974999999997,0.0026290731572885147,0.02469675,0.0249175,0.0252035,1000,0.006614,0.037514,0.009683015,0.0021195262566844975,0.00956075,0.009682,0.009815,1000,0.010086,0.038728,0.01231527,0.0017920662189495119,0.01208775,0.012204,0.012324,1000,0.163291,1.727727,0.270315984,0.10549288603746579,0.24894925,0.2785955,0.28428075,1000,0.012947,0.10735,0.029283926,0.007287620626138822,0.0269185,0.030926,0.03172525,1000,0.002109,0.013516,0.0031471370000000004,0.0007913086997063788,0.002986,0.003077,0.003164,1000,0.007251,0.057987,0.016103804,0.00401410127146588,0.01563675,0.01639,0.01677825,1000,0.001918,0.086837,0.008088132999999999,0.003955400264361497,0.00637175,0.0096455,0.00986625,1000,0.001055,0.010342,0.001446182,0.0006576408874727909,0.001281,0.0013405,0.001392,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006305,0.140479,0.007958804,0.009005301537293684,0.00659675,0.006756,0.007076,1000,1.119828,1.329317,1.140005425,0.023881239755305317,1.127875,1.131315,1.13908625,1000,0.066917,0.119063,0.06836202300000001,0.004042840775057929,0.067319,0.0675415,0.06779825,1000,0.037641,0.069578,0.038794303,0.0032192869945363678,0.038009,0.038142,0.038281,1000,0.015424,0.039181,0.016318197,0.0018627168872888333,0.015787,0.0159355,0.016131,1000,0.990583,1.196721,1.0083881670000001,0.021271175922151345,0.9978025,1.0007755,1.00807075,1000,0.0027,0.012783,0.0031502089999999997,0.0007798819803784417,0.002928,0.00299,0.00305125,1000,0.010962,0.028242,0.011582066,0.0011848409512014682,0.011268,0.011371,0.011502,1000,1.155369,1.453264,1.178538753,0.029765029499901237,1.16478575,1.1690855,1.17752475,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,4.9,0.9800000000000001,1.9600000000000002,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000301,0.002778,0.000348637,8.627262156095641e-05,0.00032975,0.000341,0.000353,1000,2.50625,5.093605,2.565018932,0.18635171651993276,2.517135,2.530606,2.56394625,1000,0.05195,0.096745,0.054085938,0.0033938339217109608,0.052448,0.0529465,0.05568775,1000,0.044476,0.100011,0.046048194,0.0035654074903668444,0.04482875,0.045024,0.047054,1000,0.690392,2.205572,0.7099938,0.09588113075039321,0.696661,0.69876,0.70299875,1000,1.704861,2.762905,1.747658346,0.1049535524121327,1.7146215,1.7227835,1.74793775,1000,0.001241,0.011831,0.001431615,0.00036112983645082556,0.00135675,0.0014015,0.001454,1000,0.011768,0.024956,0.012332925,0.0008891304175288348,0.012069,0.0121865,0.01232225,1000,2.530373,5.155344,2.590496475,0.1887695277526947,2.5427785,2.5552245,2.5891325,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000315,0.00082,0.000359207,4.2694755544445965e-05,0.00034,0.00035,0.000365,1000,2.62875,4.988834,2.6777143110000003,0.17815267367578372,2.63809375,2.6437075,2.67404825,1000,0.052215,0.084768,0.053524317,0.002570785255230588,0.05272475,0.05289,0.05312625,1000,0.044389,0.084993,0.045748758,0.003265856586477122,0.044805,0.0450445,0.04535625,1000,0.690651,1.959218,0.707622843,0.0862428780184796,0.695674,0.697514,0.69999175,1000,1.828057,2.894723,1.863411128,0.10535974229939829,1.8353935,1.839918,1.8604885,1000,0.001251,0.003444,0.001431627,0.00014243236946354573,0.001367,0.001407,0.00145925,1000,0.011857,0.031325,0.012375689,0.0011964391786793845,0.0121,0.012191,0.012331,1000,2.652527,5.046284,2.7030575580000002,0.18029996628554495,2.663175,2.6687235,2.6994515,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
