SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.32008,0.406075,0.340577537254902,0.01698288062719725,0.3284185,0.332864,0.347056,255,11.812205,13.25905,12.254190905882353,0.2430152918121574,12.0489535,12.305498,12.371158,255,0.286531,0.356148,0.29521956470588234,0.01169762845424902,0.289108,0.291115,0.2970055,255,0.135426,0.202561,0.1406425450980392,0.006823118855954069,0.138037,0.13855,0.1398965,255,3.868456,4.146496,3.9639852156862747,0.05646482228061052,3.9202795,3.955693,4.003924,255,3.868456,4.146496,3.9639852156862747,0.05646482228061052,3.9202795,3.955693,4.003924,255,0.025363,0.04637,0.02709433333333333,0.001933763493727504,0.0263575,0.026658,0.0270395,255,0.051336,0.08773,0.05387261176470588,0.002599632247419311,0.053025,0.053447,0.053912,255,40.045574,54.035214,47.224217380392155,1.8054158981388304,47.496982,47.791622,48.0258295,255,27.136675,41.169305,34.44861329411764,1.8793018745715655,35.0050375,35.104424,35.17748,255,0.020992,0.049162,0.02258783137254902,0.0020726700121842644,0.021771,0.022282,0.0228215,255,21.775182,27.925783,21.95548465490196,0.5339426890041762,21.865098,21.897094,21.928973,255,4.863723,14.031585,12.054139792156862,1.7838013006750653,12.7245755,12.777111,12.8186965,255,0.398962,0.506204,0.4145197725490196,0.014336713456184324,0.4067775,0.410416,0.416957,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,12.710488,22.207743,13.348995534472936,0.56196721116717,13.0670815,13.261946,13.3796545,1755,12.360143,21.795176,13.000335061538461,0.5510689854232163,12.723004,12.910691,13.0219445,1755,0.008967,0.871446,0.26273780104463434,0.2336947880788923,0.05432425,0.292138,0.421517,10530,0.010137,1.104068,0.10852354463437797,0.0866516486601073,0.0274975,0.106059,0.19074425,10530,0.094183,15.793197,1.8808326164292497,1.9227178694342661,0.172481,1.232472,2.6862815,10530,0.094183,15.793197,1.8808326164292497,1.9227178694342661,0.172481,1.232472,2.6862815,10530,0.094265,0.200271,0.11286140455840456,0.014691408460147217,0.100746,0.112551,0.117048,1755,0.130672,0.221014,0.14772385071225072,0.014441690533285728,0.1376995,0.144301,0.1474215,1755,23.693952,46.891159,29.07028818119658,2.557792206478267,27.258005,28.921676,30.780894,1755,10.270016,30.914646,15.114562296866097,2.4274183208196733,13.350418,14.947217,16.8717725,1755,0.07473,0.202244,0.08964656011396012,0.012278142873584917,0.082869,0.086085,0.090839,1755,9.45055,29.51393,14.228150944729345,2.334885576551104,12.5301495,14.080477,15.979874,1755,0.105191,0.732083,0.27814441481481483,0.10794906014770947,0.215131,0.255064,0.309372,1755,0.434678,0.757332,0.5160906262108262,0.03296429891595445,0.493224,0.51384,0.536791,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.03217,1.756776,0.092134969,0.12143703869988776,0.037816,0.079455,0.10960925,1000,0.193651,0.345631,0.216947272,0.021724015838284046,0.201613,0.207056,0.23265625,1000,0.00206,0.019185,0.002779022,0.0009155831805554316,0.002253,0.002382,0.003154,4000,0.004238,0.031144,0.00533839525,0.0012800490707498044,0.004545,0.004746,0.005967,4000,0.014947,0.04922,0.017694044750000002,0.00253548402514144,0.01585175,0.0167085,0.01881425,4000,0.014947,0.04922,0.017694044750000002,0.00253548402514144,0.01585175,0.0167085,0.01881425,4000,0.020406,0.044227,0.02297006,0.0029623178992808996,0.0209835,0.0212315,0.02486875,1000,0.025778,0.053085,0.027997161,0.0024432613714211993,0.0263925,0.026787,0.0294945,1000,0.485792,2.493922,0.594308959,0.15591905656995655,0.5065895,0.5551665,0.659099,1000,0.091055,0.233389,0.105707688,0.01641076168228203,0.0942085,0.097825,0.116501,1000,0.025236,0.06019,0.029400177,0.004660568318528439,0.026407,0.027205,0.03196025,1000,0.041542,0.149409,0.048302355000000005,0.008998268478155949,0.0424335,0.0445955,0.05343975,1000,0.006329,0.019098,0.007655207999999999,0.0018348161299530806,0.006546,0.0066975,0.00818225,1000,0.016841,0.043841,0.019794510999999997,0.003194169798848991,0.01751075,0.0181015,0.0213755,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.024155,1.638391,0.090704728,0.11945965179096252,0.03765125,0.0770005,0.10708275,1000,0.194049,0.332828,0.215601279,0.021344865597636334,0.2000895,0.2050955,0.23080425,1000,0.002045,0.019357,0.0027460992500000004,0.0008524039599271214,0.002229,0.00236,0.00314425,4000,0.004287,0.023724,0.005347981,0.0012536741315585162,0.00455775,0.004768,0.005943,4000,0.014836,0.04897,0.017548908749999998,0.0025701563659480792,0.0156525,0.01652,0.018755,4000,0.014836,0.04897,0.017548908749999998,0.0025701563659480792,0.0156525,0.01652,0.018755,4000,0.020556,0.05375,0.023013040000000002,0.003158389449133846,0.020904,0.0211565,0.02479,1000,0.025884,0.055867,0.028327118,0.0027976905997761795,0.02658475,0.0269505,0.029792,1000,0.488368,2.395712,0.59270202,0.15401436992987894,0.50462,0.550323,0.6560095,1000,0.090729,0.22643,0.106031511,0.01647162801182321,0.093968,0.0977145,0.11704775,1000,0.025503,0.094324,0.02969418,0.00515374351938472,0.0265725,0.0272735,0.032099,1000,0.041528,0.139748,0.048562977,0.009283777268249761,0.04232075,0.0449735,0.0535085,1000,0.006137,0.024033,0.007564683,0.0017794304185640415,0.00638575,0.00684,0.0080845,1000,0.016723,0.044988,0.019667161,0.0030983837239888477,0.0173745,0.0179405,0.021316,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.022048,1.636221,0.062767707,0.1150436282904149,0.03712525,0.0509855,0.06244875,1000,0.196288,0.367954,0.207501004,0.016519527869100378,0.1995545,0.2032685,0.20740475,1000,0.00201,0.01297,0.00257877525,0.0007821959867817256,0.002182,0.002278,0.003069,4000,0.004317,0.020599,0.0051407434999999994,0.0011716747011042568,0.004569,0.004683,0.00584525,4000,0.014939,0.048398,0.01700429675,0.0025467285650790186,0.015503,0.016184,0.01831,4000,0.014939,0.048398,0.01700429675,0.0025467285650790186,0.015503,0.016184,0.01831,4000,0.020544,0.044935,0.021470107,0.0017489769053795421,0.020986,0.021118,0.02124125,1000,0.025986,0.052969,0.02741751,0.0021931816367779483,0.02655175,0.026722,0.026962,1000,0.508477,2.361919,0.567521115,0.13870566127612735,0.52404175,0.551082,0.5699995,1000,0.103314,0.23099,0.12651932899999999,0.015840284238004033,0.11556125,0.1252935,0.1319315,1000,0.025527,0.063033,0.027723834,0.0032795142711145504,0.0264885,0.0268745,0.027507,1000,0.046639,0.111839,0.050017982,0.00646027375454601,0.0476805,0.048095,0.04930975,1000,0.009351,0.07202,0.029389052,0.010034295134950735,0.02093925,0.0308355,0.035244,1000,0.017004,0.051828,0.018804295999999998,0.0026008275376087514,0.01765425,0.0179995,0.01842075,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.029836,1.594845,0.075219373,0.09716862629213131,0.06880875,0.0693465,0.070134,1000,0.060528,0.135684,0.07806911500000001,0.007520285759449238,0.07748875,0.0780045,0.07883875,1000,0.003079,0.009208,0.004247143,0.000533733660687613,0.004234,0.0043,0.004361,1000,0.005983,0.025837,0.007862341,0.001385305482093751,0.007774,0.007852,0.00793225,1000,0.018739,0.050171,0.024801413,0.0029017105383602614,0.02469875,0.0248755,0.02507925,1000,0.018739,0.050171,0.024801413,0.0029017105383602614,0.02469875,0.0248755,0.02507925,1000,0.006485,0.025684,0.009608254,0.001484334107094491,0.00960275,0.0097195,0.0098405,1000,0.010037,0.023396,0.012229183999999999,0.0012928097548146828,0.01210775,0.0122255,0.01233025,1000,0.159869,1.858593,0.261166478,0.1068121023031731,0.25698375,0.259506,0.262074,1000,0.012816,0.113256,0.038889652999999996,0.01003316798626391,0.039879,0.0403875,0.04128125,1000,0.002052,0.009079,0.003076157,0.0005454814812172821,0.00301375,0.0030765,0.003144,1000,0.007307,0.061302,0.017093554,0.004252529877976638,0.01718075,0.0173125,0.017489,1000,0.001908,0.056468,0.016477123,0.006233549252702749,0.01765475,0.0179545,0.01821725,1000,0.000932,0.018911,0.001520852,0.0008343068213169542,0.001384,0.001427,0.00147125,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FrictionContact_LCP_without_friction,0.031997,1.529058,0.090222706,0.10038312537432556,0.069178,0.0971705,0.09858775,1000,0.06069,0.142816,0.078038206,0.008309726182947546,0.076982,0.0777955,0.078884,1000,0.003116,0.024289,0.004285298,0.0011722684424635853,0.00420075,0.004272,0.004342,1000,0.006039,0.023739,0.007862281,0.0013285816813576048,0.00772975,0.007826,0.00794225,1000,0.018697,0.059427,0.024830862000000002,0.0032895083624997824,0.02462825,0.0248825,0.02513925,1000,0.018697,0.059427,0.024830862000000002,0.0032895083624997824,0.02462825,0.0248825,0.02513925,1000,0.006401,0.040245,0.009571055,0.0015771983102878977,0.00955325,0.009693,0.00983825,1000,0.010124,0.034051,0.012252361000000002,0.0015872275591984283,0.012091,0.012198,0.01229225,1000,0.16011,1.79858,0.26677465899999997,0.11071631609540086,0.24545725,0.2756385,0.28115675,1000,0.012652,0.063057,0.029296034,0.006651936635209629,0.026955,0.0310655,0.0316425,1000,0.00202,0.013203,0.0031073890000000003,0.0007188956820561659,0.00301575,0.0030925,0.00316,1000,0.007241,0.041627,0.016093285,0.0038339373218370435,0.01563375,0.0163875,0.0166375,1000,0.001934,0.028751,0.00791048,0.0028533248419344054,0.00637575,0.0096025,0.00988725,1000,0.000926,0.011755,0.00145226,0.0007078231349708767,0.001291,0.001363,0.00142525,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.005078,0.130093,0.006155923,0.00846151951691131,0.005388,0.0054625,0.00557625,1000,1.116713,1.289904,1.144509125,0.032058974321761684,1.12734575,1.1292315,1.148056,1000,0.067048,0.125363,0.06857368300000001,0.004131964585582868,0.0674325,0.067585,0.06778325,1000,0.037377,0.079817,0.038881237,0.003182590441579155,0.037938,0.0381005,0.0383195,1000,0.015119,0.036684,0.015889009,0.0015651865527530574,0.01547375,0.015647,0.01584925,1000,0.988942,1.144836,1.013325918,0.02905207732826133,0.99797625,0.9998275,1.0180885,1000,0.002791,0.016386,0.003035505,0.0005877896766488843,0.002937,0.0029795,0.00303625,1000,0.010939,0.022289,0.011406755,0.0009013569908615564,0.011203,0.011288,0.011397,1000,1.152272,1.483069,1.182090417,0.03646511998775146,1.1631735,1.1657735,1.18634375,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000301,0.00114,0.000356853,6.354895271363642e-05,0.000334,0.000346,0.00036,1000,2.508366,5.65502,2.5708798330000002,0.20681903154906978,2.51780025,2.53437,2.5591075,1000,0.052089,0.10826,0.054929053,0.005715174923323957,0.05246075,0.0527505,0.05650925,1000,0.044618,0.094099,0.046614479,0.003731817449924232,0.04500175,0.045221,0.04822575,1000,0.687468,2.457649,0.708928337,0.1029176279582824,0.693817,0.696106,0.7011755,1000,1.710659,2.958396,1.752652394,0.11619247920518248,1.7178045,1.7222265,1.746036,1000,0.00122,0.011438,0.001475464,0.00043027537775708243,0.001345,0.001398,0.001495,1000,0.011811,0.03482,0.012474289000000001,0.001743398630112746,0.012054,0.01215,0.012284,1000,2.532126,5.756381,2.5967408990000003,0.2104746056972451,2.54282,2.5600895,2.58440525,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000309,0.003289,0.000389965,0.0001269339504427401,0.000355,0.000372,0.000405,1000,2.613943,4.880236,2.664323565,0.17297148501933424,2.624564,2.636246,2.660897,1000,0.052037,0.083032,0.053085266000000006,0.002390813604872617,0.052384,0.0525805,0.052838,1000,0.044398,0.089195,0.045591733,0.003120864601630612,0.044826,0.045063,0.045265,1000,0.686374,1.913342,0.705566747,0.08389288348577005,0.6916785,0.6939015,0.7056755,1000,1.818963,2.850339,1.8526929879999998,0.10276615389852758,1.825328,1.82889,1.84882325,1000,0.001214,0.010438,0.001383097,0.0003191292365030193,0.001318,0.001359,0.001399,1000,0.011736,0.027166,0.012316971,0.0008804736192294463,0.012051,0.012188,0.01237625,1000,2.637584,4.935553,2.689646658,0.17507634673877862,2.64962425,2.661057,2.68608275,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
