SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.321604,0.406076,0.33548308235294116,0.012075886875606017,0.3287195,0.333497,0.3374725,255,11.512459,13.179567,12.04340708627451,0.25804539460500997,11.9349345,12.069708,12.1606565,255,0.283189,0.408048,0.2973482784313725,0.016601492708840725,0.2869825,0.291261,0.298708,255,0.136563,0.205809,0.1436238862745098,0.012078451566079375,0.1374795,0.138061,0.143427,255,3.575439,3.901582,3.700637188235294,0.07794079245661138,3.6170185,3.720786,3.761212,255,3.575439,3.901582,3.700637188235294,0.07794079245661138,3.6170185,3.720786,3.761212,255,0.025285,0.046673,0.02738065882352941,0.002539272200282598,0.026132,0.026583,0.0272425,255,0.051245,0.106011,0.05484492549019608,0.005166018305018056,0.0529325,0.053389,0.0545405,255,39.827605,53.006149,47.07601115294118,1.8777605966839799,47.280438,47.656616,47.8569175,255,27.20414,40.293083,34.5104803254902,1.9029019712777866,35.050706,35.137098,35.242279,255,0.020978,0.064363,0.02258526274509804,0.003647135926754021,0.021717,0.022003,0.022382,255,21.769534,27.413859,21.967154701960784,0.4154697657185759,21.869412,21.903575,21.9602875,255,4.900438,16.470448,12.101605262745098,1.8135778505437987,12.7276555,12.78915,12.8628455,255,0.398323,0.525519,0.41726476078431374,0.019116207497407858,0.4073515,0.411533,0.4190705,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,11.655468,40.909344,12.848149486609687,1.6456950565408992,12.4743975,12.618021,12.803379,1755,11.274288,39.617071,12.496946132763533,1.5294275300785627,12.1363305,12.274437,12.4660775,1755,0.008951,2.991651,0.25636856799620134,0.2295645217777112,0.05159925,0.279528,0.410719,10530,0.009828,1.106728,0.1002808665716999,0.08065800588165495,0.02638325,0.1112545,0.16228,10530,0.073597,21.129864,1.6959227461538462,1.7459179833564735,0.166433,1.1355585,2.42510975,10530,0.073597,21.129864,1.6959227461538462,1.7459179833564735,0.166433,1.1355585,2.42510975,10530,0.093807,0.463179,0.1103192415954416,0.017566875833418982,0.100137,0.103559,0.1164075,1755,0.130645,0.380085,0.14424914814814815,0.01564213478274394,0.1349475,0.137736,0.1445805,1755,23.376833,61.044954,28.71667086039886,3.4576499346451786,26.7034445,28.39882,30.226085,1755,10.249239,45.053628,15.282264174358975,2.729715628664137,13.52006,15.109138,16.9429775,1755,0.072744,0.350027,0.08585483133903134,0.014137732240569079,0.079266,0.081421,0.0854425,1755,9.427342,43.713791,14.409144260398861,2.636117839755051,12.719371,14.249172,16.0350835,1755,0.103786,0.673714,0.26901703760683765,0.10855073615619633,0.2058735,0.244085,0.2982175,1755,0.437625,1.048561,0.5157438262108263,0.04244005654439841,0.49033,0.51249,0.534731,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.031285,1.687219,0.090093925,0.11892930204462387,0.03757625,0.0757395,0.10575725,1000,0.196457,0.411234,0.22012124,0.023043842715623625,0.204126,0.2094655,0.235428,1000,0.00206,0.02192,0.0028149545,0.0009301643881216642,0.002319,0.002444,0.003154,4000,0.004361,0.01898,0.005410013,0.0012124893044192183,0.004646,0.0048355,0.00599125,4000,0.014925,0.197893,0.01788965525,0.0045410730000625885,0.015805,0.016759,0.0191055,4000,0.014925,0.197893,0.01788965525,0.0045410730000625885,0.015805,0.016759,0.0191055,4000,0.020513,0.046193,0.023200952,0.0031287396289394233,0.021084,0.0215045,0.02513075,1000,0.025806,0.057894,0.028040084,0.0027981886632148303,0.02644175,0.026847,0.029254,1000,0.489801,2.456159,0.594427352,0.15349838609391986,0.511726,0.553035,0.658043,1000,0.091175,0.239177,0.105700752,0.016804927423541463,0.09416175,0.0977135,0.11639725,1000,0.025447,0.075817,0.029320755,0.00477534007574068,0.02643975,0.0270705,0.03155,1000,0.041457,0.139176,0.048506913,0.009290508610158595,0.04240775,0.0449885,0.05340725,1000,0.006248,0.078538,0.00761216,0.0028534057030853498,0.00647775,0.0067615,0.0080405,1000,0.016782,0.071068,0.019723516,0.0034369189600198607,0.01744875,0.018042,0.021377,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
BilateralLagrangianConstraint_PGS,0.026499,1.683441,0.090583754,0.11839102431188558,0.0389685,0.0767945,0.10727375,1000,0.196212,0.337531,0.218914072,0.02246427867684195,0.20242,0.208369,0.23430925,1000,0.00205,0.020152,0.0027874985,0.0009061092494825058,0.002273,0.002416,0.003153,4000,0.004353,0.077595,0.005420872500000001,0.0017139925400198653,0.004606,0.004782,0.00599325,4000,0.014861,0.067743,0.01777586025,0.0026879862964159507,0.015806,0.0168155,0.01908475,4000,0.014861,0.067743,0.01777586025,0.0026879862964159507,0.015806,0.0168155,0.01908475,4000,0.020371,0.055423,0.023220555,0.003246706260654789,0.02100075,0.021376,0.025219,1000,0.025967,0.053624,0.028063388999999998,0.0024923243933483055,0.0264675,0.0268055,0.0295015,1000,0.489033,2.406047,0.593747637,0.15325595353143456,0.5043905,0.551454,0.66202775,1000,0.091088,0.267819,0.105770997,0.01682422644851736,0.09395775,0.0978315,0.11673025,1000,0.025745,0.066813,0.029390215,0.004400533361397798,0.0265235,0.02714,0.03211125,1000,0.041364,0.11983,0.048349483,0.009037853056213681,0.0422975,0.0434105,0.05333975,1000,0.006146,0.028654,0.007577206,0.0018173956843692569,0.00641,0.0068785,0.00805325,1000,0.016689,0.170083,0.019920696,0.005777734516017849,0.0173725,0.018087,0.0214385,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.027067,1.874992,0.063677496,0.12191724380266306,0.037611,0.0513445,0.0629585,1000,0.199944,0.318143,0.214266223,0.014955849361947686,0.205751,0.210638,0.216489,1000,0.00208,0.020314,0.00268700625,0.0009153143100656395,0.002289,0.002381,0.00312725,4000,0.004348,0.023813,0.005240848,0.00120884385112222,0.004646,0.004807,0.005852,4000,0.015094,0.048077,0.01734231275,0.002577277173576299,0.015806,0.016474,0.018693,4000,0.015094,0.048077,0.01734231275,0.002577277173576299,0.015806,0.016474,0.018693,4000,0.020575,0.048025,0.021805373,0.001680050981926144,0.02114875,0.0214535,0.02182525,1000,0.025844,0.063975,0.027434868999999997,0.0025471000965488185,0.026534,0.0267605,0.027012,1000,0.511167,2.617869,0.5759061639999999,0.14459299774052378,0.53336275,0.556811,0.580288,1000,0.103763,0.235205,0.127599758,0.016615447941762992,0.116295,0.1260985,0.13334025,1000,0.025579,0.064199,0.02772005,0.003300076217831946,0.026695,0.027019,0.027399,1000,0.046721,0.111768,0.050421495000000004,0.0067527021749796586,0.0479665,0.0485605,0.049652,1000,0.009326,0.076075,0.029952341,0.010360603116842136,0.02124475,0.0311995,0.0360255,1000,0.017203,0.04963,0.018964150000000003,0.002379811166773532,0.0178295,0.018141,0.01871075,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.030256,1.449145,0.075659968,0.09596172496767123,0.06872075,0.069354,0.0703675,1000,0.060465,0.13672,0.079194494,0.008618640247043844,0.0776275,0.0783555,0.08174325,1000,0.003006,0.014783,0.004345565,0.0008893543263373716,0.004244,0.0043365,0.004455,1000,0.006007,0.024625,0.007922140999999999,0.0012822738073902157,0.00776,0.007885,0.00805925,1000,0.01873,0.059996,0.025275701,0.0032845939736288565,0.02505275,0.025282,0.02573025,1000,0.01873,0.059996,0.025275701,0.0032845939736288565,0.02505275,0.025282,0.02573025,1000,0.006434,0.027704,0.009708824000000001,0.0016454986730544635,0.009623,0.009757,0.009943,1000,0.010072,0.03851,0.012391097,0.001678279534401525,0.012229,0.012339,0.012444,1000,0.159335,1.713179,0.26359129,0.10572874123439614,0.25735575,0.2600325,0.265622,1000,0.012684,0.089262,0.039111079,0.010180160279522076,0.03994075,0.040438,0.0413065,1000,0.00197,0.012589,0.003023451,0.0006270522909606503,0.00293575,0.0030215,0.003099,1000,0.007293,0.047413,0.017334422999999998,0.004292630719974757,0.01727475,0.0175045,0.01785775,1000,0.001865,0.060586,0.016534920999999998,0.006395075801486562,0.017742,0.017965,0.01811625,1000,0.000942,0.011537,0.0014882460000000001,0.0007760716909435623,0.001347,0.001386,0.001431,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.031961,1.520117,0.090331148,0.09870335286186632,0.0690825,0.0963925,0.09835275,1000,0.060333,0.137718,0.078801831,0.008322411956664905,0.077479,0.0785025,0.0800075,1000,0.003107,0.020951,0.00438924,0.0010293366137469318,0.004306,0.004376,0.00444525,1000,0.006043,0.019046,0.007911757,0.0010650521151338089,0.007829,0.007939,0.008068,1000,0.018494,0.051041,0.025171474,0.003231908834005687,0.02499225,0.025258,0.02550525,1000,0.018494,0.051041,0.025171474,0.003231908834005687,0.02499225,0.025258,0.02550525,1000,0.00642,0.033645,0.009707468,0.0018200705626365149,0.009572,0.009723,0.009892,1000,0.010094,0.041724,0.012317839,0.0018064288314458999,0.012141,0.012251,0.01235725,1000,0.158591,1.789415,0.267168011,0.10968919508596496,0.245158,0.2755915,0.2814335,1000,0.012552,0.075868,0.029023401,0.0069056848871201035,0.0266355,0.030693,0.03149,1000,0.001933,0.007576,0.002914355,0.00047427760539055604,0.002862,0.002931,0.002996,1000,0.007196,0.047167,0.016017048,0.003824600509294533,0.01562075,0.016329,0.016649,1000,0.001817,0.029785,0.007933866,0.003103536969659617,0.00626075,0.0094975,0.00988225,1000,0.000927,0.010159,0.001414459,0.0006650709799104153,0.00126775,0.001328,0.001378,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.005228,0.135755,0.006456062,0.00875539145693418,0.00556875,0.005667,0.00578825,1000,1.121672,1.392045,1.150799926,0.03702624301592755,1.125956,1.1310795,1.1693455,1000,0.066712,0.132576,0.06893408599999999,0.005245470787508401,0.06719075,0.0675645,0.069587,1000,0.037254,0.07577,0.038914978,0.0025526681103339695,0.03787125,0.0380255,0.03849725,1000,0.01547,0.042649,0.016307045,0.0017968946844417453,0.015832,0.016018,0.016235,1000,0.989284,1.261588,1.018504766,0.03413956204123369,0.99644025,1.0004555,1.0331645,1000,0.002776,0.01807,0.0030345610000000003,0.0007142933404974458,0.002921,0.002969,0.00302225,1000,0.010924,0.022937,0.011528327,0.001038282571399039,0.01126,0.011375,0.011524,1000,1.155901,1.509866,1.188407495,0.04058461112759336,1.1625705,1.1680445,1.21051575,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000277,0.010587,0.00035607799999999996,0.0004474335033454692,0.000311,0.000325,0.000349,1000,2.508355,4.935783,2.5600533879999996,0.18489058014315238,2.51862225,2.527945,2.55322225,1000,0.051936,0.134104,0.053118866,0.003759865160885959,0.0523895,0.0525605,0.052795,1000,0.044414,0.081673,0.045931455,0.0029728202316949806,0.044828,0.0450795,0.0463305,1000,0.691009,2.065804,0.70945039,0.09526950390112199,0.69614375,0.69798,0.701013,1000,1.707362,2.7329,1.744160391,0.10511613095562508,1.7160195,1.7224565,1.7333215,1000,0.001197,0.003715,0.0013841690000000002,0.00016300768828187215,0.001309,0.001359,0.001416,1000,0.011935,0.03503,0.012558366,0.0013923857964098887,0.01224775,0.0123625,0.012498,1000,2.533453,4.993793,2.5853880019999997,0.1872580859202881,2.54328975,2.5531345,2.57860275,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000275,0.000834,0.000343469,5.4607646341881466e-05,0.000311,0.000331,0.000358,1000,2.619124,4.920502,2.681184142,0.1764118880128826,2.6332415,2.651559,2.67554875,1000,0.051912,0.103276,0.053681362999999996,0.0036403058777019002,0.052568,0.0528135,0.0531385,1000,0.04451,0.078207,0.045913989999999995,0.002883998312048743,0.04489675,0.04511,0.046026,1000,0.690684,1.947888,0.71483983,0.08530174220698603,0.69749375,0.700376,0.7177925,1000,1.819995,2.890049,1.859152446,0.10515991228431622,1.82730875,1.8322085,1.8534065,1000,0.001245,0.01014,0.0014377460000000002,0.0004298659738616212,0.001334,0.00139,0.00145925,1000,0.011894,0.026237,0.012454483,0.0008267020356277103,0.012197,0.0123275,0.012483,1000,2.642179,4.975792,2.7065112370000004,0.17857991905611012,2.6581085,2.676234,2.700279,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,2.4,0.48,0.9600000000000001,0.0,0.0,0.0,5
