SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.323888,0.390117,0.33539196862745096,0.010547191170322526,0.329383,0.332509,0.33705,255,11.728316,12.922546,12.141083329411765,0.21586834086791873,11.9245325,12.20546,12.267572,255,0.282417,0.362118,0.2946023372549019,0.010881811145568911,0.288652,0.290689,0.2974775,255,0.136641,0.21329,0.1411851725490196,0.009456401263094657,0.1381345,0.138671,0.139397,255,3.551839,3.799518,3.6208417607843137,0.059978157825518255,3.5711905,3.602121,3.658069,255,3.551839,3.799518,3.6208417607843137,0.059978157825518255,3.5711905,3.602121,3.658069,255,0.025413,0.052363,0.027280576470588236,0.0026383269566956176,0.0264375,0.026734,0.0272615,255,0.051157,0.063702,0.052988466666666664,0.0017269342023033094,0.052191,0.052531,0.0529705,255,39.89405,48.905141,47.086427725490196,1.7226873247428511,47.4120635,47.748027,47.9134965,255,27.193721,35.9037,34.43036777254902,1.772205371457844,35.034176,35.128246,35.2004535,255,0.020291,0.029645,0.021953898039215686,0.0013927031232836373,0.0211965,0.021717,0.022252,255,21.811477,22.787447,21.93883328235294,0.09477720233485602,21.8876875,21.923604,21.963191,255,4.861213,13.403356,12.051552039215686,1.7805280025125634,12.7117325,12.773382,12.8123155,255,0.397602,0.490594,0.41612576470588236,0.01374650381503579,0.4067585,0.413417,0.420368,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.938423,14.33576,9.407406489458689,0.3703352585564185,9.1174415,9.394941,9.5560105,1755,8.646501,13.90375,9.11199793960114,0.363137839114147,8.832198,9.098512,9.2617135,1755,0.004685,0.615503,0.17269496600189932,0.16693260425839415,0.0305025,0.12443,0.2681805,10530,0.006268,0.331643,0.08448844843304842,0.08215489119148742,0.0162035,0.0591845,0.1444275,10530,0.037782,5.733282,1.169743858214625,1.2070825272032453,0.1008045,0.890861,1.72915425,10530,0.037782,5.733282,1.169743858214625,1.2070825272032453,0.1008045,0.890861,1.72915425,10530,0.094645,0.196654,0.1102529037037037,0.01339075903294792,0.1008565,0.104083,0.1175565,1755,0.128361,0.213991,0.141885743019943,0.012231211382214412,0.134174,0.137499,0.1438415,1755,23.730709,41.777795,30.85244578917379,3.612716585854887,28.50047,30.257663,32.531588,1755,14.116428,31.657534,20.85634792079772,3.578868284598959,18.5617195,20.316451,22.535434,1755,0.074825,0.182226,0.08623279943019943,0.010646730994175435,0.080559,0.083196,0.0879865,1755,13.30126,30.616963,20.00374649002849,3.4864272910795364,17.7854965,19.489884,21.7108785,1755,0.105014,0.873373,0.26822675897435894,0.10888086932506982,0.2057475,0.242646,0.2951185,1755,0.435656,0.729773,0.49591066723646726,0.03110416600211279,0.4744195,0.490713,0.513032,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.027971,1.735055,0.091082336,0.11899187711545316,0.0391205,0.077551,0.10659025,1000,0.195373,0.348066,0.216628345,0.020614998833761184,0.201688,0.2060685,0.232126,1000,0.001918,0.013527,0.0026231045,0.000879108833467023,0.0021,0.002206,0.00305225,4000,0.004246,0.025225,0.005259310499999999,0.0013430649616045195,0.004467,0.0046375,0.005859,4000,0.01503,0.060281,0.017849234000000002,0.0027414575013565323,0.01596375,0.0168975,0.019069,4000,0.01503,0.060281,0.017849234000000002,0.0027414575013565323,0.01596375,0.0168975,0.019069,4000,0.020151,0.046891,0.022694737,0.0031283637422510513,0.02060575,0.02087,0.024602,1000,0.025689,0.06314,0.027770486,0.0028090293586582535,0.02622875,0.0265115,0.028973,1000,0.488074,2.465039,0.589612559,0.15214208122099065,0.5023105,0.5502605,0.65291875,1000,0.090237,0.270189,0.104676996,0.016233810190339912,0.09322575,0.096844,0.11535025,1000,0.025352,0.06487,0.029023306000000002,0.0043891683164768245,0.02619125,0.0267885,0.03173025,1000,0.04091,0.108775,0.04795885,0.008260432364561797,0.04220225,0.0444845,0.052822,1000,0.006204,0.029099,0.007540638,0.0018199487945972546,0.006501,0.006681,0.0080545,1000,0.016443,0.168321,0.019625619,0.005616951352810437,0.017243,0.017832,0.0211325,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.032008,1.686888,0.09054453999999999,0.11656904342677091,0.03778975,0.077846,0.1075435,1000,0.193247,0.38524,0.214887933,0.021755414770684354,0.19901175,0.2042325,0.22899275,1000,0.001928,0.024056,0.002635478,0.0009838069490586048,0.002105,0.002233,0.003041,4000,0.004183,0.022472,0.0052141685,0.0012013892924892205,0.004424,0.004588,0.00583525,4000,0.014709,0.054699,0.017797588500000003,0.0028949588404963114,0.0158555,0.016733,0.018986,4000,0.014709,0.054699,0.017797588500000003,0.0028949588404963114,0.0158555,0.016733,0.018986,4000,0.020049,0.0467,0.022877151999999998,0.0032845256337705755,0.020631,0.0209955,0.02481,1000,0.025696,0.059572,0.028052403,0.002909795652033146,0.02640575,0.0267475,0.02939,1000,0.483442,2.457406,0.589153971,0.15040895922153094,0.502259,0.5481865,0.651944,1000,0.090411,0.209645,0.105101927,0.015215117296283687,0.093586,0.0973525,0.1162785,1000,0.025322,0.051682,0.028917522,0.004149910291502215,0.02613425,0.026721,0.03181175,1000,0.041137,0.102183,0.048420194,0.008343973338306157,0.04236725,0.044863,0.0539755,1000,0.006017,0.017325,0.0076012879999999994,0.001705222102559077,0.006428,0.0069035,0.008112,1000,0.016429,0.058154,0.019626705,0.0034514931531114184,0.0172485,0.017923,0.02122025,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.026738,1.662458,0.063296365,0.11687916380228675,0.03805575,0.051277,0.06251875,1000,0.196789,0.309676,0.206521226,0.012250891440173812,0.2006615,0.2036535,0.2067615,1000,0.001948,0.013476,0.0024434615,0.0007156761481408682,0.002077,0.0021415,0.002962,4000,0.004195,0.024165,0.0049678495000000005,0.0010504740755248316,0.00440375,0.0045265,0.00577825,4000,0.014929,0.04855,0.01715312875,0.0023113378682428575,0.01562875,0.016454,0.01878125,4000,0.014929,0.04855,0.01715312875,0.0023113378682428575,0.01562875,0.016454,0.01878125,4000,0.020049,0.058075,0.021293265,0.0026045424536326914,0.02067475,0.0207955,0.020949,1000,0.025689,0.061314,0.027232104,0.0025297680228005097,0.026352,0.026535,0.02678525,1000,0.506028,2.374459,0.56391249,0.13864043766831488,0.521283,0.5494685,0.5646555,1000,0.102047,0.227228,0.125584476,0.01635370631989654,0.114434,0.1242205,0.13085575,1000,0.025146,0.063594,0.026922354,0.0032881209942281628,0.025914,0.0261795,0.02650025,1000,0.046627,0.108554,0.049832591,0.006468075382192064,0.04748025,0.0478645,0.048896,1000,0.009319,0.094611,0.029641406,0.010445339097854315,0.020959,0.0308875,0.03577675,1000,0.016966,0.052297,0.018642334,0.0025067701487060993,0.01756,0.0178275,0.018332,1000,0.0,2.4,0.72,0.96,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.031372,1.471005,0.075472492,0.0980703358418127,0.068737,0.069262,0.0705755,1000,0.059814,0.1707,0.078280934,0.009335773347486753,0.07716175,0.077577,0.07853625,1000,0.002954,0.024756,0.004155883,0.0011532044950098832,0.00407575,0.004139,0.004201,1000,0.005919,0.026169,0.007815983,0.0014678235952290042,0.00768375,0.007758,0.00783,1000,0.018776,0.058696,0.025268548999999998,0.0036043270697314637,0.02502425,0.0252155,0.02544925,1000,0.018776,0.058696,0.025268548999999998,0.0036043270697314637,0.02502425,0.0252155,0.02544925,1000,0.006174,0.024275,0.009513643,0.0015418697855367034,0.00953,0.0096435,0.00978725,1000,0.010129,0.034583,0.012360091,0.0015672040647978806,0.012209,0.0123095,0.012398,1000,0.158334,1.729891,0.261859722,0.10801092271715261,0.25603675,0.258876,0.26251375,1000,0.012793,0.085167,0.039050385,0.010217869158135417,0.03995925,0.040468,0.0411355,1000,0.002003,0.017279,0.003052262,0.0008817316504220544,0.00294875,0.003019,0.003087,1000,0.007236,0.043231,0.01716473,0.004111748559810047,0.01730475,0.0174545,0.01763725,1000,0.001905,0.056602,0.016643900000000003,0.006300246758024641,0.017824,0.0180915,0.0182515,1000,0.001002,0.018482,0.001459139,0.000791982550110165,0.00131375,0.00136,0.001408,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.031721,1.408521,0.08982698,0.09488069272798128,0.06906225,0.096613,0.098544,1000,0.05943,0.135888,0.077589757,0.007999442470069461,0.07684725,0.0774625,0.0783885,1000,0.002931,0.014706,0.004131061,0.0007958918439580846,0.0040815,0.004152,0.00421725,1000,0.005965,0.01836,0.007668657,0.0010152364214068563,0.00761,0.007703,0.00779025,1000,0.018537,0.061867,0.025027311,0.0030910509187457593,0.0248985,0.0251595,0.0253755,1000,0.018537,0.061867,0.025027311,0.0030910509187457593,0.0248985,0.0251595,0.0253755,1000,0.00613,0.024317,0.009389477,0.001411312570436117,0.00942,0.0095305,0.009655,1000,0.010134,0.040443,0.012208859,0.0014444594536085118,0.01210275,0.012208,0.01230125,1000,0.158103,1.673175,0.264831457,0.10505948765115006,0.244459,0.274626,0.2793805,1000,0.012851,0.065974,0.029063086999999998,0.006374687359975468,0.02691325,0.0310515,0.031639,1000,0.002062,0.008805,0.0029931840000000003,0.0005456936852704088,0.002916,0.00299,0.003069,1000,0.007252,0.043714,0.016046665999999998,0.0035788479630244146,0.01574875,0.016473,0.0167765,1000,0.001927,0.028355,0.007868997,0.0028195799515160058,0.00632,0.0094815,0.00989625,1000,0.001012,0.006187,0.001432696,0.0005239359498870067,0.00128575,0.001361,0.001413,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.005065,0.123471,0.006232654000000001,0.008238020335874632,0.0054695,0.005591,0.00571125,1000,1.115686,1.389498,1.149457938,0.034598488840152486,1.12606275,1.1326915,1.161785,1000,0.066952,0.134299,0.068687705,0.0035285863750197472,0.067318,0.0675115,0.06878275,1000,0.037334,0.079952,0.038885529,0.0026738187667003535,0.03794825,0.0381405,0.0384215,1000,0.01521,0.032618,0.016000776,0.0013605370269948556,0.0156255,0.015757,0.015959,1000,0.984763,1.205151,1.017921831,0.032086396347898574,0.99618725,1.0004085,1.028449,1000,0.002706,0.016665,0.003005422,0.0006691877179954814,0.002869,0.0029295,0.00300525,1000,0.011104,0.034956,0.01157292,0.001001770741038088,0.011356,0.0114595,0.01156925,1000,1.150908,1.574784,1.18702438,0.03876564501748423,1.162906,1.1703735,1.19857275,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000294,0.000905,0.00035186399999999996,4.743639429804926e-05,0.000333,0.0003445,0.000358,1000,2.564951,4.968095,2.622380108,0.18358998304214297,2.57647675,2.593734,2.618124,1000,0.051983,0.103711,0.05354207,0.0034646378834013807,0.05251,0.052731,0.05363725,1000,0.044351,0.07878,0.045360055999999996,0.0025063710365514523,0.044715,0.0449205,0.045095,1000,0.691407,2.066942,0.712465734,0.09598394589788047,0.6963705,0.698469,0.71301475,1000,1.76426,2.779233,1.803394967,0.103742145765749,1.7738525,1.777653,1.79926825,1000,0.001221,0.003517,0.001415555,0.00020001845158634739,0.001335,0.001379,0.00145025,1000,0.011574,0.034457,0.012337647,0.001470754371195612,0.011996,0.0121235,0.012304,1000,2.589182,5.025459,2.64785195,0.18603311794499253,2.60170075,2.618406,2.64465925,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000304,0.003759,0.00036962999999999997,0.00011827800767682891,0.000341,0.0003595,0.00038,1000,2.615531,4.94038,2.713309143,0.18280843516566336,2.644848,2.671162,2.75516375,1000,0.051743,0.101484,0.055160775999999995,0.004196014286179684,0.05262575,0.053452,0.0566515,1000,0.044414,0.090487,0.046848952,0.003986001295245148,0.04508975,0.045599,0.047512,1000,0.691317,1.908226,0.7122086990000001,0.0853046943879081,0.69740875,0.700753,0.70551025,1000,1.814814,2.893724,1.8913889499999998,0.11497028069753287,1.8299265,1.8481495,1.92701575,1000,0.001194,0.011608,0.0014085599999999999,0.0004803678740298939,0.00130975,0.001361,0.00143,1000,0.011752,0.034932,0.012402406999999999,0.0013933783518309017,0.01207775,0.0121915,0.012332,1000,2.639333,4.997155,2.7389488429999997,0.18492937171964424,2.67042675,2.6972965,2.780126,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
