SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.334074,0.489123,0.35010590588235296,0.015037648272767108,0.3420375,0.347827,0.3536245,255,12.076262,15.09569,12.557039898039216,0.2919575032489123,12.3583875,12.59064,12.6457085,255,0.286369,0.510201,0.29667714901960784,0.019126639811318423,0.28932,0.291139,0.29822,255,0.135559,0.235493,0.14141068235294116,0.011479133641434963,0.1377705,0.138496,0.1401265,255,3.881348,4.357301,3.987600074509804,0.0680912068446371,3.9576795,3.981928,4.0162775,255,3.881348,4.357301,3.987600074509804,0.0680912068446371,3.9576795,3.981928,4.0162775,255,0.022972,0.048448,0.02469913725490196,0.0023880322182246072,0.0238475,0.02426,0.024747,255,0.054183,0.10474,0.05607318039215686,0.0036119020157501834,0.0551375,0.055553,0.0558915,255,40.255997,58.28198,47.67361436078431,2.098133155818466,47.9366635,48.19828,48.3380265,255,27.144263,44.527558,34.58469375294118,2.03337738610929,35.0640215,35.150382,35.21402,255,0.020691,0.032517,0.022444741176470585,0.0015546832789080428,0.021806,0.02211,0.0224895,255,21.770359,29.669054,22.059233984313728,0.95226644675781,21.8785775,21.910198,21.942501,255,4.885767,14.402463,12.097105247058824,1.795184445376242,12.7394475,12.807361,12.8426855,255,0.387917,0.478012,0.40356349019607846,0.012469809001434498,0.396139,0.400628,0.406715,255,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
SofaScene,12.959613,36.340487,13.629412161823362,0.6884252497674985,13.383324,13.55627,13.6822185,1755,12.589243,35.883092,13.282109235897437,0.6849569240229783,13.0331985,13.21185,13.3202685,1755,0.008459,0.933012,0.26012667578347576,0.23193919671969895,0.052761,0.2781845,0.4170875,10530,0.009383,0.428669,0.10630562507122508,0.08435480780961978,0.026433,0.101013,0.17900275,10530,0.08118,10.272733,1.9036193177587843,1.9434771012613117,0.168818,1.138921,2.73917375,10530,0.08118,10.272733,1.9036193177587843,1.9434771012613117,0.168818,1.138921,2.73917375,10530,0.09266,0.238979,0.1109604678062678,0.01569196551535223,0.09948,0.103508,0.1180905,1755,0.133223,0.257324,0.1489953492877493,0.01525893977365039,0.139032,0.142286,0.150069,1755,24.042048,59.802171,29.317287536182338,2.5650580825999314,27.5344795,29.181943,31.053672,1755,10.246534,26.261614,15.081265876923077,2.400069963495244,13.3676385,14.931209,16.7766355,1755,0.076011,0.219113,0.08972294188034188,0.013461145037720106,0.0827035,0.085374,0.0906575,1755,9.454141,24.714819,14.234927487749287,2.3096155894162176,12.563906,14.093546,15.914989,1755,0.104363,0.663193,0.2716207863247863,0.10825394260255147,0.2066065,0.248199,0.3031465,1755,0.408657,0.85408,0.48281070085470085,0.03236090522064681,0.4604665,0.478751,0.5017215,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.031836,1.780259,0.095190586,0.1197439536153981,0.04493325,0.0818995,0.110667,1000,0.195349,0.308255,0.216589174,0.020515833253215036,0.20105675,0.20676,0.23244725,1000,0.002035,0.017495,0.0027350250000000003,0.0008761382541442876,0.00223,0.002339,0.003141,4000,0.004106,0.025099,0.0051984825,0.0011705010005095041,0.004428,0.0046065,0.005871,4000,0.01489,0.055481,0.017459843250000003,0.002724359931466369,0.01558875,0.0163845,0.018596,4000,0.01489,0.055481,0.017459843250000003,0.002724359931466369,0.01558875,0.0163845,0.018596,4000,0.020722,0.053347,0.023172691,0.0031611590468559156,0.02113975,0.021423,0.0250905,1000,0.02587,0.063946,0.028106952,0.003047260322928778,0.02649,0.026894,0.02938525,1000,0.493318,2.50915,0.598197386,0.1523444129434782,0.514923,0.5602035,0.6586445,1000,0.091849,0.205635,0.10622490799999999,0.01571955050259186,0.09480725,0.0988735,0.1163985,1000,0.025773,0.060682,0.029768700000000002,0.004507104604066784,0.02680275,0.0275035,0.0323575,1000,0.041568,0.117926,0.048730398,0.008784537064501238,0.04280325,0.044867,0.053995,1000,0.00622,0.022894,0.0075991,0.0017468253805117443,0.006476,0.006651,0.00819375,1000,0.016747,0.038842,0.019554795,0.0029945907161037883,0.0174485,0.0179885,0.0212665,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.038233,1.741518,0.095958987,0.11959821785823077,0.0459225,0.082246,0.111822,1000,0.193589,0.330175,0.217601385,0.019923640400859855,0.202331,0.2080745,0.23264425,1000,0.002058,0.021,0.00273143925,0.0008631937944687958,0.002233,0.002341,0.00312225,4000,0.004137,0.030753,0.0053202455,0.0013210462070759486,0.004532,0.004737,0.005955,4000,0.014527,0.045063,0.01749340775,0.002561601640671308,0.01568075,0.0164965,0.0186395,4000,0.014527,0.045063,0.01749340775,0.002561601640671308,0.01568075,0.0164965,0.0186395,4000,0.020661,0.06678,0.023221309000000002,0.0033217874762722253,0.02114725,0.021398,0.0250715,1000,0.025619,0.042131,0.027850041000000002,0.002247748621469714,0.026266,0.0266705,0.029256,1000,0.493713,2.464514,0.5986639229999999,0.15242357037936444,0.513469,0.5605115,0.65748025,1000,0.091298,0.215885,0.105924598,0.015658388878757482,0.09460875,0.098717,0.116078,1000,0.025967,0.061305,0.029512896,0.004316613289279456,0.02669675,0.027384,0.03201125,1000,0.041621,0.125527,0.048659483,0.008834921492447514,0.04265875,0.045029,0.05327275,1000,0.006029,0.0196,0.007636752,0.0017856490446042303,0.00638175,0.006929,0.0082455,1000,0.0166,0.05832,0.019541536,0.0032650262588077295,0.0173595,0.017952,0.021219,1000,0.0,10.8,2.4,4.225636046798162,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.031652,1.754841,0.06654128,0.11989949527806028,0.04218675,0.053763,0.0661795,1000,0.197063,0.365537,0.208042992,0.01601930263762864,0.200833,0.204039,0.20796075,1000,0.002027,0.016715,0.00255226825,0.0007563791805648391,0.0022,0.002272,0.002984,4000,0.004145,0.020673,0.004995656,0.0012023489579419113,0.00438,0.004518,0.005749,4000,0.014829,0.046007,0.016920386,0.0024800534470055275,0.01551475,0.0160525,0.018255,4000,0.014829,0.046007,0.016920386,0.0024800534470055275,0.01551475,0.0160525,0.018255,4000,0.020715,0.047074,0.021857130000000002,0.0022972812115846855,0.021159,0.021306,0.02147325,1000,0.025949,0.063869,0.02708627,0.0022707574857522765,0.02640775,0.026571,0.0267775,1000,0.510186,2.507956,0.5717999250000001,0.14341450035652384,0.52832525,0.555264,0.57193475,1000,0.103463,0.225604,0.126444162,0.015988529836972378,0.1153355,0.1254295,0.131517,1000,0.025704,0.0625,0.027771125,0.003805965170804247,0.0266265,0.026918,0.02725325,1000,0.046822,0.107621,0.050236075,0.006452355439324076,0.04793975,0.048491,0.04936575,1000,0.009428,0.05361,0.029087249,0.009821760161753035,0.0207035,0.0305075,0.03527225,1000,0.017062,0.049414,0.018810659,0.002692353513326027,0.01764825,0.017923,0.018325,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036625,1.51375,0.080740518,0.09870774663226628,0.07133375,0.0750405,0.0774305,1000,0.059953,0.135113,0.07829285000000001,0.007841012564426868,0.07744775,0.078312,0.0793345,1000,0.003021,0.014749,0.0043618450000000005,0.0009398849381573257,0.00422275,0.004319,0.004406,1000,0.005913,0.028555,0.007942619,0.0015424532115558645,0.00775675,0.007895,0.00801825,1000,0.018597,0.070409,0.024881143,0.002993266721585466,0.02475875,0.0249475,0.0251985,1000,0.018597,0.070409,0.024881143,0.002993266721585466,0.02475875,0.0249475,0.0251985,1000,0.006495,0.022545,0.009890079,0.0015442695764532176,0.009758,0.009881,0.01023225,1000,0.01018,0.023596,0.012350115,0.0012955041558308487,0.012195,0.0123,0.01240725,1000,0.16277,1.777736,0.267676084,0.10825764511173769,0.261967,0.266288,0.2693625,1000,0.012758,0.095726,0.0392196,0.010110349230367861,0.0404545,0.040855,0.04161625,1000,0.002119,0.01791,0.003262576,0.0008922255870708932,0.00311575,0.0031925,0.003261,1000,0.007043,0.063577,0.017262542000000002,0.0043028772629760195,0.017437,0.0175735,0.017737,1000,0.001881,0.067001,0.016656843,0.006145418470564148,0.01784075,0.0181575,0.01841425,1000,0.001006,0.011847,0.001554549,0.0007358429639529075,0.001379,0.001423,0.001507,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.036921,1.425746,0.092811177,0.09556902225400066,0.07210525,0.0989775,0.10049025,1000,0.060564,0.137361,0.078957957,0.008506558742238308,0.0777685,0.078439,0.07939575,1000,0.003081,0.022086,0.004395954,0.001039863992012417,0.004255,0.004341,0.00441225,1000,0.006049,0.033436,0.008020854000000001,0.001487814778352467,0.007819,0.007941,0.008054,1000,0.018659,0.053361,0.024990441,0.003194382919206619,0.02469275,0.0249035,0.02515325,1000,0.018659,0.053361,0.024990441,0.003194382919206619,0.02469275,0.0249035,0.02515325,1000,0.006524,0.0257,0.009554069,0.0014216878315013461,0.00951475,0.0096375,0.00978025,1000,0.010106,0.028306,0.012378127000000001,0.0013629729296178261,0.012203,0.012321,0.01245225,1000,0.163819,1.693957,0.270779288,0.10629249065799079,0.2493225,0.279517,0.28419975,1000,0.012737,0.111062,0.029622132000000002,0.007753003032282137,0.027206,0.0311445,0.03183725,1000,0.002193,0.022785,0.003289166,0.0011309013566372622,0.003121,0.003187,0.003261,1000,0.007144,0.099504,0.016364141,0.0048853584154204075,0.015779,0.016512,0.01692875,1000,0.00187,0.03733,0.008002799,0.0031371557603343514,0.006363,0.0095705,0.009856,1000,0.000978,0.021234,0.001479505,0.0010768179242448557,0.00126975,0.0013355,0.001392,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006109,0.135466,0.007778894000000001,0.008991598471393393,0.006481,0.0065855,0.0068645,1000,1.118896,1.264732,1.1369047909999999,0.017598943406390025,1.1262525,1.1291765,1.14324625,1000,0.067284,0.111081,0.06994582399999999,0.004832013019542063,0.06764,0.067752,0.07170425,1000,0.037507,0.068375,0.038467551,0.0021548308150291058,0.03790075,0.03806,0.038354,1000,0.015444,0.030294,0.016229662,0.0013608352088904814,0.015817,0.015927,0.016076,1000,0.985109,1.110595,1.003939324,0.015789065924082527,0.9929255,0.997722,1.01202225,1000,0.002829,0.020523,0.003190107,0.0008303218228801408,0.002984,0.003034,0.00309425,1000,0.011045,0.02154,0.011518068,0.0008623508319564607,0.01125975,0.011346,0.01144625,1000,1.154313,1.455656,1.1750724830000001,0.024241520785456324,1.1631545,1.166761,1.180504,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.00029,0.000942,0.000349157,5.257688038482314e-05,0.000328,0.000341,0.00035725,1000,2.496673,4.915883,2.552366123,0.18249116789627895,2.50998875,2.520377,2.54891675,1000,0.052077,0.092799,0.053627114000000004,0.0030406848463798413,0.05245025,0.053031,0.05378825,1000,0.044381,0.076235,0.045773831,0.0028793892342715665,0.04486275,0.0451,0.045879,1000,0.691213,2.080957,0.7131802340000001,0.09570126753736986,0.6969335,0.6991465,0.71389425,1000,1.69459,2.776165,1.7312753379999999,0.10351317881376147,1.70099325,1.707532,1.72619225,1000,0.001281,0.012071,0.0014702460000000001,0.0003887502404938163,0.001394,0.001433,0.001483,1000,0.012681,0.035083,0.01336227,0.0016662530483392973,0.01297,0.013086,0.013249,1000,2.522989,4.976707,2.579176003,0.1849440732037742,2.53658225,2.546598,2.57548525,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000288,0.010725,0.000368584,0.0003371466490179014,0.000324,0.000337,0.000359,1000,2.601786,4.918984,2.673153316,0.1824155495666204,2.62204225,2.6295735,2.66411325,1000,0.051147,0.131165,0.054908063,0.0065459418563741465,0.0522525,0.0527125,0.055636,1000,0.043051,0.109689,0.045877865,0.0040723090846318385,0.04435775,0.0448795,0.04589475,1000,0.691426,1.931464,0.715152335,0.08557803369114515,0.69788875,0.7012125,0.70917125,1000,1.800608,2.842374,1.848108118,0.10918412644734615,1.8107485,1.8204465,1.841606,1000,0.001327,0.005213,0.0015826030000000001,0.0003443213925840217,0.001454,0.001505,0.001565,1000,0.012685,0.046627,0.013676357,0.002328771111455782,0.012972,0.0130945,0.01331725,1000,2.627736,4.980751,2.700980728,0.1858946412482727,2.648459,2.656091,2.69032925,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
