SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.339754,0.435605,0.35448310588235293,0.01370292950647332,0.3461815,0.349689,0.355283,255,11.822016,13.151422,12.331975980392157,0.2336956443518767,12.222012,12.342201,12.4770455,255,0.28661,0.523276,0.30198356862745096,0.023271976993341666,0.290626,0.293241,0.3010125,255,0.13831,0.206148,0.1438995882352941,0.009431610559607352,0.1397865,0.140885,0.1422205,255,3.580552,3.959245,3.6990847803921567,0.0838790554566795,3.6266175,3.678818,3.7633415,255,3.580552,3.959245,3.6990847803921567,0.0838790554566795,3.6266175,3.678818,3.7633415,255,0.022959,0.040511,0.024208192156862745,0.0013309978559289662,0.023737,0.024077,0.024397,255,0.047453,0.089318,0.04967610980392157,0.003486607653453363,0.0485805,0.049055,0.04953,255,39.882623,54.153413,47.50251179999999,2.092973846901034,47.6973945,47.974855,48.298341,255,27.095713,41.621575,34.64906032941177,2.1243167722484166,35.004701,35.193378,35.314524,255,0.020201,0.063211,0.022408062745098038,0.004196909661856988,0.021409,0.021827,0.0221505,255,21.753136,28.39513,22.07796028627451,1.0013052466008714,21.8467235,21.881309,21.914231,255,4.856204,13.214422,12.126212192156862,1.8175466022479905,12.702433,12.839283,12.959841,255,0.399035,0.517138,0.41994158431372547,0.020142989404085165,0.4077845,0.412328,0.423407,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.97145,11.374463,9.380595904273504,0.3229022090238463,9.1168725,9.263029,9.590689,1755,8.668948,11.043701,9.068180562962961,0.31374941037893656,8.8130485,8.950651,9.27604,1755,0.004645,0.581396,0.17584530303893636,0.17086062530837315,0.02954475,0.1743345,0.28292725,10530,0.006102,0.340369,0.08200295555555556,0.07991013911332312,0.0146085,0.062047,0.13421125,10530,0.035776,3.644482,1.1698003267806267,1.2037914288156202,0.08642775,0.888374,1.7540585,10530,0.035776,3.644482,1.1698003267806267,1.2037914288156202,0.08642775,0.888374,1.7540585,10530,0.099216,0.184085,0.11301796353276353,0.011320608150528638,0.1056185,0.108419,0.1198045,1755,0.117794,0.207394,0.12955077150997152,0.010321849246002095,0.1234215,0.126049,0.132487,1755,23.966364,41.825395,30.85217417094017,3.669244663741997,28.408466,30.362913,32.64877,1755,14.429469,31.15771,20.97267721253561,3.6321490661926514,18.59327,20.424508,22.801347,1755,0.073966,0.156749,0.08364195498575498,0.007987206303111123,0.079282,0.08208,0.085227,1755,13.630557,30.261959,20.139284667236467,3.545278110246103,17.814775,19.586359,21.963483,1755,0.10129,0.704255,0.25436891794871797,0.10310663054401079,0.1976435,0.227557,0.2810305,1755,0.436047,0.617351,0.4930952547008547,0.027617017251024584,0.4746035,0.487338,0.507532,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.040768,1.884902,0.10836905000000001,0.12561305176557688,0.0530805,0.093471,0.123791,1000,0.124754,0.25767,0.143616368,0.018334922429957972,0.1296765,0.135556,0.1557395,1000,0.001843,0.024624,0.0025982469999999997,0.001308882336572314,0.002021,0.002154,0.002969,4000,0.003993,0.031996,0.00519525375,0.0019509177596354333,0.004266,0.004459,0.005753,4000,0.000353,0.018255,0.0007577757500000001,0.0008414665385277881,0.000462,0.00052,0.000925,4000,0.000353,0.018255,0.0007577757500000001,0.0008414665385277881,0.000462,0.00052,0.000925,4000,0.020018,0.057718,0.02287993,0.003966148476935779,0.02050575,0.0207985,0.02455125,1000,0.025371,0.06475,0.028194389,0.004431247056944467,0.026044,0.026393,0.02935325,1000,0.418627,2.541343,0.527400245,0.15513496398615295,0.454292,0.489056,0.580744,1000,0.086797,0.219371,0.10374343600000001,0.01720994320315741,0.0904975,0.0946825,0.114984,1000,0.025152,0.069469,0.029774669,0.006042368535221846,0.0262025,0.0270095,0.03191775,1000,0.039503,0.139975,0.04741272,0.009841319787894305,0.0408245,0.0433065,0.05270425,1000,0.005353,0.033391,0.0066427,0.00213400548359183,0.005555,0.005704,0.00709325,1000,0.016028,0.05494,0.019386395,0.0043444823890740995,0.016801,0.017568,0.02076,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.036436,1.715115,0.107328932,0.12211953057371035,0.05308825,0.0935075,0.12406125,1000,0.123693,0.249095,0.141771862,0.01629420772369605,0.12912775,0.1344445,0.15303025,1000,0.001833,0.023814,0.002540133,0.0010766552673957435,0.002017,0.002149,0.002971,4000,0.003896,0.026214,0.005139103,0.0016642198825248425,0.00422475,0.004437,0.005726,4000,0.000338,0.027289,0.00074213125,0.0009424373857309765,0.000446,0.000506,0.00087025,4000,0.000338,0.027289,0.00074213125,0.0009424373857309765,0.000446,0.000506,0.00087025,4000,0.019871,0.057614,0.022968449000000002,0.004035879440890052,0.020461,0.020839,0.02481775,1000,0.02531,0.068301,0.027982747,0.0038374206484292285,0.02599525,0.026414,0.0293435,1000,0.420068,2.393522,0.52341989,0.15112501097007042,0.45227475,0.4835265,0.576471,1000,0.087272,0.225456,0.10295414200000001,0.016592197290468676,0.090494,0.094778,0.1139745,1000,0.024631,0.069682,0.029096929,0.004890348732141604,0.02592675,0.0268505,0.031851,1000,0.039656,0.130587,0.047076262,0.009699784287362066,0.0406155,0.0435215,0.0524915,1000,0.005409,0.028493,0.0068940600000000005,0.002272698438948731,0.00573875,0.0061815,0.00723,1000,0.016126,0.055329,0.019367551,0.0037971744067660366,0.01684875,0.017576,0.02078325,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.036948,1.847413,0.080080897,0.12150299300692305,0.0527685,0.0667515,0.07990625,1000,0.127172,0.264647,0.13987001699999999,0.015040552876630267,0.130145,0.1337385,0.14438775,1000,0.001862,0.022155,0.00246619025,0.0011020546681335447,0.00204,0.002138,0.002859,4000,0.00397,0.026564,0.0050128915,0.0017126077807623527,0.004272,0.004497,0.005615,4000,0.000366,0.01588,0.00076529375,0.0008213667262319174,0.000473,0.00053,0.00094525,4000,0.000366,0.01588,0.00076529375,0.0008213667262319174,0.000473,0.00053,0.00094525,4000,0.019914,0.074219,0.021586368999999998,0.003361289334889069,0.02043475,0.020687,0.021847,1000,0.025403,0.064946,0.027129098,0.0036845910205063463,0.026065,0.026249,0.026527,1000,0.438953,2.516445,0.507656251,0.14444993614209042,0.4707485,0.486858,0.51244675,1000,0.098988,0.230675,0.124370535,0.017841938084265818,0.1118775,0.1217505,0.12956925,1000,0.0252,0.068164,0.027892240000000002,0.004482903824353139,0.026201,0.026636,0.02761225,1000,0.044635,0.125014,0.049392792,0.008489512969701855,0.04563375,0.0465955,0.048812,1000,0.008954,0.081234,0.027847342,0.010229154863870035,0.0193575,0.028939,0.03336625,1000,0.016371,0.060083,0.018676865,0.0035839937330825514,0.017118,0.0176545,0.0182065,1000,0.0,1.2,0.7,0.5727128425310541,0.0,1.1,1.2,5
FrictionContact_LCP_with_friction,0.031319,1.619728,0.084796953,0.1029170528421835,0.07578325,0.0765865,0.0788845,1000,0.040467,0.140088,0.053456534,0.008674775686601008,0.05117875,0.0517295,0.05346375,1000,0.002861,0.024864,0.00425091,0.0016647132647696417,0.004032,0.004109,0.00420325,1000,0.005728,0.028352,0.007664181,0.0017706632949939973,0.0074295,0.00754,0.00768,1000,0.000676,0.009616,0.001039215,0.0005116141737432613,0.000956,0.000991,0.001024,1000,0.000676,0.009616,0.001039215,0.0005116141737432613,0.000956,0.000991,0.001024,1000,0.006153,0.030834,0.00943983,0.0019535924117123305,0.00921125,0.0094195,0.00959725,1000,0.010013,0.032679,0.012668094999999999,0.002282943952438386,0.012347,0.012459,0.01257725,1000,0.1411,1.85801,0.243763801,0.11343468407577727,0.23277025,0.2356395,0.24925825,1000,0.011891,0.116131,0.038297494,0.010878614432912125,0.038511,0.0389295,0.0398725,1000,0.001927,0.020058,0.003087666,0.0012235631624252178,0.00293275,0.0029965,0.00306925,1000,0.006792,0.051795,0.016805999,0.004811338873639956,0.01656675,0.016707,0.016933,1000,0.001621,0.055681,0.016156492,0.0062473224318852,0.0170475,0.017334,0.017571,1000,0.00094,0.010828,0.00141697,0.0006767549830625556,0.001266,0.0013095,0.00139625,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,-0.016675,1.45278,0.097599675,0.09823062898224451,0.07534075,0.1033705,0.104654,1000,0.040075,0.113268,0.052347438,0.007323845938177291,0.0504975,0.0509275,0.051653,1000,0.002863,0.017506,0.004127868000000001,0.0012630257616438392,0.003987,0.004055,0.00411325,1000,0.005702,0.025521,0.007630578000000001,0.0020433837529734837,0.00727575,0.007386,0.00748525,1000,0.000754,0.018105,0.0010491110000000001,0.0008302315777414154,0.000936,0.000972,0.001009,1000,0.000754,0.018105,0.0010491110000000001,0.0008302315777414154,0.000936,0.000972,0.001009,1000,0.006075,0.036104,0.009284783,0.0020970341699435894,0.009089,0.0092145,0.00934,1000,0.009964,0.038233,0.012616654,0.0024148391665458797,0.012275,0.0124025,0.01251525,1000,0.140806,1.703271,0.245027888,0.10808258565350597,0.219684,0.2499045,0.25434475,1000,0.011915,0.128043,0.028470368,0.008066481029704094,0.02565575,0.029561,0.03021125,1000,0.001933,0.016513,0.003059908,0.0009844171014036682,0.002919,0.003001,0.00308425,1000,0.006827,0.05824,0.015706182,0.0046633497092622165,0.01501875,0.0156885,0.01600725,1000,0.001587,0.107583,0.00759767,0.004386540108000838,0.0058355,0.0089735,0.00921625,1000,0.000971,0.01014,0.001339422,0.0005140542130125965,0.00120775,0.001275,0.001332,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008435,0.148456,0.010326018,0.009364111462903247,0.008895,0.0090905,0.00937,1000,1.117404,1.401926,1.1747237350000002,0.06602152168671041,1.129258,1.142628,1.1813955,1000,0.067057,0.124514,0.068721401,0.004845248364552534,0.06749175,0.067623,0.0677935,1000,0.037927,0.08203,0.039416678999999996,0.003853706092316719,0.03842,0.038578,0.03888725,1000,0.000687,0.003994,0.000862305,0.0002358310666027697,0.00079,0.000827,0.00088,1000,1.002102,1.285515,1.057400963,0.06493804926986667,1.01375725,1.0255855,1.062172,1000,0.002707,0.016355,0.003114987,0.0008182827621494906,0.00291575,0.002971,0.003038,1000,0.008029,0.026672,0.008582982,0.001046968630702945,0.008339,0.0084415,0.00855425,1000,1.150574,1.594091,1.210598517,0.06876475593946153,1.16396925,1.1782855,1.21809375,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000272,0.009086,0.00033963099999999996,0.0002803323934885157,0.000307,0.000325,0.000345,1000,2.507563,5.116129,2.5787894369999997,0.1996034029707711,2.5192025,2.549008,2.58067675,1000,0.051479,0.095374,0.054534009,0.005139240313209629,0.052871,0.053137,0.054582,1000,0.043323,0.080979,0.045752453,0.004681034697349614,0.04451475,0.0447355,0.045002,1000,0.690978,2.175273,0.715462045,0.10131951593813986,0.69629425,0.6985535,0.72208875,1000,1.707613,2.801544,1.755492146,0.11423547776490754,1.71543275,1.736516,1.76008725,1000,0.001135,0.012009,0.001381323,0.00036174506585577636,0.001306,0.001355,0.001413,1000,0.005948,0.027379,0.00664175,0.0014811690516278013,0.00630375,0.006429,0.006576,1000,2.525526,5.167452,2.597052566,0.2019133694262409,2.53717275,2.567194,2.59879775,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000277,0.000887,0.000340666,4.90506925944986e-05,0.000319,0.000332,0.000349,1000,2.609148,5.081446,2.703064047,0.1936047810018926,2.659122,2.6769745,2.70423275,1000,0.051096,0.100446,0.054635290999999996,0.006431983347173638,0.05266775,0.0529095,0.05344,1000,0.04292,0.07971,0.045504911,0.004590735721763888,0.04408625,0.0443025,0.04497725,1000,0.690099,2.016333,0.720697728,0.09171344709565776,0.69666575,0.710686,0.72781575,1000,1.807709,2.970662,1.874801117,0.11584340750933265,1.8406255,1.855231,1.87578175,1000,0.001211,0.012181,0.001409957,0.0005527430625082508,0.001306,0.001355,0.00141525,1000,0.005972,0.035197,0.006663463,0.0016508771270542818,0.00628675,0.00644,0.0066395,1000,2.625876,5.142119,2.721557384,0.19618655736233445,2.676886,2.694997,2.7228945,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
