SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.322672,0.419264,0.33525125098039216,0.01158426853698622,0.328619,0.332761,0.336697,255,11.723268,14.849547,12.19034756862745,0.27864752571196144,12.020413,12.236452,12.299746,255,0.283267,0.46673,0.2928047098039216,0.015008023977849578,0.28695,0.288846,0.2950345,255,0.136294,0.281413,0.1425340274509804,0.012848782818801812,0.138641,0.139472,0.140917,255,3.563664,4.217811,3.668184725490196,0.061209868852788965,3.6412115,3.666378,3.696208,255,3.563664,4.217811,3.668184725490196,0.061209868852788965,3.6412115,3.666378,3.696208,255,0.025521,0.062324,0.027531949019607843,0.003214932706481572,0.0265865,0.026909,0.027284,255,0.051025,0.087127,0.053572788235294114,0.0029416493203274856,0.052521,0.05294,0.053493,255,39.937039,62.421244,47.418144188235296,2.4806708759814664,47.495586,47.8016,47.989998,255,27.127766,49.315543,34.71179940392157,2.447666874438402,35.0402885,35.133095,35.2315085,255,0.020589,0.046873,0.02249926274509804,0.003119133521836385,0.021618,0.021949,0.022302,255,21.774524,28.900283,22.16419694117647,1.207502842339824,21.880774,21.918165,21.9549025,255,4.867912,22.937972,12.107887105882352,1.9227493656925587,12.721749,12.781452,12.8369345,255,0.399339,0.512611,0.4152764196078432,0.014319220753266988,0.4079145,0.4118,0.418622,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.912284,13.910229,9.375195295156695,0.32201446328561745,9.139187,9.351774,9.508313,1755,8.62133,13.616998,9.077771393162394,0.31658763555504726,8.841141,9.055764,9.202207,1755,0.004821,0.620986,0.17333946011396012,0.16799340276256922,0.030365,0.122318,0.2694,10530,0.006119,0.314676,0.08340725185185185,0.07981476688135464,0.01606,0.0604185,0.140072,10530,0.03706,5.614499,1.1657703421652421,1.2015370709880404,0.098324,0.89183,1.72291725,10530,0.03706,5.614499,1.1657703421652421,1.2015370709880404,0.098324,0.89183,1.72291725,10530,0.094549,0.173615,0.11083091680911682,0.012748341519303378,0.100569,0.109562,0.116721,1755,0.129608,0.246627,0.14229715213675215,0.011949918251228436,0.1346395,0.140563,0.1440955,1755,23.838695,42.314979,30.77689906096866,3.6513731762418162,28.270963,30.234107,32.464912,1755,14.208234,32.161871,20.810921014245015,3.626358755734277,18.4293025,20.247235,22.431244,1755,0.07543,0.173214,0.08690681196581197,0.010053595911915535,0.0811105,0.08463,0.0888925,1755,13.426367,31.241687,19.961037079202278,3.532123195917709,17.621078,19.415316,21.5867385,1755,0.105555,0.742149,0.2679453014245014,0.1060836901215438,0.208313,0.242709,0.2968405,1755,0.431147,0.640162,0.4927150170940171,0.029998619058031348,0.4722095,0.488273,0.508474,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.035746,1.6242,0.089877678,0.11623543172215739,0.0377215,0.0764,0.1067565,1000,0.193865,0.312944,0.21560702299999998,0.02032323348663964,0.20062325,0.206422,0.22943,1000,0.001949,0.019796,0.0026296662500000004,0.0008974419921983468,0.002117,0.0022475,0.003028,4000,0.004146,0.019854,0.005191861,0.0011471893057290064,0.004472,0.0046325,0.005784,4000,0.014989,0.051132,0.01787602525,0.002719952566978409,0.015888,0.0168955,0.01909225,4000,0.014989,0.051132,0.01787602525,0.002719952566978409,0.015888,0.0168955,0.01909225,4000,0.020193,0.058163,0.022859651999999998,0.003521893669731669,0.02067,0.020978,0.02474325,1000,0.025732,0.055129,0.027788217,0.0024503070333962234,0.02622875,0.02657,0.0291215,1000,0.485661,2.340316,0.5866970899999999,0.1490347557913519,0.5028345,0.5448405,0.651854,1000,0.090365,0.188615,0.104195278,0.015716854147211395,0.092695,0.0963625,0.1147825,1000,0.025258,0.076405,0.028852587,0.004483969922560922,0.0261205,0.0266355,0.03095975,1000,0.041124,0.104411,0.047800762999999996,0.008430783643341289,0.041989,0.04298,0.05268275,1000,0.006229,0.023458,0.007557831,0.001851649158031564,0.006456,0.006606,0.00803725,1000,0.016376,0.042467,0.019474147,0.003103329317264122,0.01715375,0.0178245,0.021142,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.030946,1.692756,0.09034879600000001,0.11938711403133247,0.03769525,0.076401,0.10693525,1000,0.193156,0.344158,0.215521325,0.02023974147585327,0.200581,0.2056945,0.2310295,1000,0.00192,0.02334,0.0026250607500000003,0.0008689906162090804,0.002105,0.00223,0.003038,4000,0.00421,0.02858,0.005242786,0.0013859285586580571,0.00448,0.0046675,0.00576325,4000,0.014689,0.062017,0.017755633000000003,0.00287485904807714,0.0158585,0.016697,0.01893925,4000,0.014689,0.062017,0.017755633000000003,0.00287485904807714,0.0158585,0.016697,0.01893925,4000,0.020221,0.060287,0.022724137999999998,0.0035292752574651916,0.0205895,0.0208575,0.02449975,1000,0.025589,0.059644,0.027650243999999997,0.002498222468168918,0.02613775,0.026429,0.02891225,1000,0.484411,2.396703,0.5873420890000001,0.15197052299275368,0.49963025,0.547268,0.65248525,1000,0.090455,0.190224,0.104284727,0.01542184200510662,0.09291025,0.096386,0.11455025,1000,0.025289,0.069359,0.02905748,0.004495994351153035,0.0262105,0.026728,0.03180475,1000,0.041157,0.106646,0.047807050999999996,0.008195030913327845,0.04207475,0.042999,0.053092,1000,0.006059,0.018726,0.007546331,0.0017058104142720551,0.006379,0.0068565,0.0080585,1000,0.016347,0.05675,0.019361794,0.0031505633800264993,0.01709575,0.0176535,0.02104075,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.02537,1.616504,0.062208357000000006,0.11399614499073008,0.03712,0.0502665,0.0615365,1000,0.19332,0.319508,0.206138587,0.013801181182001451,0.1984415,0.202544,0.20856475,1000,0.001922,0.020858,0.00250017175,0.0008962655118612663,0.002099,0.002223,0.00294825,4000,0.004155,0.078235,0.0049879235,0.0015550441466877234,0.004418,0.00458,0.005624,4000,0.014846,0.052009,0.017088078000000003,0.00237471200631066,0.01554175,0.016274,0.0187265,4000,0.014846,0.052009,0.017088078000000003,0.00237471200631066,0.01554175,0.016274,0.0187265,4000,0.02025,0.064806,0.021645895000000002,0.002695432868014894,0.02080625,0.021052,0.02146,1000,0.025771,0.055482,0.027064315,0.0025548393393274266,0.026149,0.026308,0.0265025,1000,0.499524,2.429618,0.563035706,0.1376694049101817,0.52053625,0.546753,0.56744525,1000,0.101832,0.24817,0.125522942,0.016645969307391983,0.11396875,0.1241135,0.130896,1000,0.025452,0.062485,0.027059345000000002,0.0030490299001444702,0.02610125,0.026405,0.0267175,1000,0.046156,0.147911,0.049810452,0.007201328265653219,0.04728725,0.047823,0.0490215,1000,0.009376,0.083565,0.029446147000000002,0.010431293330521917,0.02078075,0.0305695,0.03539275,1000,0.016936,0.047859,0.018686315,0.0028741075216099695,0.017472,0.0177165,0.018201,1000,0.0,2.4,0.48,0.9600000000000001,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.031359,1.693842,0.076202195,0.10242534346002934,0.068822,0.0693565,0.07235325,1000,0.060129,0.144183,0.07896588099999999,0.008557184154196928,0.07779175,0.0788375,0.08015625,1000,0.002942,0.029898,0.004233562,0.0010867465510209823,0.004173,0.004242,0.00431,1000,0.005886,0.026003,0.007857552,0.0012519785075215948,0.00772275,0.007861,0.00805025,1000,0.018863,0.056508,0.025312831999999997,0.0028872311832923944,0.02526475,0.0255225,0.025734,1000,0.018863,0.056508,0.025312831999999997,0.0028872311832923944,0.02526475,0.0255225,0.025734,1000,0.006184,0.020366,0.009648525,0.0015141427982112519,0.00958575,0.0097905,0.009952,1000,0.010204,0.027269,0.012198441999999999,0.0011628781108250338,0.0121325,0.012234,0.01232925,1000,0.158535,1.955058,0.26328942099999997,0.11201230429535748,0.25829425,0.2611805,0.2640225,1000,0.012911,0.108973,0.038947967,0.009844433160315073,0.04000225,0.0404895,0.0416825,1000,0.002066,0.012663,0.003051832,0.0006664121425784497,0.00296475,0.003031,0.00310925,1000,0.007277,0.040411,0.01717238,0.0039190760272799,0.01730775,0.0174875,0.017689,1000,0.001944,0.080973,0.016519919,0.006229679219545659,0.0177945,0.018021,0.01821825,1000,0.000954,0.010163,0.001496635,0.0006908425853803455,0.001356,0.0014,0.001449,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.031543,1.646254,0.089832227,0.09849014055012549,0.06880775,0.0951105,0.09830875,1000,0.059877,0.13165,0.07737197100000001,0.007433578741505265,0.07683075,0.077457,0.0784615,1000,0.002929,0.01457,0.00415678,0.0007676669105803637,0.004119,0.0041855,0.004244,1000,0.005829,0.017032,0.007658717,0.0011010859089603316,0.00758,0.007668,0.007752,1000,0.018755,0.055768,0.025030203,0.0026750171191584926,0.02495775,0.0252235,0.02551525,1000,0.018755,0.055768,0.025030203,0.0026750171191584926,0.02495775,0.0252235,0.02551525,1000,0.006182,0.02541,0.009492441999999999,0.0015382485230404093,0.009459,0.0096165,0.0097605,1000,0.010136,0.027381,0.012111493000000001,0.001087518852227859,0.01204375,0.012156,0.01226125,1000,0.1572,1.911106,0.264504108,0.10849779087000959,0.2442295,0.2740545,0.2796565,1000,0.01281,0.062817,0.029014123,0.006344384636973944,0.02686875,0.0309175,0.03168425,1000,0.002013,0.011661,0.003053513,0.0005401517007572966,0.002914,0.003001,0.00314225,1000,0.00717,0.037269,0.015827243,0.0033917939247470504,0.0155555,0.016285,0.0166,1000,0.001892,0.024363,0.007937689999999999,0.002835076634219964,0.00642975,0.009587,0.00992475,1000,0.000972,0.01161,0.001471251,0.0007261785896038246,0.00130775,0.001369,0.001431,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.005104,0.152197,0.006255825,0.008981431380151773,0.00547575,0.005612,0.005717,1000,1.120575,1.294188,1.1441218850000001,0.02728685471691039,1.12691675,1.1336035,1.14296225,1000,0.066891,0.10169,0.068252787,0.003041880286867154,0.06716575,0.0675015,0.068089,1000,0.03759,0.079762,0.038849735999999996,0.0032508294135964746,0.03792775,0.038078,0.03865925,1000,0.015262,0.035244,0.016054831,0.0013633754781566963,0.015712,0.015844,0.01599825,1000,0.990393,1.160145,1.012963735,0.024602671245472003,0.997581,1.003959,1.009382,1000,0.0028,0.013226,0.00310953,0.00048088258972435254,0.00298775,0.003054,0.00315525,1000,0.011013,0.021822,0.011487101000000001,0.0007761445360234136,0.01129275,0.0113795,0.01148425,1000,1.156595,1.473753,1.1817450630000002,0.03244615591722741,1.16379525,1.1702945,1.1811015,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000289,0.000909,0.000359101,5.321072071490857e-05,0.000337,0.000352,0.000369,1000,2.567549,4.965767,2.620237914,0.1839795101834892,2.5761835,2.5897715,2.61352925,1000,0.051821,0.097435,0.053302839,0.003138016241047678,0.05229675,0.0525225,0.05286025,1000,0.044475,0.100087,0.046048625999999995,0.004077843540662637,0.044963,0.045223,0.0454545,1000,0.690129,2.069262,0.709307289,0.09604935382737086,0.695524,0.6978025,0.7033475,1000,1.768312,2.782137,1.803730236,0.10354998317638833,1.773327,1.781052,1.79205,1000,0.001237,0.010308,0.001421633,0.0003202036325699632,0.001331,0.00138,0.001457,1000,0.01183,0.031631,0.012428679,0.0011982699687295014,0.012115,0.012229,0.012397,1000,2.591298,5.021879,2.6459752400000003,0.18633779173776424,2.60138575,2.615562,2.639825,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.0003,0.000837,0.000361128,4.716990158989099e-05,0.00034,0.000354,0.00037,1000,2.614966,4.977801,2.6619021839999997,0.1778344878297237,2.62195525,2.628935,2.6563425,1000,0.051362,0.118004,0.053428601,0.004321439123463271,0.052328,0.0525955,0.0530515,1000,0.043932,0.083928,0.045781883,0.002933253211932274,0.044955,0.045269,0.04561125,1000,0.690977,1.954227,0.707984256,0.08739766188261826,0.69574975,0.697765,0.70005675,1000,1.814203,2.885389,1.84705406,0.10345125671548125,1.819453,1.8227565,1.839246,1000,0.001227,0.01192,0.0014214949999999998,0.00056568002437332,0.001324,0.001369,0.001421,1000,0.011592,0.026424,0.012342503000000001,0.001054857333477376,0.01202775,0.012171,0.012351,1000,2.639301,5.034089,2.687399266,0.1801340431935431,2.64688825,2.654588,2.6815105,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,3.7,0.74,1.4799999999999998,0.0,0.0,0.0,5
