SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3
fallingBeamLagrangianCollision,0.339069,0.438899,0.3617431137254902,0.015860507481644522,0.349705,0.361344,0.3697665,11.847499,13.11568,12.44286488627451,0.24411952249780372,12.28714,12.477486,12.6127995,0.281554,0.425818,0.30351730588235293,0.018963980369207593,0.2913115,0.298622,0.3113785,0.135492,0.232929,0.15883846274509805,0.01896346709420315,0.138259,0.167601,0.1716705,3.597297,3.941477,3.7321415764705885,0.06179012700456466,3.6938155,3.728245,3.7762765,3.597297,3.941477,3.7321415764705885,0.06179012700456466,3.6938155,3.728245,3.7762765,0.024309,0.050312,0.027820901960784315,0.0027685532206346243,0.0257025,0.028065,0.029036,0.054698,0.103393,0.06046013333333333,0.006026827489004661,0.0568285,0.060344,0.061519,40.216812,55.143105,48.433842043137254,2.9409057522859956,47.9197305,48.359445,48.679096,27.198752,42.097836,35.435563411764704,3.0037036901523018,35.12117,35.34761,35.563324,0.020684,0.055353,0.02256145882352941,0.0031261750928330287,0.02164,0.021999,0.02249,21.79975,28.454794,22.81679742352941,2.1186463668148168,21.9135045,21.993245,22.105453,4.898358,13.682366,12.180638674509805,1.8131193398696202,12.742382,12.893025,13.0236475,0.393504,0.498607,0.4121094705882353,0.0172522044574394,0.4005035,0.405544,0.4172375,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0
BilateralLagrangianConstraint_NNCG,0.05222,1.804353,0.108507848,0.118831107965595,0.054071,0.0930135,0.125172,0.129837,0.321001,0.150467455,0.018552004256952265,0.1367745,0.1450295,0.1607365,0.001857,0.023925,0.0026681905,0.0011400957190998264,0.002112,0.002266,0.003058,0.004099,0.046636,0.0053902032499999995,0.0018255836485736384,0.004503,0.004785,0.005974,0.000389,0.014545,0.00077529525,0.000775656409486467,0.000485,0.000547,0.00095425,0.000389,0.014545,0.00077529525,0.000775656409486467,0.000485,0.000547,0.00095425,0.022797,0.075349,0.026067176,0.004398733444870693,0.02346175,0.0240255,0.02791475,0.029009,0.084743,0.032101753000000004,0.00463913515215832,0.0297895,0.030652,0.03336725,0.438473,2.447347,0.5440418220000001,0.15028138754756795,0.46834175,0.5082895,0.597837,0.088445,0.205216,0.103685156,0.016152187419469353,0.091825,0.0954405,0.1143425,0.026154,0.072165,0.030600461,0.005518359568610857,0.027144,0.028288,0.03301075,0.039028,0.127025,0.046195216,0.008735428706442746,0.0402395,0.042555,0.05117725,0.005429,0.026976,0.006672609,0.0019793805521220523,0.00564075,0.0057825,0.00706925,0.01646,0.055815,0.019655288,0.0037014734156894874,0.0171885,0.0179185,0.02110825,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0
BilateralLagrangianConstraint_PGS,0.038059,1.640449,0.108447307,0.11771780676103659,0.05379225,0.0932975,0.12515775,0.12946,0.302327,0.147318974,0.018638735206695865,0.13433175,0.1391725,0.158359,0.001905,0.023872,0.00255722225,0.0010025896283399993,0.002039,0.002175,0.002994,0.004056,0.056817,0.0052677125,0.0018046038329350158,0.004364,0.004599,0.005881,0.000363,0.02138,0.000794773,0.0009070139312441677,0.000486,0.000541,0.00102,0.000363,0.02138,0.000794773,0.0009070139312441677,0.000486,0.000541,0.00102,0.022672,0.063662,0.025593044000000002,0.003719548493844918,0.02331975,0.0236825,0.0275395,0.029091,0.06953,0.031836575,0.004056219756913449,0.029773,0.0301745,0.0332575,0.436992,2.349053,0.5390567909999999,0.14906766091523443,0.46240525,0.501982,0.59518025,0.087607,0.197336,0.103049655,0.015702514939778752,0.09117375,0.095017,0.11388075,0.025464,0.066054,0.030252627,0.005165577814133768,0.02685175,0.027749,0.032673,0.039024,0.117568,0.046064103,0.00868578252159188,0.04015575,0.041825,0.05134525,0.005284,0.028174,0.006696486,0.0019094310864244356,0.00559375,0.0061115,0.00718875,0.016528,0.051558,0.019466128,0.0034504603211189086,0.0171025,0.017729,0.021056,0.0,1.2,0.24,0.48,0.0,0.0,0.0
BilateralLagrangianConstraint_UGS,0.041237,1.776044,0.080667662,0.11802685337701652,0.0537125,0.0682285,0.08040775,0.129505,0.256124,0.139506888,0.014305168704333968,0.132838,0.1352665,0.13847225,0.001899,0.022517,0.00244809975,0.001014121383661708,0.002042,0.002131,0.00291,0.004056,0.038875,0.0050036335,0.0017091889887246965,0.004334,0.004484,0.0056935,0.000396,0.00997,0.0007702307499999999,0.0006471853177447999,0.000493,0.000545,0.001024,0.000396,0.00997,0.0007702307499999999,0.0006471853177447999,0.000493,0.000545,0.001024,0.022731,0.051716,0.024079355,0.002889595689188195,0.023221,0.02339,0.023598,0.029106,0.065691,0.030846005000000003,0.004191329737562413,0.02963075,0.029869,0.0301295,0.449459,2.425436,0.515023623,0.14026656577519414,0.4692865,0.498329,0.52036925,0.099811,0.24423,0.1241292,0.018654632861088424,0.111502,0.121746,0.129051,0.026041,0.081437,0.028472972000000003,0.005159544596494539,0.02686575,0.027206,0.0275655,0.044279,0.115905,0.04820633,0.007900427873672412,0.0452195,0.0457925,0.0468095,0.008307,0.074182,0.028068531,0.010612100725447295,0.01941775,0.028849,0.03361375,0.016829,0.052477,0.018810445,0.003692658130801577,0.01728,0.017508,0.0180955,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0
FrictionContact_LCP_with_friction,0.04084,1.523521,0.083742985,0.0986162782066063,0.075488,0.0764775,0.07784375,0.042468,0.126464,0.054793036999999996,0.008511576478046295,0.05299775,0.053549,0.05440125,0.002966,0.013053,0.00417302,0.0008087154206517891,0.004046,0.0041485,0.00426525,0.005889,0.031019,0.007821676,0.0020544628434274494,0.007517,0.0076155,0.00771925,0.000818,0.015749,0.001157058,0.0009140228370429263,0.000969,0.000997,0.001025,0.000818,0.015749,0.001157058,0.0009140228370429263,0.000969,0.000997,0.001025,0.007171,0.02657,0.010392318999999999,0.0016311768191213973,0.0103065,0.010464,0.0106125,0.011852,0.045305,0.014976245999999999,0.0029759749094177526,0.0145275,0.014689,0.0148685,0.147499,1.784471,0.246721216,0.10976112437129708,0.23747525,0.2402585,0.245284,0.012316,0.10822,0.037567711000000004,0.010485354142778345,0.038055,0.0384715,0.0393565,0.00203,0.024239,0.003122766,0.0012055864453634174,0.002928,0.0030005,0.003079,0.007017,0.057201,0.016454271,0.0047672950076074585,0.016246,0.0163965,0.0165645,0.001627,0.057131,0.01597774,0.006355731593955177,0.017015,0.0172085,0.01733825,0.001017,0.015827,0.001481298,0.00084174215481702,0.001318,0.001355,0.001397,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0
FrictionContact_LCP_without_friction,0.040493,1.551669,0.097651344,0.09866087930379328,0.075421,0.102891,0.1048035,0.042319,0.174466,0.054909497,0.010416768491811218,0.052603,0.053218,0.05390625,0.002904,0.025257,0.004149211,0.0015032977657400413,0.003986,0.004047,0.004106,0.005798,0.031442,0.007821301000000001,0.00241927602567359,0.00742075,0.007527,0.00762425,0.000745,0.013774,0.001135908,0.0008656198481643083,0.000959,0.000984,0.00101425,0.000745,0.013774,0.001135908,0.0008656198481643083,0.000959,0.000984,0.00101425,0.007016,0.042738,0.010402512000000001,0.0025497187903484567,0.0101905,0.010318,0.010464,0.011837,0.041717,0.014898991,0.003026543324143733,0.01439475,0.014534,0.0146765,0.147386,1.87278,0.25063636300000003,0.11128748509683932,0.224211,0.255379,0.26057375,0.01229,0.077228,0.027865204,0.007874382439555754,0.0250275,0.028916,0.02948425,0.001976,0.020306,0.003122699,0.0013931930420437075,0.002887,0.002953,0.00303325,0.007071,0.055809,0.015311242000000001,0.004520804530328202,0.01453375,0.0152665,0.01555,0.0016,0.029542,0.007432416,0.0032093141412058747,0.00572575,0.0087835,0.009045,0.001025,0.018406,0.001482659,0.0010622468614775945,0.001243,0.0013105,0.00137325,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0
FixedProjectiveConstraint,0.008966,0.156565,0.010887663,0.010152237116785196,0.00942875,0.009584,0.0098515,1.105148,1.306701,1.131328643,0.02352424323130398,1.11568025,1.1200665,1.141459,0.066869,0.106615,0.06868858500000001,0.004814716228686277,0.06728275,0.067547,0.068348,0.03729,0.081234,0.040095519,0.00506900419447834,0.0376805,0.037979,0.04124925,0.000719,0.013319,0.000939837,0.0006492164218740928,0.00084,0.0008775,0.00092,0.990769,1.120604,1.011799776,0.02074981281616352,0.9965985,1.0017675,1.02367225,0.012555,0.043464,0.013161311,0.0018379816234878408,0.012755,0.01284,0.01294725,0.0135,0.037705,0.014136084,0.001233136146150943,0.01383,0.0139755,0.01413125,1.153682,1.537222,1.183654781,0.03101482363375679,1.16639075,1.173199,1.19269125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FEMBAR_EigenSimplicialLDLT,0.000282,0.011908,0.000364467,0.00037696403662816424,0.000317,0.00034,0.000375,2.503779,5.080262,2.6008035240000003,0.19220026534536164,2.55823825,2.5757895,2.598539,0.051737,0.101444,0.055988396999999995,0.006647079213112403,0.05240575,0.0540025,0.05771,0.044089,0.125,0.046669656999999996,0.0062401825360602235,0.0445075,0.0446805,0.047401,0.692444,2.121371,0.726056495,0.09927485890943372,0.70096925,0.71927,0.732639,1.69409,2.814483,1.762703416,0.10717625900710914,1.7313195,1.746265,1.7643155,0.001147,0.011648,0.0014303710000000002,0.0005811801952570305,0.001287,0.001348,0.00145825,0.005972,0.023435,0.006648052,0.0009749141004703953,0.006375,0.0065245,0.00668625,2.520674,5.130015,2.6191975669999996,0.19427882113112463,2.576056,2.5941355,2.617202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0
FEMBAR_EigenSimplicialLLT,0.00026,0.002502,0.000316653,8.575263605860753e-05,0.000294,0.000307,0.000323,2.621417,4.973364,2.700815398,0.18102504510628245,2.6534425,2.681122,2.70268775,0.051848,0.089902,0.054625609,0.005389162028193159,0.052667,0.0530055,0.05425975,0.044018,0.093171,0.045872078000000004,0.0048685542650684305,0.044428,0.044706,0.045122,0.690498,1.953152,0.7171165749999999,0.08869181497356098,0.69671425,0.701039,0.725279,1.816349,2.891233,1.873684787,0.10602424041798003,1.83990725,1.855208,1.87997325,0.001172,0.003505,0.001425387,0.00018342170872336785,0.001318,0.00141,0.00148225,0.00603,0.02682,0.0067145569999999995,0.001487082665742224,0.0063475,0.006516,0.00670075,2.638482,5.020115,2.71940594,0.18289053269855277,2.67259525,2.6989665,2.72181675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.45999999999999996,0.5642694391866354,0.0,0.0,1.1
FEMBAR_EigenSparseLU,0.000323,0.004738,0.000421227,0.00019879129123530535,0.000383,0.000405,0.000427,3.344383,6.034616,3.471057085,0.20066975560066788,3.408876,3.4435235,3.4868655,0.05359,0.101593,0.059475253,0.006016981336766053,0.0566185,0.0588335,0.05982825,0.044843,0.095796,0.048807889,0.005377950182242208,0.045389,0.048731,0.04921125,0.694612,1.969036,0.722507769,0.08811625946458258,0.703678,0.7088495,0.7295305,2.52981,3.894364,2.628409655,0.12358248050943134,2.57882375,2.607441,2.6456045,0.001285,0.0117,0.00160772,0.0005400062162605168,0.00146,0.001533,0.0016665,0.006911,0.032974,0.008009766,0.001908452680378531,0.007433,0.007719,0.0080425,3.364186,6.083336,3.4926322059999997,0.20302665966102473,3.42976225,3.4651325,3.5086805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
