SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.340871,0.433965,0.35845585490196075,0.014651053833157663,0.3491155,0.354083,0.3637105,255,11.846511,13.424069,12.341082768627452,0.25204279683805764,12.2436795,12.357846,12.4508275,255,0.280862,0.37797,0.2948480980392157,0.01601485273316299,0.285211,0.289273,0.295916,255,0.136283,0.219871,0.14501009411764706,0.010919336094114876,0.138069,0.141574,0.1503465,255,3.57537,4.134954,3.7116435803921566,0.08218936305682552,3.6510625,3.719448,3.7506895,255,3.57537,4.134954,3.7116435803921566,0.08218936305682552,3.6510625,3.719448,3.7506895,255,0.022362,0.047946,0.024517396078431373,0.0023337155151960946,0.023641,0.024035,0.024554,255,0.04765,0.071993,0.04999474117647059,0.0020325003349179927,0.049186,0.049644,0.050186,255,40.148333,53.797611,47.43054329019608,1.8284674103742822,47.6063495,47.943589,48.1334625,255,27.15082,41.349737,34.5625617254902,1.8532832940097577,35.017343,35.110142,35.244229,255,0.020866,0.049025,0.022785564705882354,0.0027445738586201304,0.021852,0.022319,0.0229495,255,21.76167,27.938871,22.0104210627451,0.7950954485410702,21.8479215,21.873587,21.9137915,255,4.914936,13.765341,12.108172090196078,1.8091916717268623,12.7109275,12.796056,12.904227,255,0.399443,0.499804,0.4184812666666667,0.01799366971322128,0.407821,0.412121,0.4219575,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.886831,12.972866,9.313525142450143,0.25714800543364,9.127246,9.216731,9.457224,1755,8.603174,12.6349,9.003652424501425,0.25429859087204804,8.8212755,8.903609,9.138405,1755,0.004598,0.5793,0.17514766267806267,0.17114656155449204,0.029468,0.134626,0.28329975,10530,0.006126,0.497334,0.07780728129154796,0.07453260982240537,0.01428225,0.0629255,0.111273,10530,0.035859,5.083511,1.1725867767331435,1.2002201193075392,0.08818225,0.9437015,1.76157275,10530,0.035859,5.083511,1.1725867767331435,1.2002201193075392,0.08818225,0.9437015,1.76157275,10530,0.097704,0.215114,0.11035885014245014,0.012162641599029037,0.1027765,0.105422,0.1168725,1755,0.11968,0.204887,0.13126672250712249,0.010930272346313843,0.124994,0.127627,0.1333895,1755,23.804643,45.951877,30.622961930484333,3.6624233344295405,28.2157795,30.114256,32.2654575,1755,14.151649,33.163715,20.811229367521367,3.6251509641196007,18.450182,20.319017,22.513302,1755,0.072054,0.159236,0.08269939943019942,0.00902280030899244,0.0782505,0.080806,0.0836165,1755,13.330531,32.352091,19.97886899031339,3.533712591842934,17.7034205,19.514641,21.691128,1755,0.099935,0.766382,0.253489807977208,0.1043033570805764,0.194431,0.226816,0.2806885,1755,0.433423,0.669841,0.4938991754985755,0.030934772752944588,0.472787,0.487327,0.5097305,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.05117,1.73771,0.10810466199999999,0.12469718041059209,0.05452275,0.0928105,0.1241505,1000,0.123717,0.262663,0.141876873,0.017380068155760237,0.12902175,0.133766,0.15383075,1000,0.00183,0.019883,0.00258699525,0.001187463437217095,0.002016,0.002151,0.002955,4000,0.003988,0.031349,0.0051304895,0.0016274189744468848,0.004257,0.0044675,0.005761,4000,0.000349,0.018497,0.00073727225,0.0007470626691449236,0.000454,0.000526,0.000903,4000,0.000349,0.018497,0.00073727225,0.0007470626691449236,0.000454,0.000526,0.000903,4000,0.019906,0.062686,0.022684965,0.0037943009877677075,0.0204185,0.020666,0.0244475,1000,0.025419,0.066407,0.02833254,0.004721155975436524,0.026103,0.026514,0.02942125,1000,0.419875,2.402836,0.522298982,0.15540180088990502,0.4489815,0.4832505,0.57528725,1000,0.087197,0.275612,0.10278314,0.017816655967784752,0.090167,0.093945,0.11414,1000,0.025097,0.190816,0.029403573,0.007317004269007296,0.0260235,0.026796,0.03187975,1000,0.039768,0.119156,0.046994476,0.009560123184531881,0.040601,0.0429935,0.052576,1000,0.005341,0.033285,0.006627433,0.0022863470798439593,0.005542,0.005721,0.0070585,1000,0.016005,0.058251,0.019219091,0.004073476713413125,0.01668225,0.0174775,0.02061725,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.036069,1.778738,0.108776711,0.12723487832955033,0.05582975,0.094485,0.12517125,1000,0.122974,0.256488,0.139252342,0.017258977507866334,0.1265345,0.1309115,0.15065825,1000,0.001809,0.047551,0.0025258775,0.0012707435441479725,0.001995,0.002126,0.002966,4000,0.003929,0.028768,0.0051101265,0.0015571660253478916,0.00419675,0.004387,0.00570925,4000,0.000333,0.018401,0.00071625075,0.0008514412266119356,0.000435,0.000486,0.000847,4000,0.000333,0.018401,0.00071625075,0.0008514412266119356,0.000435,0.000486,0.000847,4000,0.019917,0.055831,0.022766902999999998,0.003978312980094829,0.02043875,0.020683,0.024372,1000,0.025504,0.066352,0.028169917000000003,0.003822270761224406,0.02612875,0.0265255,0.02941475,1000,0.417681,2.41637,0.520166663,0.15664472408339014,0.44647,0.4783785,0.57215225,1000,0.086452,0.220471,0.10190258199999999,0.01678217465697685,0.0894755,0.093602,0.11290675,1000,0.0248,0.067663,0.028945745999999998,0.005372932829422307,0.025628,0.02635,0.03160675,1000,0.039253,0.152374,0.046790181,0.009706282929331858,0.040249,0.0431535,0.0523575,1000,0.005266,0.017604,0.006617256,0.0016355581256757585,0.00556475,0.005979,0.0070625,1000,0.015949,0.055034,0.018998361000000002,0.003989486590362098,0.01660625,0.017186,0.0203845,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.036999,1.84448,0.080028046,0.12115181721684526,0.053096,0.0676485,0.07972075,1000,0.124965,0.242634,0.13530930900000002,0.012163889833088713,0.1292685,0.131606,0.1353185,1000,0.001868,0.024883,0.0024276485,0.0010175262581121679,0.002014,0.0021045,0.0029105,4000,0.003999,0.025887,0.004867884,0.0013780410552824615,0.004257,0.004364,0.00562925,4000,0.000318,0.011473,0.00072987625,0.0007575151361101226,0.000448,0.000502,0.000918,4000,0.000318,0.011473,0.00072987625,0.0007575151361101226,0.000448,0.000502,0.000918,4000,0.020144,0.050315,0.021342450000000002,0.0023000673380359975,0.0206,0.0208015,0.02102025,1000,0.025655,0.067433,0.027435228,0.0036705288915926,0.0263105,0.02653,0.0267905,1000,0.438021,2.502512,0.5005022800000001,0.14308794534692154,0.459925,0.484447,0.50157025,1000,0.098958,0.240279,0.12287870299999999,0.01647184483191822,0.111056,0.120946,0.12820575,1000,0.025209,0.060094,0.027565867999999997,0.003990571296515826,0.026148,0.0265155,0.02692825,1000,0.044541,0.119454,0.048702074,0.007659220278365415,0.045801,0.0463645,0.04734325,1000,0.008858,0.072031,0.027715451000000002,0.009804427243424218,0.0193305,0.0288955,0.0335775,1000,0.016441,0.06926,0.018359799,0.0038013193965515447,0.016928,0.017137,0.017745,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.039628,1.528007,0.08394655899999999,0.10102263183676476,0.07491475,0.075608,0.07805875,1000,0.039393,0.129055,0.052247326000000004,0.00799142537284332,0.050438,0.050881,0.0517595,1000,0.002831,0.020014,0.004110193,0.001264060640060832,0.003995,0.00405,0.004116,1000,0.005613,0.031038,0.0075350320000000005,0.0016782276707812919,0.007352,0.007421,0.00749425,1000,0.000712,0.019783,0.001027339,0.0009005067418287327,0.000908,0.000937,0.000963,1000,0.000712,0.019783,0.001027339,0.0009005067418287327,0.000908,0.000937,0.000963,1000,0.006064,0.037758,0.009197669,0.0020182554653559097,0.009078,0.009193,0.00930825,1000,0.009729,0.030497,0.012591216,0.0020389649544178047,0.012348,0.012469,0.01258725,1000,0.137926,1.759416,0.239829088,0.11065837554631036,0.22984575,0.2327305,0.242597,1000,0.011606,0.085041,0.037783496,0.010359615725208346,0.03820275,0.038666,0.040295,1000,0.001967,0.018118,0.003014845,0.0010572691705403121,0.00285675,0.002927,0.00301225,1000,0.006548,0.056023,0.016620312999999998,0.004555184299568021,0.01649375,0.0166495,0.016851,1000,0.001522,0.056247,0.015986431,0.006304262079041369,0.017017,0.017249,0.01738825,1000,0.000966,0.016048,0.001385098,0.0006597065668886434,0.001263,0.001305,0.001352,1000,0.0,1.2,0.45999999999999996,0.5642694391866354,0.0,0.0,1.1,5
FrictionContact_LCP_without_friction,0.040115,1.430619,0.09862608900000001,0.09710123119023299,0.0754575,0.1027435,0.1049865,1000,0.040102,0.23291,0.053647692000000004,0.010549857711795738,0.05071175,0.0515545,0.05333875,1000,0.002828,0.021482,0.004234858,0.0015816517334217414,0.00404775,0.004119,0.004185,1000,0.00564,0.024688,0.0076529070000000005,0.0017779589377572816,0.007391,0.0075135,0.007657,1000,0.000693,0.012998,0.000991561,0.0005788795524796157,0.000902,0.000933,0.00096,1000,0.000693,0.012998,0.000991561,0.0005788795524796157,0.000902,0.000933,0.00096,1000,0.006129,0.028115,0.009356962,0.001920430160291178,0.009168,0.0093365,0.009502,1000,0.009865,0.042283,0.012678425,0.0024855076769897534,0.01232375,0.012435,0.012571,1000,0.14055,1.671954,0.24775801500000003,0.10746019410903171,0.2210565,0.249618,0.25633275,1000,0.012047,0.083011,0.02834707,0.00764013383528718,0.02552975,0.029378,0.03000925,1000,0.002017,0.014421,0.003013224,0.0009452783567944418,0.002852,0.00295,0.003042,1000,0.006813,0.056917,0.015820939,0.0050271303779869285,0.014972,0.015628,0.0160925,1000,0.001551,0.024833,0.007355854,0.00294218506669516,0.005777,0.008873,0.009073,1000,0.000935,0.023541,0.001420901,0.0011322597807919346,0.00121575,0.001276,0.00133,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008403,0.133928,0.010065986,0.008716285154112616,0.008749,0.008886,0.009214,1000,1.102721,1.368917,1.163525653,0.04540418258718673,1.1274975,1.1523725,1.19772725,1000,0.06679,0.13723,0.070527276,0.007657575267395286,0.06729975,0.0675845,0.07009725,1000,0.03741,0.085476,0.039875559,0.004668943342397614,0.03775775,0.038159,0.04027425,1000,0.000664,0.020773,0.000957712,0.0009090223171385838,0.000785,0.000823,0.000862,1000,0.989864,1.18611,1.044204329,0.041021553702374064,1.01241225,1.032566,1.0760425,1000,0.002747,0.021823,0.0030084549999999997,0.0009787812870989106,0.002862,0.002913,0.002976,1000,0.008114,0.025509,0.008777529000000001,0.0016405986441415219,0.008358,0.0084795,0.00863825,1000,1.134786,1.556912,1.199258756,0.04931527992391875,1.1622345,1.1881715,1.2320505,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000282,0.000953,0.00035834699999999996,6.748010514959205e-05,0.000319,0.000338,0.00038225,1000,2.502827,5.323331,2.587385618,0.20961617775728592,2.5193395,2.560917,2.59757175,1000,0.051559,0.12778,0.055612409,0.007105276923366111,0.052185,0.052545,0.05685325,1000,0.044017,0.082899,0.046589211000000005,0.004668006420569599,0.044538,0.0451615,0.0472815,1000,0.687702,2.167953,0.714637569,0.10298240838091348,0.693687,0.699512,0.72080425,1000,1.708956,2.985781,1.76327006,0.12122755720428585,1.71558875,1.741855,1.771121,1000,0.001105,0.011755,0.001341225,0.00046290573810982294,0.00122575,0.0012995,0.00138225,1000,0.006124,0.027559,0.006709582,0.0011215678005702552,0.00641,0.006537,0.0067075,1000,2.519471,5.376267,2.605720776,0.2120905231049229,2.538002,2.5790315,2.61647075,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.00028,0.010448,0.000357158,0.0003240251425985336,0.000318,0.000336,0.00036,1000,2.617721,5.253529,2.702088537,0.19771128840748736,2.6472115,2.6761315,2.7059065,1000,0.05113,0.094912,0.054544213,0.0053054655263822985,0.05214,0.0527945,0.05608375,1000,0.04297,0.092142,0.04583147,0.004354122637811204,0.044312,0.044581,0.0471685,1000,0.689531,2.130723,0.717384353,0.09489131029304206,0.696531,0.705749,0.72342425,1000,1.820094,2.94232,1.8768821820000001,0.11624061618882134,1.831564,1.857149,1.883997,1000,0.001128,0.011668,0.001326673,0.0003885009524711619,0.001235,0.0012865,0.001351,1000,0.006092,0.024508,0.0067285439999999995,0.001233364016040682,0.006339,0.0065225,0.006752,1000,2.634053,5.304538,2.7204904610000002,0.20021827063616468,2.6652455,2.6948235,2.72523525,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
