SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.321615,0.411217,0.33701323921568627,0.012687632377040748,0.3298135,0.334162,0.3378475,255,11.846261,14.561838,12.288199870588235,0.2880365494112511,12.06553,12.309594,12.415872,255,0.284933,0.374323,0.2967949411764706,0.013071361846645955,0.2891185,0.292559,0.299472,255,0.136395,0.211421,0.14379498039215688,0.012057674206341877,0.137566,0.138486,0.1425985,255,3.864255,4.935454,3.9616702627450984,0.0915568414529722,3.9009645,3.950228,3.9983095,255,3.864255,4.935454,3.9616702627450984,0.0915568414529722,3.9009645,3.950228,3.9983095,255,0.02543,0.033244,0.02706398431372549,0.0011620245010026302,0.026406,0.026752,0.027263,255,0.051732,0.089688,0.05476565882352941,0.00399317824536858,0.0533695,0.053858,0.0544175,255,40.094026,54.56847,47.307100811764705,1.8434222609823507,47.5600765,47.876698,48.0412085,255,27.187916,39.440989,34.49627408235295,1.832921826847388,35.047026,35.126366,35.2046385,255,0.020969,0.034995,0.022616321568627452,0.001780454303812981,0.0217895,0.022322,0.0227265,255,21.75937,24.979235,21.946592776470588,0.31673106493723585,21.8591745,21.892943,21.9342735,255,4.86061,15.028314,12.111947411764705,1.7973995106935474,12.754678,12.805162,12.8602255,255,0.39304,0.487206,0.4132305176470588,0.014670654872597373,0.4046205,0.411114,0.417966,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,12.506452,39.44672,13.345853725925926,0.807022619311835,13.0234555,13.252335,13.3692155,1755,12.148863,37.722748,12.998284774928775,0.7767199274608202,12.6890615,12.902767,13.007316,1755,0.008562,2.987079,0.26437664539411204,0.2355581879295052,0.05514375,0.297589,0.425016,10530,0.009891,1.94385,0.1083783150997151,0.08739402222516016,0.027588,0.095736,0.19013875,10530,0.066946,10.333984,1.8774415467236467,1.9137815612775098,0.17183075,1.174431,2.68486925,10530,0.066946,10.333984,1.8774415467236467,1.9137815612775098,0.17183075,1.174431,2.68486925,10530,0.094464,0.253926,0.11535857492877494,0.01602487036424396,0.102755,0.114802,0.118408,1755,0.131009,0.225209,0.14765292307692307,0.014773631585333177,0.1376725,0.143634,0.146767,1755,23.621979,56.585325,29.095495456410255,2.615075367079423,27.3107645,29.000993,30.791514,1755,10.22662,40.846929,15.136004229059829,2.4549898179434924,13.439454,15.023754,16.830166,1755,0.07403,0.177637,0.08910350883190885,0.012470388986195097,0.0821855,0.085874,0.0906135,1755,9.403235,39.643301,14.235073446153846,2.3660766984445316,12.614758,14.143351,15.907832,1755,0.104062,0.830399,0.29154179316239315,0.11559584261308949,0.22005,0.26995,0.3272645,1755,0.439731,0.785618,0.5178255333333334,0.033337514086732335,0.4953835,0.516342,0.539504,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.026097,1.724158,0.090290115,0.12031307696866445,0.0379765,0.076653,0.106228,1000,0.194329,0.365227,0.215843804,0.020952412735233718,0.20051825,0.2052885,0.23158425,1000,0.002041,0.013266,0.002747279,0.0008231446787527694,0.002242,0.002363,0.003118,4000,0.00429,0.022151,0.005342001250000001,0.0011774893881680792,0.00458075,0.0047605,0.005962,4000,0.014876,0.045202,0.01756568,0.0024840357464416653,0.015763,0.0165785,0.01870325,4000,0.014876,0.045202,0.01756568,0.0024840357464416653,0.015763,0.0165785,0.01870325,4000,0.020481,0.054524,0.023024722,0.003464785076554677,0.02087775,0.0211325,0.0248045,1000,0.025656,0.05744,0.027875923,0.002686467599855059,0.02628775,0.026617,0.02913975,1000,0.487119,2.460007,0.590423452,0.15328061294090553,0.50353525,0.550823,0.65155225,1000,0.090949,0.203884,0.10526951,0.016059922392835525,0.0937415,0.0973255,0.11648975,1000,0.025316,0.069632,0.029313137,0.004652683592318632,0.0263285,0.0270385,0.0316645,1000,0.041128,0.117008,0.04811599,0.00864774196897086,0.042269,0.044906,0.05337475,1000,0.006287,0.024973,0.007596418,0.0018835628694779476,0.006499,0.0066535,0.00814,1000,0.0166,0.044441,0.019687169999999997,0.0033850786432666523,0.017343,0.0178745,0.021336,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.021551,1.680685,0.09125731699999999,0.1196784764138085,0.03863075,0.077979,0.107819,1000,0.194286,0.335136,0.216270775,0.021339623739850124,0.2003355,0.206644,0.23138825,1000,0.002028,0.017535,0.0027316109999999997,0.0008735713334805578,0.002193,0.002331,0.003141,4000,0.004247,0.02484,0.005308729,0.0011893215658765294,0.004521,0.004711,0.005943,4000,0.014891,0.05582,0.01771680475,0.002723447083408715,0.01582225,0.016677,0.01887725,4000,0.014891,0.05582,0.01771680475,0.002723447083408715,0.01582225,0.016677,0.01887725,4000,0.02049,0.046141,0.02303578,0.0030533077849440593,0.020941,0.021233,0.02486125,1000,0.025822,0.067167,0.028200169999999997,0.0030609573543419386,0.02642075,0.02687,0.02960825,1000,0.48921,2.435323,0.59345447,0.15410823761806214,0.5082395,0.551339,0.6553855,1000,0.091567,0.229924,0.10607827,0.016213936981964005,0.09409025,0.0980025,0.1168785,1000,0.025665,0.073971,0.029728771,0.004496789772110656,0.026779,0.0275075,0.032344,1000,0.041112,0.142244,0.048415046,0.009277875697371894,0.042209,0.044566,0.053515,1000,0.006106,0.021586,0.0075502799999999995,0.0016983256465118815,0.00638975,0.006875,0.008069,1000,0.016817,0.044324,0.019811942,0.0032861307887295053,0.01751175,0.0181245,0.021385,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.02467,1.697223,0.063612362,0.11818041545964779,0.03725775,0.051326,0.06310425,1000,0.194703,0.426752,0.209501461,0.021686684494695792,0.20040625,0.2036785,0.2080935,1000,0.002001,0.024026,0.0025848982500000003,0.00099120360037529,0.002173,0.002249,0.00303025,4000,0.00433,0.023486,0.0052088297499999995,0.0014641110841616277,0.00454275,0.0046765,0.005867,4000,0.014844,0.056562,0.01718168425,0.0030526551097449475,0.01553775,0.016231,0.018369,4000,0.014844,0.056562,0.01718168425,0.0030526551097449475,0.01553775,0.016231,0.018369,4000,0.020534,0.0536,0.021746977,0.002945925140676694,0.0209185,0.0210645,0.021262,1000,0.025856,0.063048,0.027534643,0.0033842386401598513,0.0263525,0.0265525,0.0268735,1000,0.503241,2.452429,0.572161349,0.14438131666647594,0.5229835,0.553492,0.57606375,1000,0.102429,0.253269,0.127560139,0.0183025733388417,0.1154885,0.1254425,0.13243725,1000,0.02537,0.060251,0.027764238,0.004368108781538756,0.026276,0.0265935,0.026958,1000,0.046244,0.153022,0.050421457999999995,0.008335646329843656,0.04737275,0.0479085,0.0492995,1000,0.009345,0.06868,0.029675449,0.010117495087886081,0.020979,0.0309785,0.0360405,1000,0.017075,0.098955,0.019140271,0.0041162819251794455,0.017633,0.017907,0.01858275,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.031573,1.434297,0.075755515,0.09686266020814097,0.0688435,0.069648,0.07127025,1000,0.060326,0.159,0.077716817,0.007667288753106342,0.077274,0.0776685,0.07837875,1000,0.003045,0.00931,0.004223265,0.000530640215942026,0.004212,0.004274,0.004331,1000,0.005897,0.024826,0.007814493,0.0012643971132326266,0.0077195,0.0078085,0.00790125,1000,0.018643,0.050696,0.024592409,0.0026999239685070765,0.02457575,0.024738,0.02495725,1000,0.018643,0.050696,0.024592409,0.0026999239685070765,0.02457575,0.024738,0.02495725,1000,0.006439,0.023016,0.009634176,0.0013978611622847243,0.009625,0.009771,0.009902,1000,0.010036,0.027739,0.012194029,0.001206874334037724,0.01208275,0.012199,0.012324,1000,0.158569,1.726858,0.261282476,0.1069650560761103,0.25649375,0.2592685,0.26241675,1000,0.012689,0.089603,0.038922235,0.009928763768756663,0.0398755,0.040341,0.04125675,1000,0.001994,0.018881,0.003093955,0.0008483847918102964,0.00296175,0.0030495,0.00315925,1000,0.007186,0.051404,0.017077774,0.0041519970451487555,0.017172,0.01733,0.01755825,1000,0.001892,0.061206,0.016512519,0.006172504959709549,0.017697,0.0179475,0.018168,1000,0.00096,0.013714,0.001513491,0.0007670661600663922,0.001358,0.00141,0.00146325,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.029829,1.563181,0.09068272999999999,0.10058936307234032,0.06904075,0.0971185,0.098565,1000,0.060111,0.134564,0.077489807,0.0077677018808493805,0.07669225,0.0775125,0.0783895,1000,0.003042,0.020843,0.004292051999999999,0.000936489832991261,0.00421675,0.004294,0.004361,1000,0.00581,0.028888,0.007805589,0.0012667462413913056,0.007698,0.007813,0.00792425,1000,0.018719,0.05236,0.024593501,0.002587474495719523,0.024563,0.0247745,0.02499225,1000,0.018719,0.05236,0.024593501,0.002587474495719523,0.024563,0.0247745,0.02499225,1000,0.00644,0.040442,0.009641457,0.001845090800516603,0.009601,0.0097125,0.00982525,1000,0.010009,0.038253,0.012150786,0.0014457415357538844,0.012045,0.01214,0.01224,1000,0.158355,1.828303,0.266415641,0.11116341964606036,0.2449085,0.2749785,0.28003375,1000,0.012807,0.064176,0.0292113,0.006583018592104992,0.0269515,0.030944,0.031675,1000,0.002036,0.012096,0.003097831,0.0007158142373821577,0.002963,0.0030465,0.003175,1000,0.007201,0.041964,0.015886996,0.0036430205330170726,0.01552275,0.0162955,0.01654625,1000,0.001932,0.033661,0.008043492000000001,0.0030037912856814807,0.0064545,0.009611,0.01002325,1000,0.000979,0.007013,0.0014553510000000001,0.0005679507952270161,0.00132,0.00138,0.001438,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.005047,0.160366,0.006187835,0.008927437048211263,0.005398,0.00548,0.0055985,1000,1.12264,1.329206,1.1529342180000002,0.035503501652829624,1.12790375,1.1347505,1.172825,1000,0.067087,0.117064,0.06879534699999999,0.003937536638634744,0.067494,0.0676485,0.06980975,1000,0.037551,0.071368,0.040111023,0.00347702339371926,0.03799075,0.038227,0.04111525,1000,0.015154,0.055645,0.01578358,0.0019011431617845089,0.015433,0.015526,0.01565,1000,0.991809,1.15088,1.020426657,0.032442543469545525,0.998814,1.002772,1.03942775,1000,0.002815,0.006757,0.003043489,0.0002461916892971816,0.002967,0.003018,0.00306525,1000,0.011022,0.035523,0.011447983,0.000996894551450152,0.01124375,0.0113335,0.01145325,1000,1.159055,1.553443,1.190515102,0.03981526051495326,1.16469825,1.17069,1.21109025,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000302,0.001008,0.000358501,4.9279549500781764e-05,0.000335,0.000348,0.000369,1000,2.509541,4.911718,2.568002726,0.18065940919422083,2.52026225,2.538287,2.56158825,1000,0.051808,0.096207,0.054068925000000004,0.003567695683123071,0.0523285,0.0529965,0.055464,1000,0.044271,0.076908,0.046307336000000004,0.002633902052678497,0.04494775,0.0453115,0.04712875,1000,0.687253,2.089392,0.709391709,0.09493339728534061,0.69299575,0.696427,0.70745825,1000,1.71313,2.700849,1.750904324,0.10090702964763665,1.7197315,1.72524,1.74736275,1000,0.001232,0.011803,0.001410712,0.0003684865005071421,0.00134,0.0013775,0.00141825,1000,0.011802,0.024909,0.012324115,0.0008379202144446689,0.012086,0.012196,0.0123265,1000,2.534299,4.9696,2.593369467,0.18289155171467847,2.54551275,2.563584,2.5870975,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000311,0.003,0.00037091800000000003,9.63158620165962e-05,0.00034775,0.000359,0.000376,1000,2.61465,5.021557,2.6624216,0.17688496063666348,2.62463175,2.629627,2.65651825,1000,0.051803,0.110662,0.053352976999999996,0.003945490849117635,0.05234475,0.0525565,0.0527795,1000,0.044535,0.082611,0.045683891000000004,0.0027087247979665635,0.044869,0.0451085,0.04532125,1000,0.687159,2.016271,0.7043182809999999,0.0872137206407228,0.692532,0.6944615,0.69711875,1000,1.817424,2.857662,1.851458984,0.10356697193077408,1.82478,1.828627,1.8454035,1000,0.001229,0.004096,0.0014118009999999999,0.00016279360982237603,0.001347,0.001388,0.001441,1000,0.01172,0.024641,0.012340849000000001,0.000903079497164563,0.012071,0.012193,0.012344,1000,2.638364,5.080495,2.687930975,0.17902732349567307,2.64989175,2.654896,2.68119025,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
