SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.344972,0.591829,0.36937912941176476,0.029632199029707425,0.3522215,0.359791,0.375607,255,11.827588,17.059511,12.52416765490196,0.5784629611040258,12.2649435,12.406988,12.619211,255,0.288413,0.533716,0.309006,0.02683045477284437,0.2923645,0.300691,0.3142885,255,0.136899,0.285892,0.15376707450980392,0.02204063407699554,0.1385455,0.140026,0.1705375,255,3.59602,4.517506,3.7330639137254904,0.11732938146512423,3.6578095,3.71255,3.7666485,255,3.59602,4.517506,3.7330639137254904,0.11732938146512423,3.6578095,3.71255,3.7666485,255,0.025536,0.059246,0.028783376470588234,0.004617081334187778,0.0266925,0.02739,0.029257,255,0.051443,0.103682,0.05516993725490196,0.006144321972197082,0.052611,0.053189,0.05518,255,40.108656,64.34483,49.12269671764706,3.5138498703729493,47.878304,48.222503,48.936867,255,27.272405,50.494686,36.03633669411765,3.1672594037340853,35.1595165,35.320797,35.634367,255,0.02002,0.04223,0.022543882352941174,0.0031007123827076926,0.021226,0.021867,0.0224745,255,21.807418,29.227402,23.227628733333333,2.517359284695281,21.892805,21.945857,22.120005,255,4.89904,21.483389,12.36163779607843,1.9644473805085567,12.7923975,12.909804,13.0550305,255,0.394389,0.594913,0.4224851254901961,0.029158349703427823,0.4047265,0.412338,0.4298645,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.666415,19.235864,9.23539776011396,1.0055706759961787,8.8319145,9.001618,9.215553,1755,8.384248,18.822238,8.934741057549859,0.9963264933588116,8.541347,8.700421,8.8983515,1755,0.004899,1.593518,0.17581734254510922,0.17233796738079762,0.02832175,0.1164735,0.2815065,10530,0.006157,0.356307,0.08115785166191833,0.07846774778542594,0.0150145,0.0617135,0.1257965,10530,0.0374,8.050926,1.1942710046533713,1.251176671157012,0.092603,1.1008875,1.7171705,10530,0.0374,8.050926,1.1942710046533713,1.251176671157012,0.092603,1.1008875,1.7171705,10530,0.093907,0.244074,0.11253305242165242,0.01852475983216563,0.10071,0.105202,0.117127,1755,0.128871,0.316779,0.14358784330484328,0.015878208406616176,0.1339675,0.138248,0.143963,1755,23.747606,55.80838,31.069540426210825,4.151866769276759,28.2068565,30.376963,33.0851225,1755,14.430653,35.774435,21.2372057025641,3.8396499893598826,18.53636,20.761861,22.9863985,1755,0.073149,0.225216,0.08574913447293447,0.012823559127009604,0.079349,0.081613,0.0863515,1755,13.631218,34.564509,20.36195798062678,3.7334927987044257,17.744475,19.894625,22.0981365,1755,0.105289,1.236967,0.2749789943019943,0.12210943059985134,0.2059005,0.245512,0.299395,1755,0.43972,0.980019,0.5121767521367522,0.05421937639520057,0.4816385,0.502262,0.527938,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.032501,1.835326,0.111664161,0.12773299065771176,0.05365,0.0947335,0.12739025,1000,0.190955,0.561314,0.226286501,0.04310704983872127,0.1991035,0.2116345,0.238131,1000,0.001979,0.034375,0.0028718585,0.0014502259846236895,0.002192,0.0023835,0.003165,4000,0.004145,0.027776,0.005531293,0.0021407777224996993,0.004413,0.004637,0.0059,4000,0.014248,0.060155,0.0182182365,0.004700424669545056,0.015289,0.0163725,0.01890925,4000,0.014248,0.060155,0.0182182365,0.004700424669545056,0.015289,0.0163725,0.01890925,4000,0.02045,0.065396,0.024503781999999998,0.006183374899880809,0.021042,0.0214115,0.026699,1000,0.025334,0.07914,0.029623309,0.006320071389432164,0.0262675,0.027121,0.03015575,1000,0.497682,2.726864,0.6364566829999999,0.1850224977192463,0.53635875,0.579262,0.69831075,1000,0.09033,0.252036,0.110781383,0.02331619628139013,0.09388975,0.099232,0.1214235,1000,0.025169,0.080993,0.030588228,0.006815872863545505,0.02621875,0.027131,0.03283725,1000,0.040923,0.141977,0.050755943,0.01224064968773108,0.042256,0.045438,0.05594725,1000,0.006173,0.081269,0.00810962,0.0035049493293912255,0.006456,0.0067735,0.0083915,1000,0.016646,0.058123,0.020729707,0.005215657226002395,0.01740925,0.018396,0.02168875,1000,0.0,7.2,1.92,2.7988569095257443,0.0,0.0,2.4,5
BilateralLagrangianConstraint_PGS,0.034945,1.661999,0.107121773,0.11908682023700805,0.05252125,0.092542,0.126025,1000,0.191867,0.374396,0.217437044,0.024634746253900483,0.199266,0.2052685,0.2327905,1000,0.001976,0.02489,0.00273654825,0.001164012804127144,0.002158,0.002289,0.003121,4000,0.004066,0.030323,0.00535739725,0.0016672535781765284,0.004481,0.004729,0.00591625,4000,0.014367,0.060827,0.0175624085,0.0034632499922944847,0.015256,0.0162845,0.018764,4000,0.014367,0.060827,0.0175624085,0.0034632499922944847,0.015256,0.0162845,0.018764,4000,0.020437,0.066644,0.023371848,0.004373243832545357,0.0208875,0.021122,0.0250875,1000,0.025411,0.065812,0.028304627,0.003907415849877128,0.02614575,0.026594,0.029629,1000,0.497613,2.372414,0.6117132510000001,0.15463361254349586,0.5300865,0.5671385,0.6757095,1000,0.090433,0.260911,0.106335675,0.01730835298540491,0.0935365,0.097467,0.11785275,1000,0.025387,0.065147,0.02934964,0.005063215526362669,0.02627875,0.026915,0.03192125,1000,0.040978,0.15144,0.048843110999999995,0.009858248552084645,0.0422135,0.0448415,0.0547625,1000,0.006016,0.024197,0.007669836,0.0021204089207282634,0.006317,0.0069015,0.00822475,1000,0.016763,0.049736,0.019919447,0.0038580172349525605,0.0173915,0.0181055,0.0213555,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.036433,1.656656,0.078309263,0.11572253309675619,0.05225325,0.066052,0.078178,1000,0.192919,0.311484,0.206404495,0.015356031685236098,0.1984395,0.2013935,0.20536325,1000,0.001997,0.022195,0.00257597075,0.001161600374222752,0.002158,0.002244,0.00295925,4000,0.004059,0.022816,0.004927228,0.0012646245381598446,0.004328,0.004458,0.005714,4000,0.014377,0.072853,0.01675878525,0.0029091927660662912,0.015093,0.015829,0.01840925,4000,0.014377,0.072853,0.01675878525,0.0029091927660662912,0.015093,0.015829,0.01840925,4000,0.020562,0.058009,0.021774734,0.0030719918341759957,0.020947,0.0210845,0.021266,1000,0.025464,0.063023,0.026832704000000002,0.00328656786030412,0.025979,0.026166,0.02641425,1000,0.515211,2.374779,0.580700722,0.13802792748094395,0.53544425,0.5633705,0.58674825,1000,0.102395,0.232578,0.126484603,0.017168638183717166,0.11497225,0.1245975,0.13201275,1000,0.025312,0.078675,0.027366143,0.0036734571475043783,0.026155,0.0264725,0.0269065,1000,0.046636,0.114459,0.050237496,0.007574580767275771,0.047491,0.047906,0.048952,1000,0.009516,0.089397,0.029435513,0.01048419676245305,0.02084425,0.0307465,0.0355735,1000,0.016975,0.065387,0.018874778,0.003246308044951372,0.017589,0.017801,0.0183175,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FrictionContact_LCP_with_friction,0.000496,1.600517,0.08189948200000001,0.09983504652535438,0.07239175,0.0754385,0.076731,1000,0.059207,0.178793,0.07977463800000001,0.010562664462480855,0.077148,0.078005,0.081809,1000,0.002965,0.021146,0.00431394,0.0012829663660439427,0.00417875,0.004255,0.004324,1000,0.005786,0.044563,0.007882001,0.001925192420772272,0.007631,0.0077515,0.007915,1000,0.018374,0.058759,0.025274623,0.003421532645594807,0.0248305,0.025181,0.0257425,1000,0.018374,0.058759,0.025274623,0.003421532645594807,0.0248305,0.025181,0.0257425,1000,0.006351,0.024073,0.009691677,0.0016199628818806314,0.009601,0.009732,0.00996875,1000,0.009857,0.039568,0.012495273,0.0022021415913766763,0.01210275,0.012311,0.012497,1000,0.163115,1.91143,0.2730404,0.11122790472349103,0.262945,0.266442,0.27309225,1000,0.012923,0.132097,0.04006849,0.011272978163728518,0.04021725,0.0409565,0.04282275,1000,0.002078,0.018092,0.003086014,0.0008671040870645232,0.002934,0.003029,0.00317125,1000,0.007241,0.057554,0.017388591000000002,0.004646720073096614,0.0174835,0.017644,0.01782525,1000,0.001942,0.104535,0.016951004000000002,0.007009906505366816,0.01788075,0.018243,0.018524,1000,0.001018,0.015951,0.001376375,0.0006019524103905556,0.001289,0.001337,0.001376,1000,0.0,13.1,2.86,5.141050476313183,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.030232,1.468904,0.096066739,0.09730659118558659,0.0749305,0.100223,0.104436,1000,0.060283,0.150136,0.079741822,0.010053118157980438,0.07743075,0.078175,0.0815045,1000,0.002949,0.019636,0.004286349,0.0013388879494561896,0.004149,0.0042135,0.004273,1000,0.005836,0.024431,0.007925713,0.0018374139611505623,0.007655,0.007781,0.0079225,1000,0.018517,0.059556,0.025268983000000002,0.003583585685135909,0.02499675,0.0252005,0.025574,1000,0.018517,0.059556,0.025268983000000002,0.003583585685135909,0.02499675,0.0252005,0.025574,1000,0.006253,0.039019,0.009519221999999999,0.0019844828239911775,0.009408,0.0095505,0.009794,1000,0.009969,0.033737,0.012292282,0.0019085492491617815,0.01207575,0.012186,0.01229425,1000,0.164889,1.735016,0.275850213,0.10818700434136085,0.25155375,0.282449,0.28757775,1000,0.012786,0.092701,0.02951755,0.007217502086283037,0.0270865,0.0311325,0.03174075,1000,0.00209,0.012145,0.002981154,0.0006200337589873635,0.002918,0.0029835,0.003046,1000,0.007135,0.071447,0.016042323,0.004233589974320965,0.01586575,0.016546,0.016851,1000,0.001922,0.027515,0.007929008,0.003070081747761124,0.00634825,0.0095675,0.009865,1000,0.000949,0.011752,0.0013267609999999999,0.0004989376072005396,0.001221,0.001289,0.00135425,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.008914,0.125886,0.010437084999999999,0.008308115096083769,0.00917,0.0092665,0.009541,1000,1.116851,1.295214,1.147224356,0.02844596372583049,1.12427525,1.1393225,1.1586655,1000,0.067194,0.11912,0.069157197,0.005380759565543791,0.0675995,0.067883,0.06818975,1000,0.03726,0.077116,0.038922455,0.003955493211215891,0.037792,0.0379895,0.03826175,1000,0.014527,0.046587,0.015534125,0.0022244472066954074,0.01494775,0.0151,0.01529425,1000,0.987987,1.138163,1.015310161,0.02572078142053773,0.99402875,1.008098,1.0269425,1000,0.002834,0.012276,0.003237763,0.0008231814713846517,0.00300875,0.003072,0.00316825,1000,0.010852,0.036199,0.011591675999999999,0.0017965314606273946,0.011181,0.011293,0.01145625,1000,1.154552,1.484227,1.188552195,0.033310863281562894,1.16416725,1.17955,1.1994615,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000289,0.010569,0.00040564800000000004,0.00035455756668840115,0.000331,0.000351,0.00038,1000,2.565726,5.000667,2.713104616,0.31666008596281997,2.5941455,2.625132,2.6879335,1000,0.051937,0.128177,0.057378102,0.012041741173833458,0.052528,0.052818,0.05415325,1000,0.044176,0.106788,0.047415753,0.007915265583162134,0.044521,0.0447385,0.0452805,1000,0.690633,2.102842,0.730336356,0.10861803921868256,0.69578225,0.700185,0.7295045,1000,1.766319,3.45364,1.868931532,0.22147286385005946,1.780779,1.810022,1.85677,1000,0.001247,0.013417,0.0017219770000000002,0.0008241984035843554,0.00141,0.0014875,0.00160925,1000,0.011694,0.040415,0.013480724,0.0034831787068458028,0.012104,0.012283,0.0127595,1000,2.590079,5.058051,2.7414987429999997,0.32274742274215446,2.6201335,2.6502745,2.714907,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,7.3,1.46,2.92,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000296,0.01458,0.000428561,0.0005521023096120862,0.000357,0.000382,0.000414,1000,2.609269,4.929454,2.7316091379999996,0.24939707730995758,2.6428395,2.6748825,2.72325475,1000,0.051115,0.147021,0.055820638,0.008713075770642419,0.05219075,0.052709,0.05415075,1000,0.044036,0.104626,0.047148896999999995,0.0069040345326766,0.044544,0.044833,0.04542825,1000,0.688968,1.934802,0.724829483,0.0942957452900167,0.69671325,0.7050435,0.7273345,1000,1.807789,3.387229,1.895205073,0.17350533714181726,1.8268605,1.8568815,1.89263475,1000,0.001261,0.018917,0.00160926,0.0007837259919129899,0.00140975,0.001479,0.001581,1000,0.0117,0.036465,0.012983571,0.0022754152111118093,0.012229,0.012397,0.012679,1000,2.633738,4.998164,2.759036299,0.2529672826773289,2.66906375,2.701004,2.74984525,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
