SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.326258,0.423685,0.34002320392156865,0.012798145608534059,0.333284,0.336662,0.3419345,255,11.881302,13.72398,12.319752843137255,0.2547872095464095,12.227829,12.339343,12.4078775,255,0.283675,0.371127,0.2951434862745098,0.015200233578662204,0.2873665,0.288945,0.2966455,255,0.135885,0.228395,0.14363063137254903,0.014470620823484215,0.137489,0.138134,0.1417495,255,3.894684,4.353034,4.010321635294117,0.06640678737820738,3.9671415,4.001086,4.0465,255,3.894684,4.353034,4.010321635294117,0.06640678737820738,3.9671415,4.001086,4.0465,255,0.022302,0.034602,0.024164294117647058,0.001582309569053521,0.02337,0.023738,0.024275,255,0.052368,0.084283,0.054908007843137256,0.00404552771127372,0.0532895,0.053802,0.054522,255,40.016488,54.018712,47.36287166666666,2.0163510257162565,47.527784,47.873703,48.060145,255,27.127255,41.086846,34.52237465098039,2.0285609594397425,34.99241,35.08972,35.17391,255,0.01979,0.032158,0.021559576470588235,0.0010349510858173937,0.021042,0.021472,0.022041,255,21.754279,27.866436,22.04627797254902,0.8239785921779451,21.869662,21.905228,21.9342125,255,4.839896,13.97245,12.039139478431371,1.7912389532508997,12.688762,12.751921,12.803984,255,0.396741,0.478393,0.41295283921568626,0.014389514450978974,0.404879,0.408608,0.4153965,255,0.0,8.6,1.72,3.44,0.0,0.0,0.0,5
SofaScene,12.06863,28.775167,13.642129672934473,0.7717824492646097,13.344963,13.566679,13.708618,1755,11.780666,28.355657,13.295171964672365,0.7574292269732293,13.0082945,13.219617,13.3560705,1755,0.007978,1.390971,0.2626083100664768,0.2333469107074092,0.0548925,0.3099925,0.4160725,10530,0.00941,0.56046,0.10990431377018044,0.08731148995032884,0.0277,0.1140255,0.194034,10530,0.064896,13.152378,1.91033625660019,1.9519728034258121,0.17159375,1.4878045,2.75612325,10530,0.064896,13.152378,1.91033625660019,1.9519728034258121,0.17159375,1.4878045,2.75612325,10530,0.093023,0.195934,0.11259808945868946,0.015602378387343857,0.0994585,0.112199,0.116593,1755,0.129566,0.222807,0.14679506837606837,0.014481031096983113,0.13631,0.143827,0.1468095,1755,22.959029,56.004597,29.428395901994303,2.6544360922097674,27.569862,29.297966,31.166124,1755,10.350857,27.192837,15.181097447293448,2.4122282849069174,13.42617,15.013109,16.8836585,1755,0.074013,0.159373,0.08713776524216525,0.012733333597066264,0.0798285,0.083324,0.088154,1755,9.519175,25.581983,14.298260868945869,2.3206359664783354,12.6254685,14.166123,15.9585025,1755,0.104664,0.978829,0.2784438131054131,0.11086910400627252,0.2133155,0.255194,0.310989,1755,0.436981,0.957763,0.5151413373219373,0.0324971140465605,0.4938945,0.512176,0.5374665,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.037666,1.737753,0.09391099700000001,0.12043745950985926,0.04306475,0.0795815,0.10960675,1000,0.196022,0.319967,0.215223181,0.019358560660344533,0.2008815,0.2054275,0.22961025,1000,0.002045,0.022646,0.00272836375,0.0008798459194290426,0.002237,0.002357,0.003126,4000,0.004226,0.024896,0.0052857254999999995,0.0012268857828460439,0.004519,0.004698,0.00594625,4000,0.014856,0.07172,0.01759953475,0.0026331680678970035,0.015814,0.0165385,0.01881625,4000,0.014856,0.07172,0.01759953475,0.0026331680678970035,0.015814,0.0165385,0.01881625,4000,0.020615,0.038577,0.023066497,0.002775533731733592,0.02111675,0.0214,0.0250445,1000,0.025756,0.066709,0.027743352,0.00248621017979092,0.02627975,0.026624,0.02898175,1000,0.491835,2.498254,0.591778539,0.15369419135481496,0.50725775,0.5530955,0.65270775,1000,0.090902,0.240551,0.10498305899999999,0.016252602873186774,0.093758,0.097045,0.11613,1000,0.0256,0.070917,0.029228712,0.004505631474394682,0.02650075,0.0271155,0.03141825,1000,0.041007,0.156836,0.047895477,0.00951632408524799,0.04203725,0.043377,0.052446,1000,0.006227,0.03664,0.007603943,0.002074062882786103,0.0064725,0.0066685,0.0082285,1000,0.016897,0.06164,0.019715975,0.0033249760246316065,0.01762475,0.018154,0.02133375,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
BilateralLagrangianConstraint_PGS,0.034154,1.673151,0.094426661,0.11931481737159924,0.0436195,0.079937,0.1104185,1000,0.196244,0.318379,0.218106626,0.020166978015213978,0.2029205,0.2094845,0.231852,1000,0.002116,0.020493,0.00281679975,0.000818641134227897,0.00232275,0.002446,0.003193,4000,0.00433,0.036612,0.0053874435,0.0013193713466298068,0.004618,0.004806,0.00597725,4000,0.015007,0.049938,0.01766207925,0.002599080329072081,0.015851,0.0165855,0.018845,4000,0.015007,0.049938,0.01766207925,0.002599080329072081,0.015851,0.0165855,0.018845,4000,0.02059,0.056485,0.023220342,0.0032777967299751827,0.021102,0.0213635,0.02489475,1000,0.025702,0.057118,0.027793749,0.0025525727930852437,0.0262565,0.026573,0.02897425,1000,0.493455,2.398055,0.596693461,0.15215269398824482,0.511522,0.5568085,0.65619725,1000,0.091234,0.239629,0.105580237,0.016320522414090516,0.09410375,0.0979465,0.1157605,1000,0.025409,0.078978,0.02922735,0.0046206738055720835,0.02629575,0.027001,0.031833,1000,0.041473,0.14776,0.048352635000000005,0.009306564978431893,0.0423525,0.043964,0.0527115,1000,0.006102,0.033791,0.007644764,0.0019557193751415358,0.00641075,0.0069615,0.0081785,1000,0.016998,0.048541,0.019810128,0.0033047653220184938,0.017604,0.018144,0.02138,1000,0.0,4.9,1.4600000000000002,1.8017769007288336,0.0,1.2,1.2,5
BilateralLagrangianConstraint_UGS,0.02246,1.844807,0.067222238,0.1173082870557377,0.04171125,0.0540775,0.0664805,1000,0.196107,0.452842,0.209827105,0.022567281257297588,0.200101,0.2034255,0.2086055,1000,0.002011,0.016787,0.00262310825,0.00089441996066274,0.002226,0.002319,0.003062,4000,0.004209,0.024438,0.00520287,0.0015016058779187035,0.004514,0.004681,0.00589,4000,0.014923,0.050939,0.017152932,0.003008995369450741,0.015547,0.016133,0.01838,4000,0.014923,0.050939,0.017152932,0.003008995369450741,0.015547,0.016133,0.01838,4000,0.020662,0.054761,0.022074185,0.003358251678891116,0.02108475,0.0212545,0.021476,1000,0.025793,0.068469,0.027220598999999998,0.003714986871874381,0.026189,0.026338,0.02657675,1000,0.506119,2.62641,0.5762781929999999,0.14568925973271932,0.5258635,0.5561385,0.57873575,1000,0.102569,0.262817,0.127639746,0.018709084311464414,0.11547275,0.1253445,0.13235125,1000,0.025241,0.071971,0.027524422,0.004158194811924521,0.02617275,0.0265385,0.0269395,1000,0.046748,0.113903,0.050406427000000004,0.007615377133318546,0.047579,0.048087,0.0491655,1000,0.00924,0.07757,0.030066245,0.010981398039183127,0.02094425,0.0309105,0.0359845,1000,0.016978,0.050363,0.019111121999999998,0.0034385441362756995,0.01774575,0.017956,0.01851575,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036207,1.486515,0.07844678699999999,0.09813826663417095,0.07082275,0.071681,0.0747355,1000,0.060774,0.158002,0.07829755899999999,0.008109233672580844,0.07773,0.078202,0.079041,1000,0.003038,0.024781,0.004304475,0.0011956669115497846,0.004186,0.004249,0.004326,1000,0.006128,0.029809,0.007941334,0.0014893923091126799,0.00776675,0.007857,0.007983,1000,0.018495,0.052298,0.02498525,0.002901969681354373,0.024799,0.0250065,0.0252325,1000,0.018495,0.052298,0.02498525,0.002901969681354373,0.024799,0.0250065,0.0252325,1000,0.006541,0.02535,0.009597923000000001,0.0016114750209267907,0.0095385,0.009647,0.0097735,1000,0.009952,0.036051,0.012307373,0.0016568987898694962,0.012119,0.012237,0.01234325,1000,0.162555,1.761556,0.264737823,0.10829461082701979,0.26026075,0.2621405,0.26588125,1000,0.013043,0.114703,0.039147325,0.01030259193161483,0.04018625,0.040606,0.041385,1000,0.002185,0.011848,0.003190145,0.0007087809929555109,0.0030545,0.003131,0.003208,1000,0.007229,0.09152,0.017244658,0.004786763166591387,0.017253,0.017428,0.01768125,1000,0.001896,0.062168,0.016695994,0.0062249384279656934,0.0179025,0.0181555,0.01832025,1000,0.001043,0.010228,0.001506513,0.0007280052814581774,0.00134375,0.0013905,0.001431,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.036414,1.473729,0.093026569,0.09789401566680796,0.07198675,0.0988455,0.10087675,1000,0.060271,0.143075,0.078906565,0.008573187283838782,0.07766975,0.0786375,0.07986625,1000,0.00307,0.021258,0.004357665,0.0010578218464254744,0.004231,0.004317,0.00440525,1000,0.006138,0.029652,0.008002149,0.001426767839839054,0.00776225,0.0079005,0.008156,1000,0.01845,0.063363,0.025050153,0.003456940512012175,0.0247285,0.0249905,0.02525125,1000,0.01845,0.063363,0.025050153,0.003456940512012175,0.0247285,0.0249905,0.02525125,1000,0.006489,0.034983,0.00973109,0.0016697111396585939,0.00968375,0.009823,0.009961,1000,0.010121,0.034858,0.012351496,0.0017171051942103022,0.012086,0.012199,0.01229925,1000,0.161757,1.746539,0.27058025199999997,0.1084167641689167,0.24906975,0.2790065,0.28449225,1000,0.013218,0.067489,0.029301362,0.006806846495327774,0.027168,0.031189,0.03174525,1000,0.002271,0.012509,0.0032038519999999997,0.0006454855134671885,0.00309175,0.003154,0.003233,1000,0.007311,0.046738,0.016198360000000002,0.004154699405059288,0.015753,0.0164235,0.01681025,1000,0.001925,0.02054,0.007976278,0.0027868346583024978,0.00643075,0.009594,0.0099255,1000,0.001031,0.010758,0.001434183,0.0007058159615020051,0.00126375,0.001317,0.001362,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006107,0.141102,0.007839582999999999,0.009249596596993351,0.00651975,0.0066285,0.006925,1000,1.115893,1.262173,1.137266815,0.019234331681729288,1.1255915,1.1337145,1.140006,1000,0.067098,0.107534,0.06833512600000001,0.003156933429789738,0.0675235,0.0677035,0.06785525,1000,0.037685,0.068201,0.038896921,0.002090750758641259,0.03821125,0.0384875,0.0390715,1000,0.015175,0.037693,0.016249848,0.0019351060221331543,0.015676,0.0158825,0.016095,1000,0.98587,1.115806,1.005568358,0.01662231192619835,0.99573275,1.001895,1.00821875,1000,0.002736,0.011719,0.003101316,0.0007083125723464182,0.002889,0.002953,0.003027,1000,0.011047,0.02172,0.011572521,0.0008403112135149691,0.011323,0.011417,0.011526,1000,1.151707,1.468854,1.175647037,0.026197392775191022,1.1628405,1.170909,1.17815225,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000303,0.003759,0.000392286,0.00014350048154623037,0.000348,0.0003845,0.000411,1000,2.50768,4.914575,2.560861857,0.18290416904108703,2.52370825,2.5314015,2.5533935,1000,0.052007,0.094452,0.053753907,0.0033245120262003864,0.052541,0.052795,0.05396325,1000,0.044596,0.079569,0.045822695,0.0027914671396910623,0.04494975,0.045182,0.04550025,1000,0.691376,2.069457,0.7099870429999999,0.09465785421969562,0.69672175,0.6987445,0.70482975,1000,1.70882,2.741739,1.7437493910000001,0.10374816806220781,1.71591525,1.723669,1.73721675,1000,0.001259,0.002804,0.001489765,0.00013473517645737508,0.00141,0.001466,0.00153725,1000,0.011848,0.031444,0.012402525,0.0009916185553805455,0.01212675,0.0122375,0.012381,1000,2.533791,4.974394,2.58646407,0.1851293055975717,2.54871,2.5566205,2.579125,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000314,0.003154,0.000375853,0.00010161582254255487,0.000344,0.000357,0.000395,1000,2.61007,4.852667,2.663669515,0.17848506562819133,2.61903675,2.6241,2.65745925,1000,0.052108,0.133472,0.053839025,0.004521585624133972,0.05262775,0.0529165,0.053299,1000,0.044566,0.117642,0.045927204,0.00405241121807548,0.044996,0.0451165,0.04530725,1000,0.690032,1.899709,0.708318274,0.08399684679038211,0.695747,0.6976045,0.699998,1000,1.808153,2.836413,1.848150777,0.10957642020786804,1.81641625,1.8204325,1.841966,1000,0.00125,0.010248,0.001435933,0.0003242456206504569,0.00136275,0.001404,0.001452,1000,0.011843,0.023212,0.012488641,0.0009371933483113289,0.012212,0.012343,0.01250425,1000,2.634002,4.910985,2.689271465,0.18078055173461216,2.64408225,2.649677,2.68236775,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
