SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.340879,0.431549,0.35757934117647056,0.012626070390705478,0.349689,0.354553,0.360884,255,11.756811,13.773974,12.32148565882353,0.31695248135456044,12.2056375,12.312273,12.4063575,255,0.284705,0.484962,0.30231586274509803,0.022551159384325222,0.2891575,0.296413,0.306296,255,0.137386,0.215017,0.15249989411764706,0.01842740794983313,0.1400965,0.141661,0.1721145,255,3.551811,3.991958,3.6819202392156862,0.08520503261166291,3.597219,3.690178,3.74644,255,3.551811,3.991958,3.6819202392156862,0.08520503261166291,3.597219,3.690178,3.74644,255,0.025001,0.062812,0.02792303137254902,0.0036224503838326746,0.0261565,0.026788,0.0287815,255,0.050908,0.086519,0.05412860784313725,0.0038474057390302362,0.0522495,0.052807,0.0552645,255,39.973173,56.812793,47.505523062745105,2.1791949228777048,47.5572305,47.974809,48.1873885,255,27.207886,43.584793,34.6381280627451,2.1344373491114395,35.0201685,35.217452,35.3354315,255,0.020092,0.029862,0.021956317647058823,0.0011635656612842928,0.0212895,0.021826,0.022331,255,21.768166,28.511834,22.063048380392157,0.9170610222160708,21.8670445,21.911343,21.9720795,255,4.864682,14.819808,12.133704898039216,1.812847419358442,12.727694,12.840615,12.951964,255,0.394192,0.574602,0.4175566039215686,0.02445201700850665,0.4052705,0.410183,0.4174165,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.655842,14.026446,9.184525468945868,0.4156347704401579,8.8806755,9.169143,9.3501975,1755,8.369226,13.746269,8.886290704273506,0.40902304051470745,8.5875705,8.86892,9.050243,1755,0.004971,0.602262,0.17898201149097814,0.17412098921842645,0.02978075,0.121705,0.2849925,10530,0.006231,0.339291,0.08747465726495726,0.08501064714470113,0.01560975,0.0615575,0.153148,10530,0.03766,5.776489,1.1782237801519466,1.214207894292087,0.09456425,0.8859355,1.76753625,10530,0.03766,5.776489,1.1782237801519466,1.214207894292087,0.09456425,0.8859355,1.76753625,10530,0.094695,0.195105,0.11244582051282051,0.013337224344654184,0.1018375,0.112819,0.11748,1755,0.130273,0.222925,0.14334511054131055,0.011821474207905691,0.135694,0.141523,0.144628,1755,23.703722,40.962018,30.65061076695157,3.609272053687369,28.2137665,30.146846,32.5023505,1755,14.321819,30.841491,20.867116617663818,3.5606062575142197,18.4696645,20.408389,22.6631235,1755,0.071858,0.155001,0.0863453566951567,0.011139504667815285,0.079735,0.083421,0.0890905,1755,13.504587,29.76755,20.005372924786325,3.4669550443798305,17.6936685,19.56524,21.796058,1755,0.107363,0.725031,0.27399613048433047,0.1094902272323833,0.2109005,0.247506,0.3042235,1755,0.435213,0.7423,0.49915561424501426,0.03080915959511353,0.4779185,0.494167,0.5179395,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.046186,1.729834,0.105811678,0.11967634417816378,0.05269875,0.0907405,0.12272125,1000,0.193001,0.356732,0.216429292,0.0214963119073188,0.200875,0.2055825,0.23140425,1000,0.001968,0.017033,0.00263939675,0.0008608646565165963,0.002127,0.0022485,0.003037,4000,0.004181,0.023768,0.00525228825,0.0012479832062820147,0.00447175,0.004668,0.00582125,4000,0.014917,0.0582,0.017944658,0.002841919779310458,0.01588,0.0170185,0.019173,4000,0.014917,0.0582,0.017944658,0.002841919779310458,0.01588,0.0170185,0.019173,4000,0.020224,0.064359,0.022757917000000003,0.0031954698887817737,0.02076575,0.021038,0.0247485,1000,0.025738,0.055223,0.028173116,0.003024506113490928,0.0263105,0.026678,0.0295675,1000,0.500945,2.421828,0.6061224669999999,0.15213402142316132,0.519679,0.565822,0.67064425,1000,0.090647,0.20705,0.105093686,0.015941226860169952,0.09360175,0.0973795,0.11545975,1000,0.025291,0.069508,0.029095249,0.004392121961535107,0.02642775,0.0269765,0.031333,1000,0.041136,0.12445,0.048296419,0.008755271842692208,0.04236475,0.0444955,0.0536595,1000,0.006178,0.025533,0.007650837000000001,0.0019631409970837553,0.006448,0.0067015,0.008202,1000,0.016508,0.045496,0.019496919,0.0032392220214796947,0.0172285,0.017939,0.02122075,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.042681,1.670511,0.106043872,0.11816355079822041,0.05310525,0.0909435,0.1240595,1000,0.194768,0.413501,0.21843584400000002,0.021756746360558233,0.20278675,0.2084595,0.2349235,1000,0.001946,0.02102,0.00267563425,0.0008766649029001546,0.002145,0.002263,0.003089,4000,0.00416,0.025753,0.0052507100000000004,0.001233489154958405,0.004458,0.004651,0.0058805,4000,0.015091,0.099757,0.01802208375,0.002924755632054743,0.016009,0.0169705,0.019269,4000,0.015091,0.099757,0.01802208375,0.002924755632054743,0.016009,0.0169705,0.019269,4000,0.020313,0.047615,0.022851983,0.003087813357168953,0.020773,0.0210385,0.02471825,1000,0.025733,0.051667,0.028146392,0.0027520084262836115,0.02629975,0.0266345,0.029731,1000,0.502451,2.48461,0.608811649,0.15279329552352028,0.520865,0.5675105,0.67298,1000,0.090325,0.227807,0.105402831,0.015621286998721937,0.09389525,0.097874,0.1168675,1000,0.025135,0.056097,0.02904856,0.004337879239490192,0.026073,0.02703,0.0317005,1000,0.041411,0.125657,0.048543781,0.008531881246069885,0.042536,0.0453515,0.054418,1000,0.006131,0.024085,0.007692107,0.0018914499976343546,0.0064145,0.006973,0.0082345,1000,0.016437,0.041499,0.019581164,0.0030459638331904073,0.01730575,0.018083,0.021322,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.046989,1.636966,0.078081153,0.11369158789432748,0.0523375,0.0662755,0.077925,1000,0.193569,0.311897,0.206169642,0.013871741768279712,0.1996875,0.2025395,0.20637875,1000,0.001898,0.012434,0.00247715325,0.0007957208815058441,0.002091,0.0021735,0.002959,4000,0.004103,0.030055,0.004952923,0.0012192794725045608,0.004366,0.004512,0.00570225,4000,0.014943,0.046053,0.017204351750000003,0.002320989364262994,0.015669,0.01641,0.01879525,4000,0.014943,0.046053,0.017204351750000003,0.002320989364262994,0.015669,0.01641,0.01879525,4000,0.020202,0.044404,0.021277154,0.002128999695698428,0.020635,0.020776,0.020932,1000,0.025615,0.052461,0.02668622,0.002259731850817703,0.02602075,0.0261755,0.026384,1000,0.519903,2.351377,0.578426118,0.13622343812370938,0.53464875,0.563416,0.5808185,1000,0.102415,0.283364,0.12596280499999998,0.0167461009887369,0.11500975,0.1248485,0.1310135,1000,0.025229,0.067551,0.027096687,0.0034827641549537917,0.02606525,0.0263615,0.02673825,1000,0.046733,0.147294,0.050071441,0.007588257158960746,0.047598,0.047986,0.04894525,1000,0.00935,0.068447,0.029498861,0.01018488892240259,0.02095775,0.0309365,0.03554,1000,0.01701,0.042316,0.018767319,0.0026370758357011654,0.017556,0.0178005,0.018342,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.039471,1.398611,0.079544633,0.09460058615889391,0.07164075,0.074634,0.07540975,1000,0.060303,0.147742,0.07882534699999999,0.00803338421567094,0.07773375,0.0783415,0.08180775,1000,0.002893,0.021088,0.004104886,0.0009870079295547732,0.004044,0.0041125,0.00417825,1000,0.005885,0.018404,0.007741555999999999,0.0011838060317737869,0.007678,0.007754,0.0078305,1000,0.018857,0.051028,0.025338405999999997,0.002969673830770645,0.0251585,0.025428,0.02579375,1000,0.018857,0.051028,0.025338405999999997,0.002969673830770645,0.0251585,0.025428,0.02579375,1000,0.006271,0.020107,0.009394074,0.001330623717857156,0.009413,0.0095325,0.00972975,1000,0.009935,0.029985,0.012037032,0.0013394249665345198,0.01193875,0.012034,0.012127,1000,0.163668,1.674284,0.266274607,0.10458039891195936,0.26195625,0.2648795,0.267851,1000,0.012927,0.106232,0.038872079,0.009909049722287146,0.039863,0.0405385,0.04121375,1000,0.002049,0.015946,0.00296317,0.0005304647840337754,0.002924,0.002993,0.003054,1000,0.007276,0.042754,0.016817830000000002,0.0036972501328825457,0.017259,0.0174415,0.017595,1000,0.001925,0.076367,0.016520804,0.006295142873484604,0.01781175,0.018112,0.01832,1000,0.001023,0.003687,0.001348106,0.00022445878633726952,0.001295,0.001337,0.00137725,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.031428,1.454515,0.09463908900000001,0.09534298281103377,0.07468325,0.099564,0.10388375,1000,0.060616,0.131133,0.078271939,0.0077226826275122165,0.07719525,0.0779185,0.08120225,1000,0.002891,0.012719,0.004106944,0.0006565681646744686,0.004062,0.004149,0.00421725,1000,0.005884,0.018898,0.007728316,0.0010324846314323521,0.00766225,0.007768,0.007863,1000,0.018857,0.062493,0.025157616999999997,0.0032369732047564125,0.0250265,0.0252495,0.02561425,1000,0.018857,0.062493,0.025157616999999997,0.0032369732047564125,0.0250265,0.0252495,0.02561425,1000,0.00623,0.023225,0.009257718000000002,0.0010963886657914701,0.00934675,0.009464,0.00967525,1000,0.009791,0.04786,0.012125559,0.0019010690961979789,0.011943,0.0120655,0.012164,1000,0.164491,1.714513,0.27083068099999996,0.10510921375792533,0.25040775,0.2805385,0.285661,1000,0.013005,0.064319,0.028976372,0.006236706984909264,0.0269395,0.030999,0.031666,1000,0.002143,0.005516,0.002944263,0.00030639925886170156,0.002925,0.0029855,0.00305,1000,0.007259,0.036269,0.015663474,0.0033105571273312896,0.015689,0.016316,0.01666575,1000,0.001939,0.027638,0.007799159,0.002715165540757874,0.006365,0.009008,0.009941,1000,0.000997,0.010283,0.0013577639999999998,0.00038827795495495243,0.001264,0.0013345,0.00138925,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.009067,0.132484,0.0105556,0.00819697773462878,0.00934175,0.009478,0.009746,1000,1.126863,1.756611,1.147212764,0.03387473059804763,1.13197925,1.1356255,1.14351225,1000,0.067363,0.130054,0.070260679,0.0057859596441695825,0.06782675,0.067995,0.072044,1000,0.037911,0.078183,0.038962132,0.003198727764999078,0.038209,0.0383025,0.038451,1000,0.015444,0.039892,0.016446649,0.0018227445410147303,0.015931,0.01608,0.01625525,1000,0.996965,1.562281,1.013085367,0.030303537613161784,1.0004165,1.002499,1.0058835,1000,0.002774,0.006541,0.0031295900000000002,0.0005348292006799927,0.00295775,0.003012,0.003079,1000,0.011153,0.029029,0.011667449,0.001202808650367547,0.011377,0.011448,0.011555,1000,1.165087,1.816616,1.1885566740000002,0.03870463657408146,1.17197,1.175624,1.1857025,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000283,0.000861,0.000350323,5.1700238597128345e-05,0.000323,0.000341,0.000363,1000,2.564793,4.984369,2.62164982,0.18318276791728963,2.5794595,2.593082,2.615637,1000,0.052282,0.110521,0.053819773,0.0040178838909892605,0.0526875,0.0528955,0.053809,1000,0.044525,0.075156,0.045626942999999996,0.002486329527184802,0.04492775,0.0451175,0.04531325,1000,0.690723,2.08844,0.717986119,0.09513235121028409,0.698215,0.710905,0.71794125,1000,1.763533,2.82779,1.7966369930000001,0.10265686700287979,1.7702075,1.7735565,1.79155125,1000,0.001216,0.010632,0.00138966,0.0003405306717463201,0.001316,0.001356,0.001407,1000,0.011828,0.03221,0.012339709,0.0010625142654661157,0.012121,0.012201,0.012318,1000,2.588896,5.042088,2.647075779,0.1854160340927509,2.605777,2.6183625,2.640973,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000303,0.003051,0.000373916,0.00010261883328122573,0.000343,0.000362,0.000382,1000,2.615108,4.906185,2.681354078,0.17749778261014956,2.633786,2.650462,2.67592125,1000,0.051669,0.107623,0.053708174,0.004083947303005268,0.052065,0.0527375,0.0537955,1000,0.044395,0.076199,0.046015007,0.0026773733103456084,0.04482,0.045351,0.046107,1000,0.691548,1.947114,0.719648882,0.08655390602833633,0.700886,0.7077035,0.71979825,1000,1.814871,2.816259,1.8544751810000002,0.10440505087747545,1.8231705,1.8270035,1.849485,1000,0.001214,0.00354,0.0013903189999999999,0.00016420887076829926,0.00132375,0.001363,0.001412,1000,0.011791,0.025646,0.012407022,0.00083900176133069,0.012121,0.012272,0.01246925,1000,2.638812,4.964094,2.706781333,0.1797566126502113,2.658915,2.675013,2.701389,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
