SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.326815,0.413453,0.34651726274509803,0.014004302115098953,0.3343095,0.345451,0.354389,255,11.783941,13.051004,12.539926776470589,0.22407535725491695,12.3893275,12.607883,12.6776455,255,0.285168,0.362671,0.29574916078431374,0.0112731613553065,0.2895905,0.291634,0.298799,255,0.137177,0.179724,0.14222903529411765,0.00890834332184895,0.138311,0.139051,0.1409785,255,3.88011,4.448298,4.0072687647058824,0.0680233257210819,3.9692745,4.011552,4.0425005,255,3.88011,4.448298,4.0072687647058824,0.0680233257210819,3.9692745,4.011552,4.0425005,255,0.023054,0.035565,0.024629266666666667,0.0014280582042659332,0.0239395,0.024303,0.0247055,255,0.05392,0.099315,0.0560763568627451,0.0035009202501826825,0.0549985,0.055444,0.055924,255,40.296277,48.994241,47.468006925490194,1.7314615717770194,47.8311705,48.135067,48.297855,255,27.198013,35.825221,34.39943066666667,1.782254155921439,35.0245615,35.108697,35.180244,255,0.020799,0.029233,0.022320764705882352,0.001158982998881132,0.0217935,0.022093,0.022544,255,21.806115,22.192653,21.922134015686275,0.05928196606864908,21.8816625,21.913611,21.949753,255,4.910168,13.452439,12.048637027450981,1.7850518467066185,12.710784,12.768041,12.8188545,255,0.386964,0.491982,0.4039792549019608,0.014605453320583066,0.3966315,0.401489,0.406167,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,9.676323,22.513637,13.6234280005698,0.530571332163588,13.332637,13.595054,13.704644,1755,9.340169,22.102475,13.274192933903134,0.5196684637435692,12.9984095,13.237282,13.34583,1755,0.007062,1.224896,0.26839948395061725,0.23829442370881254,0.0564865,0.306085,0.42709125,10530,0.009356,2.999974,0.11138809088319089,0.09278381350008329,0.0275775,0.113911,0.19416025,10530,0.059457,8.727106,1.9139362483380817,1.9499855581230963,0.1745635,1.2104385,2.74894675,10530,0.059457,8.727106,1.9139362483380817,1.9499855581230963,0.1745635,1.2104385,2.74894675,10530,0.092788,0.196792,0.11819968888888889,0.015310956839511584,0.111963,0.117323,0.1204855,1755,0.134155,0.211548,0.15194548774928773,0.014509336502419683,0.145219,0.147719,0.1508325,1755,23.991491,44.834831,29.355101874074077,2.463230056193388,27.5919505,29.198934,31.034299,1755,10.195062,25.667481,15.09594595897436,2.3821425487758527,13.3785235,14.977998,16.8576705,1755,0.074507,0.18811,0.0902146962962963,0.012404144246011299,0.0837005,0.087835,0.091043,1755,9.429803,24.939258,14.23133226837607,2.298016610045102,12.618346,14.143752,15.9762445,1755,0.104766,0.765349,0.2828498535612536,0.10888782962606713,0.2181595,0.259684,0.3146515,1755,0.413427,0.79557,0.489473550997151,0.03001002063279418,0.467729,0.488674,0.5099385,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.020799,1.737562,0.09546117999999999,0.12336380273682228,0.04371925,0.0818255,0.11159775,1000,0.194565,0.319035,0.217329572,0.021105269667379665,0.202071,0.2069445,0.23281875,1000,0.002041,0.019849,0.00278205125,0.0008934906189342099,0.002276,0.002409,0.00318025,4000,0.004118,0.039482,0.005262431,0.0013180120573192797,0.004449,0.004631,0.005962,4000,0.014927,0.060947,0.01755525875,0.0027227881567978137,0.01571975,0.016517,0.018663,4000,0.014927,0.060947,0.01755525875,0.0027227881567978137,0.01571975,0.016517,0.018663,4000,0.020474,0.051132,0.023063438,0.0032426137917050805,0.02098825,0.021254,0.02496225,1000,0.025711,0.061474,0.028015228,0.0031362970959422838,0.026324,0.026736,0.0290655,1000,0.491104,2.512991,0.598676326,0.1568913598673481,0.51224575,0.5598635,0.65647775,1000,0.091159,0.205242,0.106084273,0.016508106535653048,0.0943515,0.0979645,0.1176015,1000,0.025703,0.077448,0.029747103,0.005196305476431404,0.02663775,0.0273415,0.03220125,1000,0.041703,0.121714,0.04884804,0.009282118011876384,0.04269,0.045148,0.05457875,1000,0.006235,0.016532,0.007609143,0.0016478518964248576,0.006506,0.006688,0.00820125,1000,0.016544,0.043497,0.019327269,0.002970548683768539,0.017275,0.017765,0.021069,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.027969,1.743305,0.096188477,0.12090984637642822,0.04591625,0.0822195,0.11162425,1000,0.194951,0.312038,0.216610299,0.019965955613133045,0.201572,0.207147,0.23267275,1000,0.002106,0.018594,0.0027987025,0.0009064788218672017,0.002307,0.002395,0.003153,4000,0.004062,0.022297,0.0052578745,0.0012179003004145084,0.004446,0.0047565,0.00593,4000,0.014951,0.047594,0.0175115465,0.0026306607403535995,0.015689,0.016404,0.01861825,4000,0.014951,0.047594,0.0175115465,0.0026306607403535995,0.015689,0.016404,0.01861825,4000,0.020508,0.055858,0.023114869,0.0032128023711145075,0.021026,0.021273,0.0248555,1000,0.025853,0.061775,0.028073824,0.0031020318494535165,0.02636675,0.0267395,0.02933125,1000,0.494527,2.471497,0.5987472269999999,0.15314598394999285,0.513967,0.558776,0.6580075,1000,0.091906,0.210535,0.106175318,0.01607030845251192,0.0945495,0.098147,0.11728425,1000,0.025966,0.087718,0.029840309000000002,0.004747014854992451,0.02699775,0.02755,0.0320355,1000,0.041312,0.123535,0.048683466999999994,0.009241991011297891,0.04259175,0.0449875,0.05311875,1000,0.006086,0.02627,0.007643607,0.0018656708784110343,0.00641825,0.006948,0.0082125,1000,0.016705,0.04768,0.019432562,0.0030301114534214742,0.0173205,0.017789,0.021157,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.0311,1.660866,0.066827076,0.11493152343773325,0.0423525,0.053805,0.06677925,1000,0.196507,0.344793,0.207895564,0.014740491673275489,0.201244,0.2037015,0.20768375,1000,0.002114,0.017272,0.0026480025,0.0007973914722354071,0.002293,0.002368,0.00307,4000,0.004185,0.02318,0.00505202775,0.0012073288690244832,0.004437,0.004574,0.005831,4000,0.014931,0.061365,0.0168894395,0.0023260044894281157,0.01555475,0.016132,0.01816,4000,0.014931,0.061365,0.0168894395,0.0023260044894281157,0.01555475,0.016132,0.01816,4000,0.020578,0.047615,0.021838366999999997,0.0023915641351030087,0.021028,0.021187,0.0214375,1000,0.025706,0.079621,0.026982358,0.002827609714553266,0.026231,0.0263945,0.0265795,1000,0.50587,2.400324,0.571789635,0.13981466128370007,0.526269,0.5540785,0.5718945,1000,0.10312,0.285785,0.12692448,0.01739028996513859,0.1152015,0.124978,0.1313765,1000,0.025836,0.121151,0.027981923,0.004559045690610152,0.02658875,0.026967,0.02745725,1000,0.04684,0.112367,0.050146048000000006,0.0067759755549806995,0.0477495,0.048192,0.0491515,1000,0.009247,0.074526,0.029509198,0.0103091951864729,0.020819,0.0306995,0.035658,1000,0.016888,0.057242,0.018743734,0.0028513044543233192,0.017446,0.017773,0.0184455,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036523,1.598535,0.078281624,0.09965265990781491,0.07058525,0.0713655,0.0743395,1000,0.060652,0.138103,0.078671204,0.008353215477550188,0.0776815,0.0783365,0.07936225,1000,0.003114,0.016958,0.00432178,0.0010134817164606377,0.004192,0.004256,0.004323,1000,0.005915,0.025611,0.007960264,0.0012291265005295426,0.007821,0.007929,0.00806725,1000,0.018515,0.057199,0.024785141,0.0034651770721160846,0.0244715,0.024757,0.024984,1000,0.018515,0.057199,0.024785141,0.0034651770721160846,0.0244715,0.024757,0.024984,1000,0.006474,0.021629,0.009668025,0.001449863421283191,0.009666,0.009785,0.00990875,1000,0.010102,0.032209,0.01232806,0.0013451634221907762,0.012153,0.012289,0.01243425,1000,0.161996,1.863208,0.265194036,0.1091563034675172,0.26004625,0.262403,0.26613325,1000,0.012723,0.092307,0.039151642,0.010058866100601797,0.04012325,0.0406555,0.041579,1000,0.002109,0.010793,0.003190835,0.0006602247403536162,0.00306775,0.003152,0.00323625,1000,0.007177,0.043711,0.017382069,0.0041338328215155245,0.01745525,0.017642,0.01785475,1000,0.001843,0.06313,0.016554129,0.006205588827529504,0.01771375,0.017935,0.01811775,1000,0.001,0.018602,0.001513246,0.0009168734053750278,0.00133075,0.0013725,0.001418,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.02351,1.475607,0.092720618,0.09788281771780008,0.072094,0.098315,0.10083775,1000,0.060835,0.148728,0.077956215,0.007983500577614747,0.077379,0.077797,0.0784795,1000,0.003099,0.023225,0.004382078,0.0011934450904486557,0.004228,0.0043,0.004369,1000,0.005974,0.0167,0.007972244,0.0011222015311270965,0.00787775,0.007974,0.00807,1000,0.018627,0.059458,0.024728179,0.0028984121261406218,0.02454275,0.024761,0.02500925,1000,0.018627,0.059458,0.024728179,0.0028984121261406218,0.02454275,0.024761,0.02500925,1000,0.006398,0.020179,0.00959767,0.0013152103584978337,0.009621,0.009758,0.00989125,1000,0.010117,0.037377,0.012301148,0.001418635740454892,0.012142,0.0122655,0.012385,1000,0.163112,1.778375,0.269071075,0.1087350968129949,0.24813525,0.2778275,0.283003,1000,0.012978,0.103715,0.029541569,0.007475540151135501,0.0271975,0.031199,0.03189225,1000,0.002145,0.023387,0.00329115,0.001334774181462917,0.00307975,0.003163,0.003237,1000,0.007246,0.088451,0.016336952999999998,0.004680082116030765,0.01581275,0.0165785,0.016873,1000,0.001871,0.030123,0.007932467,0.002833939680535032,0.00636775,0.009591,0.00984975,1000,0.00102,0.016078,0.001468132,0.0007936085978465708,0.00128475,0.001345,0.001412,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.006133,0.131293,0.007927849,0.008780495508124755,0.00651,0.006636,0.00718475,1000,1.123943,1.917398,1.160874045,0.04913832104676528,1.13619825,1.141016,1.1751715,1000,0.067915,0.123155,0.06984095200000001,0.005739005111488925,0.068219,0.068314,0.06846475,1000,0.037653,0.074967,0.039367019,0.0037979794157734716,0.0381495,0.0383925,0.03869,1000,0.015172,0.042483,0.016507209,0.0026160048247889376,0.015703,0.015859,0.0160795,1000,0.991266,1.770373,1.0268144620000001,0.04537688562705197,1.0056095,1.0096395,1.03843725,1000,0.002831,0.020175,0.003211911,0.0009946139246355846,0.002966,0.003024,0.003089,1000,0.011007,0.040147,0.011646686,0.0017259226301905887,0.011229,0.0112965,0.0114045,1000,1.159069,1.987312,1.19950856,0.05327023011765952,1.17270525,1.178795,1.212375,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.00029,0.000954,0.000349518,5.337515972809823e-05,0.000323,0.000342,0.000363,1000,2.503772,4.866661,2.553220048,0.179447771948324,2.51512525,2.5204775,2.54754225,1000,0.051209,0.09675,0.05335207,0.0042527379593739366,0.0518605,0.0527175,0.053137,1000,0.043058,0.082715,0.045142324,0.0032759204646975178,0.04382975,0.044776,0.04518425,1000,0.691619,2.015968,0.71098653,0.09256280586202592,0.69798,0.6999685,0.70340075,1000,1.702821,2.726585,1.73485908,0.10173438199006077,1.70931675,1.7122405,1.72937575,1000,0.001289,0.002773,0.0014682360000000002,0.0001295045107476956,0.00139775,0.001449,0.00151,1000,0.012682,0.032691,0.013339380999999999,0.0010502638486775597,0.013019,0.01317,0.01337625,1000,2.528674,4.926471,2.579910548,0.18173447598580106,2.541357,2.547112,2.5743,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.00029,0.01045,0.00034987200000000004,0.0003242316881737502,0.000314,0.000326,0.000348,1000,2.601118,4.891012,2.651490625,0.17464712249874137,2.61134825,2.6232835,2.640733,1000,0.051956,0.108495,0.0537443,0.0033252208164270837,0.052698,0.052953,0.053711,1000,0.044186,0.085971,0.045665807,0.0036030505880088612,0.044678,0.0449445,0.04525325,1000,0.691184,1.956083,0.7086988689999999,0.08486446448022776,0.6970625,0.699129,0.7027875,1000,1.797824,2.838128,1.834915571,0.10403954121590002,1.806388,1.811153,1.82689175,1000,0.001262,0.003481,0.0014554169999999999,0.00015396604531844025,0.001374,0.001419,0.00149725,1000,0.012645,0.032871,0.013332568999999999,0.001172695944070329,0.01291575,0.01307,0.01339925,1000,2.625481,4.951461,2.678184236,0.17695685505761086,2.63719825,2.6493905,2.6664515,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
