SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.333539,0.414573,0.35742509411764706,0.014875648112786737,0.346831,0.351525,0.365916,255,11.530922,13.051735,12.055488862745099,0.23687573045225008,11.8986525,12.10906,12.1900105,255,0.282631,0.368672,0.2981649529411765,0.016238096124689256,0.286609,0.289748,0.30379,255,0.136871,0.201533,0.14479721960784314,0.01261239293550655,0.1379895,0.138846,0.1434285,255,3.586508,4.016279,3.725563054901961,0.060803068197778073,3.678833,3.725164,3.764729,255,3.586508,4.016279,3.725563054901961,0.060803068197778073,3.678833,3.725164,3.764729,255,0.022431,0.073767,0.024587376470588236,0.004366909093940528,0.023399,0.0238,0.0242665,255,0.053007,0.08015,0.05553729803921569,0.00353730002239385,0.0542615,0.054692,0.0555835,255,39.711684,54.249178,48.135568043137255,2.8174050150464303,47.4798725,47.822409,48.0831145,255,27.180206,41.796055,35.54765301176471,2.8878251312309255,35.074901,35.235004,35.407598,255,0.020354,0.055505,0.022239321568627454,0.0036851847947020817,0.021252,0.021611,0.02204,255,21.74423,28.289297,22.942480580392157,2.2795829636868143,21.8577485,21.891327,21.986768,255,4.853619,14.83873,12.163814960784315,1.806295771177006,12.7199735,12.884638,12.9766915,255,0.388423,0.524897,0.4161899215686275,0.019771273846156977,0.403715,0.408563,0.423587,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,8.963712,13.965542,9.31077942905983,0.3454383138614185,9.11927,9.197204,9.4359075,1755,8.689588,13.649326,9.00353652934473,0.34121500238130953,8.8148965,8.889756,9.1231255,1755,0.005213,0.574602,0.1740048262108262,0.16866798308882017,0.02987625,0.1194495,0.27978625,10530,0.006254,0.327594,0.0765894262108262,0.07400062368970324,0.01311025,0.058086,0.10583375,10530,0.034379,5.770536,1.1626427244064577,1.1991393606102514,0.08675725,0.8895925,1.74178125,10530,0.034379,5.770536,1.1626427244064577,1.1991393606102514,0.08675725,0.8895925,1.74178125,10530,0.096224,0.224197,0.10905981937321937,0.012184162295970679,0.1018545,0.10399,0.114463,1755,0.121296,0.199886,0.13267481595441594,0.010876497744969502,0.12628,0.128582,0.1360465,1755,24.045952,41.04445,30.717291713960115,3.682397793936501,28.2582915,30.219174,32.488367,1755,14.483046,31.243033,20.926851513960116,3.6242563336001687,18.5351785,20.418149,22.7496065,1755,0.070356,0.142836,0.08032219145299145,0.008068280481350342,0.0758975,0.07843,0.08137,1755,13.670039,30.37794,20.101142421652423,3.535952658126354,17.779951,19.611178,21.9287145,1755,0.099074,0.627108,0.2520939971509971,0.10246382714060186,0.194517,0.227022,0.277672,1755,0.434121,0.803418,0.49107087635327634,0.030218489642155965,0.471449,0.484939,0.506079,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.038281,1.690588,0.107986315,0.11927927631538421,0.0549365,0.092545,0.1242085,1000,0.126793,0.291418,0.143457131,0.017777669537479848,0.1304065,0.1343515,0.1554305,1000,0.0019,0.026925,0.0026189012499999997,0.0012155881045808393,0.00208,0.002172,0.002976,4000,0.003992,0.042558,0.005138068500000001,0.001749646939473147,0.004265,0.004414,0.005725,4000,0.000372,0.019214,0.00074643,0.0007982475969898062,0.000464,0.000515,0.000946,4000,0.000372,0.019214,0.00074643,0.0007982475969898062,0.000464,0.000515,0.000946,4000,0.020044,0.061526,0.023253245,0.004699862437665064,0.020618,0.020886,0.02485625,1000,0.027436,0.069389,0.03031454,0.0043503982027396065,0.0281055,0.0285255,0.03158825,1000,0.420929,2.341874,0.523451022,0.14981143180023182,0.45202575,0.4832365,0.577226,1000,0.08511,0.20742,0.10011729600000001,0.01679093443612904,0.08775225,0.09168,0.11048075,1000,0.025159,0.084848,0.02914292,0.0058913753881076015,0.0258965,0.026454,0.031581,1000,0.037601,0.120368,0.044827669,0.008888191631115915,0.0388265,0.041199,0.050021,1000,0.005206,0.025568,0.006587994,0.0022948631078920593,0.00546,0.005631,0.00699625,1000,0.015755,0.0547,0.018979741999999997,0.0040115296059528216,0.0163865,0.0171875,0.0203975,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.038073,1.736032,0.108680066,0.12201623428601477,0.054801,0.0930385,0.12502475,1000,0.125757,0.249119,0.150245465,0.01921470047543742,0.13482775,0.1456075,0.162093,1000,0.00189,0.022957,0.00269165075,0.0012972635394454118,0.002142,0.002322,0.00304425,4000,0.004054,0.025775,0.00550769075,0.0018624976381500292,0.004488,0.004885,0.006015,4000,0.000363,0.015,0.00076245025,0.0007980041857815895,0.000477,0.00054,0.00092025,4000,0.000363,0.015,0.00076245025,0.0007980041857815895,0.000477,0.00054,0.00092025,4000,0.020112,0.057799,0.023560111,0.00460803447346903,0.02059525,0.021838,0.02614925,1000,0.027391,0.078465,0.030982139,0.005474316874613581,0.028371,0.029426,0.031968,1000,0.424562,2.33828,0.5364511319999999,0.15045732893531166,0.46261925,0.497335,0.586987,1000,0.085807,0.192324,0.102008782,0.01646548834060126,0.089106,0.094397,0.11197375,1000,0.025524,0.06794,0.029814218,0.005226958684787551,0.026438,0.0274595,0.032206,1000,0.038072,0.103207,0.045611599,0.009420266002518135,0.03893425,0.041897,0.0501585,1000,0.005247,0.023609,0.006645685,0.001938019661864915,0.0054965,0.0059255,0.0069835,1000,0.01611,0.053813,0.019368800999999998,0.004100495509008515,0.016756,0.017615,0.0207125,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.038714,1.724517,0.079360251,0.1171549934202977,0.052672,0.067198,0.07774475,1000,0.127081,0.258795,0.13618687899999998,0.01352359662790779,0.1292765,0.1319615,0.13555,1000,0.001878,0.023662,0.00243081475,0.001051458352685658,0.002022,0.002094,0.002853,4000,0.004036,0.028973,0.00490669775,0.001543461390801512,0.00423575,0.00435,0.005685,4000,0.000377,0.079077,0.0007636477499999999,0.0014616234423304579,0.000459,0.000513,0.000961,4000,0.000377,0.079077,0.0007636477499999999,0.0014616234423304579,0.000459,0.000513,0.000961,4000,0.020069,0.059516,0.021576821,0.0036372983725505665,0.02051675,0.0206805,0.02089175,1000,0.027343,0.065985,0.029393755,0.004271956631214203,0.0281975,0.0284195,0.02869725,1000,0.436358,2.431755,0.499701643,0.13943595408712758,0.460637,0.482505,0.502652,1000,0.097383,0.206208,0.120655905,0.01653060095592338,0.10875875,0.118399,0.12566,1000,0.025096,0.064684,0.027354507,0.004393054382994935,0.02585475,0.026136,0.02656275,1000,0.042855,0.119287,0.046832297,0.007648645811827804,0.0437795,0.0442875,0.04527025,1000,0.009005,0.083609,0.027772138999999998,0.009921553864878174,0.0194615,0.0291045,0.033349,1000,0.016189,0.052439,0.018150273,0.0035828429558761015,0.016717,0.016942,0.01747825,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040282,1.374372,0.08403655,0.09316083006472999,0.07555175,0.0761465,0.078766,1000,0.040721,0.138837,0.053730295,0.008924753602759855,0.051499,0.0519445,0.0527985,1000,0.002962,0.028446,0.004177731,0.0013844594037525982,0.004045,0.004118,0.00419225,1000,0.005826,0.032844,0.007935154,0.0024648099286322263,0.00751175,0.007626,0.00773625,1000,0.000796,0.011154,0.0010503309999999998,0.000628290737986006,0.000949,0.000975,0.001004,1000,0.000796,0.011154,0.0010503309999999998,0.000628290737986006,0.000949,0.000975,0.001004,1000,0.006151,0.031052,0.00958596,0.002469230408933115,0.00934,0.0094445,0.009573,1000,0.011182,0.047106,0.014392258,0.003324215089526549,0.01378,0.013928,0.014064,1000,0.142923,1.633193,0.244354799,0.10445869041161963,0.2332445,0.235884,0.2530775,1000,0.012076,0.091471,0.037837224,0.010685110082157508,0.03773125,0.038349,0.0402015,1000,0.002045,0.021291,0.003069308,0.0011842115651926387,0.002907,0.002975,0.003056,1000,0.006906,0.045214,0.016303131,0.004717266441472116,0.01595375,0.016119,0.01638875,1000,0.001534,0.070168,0.016299243,0.006725100209361271,0.017042,0.017341,0.01761425,1000,0.000961,0.011659,0.001386514,0.0005806863247950652,0.001258,0.001305,0.00136125,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040171,1.538996,0.09953541199999999,0.09808608098132097,0.07603325,0.103445,0.10641275,1000,0.040165,0.122568,0.053163701,0.008280342747350438,0.05098375,0.0516835,0.052582,1000,0.002862,0.027721,0.0042460399999999995,0.0016494976387979462,0.00403775,0.004109,0.00418625,1000,0.005663,0.030696,0.007795145999999999,0.0021365011136631777,0.00744675,0.0075755,0.007696,1000,0.000781,0.011505,0.001014611,0.0005447132288452337,0.000931,0.000956,0.000981,1000,0.000781,0.011505,0.001014611,0.0005447132288452337,0.000931,0.000956,0.000981,1000,0.006173,0.078224,0.009653607,0.0034011857465523695,0.009271,0.0094015,0.00953725,1000,0.011187,0.098296,0.01430194,0.0037583020092057527,0.01366925,0.013823,0.01398975,1000,0.140692,1.780893,0.248206021,0.10840447624647498,0.22063025,0.2532915,0.256961,1000,0.011769,0.067845,0.027436267,0.007055127589754206,0.024682,0.028601,0.02919825,1000,0.001999,0.018668,0.0030202370000000003,0.0011457926343064874,0.002871,0.002933,0.002988,1000,0.006709,0.04537,0.014864763000000001,0.004059681309515686,0.01423875,0.014983,0.01527525,1000,0.00156,0.031243,0.007396515,0.003170741169470476,0.005724,0.008841,0.00906125,1000,0.000938,0.016537,0.0013837580000000001,0.0009628464651417691,0.00121,0.001265,0.001324,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008559,0.130223,0.010195456,0.008382252109431212,0.008859,0.0090075,0.009327,1000,1.108645,1.561216,1.147157634,0.028809773320629305,1.129395,1.1425885,1.158718,1000,0.066675,0.118584,0.070421048,0.00803750145379122,0.06716075,0.067539,0.07017075,1000,0.037287,0.078591,0.040050142,0.005540352342571364,0.037723,0.038001,0.03968975,1000,0.000649,0.013858,0.000946551,0.0006378399339951992,0.000794,0.00084,0.000887,1000,0.994775,1.44088,1.027821146,0.02464280198347347,1.01128975,1.0266525,1.0378995,1000,0.002778,0.016108,0.003050372,0.0007479616645363586,0.002921,0.002976,0.003035,1000,0.008479,0.023543,0.009069224,0.0014958643306877803,0.008724,0.008821,0.00893625,1000,1.141167,1.60249,1.1833643500000002,0.03387776831734198,1.1638,1.177975,1.1948895,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000292,0.00911,0.000371619,0.00029574394303011516,0.00033,0.000354,0.000375,1000,2.562559,5.171602,2.6377103080000004,0.20085419442645736,2.57483775,2.615467,2.63691725,1000,0.051388,0.098428,0.053534637,0.00545590132766631,0.05186575,0.052301,0.0527005,1000,0.043612,0.101049,0.045695625,0.0052598888815615676,0.044329,0.0444915,0.04533125,1000,0.688175,2.144404,0.713809762,0.1009953093401835,0.693717,0.6964805,0.71929675,1000,1.766727,2.950624,1.8168998459999999,0.11513694384079456,1.7725455,1.7981045,1.8201575,1000,0.00118,0.011608,0.001404604,0.00037390047229710744,0.001268,0.001341,0.00149425,1000,0.005759,0.027508,0.0065710709999999995,0.000960187749327703,0.00622225,0.006477,0.00669925,1000,2.578492,5.221133,2.656049825,0.2031595880913337,2.59340425,2.6332645,2.65534375,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000293,0.009129,0.000360427,0.0002826419230599028,0.000331,0.000341,0.000356,1000,2.609223,5.088884,2.6904822250000002,0.1894086763175129,2.64169425,2.665618,2.688491,1000,0.051663,0.100416,0.053931569000000006,0.00554770642997978,0.0521615,0.052393,0.052818,1000,0.043845,0.090628,0.045587411,0.004542759063397376,0.044224,0.0444585,0.04481625,1000,0.687998,2.008021,0.713546802,0.09061624146965484,0.69405525,0.69892,0.72029875,1000,1.812971,3.008824,1.869459975,0.11257253227520635,1.83557125,1.848649,1.87328125,1000,0.001168,0.014294,0.001368629,0.000526586288616595,0.001282,0.001321,0.001361,1000,0.005891,0.028734,0.006612802,0.001533370881031722,0.006259,0.006396,0.006578,1000,2.627743,5.139758,2.708810178,0.19177938975556344,2.659661,2.683642,2.7062355,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
