SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.326306,0.592855,0.348189862745098,0.024503417446343857,0.3364235,0.340019,0.3485645,255,7.700365,11.791484,8.18428240392157,0.31003132866978234,8.06305,8.198891,8.300205,255,0.281226,0.38252,0.2941269294117647,0.014599874799453698,0.285663,0.288472,0.2953065,255,0.136255,0.207821,0.14340907843137257,0.011686113235405145,0.138157,0.138835,0.1412345,255,3.566106,4.899113,3.7105188156862745,0.12303267042729711,3.647022,3.691649,3.7642575,255,3.566106,4.899113,3.7105188156862745,0.12303267042729711,3.647022,3.691649,3.7642575,255,0.022123,0.047228,0.024419807843137256,0.0029529487008314935,0.0233405,0.023664,0.024147,255,0.0518,0.095471,0.05473792549019608,0.004967511807651208,0.0530815,0.053608,0.054423,255,33.441773,49.02087,41.35978242745098,2.396080290699629,41.0494835,41.353348,41.64515,255,24.797732,38.696925,32.65733515686275,2.373313002136998,32.576189,32.684406,32.870149,255,0.019347,0.053639,0.021410717647058822,0.004427305968632015,0.0201675,0.02056,0.0210405,255,19.453766,25.41943,20.217458670588236,1.7094440994792917,19.5381915,19.574889,19.620893,255,4.867196,16.675502,12.114138862745099,1.8332611664222604,12.685238,12.770648,12.9420285,255,0.283774,0.355436,0.3014740117647059,0.015095648015234773,0.291949,0.295819,0.3039005,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.042616,1.694257,0.107594935,0.11804414704475938,0.0539295,0.0918745,0.12521025,1000,0.12484,0.262731,0.143208868,0.01775201347629547,0.12985375,0.135089,0.15494675,1000,0.001873,0.0255,0.00267504025,0.001371474839408269,0.002056,0.002209,0.003036,4000,0.003881,0.031642,0.00511272675,0.0016337922398776527,0.00424375,0.004447,0.005724,4000,0.000363,0.021519,0.0007740175000000001,0.0008890772698105323,0.000474,0.000528,0.00096,4000,0.000363,0.021519,0.0007740175000000001,0.0008890772698105323,0.000474,0.000528,0.00096,4000,0.02002,0.065283,0.023267886999999998,0.004684982909278432,0.020646,0.020949,0.024851,1000,0.027209,0.068319,0.03054588,0.005144665451474954,0.0281215,0.028632,0.03163925,1000,0.416529,2.298852,0.523737535,0.14603992687318348,0.45248875,0.483893,0.57607175,1000,0.085016,0.178155,0.100115761,0.015666314262961757,0.087967,0.0919865,0.1106345,1000,0.024686,0.063642,0.028819374,0.005104474563373198,0.02564575,0.026335,0.0315265,1000,0.037941,0.101761,0.044681305,0.008248988671102355,0.03877325,0.041165,0.050128,1000,0.005325,0.035568,0.006621537,0.0023319242103102323,0.00551575,0.0057215,0.0070265,1000,0.016007,0.071038,0.019475016,0.004709162894798184,0.01669775,0.0175045,0.02076725,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.03634,1.680828,0.108162778,0.11926194696620007,0.05412725,0.093837,0.12609575,1000,0.126348,0.302984,0.143936913,0.0182067871609307,0.129749,0.1362645,0.15463925,1000,0.001905,0.020481,0.0026963305,0.001157683774944501,0.002087,0.002243,0.00304725,4000,0.003992,0.028034,0.005100619749999999,0.0016426876057729104,0.004235,0.0044245,0.00573,4000,0.000363,0.019898,0.0007648015,0.0007721993535336261,0.000473,0.000534,0.000982,4000,0.000363,0.019898,0.0007648015,0.0007721993535336261,0.000473,0.000534,0.000982,4000,0.020164,0.059857,0.023628029999999998,0.004746204579145319,0.02068775,0.021035,0.025969,1000,0.02751,0.073348,0.030420863000000003,0.004916812231134214,0.02812975,0.02852,0.03165,1000,0.421049,2.352804,0.526215576,0.14947866786082964,0.452222,0.485684,0.57742475,1000,0.085303,0.209631,0.100382794,0.01643498023976798,0.087836,0.092147,0.1108455,1000,0.024801,0.073407,0.029114838,0.005926022297777489,0.02563225,0.026289,0.03172275,1000,0.037482,0.124581,0.044824196000000004,0.009148268948253763,0.038595,0.0412985,0.04997875,1000,0.005305,0.028476,0.006565924,0.0017264430248994608,0.005535,0.005906,0.0069925,1000,0.016176,0.047702,0.019332475,0.0038070733661665886,0.016842,0.017518,0.02078075,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.035706,1.676855,0.078993304,0.11538796206028419,0.05243275,0.0668835,0.0790445,1000,0.127305,0.264345,0.137373647,0.013801224154124552,0.1299845,0.133104,0.13668775,1000,0.00186,0.026002,0.0024676255,0.0011173331127062108,0.002032,0.0021305,0.002941,4000,0.004061,0.022941,0.00492121825,0.0014665836205675208,0.00424,0.0044065,0.005711,4000,0.000348,0.012409,0.00074844025,0.0007203745761268491,0.000466,0.000517,0.00097025,4000,0.000348,0.012409,0.00074844025,0.0007203745761268491,0.000466,0.000517,0.00097025,4000,0.020342,0.057643,0.02161271,0.0030555729986207173,0.02071075,0.020876,0.0210745,1000,0.027471,0.064538,0.029532949,0.0046838441238366375,0.0280735,0.028301,0.0286055,1000,0.438841,2.305822,0.5005001450000001,0.13757947542900423,0.46131675,0.4831445,0.504706,1000,0.09715,0.210809,0.120210546,0.016094831179726116,0.108657,0.1187705,0.125325,1000,0.024852,0.062192,0.02702526,0.004010974029135567,0.0256205,0.0259595,0.0264105,1000,0.042707,0.124603,0.046435305,0.0075956097723602805,0.043569,0.0440555,0.04512425,1000,0.009132,0.076647,0.027799849999999997,0.0099601593553266,0.01941925,0.0289055,0.033324,1000,0.016314,0.052819,0.018431925,0.003785274347438373,0.016874,0.0171685,0.01778475,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FrictionContact_LCP_with_friction,0.039856,1.434763,0.08328659100000001,0.09720286734560725,0.07443775,0.0749625,0.07761675,1000,0.040181,0.15407,0.05364344,0.00884866399002697,0.0513805,0.051899,0.05278525,1000,0.00285,0.018899,0.004255538,0.0014149216333620741,0.004099,0.004158,0.004223,1000,0.005642,0.028462,0.007694805999999999,0.0018811649141858879,0.00743075,0.007523,0.007639,1000,0.00077,0.016918,0.001141687,0.0009001956659699045,0.00098,0.001013,0.00104925,1000,0.00077,0.016918,0.001141687,0.0009001956659699045,0.00098,0.001013,0.00104925,1000,0.006195,0.03781,0.009460231,0.002373789073957288,0.0092,0.009316,0.009444,1000,0.011207,0.044725,0.014204433,0.002526466004819974,0.013798,0.0139375,0.014081,1000,0.141258,1.696151,0.24300974600000003,0.10756040947486897,0.23192375,0.2345145,0.25159175,1000,0.011954,0.100376,0.037673627,0.010771308317835442,0.037692,0.0381935,0.04026825,1000,0.00196,0.017326,0.003055541,0.001182288982575326,0.00285275,0.002921,0.002998,1000,0.006826,0.04474,0.016173164,0.004641936274563019,0.015885,0.01608,0.01629325,1000,0.001561,0.076462,0.016274029,0.006844971576285689,0.01710775,0.017354,0.0175,1000,0.000948,0.013474,0.001400009,0.000579101853665657,0.0012865,0.00133,0.001392,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.039774,1.446417,0.098397501,0.09683173353812272,0.07519675,0.1031845,0.1049465,1000,0.040738,0.156318,0.053763044999999995,0.00981477707770151,0.0514415,0.051929,0.05267175,1000,0.002883,0.023735,0.004244875,0.0015026413442252278,0.004082,0.004156,0.004221,1000,0.005756,0.076214,0.007775471,0.002890759519081274,0.007436,0.007524,0.0076315,1000,0.000799,0.015061,0.001157269,0.0009199077902915052,0.00099475,0.0010205,0.001052,1000,0.000799,0.015061,0.001157269,0.0009199077902915052,0.00099475,0.0010205,0.001052,1000,0.006163,0.028349,0.009351393,0.002262108535095299,0.009085,0.0092185,0.009341,1000,0.011233,0.052104,0.014306639,0.003064601894647819,0.013729,0.0138875,0.01406325,1000,0.142089,1.711164,0.24746291699999998,0.10736925307437932,0.2205485,0.251762,0.25586025,1000,0.011851,0.073783,0.027457327,0.007400387314193156,0.02457475,0.0285045,0.02906825,1000,0.00196,0.018259,0.002998476,0.0011114065671139432,0.002812,0.002896,0.00297125,1000,0.006822,0.0583,0.014942316,0.0044387195820578705,0.01421375,0.014907,0.01517325,1000,0.001618,0.035081,0.007389352,0.0032105038044045364,0.005735,0.008899,0.0091115,1000,0.000861,0.019001,0.00139397,0.0011810384985681034,0.0011955,0.001263,0.001312,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.008573,0.155098,0.01028943,0.009223186878899288,0.008931,0.009054,0.00933925,1000,1.109149,1.29993,1.146495928,0.023334659979541508,1.136406,1.1423455,1.15430275,1000,0.067062,0.11686,0.069624164,0.006591395247373958,0.067517,0.0677765,0.068167,1000,0.037745,0.086711,0.039614262000000004,0.005507545871743239,0.038039,0.038145,0.038274,1000,0.000702,0.009681,0.000985965,0.0006631162927986312,0.000824,0.000876,0.00092025,1000,0.994657,1.139563,1.02814564,0.020023842135873927,1.0175885,1.02556,1.035074,1000,0.002676,0.02089,0.003037732,0.001097667330376558,0.00284675,0.0029,0.00299025,1000,0.008613,0.02791,0.009288542,0.0019252663702033544,0.008856,0.0089685,0.00907025,1000,1.142684,1.485047,1.1833178119999999,0.029649185493713922,1.1708785,1.177805,1.192075,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000285,0.01076,0.000361424,0.00034153602771010854,0.000324,0.00034,0.000362,1000,2.572636,5.081396,2.65692465,0.19490085911373378,2.607687,2.6325055,2.6568745,1000,0.052201,0.109629,0.054809506,0.006374915484456559,0.0525875,0.052919,0.0534095,1000,0.044075,0.087855,0.046137097,0.005015878904597978,0.04452575,0.0447475,0.0451625,1000,0.695578,2.136989,0.724068057,0.09844783716863337,0.7019315,0.708866,0.73043575,1000,1.762035,2.85911,1.8241738859999999,0.11189818489959971,1.79056375,1.8041265,1.82792,1000,0.001165,0.018202,0.001414829,0.0007564800736033964,0.001273,0.001332,0.00143925,1000,0.00598,0.024177,0.006547651,0.0008691007669994315,0.00629675,0.006451,0.00658675,1000,2.588863,5.132252,2.6750727530000002,0.19757485524180954,2.625641,2.651207,2.67477375,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000271,0.009099,0.000358777,0.00029268536907573633,0.000319,0.0003355,0.000361,1000,2.614629,5.054514,2.72507899,0.1901192370311587,2.6726735,2.701041,2.7398795,1000,0.051703,0.090152,0.053798904,0.005366737283003892,0.052192,0.0524285,0.05288025,1000,0.043723,0.089127,0.045616754,0.004988001301872725,0.04425775,0.0444665,0.04468775,1000,0.697809,2.001006,0.7277437099999999,0.0888393092635456,0.7067195,0.714788,0.7346655,1000,1.810182,2.940436,1.890394983,0.11816267112912905,1.8435965,1.8777395,1.90247025,1000,0.001155,0.011471,0.001352621,0.0004534916772764413,0.00126975,0.0013135,0.001359,1000,0.005923,0.026094,0.006484584,0.001044083168595299,0.0062025,0.0063365,0.00651825,1000,2.630682,5.112011,2.743113929,0.1924753016329159,2.690574,2.718045,2.757412,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSparseLU,0.000309,0.001017,0.000391388,6.22018123208641e-05,0.00035775,0.000376,0.00041,1000,3.342543,5.972689,3.42938638,0.20718546346692762,3.36938975,3.39292,3.43237125,1000,0.053083,0.147884,0.056237408,0.006042547203418108,0.0540925,0.054645,0.05634825,1000,0.043845,0.082196,0.046296869,0.0037400572514119353,0.0450645,0.0455845,0.0460625,1000,0.700963,1.998215,0.726522018,0.08848493658332855,0.70831825,0.7129295,0.7279625,1000,2.529208,3.858155,2.591033418,0.13119867391841764,2.54070225,2.5612435,2.5970845,1000,0.001331,0.018603,0.00167281,0.0006585110658903159,0.001526,0.0016045,0.00171,1000,0.006914,0.02875,0.008199782999999999,0.0017341434381016468,0.0076715,0.0079265,0.00819575,1000,3.361621,6.046625,3.451009055,0.2104320685630923,3.3907615,3.41446,3.4529725,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
