SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.325735,0.447987,0.34266981568627447,0.01601227084632984,0.333209,0.338349,0.348781,255,11.826064,14.424537,12.343027584313726,0.2904305471912275,12.1792065,12.366868,12.448275,255,0.28536,0.470578,0.300528831372549,0.018322543649698153,0.2889775,0.295438,0.305838,255,0.135751,0.206728,0.14710040784313724,0.015136239567651878,0.137308,0.138059,0.148523,255,3.870838,4.366704,3.994349062745098,0.0635011764999857,3.9491685,3.994895,4.0335745,255,3.870838,4.366704,3.994349062745098,0.0635011764999857,3.9491685,3.994895,4.0335745,255,0.025352,0.044845,0.02743021568627451,0.0018176442706580133,0.0264915,0.026816,0.0281425,255,0.052467,0.092575,0.054964670588235294,0.0033760123630996396,0.053549,0.054087,0.055463,255,40.028268,57.768247,47.456018968627454,2.1577114768603423,47.566254,47.956073,48.093334,255,27.156186,42.760374,34.58039037254902,2.1200916615458536,35.0371335,35.128016,35.2075925,255,0.020229,0.042548,0.0226732,0.0024981680870935306,0.0216485,0.022289,0.022846,255,21.757998,28.777398,22.064818023529412,0.9843512506683262,21.8673355,21.907421,21.9466795,255,4.898182,13.508524,12.075121074509804,1.7837938083104605,12.7250465,12.792745,12.8405135,255,0.398557,0.545383,0.41580659999999997,0.016942317713196802,0.40716,0.411718,0.4185335,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,11.791904,30.380422,13.169147362393163,0.6270763364906703,12.9085435,12.995333,13.2000125,1755,11.448236,30.067651,12.83743572991453,0.6235554242071908,12.5845395,12.66472,12.859557,1755,0.008633,0.80292,0.24846729487179486,0.22024511924810783,0.04907,0.2637425,0.399666,10530,0.01018,0.417536,0.09569348803418803,0.07664257170012272,0.02637825,0.11053,0.15272325,10530,0.078962,13.969145,1.8519329411206078,1.895783870661571,0.16468875,1.1340455,2.662472,10530,0.078962,13.969145,1.8519329411206078,1.895783870661571,0.16468875,1.1340455,2.662472,10530,0.093943,0.202792,0.10515571111111112,0.012936660949012522,0.098361,0.099998,0.103653,1755,0.129289,0.262789,0.14213785754985755,0.013329339079038443,0.134889,0.136515,0.140774,1755,23.690257,79.269897,28.797454166381765,2.8229994035092534,26.976006,28.724381,30.500931,1755,10.201122,63.713518,15.059174645014245,2.6747061264324365,13.286588,14.900201,16.809062,1755,0.073424,0.155585,0.0843303789173789,0.01112640087039768,0.0790975,0.081243,0.0834,1755,9.381841,62.390624,14.200456545868946,2.589762873199335,12.482437,14.045664,15.9299295,1755,0.103923,0.635903,0.2603935299145299,0.10603125060561619,0.1989765,0.235907,0.288234,1755,0.442012,0.80141,0.5115849948717949,0.03220529300105395,0.4877295,0.509888,0.53198,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.026566,1.63208,0.090558163,0.11832855612792051,0.03864625,0.0763405,0.106339,1000,0.194386,0.32616,0.21664466599999999,0.02087624761757831,0.201441,0.206877,0.2318915,1000,0.002051,0.018899,0.00274849825,0.0008839441062629117,0.00224,0.002373,0.003125,4000,0.004239,0.022558,0.00532956875,0.001311589099822592,0.004541,0.00475,0.00593725,4000,0.01491,0.053877,0.0176431425,0.002581534216835746,0.01585775,0.0166575,0.018753,4000,0.01491,0.053877,0.0176431425,0.002581534216835746,0.01585775,0.0166575,0.018753,4000,0.020561,0.055772,0.023210416,0.0035716019468781794,0.02100675,0.021294,0.02502375,1000,0.025804,0.062904,0.028133579000000002,0.003724626079992326,0.02628375,0.0266005,0.029208,1000,0.488616,2.375748,0.592532042,0.15162901267115814,0.506562,0.552309,0.65766925,1000,0.091642,0.20237,0.10565325599999999,0.015700403706989958,0.09403175,0.0977825,0.117062,1000,0.025676,0.064102,0.02951383,0.004635975668518979,0.026419,0.027248,0.031893,1000,0.041422,0.123448,0.048224449,0.008819671078413242,0.04234175,0.045033,0.053276,1000,0.00637,0.02441,0.007670667999999999,0.001870530272884136,0.006562,0.0067305,0.0081935,1000,0.016791,0.045215,0.019695003,0.0031568175343201265,0.01742175,0.0179855,0.02141675,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.035904,1.675333,0.090525299,0.11962562350286664,0.0372565,0.0769995,0.10702475,1000,0.193557,0.328635,0.214638627,0.02021282562963108,0.199361,0.204247,0.22940125,1000,0.002015,0.02082,0.002735394,0.0009147769311498842,0.002215,0.0023455,0.003113,4000,0.00424,0.029626,0.00530734425,0.001259794527191612,0.00452175,0.004693,0.005944,4000,0.014952,0.047463,0.0175241715,0.002395892154310738,0.01566975,0.016482,0.018776,4000,0.014952,0.047463,0.0175241715,0.002395892154310738,0.01566975,0.016482,0.018776,4000,0.020369,0.045644,0.022959653,0.0032176376002575244,0.020822,0.021101,0.02470375,1000,0.025938,0.059272,0.028100438999999998,0.002885860344209158,0.026428,0.026745,0.02945175,1000,0.485801,2.45855,0.589872496,0.15340460373636114,0.50152625,0.5488105,0.65423825,1000,0.090927,0.236003,0.105122625,0.015913191131711295,0.0935825,0.0973635,0.11576925,1000,0.025564,0.055968,0.029165332,0.0042400541845330235,0.02638675,0.0269985,0.0317405,1000,0.040958,0.150059,0.048181582,0.00902789589701144,0.04218425,0.0446565,0.05308875,1000,0.00607,0.024004,0.007543159,0.001782265807257436,0.00636325,0.006857,0.008055,1000,0.016664,0.040187,0.019675448,0.0031286068396805633,0.017359,0.017963,0.021323,1000,0.0,3.7,1.22,1.351147660324363,0.0,1.2,1.2,5
BilateralLagrangianConstraint_UGS,0.016913,1.66579,0.062888874,0.11526697401922255,0.03766475,0.0509585,0.0624285,1000,0.196811,0.3125,0.206741804,0.013319348168494732,0.20031675,0.20351,0.20648725,1000,0.002015,0.023236,0.002572786,0.0008643249436433037,0.002191,0.002269,0.003037,4000,0.004295,0.026166,0.00508567475,0.0011683661076316951,0.004507,0.00464,0.00584625,4000,0.015065,0.051781,0.016999982,0.0021894617364037216,0.015633,0.016276,0.018333,4000,0.015065,0.051781,0.016999982,0.0021894617364037216,0.015633,0.016276,0.018333,4000,0.020477,0.080344,0.021533942,0.0029149190446110165,0.02090975,0.021045,0.02117875,1000,0.025918,0.066088,0.02735628,0.0028008779172966464,0.02641975,0.026591,0.026831,1000,0.508278,2.436069,0.565849265,0.13816076675510588,0.52260275,0.5509575,0.57001775,1000,0.102343,0.234656,0.126017751,0.016429635667810746,0.11481975,0.124723,0.13126175,1000,0.025572,0.062354,0.027299877,0.0031915873000547858,0.02631275,0.0265855,0.026897,1000,0.04666,0.142649,0.049932228,0.007066707023502247,0.047471,0.0478885,0.04900825,1000,0.00938,0.072952,0.029525533,0.010168724940173719,0.020978,0.030888,0.035594,1000,0.016912,0.042777,0.018697357,0.002597765376540191,0.01752875,0.0177815,0.0182815,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.031515,1.506236,0.076541197,0.09693448584624666,0.068932,0.0701795,0.072439,1000,0.060281,0.19695,0.078164437,0.008697233844851535,0.07727025,0.0779065,0.078818,1000,0.00303,0.021968,0.004295555,0.0010941372953039302,0.004217,0.0042755,0.004333,1000,0.005926,0.040744,0.007837473,0.0015520997852171102,0.007746,0.0078335,0.007915,1000,0.018633,0.065715,0.024753853,0.0029374369258574726,0.02467375,0.024884,0.025123,1000,0.018633,0.065715,0.024753853,0.0029374369258574726,0.02467375,0.024884,0.025123,1000,0.006582,0.041958,0.009815891,0.001991746945050751,0.009668,0.0098445,0.01001125,1000,0.009979,0.041498,0.012289663000000001,0.0016418823384856175,0.012117,0.01223,0.0123665,1000,0.160014,1.835601,0.263292456,0.10767740902445631,0.25818475,0.2606205,0.2646525,1000,0.0128,0.121254,0.038995218,0.010247309048646673,0.03989675,0.0403655,0.04132375,1000,0.002043,0.01396,0.003067101,0.0006669792386566466,0.002978,0.0030525,0.003143,1000,0.0073,0.061629,0.01718291,0.004290035923147964,0.017212,0.0173825,0.01755225,1000,0.00193,0.076163,0.01649278,0.006361838275027116,0.017738,0.017952,0.01810825,1000,0.000952,0.018379,0.001511125,0.0007800762125427233,0.001376,0.001419,0.00146325,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.031916,1.534209,0.09099794500000001,0.09875865844985934,0.06981175,0.097387,0.10039925,1000,0.060436,0.135487,0.078275095,0.008304531316213757,0.077244,0.0778655,0.0793,1000,0.003086,0.014801,0.004284657,0.0007173547681245313,0.00423275,0.0043305,0.00441025,1000,0.006034,0.033252,0.007829011,0.0013506059828384443,0.007693,0.007826,0.00794425,1000,0.018622,0.062366,0.024784075,0.0029393467902537464,0.02465975,0.024872,0.02509775,1000,0.018622,0.062366,0.024784075,0.0029393467902537464,0.02465975,0.024872,0.02509775,1000,0.006591,0.054108,0.009749589,0.0021370481361164986,0.00967275,0.009797,0.009957,1000,0.010207,0.022253,0.012272293,0.0011283621693193194,0.012151,0.0122735,0.01239175,1000,0.160066,1.805418,0.26840921100000004,0.109029405421127,0.24632625,0.2769365,0.2832835,1000,0.012947,0.065723,0.02949305,0.0065659820523285015,0.0271715,0.031333,0.0319675,1000,0.001991,0.012648,0.0031112469999999997,0.000587479938373218,0.00303275,0.003106,0.00318825,1000,0.007344,0.046205,0.016205794,0.003874411224891338,0.01576275,0.016545,0.01682,1000,0.00194,0.020351,0.007924800000000001,0.0027395161751667028,0.006419,0.009618,0.00995275,1000,0.000973,0.009866,0.0014994079999999998,0.00067850307260616,0.001339,0.0014075,0.001466,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.005114,0.130282,0.006178622999999999,0.008588534238790167,0.005377,0.00549,0.00559,1000,1.113375,1.332656,1.1646198589999999,0.04586349499867099,1.12240175,1.144146,1.2066645,1000,0.066796,0.111978,0.06957907399999999,0.0038468047159329515,0.067726,0.0694385,0.0700885,1000,0.037238,0.068608,0.039689196,0.0031248505816413048,0.03776675,0.0386675,0.040858,1000,0.015024,0.038039,0.015873653,0.00161371975962092,0.01547475,0.015659,0.0158055,1000,0.985891,1.191778,1.031558948,0.042870849776057575,0.991814,1.0071205,1.0719425,1000,0.002819,0.018993,0.00306384,0.000682797825421259,0.002947,0.002999,0.003072,1000,0.010829,0.030685,0.011464013,0.0011377495826547248,0.01121175,0.011316,0.01142175,1000,1.148953,1.48742,1.2022200660000002,0.04877902959380849,1.15843075,1.1830795,1.2434975,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000308,0.000962,0.000371618,5.533138418655365e-05,0.000342,0.000359,0.00038725,1000,2.510626,4.913269,2.572756842,0.18465132460681954,2.519794,2.541317,2.5696235,1000,0.051746,0.122329,0.054150911999999995,0.004168030878515178,0.05226125,0.0526465,0.0560975,1000,0.044709,0.09607,0.046565654000000005,0.004007000504652326,0.0449855,0.0451365,0.0483265,1000,0.686523,2.078303,0.7093686770000001,0.09509212025441786,0.69359875,0.6961785,0.70330875,1000,1.711343,2.729663,1.755126314,0.10437252597765086,1.719771,1.73182,1.756243,1000,0.00126,0.011546,0.00141839,0.0003477391147110143,0.001352,0.001391,0.00143125,1000,0.011918,0.023004,0.012393293,0.0007252839355390412,0.012185,0.012292,0.01242425,1000,2.534557,4.972541,2.5984607140000002,0.18690136403832425,2.54543625,2.5676855,2.5951015,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.00032,0.001062,0.00037282,4.8775194515245145e-05,0.000354,0.0003645,0.000379,1000,2.613606,4.909994,2.674179496,0.17893587140154427,2.630064,2.6380805,2.672088,1000,0.051854,0.092441,0.053969012999999996,0.0036816460504550137,0.05243725,0.052867,0.0540755,1000,0.044461,0.093375,0.045743873,0.0035651572395717693,0.04482975,0.044955,0.04512225,1000,0.687069,1.956199,0.707855664,0.08691223500929605,0.6928635,0.695273,0.70513925,1000,1.815711,2.833056,1.85918775,0.10714137586967745,1.8258235,1.833092,1.86026225,1000,0.001232,0.002722,0.00141522,0.00012446478056060678,0.001354,0.0014,0.001443,1000,0.011819,0.022827,0.012334678,0.0006636770994361639,0.01209775,0.012209,0.012374,1000,2.637925,4.967013,2.6996881310000003,0.18111677789917707,2.654647,2.662952,2.69761225,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
