SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.341863,0.432257,0.355907831372549,0.01374171408604273,0.348613,0.352801,0.3579025,255,11.797696,13.468817,12.278520792156861,0.2604036415802566,12.1066565,12.306211,12.419477,255,0.282816,0.365394,0.3022849254901961,0.016686029736254045,0.2893615,0.300673,0.3086525,255,0.137125,0.220637,0.1495167254901961,0.016702078791221583,0.138459,0.139518,0.1598905,255,3.574739,3.95304,3.653010752941176,0.052317640940079096,3.6175975,3.646444,3.689252,255,3.574739,3.95304,3.653010752941176,0.052317640940079096,3.6175975,3.646444,3.689252,255,0.0254,0.047512,0.0278452,0.002952545125288138,0.0262435,0.026711,0.029141,255,0.051545,0.088266,0.0543211137254902,0.0038649840553165063,0.0526305,0.053252,0.055368,255,40.095508,57.035679,47.36049788627451,2.1325586829621783,47.535827,47.855361,48.0852245,255,27.204974,42.960348,34.54019233333334,2.114678314087922,34.9975645,35.11087,35.172379,255,0.020332,0.029581,0.02195598431372549,0.0012991651013394157,0.0213925,0.021692,0.0220485,255,21.778572,28.55271,22.062430270588234,0.9500501697740469,21.870559,21.902116,21.940743,255,4.86566,13.93906,12.040876678431372,1.7895961309357753,12.707697,12.765194,12.821632,255,0.386617,0.489603,0.4130201490196079,0.01795907821254921,0.4035225,0.408659,0.4147975,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.63374,13.116709,9.076430391452993,0.3355167012267409,8.8330405,8.99468,9.2479665,1755,8.363788,12.833909,8.78515321025641,0.33107044033696414,8.5474645,8.70536,8.946135,1755,0.004352,0.587345,0.1763117109211776,0.1723346453506742,0.028882,0.1168595,0.28319225,10530,0.006071,0.306217,0.07949100094966761,0.07707139804152027,0.01454775,0.062592,0.112164,10530,0.037198,5.213962,1.1607917200379867,1.1955498796839552,0.08947225,0.884541,1.7080765,10530,0.037198,5.213962,1.1607917200379867,1.1955498796839552,0.08947225,0.884541,1.7080765,10530,0.093526,0.186263,0.1094822507122507,0.011907603177335113,0.1010265,0.104694,0.1158675,1755,0.129476,0.239507,0.14150367464387464,0.011171766215684255,0.134733,0.137904,0.143135,1755,23.738409,52.329271,30.485963519658117,3.6781677797120147,28.01821,29.936994,32.2595615,1755,14.39667,38.683579,20.825345832478632,3.614756639679174,18.4043925,20.351091,22.58765,1755,0.073517,0.157069,0.08424836239316238,0.009471081099177102,0.0794285,0.081676,0.0853685,1755,13.560643,37.442757,19.977248484900283,3.5177003802351474,17.614608,19.521302,21.7430175,1755,0.104973,0.722634,0.26713990769230767,0.1093079904534553,0.2056965,0.241296,0.293182,1755,0.431937,0.878109,0.49455264387464387,0.03137067387132417,0.473986,0.489213,0.509375,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.038445,1.806522,0.10576648699999999,0.11732882848286619,0.0534875,0.0916015,0.123443,1000,0.19471,0.344737,0.21654487,0.02058615683465712,0.2015725,0.206723,0.23077725,1000,0.001924,0.018663,0.00264705275,0.0008566620039242066,0.002127,0.002253,0.00307125,4000,0.004182,0.023535,0.00523064725,0.001225338769817326,0.004449,0.004661,0.00587425,4000,0.014906,0.049456,0.01786064775,0.00241818672979775,0.01591475,0.016955,0.019202,4000,0.014906,0.049456,0.01786064775,0.00241818672979775,0.01591475,0.016955,0.019202,4000,0.020127,0.065293,0.022786859,0.0035304956070102964,0.02065575,0.0209195,0.02465725,1000,0.025729,0.05412,0.028111642,0.003073919289740054,0.026264,0.026677,0.02956175,1000,0.499223,2.509863,0.60502078,0.14960735601370542,0.519581,0.565267,0.66388375,1000,0.090563,0.191537,0.10476482000000001,0.015330213538290978,0.093434,0.097289,0.11505,1000,0.025371,0.073576,0.029071452,0.004593551344406199,0.02625625,0.0268765,0.0312455,1000,0.041098,0.101346,0.048147336000000006,0.00801544208569334,0.042397,0.0447065,0.05318525,1000,0.006216,0.017784,0.0075469660000000004,0.0017479926615532459,0.006431,0.006591,0.0081055,1000,0.016457,0.116178,0.019459924,0.004128979533035251,0.01721,0.017887,0.0210915,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
BilateralLagrangianConstraint_PGS,0.041171,1.660788,0.10623813,0.11619087284308137,0.05287975,0.0909945,0.124951,1000,0.195569,0.334063,0.21830529399999998,0.02106851190652923,0.202082,0.2090545,0.23501325,1000,0.001961,0.023952,0.00269831225,0.0009470595518497965,0.002151,0.002286,0.003088,4000,0.004232,0.042736,0.00533667875,0.001455061619502225,0.004527,0.0047025,0.00591625,4000,0.015161,0.068897,0.0179169005,0.0026946506188372083,0.01587875,0.0168675,0.01919175,4000,0.015161,0.068897,0.0179169005,0.0026946506188372083,0.01587875,0.0168675,0.01919175,4000,0.02003,0.046436,0.022846175,0.003271018255891428,0.0206235,0.020934,0.02483775,1000,0.025816,0.063491,0.028223873,0.003155892742295118,0.02627775,0.0266315,0.029646,1000,0.502821,2.376008,0.609087008,0.15006814851511943,0.5247005,0.566484,0.67277425,1000,0.090507,0.220453,0.10605916800000001,0.016380155685639133,0.093947,0.098241,0.11687225,1000,0.025199,0.071342,0.029379241,0.004714535653160235,0.02624775,0.02716,0.032078,1000,0.041164,0.110923,0.048855368999999996,0.008899544604463702,0.0425715,0.0455545,0.0544445,1000,0.006082,0.024251,0.00765472,0.0018786172190204157,0.006383,0.006942,0.00820525,1000,0.016426,0.071652,0.019628473,0.0035280366816787772,0.0172785,0.018123,0.021237,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.040828,1.74031,0.077662617,0.11487917946625624,0.05227075,0.0658525,0.07678375,1000,0.19519,0.326144,0.20643384899999997,0.014137254808703103,0.199691,0.20279,0.205895,1000,0.001924,0.019037,0.0024809717500000003,0.0009012696746545605,0.00209175,0.002174,0.00295325,4000,0.004192,0.021145,0.004998148,0.0011279541034971234,0.004418,0.0045475,0.005766,4000,0.014887,0.054637,0.017214897,0.0025319274460163747,0.015667,0.0164,0.0188085,4000,0.014887,0.054637,0.017214897,0.0025319274460163747,0.015667,0.0164,0.0188085,4000,0.02017,0.044252,0.021220419999999997,0.0018053759457797149,0.02065775,0.020814,0.021039,1000,0.025643,0.057217,0.026678439999999998,0.002015914288455737,0.0260555,0.0262285,0.026438,1000,0.519943,2.465582,0.577335774,0.13693730833762915,0.534163,0.562928,0.5795315,1000,0.102248,0.214911,0.125886158,0.0159738049184606,0.11481225,0.1245755,0.13117175,1000,0.025348,0.059255,0.027258966,0.0034159767307234395,0.026184,0.0264695,0.02683825,1000,0.046651,0.105985,0.049771924,0.006260333387146727,0.047568,0.047951,0.0488015,1000,0.009279,0.079897,0.029537838,0.010465827995804058,0.02088975,0.0307775,0.0357235,1000,0.017011,0.041036,0.018790409,0.002742110816454908,0.01758775,0.0178515,0.01831075,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.039616,1.473163,0.079812958,0.09754158659073696,0.0714715,0.0745985,0.0751435,1000,0.060337,0.137524,0.078343622,0.008221715445155956,0.07715675,0.0778365,0.08124175,1000,0.002924,0.013577,0.004089507,0.0006976670853286688,0.004056,0.004124,0.00417825,1000,0.005917,0.025771,0.0077722830000000005,0.0013891297768426822,0.007629,0.007741,0.00783,1000,0.018847,0.058216,0.02509275,0.00282999827305601,0.02499275,0.025257,0.025627,1000,0.018847,0.058216,0.02509275,0.00282999827305601,0.02499275,0.025257,0.025627,1000,0.00613,0.036647,0.009471926,0.0017140712577148013,0.009423,0.0095395,0.00980725,1000,0.009831,0.038439,0.012101904,0.0018187041196368364,0.011944,0.012048,0.01213825,1000,0.163317,1.734384,0.266302101,0.10789690821653232,0.2611665,0.2638595,0.26715175,1000,0.012762,0.090723,0.039026802000000006,0.010031625700293846,0.0398785,0.040512,0.041193,1000,0.002026,0.014746,0.002987964,0.0007359959515540831,0.002923,0.002991,0.003056,1000,0.007244,0.044547,0.016841857,0.0038056898166496703,0.01724175,0.017426,0.017574,1000,0.001908,0.061453,0.016570769,0.006270613552886113,0.01781925,0.0180935,0.01829625,1000,0.001013,0.011378,0.001389532,0.0005545558573994148,0.001307,0.001353,0.001393,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.039942,1.459252,0.094309532,0.09661297226950931,0.0742285,0.099079,0.10347275,1000,0.060184,0.140783,0.07852748,0.008134630364902883,0.077094,0.0781605,0.081384,1000,0.002952,0.014632,0.004086014,0.0007556370132570269,0.00405175,0.0041115,0.004171,1000,0.00601,0.018831,0.00777942,0.00101269589986333,0.007738,0.007825,0.007909,1000,0.018801,0.061044,0.025193806,0.0034661851670624868,0.024912,0.0252645,0.0255925,1000,0.018801,0.061044,0.025193806,0.0034661851670624868,0.024912,0.0252645,0.0255925,1000,0.006159,0.021086,0.009389541,0.001411233407455691,0.00931675,0.0095305,0.00973925,1000,0.009783,0.036731,0.012020733,0.0015268033238472465,0.011926,0.0120535,0.0121645,1000,0.162461,1.723974,0.271185539,0.10678045680148816,0.250217,0.280142,0.286169,1000,0.012794,0.067735,0.02922671,0.006814462929380421,0.02686175,0.030811,0.03186125,1000,0.002055,0.013504,0.002965756,0.0007269288331494356,0.002863,0.0029605,0.00304725,1000,0.007172,0.043971,0.015814333,0.0036985730483675727,0.01558075,0.0162885,0.01672575,1000,0.001889,0.036609,0.007859052,0.0030396546894830008,0.006307,0.0090935,0.009915,1000,0.001019,0.003973,0.001354155,0.000232100398480916,0.00126675,0.0013385,0.001416,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.00884,0.126681,0.010401931,0.008125061672026805,0.0091885,0.0093675,0.00967,1000,1.118468,1.269557,1.143289474,0.022625962092590095,1.13171975,1.1348435,1.14614375,1000,0.067178,0.126288,0.06863296799999999,0.004201829130625852,0.067544,0.067703,0.068586,1000,0.037419,0.07795,0.038400252,0.002764382978260429,0.03774275,0.037906,0.038101,1000,0.015212,0.036781,0.016173711,0.00155528446448841,0.01570075,0.0158585,0.016062,1000,0.987903,1.139613,1.011688296,0.020514113753471876,1.0018415,1.003443,1.01519675,1000,0.002718,0.011918,0.0030853449999999998,0.000612219307091013,0.002894,0.002954,0.0030255,1000,0.010944,0.025919,0.011490400999999999,0.0008637929729970024,0.011244,0.0113375,0.01144425,1000,1.155935,1.433303,1.183984289,0.02759452031102333,1.170693,1.1750255,1.18739575,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000278,0.020205,0.000355726,0.0006298767235927996,0.000315,0.00033,0.000346,1000,2.568133,4.960455,2.629048458,0.18258757175233542,2.5791345,2.598526,2.62506,1000,0.051913,0.088507,0.054073055,0.0027550612976801445,0.05257275,0.0530175,0.055866,1000,0.044347,0.074936,0.045888797,0.0024521553522954044,0.0447705,0.04506,0.04690925,1000,0.690722,2.058344,0.715670681,0.09504020302527366,0.6984335,0.7044575,0.7137325,1000,1.765019,2.747936,1.8058782690000001,0.10340902113464105,1.77247825,1.779838,1.804007,1000,0.001209,0.010749,0.001405166,0.00044567467781331265,0.00132275,0.001363,0.001411,1000,0.011691,0.032965,0.012289198000000001,0.0013147546724754393,0.011986,0.0120985,0.012236,1000,2.591736,5.021148,2.654461869,0.18484313451307796,2.6039775,2.6239365,2.650357,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000288,0.000828,0.000366202,5.293274219233309e-05,0.000335,0.000356,0.000386,1000,2.617364,4.88028,2.6732010529999997,0.175627702255647,2.6278795,2.6382685,2.66833625,1000,0.051428,0.085982,0.053645506999999995,0.002637214623414446,0.052416,0.05283,0.05342125,1000,0.043441,0.078258,0.045842607,0.0028374778572794186,0.044865,0.045142,0.04558875,1000,0.691388,1.929613,0.7099686119999999,0.08496663545241424,0.69685225,0.699084,0.7030795,1000,1.816505,2.828831,1.856139269,0.10480398240144617,1.822963,1.8313085,1.85511725,1000,0.001183,0.010692,0.00139668,0.00033369396398496626,0.001318,0.001362,0.001416,1000,0.011693,0.024202,0.012286552,0.00095101972392585,0.012025,0.012138,0.012296,1000,2.641476,4.935721,2.698465811,0.1776682458286941,2.65289075,2.6628095,2.693925,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
