SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.329198,0.413712,0.35727733333333334,0.014778543935105042,0.3464215,0.35323,0.362917,255,11.601385,12.787132,12.098502843137254,0.2434170744737753,11.9654165,12.102389,12.2411495,255,0.283775,0.401745,0.3006228941176471,0.017613495411316724,0.288148,0.294157,0.3076535,255,0.136466,0.211902,0.1492861568627451,0.017348770834204566,0.1381865,0.13941,0.1633035,255,3.587491,3.95285,3.7118863568627454,0.06966288350859066,3.6610425,3.705427,3.756235,255,3.587491,3.95285,3.7118863568627454,0.06966288350859066,3.6610425,3.705427,3.756235,255,0.022293,0.053936,0.0247955568627451,0.0030887078095930567,0.0234475,0.023822,0.024887,255,0.052456,0.093691,0.05650566666666666,0.00507818358318948,0.0543015,0.054822,0.0579285,255,39.681621,49.290408,47.205888250980394,1.6112354732973808,47.4493735,47.694887,47.96591,255,27.151377,36.640754,34.57153410588236,1.647836335023402,35.004898,35.196179,35.290868,255,0.020846,0.130295,0.02287492156862745,0.007478423150462799,0.021705,0.02199,0.022259,255,21.766582,27.935439,22.00454577254902,0.6879974934503781,21.8602215,21.902187,21.949817,255,4.885719,13.295786,12.125571329411766,1.7799794451759756,12.7266155,12.832237,12.949502,255,0.39446,0.636025,0.4156622431372549,0.023122663743093668,0.4019515,0.407566,0.4221515,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,9.007075,30.248217,9.528500814245014,0.9246486706097348,9.175396,9.454754,9.6544045,1755,8.699936,29.660504,9.210975725925927,0.9089432816200491,8.857693,9.145437,9.3318835,1755,0.004808,1.391929,0.18054961614434947,0.17533180660270872,0.030661,0.12266,0.28683875,10530,0.006101,0.639713,0.08964795811965812,0.0867010734449598,0.01561975,0.079413,0.16117475,10530,0.034379,11.18366,1.1950033244064577,1.237960452792182,0.09693125,1.011644,1.80676725,10530,0.034379,11.18366,1.1950033244064577,1.237960452792182,0.09693125,1.011644,1.80676725,10530,0.098131,0.543874,0.11586537891737891,0.018820654820605066,0.104641,0.115618,0.1226025,1755,0.133427,0.534748,0.14814396068376068,0.016184549739637726,0.1392385,0.146734,0.151047,1755,24.189679,66.12894,31.221231462678062,4.168940284926841,28.6387475,30.522189,32.801253,1755,14.533221,46.64102,21.158098616524217,3.920978541041416,18.700006,20.563306,22.869043,1755,0.072257,0.340026,0.08402605014245014,0.011273949135444813,0.079077,0.081755,0.086209,1755,13.753997,45.529365,20.318086941880342,3.8211402906988963,17.932074,19.752621,22.0193215,1755,0.099498,2.365263,0.2603704831908832,0.11785114775520654,0.1993255,0.232078,0.2830125,1755,0.430358,2.252862,0.49335261424501425,0.06209453862234003,0.4712615,0.485809,0.505879,1755,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.040344,1.716603,0.107316492,0.11936981378792519,0.053225,0.0928985,0.12380975,1000,0.126186,0.285438,0.142945132,0.0166548923004196,0.130782,0.135226,0.154225,1000,0.001874,0.024778,0.0025695162500000003,0.001134318230363921,0.00203,0.002131,0.002966,4000,0.004091,0.026304,0.0051503632500000006,0.0014429081285027947,0.00434,0.00451,0.005732,4000,0.000358,0.152768,0.0007658615,0.002507828963429873,0.000453,0.000503,0.0009315,4000,0.000358,0.152768,0.0007658615,0.002507828963429873,0.000453,0.000503,0.0009315,4000,0.02001,0.072397,0.023113363,0.0040870539486567836,0.02081,0.02119,0.0248685,1000,0.02752,0.067749,0.030396612,0.00409823158514206,0.02820925,0.028699,0.03175575,1000,0.420596,2.362716,0.521787628,0.14718819138402922,0.451541,0.4844125,0.57544625,1000,0.085343,0.225264,0.09999562,0.01608801038977785,0.0881205,0.0922515,0.11041425,1000,0.024883,0.07684,0.029203609000000002,0.005195328628693183,0.02603075,0.026773,0.03182825,1000,0.037609,0.175089,0.044656301,0.009390591855703186,0.03870625,0.0409895,0.0497075,1000,0.005281,0.043029,0.006433506,0.001959875904225571,0.00546275,0.00563,0.00692775,1000,0.016035,0.053113,0.019165591,0.0035812991053134615,0.016719,0.0175,0.0207265,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.03718,1.788393,0.108923265,0.12156070629718624,0.05322325,0.0963695,0.125797,1000,0.125508,0.285981,0.144010838,0.01881322948984985,0.130592,0.1353995,0.15471575,1000,0.001897,0.022659,0.0025880475,0.0013137608862512805,0.002042,0.002148,0.00297,4000,0.004116,0.028665,0.0053447465,0.0018073452880503352,0.004398,0.0045745,0.005847,4000,0.000351,0.014632,0.000730174,0.0007455165261240021,0.00046,0.000506,0.00089025,4000,0.000351,0.014632,0.000730174,0.0007455165261240021,0.00046,0.000506,0.00089025,4000,0.020066,0.056465,0.023158435,0.0038386200689538162,0.02071175,0.021207,0.02507475,1000,0.027652,0.06978,0.030621647000000002,0.004730944580143695,0.0283335,0.0288275,0.03186975,1000,0.421052,2.380264,0.527178968,0.14906650799552185,0.4520935,0.4913475,0.5821685,1000,0.085479,0.190061,0.100749717,0.015940203085999596,0.08836975,0.0929365,0.11179775,1000,0.024924,0.072537,0.02928963,0.005527072125013388,0.0258465,0.0267205,0.03192,1000,0.037825,0.100651,0.045075047,0.008954721765682672,0.03877275,0.041693,0.05013725,1000,0.005232,0.024382,0.006620127999999999,0.0018926741319138908,0.00548575,0.005909,0.0070255,1000,0.016094,0.060003,0.01920278,0.003860289273046775,0.01674225,0.0174045,0.02074925,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.035913,1.758541,0.0800023,0.11902565347238384,0.052328,0.067155,0.07937025,1000,0.125625,0.289921,0.13568098,0.01371724420908223,0.1288035,0.131367,0.13476225,1000,0.001865,0.162035,0.00243556825,0.0027030693656178964,0.001999,0.002082,0.002895,4000,0.003984,0.029925,0.00491416625,0.0014557365665225756,0.00428,0.004399,0.00567,4000,0.000342,0.018862,0.00074132875,0.0009167295501801158,0.000437,0.00049,0.00095,4000,0.000342,0.018862,0.00074132875,0.0009167295501801158,0.000437,0.00049,0.00095,4000,0.020228,0.06243,0.0214585,0.0029841096022096775,0.020628,0.020826,0.021081,1000,0.027822,0.065807,0.02972373,0.004481304555271824,0.02843375,0.0286355,0.02888225,1000,0.435854,2.368477,0.500415751,0.1394715291640878,0.45981425,0.4829455,0.50337925,1000,0.097122,0.231356,0.120843424,0.01626832184265556,0.1089135,0.1191925,0.12593075,1000,0.024839,0.062729,0.027313028,0.004497104029841427,0.025812,0.026176,0.026632,1000,0.042916,0.100226,0.046403578,0.006706682854729006,0.04379375,0.044272,0.04524075,1000,0.008918,0.088737,0.02811332,0.010621636100883894,0.019426,0.029083,0.03361675,1000,0.016466,0.055499,0.018482859,0.003424231688586361,0.017081,0.0173565,0.017908,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.039124,1.610278,0.084372355,0.10050440021087124,0.075244,0.075972,0.078511,1000,0.040018,0.126034,0.052975192000000004,0.008847887414469964,0.0507685,0.051212,0.05189525,1000,0.002821,0.022873,0.004103586,0.0014428944918475504,0.003961,0.0040275,0.00409725,1000,0.005708,0.022916,0.007624379,0.0015452512777406138,0.0074235,0.0075315,0.00763925,1000,0.000736,0.025555,0.001011655,0.0008404466395762434,0.00092,0.000955,0.000986,1000,0.000736,0.025555,0.001011655,0.0008404466395762434,0.00092,0.000955,0.000986,1000,0.006076,0.042246,0.009409379,0.0024304529654694,0.00913575,0.009251,0.009381,1000,0.011088,0.049568,0.014232177,0.0028233152519105973,0.013828,0.013942,0.01407675,1000,0.142352,1.837013,0.243662506,0.10997429418647779,0.2321365,0.2350465,0.2529655,1000,0.011978,0.101152,0.037942246,0.01140456596366052,0.0376735,0.038207,0.04052225,1000,0.001971,0.017503,0.0030802060000000003,0.0011736506497096995,0.002925,0.0029915,0.003063,1000,0.006801,0.06319,0.016333084,0.0051596227052899905,0.01585,0.0160395,0.01627,1000,0.001545,0.066168,0.016298926,0.006826781205262404,0.0170505,0.017297,0.01749725,1000,0.000924,0.018966,0.001463135,0.0010641262071648268,0.001282,0.001315,0.00137225,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.026907,1.591766,0.098643997,0.09931509251580543,0.0755145,0.1027085,0.1052705,1000,0.039716,0.112964,0.052426083,0.008423650743478804,0.050492,0.0509155,0.0515115,1000,0.002805,0.022979,0.004050652,0.0012300240781773339,0.003939,0.0040195,0.004089,1000,0.00571,0.029589,0.007613604,0.00200396770063392,0.007309,0.007412,0.00752925,1000,0.000776,0.011039,0.0010184,0.0004959652024083947,0.000934,0.000963,0.00099,1000,0.000776,0.011039,0.0010184,0.0004959652024083947,0.000934,0.000963,0.00099,1000,0.00599,0.038276,0.009231264999999999,0.0022185440786189037,0.0090075,0.009201,0.00937,1000,0.011069,0.036726,0.014170304,0.002689943415312671,0.01372675,0.0138655,0.013997,1000,0.140371,1.822923,0.24654468400000001,0.10903730987833542,0.2197525,0.2507055,0.25517675,1000,0.012121,0.07913,0.027575854,0.007095608420190901,0.024768,0.0287545,0.029275,1000,0.002014,0.017802,0.003032711,0.0010311536100305327,0.00290075,0.002973,0.00304,1000,0.006842,0.056971,0.014951563,0.00413959369673293,0.01423675,0.0149975,0.01527625,1000,0.001597,0.029645,0.007473385,0.003222205088875474,0.005809,0.0089515,0.009127,1000,0.00098,0.015548,0.0013772449999999998,0.0009143287357263799,0.001198,0.0012655,0.001318,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FixedProjectiveConstraint,0.008532,0.171616,0.010237141,0.009317978776275411,0.00885275,0.0089935,0.009402,1000,1.097152,1.40462,1.132581659,0.035831479966793436,1.10541275,1.1222335,1.14518275,1000,0.066844,0.115252,0.06933317900000001,0.006483448794658519,0.06721675,0.0674015,0.06790275,1000,0.03704,0.075095,0.039681729,0.00399250386118273,0.03761,0.0379585,0.0405575,1000,0.000627,0.019244,0.000922883,0.0007756653668374011,0.00075575,0.000801,0.000855,1000,0.983868,1.286457,1.014779236,0.03213577060648,0.99147475,1.006621,1.02582775,1000,0.002726,0.01556,0.0029593989999999997,0.0004571784835258544,0.002861,0.002909,0.00296225,1000,0.008336,0.02048,0.00887362,0.0010431972822050487,0.008612,0.008706,0.008812,1000,1.129721,1.517643,1.1687677220000001,0.04090720439094703,1.14085425,1.1576445,1.1824185,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000278,0.000863,0.000330794,4.990584699211106e-05,0.000307,0.000321,0.00033925,1000,2.51171,5.184387,2.617445845,0.20295919304692503,2.56197325,2.5871785,2.62041,1000,0.051745,0.091911,0.055422731,0.005450944686257511,0.05242425,0.0529395,0.05670925,1000,0.044067,0.090986,0.046781555,0.004909611202221108,0.04459,0.045045,0.04735625,1000,0.688883,2.164684,0.725840948,0.1023713466487537,0.699738,0.721388,0.7292825,1000,1.711806,2.892387,1.781822332,0.11771717542368987,1.74401225,1.7653065,1.78770075,1000,0.001163,0.003122,0.001334725,0.00013076826593252662,0.001263,0.001297,0.001383,1000,0.005841,0.023705,0.006518741,0.001478391644294231,0.00615,0.006274,0.0064305,1000,2.528625,5.238081,2.635543726,0.2054485097592507,2.5806625,2.6052015,2.638414,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000282,0.017347,0.000360866,0.000540407792360547,0.000313,0.000331,0.00035725,1000,2.619063,5.130723,2.698837832,0.19116685656639276,2.64781675,2.678649,2.6983005,1000,0.051617,0.096697,0.053617538,0.005294016228210487,0.0520745,0.052338,0.05262125,1000,0.043949,0.093538,0.045847917,0.005144922743648441,0.04431975,0.044509,0.04546375,1000,0.688957,2.043385,0.716896965,0.09171807977873161,0.69589525,0.7012145,0.72504625,1000,1.817179,2.954955,1.8751668510000001,0.11422281044182374,1.834719,1.856089,1.87895175,1000,0.001178,0.018718,0.001372379,0.0006519424647612701,0.001277,0.001315,0.00135625,1000,0.005851,0.02688,0.006456949,0.0014045286748226252,0.00610975,0.006265,0.006462,1000,2.635073,5.181103,2.716951342,0.19359598963168387,2.66562375,2.6962325,2.71616475,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
