SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.336296,0.464066,0.3681160196078431,0.022138816604122907,0.351281,0.365532,0.378577,255,12.148541,13.970219,12.842877047058824,0.32880028269033595,12.629614,12.81525,13.0645185,255,0.281337,0.403834,0.3066999098039216,0.019023476833713786,0.288894,0.304423,0.3160025,255,0.137388,0.225289,0.1648149725490196,0.021692902611883412,0.139539,0.172104,0.1778195,255,3.975288,4.566818,4.154963090196079,0.0912335835584752,4.092522,4.14577,4.210002,255,3.975288,4.566818,4.154963090196079,0.0912335835584752,4.092522,4.14577,4.210002,255,0.022736,0.05539,0.028000792156862745,0.005188250715057188,0.024664,0.027293,0.0287365,255,0.054812,0.100247,0.06184992549019608,0.00832867390042054,0.0567025,0.059073,0.061691,255,43.806936,57.383172,54.220864482352944,2.3512686183182594,54.166467,55.131006,55.532756,255,30.489686,43.41882,40.792690035294115,2.3219588698011253,40.818137,41.742606,42.109521,255,0.021042,0.038254,0.024082470588235292,0.002671417172206257,0.0226365,0.023403,0.024471,255,23.846697,28.951426,27.890931129411765,1.110489117810181,28.0679575,28.170498,28.345935,255,4.974211,14.623668,12.457952231372548,1.8679360485922836,12.9420055,13.174555,13.330727,255,0.375709,0.668062,0.4169292823529412,0.026561141615087772,0.399424,0.409816,0.4272195,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,12.148616,34.86853,14.931855220512821,3.990808554422417,13.1682145,13.388572,14.3377685,1755,11.820391,33.218783,14.542210445584045,3.9221108696452394,12.8452625,13.060364,13.9171865,1755,0.005275,4.515589,0.24629094919278252,0.23921691017397628,0.04536575,0.2006055,0.394296,10530,0.007072,3.625779,0.10164089743589744,0.09557174821744635,0.0216225,0.097833,0.17178375,10530,0.06778,15.15488,2.0532321942070277,2.266799900866167,0.1704105,1.7668185,2.90039975,10530,0.06778,15.15488,2.0532321942070277,2.266799900866167,0.1704105,1.7668185,2.90039975,10530,0.092856,0.242207,0.11775789344729345,0.01994915295829171,0.1030955,0.113578,0.1255725,1755,0.13748,0.306516,0.15568659316239317,0.014007143557654415,0.1458645,0.152538,0.1608285,1755,23.900936,64.959816,32.74820353789174,6.545136375284438,28.313874,30.967338,34.652466,1755,10.261476,37.151264,17.181032844444445,3.9170769967503465,14.3176485,16.640383,19.0544785,1755,0.07472,0.169814,0.0894601943019943,0.012027139027449901,0.081742,0.085996,0.092969,1755,9.488014,36.152143,16.297261851851854,3.826696807954505,13.5128365,15.78499,18.1292795,1755,0.107619,1.166713,0.2870416376068376,0.11703614258481218,0.219027,0.258338,0.317043,1755,0.415272,1.12529,0.5051168273504273,0.04436489344530117,0.4831615,0.499805,0.5168935,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.035385,1.703819,0.095264636,0.12182136947377296,0.04365075,0.0815745,0.11108125,1000,0.286089,0.452567,0.314237387,0.026932094887832825,0.2947725,0.300369,0.33525475,1000,0.001215,0.01337,0.0019300062499999998,0.0008125541786311468,0.00149,0.0016555,0.00229,4000,0.002989,0.022445,0.0039774647500000005,0.0010458996762392832,0.003375,0.003617,0.00448325,4000,0.023409,0.069719,0.026080534250000002,0.003625641969958829,0.024116,0.024579,0.02622475,4000,0.023409,0.069719,0.026080534250000002,0.003625641969958829,0.024116,0.024579,0.02622475,4000,0.020323,0.050613,0.022710633,0.0030693187449841374,0.020714,0.020979,0.02459625,1000,0.026942,0.063231,0.029202209,0.0026994463871910846,0.02764875,0.0280025,0.03045325,1000,0.586154,2.557833,0.696102329,0.15886633886525728,0.6051415,0.653304,0.76532625,1000,0.091668,0.203872,0.105979889,0.016169407302021894,0.0946095,0.098316,0.11589175,1000,0.025531,0.076192,0.029881730999999998,0.004860088650697537,0.02688825,0.027717,0.032262,1000,0.041481,0.120622,0.048456714,0.009014537622208028,0.042452,0.0438325,0.05296225,1000,0.006244,0.018209,0.007527054,0.001714629254703185,0.00642975,0.0065845,0.008121,1000,0.016792,0.041169,0.019525509,0.0029684339005473914,0.017454,0.017967,0.02122425,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.029595,1.750087,0.096125247,0.12138506812944494,0.0440675,0.082151,0.1125995,1000,0.28446,0.483541,0.315953182,0.02934406359754688,0.294799,0.3028095,0.33504375,1000,0.001182,0.02881,0.0019747565,0.0008961974959280738,0.00151,0.0017515,0.002322,4000,0.00296,0.021857,0.0039843184999999995,0.001006307961340737,0.003392,0.0036105,0.00446925,4000,0.023136,0.163633,0.02603693025,0.004457200641701575,0.023915,0.0244675,0.02614,4000,0.023136,0.163633,0.02603693025,0.004457200641701575,0.023915,0.0244675,0.02614,4000,0.020375,0.053461,0.022932953000000002,0.0034599088642319757,0.020726,0.0209655,0.0246695,1000,0.02712,0.066556,0.029340986,0.0032428868999402364,0.027612,0.027966,0.030595,1000,0.584298,2.63166,0.700630054,0.16222739487781057,0.6094305,0.652328,0.7698335,1000,0.091754,0.230439,0.106684694,0.016720555191750183,0.09481025,0.098417,0.117888,1000,0.025448,0.071582,0.029853445,0.004845206787431781,0.02689875,0.027504,0.03254375,1000,0.041951,0.146831,0.048911739999999995,0.009406136774808243,0.042832,0.0437735,0.05349525,1000,0.006069,0.034612,0.007654711,0.001993332051485402,0.00639,0.00691,0.00816375,1000,0.01684,0.05315,0.019661165,0.0033535114363566734,0.017402,0.0179515,0.0213995,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.024394,1.722123,0.067006757,0.11671497239383621,0.04254775,0.0541295,0.06738775,1000,0.284338,0.452348,0.302230966,0.017739604256827263,0.29193,0.29644,0.30484575,1000,0.001238,0.022991,0.00181021125,0.0007822380597512738,0.00145175,0.001566,0.00225425,4000,0.002961,0.026413,0.0038382397500000003,0.0010598660010916181,0.003328,0.0035225,0.00434525,4000,0.022961,0.064011,0.02518731625,0.0029968904841078093,0.02380575,0.024359,0.025559,4000,0.022961,0.064011,0.02518731625,0.0029968904841078093,0.02380575,0.024359,0.025559,4000,0.020307,0.039699,0.021267178,0.0018153075734750849,0.020631,0.020744,0.02091,1000,0.027064,0.063639,0.02831659,0.00271963390585939,0.02754975,0.0276865,0.027847,1000,0.600979,2.596098,0.669313407,0.14333494722063894,0.62296375,0.6499255,0.673398,1000,0.103596,0.233053,0.127570977,0.017072637928816713,0.11592475,0.1257855,0.132626,1000,0.025909,0.069127,0.027988739000000002,0.0036568245567539883,0.0266835,0.027095,0.027562,1000,0.047039,0.114429,0.05048401600000001,0.006703199808281415,0.04803025,0.0484875,0.0497475,1000,0.009339,0.072688,0.029544602,0.010236239675759649,0.0207725,0.0306155,0.03608625,1000,0.01694,0.06128,0.018972264,0.0034131024400542095,0.01772675,0.01791,0.01831025,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036762,1.466439,0.080750243,0.09583893123704973,0.07323975,0.0743675,0.0771045,1000,0.086976,0.256274,0.112171933,0.011315987348195075,0.1109575,0.112358,0.11379625,1000,0.002145,0.023825,0.003230741,0.0012037381160032276,0.003056,0.003118,0.00319,1000,0.004417,0.021624,0.005874079,0.0011061434259439415,0.00573175,0.005834,0.00593825,1000,0.028459,0.07704,0.037130294,0.004155208568479325,0.03686025,0.037254,0.0375235,1000,0.028459,0.07704,0.037130294,0.004155208568479325,0.03686025,0.037254,0.0375235,1000,0.006339,0.022316,0.009490149,0.0013795742483820868,0.009521,0.009635,0.00976325,1000,0.010773,0.043383,0.012979276,0.0016429580627100623,0.01285175,0.012955,0.013048,1000,0.189845,1.760891,0.30271458500000004,0.10703056444199843,0.298057,0.300999,0.3052615,1000,0.013099,0.097801,0.039492112999999995,0.010356431755205602,0.04069875,0.0411105,0.04168275,1000,0.002207,0.014042,0.003107852,0.0006854291211321562,0.002992,0.003052,0.003124,1000,0.007258,0.050207,0.017535255,0.00430883609620684,0.01766,0.0178145,0.01801,1000,0.001899,0.066912,0.016825717,0.006286642540888657,0.0180185,0.0182825,0.01851675,1000,0.000968,0.022503,0.00149355,0.0009384737756059036,0.00132975,0.001374,0.001424,1000,0.0,2.4,0.72,0.96,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.037143,1.629872,0.09615098200000001,0.10179505261064349,0.07472775,0.1022225,0.1047785,1000,0.087558,0.178026,0.11256763099999999,0.01066224831369252,0.11140125,0.112569,0.114094,1000,0.002102,0.019835,0.003237777,0.0011149304656663571,0.00308575,0.003139,0.00319,1000,0.004385,0.026582,0.005935933,0.0013408859737170046,0.005761,0.005872,0.00597,1000,0.028759,0.072929,0.037068759,0.004173033639562351,0.036829,0.037138,0.03737225,1000,0.028759,0.072929,0.037068759,0.004173033639562351,0.036829,0.037138,0.03737225,1000,0.006359,0.031116,0.009580818,0.0015313045780888921,0.009577,0.009703,0.00985025,1000,0.010792,0.035095,0.012942428,0.0016687989641703401,0.012736,0.012836,0.012939,1000,0.190716,1.930425,0.30833764799999996,0.1127721625119076,0.28687175,0.3188265,0.32356175,1000,0.012886,0.066878,0.029410382000000002,0.006538381246920065,0.02739175,0.031557,0.03196325,1000,0.002123,0.010703,0.003127178,0.0006649551686512407,0.00300675,0.003083,0.003153,1000,0.007195,0.042296,0.016205045,0.0037613844226527813,0.01591275,0.0166515,0.01690625,1000,0.001947,0.02452,0.008092221,0.0028206250764961655,0.00654275,0.009834,0.01004925,1000,0.000996,0.007393,0.001466593,0.0006909958548001573,0.00128875,0.001361,0.001416,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.0064,0.131725,0.008089931,0.008843711233992153,0.006717,0.006847,0.00709925,1000,1.143096,1.36132,1.168429701,0.023668485257607827,1.15440125,1.160721,1.174703,1000,0.066151,0.122792,0.06756433199999999,0.004029813772344325,0.066746,0.0668805,0.06705075,1000,0.037086,0.075026,0.038103515,0.0028563580569975814,0.037412,0.037554,0.037815,1000,0.022398,0.045698,0.023530743,0.0016764284485032458,0.02295575,0.023156,0.023362,1000,0.993503,1.138696,1.015599798,0.020683739297989518,1.0040045,1.0094375,1.02179825,1000,0.002714,0.0152,0.003118781,0.0008260387031120274,0.00290075,0.002962,0.003037,1000,0.011314,0.031825,0.011893200999999999,0.0012264646462898962,0.011613,0.0117025,0.011798,1000,1.178615,1.578902,1.207362611,0.030173651510774745,1.192023,1.1986525,1.21346325,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000291,0.002801,0.000348497,0.00011429962375703606,0.000328,0.0003385,0.000351,1000,2.5897,5.035732,2.650461922,0.18733284184026014,2.60502775,2.6165655,2.645835,1000,0.051514,0.10015,0.054766129999999996,0.0046598582460306666,0.05191575,0.0524355,0.05667175,1000,0.044019,0.084506,0.046171421000000004,0.0033728951851130806,0.04441975,0.044758,0.0472485,1000,0.699524,2.111152,0.720625804,0.09723325551088775,0.705553,0.708678,0.7121435,1000,1.765108,2.751125,1.8049268870000001,0.10411365490043191,1.771853,1.7808615,1.80248325,1000,0.001195,0.004266,0.001401514,0.0002103591067769589,0.001326,0.001371,0.001429,1000,0.012609,0.032322,0.013400496,0.001228866420724401,0.0130695,0.0132255,0.01340725,1000,2.61446,5.09696,2.677130277,0.18967546967585522,2.6306855,2.643179,2.67226275,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000293,0.000768,0.000348844,4.979935405203565e-05,0.000322,0.000336,0.00036,1000,2.614371,4.932396,2.6790786140000002,0.178119840861031,2.6262825,2.648522,2.6739035,1000,0.051445,0.092,0.053466098,0.0038567214424166025,0.051956,0.0522265,0.05292475,1000,0.043841,0.075097,0.045304483,0.0023814089606178524,0.04437075,0.0446185,0.04509225,1000,0.697315,2.036115,0.724166371,0.08798427102225351,0.70369075,0.706834,0.7399565,1000,1.790721,2.795856,1.831991155,0.10451784312343501,1.800603,1.805057,1.82457025,1000,0.001209,0.011626,0.001390942,0.00034744989946177855,0.001328,0.001361,0.00140325,1000,0.01262,0.023729,0.013326165000000001,0.0008597823944318702,0.013038,0.013188,0.01337225,1000,2.639531,5.020682,2.705781912,0.1807733576570515,2.65244675,2.6744175,2.7007665,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
