SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.344577,0.507048,0.3671711803921569,0.022328580203513023,0.3513695,0.359231,0.376859,255,11.784668,23.362743,12.502384274509804,0.9564456076154879,12.2266845,12.348643,12.549401,255,0.285362,0.499539,0.30799664313725494,0.02691911166705241,0.29148,0.298909,0.31617,255,0.136708,0.229992,0.15026409411764707,0.01878406370886217,0.1381615,0.139027,0.1688755,255,3.598631,11.951358,3.7990091215686275,0.5702077841319595,3.668739,3.713542,3.7700715,255,3.598631,11.951358,3.7990091215686275,0.5702077841319595,3.668739,3.713542,3.7700715,255,0.025283,0.043452,0.028285266666666666,0.003102001164249707,0.0266255,0.027097,0.028768,255,0.050938,0.086936,0.054798101960784315,0.005146398208741462,0.0524885,0.053085,0.055443,255,40.006713,76.833759,48.70866673333333,3.7961197755494482,47.6695765,48.10201,48.686962,255,27.203903,64.394723,35.64975645490196,3.5286581537439807,35.123228,35.302292,35.531212,255,0.021332,0.063394,0.023038713725490198,0.0036547860998550875,0.02198,0.022358,0.022812,255,21.814206,36.754912,22.774215160784316,2.207178850603565,21.9041005,21.948101,22.0514335,255,4.885624,27.084213,12.428638003921568,2.275616924816166,12.752689,12.915046,13.073022,255,0.391826,0.583226,0.4216327882352941,0.025104948085091828,0.407625,0.411313,0.4272305,255,0.0,11.0,2.2,4.4,0.0,0.0,0.0,5
SofaScene,8.594783,25.334819,9.21459383019943,1.1376756234890284,8.8067295,8.912286,9.1275985,1755,8.35072,24.806629,8.921335737891738,1.124510037000245,8.518813,8.615613,8.832842,1755,0.005216,1.495076,0.17274423836657168,0.16950330144164635,0.02841275,0.125065,0.27667425,10530,0.006232,0.745755,0.07731374311490978,0.07539354476025538,0.01407275,0.0777565,0.106764,10530,0.036169,11.345882,1.1850675915479583,1.2523187500563249,0.08742,0.975755,1.6971335,10530,0.036169,11.345882,1.1850675915479583,1.2523187500563249,0.08742,0.975755,1.6971335,10530,0.094225,0.485601,0.10969331737891737,0.017955931811634195,0.1010525,0.103517,0.1128785,1755,0.129466,0.555959,0.14238541766381768,0.017594945719374137,0.133986,0.135876,0.143456,1755,23.690818,58.815898,30.887030627350427,4.197305779627357,28.043458,30.086349,33.197949,1755,14.354035,49.229918,21.089560083190886,3.8525292548300105,18.430159,20.450728,23.0657565,1755,0.074096,0.202736,0.08566549401709402,0.012558718901100495,0.0794495,0.081973,0.0848795,1755,13.532142,47.867818,20.2259039988604,3.7594578688004363,17.636916,19.618596,22.1955955,1755,0.104828,0.933059,0.2681250307692308,0.1093476276577111,0.2038045,0.240645,0.2978215,1755,0.432175,2.137305,0.5074965994301994,0.0646844888648138,0.4776575,0.497314,0.521822,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.036245,1.719975,0.10826654499999999,0.12070658725871582,0.054328,0.09359,0.12491075,1000,0.195073,0.41736,0.222877505,0.027296486803689134,0.20170125,0.21395,0.23885825,1000,0.002021,0.022353,0.0027719077499999997,0.0011813941887617095,0.00219175,0.002316,0.003136,4000,0.004111,0.034483,0.005468583,0.0017773727586274637,0.00450775,0.004923,0.005963,4000,0.014593,0.069046,0.01777860575,0.0036640641908701516,0.01544075,0.016345,0.018856,4000,0.014593,0.069046,0.01777860575,0.0036640641908701516,0.01544075,0.016345,0.018856,4000,0.020359,0.060457,0.023587741000000002,0.004213547430837701,0.02102575,0.0214595,0.0254465,1000,0.025513,0.071075,0.028949262,0.004767504294634248,0.02635,0.027089,0.02987425,1000,0.500828,2.496377,0.622579895,0.1572309320880786,0.535769,0.5835025,0.6847175,1000,0.089763,0.208047,0.107680571,0.01796532632063662,0.0940035,0.098909,0.118217,1000,0.024989,0.07864,0.029716366,0.006313901120546947,0.02596075,0.0269055,0.03210625,1000,0.040945,0.110779,0.049268955999999996,0.009690711016125906,0.04229025,0.045493,0.05501575,1000,0.006222,0.027396,0.007844826,0.0024331085618451145,0.00644875,0.006761,0.0082445,1000,0.016741,0.050965,0.020267073,0.004205721516656922,0.01756275,0.018385,0.0215865,1000,0.0,7.1,1.8999999999999997,2.654806960967219,0.0,1.2,1.2,5
BilateralLagrangianConstraint_PGS,0.043789,1.67024,0.10794886999999999,0.11944510059918365,0.05219525,0.0909725,0.125423,1000,0.192441,0.468802,0.219620227,0.03305697677446428,0.1987985,0.205522,0.233795,1000,0.002,0.023848,0.0027457365,0.0009868213693813841,0.00217,0.0022965,0.003145,4000,0.004035,0.026057,0.005401806249999999,0.0016757937014176111,0.004454,0.004676,0.005911,4000,0.014427,0.058052,0.01780000975,0.0036438479077967752,0.01528975,0.016342,0.018835,4000,0.014427,0.058052,0.01780000975,0.0036438479077967752,0.01528975,0.016342,0.018835,4000,0.020417,0.05806,0.023768765,0.004498215261164699,0.02102175,0.021358,0.025784,1000,0.025675,0.087586,0.028748358,0.0043274111930617365,0.026305,0.026928,0.029816,1000,0.50141,2.37392,0.617839027,0.16589116761311395,0.52380175,0.562534,0.67797525,1000,0.090883,0.211419,0.107444807,0.019151945558656725,0.093721,0.097785,0.11797175,1000,0.025252,0.065648,0.029773197,0.005630855623277069,0.026424,0.026935,0.031899,1000,0.041188,0.113771,0.049207997,0.00994288391609753,0.042225,0.0452915,0.054742,1000,0.006092,0.025279,0.007710603,0.0020261990853297214,0.00634775,0.0069465,0.00835475,1000,0.016667,0.059454,0.020188352,0.003943247689671041,0.0174655,0.0184805,0.02156675,1000,0.0,3.6,0.96,1.3994284547628721,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.024567,1.725252,0.077505246,0.11541309206330745,0.05181225,0.065157,0.07659925,1000,0.194668,0.319422,0.206855566,0.014698761795799127,0.19894925,0.20221,0.20634025,1000,0.00199,0.021395,0.00254279975,0.0009138490412261412,0.002142,0.002234,0.003003,4000,0.00419,0.024861,0.005024325,0.0014021213935943636,0.004406,0.004518,0.00577825,4000,0.014432,0.050851,0.016803893,0.0028356545909279927,0.015142,0.015864,0.018541,4000,0.014432,0.050851,0.016803893,0.0028356545909279927,0.015142,0.015864,0.018541,4000,0.020562,0.068829,0.021695744,0.002689072002841128,0.020992,0.021147,0.02131975,1000,0.025605,0.171892,0.027321741,0.005521222984803185,0.026209,0.026405,0.0267975,1000,0.519261,2.443269,0.581695716,0.13817724450938854,0.536751,0.564029,0.5876485,1000,0.102553,0.238121,0.126667731,0.01658582854483426,0.1152415,0.1252945,0.13183875,1000,0.025421,0.062781,0.027358491000000002,0.0035735209261901634,0.0261935,0.0264775,0.0268195,1000,0.046365,0.115901,0.049981731,0.007262548138128862,0.0473785,0.047834,0.04873575,1000,0.00944,0.076637,0.029803904,0.010217051971619992,0.02123475,0.0312685,0.03594825,1000,0.017065,0.04747,0.018982861,0.002993153627811142,0.01767,0.0179155,0.0184695,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040078,1.404715,0.080588592,0.09455030548451726,0.07184875,0.0746335,0.07575975,1000,0.05995,0.221183,0.08000954399999999,0.011184898624666385,0.07734975,0.0781825,0.08163525,1000,0.00293,0.019354,0.004223829,0.001100279431671337,0.00412975,0.0042005,0.004285,1000,0.005802,0.023894,0.007836669,0.001600399278129992,0.007686,0.007779,0.007864,1000,0.018591,0.055033,0.025278026999999998,0.003690389739075129,0.024835,0.0251685,0.0256265,1000,0.018591,0.055033,0.025278026999999998,0.003690389739075129,0.024835,0.0251685,0.0256265,1000,0.006336,0.031268,0.009846853,0.0022422756296653183,0.00961375,0.0098225,0.01001625,1000,0.009895,0.033196,0.012355964,0.001908186360580119,0.012067,0.0121905,0.01240475,1000,0.163414,1.713471,0.270856017,0.10567452004880225,0.26217925,0.2652245,0.27221425,1000,0.012872,0.108679,0.039560013,0.010554667347521238,0.04003925,0.0405805,0.0425915,1000,0.001971,0.01861,0.0030188710000000002,0.0007467888780364904,0.00294375,0.003025,0.003107,1000,0.00732,0.041619,0.017256158,0.004292578876740182,0.01737775,0.017556,0.01776625,1000,0.001923,0.080949,0.016686193,0.006556654567975273,0.017817,0.0180825,0.01824,1000,0.000996,0.015868,0.0013575969999999999,0.000669581931201104,0.00128275,0.001315,0.001353,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040143,1.40605,0.09504494599999999,0.0943457315933958,0.074291,0.0991005,0.10354025,1000,0.060086,0.155719,0.079415201,0.00977834615804733,0.07726675,0.0781145,0.0815355,1000,0.002913,0.023665,0.004192957999999999,0.0011967594128462079,0.00411075,0.004181,0.00424825,1000,0.00586,0.030469,0.007831216,0.0015633544919000297,0.007684,0.007783,0.00788225,1000,0.018186,0.058032,0.02510709,0.0038963701089475577,0.024644,0.02499,0.02530925,1000,0.018186,0.058032,0.02510709,0.0038963701089475577,0.024644,0.02499,0.02530925,1000,0.00632,0.027358,0.009549888000000001,0.001710967425597577,0.00945275,0.0095935,0.0098695,1000,0.009852,0.043345,0.012076587,0.0018599523269242683,0.0118835,0.0120065,0.012123,1000,0.164859,1.701605,0.273747098,0.1053690840511599,0.25044475,0.28085,0.2860555,1000,0.01284,0.084965,0.029591923,0.007013053470284609,0.0271105,0.0310785,0.03193675,1000,0.002056,0.018222,0.003048416,0.0007872019975482785,0.002957,0.0030435,0.00312725,1000,0.007318,0.052673,0.01604759,0.0038657191817176788,0.015813,0.0165085,0.0168035,1000,0.001945,0.025611,0.007883406,0.0030537707332352246,0.00631075,0.0094855,0.00983125,1000,0.000937,0.013764,0.00138703,0.0008001815163448853,0.001238,0.001305,0.001368,1000,0.0,18.3,4.14,7.100309852393767,0.0,1.2,1.2,5
FixedProjectiveConstraint,0.00895,0.149222,0.010671818,0.009401955075774187,0.009303,0.0094635,0.00971375,1000,1.125592,1.319451,1.160311448,0.04028445084681304,1.13212,1.138404,1.178497,1000,0.067362,0.123072,0.069299549,0.0047829081169931545,0.06777775,0.0680675,0.0696965,1000,0.037553,0.092151,0.040410828,0.004917514752638369,0.037922,0.0381505,0.04162725,1000,0.014856,0.046459,0.015957715,0.0022685888754410744,0.01534775,0.015518,0.01572025,1000,0.994809,1.152409,1.026042994,0.034781779701992886,1.00161225,1.007522,1.043406,1000,0.002915,0.018807,0.003315021,0.001053787616438436,0.00306,0.003115,0.00317825,1000,0.011092,0.033361,0.01176551,0.0012083927457163916,0.011443,0.01157,0.011682,1000,1.164201,1.505448,1.202198878,0.04359402607568055,1.17325975,1.179709,1.21925275,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000299,0.001422,0.00040671800000000003,0.00014834199835515226,0.000343,0.000361,0.000391,1000,2.569213,4.995097,2.720914629,0.2951114105719556,2.61477275,2.649677,2.70880475,1000,0.051887,0.144857,0.058357445,0.011596123931942733,0.052782,0.0536245,0.05751925,1000,0.044335,0.113865,0.04919981,0.009608467935206944,0.04477425,0.045307,0.04780325,1000,0.690639,2.088816,0.7328577759999999,0.10866960827139215,0.699621,0.7125915,0.732573,1000,1.770794,3.492721,1.871627805,0.19693841773785267,1.795603,1.826393,1.86927275,1000,0.00122,0.014181,0.001641898,0.000875371679685835,0.001351,0.0014105,0.00153825,1000,0.011738,0.039791,0.013554755,0.003629756120040987,0.012143,0.012318,0.01271225,1000,2.593126,5.053464,2.749662555,0.30201566003733143,2.64000425,2.676195,2.737576,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,2.4,0.48,0.9600000000000001,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000294,0.003146,0.000371148,0.00011512576642958777,0.000336,0.000351,0.000372,1000,2.614812,5.227645,2.699904901,0.20110313935751772,2.63746575,2.662784,2.69671725,1000,0.051911,0.124588,0.055398588000000006,0.006575295373917129,0.052937,0.053459,0.0542935,1000,0.044104,0.099446,0.046684742,0.005933994926812458,0.044584,0.04493,0.04542725,1000,0.690391,2.068496,0.7171336380000001,0.09250854969957618,0.6963175,0.699975,0.719326,1000,1.813937,3.03588,1.872634862,0.1212397725892001,1.82799125,1.8461025,1.8712705,1000,0.001238,0.012248,0.001545113,0.0006408547590765009,0.00135,0.001411,0.0015325,1000,0.011711,0.04396,0.012976765,0.0029177376081092354,0.01207175,0.0122755,0.012601,1000,2.640578,5.307369,2.727001606,0.2049040875285185,2.66364675,2.689918,2.72300325,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
