SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3
fallingBeamLagrangianCollision,0.334258,0.41691,0.36065914509803926,0.015730792013222358,0.3471085,0.361282,0.3690315,11.776237,13.386371,12.364490909803921,0.2651778418453705,12.164443,12.383677,12.55381,0.279513,0.423477,0.29801870196078434,0.01619258686128292,0.2854985,0.294861,0.305892,0.137316,0.275223,0.15552747843137255,0.018985460766910232,0.139455,0.145314,0.170856,3.557699,4.241756,3.6665037921568624,0.08114765867565814,3.624763,3.651959,3.698203,3.557699,4.241756,3.6665037921568624,0.08114765867565814,3.624763,3.651959,3.698203,0.024927,0.049452,0.02789656862745098,0.0029765430261406846,0.025987,0.026966,0.029252,0.055286,0.087321,0.06001430196078432,0.004631716644347489,0.056824,0.057676,0.0624985,39.860201,57.384203,48.712169298039214,3.430633152243167,47.669946,48.161681,48.625312,27.175539,44.175632,35.79468483921569,3.4517187888245893,35.0347325,35.270819,35.5260315,0.020814,0.059399,0.022938529411764705,0.0037465419389238583,0.021776,0.022244,0.0227765,21.816208,29.240722,23.23114631764706,2.5098814873280086,21.9071145,22.025848,22.1481185,4.839586,14.409128,12.121306439215687,1.797631742265461,12.6690055,12.822219,12.9200765,0.396599,0.501321,0.41547501176470586,0.01609826841168837,0.405073,0.409572,0.419903,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2
BilateralLagrangianConstraint_NNCG,0.046139,1.727605,0.108212206,0.11667502327580469,0.05376875,0.092884,0.12468125,0.131643,0.266777,0.148632302,0.01755096567271431,0.13617925,0.1407395,0.159881,0.001936,0.020869,0.0026741792500000004,0.0010517072487719371,0.002126,0.0022595,0.003084,0.004201,0.024883,0.00531586825,0.001589629760633569,0.004481,0.0046655,0.005926,0.000395,0.020284,0.00077648725,0.000760492524839947,0.000488,0.000553,0.00098,0.000395,0.020284,0.00077648725,0.000760492524839947,0.000488,0.000553,0.00098,0.022652,0.070371,0.025942453,0.004364635805859522,0.02327725,0.023986,0.0283255,0.029083,0.070326,0.031868607,0.004049358394925176,0.02972275,0.0301775,0.03329075,0.438494,2.376637,0.540214862,0.14856976190644905,0.46223875,0.5023665,0.5965135,0.087657,0.208333,0.102476966,0.016555574534302456,0.0906385,0.09389,0.11378075,0.025553,0.072919,0.030099966,0.005834966088405656,0.02663775,0.0274915,0.03258525,0.038779,0.13177,0.045734910000000004,0.008948532456995392,0.0398405,0.0412335,0.050382,0.005399,0.02657,0.006563342,0.0018480097415966184,0.005583,0.0056925,0.00699325,0.016298,0.054758,0.019496654,0.003694442955343065,0.017046,0.0177895,0.021026,0.0,1.2,0.7,0.5727128425310541,0.0,1.1,1.2
BilateralLagrangianConstraint_PGS,0.048049,1.646354,0.108881669,0.1168868892911666,0.0539965,0.093559,0.1259625,0.130841,0.321014,0.151221,0.02163083156926705,0.13614625,0.143355,0.16238225,0.001956,0.022285,0.0026463295,0.0009087068924739978,0.002147,0.00231,0.003097,0.004126,0.054363,0.0053751485,0.0019151380741209627,0.00439875,0.004719,0.005888,0.00038,0.015612,0.0007900335,0.0006978641611214535,0.000494,0.00056,0.001004,0.00038,0.015612,0.0007900335,0.0006978641611214535,0.000494,0.00056,0.001004,0.022788,0.062649,0.025886432,0.004299594454756867,0.023397,0.0237115,0.0278165,0.028937,0.130286,0.031955033,0.004987433898700914,0.02984075,0.030275,0.03317475,0.439117,2.351567,0.544487299,0.1517532624954653,0.46309875,0.505026,0.599856,0.08807,0.204191,0.10311834,0.016567901811466654,0.09095225,0.094718,0.11368275,0.025843,0.076649,0.030341280999999998,0.005168979702614337,0.0268605,0.027847,0.0328015,0.039002,0.104736,0.04596203,0.008957577117005469,0.0399545,0.0419645,0.05091975,0.005331,0.030479,0.006778195,0.0021528472725613865,0.0055985,0.0060935,0.00711725,0.016245,0.056409,0.019450469,0.004016286697067205,0.016978,0.0176335,0.0209145,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0
BilateralLagrangianConstraint_UGS,0.040774,1.665496,0.080855822,0.11636267989613472,0.05381675,0.0685755,0.08112975,0.129945,0.307552,0.140467268,0.015371301759193202,0.1332455,0.1353005,0.1389385,0.00191,0.020512,0.00248547975,0.0010066774317475968,0.002069,0.002167,0.00295,0.004085,0.050052,0.00502206225,0.001789260812004482,0.004339,0.004482,0.00573425,0.000382,0.015803,0.0007750855000000001,0.0007566148469926755,0.000481,0.000536,0.00102525,0.000382,0.015803,0.0007750855000000001,0.0007566148469926755,0.000481,0.000536,0.00102525,0.022911,0.058543,0.024435592,0.003660339446490721,0.023389,0.023591,0.023826,0.029291,0.07134,0.030973,0.004412672770555279,0.02978475,0.0299765,0.03019625,0.454296,2.37027,0.517390498,0.13994462997587293,0.4700505,0.4994835,0.5254605,0.099556,0.249618,0.12399842600000001,0.01869561505584997,0.11107825,0.121403,0.12849075,0.025892,0.113084,0.028091429,0.005304220174819197,0.026645,0.0269095,0.02726525,0.044322,0.134159,0.048272661,0.008546548642000405,0.04524325,0.045661,0.0465055,0.008415,0.093728,0.028279663,0.011255675812825768,0.019449,0.0289555,0.0337445,0.016502,0.059836,0.018798134999999997,0.0039407179917846195,0.01717775,0.0175045,0.0181955,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0
FrictionContact_LCP_with_friction,0.032308,1.501938,0.08339105499999999,0.09708785207982497,0.075134,0.075917,0.0786915,0.041972,0.129488,0.055070156,0.009143438551533226,0.05279975,0.053383,0.054121,0.002983,0.025324,0.004328905,0.0016375122033056731,0.004057,0.004139,0.00424325,0.005728,0.0348,0.007773405,0.0020752139169191693,0.007464,0.007567,0.007664,0.000832,0.018471,0.0011849200000000001,0.0010163490343381057,0.000974,0.001001,0.001036,0.000832,0.018471,0.0011849200000000001,0.0010163490343381057,0.000974,0.001001,0.001036,0.00715,0.032678,0.01048672,0.002347722994222274,0.010239,0.0103415,0.010458,0.011909,0.044415,0.015020585999999999,0.0028121545182660215,0.01456875,0.014707,0.014848,0.147411,1.793224,0.247182995,0.1092225050525164,0.237037,0.2397965,0.2455215,0.01232,0.11058,0.03769227,0.010703286144969685,0.03805975,0.0384195,0.03995975,0.001949,0.013622,0.003060644,0.0009401971821187297,0.002883,0.002946,0.00301525,0.007071,0.056396,0.016505787,0.004634082747171332,0.01622175,0.016383,0.0165515,0.001603,0.064661,0.016123023,0.006546192456265779,0.0170485,0.017228,0.017391,0.000991,0.018788,0.001468379,0.0009814335287522025,0.00128675,0.001325,0.0013635,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2
FrictionContact_LCP_without_friction,0.040634,1.488123,0.09833215,0.10027956870324833,0.075577,0.1034585,0.1050245,0.042022,0.126097,0.054363659,0.008381805013642288,0.05264075,0.0533,0.05408,0.002911,0.019994,0.004180518,0.0011144668616320538,0.0040475,0.004121,0.004191,0.005688,0.025624,0.007666287,0.0015297085763736177,0.007438,0.007568,0.007711,0.000809,0.01937,0.001169333,0.0009069990673153969,0.000986,0.001019,0.001053,0.000809,0.01937,0.001169333,0.0009069990673153969,0.000986,0.001019,0.001053,0.007166,0.034064,0.010452503,0.0023742490968706297,0.010272,0.010402,0.01054,0.011795,0.045909,0.014895825000000001,0.002872727405511181,0.01445525,0.014598,0.014738,0.147122,1.745915,0.2508729,0.11179226150866615,0.22511075,0.257155,0.26088125,0.012295,0.095962,0.027798626,0.007424817688679231,0.02513725,0.029142,0.02963825,0.001927,0.020394,0.003110351,0.0010398608982931322,0.00292775,0.002988,0.003063,0.007059,0.049255,0.01524719,0.004345105036003158,0.01454275,0.015344,0.0156075,0.001595,0.027008,0.0073878469999999995,0.002928702364801005,0.005781,0.008867,0.0091,0.000971,0.053819,0.001542664,0.0020299122717753098,0.001255,0.001328,0.001388,0.0,1.2,0.24,0.48,0.0,0.0,0.0
FixedProjectiveConstraint,0.009022,0.146133,0.010699862,0.009676518797736924,0.009347,0.009457,0.00973575,1.097576,1.237845,1.122509459,0.022070875126607895,1.102821,1.120054,1.13090375,0.066897,0.11118,0.068617715,0.005533578125388219,0.067183,0.067301,0.0675225,0.03712,0.084924,0.038751095,0.004535917476318875,0.03760675,0.0377905,0.038175,0.000684,0.018753,0.000923354,0.0006942542853191474,0.000824,0.000863,0.000913,0.982062,1.123652,1.00468228,0.018952218461583854,0.9874175,1.0032825,1.01467225,0.012463,0.042439,0.013145823000000001,0.0020601908668060344,0.012678,0.012751,0.01284425,0.013598,0.039133,0.014215110000000001,0.001930572940321085,0.01382675,0.013909,0.014009,1.146166,1.447868,1.17465515,0.028447008989197792,1.15419725,1.1706175,1.181937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0
FEMBAR_EigenSimplicialLDLT,0.000278,0.003446,0.00034939,0.00011312931494533147,0.000313,0.000335,0.000367,2.500117,5.063628,2.58205087,0.18872632776853657,2.5334125,2.5626615,2.58480875,0.051641,0.102116,0.053558108,0.005704071061122573,0.051887,0.0521645,0.052682,0.044186,0.082423,0.046219171999999996,0.005692744309945424,0.044576,0.044844,0.04505025,0.691018,2.141269,0.717641321,0.09870165020280036,0.696046,0.7000725,0.724833,1.696175,2.707046,1.75551261,0.10525877365086438,1.71709,1.739917,1.762914,0.001192,0.011188,0.001353611,0.0003459871640379163,0.00128275,0.001319,0.00136425,0.006042,0.024408,0.006666739,0.0013899654480881891,0.00632275,0.006472,0.00666,2.516303,5.110493,2.6003587940000004,0.19074374402937455,2.55148225,2.580716,2.6039785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FEMBAR_EigenSimplicialLLT,0.000267,0.009337,0.000342525,0.00028955302687936116,0.000308,0.000321,0.000346,2.617397,5.198397,2.696663192,0.1907467076102577,2.6407235,2.6706605,2.69856,0.051817,0.101745,0.053559153,0.00480636458517152,0.05210375,0.052308,0.05287225,0.043992,0.085351,0.045616805999999996,0.004503195655128034,0.044466,0.044661,0.0449155,0.689763,2.042924,0.715390114,0.09497679353715308,0.694938,0.697654,0.72025525,1.817472,2.972363,1.872925511,0.1104934437517081,1.83173025,1.8499095,1.87851925,0.001149,0.013529,0.001356371,0.0005272306889389122,0.00127175,0.001309,0.001356,0.005945,0.020935,0.006556647,0.0009851400399897468,0.006256,0.0064125,0.0066355,2.634683,5.243637,2.714644251,0.19286399153144165,2.65869375,2.688063,2.715821,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0
FEMBAR_EigenSparseLU,0.000316,0.01451,0.00042548,0.0004657253564065414,0.00036675,0.000398,0.00042825,3.34566,6.076189,3.450983327,0.19806659089519382,3.39353675,3.4238715,3.46095625,0.0531,0.107133,0.056836254,0.004287370471219393,0.05428425,0.0555625,0.059016,0.044733,0.099475,0.047778642,0.004398868141901505,0.0459005,0.0468385,0.0483495,0.69483,1.99606,0.7250762049999999,0.0895992329365323,0.70327775,0.710776,0.73011575,2.535332,3.935956,2.609908726,0.11863355539719328,2.56677425,2.592412,2.61849775,0.001356,0.014357,0.001704686,0.0004489932064118566,0.001539,0.001677,0.00179325,0.006995,0.02271,0.008183741,0.001472470034302566,0.0076185,0.0079865,0.008293,3.365942,6.126357,3.4729220499999998,0.2001431596450888,3.4165125,3.4458195,3.48175975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
