SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.322977,0.40524,0.337241905882353,0.011970642881116296,0.33009,0.33566,0.340047,255,11.517418,13.408494,12.109793125490196,0.2976790717234341,11.957286,12.103447,12.2898045,255,0.285344,0.368934,0.2993268156862745,0.014160722343425743,0.288684,0.295877,0.3059435,255,0.136965,0.212932,0.1515095843137255,0.018733413340343133,0.138358,0.139381,0.172043,255,3.595795,3.997989,3.7457949215686273,0.06752097651215237,3.709154,3.747923,3.7922615,255,3.595795,3.997989,3.7457949215686273,0.06752097651215237,3.709154,3.747923,3.7922615,255,0.02529,0.05416,0.027431917647058823,0.002506294760117122,0.026184,0.026638,0.0283075,255,0.051291,0.074348,0.0542238,0.002167386530308958,0.0528385,0.053414,0.0557935,255,39.725853,48.943713,47.12108871764706,1.6969476227638314,47.3397155,47.670222,47.942161,255,27.10233,35.751241,34.48438998039216,1.7183750996996323,35.0266565,35.134461,35.2499865,255,0.020524,0.032895,0.02194020392156863,0.0010815344897568643,0.021378,0.021703,0.022259,255,21.75637,27.370301,21.959325125490196,0.42725478198132977,21.8614975,21.904518,21.9761875,255,4.874966,13.21371,12.088585219607843,1.7868327365246925,12.733933,12.799976,12.8676645,255,0.392587,0.525898,0.41253038823529414,0.021487318014611272,0.4009095,0.405853,0.412164,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,8.908554,31.77634,9.312584246153847,0.6517046416633614,9.072354,9.182526,9.4653215,1755,8.621973,31.384367,9.02161450997151,0.6425023829838397,8.786779,8.885806,9.1642105,1755,0.004863,0.662091,0.1694406962962963,0.164584886788695,0.029665,0.126313,0.2657385,10530,0.006122,0.360322,0.07646289496676165,0.07389877246351795,0.014989,0.058889,0.10533875,10530,0.038206,16.27693,1.1542446033238365,1.2023443347449885,0.09190225,0.875893,1.699098,10530,0.038206,16.27693,1.1542446033238365,1.2023443347449885,0.09190225,0.875893,1.699098,10530,0.09351,0.208459,0.10671846210826211,0.012562145224874748,0.0989935,0.101566,0.1124795,1755,0.128457,0.242343,0.1404000774928775,0.01254994018100092,0.133293,0.135399,0.142291,1755,23.858716,64.742534,30.73911271168091,3.963673755174286,28.2440005,30.172919,32.2832325,1755,14.214331,55.000943,20.850396654131053,3.829348986225328,18.4303315,20.261191,22.4406515,1755,0.073124,0.385021,0.08497174415954416,0.013961848831852159,0.0789605,0.081741,0.085402,1755,13.445526,53.966972,20.004144363532763,3.7362325732797217,17.668228,19.441916,21.5840415,1755,0.105517,0.69385,0.26523901823361823,0.10766377791288963,0.202595,0.24117,0.291995,1755,0.434155,0.956779,0.4936701378917379,0.034765634324001864,0.472183,0.486611,0.5101445,1755,0.0,2.4,0.96,0.8979977728257458,0.0,1.2,1.2,5
BilateralLagrangianConstraint_NNCG,0.023001,1.751531,0.089674639,0.11986265897409701,0.037497,0.075734,0.10513,1000,0.19576,0.357799,0.217089101,0.02139055134279617,0.20162125,0.206897,0.2326635,1000,0.001996,0.019217,0.0027102725,0.0009215142007824676,0.002176,0.002311,0.00314025,4000,0.004129,0.029574,0.00519950625,0.0012888287564532914,0.004421,0.004588,0.005862,4000,0.014947,0.045065,0.018032205000000003,0.0027457707815793726,0.015979,0.017018,0.0194715,4000,0.014947,0.045065,0.018032205000000003,0.0027457707815793726,0.015979,0.017018,0.0194715,4000,0.020282,0.05168,0.022879379000000002,0.0033264560483131293,0.02073,0.0209965,0.0248195,1000,0.025523,0.053505,0.028046083,0.002926497339160075,0.02634175,0.0266825,0.02939075,1000,0.485959,2.451799,0.58976461,0.15236914597434711,0.5040875,0.549842,0.654968,1000,0.090255,0.195238,0.104709504,0.015566506845146216,0.0934845,0.096986,0.115777,1000,0.025085,0.062484,0.029146461,0.004524669284321121,0.02628675,0.026928,0.03149625,1000,0.041007,0.114024,0.04812879,0.008638727506056664,0.0423005,0.043518,0.05335975,1000,0.006306,0.022593,0.007561433,0.0017420879631956016,0.00652,0.0066715,0.00810625,1000,0.016514,0.040416,0.019324705999999997,0.002971401202726417,0.017096,0.0176915,0.021044,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.035216,1.804862,0.08999302899999999,0.121022542601088,0.03721475,0.075729,0.106794,1000,0.196898,0.342714,0.218817557,0.021221014788288306,0.20286625,0.208473,0.23498325,1000,0.002,0.022685,0.00273405375,0.0009985705500168416,0.00218075,0.0023285,0.003139,4000,0.004154,0.02662,0.0052621925,0.0012927972485829902,0.004461,0.00463,0.005871,4000,0.015205,0.055029,0.018182452249999998,0.002703807553473423,0.016026,0.017257,0.01949825,4000,0.015205,0.055029,0.018182452249999998,0.002703807553473423,0.016026,0.017257,0.01949825,4000,0.020323,0.050994,0.022999005,0.0033499785642560464,0.0207765,0.0210715,0.02478475,1000,0.026053,0.060177,0.028239249,0.00258141562577571,0.026626,0.02696,0.02975275,1000,0.489305,2.519472,0.593384616,0.15365778146560802,0.50522375,0.5516325,0.658997,1000,0.090426,0.200673,0.10534743099999999,0.015895729522335204,0.09353,0.0972375,0.11700025,1000,0.025339,0.063633,0.029313117,0.004562464682527526,0.02635375,0.0269285,0.032092,1000,0.041184,0.110678,0.048420577,0.008907363916337483,0.04228725,0.044291,0.0536655,1000,0.006161,0.020528,0.00757718,0.0017385805295125104,0.00637875,0.006853,0.0080525,1000,0.016476,0.041263,0.019490665,0.0032292880362047296,0.01714475,0.0178305,0.0211325,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.03128,1.60266,0.061929568,0.11136316620447434,0.036881,0.050025,0.06170075,1000,0.197192,0.315247,0.20862020199999998,0.012817161549781448,0.20281575,0.205663,0.208762,1000,0.001983,0.01816,0.002510107,0.0007761271851642615,0.002148,0.002214,0.00297625,4000,0.004274,0.02115,0.00504531125,0.0010284588578905029,0.004518,0.0046465,0.00574125,4000,0.015062,0.049903,0.01745695975,0.002397989710180162,0.01590875,0.0167135,0.019122,4000,0.015062,0.049903,0.01745695975,0.002397989710180162,0.01590875,0.0167135,0.019122,4000,0.020255,0.04376,0.021191348000000002,0.00198555333972573,0.02068975,0.020796,0.02093925,1000,0.026018,0.169957,0.027429205999999998,0.0052308433273769534,0.026404,0.026543,0.02675025,1000,0.50843,2.363419,0.564747116,0.13467750896930247,0.5215205,0.550254,0.56628875,1000,0.101637,0.217061,0.125936996,0.016256283827307642,0.11457775,0.124391,0.13151375,1000,0.025513,0.06233,0.027200367,0.00288463138690388,0.026329,0.026563,0.0268435,1000,0.046354,0.127972,0.049622226000000005,0.006527757558375159,0.04730375,0.0477295,0.04878525,1000,0.009266,0.081928,0.03008898,0.010782653158086837,0.02093875,0.030922,0.03624025,1000,0.016757,0.040361,0.018482061,0.0025659126526986456,0.01733575,0.01754,0.01799925,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.031564,1.46269,0.075036201,0.09652251995635319,0.068865,0.069312,0.07002125,1000,0.060709,0.149054,0.079104213,0.00847514878557486,0.07844,0.0789065,0.07981625,1000,0.002883,0.014789,0.00412246,0.0006984435656515135,0.00407375,0.00417,0.004249,1000,0.005942,0.034018,0.007855706,0.0016127949632746253,0.007739,0.007829,0.007902,1000,0.0194,0.053083,0.025859471000000002,0.0027121588001367105,0.02590775,0.0260885,0.026302,1000,0.0194,0.053083,0.025859471000000002,0.0027121588001367105,0.02590775,0.0260885,0.026302,1000,0.006132,0.027886,0.009500329,0.0017807382358895427,0.009451,0.009572,0.00968,1000,0.01015,0.039633,0.012383281000000001,0.001483705389906972,0.01226975,0.012371,0.012482,1000,0.159882,1.724877,0.26251290899999996,0.10630924292169858,0.258196,0.2610135,0.263502,1000,0.012913,0.121926,0.03931757,0.01020462889149331,0.040365,0.040797,0.04158325,1000,0.002057,0.016045,0.003044218,0.0007845850817317393,0.002945,0.003015,0.003093,1000,0.007367,0.051688,0.017263887,0.0041479936359921045,0.017275,0.0174825,0.017717,1000,0.001894,0.07851,0.016788319,0.006362330599021007,0.01815975,0.0183855,0.01854425,1000,0.000961,0.014659,0.001481777,0.0008112356619817695,0.00132075,0.001367,0.001415,1000,0.0,1.2,0.96,0.48000000000000004,1.2,1.2,1.2,5
FrictionContact_LCP_without_friction,0.029561,1.404636,0.090056327,0.09427014323107859,0.0695085,0.09626,0.098988,1000,0.060541,0.13339,0.07855121000000001,0.007944868275679591,0.0776685,0.0785,0.07945825,1000,0.002928,0.021667,0.004129349,0.0009286089420197288,0.004092,0.004156,0.004217,1000,0.005816,0.024677,0.007700287,0.0012449260550856022,0.00761375,0.0077485,0.00784625,1000,0.0193,0.050078,0.025664532,0.0025575478378665768,0.0256865,0.025903,0.0261245,1000,0.0193,0.050078,0.025664532,0.0025575478378665768,0.0256865,0.025903,0.0261245,1000,0.006128,0.034623,0.009431031000000001,0.0017803981717691693,0.009363,0.0094995,0.00968325,1000,0.010208,0.022762,0.01225566,0.0011251960995310997,0.0121725,0.012292,0.0124085,1000,0.15884,1.663357,0.266551631,0.10464102540606547,0.24582275,0.2751505,0.2813115,1000,0.012709,0.084963,0.029400434,0.0070488187639947165,0.027073,0.0311455,0.031743,1000,0.002044,0.01708,0.003114741,0.0008008266103964078,0.00294,0.0030285,0.0031605,1000,0.007195,0.044166,0.016180143,0.003889489743211955,0.0158285,0.016545,0.01679225,1000,0.001913,0.028927,0.007903952,0.002913001259817098,0.00631375,0.0095575,0.00985525,1000,0.000929,0.020783,0.001439987,0.0009354758707903696,0.00125375,0.001321,0.00138,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.005231,0.12984,0.006447085,0.00859770658918848,0.005575,0.0056575,0.005775,1000,1.115942,2.015569,1.146041171,0.06221501912139672,1.12238325,1.130382,1.14524375,1000,0.066903,0.144258,0.06872553299999999,0.005684749128054025,0.06727975,0.0675185,0.067756,1000,0.037401,0.095846,0.038975063000000004,0.004699014529774407,0.0378095,0.037986,0.03820625,1000,0.015091,0.039245,0.016297751,0.0023830194680276953,0.01559525,0.0157515,0.0159655,1000,0.987355,1.795113,1.014064968,0.055721496599328485,0.993626,1.0008395,1.011201,1000,0.002716,0.015926,0.003039635,0.0007579775390966411,0.002875,0.002923,0.003006,1000,0.011081,0.028494,0.011709203999999999,0.0014263535860311776,0.011335,0.0114345,0.01158425,1000,1.151878,2.082836,1.184313064,0.06653565521737878,1.1588515,1.1669955,1.1838545,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000312,0.000839,0.000371332,4.624943000729846e-05,0.000347,0.000363,0.000386,1000,2.567246,4.972074,2.6271539610000003,0.18553842300021167,2.5761675,2.5933775,2.62520575,1000,0.05214,0.088756,0.054039329,0.0033427361293944515,0.05282225,0.0531675,0.05378475,1000,0.044581,0.084134,0.046081216,0.003693625033127212,0.04495775,0.0451815,0.045517,1000,0.689541,2.123867,0.7114106570000001,0.09673907340188528,0.69594075,0.698125,0.70629825,1000,1.768546,2.755744,1.8079162919999998,0.10431031533638817,1.77306225,1.7781795,1.80733975,1000,0.001269,0.002896,0.0014358530000000002,0.00012585199001605022,0.001367,0.001404,0.00147325,1000,0.011806,0.031507,0.012366862999999999,0.0010810052933408793,0.01210375,0.012253,0.01239125,1000,2.590969,5.030609,2.6528602340000003,0.187710509493228,2.60169375,2.6181475,2.650968,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000301,0.000811,0.000378451,4.8225652914190805e-05,0.000352,0.0003705,0.000396,1000,2.610844,4.90096,2.662518151,0.17583399304519648,2.6214775,2.6281985,2.65867,1000,0.051553,0.098934,0.053240322,0.0030629975984835514,0.052373,0.052605,0.05296425,1000,0.042906,0.073918,0.045068993,0.0023388762778203983,0.04452225,0.044789,0.04504525,1000,0.690552,1.973513,0.710752611,0.0877019879039448,0.696457,0.6992995,0.707013,1000,1.810022,2.788798,1.845971929,0.10379080760540385,1.81594225,1.820963,1.83930425,1000,0.001276,0.010778,0.0014440319999999998,0.00033784964551705543,0.00136475,0.001402,0.00146,1000,0.011902,0.036928,0.012446157999999999,0.0009711010611857038,0.01216875,0.012304,0.012526,1000,2.63493,4.956049,2.688264135,0.17794558949596578,2.64639475,2.6539615,2.684421,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
