SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.330967,0.57602,0.3628076352941177,0.02728048054785494,0.347884,0.352549,0.370141,255,11.73458,14.874959,12.417097674509805,0.5303919200083399,12.159703,12.329222,12.470097,255,0.283991,0.463901,0.29895605490196075,0.02101423330901257,0.2876315,0.290321,0.300957,255,0.139025,0.267335,0.1478409843137255,0.017372172344313715,0.140724,0.141465,0.1457835,255,3.546765,5.260896,3.729338529411765,0.18510300930962875,3.630836,3.692274,3.76036,255,3.546765,5.260896,3.729338529411765,0.18510300930962875,3.630836,3.692274,3.76036,255,0.025619,0.073695,0.028112454901960782,0.004776603477503602,0.026507,0.026879,0.0274275,255,0.058206,0.100876,0.06185722352941176,0.0056112809855730994,0.0596885,0.060276,0.0609865,255,40.041829,62.960421,48.49176825490196,3.2180409315897416,47.6333505,47.985998,48.406113,255,27.233062,47.428284,35.52695558039216,2.9676879471390207,35.104017,35.200713,35.4438675,255,0.020833,0.045458,0.02267863529411765,0.0029296478936409933,0.0215945,0.022009,0.022518,255,21.789481,31.973055,22.792773796078432,2.228737867223819,21.873301,21.9045,21.989487,255,4.900779,15.689778,12.284581611764708,1.8528205597867653,12.763292,12.857034,12.9723855,255,0.40068,0.60583,0.42438176470588235,0.030628817092755955,0.4068705,0.414067,0.4307265,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.684043,18.396517,9.226420777777777,0.8627473568537718,8.8519365,9.010318,9.2807695,1755,8.374982,17.999574,8.9033020022792,0.8522056175441147,8.541831,8.686314,8.950262,1755,0.004722,0.93737,0.1762741901234568,0.17233673284316037,0.02875075,0.1222975,0.2838185,10530,0.006091,0.528602,0.08328885289648623,0.08116510777108268,0.01406325,0.0647795,0.1374905,10530,0.033632,7.343205,1.191127795251662,1.2447775814104396,0.09139225,0.899232,1.727957,10530,0.033632,7.343205,1.191127795251662,1.2447775814104396,0.09139225,0.899232,1.727957,10530,0.095048,0.263883,0.11411582678062679,0.01826246817061745,0.1021195,0.111382,0.1181615,1755,0.147375,0.507774,0.16418372022792022,0.018192965028634656,0.1540805,0.159326,0.164386,1755,23.892681,64.096001,30.996964094586893,4.261565576710224,28.1228215,30.330154,32.7731825,1755,14.443165,47.915255,21.21190995099715,3.9671686534160253,18.509092,20.681944,22.940663,1755,0.075262,0.194232,0.08872404786324786,0.014034270354814,0.0815615,0.083981,0.0896965,1755,13.662036,45.921012,20.332853853561254,3.853809621069656,17.6753575,19.834025,22.047336,1755,0.10261,1.704689,0.27390432250712254,0.12344991168839772,0.205606,0.244468,0.300148,1755,0.436481,1.469591,0.5142061527065527,0.05621402557791682,0.485292,0.504316,0.529118,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.038325,1.874885,0.108615895,0.12252793730183323,0.053656,0.0932435,0.12491375,1000,0.125024,0.291959,0.14389913399999998,0.019828623160977266,0.1299255,0.1348775,0.15529075,1000,0.00192,0.019891,0.0026140075,0.0009571143865514456,0.002106,0.002239,0.00306,4000,0.003974,0.02889,0.00524062575,0.0017965488593931808,0.004291,0.0045095,0.005735,4000,0.000392,0.016703,0.00077363925,0.0008047791343650986,0.000491,0.00054,0.000922,4000,0.000392,0.016703,0.00077363925,0.0008047791343650986,0.000491,0.00054,0.000922,4000,0.019919,0.063466,0.023112928,0.004306112524170264,0.020672,0.0210395,0.02483075,1000,0.025906,0.067966,0.028530318,0.004450227856062654,0.026413,0.0267555,0.02955525,1000,0.421156,2.469639,0.527789866,0.15246821985450623,0.44942475,0.486243,0.5853705,1000,0.087761,0.200858,0.103764755,0.016799242680995325,0.09095375,0.0952935,0.114839,1000,0.025413,0.085877,0.029600142,0.0056509373011772125,0.02620775,0.0268915,0.03212675,1000,0.039537,0.104918,0.047250667999999996,0.009447071139764746,0.04068975,0.0434055,0.05273025,1000,0.005497,0.02775,0.006752069,0.0017837000522058074,0.0057825,0.005945,0.007262,1000,0.016324,0.051294,0.019622288,0.003904497799084538,0.01707675,0.01782,0.02108975,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
BilateralLagrangianConstraint_PGS,0.037253,1.726013,0.11075194199999999,0.12337063766773128,0.0538685,0.095517,0.1275785,1000,0.125806,0.325554,0.145667285,0.022392950198171186,0.12965075,0.1353145,0.1558615,1000,0.001856,0.0212,0.0026675792499999997,0.001245522082991481,0.00207775,0.002201,0.003078,4000,0.004032,0.026232,0.0053094475,0.0018855483203152738,0.004284,0.0044635,0.00577225,4000,0.000399,0.010884,0.00079773775,0.0008247010421813092,0.000506,0.000556,0.00095,4000,0.000399,0.010884,0.00079773775,0.0008247010421813092,0.000506,0.000556,0.00095,4000,0.019943,0.06627,0.023402605,0.004817716601770491,0.02060225,0.0210565,0.02537575,1000,0.025778,0.079782,0.029277872,0.005714765147196865,0.02641175,0.0269645,0.02983625,1000,0.419976,2.448256,0.536879004,0.15918144579798862,0.4513565,0.4950755,0.591008,1000,0.087489,0.237232,0.105748068,0.01983794546669024,0.090782,0.0965705,0.11713175,1000,0.024901,0.064638,0.029978374,0.006237478268990121,0.02604875,0.0271205,0.03215225,1000,0.039375,0.144096,0.048232551,0.011149939029223387,0.04056675,0.0437315,0.05267275,1000,0.005429,0.025762,0.0069789380000000005,0.002337720080795817,0.00568,0.006176,0.00729925,1000,0.01624,0.056286,0.020004446,0.0047192862101258495,0.01705375,0.017932,0.02119425,1000,0.0,2.4,0.72,0.96,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.045462,1.728357,0.08234824099999999,0.12020929871923769,0.0535655,0.0675595,0.08186725,1000,0.126875,0.290101,0.14304345499999999,0.02067901030760358,0.1315495,0.134417,0.1476875,1000,0.00191,0.018374,0.002580499,0.001200473051758764,0.002084,0.002189,0.002992,4000,0.004023,0.026712,0.0050958737499999995,0.0018622074426096942,0.004275,0.004422,0.005671,4000,0.000384,0.01339,0.000821082,0.0008504700490176007,0.000506,0.000561,0.001008,4000,0.000384,0.01339,0.000821082,0.0008504700490176007,0.000506,0.000561,0.001008,4000,0.02025,0.067436,0.022288459,0.004225573645118376,0.020708,0.0210055,0.02159875,1000,0.026054,0.078047,0.028397725999999998,0.00498735091555868,0.026585,0.026853,0.027344,1000,0.440651,2.511654,0.520523922,0.14671776772411688,0.47702425,0.4961725,0.52676075,1000,0.100167,0.332342,0.127656059,0.02146741315495463,0.11358525,0.1238655,0.1328555,1000,0.025199,0.070461,0.0281793,0.0054064748934957605,0.0260555,0.026443,0.027051,1000,0.045207,0.128946,0.050638696000000004,0.00957048699511075,0.046267,0.047287,0.04957025,1000,0.00934,0.097344,0.028676445,0.011059043630756459,0.019719,0.0291775,0.03399325,1000,0.016822,0.059491,0.019579968,0.004822759735978561,0.01742975,0.0177625,0.0198895,1000,0.0,11.9,2.38,4.76,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.03982,1.454656,0.08255391899999999,0.09647476094217824,0.07441225,0.075151,0.07799,1000,0.040152,0.14044,0.052411861,0.007688166806442158,0.05098575,0.051379,0.0520355,1000,0.002893,0.019522,0.004087183,0.0009657025564380577,0.004015,0.004077,0.00414,1000,0.005747,0.051291,0.007591082999999999,0.0020868460671815254,0.007361,0.00744,0.007526,1000,0.000753,0.02232,0.0010537580000000001,0.0007654272411117859,0.000969,0.000997,0.001025,1000,0.000753,0.02232,0.0010537580000000001,0.0007654272411117859,0.000969,0.000997,0.001025,1000,0.006199,0.036597,0.009415136000000001,0.0020386907218859856,0.00927225,0.009401,0.009537,1000,0.009813,0.041806,0.012402399,0.002264697641143073,0.0121325,0.0122605,0.01237125,1000,0.14019,1.681237,0.238632549,0.10658785205759426,0.2304535,0.2331205,0.2374295,1000,0.012039,0.171879,0.038302565000000004,0.011692575622324407,0.038418,0.0391025,0.04016925,1000,0.001887,0.013649,0.003072654,0.0010185463574545832,0.00288075,0.002983,0.00311625,1000,0.006724,0.148466,0.016934588,0.006320019629261921,0.01671775,0.016903,0.017122,1000,0.001631,0.056054,0.016113815,0.006416468500099957,0.017034,0.017292,0.0176175,1000,0.000911,0.016151,0.0014006700000000001,0.0007966271681909925,0.001249,0.001307,0.001358,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.039579,1.520406,0.095880496,0.09700178002722416,0.0743505,0.101743,0.10353,1000,0.040199,0.10518,0.05231735,0.0070187057421934994,0.0508815,0.051418,0.05215975,1000,0.002914,0.021252,0.004152232,0.001170497309768801,0.00403,0.004134,0.004212,1000,0.005736,0.026146,0.007646881,0.0017845752320479514,0.00741975,0.007524,0.007631,1000,0.000767,0.01702,0.001042494,0.0006007568110009241,0.000966,0.00099,0.001017,1000,0.000767,0.01702,0.001042494,0.0006007568110009241,0.000966,0.00099,0.001017,1000,0.006068,0.03611,0.00929435,0.002168524527760754,0.009124,0.009251,0.00939625,1000,0.009861,0.041742,0.012469555,0.0025247973077011546,0.01209975,0.012229,0.012345,1000,0.139948,1.748679,0.24160652900000001,0.10646484884660833,0.2178705,0.249145,0.25325375,1000,0.011861,0.079536,0.028145273000000002,0.007245530653200703,0.025525,0.029575,0.030139,1000,0.001893,0.018615,0.0029248290000000003,0.0009305734370585699,0.002818,0.002882,0.00295225,1000,0.00681,0.057058,0.015632891,0.004306075565653604,0.01506875,0.015856,0.016149,1000,0.001629,0.029946,0.0074824589999999995,0.003065149851527491,0.0058415,0.0089525,0.009172,1000,0.000859,0.011543,0.001356559,0.0006216591867888707,0.001211,0.001285,0.001343,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008532,0.170521,0.010458243,0.009192469083546106,0.008896,0.0090505,0.0095345,1000,1.111226,1.380903,1.181226324,0.04349393506663917,1.14203925,1.184794,1.20871575,1000,0.06686,0.120276,0.070433711,0.006393232627980856,0.067322,0.06964,0.070237,1000,0.03798,0.079537,0.040555462,0.00465644520321629,0.03861925,0.0402065,0.040514,1000,0.000667,0.011233,0.000856626,0.0004812770991061178,0.000777,0.000812,0.000861,1000,0.997731,1.196918,1.0609422320000002,0.03942366872918064,1.02573925,1.064929,1.08483825,1000,0.002624,0.020296,0.003037311,0.0011515556218780751,0.00275475,0.0028125,0.0029365,1000,0.01116,0.032656,0.011975032,0.001783049272167205,0.01151975,0.0116385,0.011763,1000,1.147252,1.617853,1.220886249,0.04735559110659478,1.18032025,1.224784,1.2494245,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,6.1,1.94,2.131290688761155,1.2,1.2,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000279,0.002926,0.000337807,9.376515211420499e-05,0.000311,0.000327,0.000348,1000,2.504029,4.957737,2.571398205,0.18629019985032216,2.51974475,2.5482345,2.57373775,1000,0.050719,0.115399,0.053249593,0.0040107653842316685,0.052241,0.05249,0.05301775,1000,0.042395,0.091072,0.045015574999999995,0.004298643087809803,0.04407075,0.04438,0.04460325,1000,0.686903,2.063191,0.710363906,0.09480773409992016,0.6933045,0.696369,0.7135355,1000,1.705535,2.747108,1.755064422,0.10661087235531803,1.71870325,1.7329115,1.76053275,1000,0.001133,0.009976,0.001347778,0.0003287065145627631,0.00126675,0.001317,0.001373,1000,0.011623,0.031872,0.012325467000000001,0.0011548729345304616,0.01201,0.0121685,0.012355,1000,2.526293,5.01378,2.59540979,0.18861717124096605,2.5429685,2.5719545,2.5979665,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000275,0.018155,0.00037689,0.0005727345440079548,0.000309,0.000325,0.000351,1000,2.622136,4.948718,2.757862758,0.271776847791484,2.66320175,2.6946575,2.7362055,1000,0.052151,0.138924,0.056781536,0.010088187255731528,0.0526975,0.053065,0.05400225,1000,0.043866,0.112154,0.047070938,0.006787539166012673,0.04453675,0.044758,0.04516725,1000,0.68931,1.97502,0.7332704350000001,0.09411540613832453,0.70259275,0.7185815,0.73478675,1000,1.816646,3.352477,1.911819135,0.19763759549896062,1.8426735,1.867091,1.89920725,1000,0.001156,0.011411,0.0015305630000000002,0.0007419216104353612,0.001313,0.001362,0.00143025,1000,0.01167,0.043395,0.013235941999999999,0.003057325895065163,0.012108,0.0122825,0.01256925,1000,2.644339,5.004728,2.7839162209999997,0.2756088828834335,2.686275,2.7187475,2.76064825,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,18.3,3.9,7.214984407467559,0.0,0.0,1.2,5
