SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.312161,0.646784,0.3645197333333333,0.02983194982327338,0.347744,0.356442,0.370571,255,11.721209,20.817318,12.426966690196078,0.714619074070305,12.159197,12.331088,12.5810015,255,0.283652,0.508347,0.30238996470588236,0.02660348969315222,0.2875255,0.294539,0.307132,255,0.138655,0.312143,0.15431602352941176,0.023011869925456147,0.140387,0.141862,0.169855,255,3.548481,5.451331,3.725607219607843,0.18594012927346837,3.6236805,3.699085,3.7701265,255,3.548481,5.451331,3.725607219607843,0.18594012927346837,3.6236805,3.699085,3.7701265,255,0.025514,0.054114,0.028234368627450983,0.003626432320868444,0.026467,0.026986,0.028868,255,0.05834,0.124348,0.06348049411764706,0.006620135858371695,0.0599355,0.060957,0.0642435,255,39.978167,66.858519,48.324542054901954,3.3717976066605067,47.6216555,47.936345,48.4739475,255,27.167625,53.562568,35.34140660392157,3.0320193771797137,35.0405265,35.186739,35.379603,255,0.020228,0.044526,0.02262376862745098,0.0032134108330185325,0.021459,0.021876,0.0223565,255,21.790008,30.092689,22.65543557254902,1.9433176572159863,21.8899825,21.929748,22.0604705,255,4.922555,24.505459,12.24221783137255,1.9712870605170143,12.712357,12.836922,12.926856,255,0.394108,0.604527,0.41841079999999997,0.02637497826861292,0.403823,0.410007,0.423592,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,8.675885,18.456614,9.223478607977208,0.8199710945768357,8.88417,9.071346,9.2576545,1755,8.380391,18.074788,8.901385525925924,0.8092158347941668,8.5675005,8.753806,8.927183,1755,0.004666,0.87628,0.17533009392212723,0.17117183780281878,0.0288135,0.1186505,0.28091525,10530,0.005942,0.430456,0.08333049240265908,0.08126584191237106,0.01456525,0.0639775,0.136505,10530,0.034171,7.398859,1.189181270845204,1.2403633579152569,0.092502,0.8919215,1.72356175,10530,0.034171,7.398859,1.189181270845204,1.2403633579152569,0.092502,0.8919215,1.72356175,10530,0.093892,0.233282,0.11191297037037037,0.01620528746676848,0.101056,0.104743,0.1176875,1755,0.147328,0.521873,0.162851705982906,0.01721094292280064,0.1528545,0.157121,0.1641545,1755,23.795258,50.752775,30.952526452991453,4.145130407173605,28.0461005,30.203817,33.5362675,1755,14.435047,35.85139,21.18031925128205,3.903677908080884,18.438751,20.605307,23.6327955,1755,0.074845,0.174161,0.08716127179487179,0.011477691237989352,0.081171,0.08364,0.0883975,1755,13.61138,34.581827,20.31433688888889,3.806046811751533,17.639941,19.761208,22.7129645,1755,0.101875,0.795267,0.2655395886039886,0.11229096851295639,0.1997775,0.238917,0.2911345,1755,0.43341,0.99846,0.5110524660968662,0.04800313386497321,0.483598,0.50302,0.527217,1755,0.0,8.4,1.6800000000000002,3.3600000000000003,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.032459,1.676302,0.10880096400000001,0.11943291104292278,0.054647,0.0947265,0.12523625,1000,0.126286,0.271046,0.144696206,0.018843405169224694,0.13086525,0.136149,0.15721,1000,0.001902,0.018807,0.0026400985,0.0011615019932388192,0.0021,0.00222,0.003069,4000,0.003981,0.030496,0.005260899,0.0017365243578190892,0.00433,0.004526,0.005802,4000,0.000386,0.017418,0.00078176325,0.0008511165770324518,0.000496,0.0005485,0.0009225,4000,0.000386,0.017418,0.00078176325,0.0008511165770324518,0.000496,0.0005485,0.0009225,4000,0.019923,0.056982,0.023074916,0.004239534815394727,0.02058775,0.0209855,0.0248155,1000,0.025843,0.060106,0.028441147,0.003802827248165633,0.02647375,0.026958,0.02957975,1000,0.422163,2.27847,0.5293790500000001,0.15035043432193837,0.4512435,0.4912915,0.58328,1000,0.087945,0.193755,0.104053419,0.01679487444357471,0.091315,0.096062,0.114771,1000,0.025351,0.076801,0.029637265,0.005709740286455681,0.02626875,0.0270395,0.03205925,1000,0.039798,0.099009,0.047481728,0.009041869285718302,0.040925,0.043791,0.05291925,1000,0.005611,0.018475,0.00687632,0.0018176924650776325,0.005877,0.006019,0.007346,1000,0.016299,0.060849,0.019515427,0.004146478027515762,0.01703575,0.017728,0.020875,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.037809,2.053892,0.112308978,0.12779124392882915,0.05539025,0.095831,0.12755975,1000,0.126536,0.411108,0.149535883,0.024507999718730845,0.1326575,0.1425435,0.158707,1000,0.001918,0.02486,0.00271411375,0.0013346228114380996,0.002106,0.0022215,0.00309225,4000,0.004008,0.022912,0.00541295025,0.0018422441692878112,0.004392,0.004655,0.005901,4000,0.000406,0.018221,0.00082800275,0.001046460492681132,0.000515,0.000568,0.00094825,4000,0.000406,0.018221,0.00082800275,0.001046460492681132,0.000515,0.000568,0.00094825,4000,0.020044,0.057775,0.023851558000000002,0.004996651623300948,0.02075075,0.021328,0.02600525,1000,0.025766,0.06397,0.02921841,0.005148829197390413,0.0265175,0.0270985,0.029838,1000,0.421778,3.023877,0.545542635,0.16808703695328137,0.4605275,0.506068,0.598213,1000,0.087864,0.243928,0.106984659,0.02033981733523482,0.09177025,0.100014,0.1168975,1000,0.025118,0.099911,0.030770637,0.007205715098949653,0.02652175,0.027398,0.03275125,1000,0.039807,0.11872,0.04842441,0.010800608087506,0.0408885,0.044013,0.05279775,1000,0.005448,0.024565,0.007042669,0.002374531175082568,0.00574375,0.006207,0.0073675,1000,0.016462,0.055831,0.020186874,0.004675824652841892,0.01719775,0.0183405,0.02124625,1000,0.0,8.5,1.94,3.312763197090912,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.036481,1.660819,0.078962803,0.11436059516660531,0.05258675,0.06684,0.0787835,1000,0.126275,0.26769,0.136152172,0.013118715595606758,0.12977,0.132416,0.1357555,1000,0.001914,0.026043,0.0024661952500000003,0.0009899163596624907,0.002065,0.002146,0.002957,4000,0.00399,0.024829,0.0049049095,0.001486985869741118,0.004262,0.004393,0.00564825,4000,0.000387,0.013418,0.00078326925,0.0007251604189794403,0.000504,0.000553,0.000976,4000,0.000387,0.013418,0.00078326925,0.0007251604189794403,0.000504,0.000553,0.000976,4000,0.020192,0.057473,0.021656853,0.0034965093072078326,0.02066675,0.020848,0.02105825,1000,0.025926,0.058136,0.027083813999999998,0.00282272971738422,0.026309,0.0264715,0.02670525,1000,0.437299,2.353785,0.498669429,0.13579098728431485,0.455115,0.483119,0.50238825,1000,0.099805,0.23822,0.12304317,0.017180649239219685,0.11057325,0.1208685,0.128201,1000,0.024893,0.060563,0.027046957,0.003663532242133403,0.02575975,0.0260935,0.02654425,1000,0.045002,0.135801,0.048954360999999995,0.008254150018668124,0.04585375,0.046293,0.0476425,1000,0.009144,0.082343,0.027966016,0.010400257778812216,0.01948975,0.028852,0.03352825,1000,0.016621,0.04756,0.018534555,0.003146816561062148,0.017244,0.017478,0.017926,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.039242,1.491267,0.081311,0.09690884367594116,0.07380075,0.0743535,0.07561375,1000,0.039728,0.110885,0.051943504,0.006970963358674609,0.0507935,0.0513675,0.0519635,1000,0.002828,0.019842,0.004054216,0.0008552648778852081,0.00400975,0.004082,0.00415625,1000,0.005662,0.02288,0.0074571310000000005,0.001303528383979037,0.00735775,0.007455,0.007539,1000,0.000751,0.010472,0.0010267750000000002,0.00046011203024372223,0.000959,0.000984,0.001011,1000,0.000751,0.010472,0.0010267750000000002,0.00046011203024372223,0.000959,0.000984,0.001011,1000,0.006126,0.039497,0.009338355,0.0018809215116466185,0.00920875,0.0093895,0.009569,1000,0.009886,0.033606,0.012418224,0.0019438694112064213,0.01218275,0.012304,0.01243,1000,0.138521,1.718476,0.235952817,0.1056854708803131,0.22902325,0.231652,0.23573725,1000,0.011847,0.08598,0.037628576999999996,0.010178943517972333,0.038126,0.0388515,0.04001525,1000,0.001841,0.015613,0.002950208,0.0008364405111757799,0.00282875,0.002916,0.003001,1000,0.006739,0.048736,0.016587613,0.004401567392558132,0.01655475,0.0168035,0.0171225,1000,0.001588,0.055626,0.015969526,0.006259547935859586,0.01693175,0.0172895,0.017549,1000,0.000914,0.011488,0.0013679100000000002,0.0007137136385834308,0.001231,0.0012805,0.001329,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.039744,1.512482,0.096050195,0.09794656001654664,0.0741905,0.1020715,0.10336225,1000,0.040331,0.129606,0.051917994,0.007425888978968376,0.0505145,0.050999,0.051563,1000,0.002909,0.023961,0.004102254,0.0011067059381262936,0.004011,0.004088,0.004159,1000,0.005715,0.023718,0.007534935,0.001632796731615727,0.00734875,0.0074355,0.007527,1000,0.000804,0.010263,0.001026309,0.0005405291810059842,0.00094,0.0009665,0.000996,1000,0.000804,0.010263,0.001026309,0.0005405291810059842,0.00094,0.0009665,0.000996,1000,0.006116,0.034165,0.009339281000000001,0.0019424273664770582,0.009191,0.009314,0.00944125,1000,0.009805,0.031862,0.012307432,0.0018494093877170627,0.012083,0.012206,0.01233425,1000,0.139139,1.7362,0.24094954999999998,0.1076443064665173,0.21729775,0.2478975,0.25216825,1000,0.011637,0.163768,0.027982046,0.008195646038835743,0.025403,0.0292985,0.02980775,1000,0.001907,0.021342,0.0029682759999999997,0.0011820139431597246,0.00281775,0.0028805,0.00295525,1000,0.006575,0.149636,0.01553746,0.005845788152028774,0.01497075,0.01565,0.015966,1000,0.001622,0.026848,0.007352862,0.0029241272573121715,0.00579675,0.00885,0.00909225,1000,0.000883,0.011441,0.0013751800000000002,0.0008247279997671959,0.001192,0.001258,0.001317,1000,0.0,11.9,3.34,4.346768914952807,1.2,1.2,2.4,5
FixedProjectiveConstraint,0.008349,0.129242,0.010107928,0.008295959327818334,0.00881275,0.0089935,0.009292,1000,1.111281,1.238567,1.138043728,0.021220444512545348,1.1208335,1.1350885,1.1503605,1000,0.066636,0.102135,0.068437897,0.004591941999458508,0.0671055,0.0673205,0.0674795,1000,0.037662,0.077915,0.039487079,0.004596791118460681,0.038286,0.038513,0.0387485,1000,0.000648,0.009827,0.0008650660000000001,0.00035009701461737714,0.000786,0.000838,0.00088925,1000,0.996402,1.104884,1.020954048,0.01866089661725009,1.005703,1.0198115,1.0338295,1000,0.002548,0.015914,0.002968726,0.000752042523348248,0.002755,0.0028315,0.00292025,1000,0.011156,0.033386,0.011792179,0.0014355124976672966,0.01146,0.011603,0.0117835,1000,1.148135,1.412993,1.1767699790000001,0.026324628016489788,1.1585585,1.173087,1.1886005,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000267,0.009188,0.000347073,0.000288909576980411,0.000303,0.00032,0.000354,1000,2.506856,5.023498,2.606204341,0.2199594316663887,2.54024025,2.572034,2.60257575,1000,0.051865,0.119813,0.054590718,0.006180983381346045,0.05251575,0.0528245,0.05340525,1000,0.043815,0.098305,0.045637514000000004,0.004787138151944646,0.044278,0.0444165,0.04465125,1000,0.687293,2.083344,0.7164548199999999,0.09895298339827659,0.69314425,0.6998795,0.717337,1000,1.70882,3.090433,1.7816218359999998,0.14126991164532915,1.734721,1.7558415,1.7832185,1000,0.001181,0.01181,0.001388087,0.0004844652468763884,0.00126675,0.001318,0.00140825,1000,0.011426,0.043137,0.012419929,0.002537879532987923,0.0117985,0.0119195,0.01207025,1000,2.528357,5.077287,2.63059617,0.2228325609405616,2.5641235,2.596302,2.62647975,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,10.7,2.62,4.075487700877036,0.0,1.2,1.2,5
FEMBAR_EigenSimplicialLLT,0.000269,0.008998,0.000346715,0.00028545289589527724,0.00030575,0.00032,0.000334,1000,2.611905,4.984003,2.705293469,0.18446271393166436,2.63676225,2.6736295,2.71321925,1000,0.052176,0.114518,0.054826962,0.006494130174592745,0.05255775,0.0527885,0.05325825,1000,0.043824,0.107238,0.046184686,0.0058501419281419146,0.044348,0.044529,0.04480625,1000,0.688899,1.935603,0.722227164,0.08722285160525942,0.6951635,0.7087255,0.7291015,1000,1.813137,2.912711,1.874180086,0.11119753999948292,1.82422725,1.851305,1.87800675,1000,0.001144,0.011986,0.0014402899999999999,0.0006383253292013407,0.001272,0.001334,0.001414,1000,0.011461,0.040476,0.012681678,0.0026981468989504633,0.01185175,0.01199,0.0122055,1000,2.634684,5.037883,2.72999396,0.18743770457350462,2.66070275,2.696939,2.7368955,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,3.6,0.96,1.3994284547628721,0.0,0.0,1.2,5
