SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.333479,0.46528,0.35886466666666667,0.017571457038101024,0.347649,0.35275,0.36408,255,11.501284,13.52871,12.096171592156862,0.3067773273219109,11.9211565,12.130268,12.229099,255,0.282742,0.435888,0.2989281058823529,0.023787864932515744,0.28508,0.287069,0.3020975,255,0.136762,0.250735,0.14608265098039216,0.0169985757956985,0.137944,0.138776,0.144565,255,3.560274,3.997314,3.6804746666666666,0.07588314004450777,3.617715,3.683089,3.7311815,255,3.560274,3.997314,3.6804746666666666,0.07588314004450777,3.617715,3.683089,3.7311815,255,0.022871,0.054808,0.024744176470588235,0.0038495135476020676,0.023539,0.023869,0.024339,255,0.053281,0.094431,0.05669449803921569,0.005690039065908491,0.0546445,0.055172,0.0560855,255,39.667108,54.187247,47.25751660392157,2.0029990872919745,47.3611335,47.74496,48.0488535,255,27.207109,41.402478,34.62524821568628,1.9979178867628886,35.0800225,35.220038,35.362003,255,0.020282,0.056106,0.02228678431372549,0.0029382548102487673,0.0213825,0.021752,0.022246,255,21.74295,27.980684,21.996521807843138,0.7203308933160104,21.849434,21.879577,21.9277805,255,4.880895,13.367492,12.183502572549019,1.8034535337625415,12.780915,12.897907,13.0034205,255,0.394783,0.534239,0.4201188156862745,0.024852212712812738,0.4054285,0.411601,0.423869,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,9.068988,13.60022,9.47740921994302,0.29000694315280984,9.2620955,9.403436,9.6316955,1755,8.755575,13.239766,9.164716035327636,0.2861665728480289,8.9533735,9.088974,9.315564,1755,0.004642,0.580575,0.17524284188034187,0.1700807752987981,0.030117,0.1204495,0.2777615,10530,0.006044,0.343936,0.08029964501424502,0.07762700063033616,0.01405325,0.075802,0.1218285,10530,0.034397,5.477692,1.1610852791073125,1.1946153220806361,0.088517,0.8871055,1.74998975,10530,0.034397,5.477692,1.1610852791073125,1.1946153220806361,0.088517,0.8871055,1.74998975,10530,0.096289,0.182053,0.1098591225071225,0.011235726795476955,0.102539,0.105439,0.1173405,1755,0.121632,0.220665,0.1329665829059829,0.009670409001349582,0.127009,0.129454,0.13656,1755,24.136845,43.298489,30.821078774358973,3.6414080972746232,28.421183,30.265749,32.5204645,1755,14.410348,33.482293,20.86193483247863,3.632052386157669,18.5245785,20.298031,22.6406575,1755,0.07077,0.187281,0.08107756296296297,0.00875956813008055,0.076675,0.079112,0.082015,1755,13.593302,32.344952,20.036964524216526,3.5432887395481325,17.754317,19.47986,21.7919235,1755,0.099323,0.627393,0.2522670695156695,0.10316264132656924,0.1948055,0.225132,0.2790095,1755,0.429415,0.647756,0.48938314245014247,0.029065072776031445,0.4704725,0.483939,0.5032965,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.042293,1.873234,0.107751672,0.12420023282700567,0.05363125,0.092921,0.1232785,1000,0.124876,0.288329,0.14539715,0.01877098846218547,0.130428,0.143102,0.15734675,1000,0.001859,0.021366,0.00265875725,0.0010604917365649,0.00209,0.0023145,0.003062,4000,0.003931,0.030825,0.005188757499999999,0.0016778117694466652,0.004205,0.004841,0.005762,4000,0.000362,0.018202,0.000736822,0.0007085647601426422,0.000459,0.000507,0.00095225,4000,0.000362,0.018202,0.000736822,0.0007085647601426422,0.000459,0.000507,0.00095225,4000,0.020322,0.08902,0.02335994,0.004242594495635896,0.020823,0.021745,0.024976,1000,0.027439,0.074725,0.030398204,0.004507308389314403,0.02810375,0.0286315,0.0315975,1000,0.421383,2.532733,0.526563213,0.15499459014231312,0.45274375,0.486997,0.5796895,1000,0.085847,0.210159,0.10097873,0.01564176808289587,0.08878725,0.09353,0.1114525,1000,0.025125,0.063764,0.029439794999999998,0.005239770372542579,0.02606775,0.027359,0.03167825,1000,0.038063,0.096666,0.045115593,0.008366235025825595,0.03890875,0.041435,0.05020075,1000,0.005259,0.021773,0.006436152,0.0016751348766281479,0.005449,0.0056285,0.006978,1000,0.016104,0.073277,0.019427972,0.004333038301609622,0.01680625,0.0176575,0.020833,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.036893,1.782354,0.10864713499999999,0.12378239823661026,0.05398675,0.094377,0.12511575,1000,0.126523,0.28257,0.144835144,0.018291502806638497,0.131306,0.136902,0.155786,1000,0.001899,0.024102,0.0025951475,0.0010991413115444939,0.002075,0.00218,0.003004,4000,0.003979,0.026304,0.00521261425,0.001708481057825031,0.00428375,0.004457,0.00576425,4000,0.000375,0.015766,0.000763856,0.0008113951203106906,0.000479,0.000524,0.00091225,4000,0.000375,0.015766,0.000763856,0.0008113951203106906,0.000479,0.000524,0.00091225,4000,0.020313,0.055019,0.023376565999999998,0.004286764724316463,0.02082175,0.021095,0.0255125,1000,0.027242,0.073381,0.030475395,0.005219505559626792,0.02795275,0.028394,0.0315805,1000,0.421485,2.414694,0.527604938,0.15169603878315396,0.45643825,0.4896365,0.578697,1000,0.085335,0.177758,0.101043217,0.01575411251260797,0.088493,0.093043,0.1119555,1000,0.025013,0.063595,0.029518598,0.005351941677222949,0.02619025,0.0268645,0.03192925,1000,0.037961,0.092952,0.04506167,0.008588790905307918,0.0388475,0.041775,0.050123,1000,0.005238,0.030311,0.006585046000000001,0.0019731285614181353,0.005474,0.005873,0.00700225,1000,0.016089,0.063414,0.0193336,0.004121968746363805,0.0167655,0.017454,0.0207165,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.034402,1.843865,0.080181079,0.11993139643411461,0.05281875,0.067534,0.07976325,1000,0.126348,0.262605,0.136742815,0.01402191230869652,0.12989225,0.132183,0.1357315,1000,0.00191,0.031719,0.00247237225,0.0012463529298236266,0.002039,0.002111,0.00290325,4000,0.003934,0.037546,0.0048806745,0.0016325910414276288,0.00418675,0.004352,0.00568625,4000,0.000391,0.019013,0.0007926340000000001,0.0008997752183428926,0.000489,0.000538,0.00100525,4000,0.000391,0.019013,0.0007926340000000001,0.0008997752183428926,0.000489,0.000538,0.00100525,4000,0.020356,0.058887,0.022051922999999998,0.0038807445944136804,0.020858,0.0210525,0.02131325,1000,0.027625,0.066804,0.029456831,0.004471611942961844,0.02815625,0.0283585,0.028681,1000,0.437217,2.469441,0.503220342,0.1418214189961835,0.465126,0.4866665,0.5060635,1000,0.097338,0.209793,0.122033155,0.01729924416929754,0.10931125,0.1197965,0.12704875,1000,0.025247,0.064898,0.027804594000000002,0.00519539325587236,0.02599175,0.026357,0.026817,1000,0.04292,0.122177,0.04708632,0.008225620747615342,0.04394525,0.044373,0.04545975,1000,0.008975,0.098833,0.028000329,0.010280326117529492,0.01950875,0.029131,0.03370575,1000,0.016463,0.074922,0.018608549999999998,0.004023564006636405,0.01709975,0.0173815,0.0179645,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.040149,1.564563,0.084476868,0.09866387950078072,0.0751405,0.07598,0.078486,1000,0.040708,0.144854,0.053954040999999994,0.0099653955298984,0.05159675,0.05199,0.052739,1000,0.002925,0.025146,0.004267239999999999,0.0016304880528234486,0.0040885,0.0041505,0.004229,1000,0.005762,0.025381,0.007824675,0.002243619344134606,0.007476,0.007572,0.00766725,1000,0.000807,0.018328,0.0011075450000000001,0.0009657214701843384,0.000973,0.0010035,0.001037,1000,0.000807,0.018328,0.0011075450000000001,0.0009657214701843384,0.000973,0.0010035,0.001037,1000,0.006075,0.030811,0.009439096,0.002051147160684479,0.00924275,0.009379,0.00951025,1000,0.011067,0.046889,0.014261879000000002,0.003062855522932644,0.01374375,0.0139195,0.014074,1000,0.142298,1.806155,0.244305401,0.1094044313446407,0.23258475,0.2355895,0.25254075,1000,0.011845,0.105178,0.037730993000000004,0.01103167540924546,0.0375315,0.038125,0.040364,1000,0.001997,0.020574,0.0030702159999999997,0.0012191222782575995,0.00291075,0.0029725,0.0030305,1000,0.006691,0.063392,0.01621788,0.005019426789544798,0.0158245,0.016049,0.0162235,1000,0.001533,0.055357,0.016228921,0.006665721761576836,0.01700975,0.0172685,0.017434,1000,0.000931,0.015202,0.00141385,0.0008764803280735967,0.001251,0.001304,0.001355,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040408,1.496748,0.10051660000000001,0.09678189793402484,0.076631,0.1041885,0.109292,1000,0.040426,0.147906,0.053794783000000006,0.009674905002009631,0.05105975,0.0516625,0.052696,1000,0.002874,0.0218,0.004245222,0.0014705821645579686,0.004061,0.004135,0.0042,1000,0.005798,0.025035,0.0077903,0.0022326601129594266,0.007396,0.007498,0.00760525,1000,0.000783,0.050727,0.001133423,0.0017878440821478255,0.000955,0.000989,0.001024,1000,0.000783,0.050727,0.001133423,0.0017878440821478255,0.000955,0.000989,0.001024,1000,0.00619,0.031155,0.009516491,0.0024976336668773103,0.009145,0.009302,0.00946525,1000,0.011147,0.046982,0.014360273,0.003552743215385964,0.01363,0.013759,0.0141055,1000,0.143533,1.735606,0.250270206,0.1070044328344558,0.22155225,0.254184,0.26068525,1000,0.01189,0.069958,0.027679962,0.007010770419472884,0.02474975,0.0287555,0.02929175,1000,0.001996,0.023299,0.003172869,0.001524233256374824,0.00288,0.0029825,0.003137,1000,0.006774,0.042116,0.014958038,0.004015383460213483,0.014225,0.014929,0.01526575,1000,0.001536,0.0298,0.0073863670000000005,0.002977938100147651,0.00569475,0.008851,0.00908,1000,0.000944,0.015991,0.001398275,0.0009112463362752137,0.001219,0.001277,0.001335,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FixedProjectiveConstraint,0.0086,0.1343,0.010228211999999999,0.008525912291893227,0.00887475,0.0090175,0.0093235,1000,1.097849,1.347834,1.147953156,0.038801700137515424,1.11695425,1.136806,1.16831475,1000,0.066842,0.130786,0.069835046,0.007619235094672168,0.067196,0.0673215,0.07014,1000,0.03719,0.085631,0.040709648,0.006373713378564806,0.03766975,0.037819,0.04162775,1000,0.000655,0.0206,0.0009193809999999999,0.000896658699750914,0.000747,0.00078,0.000818,1000,0.984405,1.165395,1.0285794620000002,0.032423301396103325,1.00145925,1.020594,1.04763025,1000,0.002692,0.022368,0.002998929,0.0009600304682451491,0.002844,0.002892,0.002954,1000,0.008485,0.029793,0.009103027,0.0018066479021300744,0.00871175,0.0088175,0.00894425,1000,1.131124,1.546956,1.184215954,0.043925290391480444,1.15258375,1.1717225,1.20573625,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000287,0.000797,0.000337699,4.169698309230537e-05,0.000321,0.00033,0.000342,1000,2.561145,5.227755,2.64964995,0.20544608307715556,2.5905045,2.6235505,2.652615,1000,0.051902,0.107004,0.056082741,0.005949708499743411,0.05288525,0.0553045,0.05650625,1000,0.043684,0.087292,0.046715655,0.004405536611807352,0.044233,0.0469395,0.047518,1000,0.688181,2.178083,0.7158841890000001,0.10339925935039998,0.6943575,0.699355,0.72235175,1000,1.765506,2.894442,1.8234185660000002,0.11786321616482237,1.77975075,1.802731,1.83055125,1000,0.00112,0.011344,0.001341244,0.0003577351456930112,0.001267,0.001312,0.001353,1000,0.005836,0.026679,0.006563539,0.001546194335935493,0.006199,0.006321,0.00648125,1000,2.577361,5.287797,2.667676701,0.20821430942713712,2.60809525,2.6409065,2.66984925,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000284,0.00087,0.00033869799999999996,4.7820296904138935e-05,0.00032,0.000331,0.000345,1000,2.609036,5.166671,2.693443228,0.19362472037880393,2.63025275,2.6680095,2.702655,1000,0.051575,0.099933,0.054448892,0.005536146635371574,0.05216475,0.0524745,0.056108,1000,0.043847,0.113698,0.046379851,0.005827798674182131,0.04433775,0.044498,0.0474725,1000,0.68869,2.039311,0.715539399,0.09307566025938145,0.69558275,0.700163,0.7232495,1000,1.812242,2.98872,1.869540034,0.11616333898137074,1.82593525,1.8491325,1.878219,1000,0.00118,0.01167,0.0013460540000000002,0.00035623283549386626,0.001276,0.001313,0.001357,1000,0.005925,0.026328,0.006529383,0.0013701602710307287,0.0062085,0.006339,0.00652025,1000,2.625072,5.22909,2.711590327,0.19615497760071263,2.64864325,2.686509,2.72124175,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,2.4,0.48,0.9600000000000001,0.0,0.0,0.0,5
