SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.327622,0.424569,0.341272062745098,0.013785028000852895,0.3337235,0.337262,0.342365,255,11.773865,14.046181,12.198653427450981,0.2915637326820532,11.9778085,12.237046,12.293051,255,0.28238,0.366104,0.29399632156862743,0.011941704937168627,0.285895,0.292581,0.296408,255,0.137192,0.200811,0.1429211294117647,0.00905172352924675,0.138955,0.139654,0.143457,255,3.821022,4.692903,3.8974768549019605,0.08953776680663933,3.852683,3.878038,3.920108,255,3.821022,4.692903,3.8974768549019605,0.08953776680663933,3.852683,3.878038,3.920108,255,0.022357,0.048456,0.024593360784313727,0.0021691052703260503,0.023691,0.024021,0.024471,255,0.052291,0.078846,0.05421225098039216,0.002162898082989811,0.0533525,0.053725,0.054272,255,39.906568,53.037596,47.256509305882346,1.800025781693321,47.433839,47.74705,47.9145045,255,27.160412,38.98265,34.53593382745098,1.7673167453874543,34.9948145,35.069003,35.162797,255,0.02105,0.035626,0.022587313725490197,0.0018252350682905186,0.0218475,0.02221,0.022496,255,21.792726,28.538178,22.03438957254902,0.9597297615938426,21.8483645,21.872495,21.898085,255,4.861015,13.45172,12.061133086274511,1.755576782243593,12.6917705,12.749622,12.825223,255,0.399481,0.537496,0.4159248941176471,0.015653485716699223,0.4085765,0.411922,0.417683,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,11.989526,38.677577,13.250538821082621,1.1326670667889536,12.9541945,13.129734,13.259351,1755,11.62863,38.178546,12.912184977207977,1.1232176161614027,12.616503,12.792902,12.917621,1755,0.00783,2.202749,0.25848200351377015,0.23167919592124125,0.05142975,0.305335,0.41408575,10530,0.008197,1.019387,0.10233539363722696,0.08273443202891605,0.02711425,0.111724,0.16889075,10530,0.091451,21.28475,1.8539510208926877,1.9076314858001773,0.1687555,1.253522,2.666191,10530,0.091451,21.28475,1.8539510208926877,1.9076314858001773,0.1687555,1.253522,2.666191,10530,0.092109,0.538744,0.10859806324786325,0.021297432222308066,0.098104,0.10338,0.114188,1755,0.130761,0.539009,0.1449790376068376,0.020693293785916892,0.135289,0.140072,0.1456785,1755,23.919935,65.938374,29.1666232022792,2.977067804566973,27.234786,28.989592,30.8771495,1755,10.392563,35.648585,15.325652576638177,2.492196536359613,13.553861,15.23702,17.079544,1755,0.074026,0.189322,0.08639470427350428,0.011921254468624862,0.080397,0.082719,0.088163,1755,9.5845,34.023758,14.450868946438746,2.400429603364086,12.785381,14.391874,16.13036,1755,0.104008,1.495037,0.27161825128205125,0.11651883625954533,0.2065285,0.242552,0.3029815,1755,0.436177,2.215569,0.5144635954415954,0.06306583596257609,0.494525,0.512247,0.529091,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.034658,1.724042,0.094440464,0.1206030898969952,0.04274625,0.0813995,0.110365,1000,0.193044,0.325045,0.215205656,0.020083057983974053,0.200118,0.205885,0.23163675,1000,0.001991,0.019619,0.00270193975,0.0008397415603148015,0.002218,0.00233,0.003089,4000,0.00421,0.027068,0.0053297585,0.0013446632504749098,0.004528,0.004705,0.00596,4000,0.014895,0.046454,0.017601372,0.0025943270864746413,0.01580675,0.016561,0.018874,4000,0.014895,0.046454,0.017601372,0.0025943270864746413,0.01580675,0.016561,0.018874,4000,0.020685,0.065906,0.023230736000000002,0.003616500458772817,0.02116325,0.0214305,0.02505225,1000,0.025553,0.065406,0.028052632,0.003239644399401885,0.02623175,0.026655,0.02956225,1000,0.488117,2.46198,0.5943146090000001,0.1550676187336999,0.50762975,0.556307,0.6526985,1000,0.091195,0.238083,0.105561444,0.016188619945964017,0.094091,0.0978475,0.116151,1000,0.025619,0.059184,0.029204962,0.004459234770513435,0.0263295,0.02701,0.03186725,1000,0.041248,0.131018,0.048183074,0.009113923336550731,0.04218875,0.0445575,0.05262275,1000,0.00634,0.029909,0.00776438,0.0020593001528674735,0.006546,0.0067615,0.00832425,1000,0.017043,0.057512,0.019854755,0.0030872836048822915,0.017723,0.0184455,0.0214675,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.032926,1.705999,0.094245818,0.12051534794887692,0.04295675,0.0811395,0.109497,1000,0.19574,0.337164,0.218154193,0.02073686515955946,0.20270575,0.208406,0.23314075,1000,0.002039,0.022729,0.00273498775,0.0008822629404547929,0.002242,0.002372,0.003096,4000,0.0042,0.022903,0.00536390275,0.0012775663729499293,0.004567,0.0047965,0.005963,4000,0.015095,0.055393,0.017778219249999998,0.0026100244690767625,0.01596675,0.0167055,0.01896625,4000,0.015095,0.055393,0.017778219249999998,0.0026100244690767625,0.01596675,0.0167055,0.01896625,4000,0.020578,0.040308,0.023249646000000002,0.0029506685877414294,0.02109575,0.021371,0.0253415,1000,0.025673,0.05565,0.028016727999999998,0.002491666754607446,0.02626275,0.026677,0.0296005,1000,0.490973,2.441178,0.59742311,0.15361434480378422,0.51056825,0.5570385,0.6569735,1000,0.090883,0.205607,0.10584595200000001,0.015947795103452265,0.09438375,0.09811,0.1167595,1000,0.025535,0.077326,0.02956321,0.004677597327036606,0.02662925,0.0274565,0.03211325,1000,0.041177,0.11632,0.048259164,0.00875266307297979,0.042271,0.0441395,0.053495,1000,0.006123,0.033935,0.00765219,0.001994399370211493,0.00641175,0.006983,0.00817975,1000,0.016781,0.044404,0.019805897,0.0031594722180122107,0.017601,0.0182745,0.021425,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.038342,2.003714,0.066685972,0.12283031761113872,0.042003,0.0532185,0.06612675,1000,0.194526,0.316003,0.205558666,0.013231583244814054,0.1994105,0.2021465,0.20619375,1000,0.001991,0.01278,0.0025099845,0.0007145438224907903,0.002164,0.002251,0.002945,4000,0.004177,0.023995,0.00502029525,0.0011628270323128188,0.004448,0.004569,0.00581725,4000,0.014919,0.044898,0.016906758999999997,0.002171160705802083,0.0156,0.0160975,0.01842125,4000,0.014919,0.044898,0.016906758999999997,0.002171160705802083,0.0156,0.0160975,0.01842125,4000,0.020507,0.045971,0.021506559,0.0018382746455627898,0.02093675,0.0210985,0.02125625,1000,0.025632,0.052078,0.026784296,0.0022461359247347434,0.02611475,0.026266,0.026477,1000,0.50748,2.755513,0.567222395,0.1459875171278523,0.524608,0.551167,0.5678145,1000,0.103382,0.247416,0.126117036,0.016052233437086068,0.11558675,0.12522,0.131329,1000,0.025642,0.067244,0.02738561,0.0032261738883544388,0.02639825,0.026676,0.02705,1000,0.046574,0.144654,0.049802775,0.0067464464246279315,0.04751125,0.048122,0.0488645,1000,0.009457,0.080667,0.029706927,0.01022675581402387,0.02123575,0.0310445,0.03598775,1000,0.01727,0.040613,0.018675096000000002,0.002382007763376098,0.01768575,0.0178865,0.01826,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,-0.0088,1.437584,0.07880561999999999,0.09666764103215511,0.0710865,0.072034,0.07483025,1000,0.060599,0.185763,0.07861125100000001,0.008782815805309764,0.07788925,0.078387,0.079091,1000,0.002987,0.014978,0.004324752,0.0009320863718003821,0.004251,0.004339,0.004412,1000,0.006047,0.032439,0.007974586,0.0013466037058481608,0.00788,0.0079845,0.008083,1000,0.018683,0.058624,0.024991098000000003,0.003263499966967366,0.02481275,0.025047,0.025279,1000,0.018683,0.058624,0.024991098000000003,0.003263499966967366,0.02481275,0.025047,0.025279,1000,0.006376,0.036123,0.009695790999999999,0.001564911246467032,0.009736,0.0098435,0.00994625,1000,0.010041,0.038799,0.012165186,0.001500993110378592,0.01205975,0.012179,0.01229325,1000,0.162203,1.750289,0.265718803,0.10740215165141799,0.26114825,0.2628805,0.26670425,1000,0.012966,0.113956,0.039173041,0.010180298746663527,0.04025575,0.0405805,0.041427,1000,0.002116,0.013487,0.003166103,0.0008149810061535177,0.00304,0.0031135,0.003181,1000,0.007252,0.043803,0.017197651,0.0043547239789909755,0.01727675,0.01743,0.017618,1000,0.001938,0.066564,0.016571957,0.006090953496222984,0.0178835,0.018092,0.0182525,1000,0.000959,0.011646,0.001483902,0.0006937971651686104,0.001356,0.001395,0.001439,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.034471,1.512375,0.09344878,0.09838603087794323,0.072363,0.09905,0.10057875,1000,0.060782,0.165763,0.078258832,0.008309113116318493,0.077511,0.0781225,0.07895525,1000,0.00305,0.022068,0.004359414,0.0012478318390728778,0.004235,0.0043365,0.00443525,1000,0.006129,0.030754,0.008009557,0.0014350335280929848,0.00787075,0.007973,0.008089,1000,0.018575,0.057278,0.02484902,0.0031038524162079616,0.02466575,0.0248885,0.02518525,1000,0.018575,0.057278,0.02484902,0.0031038524162079616,0.02466575,0.0248885,0.02518525,1000,0.006595,0.037313,0.009714217,0.001718321868542387,0.00967775,0.009805,0.009942,1000,0.010006,0.030372,0.012144193999999999,0.001548306756545356,0.011938,0.012089,0.012214,1000,0.162581,1.81459,0.270240918,0.1091600445604493,0.2480895,0.279193,0.28291125,1000,0.012836,0.096943,0.029250302,0.007160190351994561,0.02682975,0.030909,0.03147425,1000,0.002113,0.021671,0.003133805,0.0008758041738739316,0.003018,0.003093,0.003171,1000,0.007184,0.055113,0.015932194,0.004206432236749333,0.015491,0.0162545,0.01651525,1000,0.001941,0.025788,0.0079893,0.002922748956718657,0.00638975,0.009628,0.009909,1000,0.000964,0.018614,0.001469603,0.0009459725764476474,0.001271,0.001345,0.001414,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.00619,0.133445,0.007837522,0.008656258152545823,0.00647675,0.0066255,0.00708,1000,1.119294,1.535717,1.1430640589999999,0.023866883250971815,1.131517,1.136221,1.146991,1000,0.066943,0.118434,0.068443997,0.004331605096149809,0.067367,0.0676005,0.06782625,1000,0.037461,0.074857,0.038931644,0.0028653322242392764,0.03808075,0.038388,0.0387745,1000,0.015125,0.029341,0.016172207,0.0015935968468063057,0.0156085,0.0158,0.01608825,1000,0.991475,1.352104,1.011253759,0.020945978220482303,1.00196325,1.0050895,1.01472075,1000,0.002806,0.01906,0.003222196,0.0010657695283615497,0.00295275,0.003012,0.00311225,1000,0.010965,0.03228,0.011547842000000001,0.0013468360876647165,0.011187,0.0112895,0.01149925,1000,1.154777,1.588431,1.181818527,0.029181654005749416,1.168233,1.173619,1.18686675,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000308,0.000854,0.000350139,4.231947162949934e-05,0.000334,0.000344,0.000355,1000,2.506989,5.007064,2.5787682710000004,0.18696025492383017,2.52616275,2.550957,2.58204025,1000,0.051357,0.117772,0.054443928999999995,0.004692825963527627,0.052367,0.0528325,0.0562615,1000,0.04454,0.083002,0.046865928,0.00392189030504628,0.04501975,0.0453805,0.04836225,1000,0.689163,2.142113,0.719867592,0.09768430959881702,0.69799725,0.7080075,0.72256575,1000,1.708501,2.712444,1.750230513,0.10369299729337479,1.7163585,1.72233,1.753681,1000,0.001246,0.011789,0.00145053,0.0003593187235589039,0.001376,0.001415,0.001468,1000,0.011912,0.031418,0.012486096,0.001227651511131722,0.012205,0.0123005,0.01244575,1000,2.532699,5.066255,2.604478693,0.1892336652559759,2.55227975,2.576681,2.607564,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000311,0.000925,0.00036193099999999996,4.3453541156043885e-05,0.000344,0.000354,0.000366,1000,2.612111,4.940688,2.671883817,0.1782498717309034,2.626954,2.633918,2.666894,1000,0.052042,0.082577,0.053377475,0.002250708933064202,0.05264275,0.0528495,0.053191,1000,0.044628,0.092324,0.045886389,0.002606186337865925,0.04504475,0.045235,0.046076,1000,0.689743,1.90255,0.707075115,0.08479870120097227,0.69417325,0.696061,0.6985305,1000,1.812883,2.886526,1.858139768,0.10780046796610938,1.82397325,1.829931,1.851353,1000,0.001256,0.004576,0.001488704,0.0002290892454568743,0.001397,0.001457,0.00152275,1000,0.011826,0.040978,0.012451908,0.001158838018679056,0.01217975,0.012305,0.012462,1000,2.637445,5.011634,2.69759687,0.1809217643281402,2.6521635,2.6595595,2.6919735,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
