SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.328816,0.572119,0.34658019215686275,0.021584661328113305,0.336903,0.34193,0.3476235,255,11.90228,15.399354,12.41763397254902,0.47844172332750345,12.228536,12.378947,12.473315,255,0.286403,0.384524,0.2995966509803922,0.017006005822850136,0.290043,0.293434,0.30185,255,0.13677,0.27019,0.14669189411764705,0.015852738128325328,0.1386785,0.139513,0.1450265,255,3.903982,4.722299,4.0191566352941175,0.1144751325288697,3.9748785,3.994982,4.032304,255,3.903982,4.722299,4.0191566352941175,0.1144751325288697,3.9748785,3.994982,4.032304,255,0.022505,0.036244,0.024469623529411764,0.0018713858761585174,0.0233965,0.023796,0.0246175,255,0.052607,0.091043,0.05616261960784314,0.00576103366205248,0.0538575,0.054335,0.0573695,255,40.022458,57.669836,47.786487584313726,2.4223410979461186,47.689061,47.973787,48.1605795,255,27.158661,42.226909,34.83639220392157,2.230160112453307,35.040611,35.149523,35.2351435,255,0.021002,0.047906,0.022786070588235296,0.00231897558580644,0.0220145,0.022363,0.0227465,255,21.782882,29.986757,22.28196894509804,1.495607258575424,21.87983,21.917754,21.9720775,255,4.872838,13.54019,12.11116177254902,1.7358068372827855,12.717676,12.779554,12.8379615,255,0.397957,0.613782,0.4181227294117647,0.032113767646177314,0.403943,0.409788,0.4157885,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,12.122895,40.025214,13.606122786894588,1.2779007752147733,13.2540945,13.421022,13.617249,1755,11.809948,39.667918,13.271204978917378,1.2684615482883352,12.9271695,13.090204,13.2642445,1755,0.00772,3.806408,0.259610183665717,0.2329763302337482,0.05263725,0.307464,0.4182485,10530,0.010024,1.450867,0.10315282545109211,0.0837288805629407,0.0272065,0.112475,0.173711,10530,0.054956,15.710911,1.9040422358024691,1.9680365402719917,0.1684355,1.1257395,2.73245475,10530,0.054956,15.710911,1.9040422358024691,1.9680365402719917,0.1684355,1.1257395,2.73245475,10530,0.091937,0.220259,0.11045229857549857,0.01459809404851586,0.09971,0.108947,0.1143275,1755,0.131382,0.262605,0.1468253658119658,0.014551720764091653,0.1372015,0.143555,0.146713,1755,24.217412,62.534768,29.48918478233618,3.1713575823148936,27.5867475,29.18386,30.986741,1755,10.30301,46.025814,15.280768112250712,2.7032026913422498,13.510715,15.091686,16.919424,1755,0.074213,0.218452,0.08881734188034188,0.013299192384212346,0.081365,0.084789,0.089645,1755,9.459723,44.667123,14.400081301994302,2.611721819068069,12.7016265,14.208098,16.012913,1755,0.104283,1.017264,0.27242996296296296,0.10806368779446392,0.2074595,0.248805,0.3017845,1755,0.433896,1.144864,0.5173383196581196,0.04020926723452113,0.493475,0.513521,0.537903,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.037269,1.809034,0.095491854,0.1256977763660069,0.04304625,0.081381,0.1111735,1000,0.192083,0.320971,0.216500136,0.01958189609806732,0.20235575,0.2079585,0.23027425,1000,0.001979,0.014242,0.00269600125,0.0007896897968496475,0.002208,0.0023365,0.003107,4000,0.004164,0.024505,0.0053506132500000005,0.0011845114708918768,0.00458875,0.004817,0.005989,4000,0.014897,0.053812,0.01750660775,0.002361358730453706,0.01580375,0.0165125,0.0186935,4000,0.014897,0.053812,0.01750660775,0.002361358730453706,0.01580375,0.0165125,0.0186935,4000,0.020816,0.049734,0.02335911,0.0033681823370922187,0.021274,0.0214675,0.0252275,1000,0.025893,0.057382,0.027972597000000002,0.0028427383658351326,0.0263805,0.0267075,0.02918325,1000,0.488877,2.601586,0.5976004309999999,0.15885757807594586,0.51375,0.5576475,0.6569225,1000,0.091017,0.216902,0.105883087,0.016476728158570528,0.09443375,0.0980545,0.11624875,1000,0.025682,0.093926,0.029564516,0.005370118511145169,0.02667025,0.027147,0.03166775,1000,0.041519,0.11731,0.048552034,0.008903783893314346,0.04263525,0.04466,0.05365325,1000,0.006242,0.018365,0.007646701,0.0017249731179351752,0.00652,0.006736,0.00825075,1000,0.016696,0.044276,0.019569562000000002,0.0031045447553797643,0.0174375,0.0179625,0.0213255,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.029442,1.764295,0.095226574,0.122556091676018,0.0435195,0.080602,0.11195375,1000,0.193372,0.334243,0.216796258,0.019870832874930938,0.201857,0.2087915,0.23222475,1000,0.002016,0.012688,0.0027251745,0.0008482540306710897,0.002215,0.002354,0.00311325,4000,0.004213,0.021185,0.005313897,0.0011695635063522633,0.004528,0.00474,0.005972,4000,0.015005,0.045843,0.01767582175,0.0026451522100773214,0.015818,0.0165995,0.018869,4000,0.015005,0.045843,0.01767582175,0.0026451522100773214,0.015818,0.0165995,0.018869,4000,0.0207,0.047814,0.02332789,0.003024849957915268,0.02131475,0.0215635,0.025182,1000,0.025868,0.062575,0.028108409,0.002726681772726513,0.026494,0.026821,0.0294415,1000,0.4893,2.526674,0.598459482,0.15597604764274442,0.51531125,0.5575135,0.6567295,1000,0.091178,0.210461,0.10611111299999999,0.015613890352702973,0.0947245,0.09856,0.11728275,1000,0.025528,0.059709,0.029223791000000002,0.004213302541156877,0.02642775,0.0271115,0.031549,1000,0.041653,0.120483,0.048987000999999995,0.008960101624702645,0.04289275,0.0449735,0.0548735,1000,0.006111,0.017776,0.007671395,0.0016066925421420863,0.0065,0.0070265,0.008307,1000,0.016769,0.040274,0.019663597,0.0027744850344867604,0.0176095,0.0181945,0.02148875,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.030469,1.761345,0.066938629,0.11825756364421414,0.04200425,0.0539455,0.0669085,1000,0.198462,0.348425,0.209737856,0.016510558598401934,0.20271125,0.205439,0.2088335,1000,0.002048,0.0185,0.0025914052499999996,0.0008448533065109218,0.002223,0.002291,0.00302625,4000,0.004289,0.026507,0.0050967615,0.0012149375780745896,0.004531,0.004638,0.005815,4000,0.014954,0.049645,0.017095962500000002,0.002406670862435026,0.015754,0.0162965,0.01845925,4000,0.014954,0.049645,0.017095962500000002,0.002406670862435026,0.015754,0.0162965,0.01845925,4000,0.020955,0.057339,0.02196508,0.0024580392009892764,0.02129075,0.021428,0.02159825,1000,0.025673,0.058404,0.026962217,0.002384611797318591,0.02626975,0.026426,0.02659825,1000,0.510862,2.50636,0.573864156,0.14194992610787674,0.5293465,0.5576695,0.574816,1000,0.103861,0.23578,0.127043541,0.016902191946203873,0.1158295,0.1256355,0.13197425,1000,0.025889,0.058007,0.028024542000000003,0.0035328229783327665,0.02672425,0.027197,0.02780625,1000,0.046914,0.113385,0.050168532,0.006963253991703591,0.04789275,0.048336,0.0490785,1000,0.009325,0.076045,0.029358518,0.010150179537509471,0.0209095,0.030787,0.0356915,1000,0.017143,0.054781,0.018919801,0.0026601935992327705,0.01780875,0.0180635,0.0184135,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.037198,1.506438,0.080019299,0.09718020265622827,0.07142575,0.0727585,0.07707425,1000,0.06035,0.140274,0.079216426,0.0084140623329355,0.07796925,0.0791195,0.0800065,1000,0.00307,0.017253,0.004396433,0.0010438613459224362,0.004281,0.004338,0.004398,1000,0.005903,0.026392,0.007908153000000001,0.0011306866213018532,0.00778175,0.007918,0.008052,1000,0.018324,0.05873,0.025091045,0.003233726229131805,0.02475475,0.025084,0.025399,1000,0.018324,0.05873,0.025091045,0.003233726229131805,0.02475475,0.025084,0.025399,1000,0.006649,0.031658,0.009844265,0.0017588346888707306,0.00976875,0.009884,0.01002525,1000,0.010195,0.039114,0.012396547,0.0015372476663800794,0.01223475,0.012339,0.01244725,1000,0.163833,1.779379,0.268501094,0.10710691182702059,0.262816,0.2653075,0.2702825,1000,0.013069,0.086765,0.039262618,0.009920406541169368,0.040452,0.040942,0.0416125,1000,0.002167,0.022019,0.003267598,0.0009643083782670354,0.00312275,0.003191,0.00325625,1000,0.007348,0.047762,0.017466692,0.004199149726210771,0.01759775,0.017769,0.017971,1000,0.001956,0.056443,0.016526645,0.005982360045581927,0.017827,0.018052,0.01822725,1000,0.001016,0.014804,0.001503414,0.0008468064445928598,0.001339,0.001381,0.00142925,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.036689,1.505909,0.095335736,0.09862391232712432,0.07313,0.0995855,0.10340775,1000,0.0597,0.137398,0.077862235,0.008131497217473237,0.07671675,0.0776075,0.07898975,1000,0.003047,0.027164,0.004412869,0.001317545760055035,0.004255,0.004333,0.004404,1000,0.006025,0.033643,0.007876594,0.0014980278212249596,0.007751,0.007825,0.00791125,1000,0.018264,0.050161,0.024572337,0.0028944997629004915,0.02442825,0.024663,0.024886,1000,0.018264,0.050161,0.024572337,0.0028944997629004915,0.02442825,0.024663,0.024886,1000,0.00653,0.035142,0.009668066000000001,0.0016968689188160647,0.00958975,0.009736,0.0098695,1000,0.010194,0.031538,0.012420209000000001,0.0016795069214858866,0.01222075,0.0123125,0.012405,1000,0.161458,1.77,0.271526159,0.10879544449327701,0.24867425,0.278286,0.28446725,1000,0.013009,0.068136,0.029308935,0.006791255453064257,0.0271015,0.0311475,0.03185425,1000,0.002258,0.012929,0.003254458,0.0007927986706825384,0.00310975,0.0031835,0.00328125,1000,0.007234,0.043316,0.016125029,0.0039025075157082018,0.01566175,0.016389,0.01680825,1000,0.001906,0.028609,0.007982266,0.0028962944949096595,0.00638575,0.0095405,0.009901,1000,0.000956,0.010134,0.001439102,0.0006713633230941351,0.001266,0.00134,0.001395,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.00616,0.143834,0.007907958,0.009469011035490242,0.0065165,0.006627,0.00691425,1000,1.129961,1.330262,1.147812821,0.02156411679130307,1.136761,1.139458,1.1450895,1000,0.067485,0.113034,0.06945950999999999,0.004150710143324875,0.067899,0.06805,0.07130225,1000,0.037738,0.091678,0.038984792000000004,0.003809121635067066,0.038171,0.0383325,0.03849025,1000,0.015467,0.037498,0.016325485,0.0017403876711166973,0.015821,0.015946,0.01614575,1000,1.000651,1.134328,1.01498671,0.018316338430043815,1.00642875,1.008252,1.010408,1000,0.002797,0.013235,0.003162419,0.0006667394419404031,0.002961,0.0030215,0.00309,1000,0.01126,0.025004,0.011745999,0.0010500326209213692,0.011471,0.0115435,0.011651,1000,1.166209,1.493063,1.18662423,0.02784174087845622,1.1739365,1.1772805,1.1840505,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000317,0.009042,0.00038761700000000004,0.000288234016575074,0.000357,0.000369,0.000386,1000,2.516358,4.935626,2.577817906,0.18297525976219617,2.5263555,2.5566535,2.5730965,1000,0.052366,0.107508,0.055081526,0.0037549047531627217,0.05307675,0.053809,0.0563615,1000,0.044637,0.07501,0.046562224,0.0024653522032001833,0.04534125,0.045748,0.04757,1000,0.693193,2.057733,0.713119396,0.0949048159318545,0.69930925,0.701555,0.70973925,1000,1.71026,2.727074,1.755415718,0.10401761781633186,1.71865075,1.7440735,1.75115575,1000,0.001255,0.018933,0.0014744860000000001,0.0006339671283307991,0.001372,0.001427,0.00149025,1000,0.011941,0.041446,0.01255287,0.0016173989603990723,0.01220775,0.012331,0.01249325,1000,2.540238,4.994552,2.603993028,0.18538543454334058,2.55178075,2.582728,2.5991355,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.00032,0.003203,0.000404142,0.00010877919762528128,0.000369,0.000384,0.000422,1000,2.616206,4.847405,2.67166494,0.17928727990844862,2.62814575,2.632307,2.665016,1000,0.051476,0.109336,0.05381711,0.004461190611921889,0.0527465,0.05306,0.05340625,1000,0.043647,0.084058,0.045798415999999995,0.0030910000447984466,0.0449865,0.045192,0.045629,1000,0.692743,1.871845,0.710312817,0.08373708172134679,0.69706175,0.6991505,0.7014535,1000,1.815031,2.835429,1.8542305319999999,0.10916813504042733,1.82376175,1.826558,1.845413,1000,0.001308,0.003801,0.001489125,0.00020465180032191264,0.00141175,0.001457,0.00151625,1000,0.011867,0.041545,0.012509648,0.0014739497305186495,0.012171,0.012314,0.012492,1000,2.640955,4.902395,2.697629351,0.1819532652500136,2.65351525,2.6583855,2.6906025,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
