SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.332095,0.491076,0.34441825098039214,0.0145698254719165,0.3371645,0.342349,0.345824,255,11.825163,14.532303,12.3659254,0.30940613815099177,12.220277,12.393991,12.4811355,255,0.283669,0.362973,0.29516505490196077,0.011804023049198328,0.2867905,0.293016,0.298966,255,0.136189,0.210242,0.14822681176470587,0.01615362799132797,0.1382385,0.13999,0.146495,255,3.892244,4.494212,4.005422643137255,0.074029471747473,3.9398305,4.007519,4.0426125,255,3.892244,4.494212,4.005422643137255,0.074029471747473,3.9398305,4.007519,4.0426125,255,0.022526,0.043085,0.024762258823529414,0.0022564155271247353,0.0235325,0.024037,0.025426,255,0.052122,0.095408,0.05515579607843137,0.004481592191418212,0.0533065,0.054067,0.0555835,255,40.078881,52.899457,47.49713407058824,1.8564554148670682,47.649861,47.996248,48.200462,255,27.255999,38.563566,34.60086503137255,1.810838124856231,35.0665745,35.182585,35.2511445,255,0.020041,0.027469,0.021905709803921567,0.0009375099194779593,0.0213755,0.021803,0.0222115,255,21.802397,28.524912,22.043516733333334,0.8598655766374181,21.874576,21.918094,21.962015,255,4.905508,15.88591,12.119040125490196,1.7817496488983924,12.737645,12.826481,12.8659125,255,0.394978,0.562612,0.4140597294117647,0.01736426518042712,0.4068915,0.410549,0.4154395,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,12.315839,35.770857,13.67501931908832,0.6556567036142078,13.46814,13.563667,13.691052,1755,11.987671,35.304702,13.321846163532763,0.6496051004953087,13.1140705,13.211664,13.3359205,1755,0.009236,1.51212,0.2693984890788224,0.24058803226589598,0.0564905,0.2998795,0.4246915,10530,0.009273,0.392073,0.1151673252611586,0.08960573131599116,0.02782025,0.113312,0.1962325,10530,0.086115,10.41376,1.9211269880341881,1.959266260278299,0.176535,1.1842765,2.7542825,10530,0.086115,10.41376,1.9211269880341881,1.959266260278299,0.176535,1.1842765,2.7542825,10530,0.091842,0.211546,0.11560385356125356,0.015558342335942263,0.1085505,0.113144,0.1176585,1755,0.132052,0.315514,0.14992200113960114,0.015280843601621172,0.1427965,0.145594,0.148794,1755,24.302423,55.609735,29.465146802849002,2.5576830314411554,27.6459065,29.342641,31.2429555,1755,10.315377,29.074639,15.16591232934473,2.419070997799668,13.357729,15.029095,16.9737985,1755,0.074787,0.184198,0.0889778170940171,0.011848088879713392,0.0829355,0.086457,0.08894,1755,9.497595,27.824905,14.274470596581196,2.3272500779032947,12.5320645,14.121842,16.021763,1755,0.104719,0.767959,0.283404588034188,0.11010196967372946,0.2197265,0.260084,0.316457,1755,0.437144,0.984661,0.516893098005698,0.03406044461769498,0.49475,0.513713,0.5396785,1755,0.0,9.8,2.2,3.828315556481728,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.028545,1.706067,0.0967876,0.12208171449687295,0.043852,0.081906,0.11220075,1000,0.194264,0.447557,0.219182138,0.024534370183702615,0.20146725,0.2080225,0.23450075,1000,0.002013,0.023563,0.002753212,0.001099732162872397,0.002221,0.002341,0.003109,4000,0.00425,0.023867,0.005439363500000001,0.0015819717912680207,0.004569,0.0047995,0.005999,4000,0.014927,0.060558,0.017914324,0.0034649664509954496,0.01576375,0.016652,0.01892825,4000,0.014927,0.060558,0.017914324,0.0034649664509954496,0.01576375,0.016652,0.01892825,4000,0.020634,0.06521,0.023787794,0.004613448945373081,0.02120075,0.0215515,0.02562425,1000,0.025439,0.069483,0.028340301,0.004320047930104365,0.026198,0.026642,0.029336,1000,0.489979,2.444118,0.605618284,0.1579624828671142,0.524242,0.5633015,0.661228,1000,0.090986,0.209226,0.108010159,0.01824778989142847,0.09467775,0.098883,0.1191215,1000,0.025171,0.072609,0.029946596000000002,0.006103379132643162,0.0263375,0.027229,0.0324695,1000,0.041323,0.121613,0.049514796,0.010232012944009796,0.0426155,0.045345,0.055123,1000,0.00626,0.025027,0.007865262,0.0022616346670839655,0.006542,0.0067715,0.0083615,1000,0.016905,0.048645,0.020098027999999997,0.0035928998863336004,0.017758,0.018394,0.02164425,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.037593,1.729152,0.095154922,0.12218637603789514,0.042843,0.081259,0.1112195,1000,0.193308,0.356003,0.215992417,0.02088576424891153,0.200136,0.205783,0.23277425,1000,0.002022,0.024804,0.0027185225,0.0009917176871437508,0.002192,0.002322,0.003111,4000,0.004249,0.02731,0.005297403,0.0013548964765217305,0.00448,0.004666,0.00592825,4000,0.014938,0.056745,0.01761290075,0.002897004483324014,0.0156555,0.016477,0.01877,4000,0.014938,0.056745,0.01761290075,0.002897004483324014,0.0156555,0.016477,0.01877,4000,0.020634,0.061467,0.023287567999999998,0.003767229206111038,0.02107,0.0213395,0.0250145,1000,0.025613,0.074244,0.028036031,0.003802690747094615,0.02618475,0.026575,0.0292355,1000,0.48683,2.488526,0.595771213,0.15556255388916587,0.50851025,0.555383,0.653833,1000,0.091353,0.206219,0.105910285,0.016342620220324983,0.09429075,0.0978185,0.11693475,1000,0.02544,0.066677,0.029522687000000002,0.004788510728507456,0.02637275,0.0274645,0.03197625,1000,0.041498,0.116771,0.048447545,0.009026380472148014,0.0423445,0.0444785,0.054333,1000,0.006146,0.019864,0.007669919,0.0017687433862601438,0.006435,0.0070145,0.00824525,1000,0.016788,0.053966,0.019725613,0.003266400118973639,0.0175875,0.0180895,0.02128625,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.0291,1.767959,0.066499229,0.11770378377945444,0.042087,0.053531,0.06649675,1000,0.196162,0.320771,0.20735958799999998,0.013185112170408561,0.20001,0.2039105,0.20896175,1000,0.001992,0.015473,0.00254665925,0.0007254977495757223,0.002193,0.002286,0.002992,4000,0.004256,0.022047,0.00509865225,0.0011032484019113456,0.004517,0.004663,0.00586125,4000,0.014985,0.042934,0.01700203075,0.0021637157912499593,0.01563575,0.016219,0.01848375,4000,0.014985,0.042934,0.01700203075,0.0021637157912499593,0.01563575,0.016219,0.01848375,4000,0.02062,0.050516,0.02173593,0.00199007073268766,0.021056,0.0212615,0.0215985,1000,0.025698,0.058737,0.026755793,0.001956809360196082,0.026141,0.026312,0.0264935,1000,0.50618,2.505047,0.568797709,0.14071028800824167,0.5262265,0.5523855,0.5716405,1000,0.102608,0.216364,0.126129172,0.015876173342604195,0.1152795,0.124779,0.13134825,1000,0.025248,0.060072,0.027316191,0.0032156466703478167,0.02620825,0.0265965,0.02711625,1000,0.046442,0.11683,0.049892612999999995,0.006639148460098705,0.04762675,0.0481785,0.04905725,1000,0.0094,0.080884,0.029320156,0.010186074235821376,0.02077325,0.0305955,0.0355775,1000,0.017231,0.044522,0.019079884999999998,0.002697217799469483,0.01790275,0.0181845,0.0186195,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036262,1.446676,0.078561027,0.09734212994250882,0.07124625,0.071736,0.0748295,1000,0.061372,0.131923,0.078876603,0.007711739181105064,0.07825075,0.0787425,0.07944125,1000,0.003113,0.024784,0.004383973,0.0011596261191741933,0.004255,0.0043115,0.004374,1000,0.006165,0.020193,0.007900207000000001,0.0012048975708129717,0.007787,0.007858,0.007937,1000,0.018714,0.058264,0.025092510999999998,0.00305500019408821,0.024884,0.025128,0.02536825,1000,0.018714,0.058264,0.025092510999999998,0.00305500019408821,0.024884,0.025128,0.02536825,1000,0.006672,0.031393,0.009649708,0.0014238682195821355,0.0096575,0.009758,0.009889,1000,0.010158,0.04226,0.012429351,0.002003160162792531,0.012176,0.01227,0.012355,1000,0.164071,1.71122,0.26543095400000005,0.10647561805154214,0.26081925,0.262622,0.26665475,1000,0.013013,0.083949,0.038969536,0.00999992769787382,0.03999275,0.040457,0.04130025,1000,0.002244,0.013454,0.00317905,0.0007718382521616818,0.003018,0.003096,0.003187,1000,0.007249,0.043802,0.017198323,0.0042565398760813925,0.017175,0.0173485,0.0177085,1000,0.001902,0.056299,0.016599318,0.00607808707809258,0.01779425,0.0180625,0.0182005,1000,0.001077,0.008328,0.001498267,0.0006755529214732181,0.001348,0.001392,0.001433,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.037086,1.506226,0.09359911,0.09903559843043257,0.0725605,0.0989275,0.1014635,1000,0.060928,0.133946,0.078590171,0.008037807553540891,0.0774915,0.078124,0.0795315,1000,0.003038,0.012352,0.0043277839999999995,0.0007174387969325328,0.004244,0.004319,0.004399,1000,0.00613,0.018563,0.00791187,0.0010973606321989138,0.007803,0.007894,0.007973,1000,0.01864,0.059067,0.025079673,0.003279146260548773,0.0247045,0.0249625,0.0254315,1000,0.01864,0.059067,0.025079673,0.003279146260548773,0.0247045,0.0249625,0.0254315,1000,0.006614,0.029539,0.009638141,0.0015115451693942198,0.00961,0.009729,0.00987125,1000,0.010039,0.038427,0.01238339,0.00194581606322386,0.01208975,0.0122535,0.0124235,1000,0.163877,1.785208,0.270145766,0.10932715399814101,0.24874525,0.278473,0.28343975,1000,0.013059,0.066629,0.029035499,0.006511285916468344,0.02698125,0.0307705,0.031584,1000,0.002227,0.019935,0.00320404,0.0010341789934049134,0.003023,0.003098,0.00317725,1000,0.007308,0.042395,0.015898106,0.003625881181556285,0.0155875,0.01626,0.01661675,1000,0.001894,0.023625,0.007972982,0.0027979463518223507,0.0064265,0.0095965,0.00997625,1000,0.001038,0.010409,0.001456424,0.0006933714489535894,0.001281,0.00134,0.001394,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006099,0.142633,0.007796097,0.00892951636280437,0.00642775,0.006567,0.007026,1000,1.11473,1.340225,1.159648412,0.05141651784536031,1.12047175,1.136891,1.17978375,1000,0.066672,0.114706,0.068244913,0.004266810238272965,0.067151,0.0673335,0.067546,1000,0.037417,0.075359,0.038630870000000005,0.003437136460936633,0.03782875,0.038005,0.0381875,1000,0.015379,0.05106,0.016309935,0.002126816367901799,0.015707,0.0158425,0.016168,1000,0.984327,1.205271,1.028240811,0.05054240305109443,0.9907505,1.00402,1.04247,1000,0.002699,0.008512,0.0030766500000000002,0.000617245636274571,0.00286475,0.0029345,0.003027,1000,0.010992,0.026187,0.011509406000000002,0.0010764491948828797,0.011199,0.0112855,0.011473,1000,1.149999,1.513049,1.1979650149999999,0.05405414688310949,1.157727,1.175015,1.21745975,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000304,0.000821,0.00037278500000000004,4.816067664599408e-05,0.00035,0.000366,0.000381,1000,2.507676,4.872994,2.56345044,0.18024537860848028,2.51932,2.5283515,2.56368925,1000,0.051298,0.095312,0.053254474,0.002805141091161726,0.05238025,0.05278,0.0534045,1000,0.043308,0.084674,0.045295648,0.002634707130991223,0.044701,0.0449115,0.0452425,1000,0.690434,2.026525,0.715691005,0.09325260754918854,0.696414,0.698968,0.729386,1000,1.706863,2.731613,1.74185937,0.10263347312016241,1.71561925,1.7216285,1.7317565,1000,0.00124,0.011782,0.001451246,0.00036608303359210735,0.001354,0.001405,0.001484,1000,0.01184,0.031101,0.012510575999999999,0.0011880818651187298,0.012152,0.0122805,0.012478,1000,2.531382,4.930643,2.589477905,0.18242574230743855,2.5446455,2.555016,2.58886775,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.00031,0.00083,0.00035999700000000003,4.915859020557852e-05,0.000338,0.000349,0.000365,1000,2.633585,4.903319,2.6894426919999996,0.17326757743403448,2.648814,2.6654585,2.68335625,1000,0.052518,0.101997,0.054948834,0.0039214958955026335,0.0529775,0.054165,0.05627625,1000,0.043102,0.084342,0.045852901,0.0032909176864818423,0.044878,0.045119,0.04715875,1000,0.691947,1.925223,0.7155424250000001,0.08396874420732024,0.698592,0.7047395,0.7187405,1000,1.829788,2.867101,1.865638282,0.10326774222579128,1.8361965,1.8396545,1.859326,1000,0.001231,0.00995,0.0014393820000000001,0.00032389406304531113,0.001365,0.001408,0.00145925,1000,0.011917,0.028648,0.012529196,0.001231682610733788,0.01222,0.0123355,0.01248425,1000,2.659077,4.960841,2.715212668,0.17551189009204413,2.67409525,2.69055,2.70916775,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,8.5,1.94,3.312763197090912,0.0,0.0,1.2,5
