SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.333652,0.504702,0.35161989803921573,0.018154555366688356,0.3404475,0.347073,0.3578845,255,11.883625,13.179936,12.40732216862745,0.2384450272216889,12.2968155,12.379135,12.5454255,255,0.282356,0.411325,0.29840394509803925,0.017083585861498222,0.287228,0.293391,0.3051805,255,0.137507,0.236301,0.15369262352941176,0.02169377059749414,0.138831,0.139665,0.173251,255,3.912046,4.303311,4.017580545098039,0.07086953277831451,3.950269,4.023159,4.064029,255,3.912046,4.303311,4.017580545098039,0.07086953277831451,3.950269,4.023159,4.064029,255,0.022995,0.031806,0.025614996078431373,0.002026776723336621,0.024115,0.024666,0.0276715,255,0.054262,0.089712,0.0577963137254902,0.003632447358916824,0.055936,0.056539,0.059333,255,40.066,55.213286,47.60495836862745,2.1080268808801215,47.6487935,48.059596,48.300965,255,27.206789,42.191617,34.65450837254902,2.0962818746111913,35.054727,35.16949,35.287856,255,0.021102,0.060394,0.022854792156862747,0.0027949257438550984,0.021967,0.022426,0.0229175,255,21.810163,28.548985,22.116568760784315,0.9550669851513947,21.8942605,21.932997,22.0264855,255,4.884607,14.345958,12.110653125490195,1.8044703033833525,12.74985,12.801779,12.85868,255,0.386276,0.50064,0.4020537411764706,0.016374326330093184,0.3916825,0.398117,0.4057265,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,12.00062,24.605816,13.47542776068376,0.4716193625883739,13.2790195,13.425773,13.532556,1755,11.685768,24.07229,13.123185143019942,0.4653034909427325,12.9303745,13.075488,13.1714865,1755,0.007958,2.176911,0.2539726234567901,0.22823482589737304,0.04891175,0.3038865,0.40819,10530,0.009412,1.102442,0.10831065375118709,0.08877634732269134,0.02324625,0.1139685,0.18263175,10530,0.098233,11.986647,1.9112152951566952,1.9508951833809085,0.17317025,1.245305,2.7530575,10530,0.098233,11.986647,1.9112152951566952,1.9508951833809085,0.17317025,1.245305,2.7530575,10530,0.093108,0.210887,0.1151233396011396,0.015432663764131934,0.101559,0.115486,0.1194535,1755,0.137616,0.244363,0.15412051623931622,0.014506791540679216,0.143971,0.150595,0.1542805,1755,24.186457,54.287469,29.269563594871798,2.4629848866691413,27.5281595,29.147955,30.9613225,1755,10.266969,40.347408,15.167511112820513,2.4316623184385238,13.4052205,15.001203,16.874431,1755,0.074453,0.155584,0.08923206723646723,0.01156266793802589,0.0826755,0.086311,0.0910185,1755,9.48135,38.848542,14.302663423931625,2.343178461057286,12.587324,14.151326,16.0025605,1755,0.103399,0.803848,0.28829909800569803,0.11543650679618427,0.217815,0.263807,0.321573,1755,0.410196,0.886596,0.4852126871794872,0.030549150600016443,0.46471,0.484186,0.506084,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.039246,1.820343,0.097017501,0.1250981145117943,0.044127,0.082811,0.1133825,1000,0.285416,0.447915,0.315478523,0.026504824784243923,0.29585425,0.302645,0.33649325,1000,0.001263,0.016763,0.00197616775,0.0007812104093072093,0.001544,0.0017375,0.002336,4000,0.003058,0.020948,0.00398899275,0.0010152799853722309,0.003422,0.0036,0.004455,4000,0.023125,0.073039,0.025935641500000002,0.0035175373735722767,0.02396675,0.0246105,0.02623175,4000,0.023125,0.073039,0.025935641500000002,0.0035175373735722767,0.02396675,0.0246105,0.02623175,4000,0.020308,0.043429,0.022638172999999998,0.0028454891595419934,0.020733,0.0209355,0.024566,1000,0.027034,0.06103,0.029215403999999997,0.002817928202560172,0.0276575,0.0280415,0.0304325,1000,0.584861,2.643887,0.699428905,0.16189094044181093,0.609943,0.6562105,0.76795725,1000,0.091989,0.237841,0.106322622,0.01630749949591034,0.0948105,0.0984395,0.11647275,1000,0.025902,0.074397,0.029863101,0.005035886796662431,0.02677175,0.027493,0.032072,1000,0.041751,0.128057,0.048811553,0.009125502147892518,0.04280125,0.045002,0.0534425,1000,0.006246,0.017851,0.00754154,0.0016615444912490306,0.006456,0.00662,0.00817675,1000,0.016744,0.047855,0.019516148,0.003027945415970374,0.0175125,0.0179475,0.0212575,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.034522,1.682846,0.095702962,0.12165214378941522,0.043981,0.0813675,0.11282825,1000,0.284534,0.495825,0.315246559,0.027778235274950762,0.294506,0.302315,0.334518,1000,0.001222,0.022822,0.00188520625,0.0008524647166956164,0.001433,0.001596,0.00226,4000,0.003028,0.021903,0.00399817325,0.0010586064033598311,0.003374,0.003599,0.004501,4000,0.02328,0.061542,0.02612229825,0.003718795593037743,0.02406675,0.0246295,0.02631325,4000,0.02328,0.061542,0.02612229825,0.003718795593037743,0.02406675,0.0246295,0.02631325,4000,0.020262,0.050699,0.022998313,0.0035226200040638783,0.02072675,0.0209615,0.024857,1000,0.026908,0.075378,0.029526405,0.0034552561379693693,0.027738,0.0281525,0.030644,1000,0.582226,2.585559,0.700232234,0.16028035251578168,0.6107085,0.653455,0.768953,1000,0.091277,0.206749,0.106857117,0.016320952460420656,0.09514275,0.0987635,0.1173015,1000,0.025694,0.066121,0.030184502000000002,0.004930504717977258,0.027048,0.027995,0.032494,1000,0.041444,0.11962,0.048749519,0.008969379620221178,0.042679,0.0441995,0.053824,1000,0.006087,0.024009,0.007615264,0.0017739776820197034,0.006376,0.006903,0.00819525,1000,0.016875,0.049936,0.01970523,0.0031216368663090845,0.017549,0.018071,0.02136725,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.024841,1.797007,0.066871113,0.11739846324055625,0.0426355,0.054503,0.06673675,1000,0.284023,0.505126,0.302761136,0.018677120728889236,0.29226625,0.2978095,0.3050715,1000,0.001202,0.036258,0.0018219195,0.0010749781593222024,0.00141775,0.001559,0.0022035,4000,0.003001,0.022632,0.00381277675,0.0010631554848230984,0.00330875,0.0034875,0.004329,4000,0.023126,0.062856,0.0251347875,0.0030948435928724654,0.02386375,0.02424,0.025474,4000,0.023126,0.062856,0.0251347875,0.0030948435928724654,0.02386375,0.02424,0.025474,4000,0.020269,0.048579,0.02129898,0.002230279767114431,0.02066075,0.0207935,0.020925,1000,0.027109,0.060668,0.028299992,0.0024293569881629175,0.027562,0.0277455,0.027949,1000,0.601441,2.616032,0.66896951,0.14303689346844714,0.624597,0.6513105,0.67255425,1000,0.103643,0.239406,0.127388704,0.01663798951641646,0.1159435,0.125872,0.13268725,1000,0.025636,0.053325,0.028015159,0.0030585496863250396,0.026903,0.0273245,0.027796,1000,0.047048,0.113633,0.050347474,0.006596562853890198,0.04800575,0.0485285,0.049593,1000,0.009351,0.092046,0.029380990000000003,0.010446216548774968,0.02079875,0.0305855,0.03561025,1000,0.017258,0.09421,0.019054444,0.0037674500289803445,0.017787,0.018045,0.01849625,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.037514,1.464523,0.08117579600000001,0.09577716307521529,0.0736385,0.0746295,0.077394,1000,0.087052,0.249317,0.112885422,0.011753699285327832,0.11107425,0.1127185,0.1151135,1000,0.002077,0.018609,0.003197283,0.0011724519217908257,0.003044,0.0031,0.003152,1000,0.00437,0.023497,0.005883752000000001,0.0011717769824057817,0.005698,0.0058345,0.00596625,1000,0.028452,0.077395,0.037343553999999994,0.004759373470015145,0.036829,0.037189,0.03786975,1000,0.028452,0.077395,0.037343553999999994,0.004759373470015145,0.036829,0.037189,0.03786975,1000,0.006398,0.037353,0.009624698000000001,0.0016917909093017375,0.00960475,0.0097265,0.00985925,1000,0.010784,0.043643,0.012992231,0.0016973163616836433,0.012863,0.012957,0.01305225,1000,0.191285,1.789918,0.304104826,0.10719777024875903,0.298656,0.301839,0.306403,1000,0.013048,0.086675,0.039656259,0.010371707484783738,0.040595,0.041046,0.04166075,1000,0.002189,0.024016,0.003212343,0.0011533287091506047,0.00304,0.00311,0.00319925,1000,0.007298,0.051809,0.017575203,0.004413894009804834,0.017585,0.017734,0.0179185,1000,0.001933,0.056229,0.016797895,0.006263622773122197,0.017995,0.018204,0.01837825,1000,0.001005,0.022482,0.001548074,0.0010558426504569704,0.00137575,0.001418,0.00146225,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.037028,1.472617,0.097192063,0.09829437476035457,0.075606,0.1031285,0.107054,1000,0.087765,0.191851,0.112298307,0.010005263925092182,0.11141275,0.1125365,0.113904,1000,0.002101,0.013297,0.00316375,0.0009628045323428842,0.003012,0.003082,0.003143,1000,0.004368,0.01568,0.005794032,0.000821180355936502,0.005686,0.005804,0.005905,1000,0.028603,0.085614,0.037305616,0.0037855733846465056,0.0370915,0.037422,0.03775325,1000,0.028603,0.085614,0.037305616,0.0037855733846465056,0.0370915,0.037422,0.03775325,1000,0.006298,0.019744,0.0094952,0.0012472752855725155,0.00950375,0.0096455,0.0098285,1000,0.010774,0.040317,0.012921051999999999,0.0014392809403643194,0.012758,0.012889,0.013003,1000,0.189361,1.771263,0.30900361099999996,0.10888064108547338,0.28806475,0.320001,0.3251075,1000,0.012942,0.079299,0.029491095000000002,0.0068192788884144494,0.02753175,0.0315055,0.03207875,1000,0.002126,0.012844,0.003164105,0.0007795604620393469,0.003022,0.0030995,0.00318,1000,0.007299,0.063688,0.016223174,0.0040381565229351876,0.01591075,0.0166315,0.016928,1000,0.001921,0.028106,0.008071077,0.0028297012904317303,0.00655375,0.009756,0.010061,1000,0.000978,0.011017,0.00150654,0.0006995862422889689,0.00132675,0.001406,0.001462,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006448,0.14,0.008123497,0.009075900609085084,0.00676575,0.006887,0.0071495,1000,1.139694,1.387729,1.184324288,0.04034571016701845,1.15456625,1.1608055,1.224715,1000,0.066356,0.117602,0.068701198,0.004775792287442577,0.06671,0.067346,0.069499,1000,0.03695,0.06983,0.038830867,0.0029121821068248807,0.037512,0.0377375,0.0401055,1000,0.02264,0.058367,0.023608525,0.002173834051940258,0.023019,0.023164,0.023367,1000,0.988977,1.183887,1.0294871970000001,0.036790857496831884,1.00320925,1.0077755,1.06826425,1000,0.00272,0.020408,0.003100542,0.0010001894711683381,0.002858,0.002914,0.00298125,1000,0.011328,0.024521,0.011845296,0.0009454360858270643,0.011589,0.011697,0.011809,1000,1.175635,1.589393,1.2233358079999999,0.04462245677135153,1.1922935,1.1986875,1.26241025,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000298,0.00084,0.000347807,4.157436410818571e-05,0.00033,0.000341,0.000355,1000,2.588853,4.969718,2.649760556,0.18308041424211072,2.5997265,2.6183265,2.65053175,1000,0.051694,0.089013,0.05320502,0.0030824931600248523,0.05215,0.052434,0.05273275,1000,0.044198,0.083973,0.0454276,0.0029623395325316776,0.04459225,0.044804,0.04512025,1000,0.698929,2.065582,0.7263437020000001,0.09599162380092961,0.70537975,0.7083375,0.741454,1000,1.765518,2.755473,1.800519178,0.10103733392466528,1.77264475,1.779751,1.79171175,1000,0.001203,0.005694,0.0014166880000000001,0.0001855294010554661,0.001344,0.0013925,0.001447,1000,0.012914,0.032695,0.013723984,0.0011871307728064334,0.013273,0.013508,0.0138395,1000,2.614077,5.027085,2.67695277,0.18531993007793063,2.6263855,2.6456765,2.67776275,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000297,0.003789,0.000352534,0.0001181549780754074,0.000327,0.000338,0.000356,1000,2.615921,4.818507,2.668065479,0.17194722438603527,2.6237575,2.6365935,2.6702595,1000,0.05054,0.084776,0.05241573200000001,0.0026238298382661937,0.05143775,0.0518145,0.05222225,1000,0.042832,0.077474,0.044855877,0.0025154769976827454,0.04423875,0.044547,0.04476925,1000,0.698631,1.879953,0.718297672,0.08220126108284724,0.70371975,0.705706,0.723497,1000,1.793008,2.80908,1.8280415030000001,0.10277685757746241,1.79939225,1.802902,1.82339,1000,0.001179,0.006599,0.0013860799999999998,0.00022047332627780623,0.001317,0.001361,0.00141325,1000,0.012671,0.025131,0.013401466,0.0008587014014452287,0.0130905,0.013234,0.01345125,1000,2.641309,4.876768,2.694920784,0.1741707373708837,2.65024975,2.6634545,2.69653,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSparseLU,0.000317,0.003525,0.00039217500000000003,0.00011315947320043514,0.000357,0.000375,0.000407,1000,3.39368,5.808389,3.460231099,0.18839901097862802,3.4108925,3.423782,3.45757025,1000,0.052528,0.093847,0.055091272,0.003755798396615026,0.05358425,0.054187,0.055148,1000,0.044576,0.08362,0.04628066199999999,0.0028509353254249736,0.045238,0.045736,0.0462685,1000,0.703254,1.882451,0.727237618,0.08261168292872428,0.71056925,0.714352,0.72876,1000,2.552238,3.766656,2.604189462,0.1178810843822899,2.56657975,2.5749155,2.60470275,1000,0.001418,0.010578,0.001692704,0.0003388970173725346,0.001588,0.001651,0.00173825,1000,0.013799,0.037478,0.015110245000000001,0.0014350298202389386,0.014519,0.0148445,0.01531425,1000,3.42488,5.872641,3.490646919,0.1910018486690703,3.44110525,3.4538165,3.48737975,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSparseQR,0.000319,0.013354,0.00045144600000000004,0.00041601001560539385,0.00038575,0.000417,0.00047125,1000,10.96822,14.136181,11.142410177999999,0.24854702367753334,11.021133,11.079453,11.19657625,1000,0.054491,0.09941,0.057888025,0.0039794888918521934,0.0563275,0.0570335,0.05795925,1000,0.045146,0.084992,0.047537517999999994,0.002934948271379923,0.04603375,0.04664,0.0482445,1000,0.705318,1.915386,0.744672332,0.08558019520818926,0.714525,0.731355,0.748278,1000,10.12224,12.030322,10.263791086,0.17458790491839518,10.1643525,10.2084675,10.30575575,1000,0.001335,0.012,0.001873415,0.0004307944182263739,0.001643,0.0018545,0.00203125,1000,0.014187,0.034049,0.016211226000000002,0.0014430217977993264,0.015397,0.0159845,0.01679525,1000,10.999101,14.207943,11.175561494999998,0.2513896010652986,11.05313075,11.113419,11.22959375,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_PrecomputedLinearSolver,0.000272,0.010849,0.00046323,0.0003392426758236646,0.000399,0.000443,0.000491,1000,0.752246,105.245398,1.310889495,7.269011240907847,0.76864275,0.793179,0.816035,1000,0.054297,0.120151,0.059005461,0.005628957800026485,0.05625875,0.0569845,0.06110075,1000,0.044196,0.088896,0.047767085,0.003968407716172193,0.04579075,0.0468765,0.04865,1000,0.000152,6.758228,0.033834101000000005,0.4705986018356204,0.00025,0.0002955,0.00035025,1000,0.628941,98.286603,1.1460086950000001,6.793977732550239,0.638656,0.663572,0.68134325,1000,0.001304,0.011187,0.001738556,0.0004873259944472488,0.001544,0.0016605,0.00183725,1000,0.014345,0.032318,0.016388625,0.0016430903646406669,0.01561775,0.0161565,0.016645,1000,0.78094,105.326249,1.34311147,7.272390618089432,0.80104225,0.8240575,0.848735,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
