SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.330909,0.433707,0.34453937647058824,0.012952479913334307,0.336197,0.341978,0.347385,255,12.05798,15.391161,12.597677866666666,0.34198041859425776,12.4318085,12.589159,12.774023,255,0.285411,0.492071,0.3012374745098039,0.01921955076759532,0.29047,0.296124,0.305092,255,0.136904,0.232041,0.1491792274509804,0.01653125368966878,0.1390705,0.140018,0.1536555,255,3.883336,5.533518,4.009959505882353,0.12984307458699101,3.925397,3.989477,4.085558,255,3.883336,5.533518,4.009959505882353,0.12984307458699101,3.925397,3.989477,4.085558,255,0.02286,0.046212,0.02515938039215686,0.0021878583960540402,0.0239995,0.024401,0.025754,255,0.054145,0.087031,0.05697139215686275,0.003958415702483,0.055283,0.055866,0.057524,255,40.242984,58.52116,47.82233588627451,2.1733460576038497,47.8260105,48.184306,48.4994695,255,27.204067,42.474272,34.69056215686275,2.0954094909890886,35.0379565,35.146624,35.2795025,255,0.021087,0.033846,0.022875701960784315,0.0014455777613514268,0.0222105,0.022661,0.023126,255,21.79646,28.544512,22.16892136862745,1.081870412527956,21.888032,21.925583,22.0070025,255,4.902611,14.618206,12.094019345098038,1.7925479133331532,12.703201,12.80081,12.856162,255,0.385938,0.488627,0.4023361450980392,0.01404590949367241,0.3942395,0.399135,0.404758,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,12.247815,31.437849,13.544653386894588,0.6746401405332723,13.263036,13.433487,13.5936045,1755,11.897037,30.917953,13.20804734985755,0.6658765775224381,12.928501,13.096481,13.2575545,1755,0.009217,0.837725,0.2624995403608737,0.23181568228979324,0.0544275,0.319632,0.42171225,10530,0.008949,3.345149,0.10469392269705603,0.0876967422027208,0.02693,0.1143445,0.1705105,10530,0.044701,16.700332,1.9054663603038937,1.947859108883014,0.16959275,1.146618,2.74255475,10530,0.044701,16.700332,1.9054663603038937,1.947859108883014,0.16959275,1.146618,2.74255475,10530,0.093598,0.192303,0.11364230883190883,0.015309259949745982,0.100711,0.114751,0.1185035,1755,0.133254,0.226778,0.1498884905982906,0.014786165224104829,0.139518,0.14607,0.1493265,1755,24.135282,49.906631,29.212853190313393,2.538143954384869,27.4157495,29.016682,30.9668435,1755,10.279797,22.95444,15.053073912250712,2.3640006130286815,13.367293,14.836006,16.7651515,1755,0.075098,0.169275,0.08748666666666667,0.01217224955815411,0.0812065,0.083992,0.0875415,1755,9.496309,21.956006,14.199492529344731,2.2738719047165805,12.597747,13.989509,15.8835875,1755,0.104758,1.006286,0.27525433504273505,0.10915051015656657,0.211132,0.254233,0.306857,1755,0.41192,0.706862,0.4887481413105413,0.030300500247757656,0.4681115,0.487057,0.5095585,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.038059,1.691702,0.095027087,0.12124962868756105,0.044369,0.0813135,0.1105685,1000,0.19516,0.321136,0.215968221,0.020508965640620668,0.20114475,0.2058835,0.2305525,1000,0.002064,0.020566,0.0027546565,0.0009063683462079586,0.002253,0.0023735,0.003146,4000,0.004041,0.018845,0.00519788725,0.0011747136951348774,0.00441,0.0046115,0.005879,4000,0.014931,0.042652,0.01741811925,0.0024081013206527333,0.015658,0.016409,0.01855925,4000,0.014931,0.042652,0.01741811925,0.0024081013206527333,0.015658,0.016409,0.01855925,4000,0.02052,0.043242,0.023056690999999997,0.0029511915040401904,0.02106075,0.021351,0.024999,1000,0.02556,0.054606,0.027684748999999998,0.002217731549579209,0.026251,0.0265585,0.02896075,1000,0.491276,2.464866,0.595755059,0.155847480708273,0.50921475,0.5553015,0.655089,1000,0.091629,0.242482,0.106014467,0.01649842616199833,0.09448275,0.0983005,0.1166995,1000,0.025849,0.070711,0.029720333999999998,0.004851660399743989,0.026813,0.027432,0.03229625,1000,0.041664,0.158909,0.048590430999999996,0.009288686519914375,0.04270125,0.0447195,0.05320175,1000,0.006202,0.027976,0.0077003900000000005,0.0018786861259667618,0.00654675,0.00678,0.0083075,1000,0.016595,0.053989,0.019452581,0.0033833500867393256,0.01724975,0.0178095,0.021103,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.038443,1.78439,0.096584532,0.12125696332813624,0.04448275,0.0824235,0.11304675,1000,0.193858,0.384791,0.218271774,0.021353773562087897,0.2028225,0.208695,0.23312775,1000,0.002108,0.013587,0.0027920747500000003,0.0008896807684009121,0.002295,0.002397,0.003168,4000,0.004099,0.046007,0.005311053,0.001461589826418821,0.004458,0.0047405,0.00601125,4000,0.014768,0.082125,0.0176323675,0.0030675327554801676,0.01575775,0.016494,0.0187005,4000,0.014768,0.082125,0.0176323675,0.0030675327554801676,0.01575775,0.016494,0.0187005,4000,0.020508,0.058903,0.023222264,0.0033324459677996285,0.0210805,0.021368,0.02503275,1000,0.025627,0.066171,0.028110509,0.0032301048496788773,0.02636425,0.0267245,0.02938775,1000,0.489217,2.593779,0.600893162,0.1552036786606547,0.5151285,0.5609345,0.6574865,1000,0.091441,0.210433,0.106547447,0.015807905804665935,0.09497725,0.0989055,0.117667,1000,0.02621,0.056053,0.029826202,0.004356822599004463,0.02694275,0.0277005,0.03240525,1000,0.041388,0.12363,0.048797659,0.009029883624539077,0.0426825,0.0450985,0.05460975,1000,0.006218,0.022781,0.007797373,0.001771203775930652,0.00655975,0.0071345,0.0083825,1000,0.016693,0.054033,0.019569527,0.0033194255282007756,0.01741025,0.017912,0.02121325,1000,0.0,2.4,0.72,0.96,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.016958,1.680069,0.066499587,0.11678359621500113,0.0423995,0.0538035,0.06620225,1000,0.195666,0.3311,0.208662547,0.014060265943778981,0.20225175,0.204949,0.20941425,1000,0.00206,0.023417,0.0026304009999999997,0.0008498203264214147,0.002262,0.002351,0.003037,4000,0.004143,0.027489,0.00502192325,0.0011705599033622488,0.00444,0.004565,0.005822,4000,0.014815,0.087955,0.016954227,0.0024685407115279667,0.015676,0.0162115,0.01820925,4000,0.014815,0.087955,0.016954227,0.0024685407115279667,0.015676,0.0162115,0.01820925,4000,0.020493,0.067665,0.021606697,0.0023117689355104244,0.021019,0.0211645,0.02135025,1000,0.025757,0.055717,0.026881093000000002,0.0020701328634536963,0.026237,0.0263995,0.026587,1000,0.51003,2.400408,0.57088544,0.13962827443539652,0.52960225,0.55457,0.57271525,1000,0.103033,0.222422,0.12643853900000002,0.015734622847671912,0.11551025,0.1256035,0.131761,1000,0.025686,0.072621,0.027875491999999998,0.0034921056006277933,0.026763,0.0271375,0.02754325,1000,0.046462,0.114404,0.049877088,0.006395165642597226,0.0477775,0.0482375,0.0490215,1000,0.009464,0.075481,0.029511879,0.010022373865425246,0.02101025,0.030907,0.03562275,1000,0.017038,0.040431,0.018635596,0.00236955514491307,0.01759475,0.0178065,0.0181635,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036709,1.540477,0.07887939599999999,0.09968890944277194,0.07077725,0.071955,0.074728,1000,0.060463,0.173265,0.078442007,0.009365062933955701,0.0772275,0.077768,0.07881925,1000,0.003041,0.018089,0.0043562520000000006,0.0011568683929021484,0.004181,0.0042705,0.00435525,1000,0.0058,0.023401,0.007987117,0.0014860572167016315,0.007799,0.007904,0.00802625,1000,0.018505,0.055506,0.024742598999999997,0.003244281226126829,0.02445675,0.024698,0.02491725,1000,0.018505,0.055506,0.024742598999999997,0.003244281226126829,0.02445675,0.024698,0.02491725,1000,0.006446,0.031818,0.009812122,0.0018636367900199866,0.00971875,0.009863,0.01,1000,0.010176,0.039068,0.012348038,0.0015957037402212226,0.012172,0.0122665,0.01235325,1000,0.16128,1.806871,0.266064503,0.11010291824543975,0.26001175,0.262723,0.2662205,1000,0.012729,0.087983,0.039362362,0.010316738909217193,0.0402915,0.040832,0.04175625,1000,0.00216,0.016666,0.003243513,0.0008091661027446713,0.00310775,0.00319,0.00327625,1000,0.007144,0.045234,0.01743759,0.004258442838867278,0.01754375,0.017734,0.017956,1000,0.00187,0.058398,0.016652101,0.006380933636921716,0.01774725,0.0179835,0.01823875,1000,0.001018,0.013414,0.0015426320000000002,0.0009075453270090702,0.001345,0.0013965,0.001462,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.036781,1.489246,0.09421377099999999,0.09747320534994505,0.072238,0.098602,0.1023525,1000,0.061044,0.137481,0.078325084,0.007822353785590626,0.077463,0.0781545,0.0790695,1000,0.003072,0.014734,0.004371947,0.0010404187052292936,0.004229,0.004307,0.00437725,1000,0.00591,0.024568,0.007886072000000001,0.001159512191749617,0.007749,0.007895,0.008045,1000,0.01855,0.06411,0.024826749,0.0030715096304584494,0.024582,0.02488,0.02512325,1000,0.01855,0.06411,0.024826749,0.0030715096304584494,0.024582,0.02488,0.02512325,1000,0.006444,0.020546,0.009784122,0.0014993744032482349,0.009679,0.0098285,0.010143,1000,0.010148,0.037729,0.012355817,0.0017013808760859516,0.012156,0.012281,0.012388,1000,0.162912,1.779889,0.271471071,0.10815055794351669,0.249216,0.278541,0.285813,1000,0.013004,0.067337,0.029604537,0.006953120378407884,0.0274265,0.031392,0.03212125,1000,0.002127,0.02095,0.003284241,0.0012269986523704907,0.00308075,0.003167,0.00324525,1000,0.007254,0.042439,0.016291085,0.003980969409299072,0.01586675,0.016644,0.016938,1000,0.001905,0.033754,0.008056569000000001,0.0029428751005163302,0.006459,0.009632,0.010065,1000,0.001037,0.01166,0.001474056,0.0007658383686287858,0.001291,0.001351,0.001405,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.00619,0.136881,0.007987122999999999,0.008818564109982475,0.00657275,0.006796,0.00714175,1000,1.123536,1.273095,1.144959365,0.01922121817918352,1.1335125,1.1398105,1.14794925,1000,0.06782,0.106528,0.069181714,0.003503015738218143,0.06811675,0.0682485,0.0689735,1000,0.037595,0.0637,0.039301540999999995,0.002534529339407812,0.03802975,0.038277,0.03902875,1000,0.015157,0.051111,0.016197348,0.0020217867065781196,0.01558775,0.015783,0.01602275,1000,0.992106,1.142512,1.011992459,0.017073458923262123,1.00307,1.00862,1.01233575,1000,0.002798,0.011884,0.003182326,0.0007497520281559763,0.002961,0.003015,0.00308525,1000,0.01101,0.022454,0.011552922,0.0008588643373175998,0.01126075,0.011365,0.01155425,1000,1.160306,1.420025,1.183551579,0.025081564432940764,1.16997075,1.1780435,1.18670425,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000284,0.00271,0.000347448,9.520543732371593e-05,0.000316,0.000334,0.000361,1000,2.503755,4.956192,2.559274795,0.18193413068629258,2.51354475,2.531953,2.55871725,1000,0.052258,0.095423,0.054778564,0.004079459161690922,0.0532465,0.0538125,0.05574175,1000,0.044306,0.082712,0.045645910000000005,0.002651784335480546,0.04467775,0.0450265,0.0457685,1000,0.690906,2.171202,0.717260186,0.09749599149521687,0.69741375,0.6997155,0.7277035,1000,1.697952,2.704158,1.7329665049999998,0.1005545414054282,1.70702075,1.710532,1.72915875,1000,0.001266,0.003716,0.001459822,0.00017081642870637472,0.00137675,0.001426,0.001487,1000,0.012708,0.03224,0.013302632,0.001114378928630652,0.01298675,0.013126,0.013329,1000,2.528897,5.016875,2.585931875,0.18437485652676552,2.53988,2.5591075,2.5847255,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000292,0.001202,0.000377658,8.471046591773651e-05,0.000336,0.00036,0.000383,1000,2.602889,5.000968,2.6814594109999996,0.1928668720275156,2.6123685,2.6272955,2.6795375,1000,0.052226,0.115942,0.054765132,0.006420952924806099,0.052655,0.0529295,0.0535825,1000,0.044535,0.110907,0.046570383,0.005774943402000665,0.04489275,0.0451045,0.04543425,1000,0.691828,1.990864,0.714786451,0.08757089467277128,0.69777825,0.7008115,0.70444575,1000,1.797009,2.85014,1.856259446,0.11885130511718028,1.807018,1.8111785,1.86758375,1000,0.001291,0.00581,0.001537782,0.00035951203940341134,0.001407,0.001451,0.001515,1000,0.012633,0.044637,0.013820493,0.002849462620205957,0.012975,0.013118,0.01334225,1000,2.627567,5.060392,2.709209623,0.1969649089753423,2.63867275,2.653821,2.70665475,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
