SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.340397,0.434578,0.3562412274509804,0.014538197175609275,0.3460415,0.350946,0.359301,255,11.723141,13.775376,12.311696733333333,0.2953716070109562,12.133906,12.308446,12.440711,255,0.284617,0.378647,0.3004571176470588,0.019652752285269335,0.2874085,0.293345,0.3057585,255,0.136119,0.239749,0.14272550196078432,0.012070519347754096,0.13755,0.138274,0.1414685,255,3.538876,3.947392,3.680398368627451,0.09576396602823148,3.611527,3.649547,3.73528,255,3.538876,3.947392,3.680398368627451,0.09576396602823148,3.611527,3.649547,3.73528,255,0.022516,0.045534,0.024673894117647057,0.0029723029469414406,0.0235245,0.02386,0.024291,255,0.046689,0.081889,0.05066638823529412,0.006030118930497144,0.0484155,0.048946,0.0494775,255,40.0475,56.601755,48.04933455686274,2.35372952830837,47.7842575,48.177244,49.3556035,255,27.268117,43.473638,35.211949239215684,2.2944677048323885,35.1564355,35.383038,36.593785,255,0.020565,0.044283,0.022379756862745095,0.0030783751029102363,0.0213565,0.021729,0.022137,255,21.760873,28.236669,22.050267207843135,0.8720189490248027,21.862491,21.895114,21.9325775,255,4.965224,14.778095,12.713039882352941,1.9998658708569594,12.804015,13.005139,14.252874,255,0.398485,0.534845,0.4234427725490196,0.02350940487606391,0.407904,0.414389,0.4318425,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,8.970732,13.927482,9.347658462678062,0.3521860440315757,9.1138045,9.265569,9.492653,1755,8.677796,13.562332,9.036893741880343,0.3491624161642518,8.803643,8.95918,9.176369,1755,0.00462,0.602303,0.17700810446343782,0.17224916036282364,0.0294195,0.116692,0.2830615,10530,0.006042,0.309827,0.08197466847103514,0.07895799487811013,0.01504175,0.0631,0.13648075,10530,0.035221,5.503094,1.168612904463438,1.2005592077517397,0.09079675,0.893817,1.7588345,10530,0.035221,5.503094,1.168612904463438,1.2005592077517397,0.09079675,0.893817,1.7588345,10530,0.097679,0.204475,0.11315553105413106,0.012892592570555627,0.103857,0.108047,0.1204435,1755,0.118666,0.20801,0.131062954985755,0.011180298188294009,0.1242975,0.127724,0.133548,1755,23.901581,41.164899,30.821035791452992,3.7014090079284996,28.3733205,30.357809,32.542206,1755,14.417475,31.435157,20.966179000569802,3.660698638655808,18.558857,20.417986,22.7235455,1755,0.072475,0.140948,0.08349495384615385,0.008332715663032475,0.078914,0.081736,0.085335,1755,13.598135,30.262223,20.131371789743593,3.571386977069087,17.771053,19.592307,21.892065,1755,0.100107,0.893172,0.25640658176638176,0.10424021509991686,0.198449,0.232248,0.2834225,1755,0.433454,0.707219,0.4926703868945869,0.028905376172922846,0.473654,0.487901,0.5062435,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.037537,1.76735,0.10761250900000001,0.12136449087924324,0.0539165,0.0928085,0.123834,1000,0.12447,0.267767,0.14147885999999998,0.01747686847877502,0.12838675,0.1326135,0.15296325,1000,0.001836,0.020709,0.00258070525,0.0012193287903073714,0.002,0.002123,0.002982,4000,0.004048,0.02491,0.00515022725,0.0016046496465295587,0.004303,0.00447,0.005699,4000,0.000324,0.018581,0.00073717475,0.000789291214452839,0.000448,0.000507,0.00092825,4000,0.000324,0.018581,0.00073717475,0.000789291214452839,0.000448,0.000507,0.00092825,4000,0.019832,0.073482,0.023033244999999997,0.0046541716344560185,0.02043975,0.020843,0.024652,1000,0.024999,0.068417,0.027655067999999998,0.0037767544536779192,0.02575425,0.0261455,0.02883725,1000,0.416609,2.365257,0.52109783,0.15123857725735554,0.44955525,0.482346,0.5765915,1000,0.086233,0.259066,0.102339787,0.017984196721444943,0.089563,0.0938135,0.11312825,1000,0.02466,0.077346,0.029128409,0.0058660691209462415,0.02570725,0.026463,0.0316765,1000,0.039323,0.193953,0.046770953000000004,0.010454837079208409,0.0403665,0.0425695,0.0524405,1000,0.005278,0.038386,0.00655124,0.002198703789144868,0.0055,0.0056435,0.007055,1000,0.015972,0.088784,0.019343735,0.004804344017529865,0.016584,0.0174855,0.02063625,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.051427,1.730292,0.10860239999999999,0.12271423994564772,0.05463375,0.094245,0.12474625,1000,0.126851,0.262925,0.144084829,0.0169746032158563,0.13097125,0.1362615,0.15567075,1000,0.001863,0.02154,0.0025531077500000002,0.0009275694748319057,0.002041,0.0021625,0.003032,4000,0.004073,0.02638,0.0052861845,0.0017220149289305681,0.004343,0.004588,0.005792,4000,0.000347,0.021471,0.00075108025,0.0008049399091298291,0.000475,0.000534,0.00088825,4000,0.000347,0.021471,0.00075108025,0.0008049399091298291,0.000475,0.000534,0.00088825,4000,0.019941,0.056952,0.022792461,0.0036603213914189288,0.02049575,0.0207985,0.02457475,1000,0.025121,0.068273,0.027724706,0.004069248268853106,0.02580425,0.0261495,0.02875675,1000,0.422927,2.344782,0.526333065,0.15228235440575108,0.45418125,0.484146,0.5802675,1000,0.087431,0.211115,0.103418706,0.016400876678323142,0.09064375,0.0954405,0.1150615,1000,0.025215,0.067785,0.029755182,0.005582863429717406,0.026288,0.0270875,0.03227125,1000,0.03965,0.103487,0.047168472,0.009321078567162494,0.040657,0.043354,0.05290425,1000,0.005249,0.024406,0.006668095999999999,0.0019268750490843978,0.005544,0.00593,0.00700775,1000,0.016166,0.059799,0.019265886,0.0035030740741531573,0.0168285,0.0177195,0.0208575,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.0351,1.706237,0.079671697,0.12034207517946993,0.0529195,0.0673585,0.07844225,1000,0.125055,0.313257,0.13713351999999998,0.016058903112902822,0.127836,0.1320145,0.1374585,1000,0.00186,0.023529,0.002466921,0.0013679033047913145,0.001997,0.002074,0.00294325,4000,0.003995,0.023088,0.00491597275,0.0014700645387218335,0.00423,0.004396,0.00562825,4000,0.000353,0.071437,0.000759287,0.001368692796843397,0.000456,0.000515,0.00094,4000,0.000353,0.071437,0.000759287,0.001368692796843397,0.000456,0.000515,0.00094,4000,0.020011,0.058584,0.021611176,0.0033510758360598167,0.020533,0.0207345,0.02126425,1000,0.025307,0.069638,0.027041854,0.004392766387219334,0.025796,0.025991,0.02622425,1000,0.437075,2.381421,0.502651604,0.1430419198568629,0.461197,0.484606,0.50390125,1000,0.099792,0.26075,0.12337516899999999,0.017518056354642743,0.1115135,0.1214825,0.12820275,1000,0.025368,0.08083,0.027739076,0.0048711139364855756,0.02619,0.0265695,0.02711375,1000,0.044698,0.124974,0.048282129,0.007775685856717657,0.04565875,0.0461855,0.047166,1000,0.008941,0.087222,0.028170498999999998,0.01058491556234621,0.01954,0.02935,0.03387625,1000,0.016341,0.058054,0.01864607,0.0037148464505413954,0.017113,0.01736,0.01790775,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040072,1.438978,0.083035471,0.0965218819385592,0.07466575,0.075233,0.07725975,1000,0.040396,0.107215,0.053619553,0.00880067811257695,0.05128675,0.051711,0.052672,1000,0.002806,0.02413,0.0041479030000000005,0.001298761968026089,0.0040255,0.004092,0.004161,1000,0.005749,0.025042,0.007709883,0.0018497007237147853,0.00742175,0.0075315,0.00765825,1000,0.000777,0.011592,0.0010664700000000001,0.000647012761156996,0.00096375,0.001,0.001032,1000,0.000777,0.011592,0.0010664700000000001,0.000647012761156996,0.00096375,0.001,0.001032,1000,0.005935,0.147634,0.009501739,0.004867886334835583,0.009218,0.009323,0.00945225,1000,0.009919,0.037342,0.012783174000000001,0.0030465171054376177,0.012229,0.012342,0.0124745,1000,0.140048,1.676213,0.241609013,0.10594900071321499,0.2309165,0.233767,0.24695725,1000,0.011945,0.100773,0.037980324999999995,0.010729652447557423,0.03825525,0.038652,0.03988575,1000,0.00198,0.013465,0.0030397130000000003,0.0009005060391974061,0.002914,0.002994,0.003069,1000,0.006777,0.055478,0.016705667,0.004626277658994432,0.016551,0.01672,0.01694525,1000,0.001558,0.073208,0.016041394,0.006695747643449833,0.01692375,0.0171625,0.017325,1000,0.000971,0.017375,0.0014254790000000001,0.0010207494244715498,0.001248,0.001289,0.00133725,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.04031,1.503883,0.09846621000000001,0.09938527128219707,0.075441,0.1034545,0.10487075,1000,0.039885,0.15179,0.053373142,0.008872877546311343,0.05099525,0.051544,0.0525405,1000,0.002834,0.020825,0.0042018360000000005,0.0014173076092027447,0.004046,0.004131,0.004205,1000,0.005697,0.027415,0.0076714520000000005,0.0018955560961617568,0.007419,0.007508,0.00760625,1000,0.00076,0.013372,0.00102516,0.000608198806641381,0.000927,0.0009575,0.000992,1000,0.00076,0.013372,0.00102516,0.000608198806641381,0.000927,0.0009575,0.000992,1000,0.006019,0.033453,0.009386222,0.002271795728650796,0.009164,0.00929,0.009438,1000,0.009957,0.037921,0.012741942999999999,0.002603384667265097,0.012307,0.012413,0.01251325,1000,0.140818,1.756701,0.247383923,0.11018912378681969,0.2207225,0.250947,0.25541675,1000,0.012016,0.065038,0.02847703,0.007502653195843455,0.02560425,0.0295805,0.03006925,1000,0.001999,0.018679,0.0030595509999999998,0.0009852109781153476,0.002927,0.002995,0.003063,1000,0.006847,0.046359,0.015709388,0.004479596492035416,0.015008,0.0157165,0.016036,1000,0.001599,0.039347,0.007555877000000001,0.00333929647588695,0.0058195,0.0089215,0.00916425,1000,0.000957,0.01629,0.001383369,0.0007017615398687791,0.001219,0.001299,0.00137025,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008412,0.170304,0.010176603999999999,0.009144514450597364,0.008841,0.009052,0.009343,1000,1.108179,1.293334,1.13843204,0.028473032564312495,1.11412925,1.130611,1.151883,1000,0.066998,0.153587,0.06943347,0.006572579485491219,0.06761575,0.067804,0.067976,1000,0.037612,0.072877,0.03924375099999999,0.004220834386350523,0.03807625,0.0382865,0.03888025,1000,0.000678,0.011775,0.000974774,0.0005941540868528971,0.000808,0.000883,0.000942,1000,0.992258,1.152993,1.0207331659999999,0.024981200833956003,0.9979355,1.013568,1.03390075,1000,0.002794,0.020423,0.003128095,0.000868709448535585,0.002935,0.003025,0.003166,1000,0.008079,0.028164,0.008540734000000001,0.0012375429961193267,0.00830475,0.00839,0.00849725,1000,1.141025,1.478972,1.174448639,0.03406561882395033,1.149705,1.1656355,1.187029,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000276,0.009115,0.00035972500000000003,0.00028208952014387205,0.000326,0.000346,0.000361,1000,2.506434,5.111559,2.584187023,0.2008042422748844,2.52669525,2.558202,2.58248675,1000,0.052118,0.104189,0.054854316,0.0055785152705844585,0.05245325,0.0530495,0.05417175,1000,0.044117,0.086041,0.046218531,0.004619501676917002,0.044627,0.044932,0.04531225,1000,0.689645,2.191698,0.716845528,0.10237037455248085,0.6961565,0.70163,0.72328225,1000,1.704166,2.79337,1.7585406810000002,0.11563215122399668,1.713472,1.7394695,1.764864,1000,0.001148,0.021025,0.0014084000000000002,0.0008317441842297426,0.001259,0.001323,0.001435,1000,0.005918,0.023402,0.006589688,0.001225271716255623,0.006286,0.006415,0.0065545,1000,2.522979,5.164348,2.602418975,0.20318839703710045,2.5449925,2.5766235,2.60019075,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000279,0.000873,0.00036510599999999997,5.38376147688584e-05,0.00033475,0.00036,0.000382,1000,2.620256,5.111456,2.700590829,0.1910501377809913,2.648416,2.675688,2.6980825,1000,0.052084,0.106211,0.054134184,0.005319164348856312,0.05250275,0.0527735,0.05326175,1000,0.043999,0.076709,0.045953007,0.003673377195300123,0.044662,0.0448375,0.04628875,1000,0.690252,2.06662,0.718000241,0.09355427122633642,0.6975645,0.704884,0.722062,1000,1.817084,2.911311,1.874561534,0.11313797669157268,1.8416725,1.852226,1.87698775,1000,0.001151,0.004812,0.0014201980000000001,0.00023158722934566144,0.001291,0.0013535,0.00149625,1000,0.006005,0.026733,0.006818523,0.0011167888177587557,0.00647875,0.0066325,0.006902,1000,2.638418,5.161003,2.7193369780000003,0.19357917606145944,2.66647425,2.6944765,2.716373,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
