SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.322996,0.406411,0.3389108588235294,0.010144054296979548,0.332213,0.336687,0.3424245,255,12.144748,13.837929,12.587276756862744,0.21742179885583135,12.4784525,12.619495,12.7223,255,0.284735,0.45298,0.2964099137254902,0.018198483332636347,0.28834,0.290574,0.297511,255,0.135728,0.224696,0.1418593254901961,0.01314850724159558,0.136856,0.137573,0.141629,255,3.866321,4.149044,3.954996866666667,0.060024728679380156,3.89913,3.948662,4.001415,255,3.866321,4.149044,3.954996866666667,0.060024728679380156,3.89913,3.948662,4.001415,255,0.022659,0.054716,0.02407747450980392,0.002150005356659368,0.0234525,0.023802,0.024142,255,0.054473,0.083512,0.05679802745098039,0.002410188386427495,0.055796,0.056263,0.0567655,255,40.297555,50.000273,47.537002011764706,1.772070713222077,47.8802905,48.202939,48.3796925,255,27.214984,36.581026,34.43012196470588,1.7919395823984066,35.0466515,35.12814,35.2088805,255,0.020629,0.044783,0.02241609411764706,0.002563409836749065,0.021633,0.022004,0.022394,255,21.807532,23.148422,21.92956025098039,0.09573358270546069,21.8904015,21.918035,21.9467625,255,4.876495,13.220673,12.069491650980392,1.7818367993535849,12.721878,12.794178,12.8436205,255,0.384047,0.499817,0.4062285019607843,0.015545003904508118,0.3976365,0.402315,0.4089505,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,11.777065,16.598892,13.175438725356127,0.40642202025149116,12.9024885,13.074502,13.2868845,1755,11.470647,16.270854,12.837722056980057,0.39557782328417257,12.578581,12.740959,12.935967,1755,0.007794,0.860047,0.25088698917378915,0.22291063310765746,0.0517385,0.3041015,0.40379875,10530,0.008283,0.431043,0.10023715356125357,0.08271778307701515,0.0225365,0.112351,0.1768545,10530,0.078944,7.696265,1.8602318210826212,1.898615454309695,0.1699065,1.1727635,2.68790675,10530,0.078944,7.696265,1.8602318210826212,1.898615454309695,0.1699065,1.1727635,2.68790675,10530,0.092134,0.221138,0.11358040683760683,0.016668028300541298,0.099704,0.113666,0.118785,1755,0.13592,1.048317,0.15150855441595443,0.025743839756875147,0.1414765,0.147481,0.1505175,1755,23.995829,40.263197,28.911243628490027,2.3804098209027225,27.184136,28.835145,30.5657065,1755,10.33406,26.834032,15.11899730883191,2.3635463482128984,13.469241,14.982897,16.828499,1755,0.074141,0.147984,0.08823346438746438,0.011821745975494931,0.0810625,0.085449,0.0901115,1755,9.464802,25.971987,14.268332845014244,2.280371355500192,12.6811865,14.134581,15.973866,1755,0.103098,0.664331,0.27216428319088315,0.1072652657182297,0.2091205,0.247174,0.301013,1755,0.412806,0.661088,0.48803517663817664,0.029725075542886975,0.4668495,0.486165,0.507729,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.035608,1.727314,0.096220104,0.12279031053095021,0.04361825,0.0814835,0.1112925,1000,0.271579,0.46082,0.302894725,0.0275556329363594,0.2838485,0.2896365,0.319599,1000,0.001258,0.016897,0.00198031525,0.0008352973215373299,0.001556,0.001713,0.00233325,4000,0.002974,0.019621,0.00389967875,0.0008871816615262275,0.003335,0.003537,0.004421,4000,0.020838,0.069649,0.0242726875,0.0034961761582969117,0.02186675,0.023445,0.0255435,4000,0.020838,0.069649,0.0242726875,0.0034961761582969117,0.02186675,0.023445,0.0255435,4000,0.020498,0.052889,0.023125573,0.003311692765440508,0.02109775,0.021391,0.02500325,1000,0.026237,0.067454,0.028448548,0.003174888806823949,0.02682875,0.027137,0.02955625,1000,0.570017,2.543683,0.685737776,0.15994741439148624,0.59452175,0.640983,0.75564225,1000,0.091232,0.253975,0.10614681699999999,0.016940593844417352,0.09472525,0.0984735,0.11571775,1000,0.025552,0.063515,0.029432923,0.005018322415017891,0.02646875,0.027173,0.03164975,1000,0.041295,0.128473,0.048710113,0.009579003216318022,0.04278575,0.043997,0.05343275,1000,0.006158,0.023641,0.007492746,0.0017530102120307228,0.006393,0.006562,0.0080585,1000,0.017094,0.053415,0.019896563,0.0034126272360208054,0.01773775,0.018241,0.021435,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
BilateralLagrangianConstraint_PGS,0.0338,1.71974,0.097837753,0.1211871685460882,0.04329525,0.083907,0.11416775,1000,0.275211,0.445478,0.30458433399999996,0.026383275696668977,0.28540625,0.2916515,0.32180075,1000,0.00132,0.018281,0.0020340987500000003,0.0008586062686111938,0.001606,0.0017615,0.002372,4000,0.003032,0.025341,0.0039731424999999996,0.0010186097663942505,0.003399,0.003587,0.00448,4000,0.020976,0.067124,0.02456558425,0.003427000401867782,0.022146,0.023787,0.025829,4000,0.020976,0.067124,0.02456558425,0.003427000401867782,0.022146,0.023787,0.025829,4000,0.020648,0.051945,0.023349384999999997,0.0033056389522715572,0.0211905,0.021503,0.02523325,1000,0.026208,0.065764,0.028753955999999997,0.003829353954920334,0.02690075,0.027223,0.029866,1000,0.576525,2.55102,0.68988949,0.1584464352801536,0.595485,0.6454745,0.75733,1000,0.091594,0.215047,0.10596615300000001,0.01627637035802488,0.09444025,0.098008,0.1162915,1000,0.025593,0.119776,0.029373920999999997,0.005339138171536582,0.02645825,0.026996,0.03168575,1000,0.041549,0.122478,0.048635635,0.008959683108334525,0.042633,0.0437765,0.05379625,1000,0.006021,0.040553,0.007505324,0.0019121996582532903,0.00633275,0.0068745,0.0080595,1000,0.017067,0.045197,0.01984849,0.0031637540542684417,0.017711,0.018141,0.02141075,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.033027,1.805095,0.06804190700000001,0.11992368396061033,0.04223875,0.054673,0.06823125,1000,0.272917,0.497383,0.293558711,0.017244498921786013,0.286173,0.2890595,0.29325875,1000,0.001368,0.012906,0.0019019605,0.000701410972568686,0.001582,0.001676,0.002292,4000,0.003057,0.018184,0.003836979,0.0008781719165738563,0.00338375,0.003527,0.004415,4000,0.020972,0.067257,0.02356279375,0.0028531957569032903,0.02184375,0.0232585,0.0240805,4000,0.020972,0.067257,0.02356279375,0.0028531957569032903,0.02184375,0.0232585,0.0240805,4000,0.020924,0.064703,0.022038906,0.002657989538196868,0.021304,0.021445,0.021822,1000,0.026628,0.056387,0.027679559,0.002469829754156954,0.02697875,0.027106,0.027256,1000,0.595618,2.671325,0.661614242,0.1457040517703658,0.6176085,0.643283,0.66253525,1000,0.103866,0.25883,0.127468249,0.016248032963808234,0.1167375,0.126043,0.13202825,1000,0.025888,0.055469,0.027709035,0.0029724813694580157,0.02674375,0.026996,0.0273335,1000,0.047613,0.112707,0.05074545,0.0065755342203884844,0.048583,0.048981,0.04976525,1000,0.009369,0.077083,0.029305065999999998,0.010068633063809805,0.020904,0.0307445,0.03535775,1000,0.017563,0.057373,0.019122381,0.0028521705067963594,0.018038,0.018197,0.018473,1000,0.0,2.4,1.2,0.758946638440411,1.2,1.2,1.2,5
FrictionContact_LCP_with_friction,0.037738,1.500811,0.07998280199999999,0.09858271218738505,0.07197975,0.073849,0.07578625,1000,0.080314,0.168941,0.107715281,0.010778648889078769,0.1057045,0.107859,0.11043425,1000,0.002085,0.019793,0.0032301269999999997,0.0011006739975446863,0.00301175,0.0031095,0.003229,1000,0.004383,0.018408,0.005902625,0.0012195996598781912,0.00565875,0.0057445,0.00591,1000,0.024476,0.068285,0.033584813000000005,0.0038472148528553743,0.03257775,0.0331155,0.03540525,1000,0.024476,0.068285,0.033584813000000005,0.0038472148528553743,0.03257775,0.0331155,0.03540525,1000,0.006475,0.03871,0.009642307000000001,0.0016845680884876692,0.00956775,0.009705,0.00995125,1000,0.010342,0.040797,0.012782488,0.001784476360128091,0.0125175,0.0126715,0.01278925,1000,0.183851,1.806267,0.29736001,0.1092581570944426,0.29082225,0.2951205,0.30015275,1000,0.013137,0.090045,0.039737025999999995,0.010273322060235629,0.04071375,0.041271,0.0423585,1000,0.002243,0.013249,0.003226437,0.0007537911620807185,0.00308,0.0031585,0.00323,1000,0.007347,0.054957,0.017425443,0.004204431856357171,0.01749275,0.0176945,0.01791425,1000,0.001893,0.058263,0.01709635,0.006372618970996148,0.0182215,0.01848,0.01878025,1000,0.001021,0.010927,0.001438496,0.0006292832780107858,0.00128,0.001338,0.001397,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.037748,1.474037,0.094765594,0.0988439864349226,0.07322,0.100945,0.103148,1000,0.080427,0.188071,0.10642113800000001,0.009937929223885427,0.105108,0.1073075,0.108938,1000,0.002163,0.012153,0.0031167089999999996,0.0008490983714028664,0.002971,0.003055,0.003132,1000,0.004401,0.021542,0.005780854,0.0010619503051856993,0.00567,0.005757,0.005835,1000,0.024604,0.070558,0.033428544000000004,0.003913338966670789,0.032462,0.032978,0.035201,1000,0.024604,0.070558,0.033428544000000004,0.003913338966670789,0.032462,0.032978,0.035201,1000,0.006484,0.026549,0.009519607,0.0014457753983765941,0.00949175,0.009615,0.0097415,1000,0.01048,0.039972,0.012719283,0.0018019525828697602,0.01246675,0.012571,0.0126995,1000,0.183875,1.78058,0.300004539,0.1099368467133494,0.27882625,0.3095545,0.315988,1000,0.013165,0.06934,0.029561966000000002,0.006667682754364067,0.02739125,0.031438,0.0323225,1000,0.002282,0.012048,0.003231056,0.0006999131752324711,0.003109,0.003174,0.00325025,1000,0.007334,0.048653,0.016238705,0.0038575687840886256,0.01587075,0.016589,0.01690725,1000,0.001893,0.023849,0.008149631000000001,0.002914610050562339,0.00650775,0.0097385,0.01028375,1000,0.001007,0.010162,0.001418259,0.000623674618626572,0.001242,0.001324,0.001388,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006499,0.188758,0.008269621,0.009786324589209118,0.00684475,0.0070165,0.0072555,1000,1.142991,1.362834,1.173477077,0.03560179905590546,1.149277,1.1547535,1.189485,1000,0.066739,0.124049,0.06849125199999999,0.00401925717919319,0.067168,0.067289,0.06933075,1000,0.037131,0.077219,0.038660396,0.0033139130418862834,0.03749375,0.037652,0.03807825,1000,0.021377,0.045333,0.023242518,0.002101597334333102,0.0220845,0.0223415,0.0244895,1000,0.993883,1.203097,1.019756736,0.03220957729024558,0.99798825,1.003146,1.0369565,1000,0.002753,0.013326,0.00316436,0.0007906993122546648,0.00295575,0.003013,0.00307925,1000,0.011389,0.035174,0.011991257,0.0015933835247519661,0.011616,0.011709,0.01183825,1000,1.179332,1.516486,1.212870455,0.04015575555259763,1.187786,1.192873,1.2297185,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000296,0.000847,0.000357511,5.115212487277532e-05,0.000331,0.0003455,0.000368,1000,2.514286,4.920937,2.5847010200000002,0.18599316184509473,2.5407705,2.5515905,2.57963425,1000,0.050814,0.093499,0.053631622999999996,0.0034820851808752473,0.05227275,0.0525285,0.0532365,1000,0.042492,0.085115,0.045301219,0.003546629555372114,0.04423575,0.044427,0.04477675,1000,0.699196,2.056505,0.721601044,0.09421469576991724,0.70601075,0.7098225,0.71750025,1000,1.692481,2.717699,1.739683701,0.10557397829813746,1.7078895,1.717164,1.73815225,1000,0.001195,0.003535,0.001459389,0.00017565663004566608,0.00138075,0.001438,0.001504,1000,0.012807,0.029079,0.013653583,0.0011009877742786248,0.01323675,0.0134255,0.013721,1000,2.54371,4.983265,2.611960189,0.18836219473656407,2.56730325,2.5794025,2.60695025,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000301,0.001047,0.000351459,5.0251212114734106e-05,0.000329,0.000343,0.00036,1000,2.62044,4.864301,2.684972238,0.17445931667413284,2.63426725,2.651365,2.687518,1000,0.051791,0.094697,0.053014601,0.0030033619058979556,0.052194,0.0523795,0.05270525,1000,0.043896,0.112553,0.044986301,0.0036066080389195333,0.044264,0.044379,0.04455325,1000,0.699258,1.902561,0.7160700720000001,0.0832323894047192,0.704114,0.706149,0.70849,1000,1.797792,2.805322,1.846841159,0.10507680498791214,1.806874,1.8142975,1.85989675,1000,0.001148,0.018688,0.001410488,0.0005978994780529584,0.00130775,0.001355,0.001424,1000,0.012836,0.044136,0.013587735,0.0016710789738294837,0.01317975,0.013321,0.01352425,1000,2.645198,4.941782,2.711778591,0.17702428417499594,2.660866,2.678008,2.713644,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
