SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.34259,0.482866,0.35763468627450984,0.016226462441103935,0.348126,0.35272,0.3609025,255,11.820182,13.242543,12.33250245098039,0.2601088047629385,12.1530725,12.361092,12.4727435,255,0.285061,0.40328,0.2984691843137255,0.015491273671902938,0.2888815,0.291841,0.3013475,255,0.13669,0.232248,0.14486033725490197,0.013185568547081637,0.1382345,0.13913,0.143928,255,3.544874,3.926328,3.6629463960784316,0.06931714542828112,3.6140155,3.64478,3.699736,255,3.544874,3.926328,3.6629463960784316,0.06931714542828112,3.6140155,3.64478,3.699736,255,0.022313,0.048793,0.02431592156862745,0.0024744079493347233,0.023491,0.023888,0.0243405,255,0.052553,0.086796,0.05595443137254902,0.003657967079553095,0.05433,0.055046,0.0561375,255,40.067515,54.910129,47.620851525490195,2.038560987906974,47.5959955,47.937062,48.2294045,255,27.178824,41.689119,34.755905482352944,2.073773131878707,35.028794,35.156608,35.2911575,255,0.02087,0.042282,0.022565239215686272,0.002037065891113157,0.0218415,0.022229,0.022634,255,21.773228,28.452678,22.20661792156863,1.265993883092515,21.8589725,21.893081,21.923662,255,4.885405,13.806191,12.107161823529411,1.7921162816564842,12.7052505,12.790648,12.9472915,255,0.390302,0.500996,0.41672073725490194,0.017416551670515878,0.4066025,0.411505,0.4199925,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.981014,13.732246,9.306894751566952,0.3327788453710903,9.1169445,9.199388,9.4341555,1755,8.662851,13.406829,8.999230360683761,0.32862818108473324,8.813128,8.890252,9.1152415,1755,0.004859,0.576053,0.17489636486229818,0.16999934379937098,0.02975275,0.119873,0.280347,10530,0.005891,0.311802,0.07679092003798671,0.0737753943793186,0.01429975,0.0634765,0.10489575,10530,0.036444,5.522061,1.1562688297245964,1.1903941723679468,0.08593825,0.8876595,1.737244,10530,0.036444,5.522061,1.1562688297245964,1.1903941723679468,0.08593825,0.8876595,1.737244,10530,0.097084,0.17354,0.1105400586894587,0.011595719980348456,0.1030915,0.106084,0.11721,1755,0.133518,0.316659,0.14569861253561253,0.012095450192901447,0.138567,0.141051,0.1491005,1755,23.862863,42.097395,30.724607998290598,3.7318420207597924,28.2999165,30.103974,32.497478,1755,14.222946,31.511653,20.905587773789176,3.6694655485492436,18.5403925,20.368224,22.737364,1755,0.072278,0.142707,0.08191524387464387,0.008048486378964496,0.077717,0.080236,0.082626,1755,13.400149,30.609094,20.07400969230769,3.57649319343766,17.766793,19.536402,21.904129,1755,0.099766,0.62868,0.25403601652421653,0.10391787616464858,0.195584,0.229463,0.280215,1755,0.434778,0.669375,0.49343703475783474,0.02957397973867243,0.473478,0.487924,0.509454,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.036179,1.753611,0.108923239,0.12413208247296054,0.05477575,0.093033,0.1253135,1000,0.124747,0.278996,0.142428389,0.019006412031619197,0.129203,0.1339125,0.1538945,1000,0.001862,0.021434,0.00261024175,0.0011116347072248766,0.002034,0.002196,0.00300125,4000,0.004023,0.061422,0.005241313,0.002008758676902479,0.004298,0.004495,0.0057795,4000,0.000326,0.024196,0.00072689575,0.0008394199294047868,0.000424,0.000484,0.000906,4000,0.000326,0.024196,0.00072689575,0.0008394199294047868,0.000424,0.000484,0.000906,4000,0.02012,0.060743,0.023050878,0.004109176173774496,0.02066275,0.0209925,0.02480875,1000,0.028072,0.066453,0.031083296,0.004677838109039687,0.0287075,0.029169,0.03232925,1000,0.422594,2.464811,0.52708123,0.1537840368669294,0.4536335,0.4882435,0.5819355,1000,0.085606,0.21073,0.101146763,0.016540470773978324,0.088557,0.0929205,0.111623,1000,0.025137,0.067459,0.029387526,0.00545375551701064,0.02610975,0.026785,0.0319635,1000,0.038127,0.131065,0.045345053999999996,0.009457539144041857,0.03897175,0.041403,0.05037,1000,0.005317,0.031352,0.006590277,0.0019103457085750213,0.0055475,0.0057255,0.007102,1000,0.01597,0.056538,0.01927757,0.0041468515103750695,0.01667775,0.0174345,0.020645,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.040004,1.630896,0.107738626,0.11670009072273305,0.05364425,0.09386,0.1244555,1000,0.122919,0.283449,0.14303939999999998,0.01854460157749419,0.129136,0.1362055,0.15392725,1000,0.001829,0.022686,0.00253668925,0.0009819248457414841,0.002022,0.002196,0.002982,4000,0.003995,0.027621,0.00528008575,0.0018036189713730938,0.004317,0.004649,0.005793,4000,0.000325,0.022288,0.0007366255,0.0009419800445071807,0.000438,0.0005,0.000862,4000,0.000325,0.022288,0.0007366255,0.0009419800445071807,0.000438,0.0005,0.000862,4000,0.020029,0.082153,0.023162517,0.004680907679468908,0.02061875,0.0209805,0.0248395,1000,0.027979,0.075687,0.03112656,0.004875633522774246,0.02869275,0.029141,0.0323595,1000,0.418786,2.25888,0.527448734,0.14715508152757498,0.45304275,0.488703,0.58093625,1000,0.085025,0.198932,0.10099092600000001,0.01639938854904426,0.08831025,0.092883,0.11210425,1000,0.024916,0.070922,0.029297573,0.00555248454213706,0.02593175,0.0267025,0.031905,1000,0.037844,0.1145,0.045056525,0.008835820683409946,0.038822,0.041737,0.050265,1000,0.005313,0.026657,0.006727034,0.0020105135520169966,0.005593,0.006026,0.007101,1000,0.015939,0.102148,0.019388996999999998,0.005275747634695105,0.01667975,0.0172405,0.02057225,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.038621,1.721688,0.08109727800000001,0.11922521780462687,0.05322575,0.0679535,0.08043075,1000,0.124755,0.248448,0.136483231,0.014898556519194705,0.1279495,0.131615,0.1361685,1000,0.001832,0.023047,0.00243114325,0.001260674738276863,0.001985,0.0020855,0.002888,4000,0.004012,0.025967,0.0049400417500000005,0.0014931679970810177,0.004277,0.004463,0.00563125,4000,0.000342,0.022068,0.00073583825,0.000870797606557883,0.000435,0.0005,0.00094225,4000,0.000342,0.022068,0.00073583825,0.000870797606557883,0.000435,0.0005,0.00094225,4000,0.020099,0.116454,0.021525038,0.004584394946397616,0.020479,0.0206215,0.020803,1000,0.028167,0.070826,0.030114171,0.004879124778252653,0.028807,0.0289835,0.02921025,1000,0.43827,2.353932,0.505676255,0.14026657724211414,0.4650685,0.487368,0.5122835,1000,0.097594,0.222853,0.12223363899999999,0.017355648104426382,0.1096345,0.119814,0.1267555,1000,0.02519,0.065741,0.02799417,0.005297474989756913,0.02611375,0.026476,0.02690575,1000,0.043033,0.119064,0.047057816,0.008262356970389503,0.043931,0.044363,0.0452505,1000,0.008943,0.085478,0.028124723999999997,0.01027295127194829,0.01969325,0.029231,0.03353875,1000,0.016622,0.048311,0.018538366,0.0033920044534233736,0.01712475,0.0173185,0.017829,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.034894,1.526591,0.083872314,0.09983170573777352,0.07506425,0.0757745,0.07770425,1000,0.040152,0.106477,0.053369793,0.008644663786183417,0.05124475,0.051751,0.0523955,1000,0.002794,0.019874,0.004104848,0.0012580857510106375,0.00398175,0.00405,0.004119,1000,0.005703,0.025032,0.007832486,0.0020497700724237343,0.007445,0.007604,0.00773,1000,0.000711,0.017917,0.001063662,0.0010034971558285555,0.000931,0.000963,0.00099425,1000,0.000711,0.017917,0.001063662,0.0010034971558285555,0.000931,0.000963,0.00099425,1000,0.00605,0.033123,0.009456785,0.002372273239484651,0.009167,0.009296,0.009465,1000,0.01134,0.043648,0.014428563,0.0025577364532005636,0.014089,0.0142155,0.01433925,1000,0.142203,1.756086,0.244228395,0.10903811680781622,0.23296825,0.2359235,0.25324175,1000,0.012071,0.117126,0.038297905,0.011756703066420238,0.03755525,0.03814,0.0409285,1000,0.001971,0.020497,0.00312285,0.0014312432712505585,0.0028965,0.00298,0.003062,1000,0.006938,0.054009,0.016498951,0.005122124724818695,0.0158915,0.0160855,0.0163085,1000,0.001592,0.05579,0.016419925999999998,0.0068965781856311905,0.01705125,0.0172665,0.01739525,1000,0.000965,0.020352,0.001439657,0.0010698775590463612,0.001268,0.001307,0.00135525,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040564,1.538501,0.09914588099999999,0.09909094647342329,0.0753785,0.1035,0.10524825,1000,0.040191,0.128547,0.053424711,0.00946934874188711,0.050791,0.051383,0.05246175,1000,0.002799,0.019486,0.004185975999999999,0.0014874956387915899,0.004004,0.0040725,0.004142,1000,0.005661,0.024896,0.0077183469999999995,0.0020246944412900926,0.00737275,0.0074825,0.0076065,1000,0.00074,0.015138,0.001013553,0.0007031797929342112,0.000908,0.00094,0.000975,1000,0.00074,0.015138,0.001013553,0.0007031797929342112,0.000908,0.00094,0.000975,1000,0.005996,0.035513,0.009303739,0.0023247536529445436,0.009092,0.0092465,0.0094425,1000,0.011176,0.043674,0.014370892,0.002931510077815868,0.01385975,0.014019,0.01419225,1000,0.142083,1.791373,0.24892678,0.11014699780420527,0.221032,0.2526115,0.256955,1000,0.012053,0.085778,0.027823377,0.0076818597851608175,0.02488175,0.0286815,0.02955525,1000,0.002008,0.021733,0.003093493,0.0014578846751204294,0.00289175,0.002955,0.003033,1000,0.006888,0.046993,0.015025108,0.0044207195281239,0.014171,0.0148755,0.01530325,1000,0.001622,0.029973,0.007575835,0.0031411122854452375,0.00588925,0.0089445,0.00925,1000,0.000974,0.013347,0.0013742840000000001,0.0007789155611130132,0.001209,0.001272,0.001332,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.008421,0.144293,0.010089714,0.008794539240926949,0.00870975,0.008886,0.00921575,1000,1.095177,1.33664,1.1272408729999999,0.028313182233385054,1.1063215,1.120858,1.13881875,1000,0.067108,0.131042,0.069177688,0.006262565192048383,0.067449,0.067631,0.067826,1000,0.037201,0.097987,0.039037593,0.00551353504907251,0.037648,0.037813,0.037977,1000,0.000685,0.021173,0.00095007,0.0008637373079241165,0.000781,0.0008165,0.000856,1000,0.979868,1.168362,1.010330032,0.024704837328526897,0.9918225,1.0047705,1.02237075,1000,0.002667,0.022944,0.0029546399999999997,0.0010293506741630863,0.002794,0.002846,0.00291025,1000,0.008424,0.027527,0.009067344,0.0015942172278783089,0.008686,0.008783,0.008896,1000,1.1289,1.520788,1.163312347,0.03449142609612701,1.14013875,1.1566835,1.174175,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000285,0.00914,0.000361483,0.00028315977770686283,0.000321,0.000339,0.00037125,1000,2.508479,5.124094,2.590329676,0.2012901977244223,2.5403525,2.5665175,2.5874565,1000,0.051958,0.099212,0.054441751,0.005858482487043808,0.052643,0.0528785,0.05332825,1000,0.043975,0.083352,0.046175557,0.005591805523330636,0.04455775,0.044766,0.0450585,1000,0.689973,2.162919,0.716777341,0.10273708452819127,0.69439325,0.698554,0.72321925,1000,1.709491,2.836496,1.765284819,0.11462086992309141,1.72729125,1.745821,1.76931425,1000,0.001168,0.018864,0.001377175,0.0006485940289387499,0.001275,0.00132,0.001376,1000,0.005985,0.026691,0.006785837,0.0015757302264128212,0.006376,0.0065345,0.0067395,1000,2.524775,5.175564,2.6088060929999997,0.20367615088909732,2.55869675,2.58411,2.60680825,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000279,0.019527,0.000345382,0.0006086911532756164,0.000307,0.000318,0.000333,1000,2.608178,5.096959,2.698726298,0.19314730024903068,2.631436,2.6770025,2.71130525,1000,0.052134,0.094116,0.054856109,0.005330248924498648,0.05249175,0.0529405,0.0557005,1000,0.044064,0.102498,0.046133585,0.0052045417783677175,0.044409,0.0446175,0.04670275,1000,0.688878,1.999513,0.714900879,0.09106677801973867,0.69426475,0.6976925,0.72312375,1000,1.810538,2.93986,1.875500179,0.11650063251286216,1.824086,1.859422,1.88398375,1000,0.001118,0.022233,0.0013354570000000002,0.0006814088509485331,0.00123,0.0012825,0.0013645,1000,0.005928,0.017708,0.006471086,0.0008078816142257478,0.00621,0.006343,0.00651625,1000,2.624037,5.146646,2.716602675,0.19537432107611116,2.648606,2.695162,2.72852625,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.45999999999999996,0.5642694391866354,0.0,0.0,1.1,5
