SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.341895,0.430808,0.3651276980392157,0.022538323357248174,0.349445,0.354225,0.370796,255,11.803021,13.04458,12.231479639215685,0.2068982380434724,12.0794345,12.26991,12.3555505,255,0.283699,0.415499,0.2968645529411765,0.017568034228536797,0.2883245,0.291548,0.2973095,255,0.136884,0.223913,0.14199578039215685,0.009400529741373039,0.1382965,0.138961,0.1414575,255,3.565167,3.853766,3.6617268156862743,0.0588716006693709,3.616221,3.653724,3.7055925,255,3.565167,3.853766,3.6617268156862743,0.0588716006693709,3.616221,3.653724,3.7055925,255,0.025162,0.048456,0.027152149019607844,0.0027047888383654084,0.026099,0.026499,0.026944,255,0.050563,0.061997,0.0530278705882353,0.0015632783911864944,0.0522205,0.052794,0.053258,255,39.99767,54.347468,47.31670836470588,1.8927461727782886,47.626442,47.930339,48.1287045,255,27.13936,41.551142,34.5404238,1.9333102370337214,35.0391085,35.196496,35.295291,255,0.020947,0.04315,0.022251439215686276,0.0018813851434700906,0.0216145,0.021969,0.0223205,255,21.783469,28.179379,21.987104219607843,0.6121861462709118,21.8704895,21.908249,21.9452695,255,4.874524,13.160794,12.112154807843137,1.7977253628644734,12.7461695,12.854166,12.924267,255,0.3992,0.489539,0.4170126941176471,0.01647648907920083,0.407688,0.412195,0.4195545,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.656448,14.029767,9.103671303703702,0.32575073356429257,8.8630085,9.052495,9.258904,1755,8.371807,13.775355,8.8074826017094,0.32155960732427985,8.569178,8.760927,8.9547565,1755,0.004751,0.590565,0.1763111314339981,0.17188550474462067,0.02891,0.1206555,0.281378,10530,0.006029,0.330583,0.08296420550807218,0.08015750148212171,0.01487475,0.065764,0.139695,10530,0.037096,5.306542,1.1661789352326686,1.2013258021869464,0.09120575,0.893932,1.7201095,10530,0.037096,5.306542,1.1661789352326686,1.2013258021869464,0.09120575,0.893932,1.7201095,10530,0.09335,0.22332,0.1113775076923077,0.013617392928411442,0.1013225,0.108569,0.117093,1755,0.129734,0.225821,0.14205726153846154,0.011866693798080813,0.1344845,0.138934,0.144023,1755,23.658567,40.684388,30.478653460968662,3.561565204349564,28.034575,30.026163,32.258193,1755,14.260091,30.731917,20.784527138461538,3.547294894794787,18.388377,20.371622,22.566734,1755,0.073243,0.148206,0.08477305641025641,0.009651224204928508,0.079546,0.082484,0.0864455,1755,13.435851,29.788092,19.930362905413105,3.4575423528381557,17.608162,19.479143,21.705907,1755,0.106501,0.671137,0.26839015612535616,0.10633916015370615,0.2072535,0.242353,0.299085,1755,0.4332,0.865338,0.4987273601139601,0.0328078669037303,0.475975,0.494769,0.5155715,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.036332,1.761174,0.105521889,0.11957270944874787,0.05302875,0.091359,0.12283075,1000,0.194254,0.308901,0.214124467,0.020179589672560515,0.19911675,0.2034815,0.22947525,1000,0.001905,0.016741,0.0025962719999999997,0.0009030438558098936,0.002066,0.002196,0.003016,4000,0.004097,0.022109,0.005158930999999999,0.001245596437952116,0.004374,0.004582,0.005754,4000,0.01489,0.050511,0.017851033250000002,0.002753562884545119,0.01580375,0.016875,0.019146,4000,0.01489,0.050511,0.017851033250000002,0.002753562884545119,0.01580375,0.016875,0.019146,4000,0.020188,0.060283,0.022888237000000002,0.003310818961953523,0.02086,0.0211575,0.0248475,1000,0.025663,0.056881,0.028007825,0.0028829212653790947,0.02617475,0.0265865,0.029553,1000,0.501605,2.467892,0.6031412340000001,0.1519443492437782,0.51734125,0.562441,0.67004975,1000,0.091493,0.188166,0.105307584,0.01519096442998087,0.093998,0.0978775,0.115115,1000,0.025662,0.064848,0.029150149,0.004538515370558856,0.026467,0.0269665,0.031225,1000,0.041517,0.104886,0.04830056,0.00818958539221614,0.04246175,0.045142,0.05253425,1000,0.006274,0.022606,0.007760461000000001,0.001850448665183393,0.00662275,0.00685,0.00828025,1000,0.016569,0.0399,0.019554388,0.0029569190610255133,0.01733875,0.018078,0.02127625,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.046244,1.650795,0.106404637,0.1173768172578948,0.05286575,0.0924965,0.12424875,1000,0.195312,0.391819,0.217121124,0.021770414607917416,0.2013615,0.2072405,0.233212,1000,0.00192,0.14907,0.00267452075,0.0024731271447439654,0.002106,0.002244,0.003053,4000,0.004175,0.020232,0.00525445025,0.001272718661576445,0.004446,0.004632,0.005866,4000,0.014792,0.05426,0.01789057575,0.0027081483743070533,0.015869,0.0169365,0.01916325,4000,0.014792,0.05426,0.01789057575,0.0027081483743070533,0.015869,0.0169365,0.01916325,4000,0.020239,0.048098,0.022954065,0.00328044621793667,0.020748,0.0210425,0.02484425,1000,0.025559,0.053685,0.028030483000000002,0.002713154133423127,0.02619775,0.026673,0.029545,1000,0.500121,2.399756,0.607159525,0.1504397481030242,0.5205405,0.565566,0.6722025,1000,0.089963,0.237499,0.10555239699999999,0.016328004882574937,0.09374725,0.0978875,0.1166925,1000,0.025017,0.080912,0.029257649,0.004708541153032327,0.0262245,0.027115,0.032081,1000,0.041206,0.187905,0.048419194000000006,0.009395629178525725,0.0422335,0.044965,0.053987,1000,0.006048,0.147215,0.007750414,0.004760719590419499,0.00635975,0.006934,0.00820925,1000,0.01658,0.04617,0.019585808,0.003112108263080833,0.0172965,0.0180655,0.0212945,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.046049,1.614303,0.077673117,0.11215880537922696,0.05232175,0.0656355,0.07718875,1000,0.196336,0.321427,0.20682576,0.014128691906627449,0.19992925,0.2029165,0.206206,1000,0.001927,0.019896,0.00248466875,0.0008771762382916203,0.002081,0.0021745,0.002993,4000,0.004083,0.020845,0.0049779264999999994,0.0011096672778800635,0.004406,0.004581,0.00572625,4000,0.015016,0.049948,0.0172589165,0.002602231322928027,0.015689,0.016411,0.01879725,4000,0.015016,0.049948,0.0172589165,0.002602231322928027,0.015689,0.016411,0.01879725,4000,0.020265,0.051944,0.021293017,0.0019617598218719333,0.020671,0.0208395,0.02107175,1000,0.025512,0.052711,0.026657558,0.0020984436620114437,0.02603175,0.026194,0.0264145,1000,0.517604,2.335073,0.578782389,0.13481980168822263,0.53587325,0.5641825,0.57966375,1000,0.102341,0.221009,0.126227769,0.01644462511447552,0.11506175,0.124818,0.13145425,1000,0.025288,0.058876,0.027458294,0.003376758790847223,0.02637325,0.0266745,0.0270485,1000,0.046631,0.109536,0.050079112999999995,0.006912400276331732,0.04760975,0.0480775,0.04900975,1000,0.009355,0.071892,0.029384999,0.01008595779958448,0.02090025,0.030937,0.03578275,1000,0.017006,0.044174,0.018783246,0.0027913178101900186,0.01758,0.017852,0.0182795,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.040132,1.469879,0.0800286,0.09644108969876895,0.071941,0.0748695,0.075672,1000,0.060478,0.144963,0.078757091,0.008504899893515444,0.07734175,0.0782475,0.081446,1000,0.00293,0.014506,0.004082643,0.0006179046961716669,0.00406375,0.004132,0.004187,1000,0.005931,0.030117,0.007831847,0.0013445826272829053,0.00768975,0.0078,0.007915,1000,0.018942,0.053971,0.025230290000000002,0.002831257749464008,0.025101,0.0253635,0.02577325,1000,0.018942,0.053971,0.025230290000000002,0.002831257749464008,0.025101,0.0253635,0.02577325,1000,0.006188,0.02671,0.009486162000000001,0.0014022857118847073,0.009471,0.009658,0.009847,1000,0.009763,0.038558,0.012057386,0.0016620355546750495,0.01191375,0.012016,0.012141,1000,0.164216,1.74121,0.266907936,0.10607597078770434,0.26207225,0.2650355,0.268965,1000,0.012925,0.105118,0.039084301,0.009893689357989717,0.03982875,0.0407075,0.04247275,1000,0.002066,0.029704,0.002983426,0.0009305392643644868,0.00289175,0.0029785,0.00305925,1000,0.007275,0.041472,0.016754115,0.0036714180535285003,0.0171675,0.017359,0.01752425,1000,0.001953,0.07577,0.016698921999999998,0.006227033628294937,0.01791,0.018223,0.01853625,1000,0.001039,0.010903,0.001401126,0.00044072650263400317,0.00132,0.001367,0.001416,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040072,1.405907,0.094450193,0.09414228702650979,0.0745055,0.0991985,0.104129,1000,0.060194,0.130766,0.078106481,0.007629525498721332,0.07705825,0.0777935,0.08105475,1000,0.002872,0.0212,0.004150851,0.0009497674340589911,0.004073,0.004139,0.004198,1000,0.00592,0.018163,0.007677067,0.0010170912400129105,0.007637,0.007717,0.00779925,1000,0.019009,0.036551,0.025055233,0.002302811521317149,0.025094,0.0253195,0.02569425,1000,0.019009,0.036551,0.025055233,0.002302811521317149,0.025094,0.0253195,0.02569425,1000,0.006177,0.032057,0.0093989,0.0015931191160738736,0.00936075,0.0095165,0.0097595,1000,0.00984,0.024345,0.011954947,0.00111940921033865,0.01190675,0.0120075,0.012088,1000,0.164332,1.686001,0.270393882,0.1045538026064288,0.24996975,0.2799455,0.285739,1000,0.012898,0.082214,0.029137939999999998,0.006552591980766085,0.02696075,0.031049,0.031688,1000,0.002051,0.013421,0.002954441,0.00048456039718388055,0.002902,0.002983,0.003055,1000,0.007279,0.061124,0.015726419,0.0036321746675289446,0.01567375,0.0163735,0.01669625,1000,0.001937,0.029225,0.007839155,0.0029122924889123,0.00633375,0.009017,0.009892,1000,0.000997,0.011543,0.0014061289999999999,0.00047087967290912014,0.00129575,0.001366,0.001445,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008921,0.147965,0.010744690000000001,0.009486151599668856,0.00926375,0.0093875,0.009728,1000,1.128004,1.654086,1.179233888,0.04125077418123757,1.13807325,1.1811085,1.20295775,1000,0.067507,0.117788,0.070288584,0.004735139260987368,0.06812675,0.0697015,0.07011625,1000,0.037757,0.093433,0.040212942,0.004338960051283718,0.03840875,0.0387985,0.04039,1000,0.015444,0.04162,0.016533281,0.002369978408348692,0.01581375,0.015955,0.01617,1000,0.998271,1.473871,1.043702218,0.03794395163931237,1.005423,1.0408145,1.0679615,1000,0.002726,0.039937,0.003219995,0.001507993097124453,0.002928,0.0029915,0.00307025,1000,0.011035,0.025278,0.011650945,0.001261970329276802,0.01130275,0.011415,0.011521,1000,1.1659,1.708845,1.220984604,0.0451161044858173,1.179464,1.2284815,1.242838,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,4.8,1.2,1.85903200617956,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000275,0.000915,0.000349678,5.2991870282148e-05,0.000322,0.000338,0.000363,1000,2.564527,4.998762,2.625944548,0.18490114505217023,2.57688975,2.598026,2.618702,1000,0.0512,0.091667,0.054031921999999996,0.003990820106934914,0.05219325,0.052541,0.05627125,1000,0.044392,0.112613,0.046255463000000004,0.0037046046186645877,0.04486475,0.0450995,0.0476835,1000,0.691021,2.05668,0.716125452,0.09514120265598756,0.69690925,0.7003985,0.72432475,1000,1.764994,2.78453,1.801861845,0.10520934099679066,1.77176975,1.7766915,1.79541525,1000,0.001226,0.011461,0.0014351300000000002,0.00038306877855027544,0.00133175,0.001376,0.00146625,1000,0.011713,0.030619,0.012380258,0.001223931696393226,0.012032,0.012153,0.0123515,1000,2.588712,5.061094,2.651595027,0.1872563883748116,2.60198025,2.623267,2.64470875,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,12.0,2.4,4.800000000000001,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000285,0.000855,0.000363422,5.054182343366729e-05,0.000337,0.000355,0.000376,1000,2.619888,5.032111,2.6810917940000003,0.18000674988530171,2.6297075,2.6554415,2.677044,1000,0.051982,0.107321,0.054726635,0.004145294231266944,0.052509,0.0528975,0.05659625,1000,0.044493,0.072781,0.046306914,0.002216298196228116,0.044959,0.045455,0.047294,1000,0.691932,2.020873,0.7137988980000001,0.08641365044568824,0.6995005,0.7036155,0.708178,1000,1.816729,2.864479,1.858594119,0.10707990966622469,1.82409475,1.839722,1.85005975,1000,0.001223,0.005544,0.001442736,0.00023342370981543415,0.001336,0.001386,0.001479,1000,0.011738,0.025525,0.012365353999999999,0.0007844703019770729,0.012124,0.0122585,0.01241925,1000,2.643203,5.08956,2.706599013,0.18228227980863318,2.65533075,2.680953,2.70338525,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
