SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.330611,0.459304,0.344466168627451,0.016690425819794852,0.334955,0.339818,0.3491965,255,11.79597,14.324132,12.268796305882354,0.3091256998780697,12.057959,12.307231,12.380393,255,0.282725,0.396314,0.29162163137254904,0.012646660235770381,0.285255,0.287106,0.294275,255,0.137156,0.192834,0.14110854901960784,0.007141504611373136,0.1384265,0.138869,0.1396105,255,3.814589,4.631079,3.9461381450980393,0.08490407831350165,3.901006,3.949954,3.9839075,255,3.814589,4.631079,3.9461381450980393,0.08490407831350165,3.901006,3.949954,3.9839075,255,0.022776,0.043442,0.024447843137254902,0.0024269775358885803,0.023613,0.023895,0.0243745,255,0.051766,0.094543,0.0539126,0.0033914064669858914,0.0529205,0.053319,0.0537705,255,39.995985,64.12236,47.47747998039216,2.42107557499873,47.562835,47.883423,48.0210955,255,27.091414,50.708176,34.686076482352945,2.380196901394425,35.04218,35.139621,35.2003225,255,0.020842,0.033776,0.022470270588235294,0.0014525688459664152,0.0218975,0.02219,0.022613,255,21.750182,28.701541,22.086902584313723,1.0551989784794702,21.837651,21.866227,21.9043435,255,4.859738,24.637681,12.160483603921568,1.9617209452897266,12.745414,12.826615,12.8849985,255,0.3988,0.536924,0.41431857647058823,0.01582679718633829,0.4061385,0.410367,0.415586,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,12.717183,25.851706,13.10977278005698,0.557233819519118,12.885047,12.970723,13.155043,1755,12.387855,25.519932,12.780285358974359,0.5524975760720127,12.5599045,12.642716,12.8275885,1755,0.007403,0.818655,0.2504872921177588,0.222240494489579,0.04975125,0.295021,0.40280025,10530,0.009245,0.418334,0.09541994795821462,0.07633395343114649,0.026523,0.1123495,0.1492145,10530,0.05157,7.849598,1.836355719088319,1.874312268871048,0.16353975,1.161688,2.65077625,10530,0.05157,7.849598,1.836355719088319,1.874312268871048,0.16353975,1.161688,2.65077625,10530,0.091514,0.165454,0.10359150085470087,0.01263282008092444,0.0967755,0.098394,0.1024425,1755,0.12964,0.196903,0.1414114985754986,0.013409826236315465,0.133903,0.135521,0.140792,1755,23.758827,45.204174,28.771981764672365,2.4487144671222008,27.0818395,28.690351,30.4155505,1755,10.298017,31.018767,15.094887249572649,2.386682262804023,13.388754,14.985176,16.7792705,1755,0.073465,0.272664,0.08383391452991452,0.01100214246152503,0.0788555,0.081007,0.0830585,1755,9.478218,29.784104,14.237005594871794,2.3031215389325266,12.606699,14.12121,15.928296,1755,0.104631,0.661526,0.26174363817663815,0.10607985614995435,0.201181,0.237395,0.2877045,1755,0.430558,1.230146,0.5100902490028489,0.03553957238118015,0.4876335,0.508362,0.529303,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.022885,1.738112,0.094058797,0.12020897853463272,0.043082,0.0801845,0.10965275,1000,0.19368,0.321508,0.215272107,0.020417904459849718,0.20010725,0.204966,0.23170775,1000,0.002029,0.019453,0.0026931865,0.000837629986758921,0.002204,0.002307,0.00307825,4000,0.004229,0.02574,0.00531186775,0.0013002399764120228,0.00451375,0.004691,0.00592425,4000,0.014722,0.046006,0.01752557275,0.002643975647714524,0.015693,0.016443,0.018762,4000,0.014722,0.046006,0.01752557275,0.002643975647714524,0.015693,0.016443,0.018762,4000,0.020333,0.047671,0.022907819,0.0031233720611286444,0.020883,0.021163,0.024814,1000,0.025696,0.067772,0.028013317,0.002947271629237964,0.0263075,0.0266755,0.0295345,1000,0.487669,2.454223,0.592508335,0.15309423398610664,0.50647325,0.553851,0.65148,1000,0.090666,0.201912,0.10551389500000001,0.01627823579021925,0.0940045,0.097824,0.1163705,1000,0.025456,0.076124,0.02939484,0.004858020208521162,0.026376,0.027126,0.03188075,1000,0.041077,0.116411,0.048367538,0.009414273870594375,0.042266,0.044493,0.053053,1000,0.006235,0.021612,0.007646799,0.001975424193078287,0.00646575,0.006654,0.00820425,1000,0.016647,0.045319,0.019555607,0.002971049471912408,0.017489,0.0180965,0.021221,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.034613,1.664198,0.093810595,0.11897094231439446,0.042665,0.0807835,0.1096285,1000,0.1929,0.3606,0.21413150399999997,0.02099504593836327,0.198495,0.203671,0.2295545,1000,0.001991,0.013722,0.0026890160000000002,0.0008259092766424167,0.00217775,0.002326,0.003066,4000,0.004224,0.024934,0.005247496,0.0012215907070226102,0.004456,0.004651,0.00588925,4000,0.014784,0.06047,0.0175026345,0.0027255150017766825,0.0156145,0.0164085,0.018756,4000,0.014784,0.06047,0.0175026345,0.0027255150017766825,0.0156145,0.0164085,0.018756,4000,0.02055,0.062258,0.023255243,0.00366957767460385,0.020977,0.021287,0.02504775,1000,0.025564,0.065624,0.027949836,0.0030376467907088866,0.02617975,0.026513,0.0294395,1000,0.48771,2.41009,0.591822377,0.15235245469911163,0.5039395,0.5511155,0.65222175,1000,0.090483,0.229002,0.10550591499999999,0.016034805034666776,0.09415375,0.097489,0.11637525,1000,0.025059,0.072814,0.029247221,0.00453533777949989,0.0264195,0.027092,0.03170925,1000,0.041186,0.116592,0.048177599,0.00882756847757065,0.04218775,0.043424,0.0534175,1000,0.006183,0.024634,0.007670433,0.0018871551699611243,0.00645275,0.007009,0.00821975,1000,0.016663,0.046327,0.019840452,0.003084998658945576,0.0176545,0.018335,0.0215435,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.035685,1.755619,0.066493619,0.11886421021799556,0.04179975,0.053573,0.0664575,1000,0.194078,0.340602,0.20567605,0.014354103848499217,0.199219,0.2024245,0.20621225,1000,0.002006,0.110993,0.002584173,0.0018973391900424662,0.00221375,0.002308,0.00298925,4000,0.004221,0.036689,0.00504893375,0.0012923252831082961,0.00447075,0.004604,0.0058535,4000,0.014819,0.049213,0.016933397,0.002325631315232705,0.01560975,0.016078,0.018383,4000,0.014819,0.049213,0.016933397,0.002325631315232705,0.01560975,0.016078,0.018383,4000,0.020463,0.041606,0.021524810000000002,0.0016502519286157491,0.0210015,0.0211395,0.02129475,1000,0.025807,0.061307,0.02698364,0.002904603138537174,0.02619675,0.0263765,0.026601,1000,0.507174,2.515597,0.56699282,0.14272780345193295,0.52393775,0.551368,0.56775975,1000,0.103568,0.217562,0.126128374,0.015982986631043774,0.11493825,0.1251595,0.13152775,1000,0.02542,0.060846,0.027270385999999997,0.0030490321725104835,0.026334,0.026618,0.0269505,1000,0.046508,0.111262,0.049804364000000004,0.006325624267335518,0.0476245,0.048061,0.04900475,1000,0.009485,0.067918,0.029746609,0.01029145454705597,0.0211095,0.031216,0.036017,1000,0.017062,0.096492,0.018762187000000003,0.003521075523477308,0.01758175,0.0178195,0.01822325,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036655,1.554952,0.078636193,0.09918189356756481,0.0710215,0.071811,0.07481775,1000,0.060732,0.161053,0.07862200500000001,0.008192693576533606,0.07812025,0.078513,0.07912725,1000,0.003019,0.024874,0.004299918,0.0008761550087033689,0.00428,0.004345,0.004405,1000,0.006085,0.02718,0.008035963,0.0013485608320098134,0.007944,0.008032,0.008124,1000,0.018507,0.053308,0.0250208,0.002952645514111032,0.02492275,0.025128,0.025346,1000,0.018507,0.053308,0.0250208,0.002952645514111032,0.02492275,0.025128,0.025346,1000,0.006513,0.03838,0.009684894,0.0016733216058976827,0.00965875,0.009788,0.009944,1000,0.010191,0.03655,0.012292158,0.0018300509083181264,0.012134,0.012236,0.012339,1000,0.161409,1.819461,0.265427907,0.10914266531322364,0.2611895,0.262649,0.26698875,1000,0.012785,0.086267,0.038985246,0.009913179920968044,0.04007675,0.040456,0.04124,1000,0.002072,0.012993,0.0031154679999999997,0.0007220643856166843,0.00301875,0.003081,0.003149,1000,0.007137,0.044545,0.017127129,0.004103275731212685,0.017319,0.017501,0.0177085,1000,0.001933,0.056765,0.016551417000000002,0.006083741794743676,0.017845,0.0180345,0.018169,1000,0.000974,0.018116,0.001462989,0.0008855815359858176,0.001293,0.0013435,0.001399,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.036514,1.524812,0.093905967,0.09835523384560636,0.07296275,0.098883,0.1026785,1000,0.060457,0.15119,0.078611365,0.0082356735555615,0.07774975,0.0783045,0.0791255,1000,0.002952,0.021419,0.0043708490000000004,0.0012818760447870926,0.00426,0.004332,0.004395,1000,0.00603,0.02564,0.00797956,0.001395463718052175,0.007823,0.0079385,0.008039,1000,0.018772,0.052196,0.025113098,0.0029412048494445267,0.02501175,0.025195,0.0254165,1000,0.018772,0.052196,0.025113098,0.0029412048494445267,0.02501175,0.025195,0.0254165,1000,0.006624,0.027684,0.009628334999999998,0.0013793289160947072,0.009655,0.0097875,0.009929,1000,0.010201,0.041944,0.012349039000000001,0.0020821124665778745,0.01218,0.012281,0.012374,1000,0.165036,1.810728,0.27116096,0.10870624703454905,0.24911525,0.2791215,0.285565,1000,0.013121,0.074579,0.029374794000000003,0.006835164581015149,0.027091,0.031112,0.03172425,1000,0.002147,0.020909,0.0031368249999999998,0.0008959102468300047,0.00301075,0.003089,0.003169,1000,0.007312,0.049051,0.016100634,0.004027746909879518,0.015727,0.0164405,0.0167285,1000,0.001954,0.020527,0.007993389,0.0028536896533573864,0.0064165,0.0096125,0.009977,1000,0.001029,0.01161,0.001426935,0.0006288061853822687,0.001282,0.001344,0.0014,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006129,0.132989,0.00772627,0.008735615508085279,0.00643975,0.006563,0.006769,1000,1.118474,1.275451,1.1387042139999999,0.020958041192110585,1.12435375,1.1346545,1.140282,1000,0.067224,0.107405,0.06834019599999999,0.0038030280997626087,0.067506,0.067588,0.06768925,1000,0.037724,0.064449,0.038861866,0.0023438061135776568,0.03830825,0.038443,0.038571,1000,0.015178,0.046897,0.016202192,0.0021748213363713353,0.015593,0.015767,0.01596,1000,0.987941,1.130526,1.0072987820000001,0.018635353338439173,0.9944945,1.0047975,1.00878225,1000,0.002821,0.011536,0.003119723,0.000633032763979085,0.00293975,0.002984,0.003041,1000,0.010939,0.031889,0.011484156,0.0014122403738967384,0.01117,0.01128,0.01140325,1000,1.153461,1.466955,1.1768583449999999,0.02695837915787919,1.1616845,1.1713155,1.1784255,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000311,0.002623,0.000381618,8.83278442848007e-05,0.00035,0.000364,0.000396,1000,2.508788,4.866632,2.558400023,0.18072268682655887,2.5184005,2.524514,2.5538475,1000,0.050869,0.088598,0.053463431,0.0032048549391882003,0.0523295,0.0528615,0.053925,1000,0.043031,0.083053,0.045810968,0.003457079885246507,0.04484375,0.045006,0.04665025,1000,0.690406,2.044313,0.709380586,0.09343162482764925,0.695319,0.6974335,0.703775,1000,1.706979,2.707325,1.7423515930000002,0.1026007778118341,1.715057,1.718979,1.73856,1000,0.001239,0.003578,0.001418365,0.000141913120517449,0.001349,0.001399,0.001451,1000,0.011965,0.02516,0.01240139,0.0006211292682686913,0.012222,0.0123005,0.01241525,1000,2.53304,4.925298,2.58422784,0.18294482995961486,2.5438835,2.5503025,2.57926375,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000293,0.000851,0.000359888,4.973161425089679e-05,0.000333,0.0003495,0.000374,1000,2.615384,4.843464,2.677714242,0.1755627647236607,2.62532925,2.649161,2.67357175,1000,0.051949,0.082413,0.05428724,0.00285446562361504,0.052436,0.0528565,0.05631225,1000,0.04474,0.077227,0.04645598,0.0029643223889449003,0.045178,0.0454615,0.04724725,1000,0.689821,1.902467,0.70859401,0.08478261111654853,0.69511425,0.697205,0.7013075,1000,1.815169,2.825125,1.8609063799999999,0.10511855912384643,1.82302225,1.84056,1.8547945,1000,0.001228,0.010507,0.001475288,0.0004396909199153424,0.001388,0.0014355,0.00149025,1000,0.011964,0.022905,0.012432760000000001,0.000661943018997859,0.0122205,0.0123345,0.012478,1000,2.639597,4.899229,2.703503934,0.17774952602232066,2.65120425,2.6752095,2.699388,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
