SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.326917,0.418862,0.34237416078431376,0.014756429127858847,0.332077,0.338654,0.3469,255,12.12051,16.068077,12.62696445882353,0.36598820211449606,12.4764415,12.616912,12.7137055,255,0.285362,0.400484,0.29836583529411764,0.015334174293360125,0.288012,0.295077,0.302793,255,0.135526,0.269021,0.1484186705882353,0.0178379370919232,0.1373585,0.139775,0.153784,255,3.856555,5.913233,3.9651995843137255,0.13700000815995306,3.9049115,3.952874,3.990848,255,3.856555,5.913233,3.9651995843137255,0.13700000815995306,3.9049115,3.952874,3.990848,255,0.022068,0.044,0.024843756862745096,0.0025550791315212245,0.0232185,0.023746,0.0263675,255,0.053118,0.090138,0.05647237254901961,0.004541723328277383,0.0545855,0.055212,0.05686,255,40.335499,52.544672,47.68315535294118,1.7162073244156313,47.84988,48.195257,48.352572,255,27.183995,36.674084,34.527114823529416,1.6799276201272937,35.0317165,35.114629,35.212313,255,0.020608,0.028608,0.02205203137254902,0.0011556157339297347,0.0214055,0.021788,0.02226,255,21.802201,28.647619,22.039751043137255,0.7720217892695155,21.893628,21.924996,21.9812665,255,4.862444,13.230662,12.062424352941177,1.7687554969694506,12.6896985,12.770082,12.832978,255,0.3782,0.498567,0.4004472,0.015687203731479398,0.392153,0.396578,0.402303,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,12.469943,20.959991,13.051393936752136,0.48341317057641364,12.7854305,12.893696,13.1541115,1755,12.095354,20.522301,12.717887178347578,0.46479440759482715,12.466517,12.569163,12.805579,1755,0.007487,0.851422,0.24196933485280153,0.2153049915386626,0.0498695,0.302334,0.38511425,10530,0.008372,0.390541,0.0956320024691358,0.07974215954518844,0.02159325,0.0822345,0.15211025,10530,0.098982,9.194385,1.8393727222222223,1.8793004873636503,0.1677505,1.131299,2.6533465,10530,0.098982,9.194385,1.8393727222222223,1.8793004873636503,0.1677505,1.131299,2.6533465,10530,0.090862,0.208934,0.10666024045584045,0.014289421409967574,0.0975535,0.099971,0.1142875,1755,0.132665,0.26852,0.14512435555555556,0.01436581160376377,0.136778,0.138649,0.146295,1755,23.674827,37.493402,28.682101586894586,2.4204748644434564,26.9433145,28.609028,30.4598625,1755,10.280698,21.298842,15.047082857549857,2.351475872345359,13.3493625,15.001121,16.739777,1755,0.073284,0.193321,0.08612757435897436,0.012465713291784019,0.079806,0.082094,0.086952,1755,9.477915,20.080154,14.209285402279201,2.26775217695305,12.569056,14.09408,15.898598,1755,0.104503,0.639449,0.2649836843304843,0.10585105415131314,0.204444,0.240406,0.293758,1755,0.412435,0.845833,0.48444040284900286,0.031230170991685367,0.461908,0.482173,0.5041545,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.029142,1.895874,0.09650945799999999,0.1261421813349057,0.043739,0.082413,0.112286,1000,0.277677,0.443959,0.305494123,0.02544522995541347,0.2869565,0.293681,0.32287625,1000,0.001267,0.01263,0.00198210275,0.0007623245756844243,0.00155475,0.001752,0.002352,4000,0.002907,0.025933,0.00393905925,0.001035975953021805,0.00335975,0.00359,0.004431,4000,0.021047,0.065242,0.02438046525,0.0033981767172694887,0.02210175,0.0235125,0.025687,4000,0.021047,0.065242,0.02438046525,0.0033981767172694887,0.02210175,0.0235125,0.025687,4000,0.02084,0.05948,0.02320753,0.003051009691413647,0.02127775,0.02148,0.02506775,1000,0.025779,0.052774,0.027901123,0.0025909818397416447,0.02639875,0.026723,0.029067,1000,0.577152,2.723003,0.68922752,0.16107943186321338,0.6040465,0.6460815,0.7552555,1000,0.09202,0.223752,0.10644426300000001,0.015818676804076597,0.0954455,0.099011,0.11596075,1000,0.025823,0.064417,0.029692073,0.004780190046396795,0.02685375,0.0274515,0.0321055,1000,0.041858,0.115774,0.048962698,0.00874413392559812,0.04328425,0.0446915,0.05382825,1000,0.006144,0.022856,0.007518943,0.0016275744621217795,0.00647875,0.006637,0.00802925,1000,0.016948,0.041834,0.019685235000000002,0.002888565501035938,0.01762275,0.0181335,0.02129625,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.027389,1.796571,0.096094398,0.12340175953942309,0.0431155,0.0823595,0.11252675,1000,0.27712,0.42388,0.307103226,0.02572594506464095,0.28768925,0.2947845,0.3249695,1000,0.001322,0.018704,0.00201268975,0.0008060981419746218,0.001597,0.001759,0.002374,4000,0.003038,0.01835,0.0039865149999999995,0.0010070002650322393,0.0034,0.0036055,0.004469,4000,0.020958,0.060423,0.024519799,0.003332081143984792,0.02215875,0.023695,0.02586025,4000,0.020958,0.060423,0.024519799,0.003332081143984792,0.02215875,0.023695,0.02586025,4000,0.020668,0.050685,0.023312953,0.0034191141997293685,0.02117075,0.0214485,0.02505875,1000,0.025859,0.07025,0.028120705000000003,0.0033914741166600404,0.02644275,0.026697,0.0291795,1000,0.576043,2.665955,0.690646074,0.15943922437285163,0.60079325,0.646479,0.75615875,1000,0.091757,0.201001,0.106457239,0.015882929045987676,0.095217,0.098673,0.11667625,1000,0.025397,0.088016,0.029704694,0.005117355944075417,0.02664225,0.027486,0.0318425,1000,0.042042,0.118046,0.049050527000000003,0.008786919018363093,0.043188,0.0446245,0.0543895,1000,0.005973,0.019593,0.007444017,0.0017012916542177594,0.00625,0.006774,0.00802975,1000,0.016945,0.044728,0.019677268,0.0028872288368219103,0.0176425,0.0180485,0.021219,1000,0.0,9.5,2.1399999999999997,3.709231726382163,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.024818,1.788282,0.06678332399999999,0.11988562464855836,0.04205825,0.0544395,0.0670445,1000,0.274228,0.437624,0.293464222,0.01612577331605266,0.286333,0.2892105,0.293815,1000,0.001262,0.017225,0.001875646,0.0007347318835357562,0.001524,0.001646,0.00231525,4000,0.002995,0.021518,0.00378448375,0.0010672927483759728,0.00331375,0.003448,0.004341,4000,0.021236,0.168187,0.023660175,0.003488565738935559,0.021957,0.0233525,0.0241055,4000,0.021236,0.168187,0.023660175,0.003488565738935559,0.021957,0.0233525,0.0241055,4000,0.020867,0.047281,0.021839537,0.0017675352541409181,0.021304,0.021426,0.0215815,1000,0.026031,0.057641,0.027137235,0.0024032960582864114,0.02647675,0.026633,0.0268005,1000,0.59734,2.625787,0.6582910670000001,0.14253399394915764,0.615867,0.643435,0.6601165,1000,0.104098,0.217699,0.126985751,0.015448536223959829,0.11648325,0.126074,0.13180525,1000,0.025879,0.054807,0.027556162,0.0031032587268476344,0.026557,0.0268495,0.0271525,1000,0.047803,0.109976,0.050772267999999995,0.00637938485390057,0.04869525,0.0491175,0.04981875,1000,0.00929,0.067975,0.029196376,0.009934337793966139,0.0208395,0.0307555,0.035181,1000,0.017378,0.036214,0.018867392,0.0021135652964448487,0.017875,0.0180935,0.018434,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.032476,1.447353,0.079721084,0.09561854274191249,0.07219675,0.073263,0.07598675,1000,0.081366,0.20347,0.10806753,0.011595460747598605,0.10564125,0.108596,0.11002425,1000,0.002214,0.016231,0.003191366,0.0009470826542831414,0.00303875,0.0031135,0.00319725,1000,0.004384,0.0237,0.005806577,0.0012465607903632296,0.005655,0.005752,0.005842,1000,0.024916,0.07528,0.034072245,0.004232421522364591,0.03294625,0.033415,0.03591825,1000,0.024916,0.07528,0.034072245,0.004232421522364591,0.03294625,0.033415,0.03591825,1000,0.006549,0.020676,0.00968308,0.0013281549411119171,0.00968275,0.009819,0.009964,1000,0.010335,0.02766,0.012475469,0.001291215779426119,0.012344,0.0124415,0.012527,1000,0.183959,1.752006,0.29710248300000003,0.10608018354243036,0.2918235,0.295115,0.29921775,1000,0.013052,0.095957,0.039788602,0.010464789714064778,0.04081675,0.0412015,0.04207375,1000,0.002189,0.012854,0.0032582130000000003,0.0007880006355524087,0.003097,0.003187,0.00327925,1000,0.007253,0.051777,0.017573484,0.004609090211716842,0.01758,0.017731,0.0179335,1000,0.00184,0.064791,0.016964741000000002,0.0064604571856733935,0.0181425,0.0183705,0.0185365,1000,0.001036,0.021215,0.001464577,0.0008492153979238719,0.001305,0.001349,0.001395,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.037276,1.516813,0.093607303,0.09808599955954565,0.07292225,0.099787,0.10198825,1000,0.080288,0.192488,0.107842302,0.011237172011355705,0.10611075,0.1083395,0.10977725,1000,0.002149,0.017744,0.003180867,0.0011248902361168402,0.003006,0.003077,0.00316025,1000,0.004357,0.027156,0.005757414,0.0011593459279283297,0.005607,0.0057065,0.005803,1000,0.024773,0.074801,0.034280988,0.004586775877875003,0.0331335,0.03367,0.0359405,1000,0.024773,0.074801,0.034280988,0.004586775877875003,0.0331335,0.03367,0.0359405,1000,0.006445,0.03253,0.009770540000000001,0.0017151056545880782,0.00967475,0.0098595,0.00999825,1000,0.010174,0.042011,0.012493371999999999,0.002117601171518376,0.01224875,0.0123435,0.0124315,1000,0.181754,1.807844,0.30061208899999997,0.10918717540328204,0.27925025,0.309712,0.31612925,1000,0.012843,0.08683,0.029457752,0.006877126220195177,0.02738975,0.0313745,0.03219825,1000,0.002174,0.012369,0.0031852710000000004,0.000658807359976344,0.003075,0.00314,0.003216,1000,0.007088,0.062129,0.016240454,0.004085015476333474,0.01586675,0.016595,0.01695075,1000,0.001867,0.028495,0.008077034,0.00295811947169887,0.00649,0.009666,0.0100115,1000,0.001033,0.011641,0.0014472110000000001,0.0006133088116756516,0.001282,0.001355,0.001415,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006517,0.135011,0.008220647000000001,0.008786552298165135,0.00685575,0.007013,0.007273,1000,1.134258,1.287757,1.157735926,0.020053249552940893,1.14796375,1.151675,1.158418,1000,0.066639,0.120511,0.06827271,0.004566535763344025,0.066996,0.067144,0.068017,1000,0.036553,0.095071,0.038050049,0.003435711388431659,0.03719675,0.037575,0.037764,1000,0.021545,0.055642,0.023276721,0.0023232791031554947,0.02206575,0.0223415,0.02441225,1000,0.986738,1.135966,1.004639766,0.01723202043183689,0.9969275,0.9989075,1.0071035,1000,0.002831,0.016608,0.003238233,0.0007593374169043693,0.003034,0.003102,0.003174,1000,0.011109,0.038639,0.011588634,0.0013952056938114897,0.011342,0.0114075,0.011485,1000,1.170187,1.438644,1.196820304,0.02593821225002957,1.185977,1.190187,1.196703,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000295,0.002826,0.000356244,9.32450023540136e-05,0.000328,0.000341,0.00037,1000,2.512524,4.986299,2.5727850759999997,0.1838513787374036,2.531932,2.546407,2.56515,1000,0.05071,0.103872,0.053467633,0.0038663827591575825,0.05200475,0.052359,0.054551,1000,0.042778,0.098701,0.04511566,0.0031629187318677667,0.0443595,0.044611,0.045305,1000,0.698082,2.055756,0.7173228789999999,0.0939563474818086,0.7036815,0.7059545,0.7131745,1000,1.694043,2.763694,1.7326246459999999,0.10228084841265585,1.706026,1.7118385,1.72413775,1000,0.001278,0.003582,0.001523491,0.00017615495996139307,0.001416,0.001494,0.001598,1000,0.012833,0.0309,0.013500344,0.0009737643717368181,0.013149,0.013333,0.0136215,1000,2.537828,5.048333,2.599975865,0.18622802410788977,2.5584175,2.57363,2.59283425,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000285,0.011497,0.00037706700000000003,0.0004548102577020443,0.000324,0.000337,0.000357,1000,2.614962,4.89421,2.6993659240000003,0.1839144487044893,2.6392755,2.6636905,2.694225,1000,0.050958,0.107396,0.0550149,0.006179743889353344,0.05213525,0.053542,0.056599,1000,0.042783,0.087203,0.046038290999999995,0.003957902871258844,0.04444975,0.045323,0.0468535,1000,0.695938,1.919517,0.7199669479999999,0.08611205147178469,0.703078,0.705652,0.71125975,1000,1.796717,2.852256,1.853672213,0.10947948631306062,1.8123685,1.824024,1.850745,1000,0.001267,0.019797,0.0015377400000000001,0.0008085817104040877,0.001371,0.001416,0.00148525,1000,0.012773,0.042852,0.013881441000000001,0.0025332792322440498,0.013036,0.0132455,0.01379125,1000,2.639598,4.951273,2.727223553,0.1872544408481283,2.66542625,2.689922,2.72145525,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
