SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.318918,0.418264,0.33652560784313723,0.012167169812338917,0.3289145,0.333654,0.3413225,255,11.532425,14.833056,12.014461564705883,0.30545923178660916,11.8301295,12.030893,12.1651655,255,0.284276,0.359593,0.29504855686274506,0.011367253361132512,0.287712,0.289616,0.2987325,255,0.136465,0.217812,0.14516815294117646,0.01346471094336502,0.1376865,0.138449,0.144143,255,3.59638,4.039269,3.6892987529411765,0.06782614328111206,3.6493135,3.671919,3.735504,255,3.59638,4.039269,3.6892987529411765,0.06782614328111206,3.6493135,3.671919,3.735504,255,0.025146,0.038316,0.0272284431372549,0.0019156141071601403,0.0262105,0.026598,0.0272685,255,0.051697,0.08813,0.05470014117647059,0.0046135200685817395,0.0530035,0.053508,0.054482,255,39.666765,54.480002,47.28928781568628,2.1348589714230446,47.266229,47.537263,47.8646785,255,27.089557,41.968497,34.75269174509804,2.183040653129706,34.9843195,35.138125,35.221931,255,0.020848,0.037251,0.02244641176470588,0.001787832039929603,0.021624,0.022053,0.022598,255,21.771574,28.348427,22.226129349019608,1.306431401375434,21.869238,21.903471,21.948645,255,4.871429,13.459947,12.086870662745097,1.7632424471648427,12.7048405,12.798493,12.856449,255,0.397765,0.506621,0.41526744705882357,0.014682569866025725,0.4075955,0.41161,0.417329,255,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
SofaScene,11.652194,35.970198,12.757727227350427,0.9154421215224535,12.4703535,12.656214,12.8325465,1755,11.360796,35.479884,12.417893362393164,0.891326534951634,12.135757,12.323769,12.491585,1755,0.009326,0.95809,0.2626341987654321,0.2322865800873348,0.053707,0.2953095,0.42231025,10530,0.00994,0.488394,0.10427801823361824,0.08221561065370311,0.02706425,0.1119785,0.180676,10530,0.090247,13.334758,1.6909969794871795,1.7062160929873647,0.1715725,1.1525015,2.43743675,10530,0.090247,13.334758,1.6909969794871795,1.7062160929873647,0.1715725,1.1525015,2.43743675,10530,0.093443,0.276926,0.11384623247863247,0.015816786032083134,0.101042,0.11277,0.1170985,1755,0.13023,0.294448,0.14610732364672363,0.015066063755960665,0.1361235,0.142488,0.1455205,1755,23.476755,58.221781,28.52963136125356,2.799877835347486,26.6437235,28.370415,30.229793,1755,10.267678,39.743392,15.165789323076922,2.53628959068332,13.3860385,15.046698,16.916774,1755,0.072613,0.156967,0.0857988056980057,0.011439707832938194,0.079827,0.08251,0.0862565,1755,9.442529,38.437918,14.285419325925925,2.444596278798511,12.5633875,14.18885,16.0020975,1755,0.105858,1.249208,0.2738669219373219,0.10977584420731226,0.208845,0.247538,0.3042355,1755,0.439564,1.426554,0.5181628222222222,0.04302581052096588,0.493919,0.516124,0.537551,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.030653,1.799087,0.090967919,0.12508012348593375,0.03790975,0.077438,0.10707775,1000,0.196654,0.307795,0.22088116500000002,0.021460921201797815,0.20405875,0.2117965,0.23697875,1000,0.002036,0.019483,0.0027824430000000003,0.000931133445189786,0.002254,0.00237,0.003202,4000,0.004214,0.021913,0.00538064825,0.0012619521252892035,0.004596,0.004843,0.00594725,4000,0.015209,0.052626,0.018303820749999998,0.0028569126177780515,0.016269,0.017278,0.01963925,4000,0.015209,0.052626,0.018303820749999998,0.0028569126177780515,0.016269,0.017278,0.01963925,4000,0.020381,0.056671,0.023550419000000003,0.003543648715298823,0.02105275,0.0216675,0.025531,1000,0.026003,0.062815,0.028371701000000003,0.00307886838685888,0.026554,0.026996,0.02965525,1000,0.490595,2.512727,0.597792985,0.1575211354006591,0.51209175,0.5611325,0.6614355,1000,0.090989,0.202037,0.105965032,0.015930247425981054,0.09424725,0.098214,0.11732575,1000,0.025339,0.06586,0.029357707,0.004642746631160374,0.0261845,0.0271215,0.03226,1000,0.041569,0.120089,0.048527415000000004,0.00884394109833252,0.04254525,0.0449935,0.053556,1000,0.006281,0.048285,0.007724664,0.002172280534623463,0.00655175,0.006987,0.008185,1000,0.01651,0.043302,0.019800671,0.0032037736903156875,0.0173815,0.019205,0.02130725,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.026485,1.702745,0.090742667,0.1200478693306054,0.03787125,0.077346,0.10795625,1000,0.199512,0.307696,0.220499736,0.02051642481950264,0.20459925,0.2098355,0.2372115,1000,0.002081,0.014561,0.0027709815,0.0008412575840120254,0.002258,0.002373,0.00317825,4000,0.004276,0.026797,0.0053190245,0.001267006103142266,0.004549,0.004725,0.005907,4000,0.015274,0.090468,0.01828891625,0.0029800726601436982,0.016189,0.017257,0.019627,4000,0.015274,0.090468,0.01828891625,0.0029800726601436982,0.016189,0.017257,0.019627,4000,0.020459,0.041031,0.023251916,0.0030330950751573877,0.02109475,0.021424,0.0251775,1000,0.026129,0.063575,0.028317339,0.0032376664775852068,0.02657375,0.0268865,0.02971375,1000,0.491385,2.420379,0.596358439,0.15256089125052424,0.50890925,0.553797,0.65933075,1000,0.091051,0.21113,0.10621324,0.016292734065908032,0.094307,0.0978025,0.11768175,1000,0.025874,0.090201,0.029719904999999998,0.005046563217871643,0.02676775,0.02724,0.03231575,1000,0.041446,0.117165,0.048599228,0.00903494285571392,0.04242375,0.0448595,0.05392975,1000,0.006247,0.019401,0.0076790240000000004,0.0017053157412702201,0.00652475,0.007001,0.008159,1000,0.01675,0.042742,0.019675952,0.0031216401022052492,0.01739275,0.018122,0.02123575,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.032231,1.70604,0.063264693,0.1156641164138159,0.0378595,0.0517785,0.0625595,1000,0.199088,0.326767,0.209513384,0.013761321441291312,0.2031555,0.206107,0.20951025,1000,0.002025,0.020097,0.0025805652500000002,0.0007675532953759222,0.002204,0.002276,0.003089,4000,0.004219,0.023401,0.005007971999999999,0.0012010016845183857,0.004439,0.004562,0.00574225,4000,0.015097,0.051427,0.017504016,0.002481702494406612,0.015961,0.016669,0.01918725,4000,0.015097,0.051427,0.017504016,0.002481702494406612,0.015961,0.016669,0.01918725,4000,0.020576,0.056043,0.021773639,0.0023490611585650556,0.02109675,0.02127,0.021476,1000,0.026149,0.061825,0.027493752,0.0027034842452834822,0.02661375,0.026756,0.02694825,1000,0.509243,2.431431,0.5684910080000001,0.138055520979836,0.52492675,0.553057,0.57206375,1000,0.102686,0.219557,0.126474074,0.015945081036875416,0.11529125,0.12514,0.1317,1000,0.025539,0.05158,0.027319384999999998,0.0028205111921024177,0.0263295,0.0266765,0.02705075,1000,0.046952,0.109892,0.050044923000000005,0.006422241987271345,0.047777,0.048179,0.04922325,1000,0.0093,0.091337,0.029894458,0.010587211241126531,0.02111475,0.031081,0.0360395,1000,0.017007,0.037201,0.018652926,0.0022725532531766993,0.01756,0.017808,0.018351,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.031869,1.505979,0.075761225,0.09864279696675463,0.06863775,0.069308,0.071579,1000,0.061179,0.147684,0.079475841,0.008338104113269334,0.078897,0.079409,0.080329,1000,0.003063,0.015271,0.004379249,0.0008227624657208179,0.0043495,0.0044135,0.004468,1000,0.005993,0.018381,0.007765668,0.000988651155755153,0.007751,0.007831,0.007905,1000,0.019171,0.059351,0.025715975999999998,0.0029083735990109664,0.025728,0.025901,0.0261275,1000,0.019171,0.059351,0.025715975999999998,0.0029083735990109664,0.025728,0.025901,0.0261275,1000,0.006385,0.037308,0.009569536,0.001735613953822681,0.0095465,0.0096705,0.00979525,1000,0.010102,0.035681,0.012289913000000001,0.0013496941184694407,0.01219875,0.012302,0.012417,1000,0.159923,1.764478,0.26296905699999995,0.10823555584320593,0.258586,0.260712,0.26455975,1000,0.012467,0.088647,0.038925536999999996,0.00979155475083661,0.040213,0.040539,0.04135075,1000,0.001986,0.012167,0.003013907,0.0005969717935974865,0.002941,0.00301,0.003082,1000,0.007205,0.045142,0.017204676,0.003911516492490349,0.017413,0.0175695,0.01775,1000,0.00184,0.056655,0.01651932,0.006062727736720493,0.017824,0.01806,0.018206,1000,0.000899,0.010874,0.001459262,0.0006484596590043207,0.001338,0.001375,0.001417,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.031438,1.52806,0.090080602,0.0969051290387748,0.06900825,0.096462,0.09847125,1000,0.061011,0.135126,0.078739701,0.00750605982614041,0.07820225,0.0788625,0.079721,1000,0.003086,0.01485,0.004341884,0.000811460150927943,0.004296,0.004368,0.004422,1000,0.005979,0.01679,0.007792048,0.0010600979226920504,0.00771175,0.0077925,0.007888,1000,0.019172,0.05826,0.025547458999999998,0.0027721756041634523,0.02558925,0.0257735,0.02601625,1000,0.019172,0.05826,0.025547458999999998,0.0027721756041634523,0.02558925,0.0257735,0.02601625,1000,0.006346,0.032994,0.009575337,0.0016262748007120444,0.00954575,0.0096785,0.009836,1000,0.010117,0.032895,0.012328297,0.001496601176930915,0.01219075,0.012287,0.012383,1000,0.158916,1.793296,0.266775702,0.10715168057431107,0.24551075,0.2754895,0.281335,1000,0.012631,0.075369,0.029127468,0.0067630820993816124,0.0268805,0.031022,0.0315055,1000,0.00195,0.01321,0.002994071,0.0007487440483629902,0.002916,0.002972,0.003032,1000,0.007245,0.046807,0.016124171,0.0038447060332044893,0.01579775,0.01651,0.01679125,1000,0.001846,0.025284,0.007882995,0.0029592439154241747,0.0063295,0.0094645,0.009835,1000,0.000893,0.012024,0.001407974,0.0007301287676321211,0.00124275,0.001307,0.001368,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.005129,0.134605,0.006310188,0.008723050165203455,0.005444,0.0055885,0.00577125,1000,1.118412,1.40104,1.1656433,0.041878213790657315,1.129201,1.1434075,1.203586,1000,0.067033,0.114925,0.069746867,0.0038789968839006567,0.06743975,0.0678125,0.07189675,1000,0.037462,0.06708,0.039480955000000005,0.0025694427000762248,0.037918,0.038286,0.0406585,1000,0.01562,0.05129,0.016548987,0.002113106429130109,0.01608,0.0162345,0.0163795,1000,0.989213,1.195051,1.031750964,0.038198881383081154,0.99881275,1.005531,1.0670805,1000,0.00272,0.013169,0.002994248,0.0004129616186717599,0.002896,0.0029515,0.00301325,1000,0.011101,0.023268,0.011625076,0.0008393080413197528,0.0113695,0.011486,0.011631,1000,1.152869,1.598742,1.203282743,0.04532327859920276,1.1658775,1.18318,1.23980075,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,2.4,0.48,0.9600000000000001,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000275,0.000794,0.00033430399999999995,5.232996831644369e-05,0.000308,0.000321,0.000342,1000,2.510651,5.077218,2.571861981,0.19112862526895505,2.5209735,2.5394125,2.5666075,1000,0.051042,0.104871,0.054130761,0.0041842471788696945,0.052566,0.0528985,0.0544805,1000,0.043282,0.078697,0.045752675,0.002997041410353718,0.04468575,0.045044,0.04658875,1000,0.690609,2.166719,0.7141803689999999,0.09903421726640162,0.69765175,0.700769,0.71305275,1000,1.709892,2.747624,1.750236255,0.10679369806611239,1.71665875,1.721436,1.74847025,1000,0.001161,0.011497,0.001412228,0.0004503760428974881,0.00132,0.001373,0.00143125,1000,0.012015,0.036231,0.012626999,0.0011824425487096614,0.012262,0.01242,0.012702,1000,2.534116,5.167958,2.597339353,0.19391292668593393,2.5457915,2.564628,2.5920445,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000285,0.011532,0.00035235700000000003,0.0003764329177303706,0.00032,0.000331,0.000346,1000,2.61914,4.895023,2.685133983,0.17477231365468818,2.633914,2.655896,2.67958125,1000,0.052218,0.091956,0.054340011,0.0034118632825596924,0.05274275,0.053276,0.05572375,1000,0.044649,0.077883,0.046313466,0.002963466989329222,0.04508975,0.045521,0.046992,1000,0.69103,1.961882,0.719610273,0.08603759365232427,0.6980125,0.7058245,0.724741,1000,1.817581,2.811147,1.857358797,0.10382230621091881,1.82514825,1.829605,1.8513565,1000,0.001209,0.010064,0.001413066,0.0003217191595848777,0.00132,0.0013795,0.00144,1000,0.011869,0.031839,0.012434548,0.0010097710303311339,0.012205,0.012305,0.01244725,1000,2.642517,4.951877,2.710388211,0.17699518506486125,2.65857775,2.6809455,2.705144,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSparseLU,0.000332,0.000964,0.000429669,6.158863076087988e-05,0.000398,0.000413,0.00044425,1000,3.321852,5.982042,3.395357813,0.20012291236032928,3.335957,3.36566,3.396508,1000,0.053356,0.107556,0.056698938000000004,0.0042040978858913355,0.05472425,0.055316,0.05798225,1000,0.045492,0.089199,0.047356577,0.0027662750047800742,0.046067,0.046469,0.048239,1000,0.696594,1.988652,0.727299387,0.08798967631797056,0.7053435,0.715855,0.73304175,1000,2.506548,3.83339,2.554841159,0.12559024690771062,2.51450275,2.52507,2.554988,1000,0.001397,0.021321,0.001671225,0.0006573409513905247,0.001545,0.0016125,0.001702,1000,0.012564,0.042385,0.013535568,0.001583058134553498,0.01308775,0.0132865,0.013548,1000,3.347616,6.04366,3.42355728,0.20246303947117752,3.36399625,3.393627,3.42483325,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
