SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.335001,0.613814,0.36391096078431373,0.030390347641367447,0.349227,0.354757,0.367055,255,11.811616,21.288983,12.456193396078431,1.019474963308946,12.1800445,12.317717,12.4651205,255,0.28559,0.453649,0.3005000156862745,0.02355989361205858,0.2875975,0.294266,0.30332,255,0.136777,0.246264,0.14562041960784314,0.015826886157533866,0.1384245,0.139633,0.1433555,255,3.552586,5.618626,3.689546011764706,0.22952614727091822,3.602732,3.643012,3.690824,255,3.552586,5.618626,3.689546011764706,0.22952614727091822,3.602732,3.643012,3.690824,255,0.025574,0.05932,0.028049792156862745,0.004119081667111086,0.0264575,0.026834,0.027468,255,0.050635,0.090679,0.05354187843137255,0.004636497912336791,0.0517985,0.052262,0.052861,255,40.048626,72.884781,48.77007604313725,3.8984144767175684,47.6840685,48.002844,48.3525725,255,27.240635,54.284688,35.76680909411765,3.2861807736163957,35.116957,35.224112,35.456838,255,0.021014,0.043224,0.02295234117647059,0.0029793541695999058,0.0219095,0.02234,0.0226865,255,21.756302,31.463244,23.000888376470588,2.2465289590137343,21.876131,21.928886,22.176902,255,4.928644,23.612958,12.32109654117647,2.08867845265527,12.777579,12.856823,12.9583415,255,0.39577,0.53862,0.4198770156862745,0.024853497913434386,0.404963,0.410297,0.424063,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,8.631704,18.585966,9.23046002108262,1.0352946800527534,8.812884,8.94188,9.206358,1755,8.391068,18.277565,8.934644447863247,1.0256857352497768,8.5267175,8.646082,8.904757,1755,0.004979,0.731053,0.17504315156695158,0.17084462978008863,0.0284635,0.1259575,0.282708,10530,0.006148,0.367142,0.08057733789173789,0.07766942795241902,0.015174,0.078675,0.124821,10530,0.036335,7.255936,1.1875853576448243,1.2503906799997089,0.08809525,0.8912575,1.70888325,10530,0.036335,7.255936,1.1875853576448243,1.2503906799997089,0.08809525,0.8912575,1.70888325,10530,0.093953,0.271516,0.1121021754985755,0.0167423602214098,0.101123,0.10615,0.1170985,1755,0.127375,0.227113,0.14244957037037037,0.014233194244202394,0.1330695,0.138826,0.143461,1755,23.700503,61.716359,30.992399624501427,4.57060348862567,27.997753,30.091999,32.7623955,1755,14.371414,42.625323,21.166780116239316,4.134596278682863,18.440473,20.515319,22.8169825,1755,0.072548,0.187752,0.08643783361823362,0.01239117024413113,0.0800375,0.082643,0.087213,1755,13.53659,41.313106,20.292791026210825,4.031865169852736,17.6333995,19.669481,21.953993,1755,0.106055,1.228895,0.2758043327635328,0.11761998195555413,0.2081835,0.246523,0.304955,1755,0.436681,1.224249,0.5094577356125356,0.05242300873298306,0.4807045,0.499215,0.5253215,1755,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
BilateralLagrangianConstraint_NNCG,0.04519,1.977243,0.106530201,0.12366882524906024,0.052947,0.091103,0.12388775,1000,0.191444,0.351187,0.21421442000000002,0.023090426705273333,0.1965015,0.202075,0.230952,1000,0.00189,0.02034,0.002634042,0.0011340102317598374,0.002078,0.002205,0.003023,4000,0.004032,0.02623,0.00518871325,0.001531756847226229,0.00433,0.0045075,0.005861,4000,0.014341,0.053352,0.017307777,0.0033688721906998784,0.0152485,0.016064,0.0183305,4000,0.014341,0.053352,0.017307777,0.0033688721906998784,0.0152485,0.016064,0.0183305,4000,0.020096,0.054648,0.022993198,0.003975190236302661,0.020633,0.020945,0.024696,1000,0.025094,0.064837,0.027790853,0.003603735018476109,0.025757,0.026252,0.02908325,1000,0.494644,2.73401,0.604389987,0.1577614801581832,0.52605375,0.5613455,0.6682665,1000,0.089988,0.218065,0.105831443,0.01715122369852224,0.092936,0.0971995,0.1168025,1000,0.025248,0.063547,0.029503061,0.005096930797183635,0.02638675,0.0270625,0.031867,1000,0.040713,0.123432,0.048604629,0.009566856281107133,0.04195375,0.044993,0.0543865,1000,0.006124,0.036832,0.007666106,0.0024418378555432383,0.006404,0.0066235,0.008137,1000,0.016434,0.056284,0.019499796,0.003956594019656806,0.01703675,0.0176435,0.02092425,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.038237,1.697908,0.105041273,0.11736163684298405,0.051609,0.0892725,0.12225225,1000,0.191305,0.322828,0.214286484,0.022572375893727802,0.196817,0.202629,0.2308605,1000,0.001948,0.022162,0.00267573225,0.0010949674821929358,0.002133,0.002243,0.003022,4000,0.004095,0.056591,0.005277140749999999,0.0016969615456572482,0.004398,0.004601,0.00591525,4000,0.01441,0.056467,0.0171914245,0.003015876037124164,0.015251,0.01597,0.018292,4000,0.01441,0.056467,0.0171914245,0.003015876037124164,0.015251,0.01597,0.018292,4000,0.019988,0.045881,0.022650843,0.0031920652262055985,0.02051175,0.0207575,0.02460275,1000,0.025063,0.088017,0.027740698,0.00443182982805026,0.025629,0.026044,0.028961,1000,0.492487,2.408365,0.60028123,0.1507106242734171,0.51270175,0.556902,0.66506525,1000,0.089248,0.185411,0.104839326,0.016520725977865622,0.09230375,0.096438,0.11626875,1000,0.025219,0.070522,0.02905283,0.004738917710522098,0.02606075,0.0267015,0.0314515,1000,0.04085,0.101454,0.048273297,0.00913159665572188,0.0417885,0.0447855,0.0541285,1000,0.005942,0.037372,0.007580682,0.002362590987216365,0.00627325,0.006809,0.0080555,1000,0.016133,0.046688,0.019369154,0.0037882176395085854,0.01684225,0.0176235,0.020849,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.03487,1.652589,0.077634286,0.11468798458644307,0.0515155,0.0650765,0.0769185,1000,0.189419,0.332929,0.20435225899999998,0.01605722068976817,0.195721,0.1990125,0.203955,1000,0.001902,0.021088,0.0024701895,0.001047262865564205,0.00206,0.0021295,0.002901,4000,0.004081,0.033546,0.00499178425,0.0016178189724755788,0.004335,0.004458,0.00577625,4000,0.014258,0.060848,0.016542585500000002,0.002923359088820556,0.015,0.015637,0.01774525,4000,0.014258,0.060848,0.016542585500000002,0.002923359088820556,0.015,0.015637,0.01774525,4000,0.020217,0.049753,0.021644961,0.00337039397837686,0.02063875,0.020785,0.02100925,1000,0.025009,0.063956,0.026702510999999998,0.004019028719961951,0.02557275,0.025769,0.026028,1000,0.509142,2.405226,0.575933182,0.13817104373638808,0.529696,0.557161,0.58171725,1000,0.100762,0.275441,0.125644753,0.017623099205814823,0.11365275,0.123239,0.1306995,1000,0.025131,0.062502,0.027339785,0.003980681275457129,0.0259765,0.0263835,0.02683,1000,0.046205,0.134882,0.050151094,0.008259815808670553,0.04720275,0.047722,0.04870625,1000,0.009143,0.08028,0.028873288,0.010166603553550025,0.020447,0.0297365,0.0345605,1000,0.016815,0.055833,0.018750374,0.003088484440647872,0.01735925,0.0175885,0.0182555,1000,0.0,12.0,2.6399999999999997,4.703020306143702,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.039348,1.388469,0.079482454,0.09347317182727825,0.07065,0.0736755,0.0744345,1000,0.058258,0.131109,0.077309609,0.009486165016597539,0.075536,0.0761035,0.079398,1000,0.0028,0.023268,0.004099687,0.0012427148140386033,0.00400575,0.004066,0.00412025,1000,0.005786,0.027094,0.007652481,0.0016111756209796,0.00753775,0.007606,0.007682,1000,0.018014,0.058977,0.024314020000000002,0.0038024082026526297,0.024,0.0242225,0.024574,1000,0.018014,0.058977,0.024314020000000002,0.0038024082026526297,0.024,0.0242225,0.024574,1000,0.006033,0.034477,0.009392266,0.0020200963445449823,0.00929725,0.009409,0.009614,1000,0.009624,0.040584,0.011923793,0.0019625071388789904,0.01172175,0.011816,0.01190725,1000,0.160544,1.647456,0.264153035,0.10417403012665764,0.2571625,0.2596545,0.2643455,1000,0.012512,0.134555,0.038628260000000005,0.010780033415643943,0.03941175,0.039849,0.0406985,1000,0.001966,0.022309,0.003020432,0.0012789784835469283,0.00288375,0.002956,0.003026,1000,0.007063,0.056935,0.016744261,0.004159019952209775,0.0171315,0.017281,0.017423,1000,0.00185,0.06268,0.016220819,0.006286644837132045,0.0174115,0.0176805,0.01787275,1000,0.001004,0.010227,0.001338383,0.0004291695356278216,0.001271,0.001308,0.001344,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.039407,1.400244,0.094007584,0.09470936062143459,0.073571,0.098482,0.1026835,1000,0.057709,0.210862,0.078167784,0.010517943916723648,0.07585625,0.076618,0.0798165,1000,0.002809,0.017338,0.004090692,0.0008587866447121777,0.004036,0.0041125,0.00418425,1000,0.00577,0.025329,0.007765595,0.001555346538548564,0.007588,0.007706,0.007809,1000,0.017963,0.05967,0.024497485,0.004159836121264274,0.023975,0.024303,0.024631,1000,0.017963,0.05967,0.024497485,0.004159836121264274,0.023975,0.024303,0.024631,1000,0.006005,0.026719,0.00919232,0.0012906797912728006,0.009245,0.009374,0.009546,1000,0.009556,0.027956,0.011878799,0.001464623417332592,0.011751,0.01189,0.012008,1000,0.159624,1.658658,0.269024376,0.10481812567418207,0.24625575,0.2760395,0.281275,1000,0.012454,0.083697,0.028857835,0.007149233135782816,0.02644875,0.0302595,0.03085825,1000,0.001983,0.020805,0.002991563,0.0010586471244144575,0.00288575,0.0029455,0.003017,1000,0.007066,0.048481,0.015807173,0.004139818866215163,0.01550875,0.016195,0.01647725,1000,0.001876,0.032957,0.007525836,0.0028299127953179052,0.0061725,0.008632,0.009394,1000,0.000976,0.014074,0.0013226479999999998,0.000647797483860504,0.001214,0.0012725,0.001329,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008686,0.133043,0.011272266999999999,0.008913782098958389,0.00902775,0.0092185,0.01071275,1000,1.121854,2.224253,1.209372799,0.14987408036119054,1.154573,1.1749555,1.20679375,1000,0.06675,0.136297,0.071365613,0.01063050387297004,0.067186,0.0676225,0.069927,1000,0.037349,0.099487,0.04192174,0.0072160525540214855,0.03845525,0.0401895,0.04283125,1000,0.014368,0.043579,0.016491297999999998,0.004315242464937051,0.014916,0.015073,0.015464,1000,0.994873,1.973947,1.070600206,0.13198021989607217,1.021505,1.0398085,1.071772,1000,0.002703,0.032847,0.0033512069999999997,0.0015706645110115018,0.002855,0.0029235,0.0030725,1000,0.010843,0.047133,0.012445194,0.004025573455343226,0.011085,0.011194,0.011417,1000,1.159571,2.331571,1.2533813759999999,0.1608555215249033,1.19384525,1.2187095,1.2475165,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,2.4,0.48,0.9600000000000001,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000299,0.012884,0.000377199,0.0005034007463234436,0.000328,0.00034,0.000368,1000,2.564143,5.076998,2.6359983700000003,0.1886656296416576,2.57962175,2.6113955,2.63806575,1000,0.051839,0.106453,0.054405401,0.005028849104934349,0.0523395,0.0528115,0.05497225,1000,0.043663,0.081235,0.045178767,0.003544557021506495,0.044194,0.0444085,0.044717,1000,0.687178,2.126311,0.711555255,0.09761150349410655,0.69234975,0.695791,0.715295,1000,1.765935,2.846437,1.817367596,0.1085124476593943,1.77511325,1.7983545,1.8195745,1000,0.001156,0.021127,0.001397961,0.0010055554005021306,0.001251,0.0013085,0.001369,1000,0.011689,0.03801,0.012434073,0.0021019866854171555,0.01197,0.012092,0.01225825,1000,2.587482,5.133048,2.661440528,0.19099674395760055,2.60671475,2.635801,2.66435275,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,7.3,1.46,2.92,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.0003,0.010706,0.00039805200000000003,0.0003590928672307485,0.000331,0.000345,0.000366,1000,2.61795,5.142504,2.75747433,0.23273675449463302,2.66672375,2.707282,2.76246975,1000,0.051298,0.231644,0.057075351,0.01173890218682305,0.05207275,0.052456,0.0552385,1000,0.042636,0.100708,0.047019659,0.007125422961531406,0.0442855,0.044497,0.04556925,1000,0.689155,2.072111,0.7332424150000001,0.09843267341284993,0.697548,0.7182325,0.740598,1000,1.818057,3.256941,1.9112851899999999,0.146358602773482,1.848556,1.8762205,1.91583875,1000,0.001166,0.050876,0.001584973,0.001775080954849947,0.001263,0.001315,0.00141925,1000,0.011729,0.044103,0.013406194,0.0034391353745329653,0.011976,0.0121245,0.01246925,1000,2.641593,5.205302,2.7854305019999996,0.23768396097471955,2.69249825,2.7316855,2.79026725,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,7.2,1.92,2.6939933184772378,0.0,1.2,1.2,5
