SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.341747,0.435629,0.36228564705882355,0.01594713439354007,0.3498905,0.358879,0.369565,255,11.493499,13.883907,12.102711231372549,0.29277190808160963,11.961317,12.081562,12.227318,255,0.283838,0.461642,0.2993040431372549,0.019670861362214735,0.286333,0.292387,0.302439,255,0.136352,0.214579,0.14781629019607842,0.01676266306285858,0.137984,0.138719,0.147364,255,3.605076,4.351251,3.7489544784313726,0.07566992473444255,3.7084325,3.737176,3.7906835,255,3.605076,4.351251,3.7489544784313726,0.07566992473444255,3.7084325,3.737176,3.7906835,255,0.022782,0.049676,0.02490732549019608,0.0024234192939828402,0.023996,0.024279,0.0251035,255,0.051793,0.085643,0.05589936078431373,0.0036927125779784393,0.054017,0.054743,0.056784,255,39.718023,54.287414,48.38030612156863,3.003084167247757,47.5747155,47.960803,48.57873,255,27.135067,41.635271,35.73622129411764,3.038137364017748,35.087748,35.307272,35.5771165,255,0.020672,0.05987,0.022722082352941174,0.003874461491371408,0.0217615,0.0221,0.022367,255,21.783419,28.304638,23.135957109803922,2.4333396479499085,21.8733025,21.926939,22.0453915,255,4.851309,14.064269,12.151061294117646,1.8256116458727534,12.7189075,12.862666,12.9984225,255,0.400543,0.525278,0.4235457294117647,0.018395200619207706,0.41277,0.417685,0.428761,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,9.000831,10.418264,9.35601251054131,0.25129516388640566,9.1555205,9.28438,9.509896,1755,8.700684,10.107468,9.04650554928775,0.24682002370472353,8.848671,8.970751,9.201401,1755,0.005197,0.586922,0.1760283688509022,0.17174804178150976,0.03002975,0.119604,0.2811425,10530,0.006191,0.302766,0.07785574349477684,0.07480667694551213,0.0141095,0.06566,0.107956,10530,0.035044,4.193148,1.1624861653371321,1.1977776980506305,0.08662125,0.896679,1.73392725,10530,0.035044,4.193148,1.1624861653371321,1.1977776980506305,0.08662125,0.896679,1.73392725,10530,0.0966,0.185223,0.11127305071225072,0.012501661606906925,0.102762,0.106451,0.117828,1755,0.131263,0.214124,0.14482382564102564,0.011113958122107954,0.138111,0.141005,0.147846,1755,24.114331,41.200586,30.77681084957265,3.622517667612665,28.4085515,30.261776,32.487596,1755,14.328708,31.493092,20.90430065014245,3.611519641828336,18.5956305,20.398023,22.6976135,1755,0.071634,0.149431,0.08283769743589744,0.009182156142531768,0.0784055,0.080655,0.084148,1755,13.536901,30.686629,20.07015184843305,3.524312316468887,17.8168545,19.549455,21.883724,1755,0.100989,0.966696,0.2559961396011396,0.10571053531575494,0.197809,0.228785,0.280426,1755,0.434243,0.650683,0.4930876034188034,0.0290418878544494,0.473884,0.487391,0.508847,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.041739,1.754615,0.109388015,0.12492847542891403,0.05477575,0.094364,0.125985,1000,0.127406,0.269288,0.145481613,0.018394252373859367,0.13178125,0.1374565,0.15759525,1000,0.001902,0.022987,0.00266406775,0.0011967316343524715,0.002106,0.0022375,0.003029,4000,0.004053,0.02982,0.00518967525,0.001746424656201188,0.004331,0.004467,0.00571825,4000,0.000352,0.012551,0.000729763,0.0007092964033681547,0.000447,0.0005,0.00093,4000,0.000352,0.012551,0.000729763,0.0007092964033681547,0.000447,0.0005,0.00093,4000,0.020118,0.055938,0.023107771,0.004107661040368229,0.02066075,0.0209835,0.02472525,1000,0.027738,0.076322,0.030828012,0.005221124145800021,0.02840225,0.028801,0.03189325,1000,0.423935,2.408986,0.529185815,0.15338847756652638,0.45506075,0.490273,0.58167025,1000,0.085955,0.218261,0.10092942299999999,0.015731848078724603,0.088423,0.0930065,0.11146275,1000,0.025394,0.060464,0.029483681,0.005100393919614346,0.026269,0.02686,0.03203825,1000,0.037568,0.120562,0.044922639,0.009047670543000503,0.038714,0.041121,0.0502,1000,0.0053,0.02491,0.006537237,0.0019952703342732783,0.0055,0.005651,0.006999,1000,0.016165,0.048617,0.019446982,0.00388367510094189,0.01682,0.0176175,0.0209515,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.040764,1.693355,0.10899033100000001,0.11991483559123717,0.05320425,0.095194,0.125866,1000,0.12705,0.247637,0.14596210099999998,0.017929013109728012,0.13179575,0.1371395,0.15775025,1000,0.001935,0.022314,0.002595951,0.0009276073768567173,0.002122,0.002235,0.00300525,4000,0.004023,0.032082,0.005311461250000001,0.0018990004141648937,0.004342,0.0045375,0.00580925,4000,0.000348,0.018161,0.0007403619999999999,0.0008687695724160693,0.000459,0.000513,0.00088725,4000,0.000348,0.018161,0.0007403619999999999,0.0008687695724160693,0.000459,0.000513,0.00088725,4000,0.020025,0.073095,0.023139541,0.004360407650474781,0.02063025,0.0210565,0.024879,1000,0.027421,0.069091,0.030911819,0.005307604389386892,0.0283435,0.0292375,0.03202075,1000,0.423789,2.343377,0.530536288,0.15018646191993823,0.4558535,0.493512,0.58422325,1000,0.085744,0.215576,0.101434709,0.016851291226025356,0.08850475,0.0928555,0.11212125,1000,0.024909,0.078861,0.029356188999999998,0.005945523257483651,0.02594375,0.026617,0.031737,1000,0.037914,0.108757,0.045346826,0.009427562978083148,0.038756,0.041756,0.05031025,1000,0.005292,0.029116,0.006723484,0.002154932667102153,0.005543,0.0059685,0.00707925,1000,0.016254,0.056292,0.019412784,0.0038413550722816553,0.0168995,0.017646,0.0208405,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.042615,1.72781,0.079832603,0.11888484777457298,0.05327225,0.06772,0.07849325,1000,0.127097,0.276921,0.137432797,0.013994876085188856,0.1305695,0.133177,0.1368505,1000,0.001874,0.022317,0.0024921615000000003,0.0011108915173939126,0.002068,0.002166,0.002925,4000,0.004008,0.031513,0.00494267475,0.0015384558498580444,0.004285,0.004402,0.005692,4000,0.000353,0.015269,0.00074229475,0.0007222421251716336,0.000464,0.00052,0.00096225,4000,0.000353,0.015269,0.00074229475,0.0007222421251716336,0.000464,0.00052,0.00096225,4000,0.020259,0.04996,0.021658022000000002,0.003279519105831829,0.02063775,0.0208665,0.02107075,1000,0.02773,0.061652,0.029742299,0.0032517814289399895,0.02849875,0.028819,0.029631,1000,0.440176,2.424475,0.502913669,0.14137482374472282,0.46418225,0.486178,0.50143525,1000,0.098622,0.209378,0.121195175,0.015607074075699615,0.11019175,0.119625,0.126164,1000,0.025449,0.064056,0.027434237,0.004108285711684498,0.02610075,0.026342,0.02668,1000,0.043316,0.121381,0.046735139,0.007024498389897958,0.044106,0.0446065,0.04552925,1000,0.008738,0.069726,0.027871414,0.009769340211529334,0.019543,0.0291685,0.0337315,1000,0.016772,0.042649,0.018617557,0.0029084178246515753,0.017287,0.017487,0.018214,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.040695,1.476927,0.08498771799999999,0.0963018535147402,0.076451,0.0771355,0.07972125,1000,0.040603,0.127432,0.053712574,0.008804571391074299,0.051434,0.0522555,0.05298925,1000,0.002888,0.020622,0.004323533,0.0015975307887208313,0.004075,0.004147,0.00421625,1000,0.005727,0.028967,0.007814125,0.0021987418823897907,0.007456,0.0075635,0.007659,1000,0.00076,0.010334,0.001056348,0.0006029596693776459,0.000958,0.00099,0.001021,1000,0.00076,0.010334,0.001056348,0.0006029596693776459,0.000958,0.00099,0.001021,1000,0.006099,0.04064,0.009612842,0.002938108104041783,0.00919575,0.009332,0.00956225,1000,0.011205,0.039151,0.014379524999999999,0.00279259263075999,0.01391375,0.014055,0.01420825,1000,0.142941,1.743474,0.245780365,0.10658724905065227,0.23519625,0.2380165,0.250668,1000,0.01204,0.091192,0.037908226,0.010344395030494726,0.0379705,0.038557,0.0410815,1000,0.002055,0.014596,0.003105726,0.0011679642738217637,0.00291675,0.002999,0.00307725,1000,0.006836,0.039573,0.016270173000000002,0.004317290855973338,0.015988,0.016166,0.016372,1000,0.001562,0.05644,0.016222066,0.006312574302900837,0.01714575,0.0173865,0.0176805,1000,0.000997,0.016407,0.001499184,0.0009392153555729378,0.001329,0.001374,0.001423,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.040531,1.513291,0.099420478,0.09955422639420948,0.075798,0.1038885,0.105517,1000,0.040665,0.148817,0.053315046000000005,0.008723850096940227,0.0510125,0.051602,0.052408,1000,0.002852,0.025612,0.0041605389999999996,0.0013572155526956652,0.004029,0.004107,0.00418,1000,0.005741,0.023726,0.007769627,0.0020666144337710894,0.007404,0.007519,0.00762,1000,0.000734,0.009997,0.0010407950000000002,0.0005438362758910075,0.000946,0.000978,0.001013,1000,0.000734,0.009997,0.0010407950000000002,0.0005438362758910075,0.000946,0.000978,0.001013,1000,0.00604,0.03255,0.009526076,0.0025003302638299607,0.00914575,0.0092955,0.009448,1000,0.011249,0.042071,0.014445564000000001,0.003038495726820099,0.01381,0.01396,0.014117,1000,0.143364,1.740975,0.249341293,0.10931003245873248,0.222025,0.2524525,0.25779925,1000,0.012057,0.064153,0.027836010999999997,0.007134319283777464,0.02491275,0.0289115,0.02946175,1000,0.002031,0.013085,0.003021183,0.0008274684776539828,0.002907,0.002978,0.003049,1000,0.006858,0.042907,0.015063272999999999,0.004213296085545259,0.01427875,0.0149875,0.01531825,1000,0.00159,0.030148,0.007544703999999999,0.003238394109181895,0.0058395,0.0089585,0.00919425,1000,0.001006,0.015929,0.001414913,0.0008261290004781336,0.00124575,0.001313,0.00137,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008409,0.162826,0.010139684,0.008865403215090896,0.00877875,0.008989,0.00933425,1000,1.093538,1.331938,1.131092236,0.035614472388065845,1.10244,1.123055,1.1427705,1000,0.06674,0.129673,0.069632236,0.007096872152737712,0.06725375,0.067467,0.0677485,1000,0.036897,0.07395,0.038754334,0.0043483852272359685,0.037374,0.0375595,0.03818225,1000,0.000648,0.017994,0.000923067,0.0007970245745966683,0.00076,0.000794,0.000839,1000,0.978007,1.139,1.014011784,0.03150974023252721,0.9877365,1.00838,1.02261825,1000,0.002702,0.016117,0.0030075279999999998,0.0008224612314364733,0.002863,0.002927,0.00300725,1000,0.008337,0.029456,0.008878749,0.0011699359495284348,0.00862,0.008719,0.00884625,1000,1.126317,1.512492,1.16719455,0.04032647209547967,1.13762375,1.158342,1.17887075,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000292,0.000915,0.000358188,5.27859323683877e-05,0.00032775,0.0003525,0.000375,1000,2.51191,5.136574,2.5901014079999998,0.19974863384248598,2.54226125,2.5653545,2.589609,1000,0.052032,0.1004,0.054678040000000004,0.005201029072250991,0.05239075,0.0526735,0.05640875,1000,0.043925,0.089839,0.04630887400000001,0.0044625719794894065,0.044422,0.044715,0.04804125,1000,0.689471,2.16093,0.719246247,0.10001760656682397,0.69609025,0.7123535,0.7187975,1000,1.713876,2.83519,1.762164444,0.11506995410264516,1.7233865,1.7413845,1.76395675,1000,0.001207,0.005484,0.001352364,0.00018939552134092296,0.001292,0.001325,0.00136725,1000,0.005876,0.021608,0.006623899999999999,0.001155125731684651,0.0063015,0.00647,0.006645,1000,2.52883,5.186949,2.6083224360000004,0.20229971686963355,2.55976375,2.583072,2.60818725,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000277,0.000936,0.000326212,5.1260579942095866e-05,0.000302,0.000317,0.000333,1000,2.609222,5.274868,2.68035499,0.1954922239132695,2.62627275,2.652613,2.678605,1000,0.051809,0.102983,0.054106399,0.004617523513724537,0.052166,0.0525495,0.05441775,1000,0.043485,0.084673,0.045727351,0.003935769580374212,0.04422875,0.044633,0.04552025,1000,0.689509,2.17304,0.711675352,0.09339691553814879,0.6947295,0.697944,0.7148515,1000,1.811995,2.919737,1.861250783,0.11651143000835544,1.82196275,1.8398265,1.86235125,1000,0.001216,0.012076,0.001413682,0.0004616071239441609,0.001321,0.001368,0.001431,1000,0.005795,0.021358,0.006594066,0.001202646018429363,0.006219,0.0064,0.006686,1000,2.626651,5.326743,2.698552956,0.19827365385855494,2.64426075,2.670678,2.6966575,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
