SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.341349,0.420509,0.3589258588235294,0.014294953179756894,0.3485955,0.354662,0.362644,255,11.529298,13.83216,12.056489054901961,0.27404986717105967,11.9518765,12.072773,12.1873405,255,0.283736,0.359415,0.29473394509803924,0.014188483464019347,0.2862605,0.28775,0.296398,255,0.136279,0.187272,0.14248345098039217,0.009632312257807613,0.1374765,0.138297,0.1408075,255,3.521792,4.249838,3.675137282352941,0.11048850848587831,3.600633,3.633624,3.697793,255,3.521792,4.249838,3.675137282352941,0.11048850848587831,3.600633,3.633624,3.697793,255,0.022505,0.063701,0.024384560784313725,0.0034503789577650192,0.023471,0.023796,0.024135,255,0.05197,0.093245,0.05551785882352941,0.005434924949214903,0.053669,0.054155,0.054797,255,39.615643,54.384418,47.15915129803921,1.9183204275402934,47.28512,47.630831,47.956268,255,27.138114,41.673768,34.570815850980395,1.9383087314861267,34.9720725,35.178159,35.293069,255,0.019572,0.054157,0.022334392156862743,0.004034445720262253,0.0210795,0.021544,0.0219645,255,21.789291,28.369806,22.021622654901957,0.8354134167303333,21.8640055,21.895034,21.92361,255,4.871188,13.320301,12.102089980392156,1.7942215646331965,12.6723215,12.854251,12.9326025,255,0.400243,0.508271,0.4219482156862745,0.01725102523343062,0.4107675,0.415807,0.4287745,255,0.0,1.2,0.96,0.48000000000000004,1.2,1.2,1.2,5
SofaScene,8.917737,13.863267,9.2909751002849,0.27517426013998414,9.1135105,9.216775,9.40812,1755,8.612217,13.533116,8.985350935612535,0.2717609202993438,8.810972,8.906579,9.106213,1755,0.004696,0.62985,0.17407728603988604,0.16875893438739836,0.03170475,0.117616,0.278225,10530,0.006061,0.296181,0.07527317416904084,0.07206005148090601,0.01434925,0.063173,0.104369,10530,0.034922,5.537815,1.15497024662868,1.189572820939467,0.08451025,0.9053155,1.7353735,10530,0.034922,5.537815,1.15497024662868,1.189572820939467,0.08451025,0.9053155,1.7353735,10530,0.097083,0.183257,0.10872879886039886,0.010308373392925575,0.102845,0.105296,0.111192,1755,0.129987,0.237756,0.14223560626780626,0.01167211382889657,0.1358695,0.138044,0.14482,1755,23.98567,41.238534,30.700634626780626,3.644727010283641,28.2538555,30.180961,32.4773215,1755,14.462574,31.06097,20.906866087749286,3.623220432302702,18.516529,20.427841,22.666078,1755,0.072945,0.139556,0.08289946666666666,0.008039218961468045,0.0789345,0.081187,0.083658,1755,13.645488,30.222598,20.076237207407406,3.5337161526548786,17.7307945,19.551094,21.830425,1755,0.100333,0.631231,0.2524237829059829,0.102938510552843,0.195215,0.225069,0.2780675,1755,0.422406,0.740025,0.49305604615384613,0.030190313526476165,0.473433,0.486851,0.509384,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.037413,1.782269,0.10877235099999999,0.12356891945259453,0.05387325,0.093973,0.12439025,1000,0.126092,0.246695,0.14373080100000002,0.018054273904131373,0.13066825,0.1347405,0.1556955,1000,0.001856,0.023543,0.00261116425,0.0013320060323707011,0.002028,0.002139,0.00297,4000,0.004081,0.024456,0.0052165525,0.0015170379041882078,0.004389,0.004544,0.005775,4000,0.000354,0.030646,0.000729347,0.0008523414932355459,0.000446,0.000505,0.000918,4000,0.000354,0.030646,0.000729347,0.0008523414932355459,0.000446,0.000505,0.000918,4000,0.019973,0.081008,0.022925625,0.004450369986908392,0.020503,0.020859,0.02448925,1000,0.027613,0.080283,0.030779773,0.005011455235904138,0.02835975,0.028908,0.03190325,1000,0.421031,2.431792,0.527406564,0.15189625777208568,0.45276225,0.489705,0.58089625,1000,0.085716,0.203181,0.101003135,0.016464319260654992,0.088511,0.0927295,0.11160275,1000,0.025393,0.067285,0.02977408,0.005886151791077088,0.026305,0.02697,0.03231525,1000,0.037711,0.122725,0.044791206,0.009135624159057991,0.03879975,0.0410645,0.04985725,1000,0.005307,0.031203,0.006637133,0.0021874329313857827,0.005553,0.0057195,0.007051,1000,0.015972,0.067451,0.019266692999999998,0.004411940215228557,0.01670725,0.0174495,0.02062675,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.037143,1.752048,0.108904745,0.1190457308571877,0.0573355,0.095285,0.1265565,1000,0.124064,0.246024,0.144328085,0.016855513998029696,0.13124625,0.1389655,0.155809,1000,0.001839,0.020538,0.00257630675,0.0011864550575788522,0.002042,0.002197,0.002971,4000,0.004038,0.025142,0.00527205925,0.0015789862227832887,0.004361,0.004712,0.005789,4000,0.000339,0.019838,0.00076482675,0.0009030323960049481,0.000476,0.000544,0.000898,4000,0.000339,0.019838,0.00076482675,0.0009030323960049481,0.000476,0.000544,0.000898,4000,0.019911,0.054642,0.022953157,0.004133830099115226,0.02046775,0.0207495,0.02469475,1000,0.027598,0.066512,0.030446985,0.0040282916975778954,0.028325,0.028886,0.03175425,1000,0.424275,2.396286,0.527393571,0.14791134065669528,0.45435175,0.4881195,0.58328175,1000,0.086061,0.20719,0.10091632,0.015975242084225204,0.088651,0.0926755,0.11258575,1000,0.025247,0.06983,0.029434889,0.005324214201615014,0.02623175,0.026863,0.03215125,1000,0.038052,0.099712,0.045002495999999996,0.00873989100938816,0.0389625,0.0401635,0.0504325,1000,0.005371,0.027725,0.006697906,0.001864661533137851,0.005596,0.0060035,0.007091,1000,0.016078,0.048833,0.01923384,0.003923308016508517,0.0167055,0.0173195,0.020826,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.037117,1.732185,0.07958124800000001,0.1183876375256154,0.052682,0.067347,0.07925175,1000,0.126907,0.258108,0.14068821299999998,0.014732249031347218,0.13164375,0.137921,0.14336875,1000,0.00187,0.023891,0.00248923475,0.0011798539147464136,0.002065,0.002166,0.002865,4000,0.004052,0.025761,0.00510472375,0.0015400847319014422,0.00444075,0.0046255,0.0057305,4000,0.000355,0.010848,0.0007265515,0.0006623887562057118,0.00045,0.000508,0.00095,4000,0.000355,0.010848,0.0007265515,0.0006623887562057118,0.00045,0.000508,0.00095,4000,0.019994,0.057839,0.021944272,0.0036060172653519006,0.020626,0.0212215,0.0218915,1000,0.027707,0.074652,0.029252601,0.003883891985598853,0.028267,0.028429,0.02864825,1000,0.436942,2.396687,0.509287637,0.1399170157186081,0.471761,0.4912635,0.512426,1000,0.09715,0.234707,0.12289069,0.017341675190762282,0.11102425,0.1203185,0.12843,1000,0.025165,0.068207,0.027982015,0.004337445827993129,0.02615175,0.026808,0.0279675,1000,0.042749,0.14786,0.047586166,0.008388766907027754,0.0440125,0.04541,0.04703375,1000,0.009141,0.078307,0.028384685,0.010672134089008392,0.01954625,0.029132,0.03398625,1000,0.016354,0.045104,0.018423988000000002,0.003006772282008732,0.017024,0.017439,0.01798075,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.040243,1.412546,0.083528666,0.09427342351436296,0.07539275,0.0762465,0.07805475,1000,0.040088,0.104995,0.053802411999999994,0.008752983689363074,0.051144,0.0520825,0.05293925,1000,0.002795,0.018572,0.004195470000000001,0.001521407710345915,0.004002,0.0040815,0.004153,1000,0.005693,0.027258,0.007709942,0.0018585241200038275,0.00741475,0.007578,0.007704,1000,0.000742,0.009997,0.001024598,0.00047554296798081244,0.000942,0.000971,0.001,1000,0.000742,0.009997,0.001024598,0.00047554296798081244,0.000942,0.000971,0.001,1000,0.006003,0.031624,0.009449767,0.002051723414768911,0.00925475,0.00943,0.0095925,1000,0.011218,0.040197,0.014439256,0.002952423154709365,0.013918,0.0140565,0.01418925,1000,0.141015,1.649222,0.244751196,0.10412243753701496,0.2335645,0.237103,0.2541175,1000,0.011782,0.093484,0.038183337,0.010830747748398121,0.0380405,0.0386745,0.041274,1000,0.001959,0.013399,0.0030623119999999998,0.0008606909507227317,0.002942,0.0030125,0.003082,1000,0.006873,0.046997,0.016292324,0.004573188094428656,0.015973,0.016113,0.01630225,1000,0.00161,0.06659,0.016599403,0.006996461524412966,0.0171665,0.0176815,0.017861,1000,0.000922,0.016261,0.0014515560000000001,0.0009867504572403298,0.00128275,0.001327,0.001372,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.039864,1.411743,0.09798868399999999,0.09556960201644739,0.07573875,0.103561,0.10527625,1000,0.040273,0.107319,0.05291413,0.007851708356727216,0.05108675,0.051575,0.05231925,1000,0.002803,0.016981,0.004144664,0.0011783894428855004,0.004012,0.004088,0.004165,1000,0.005688,0.025607,0.0076802039999999995,0.0017480878606019779,0.00740075,0.007544,0.00769,1000,0.000721,0.010447,0.001004273,0.00047507629331613674,0.00092075,0.000951,0.000984,1000,0.000721,0.010447,0.001004273,0.00047507629331613674,0.00092075,0.000951,0.000984,1000,0.006002,0.034674,0.009499674999999999,0.0024619037449451595,0.00920175,0.009384,0.00954425,1000,0.011224,0.036294,0.014171847,0.0022612333660175367,0.013819,0.013968,0.014151,1000,0.142178,1.652403,0.247177371,0.10571852639435227,0.221239,0.2516615,0.2571855,1000,0.011887,0.068136,0.027925544,0.0074569480408585385,0.02495625,0.0287745,0.0296465,1000,0.001931,0.020195,0.003030031,0.001083078327748737,0.00288275,0.00296,0.00304,1000,0.006868,0.044204,0.015093643,0.004381991692547009,0.014255,0.015008,0.01533225,1000,0.001604,0.033578,0.007620272,0.003365567347716578,0.0058485,0.008834,0.0094585,1000,0.000891,0.011587,0.001414811,0.0009362080491423902,0.00120975,0.001283,0.00134925,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008291,0.159618,0.01017469,0.008934001283853724,0.008716,0.00889,0.009201,1000,1.101591,1.4057,1.158930247,0.055859384159047,1.12268625,1.137563,1.17633075,1000,0.067134,0.12651,0.070882416,0.00759072645963112,0.067533,0.067988,0.07272825,1000,0.037456,0.078139,0.038979568,0.004665273041460275,0.0378595,0.038019,0.03816025,1000,0.000711,0.012244,0.0009548769999999999,0.000617284180804109,0.000811,0.000845,0.000879,1000,0.985231,1.28917,1.0403473490000001,0.054816212040264135,0.99694975,1.019876,1.05408,1000,0.002759,0.016544,0.003047885,0.0008131822611044832,0.002906,0.002949,0.00303125,1000,0.008406,0.026162,0.009046077,0.0015909898544839939,0.00867875,0.0087985,0.008928,1000,1.135027,1.59433,1.195413052,0.058495029452435496,1.15932525,1.1723085,1.2179575,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000271,0.01005,0.00034574299999999997,0.0003124640890582468,0.000315,0.000327,0.000343,1000,2.504593,5.205483,2.612636673,0.2058351676465032,2.540292,2.573895,2.633167,1000,0.05232,0.100825,0.054225595,0.005065108775828511,0.052675,0.0529665,0.05336825,1000,0.043803,0.103393,0.045554669,0.004781995340800637,0.044182,0.044559,0.04486125,1000,0.688543,2.161034,0.715810678,0.10079316284255752,0.69456125,0.698442,0.72179325,1000,1.706378,2.907516,1.789508635,0.12611738249683022,1.726298,1.7542795,1.80267275,1000,0.001129,0.010096,0.001293162,0.00031424131770981363,0.001224,0.0012645,0.001311,1000,0.005998,0.024007,0.006572379,0.0013315482181877605,0.006253,0.006385,0.006539,1000,2.521827,5.254582,2.630670725,0.20821363837064893,2.5578355,2.591665,2.65217825,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.00028,0.000898,0.000362811,5.889973920994897e-05,0.000328,0.00035,0.000384,1000,2.614012,5.1558,2.712576243,0.19216230813124083,2.66234725,2.688322,2.713153,1000,0.052005,0.111854,0.054958632,0.005765515163675836,0.05257275,0.0530315,0.056456,1000,0.043774,0.092276,0.04642303699999999,0.005056139206907876,0.04445725,0.044893,0.04712725,1000,0.68909,2.040253,0.7172818270000001,0.09212116300797049,0.695546,0.702048,0.724475,1000,1.816206,2.944517,1.8862836969999999,0.11574119819323278,1.8471795,1.8684905,1.890169,1000,0.001135,0.012627,0.0013223199999999999,0.0006072343679338316,0.001228,0.0012685,0.00131225,1000,0.006005,0.026574,0.006690528,0.001474224448724142,0.0063095,0.006475,0.00668625,1000,2.630404,5.21424,2.731000816,0.19463543124723756,2.68119725,2.7061225,2.731251,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,2.4,0.48,0.9600000000000001,0.0,0.0,0.0,5
