SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.329169,0.416084,0.34496326666666666,0.012899221719016224,0.335987,0.341253,0.3492485,255,12.10622,13.511897,12.633005368627451,0.27224125483742595,12.4977325,12.595011,12.837842,255,0.286254,0.359643,0.3004598196078431,0.012488485933710231,0.2907585,0.295633,0.310831,255,0.135835,0.20852,0.1466158549019608,0.014799297339921823,0.1375205,0.138592,0.147874,255,3.897835,4.405738,4.0022310509803924,0.07751674811645766,3.943514,3.99306,4.048798,255,3.897835,4.405738,4.0022310509803924,0.07751674811645766,3.943514,3.99306,4.048798,255,0.02331,0.046893,0.025442854901960785,0.002987748930071374,0.024044,0.024486,0.026354,255,0.053591,0.094516,0.05686194117647059,0.004202143642549386,0.055322,0.05601,0.057128,255,40.269609,56.505087,47.74735913333333,2.1590982719864087,47.759552,48.190644,48.4581745,255,27.176358,42.587758,34.580261615686275,2.1308352616553163,34.999171,35.098679,35.22065,255,0.020225,0.040358,0.022207258823529412,0.0019498175409033284,0.021374,0.021875,0.0223265,255,21.77114,29.014812,22.090789388235294,0.9845096905600699,21.8819445,21.922875,21.990953,255,4.84373,13.399348,12.06248962745098,1.7872234405528855,12.710244,12.762023,12.820344,255,0.38634,0.481787,0.402332031372549,0.014758028199732978,0.393419,0.399005,0.4041815,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,11.925791,14.535256,13.144440614814814,0.33952285195910986,12.9332485,13.028538,13.256625,1755,11.602893,14.194402,12.812529034188033,0.333256044535295,12.608598,12.699222,12.915217,1755,0.007973,0.838159,0.24519206818613487,0.21885150621855584,0.049482,0.294869,0.391223,10530,0.008748,0.506899,0.0962912257359924,0.07967022057711713,0.02160375,0.0898575,0.15583925,10530,0.094369,6.419827,1.8652181911680912,1.8979113151207927,0.1652365,1.1434545,2.74620225,10530,0.094369,6.419827,1.8652181911680912,1.8979113151207927,0.1652365,1.1434545,2.74620225,10530,0.092248,0.180358,0.10842390085470086,0.014215937181728209,0.098897,0.101514,0.1155975,1755,0.135754,0.216934,0.1494421925925926,0.014397808038632966,0.140619,0.142797,0.1500475,1755,23.811896,41.643245,28.824426197720797,2.389013717305159,27.095111,28.713025,30.523808,1755,10.311854,27.651007,15.08739678974359,2.365067307548237,13.4014725,14.863995,16.826966,1755,0.074324,0.143523,0.08524906837606837,0.011161390273096499,0.079729,0.082001,0.0846995,1755,9.506089,26.406923,14.25231608945869,2.2808346811359503,12.6191175,14.017928,15.9792435,1755,0.102632,0.652127,0.2654452170940171,0.10650262804223799,0.20292,0.241275,0.2928115,1755,0.414411,0.684306,0.48228371965811967,0.028247376756828344,0.4606315,0.480723,0.5027315,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.031985,1.723458,0.09528444999999999,0.11974492728257637,0.0437585,0.081557,0.11056425,1000,0.274244,0.451846,0.303810265,0.025308663362429377,0.28580825,0.2913115,0.32100775,1000,0.001254,0.019321,0.00195145525,0.0007395788311582732,0.001543,0.001709,0.002356,4000,0.002978,0.019385,0.0038953525,0.0008832684335714426,0.00334,0.003524,0.004444,4000,0.020925,0.075048,0.024242397250000002,0.0034404305191272845,0.021874,0.023538,0.02564975,4000,0.020925,0.075048,0.024242397250000002,0.0034404305191272845,0.021874,0.023538,0.02564975,4000,0.020554,0.047303,0.023327181,0.0030604681380859036,0.02126525,0.0215625,0.0252195,1000,0.026359,0.061334,0.028429456,0.0029993095825646275,0.02686875,0.027125,0.0295775,1000,0.576635,2.540953,0.686313847,0.15613677837218107,0.599603,0.64479,0.75336525,1000,0.092048,0.207462,0.106571649,0.016442625580782376,0.09520725,0.0986615,0.11691275,1000,0.025803,0.068628,0.02964545,0.004734368061684685,0.026723,0.0274125,0.03189475,1000,0.0418,0.118955,0.04887361,0.009031990889826008,0.04300775,0.0447585,0.054005,1000,0.006176,0.021902,0.007550635,0.0017769815794698041,0.00644975,0.006602,0.008089,1000,0.017182,0.055271,0.019943394,0.003352779511802707,0.0177785,0.0183225,0.021624,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.023962,1.711201,0.09579416,0.12054074418979002,0.04406575,0.082065,0.111973,1000,0.274329,0.481282,0.305110364,0.02681246713291233,0.28540625,0.292936,0.322849,1000,0.001265,0.014264,0.00195806275,0.0007781410391519249,0.001548,0.0017175,0.002323,4000,0.002929,0.036376,0.00393160775,0.0010123452184852447,0.003367,0.003575,0.00445125,4000,0.020925,0.098951,0.024401250250000003,0.003683033414744555,0.02194675,0.0235885,0.02580725,4000,0.020925,0.098951,0.024401250250000003,0.003683033414744555,0.02194675,0.0235885,0.02580725,4000,0.020661,0.047665,0.023254977,0.0028722084744097183,0.021233,0.021531,0.0251655,1000,0.026112,0.050257,0.028278241000000003,0.0024361376888261056,0.02679475,0.027085,0.02950075,1000,0.576455,2.572461,0.687894023,0.15716651606263488,0.5982595,0.6418155,0.75549425,1000,0.091691,0.203262,0.10632158500000001,0.015699789258673984,0.0949765,0.0985865,0.11626775,1000,0.025491,0.060468,0.029597904999999997,0.0046235500719658046,0.0265325,0.027354,0.031955,1000,0.04178,0.117411,0.048925711999999996,0.008841807837826832,0.04298075,0.0446225,0.05400425,1000,0.006106,0.018222,0.007515207,0.001598002451860134,0.006358,0.006834,0.00809,1000,0.01683,0.051076,0.019708444,0.0030735715119163897,0.0175635,0.0181195,0.02124,1000,0.0,1.2,0.96,0.48,1.2,1.2,1.2,5
BilateralLagrangianConstraint_UGS,0.02787,1.690926,0.06662633400000001,0.11781355904089497,0.041785,0.0539895,0.067046,1000,0.271504,0.424577,0.29194105200000003,0.016110648714415445,0.2844165,0.2869345,0.29225075,1000,0.001238,0.01607,0.00185270525,0.0007966349671414365,0.001502,0.001618,0.002276,4000,0.002967,0.023926,0.003715627,0.0009855018741083143,0.00327,0.003391,0.004296,4000,0.020991,0.065926,0.023538149,0.002956745201957551,0.02187,0.023266,0.02397725,4000,0.020991,0.065926,0.023538149,0.002956745201957551,0.02187,0.023266,0.02397725,4000,0.020777,0.051413,0.021840795,0.0018599748210594142,0.021259,0.0214195,0.02163,1000,0.02629,0.059541,0.027442429,0.002945129758934061,0.02672475,0.0268585,0.027009,1000,0.59138,2.520106,0.65723795,0.14159499099860667,0.614442,0.6422555,0.6586405,1000,0.103269,0.219464,0.12776300100000001,0.01582149374063647,0.1166395,0.126801,0.13316775,1000,0.025629,0.051029,0.027543794000000003,0.0030156161654898983,0.026571,0.0268595,0.02721325,1000,0.047268,0.107493,0.050802035,0.006573378773338335,0.0484635,0.049085,0.05000475,1000,0.009324,0.069219,0.030112174999999998,0.010315403454658234,0.021309,0.0313765,0.0362815,1000,0.017238,0.047447,0.018755716,0.002405134273869964,0.0177765,0.0179575,0.01823425,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.029973,1.441642,0.079284005,0.09454905752390648,0.07188125,0.07263,0.07521075,1000,0.081116,0.169972,0.108095126,0.010525841285052896,0.1062465,0.1089435,0.11048325,1000,0.002224,0.013356,0.003252484,0.0009986220064388727,0.003081,0.0031605,0.00324,1000,0.004398,0.022205,0.005861216000000001,0.001044223736248128,0.00572175,0.005841,0.005942,1000,0.024749,0.076204,0.033912862999999994,0.004090148312009113,0.03286275,0.0334325,0.03575025,1000,0.024749,0.076204,0.033912862999999994,0.004090148312009113,0.03286275,0.0334325,0.03575025,1000,0.00647,0.030598,0.00978513,0.0017576480720269347,0.009594,0.009794,0.0100865,1000,0.010341,0.028043,0.012669301,0.0014643375281672597,0.012541,0.0126315,0.012725,1000,0.182314,1.738369,0.296945874,0.10502944289997031,0.29165225,0.295163,0.299309,1000,0.012878,0.090674,0.039812731,0.010426832423158963,0.04085375,0.041301,0.04222175,1000,0.002097,0.019801,0.003223583,0.0009139739772613878,0.00305275,0.0031355,0.00322725,1000,0.007302,0.049716,0.017628508999999997,0.004594927965041346,0.0175735,0.0178415,0.01813725,1000,0.001859,0.056938,0.01695183,0.006190065022849114,0.01814,0.018444,0.01862925,1000,0.00108,0.010495,0.001486753,0.0006230045906660721,0.001349,0.001387,0.001427,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.022116,1.532138,0.094190495,0.09987599711927773,0.072558,0.099838,0.10166425,1000,0.0812,0.182632,0.10781215799999999,0.010845535429707287,0.1056485,0.108236,0.109969,1000,0.002264,0.02494,0.003199107,0.0011650066281146214,0.003048,0.003113,0.003186,1000,0.004412,0.018115,0.005803877999999999,0.0011638821534485353,0.00564475,0.0057445,0.00582825,1000,0.024679,0.108817,0.03395752,0.004810714885710855,0.03275925,0.0332885,0.03549925,1000,0.024679,0.108817,0.03395752,0.004810714885710855,0.03275925,0.0332885,0.03549925,1000,0.006434,0.027574,0.009655584,0.0015622108074597359,0.009595,0.0097445,0.00986825,1000,0.010322,0.035011,0.012623273999999999,0.0015195252847267793,0.012439,0.012563,0.012668,1000,0.182954,1.864271,0.30128218900000003,0.11128197816704771,0.279719,0.3093535,0.315538,1000,0.012896,0.070692,0.029604146,0.0068272225244739165,0.0274325,0.0313165,0.03215525,1000,0.002156,0.021814,0.00321391,0.0012176988091888734,0.003015,0.003092,0.003167,1000,0.007181,0.043636,0.016319819,0.0038895805118597305,0.0159805,0.016688,0.01706525,1000,0.001885,0.020954,0.008060426,0.0028574097417983302,0.00648275,0.0095755,0.01003,1000,0.001064,0.018275,0.001491325,0.0009211146971875977,0.001293,0.0013595,0.00143,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.00652,0.134037,0.008157467,0.008801759790911757,0.00682375,0.006956,0.0072295,1000,1.137895,1.288941,1.16183987,0.01943258290102219,1.15121925,1.1574385,1.1636685,1000,0.066964,0.110232,0.068355871,0.0038705992567506903,0.06733675,0.0674435,0.06757025,1000,0.036822,0.066378,0.038312556,0.0027903935082464627,0.03748,0.0377205,0.038175,1000,0.021523,0.056136,0.023389736,0.002573587070666932,0.02205,0.0223625,0.0244685,1000,0.98897,1.113967,1.008339734,0.01623477042015821,0.99859525,1.00555,1.00890625,1000,0.002781,0.009034,0.003146601,0.0006334902002391198,0.002931,0.002983,0.00312,1000,0.011384,0.029647,0.011959297,0.001135893919691007,0.01165,0.0117715,0.011941,1000,1.173666,1.482676,1.201133299,0.025763787791231302,1.1889185,1.195651,1.202965,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000288,0.002779,0.000384354,0.00011362511467100926,0.00033,0.00035,0.0003895,1000,2.520324,4.982019,2.587368131,0.18376559254976388,2.5389325,2.5598245,2.581686,1000,0.05157,0.097151,0.053303197000000004,0.0035615629190274035,0.0519615,0.0521755,0.05282925,1000,0.043918,0.076697,0.045296869,0.0027577051858092083,0.04437875,0.044561,0.04489825,1000,0.698913,2.086487,0.7243671110000001,0.094535437202092,0.70517675,0.7086485,0.73100175,1000,1.695835,2.709336,1.740255956,0.10400045372558749,1.71004475,1.714391,1.737621,1000,0.001181,0.010186,0.0013696569999999998,0.0003113719758600635,0.001285,0.001335,0.00140125,1000,0.012743,0.042737,0.013564976000000001,0.001653524410894499,0.013138,0.013315,0.013588,1000,2.544564,5.041718,2.614356909,0.18591921886628804,2.565824,2.5858465,2.6084465,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000297,0.000962,0.00037024299999999997,5.060675795780639e-05,0.000342,0.000363,0.00039,1000,2.627885,4.829841,2.687407791,0.17269958250401568,2.64097525,2.649381,2.68646175,1000,0.051616,0.10089,0.052900396,0.0028217993329051586,0.051955,0.052406,0.052746,1000,0.044064,0.11176,0.045222385999999996,0.004107766439928638,0.044397,0.044529,0.04470025,1000,0.698835,1.893755,0.717499455,0.0840330251945744,0.703994,0.706345,0.70859325,1000,1.803678,2.763424,1.847696018,0.10301020349579781,1.81419975,1.820454,1.84751275,1000,0.001179,0.011642,0.001404624,0.00046538489513949633,0.001302,0.001348,0.001422,1000,0.012807,0.034872,0.013430408,0.0013714497641313735,0.013103,0.013244,0.01339525,1000,2.654072,4.883919,2.7140615649999997,0.17480074303713863,2.66723275,2.6756265,2.71366925,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
