SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.337704,0.441783,0.35980628235294115,0.01523844492473554,0.3495895,0.35636,0.363313,255,11.568835,13.737152,12.010867164705882,0.24347179024017793,11.8981045,12.017603,12.145538,255,0.28324,0.397829,0.296422031372549,0.0167176182814101,0.2858035,0.290603,0.300801,255,0.135998,0.219586,0.14831402352941175,0.018313901329891864,0.1376985,0.138569,0.147087,255,3.570902,4.296843,3.722614596078431,0.07116201135909622,3.680178,3.71084,3.7470715,255,3.570902,4.296843,3.722614596078431,0.07116201135909622,3.680178,3.71084,3.7470715,255,0.022565,0.048098,0.024851517647058823,0.003056768191914517,0.023568,0.024041,0.0249435,255,0.052455,0.085873,0.055709913725490195,0.0038371221957995924,0.0538625,0.054549,0.055929,255,39.725963,54.245367,47.18141207843138,1.880100812421517,47.349948,47.662261,47.914282,255,27.271615,41.586129,34.63327566666666,1.8893821483478779,35.0042935,35.164446,35.335066,255,0.020666,0.042059,0.022533654901960784,0.002111119487085106,0.0216675,0.022154,0.0225935,255,21.797612,28.177776,22.087763184313726,0.9133046291428153,21.8730965,21.910878,21.9701915,255,4.861099,13.596608,12.101690831372549,1.8034827391370372,12.694176,12.817848,12.9069545,255,0.397992,0.543414,0.41810413333333335,0.016805210130179184,0.408349,0.413252,0.4215925,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.978888,13.622636,9.443516001709401,0.332475728849159,9.177607,9.383057,9.613162,1755,8.702937,13.251125,9.129297868376069,0.32683072729327495,8.86581,9.078691,9.299437,1755,0.004711,0.588748,0.17809340759734094,0.17277485157475297,0.03042125,0.121406,0.28385725,10530,0.006108,0.347058,0.08517123171889839,0.08240383693552239,0.01516925,0.079478,0.15276425,10530,0.035154,5.50612,1.178683129059829,1.2129670458931765,0.09235425,0.888327,1.775723,10530,0.035154,5.50612,1.178683129059829,1.2129670458931765,0.09235425,0.888327,1.775723,10530,0.096345,0.190285,0.11311713219373219,0.012668619166910025,0.103754,0.109146,0.119194,1755,0.132644,0.22382,0.14641093447293446,0.012016219565338753,0.1384515,0.144081,0.1494035,1755,24.129029,48.683039,31.008228276923074,3.713526377210607,28.4775385,30.476058,32.830187,1755,14.466863,34.635009,21.04079409059829,3.6591979790749902,18.66321,20.467971,22.8159825,1755,0.07192,0.233644,0.08387164501424502,0.009945984684459392,0.078895,0.081615,0.085913,1755,13.672411,33.52128,20.20748276068376,3.5685974812788124,17.8690855,19.65449,21.9861765,1755,0.10075,0.65866,0.25667151794871795,0.10437739738611909,0.1982635,0.229959,0.283716,1755,0.429556,0.640436,0.49063228831908834,0.028340737025282975,0.4711505,0.486571,0.505755,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.037078,1.813074,0.108771725,0.12172719735169037,0.05474875,0.094226,0.12520175,1000,0.127071,0.262299,0.144524607,0.01725154755523547,0.13146925,0.135976,0.157112,1000,0.001974,0.022999,0.00266698925,0.0011777373510823358,0.002124,0.002238,0.003019,4000,0.004044,0.025539,0.00519720325,0.0017157958902327044,0.004319,0.0044845,0.005743,4000,0.000334,0.012796,0.000718113,0.0006535512655721815,0.00045,0.000504,0.000915,4000,0.000334,0.012796,0.000718113,0.0006535512655721815,0.00045,0.000504,0.000915,4000,0.019895,0.06599,0.023031207999999997,0.0041995513406477124,0.02062575,0.020942,0.02469925,1000,0.027431,0.066598,0.030421484000000002,0.004443453426530315,0.028196,0.0287055,0.031634,1000,0.422595,2.486434,0.526050151,0.14953175909134553,0.4532225,0.4856025,0.5808605,1000,0.086321,0.211276,0.100342414,0.016129582877328352,0.0882045,0.0919935,0.11084725,1000,0.025299,0.074296,0.029251935,0.005592359947175701,0.02606075,0.0265615,0.031267,1000,0.037963,0.109583,0.044666154,0.008471161651525958,0.03874575,0.0410105,0.0502755,1000,0.005295,0.026848,0.006536131999999999,0.0019175647150946433,0.005506,0.0056465,0.00701725,1000,0.016236,0.058558,0.019350859,0.0040207832912405265,0.0168205,0.0175035,0.0207875,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.042455,1.697168,0.108117263,0.11906803189571848,0.0529945,0.094522,0.12498675,1000,0.127929,0.258294,0.147888668,0.017677570935673712,0.1344935,0.1404745,0.1597135,1000,0.001936,0.024853,0.00267508825,0.0011701747375763745,0.00215675,0.0022985,0.00306125,4000,0.004119,0.026562,0.0053896475,0.0017601579206831842,0.00443175,0.00464,0.00589,4000,0.000355,0.07824,0.00075744225,0.001522633277307749,0.000458,0.000508,0.00087425,4000,0.000355,0.07824,0.00075744225,0.001522633277307749,0.000458,0.000508,0.00087425,4000,0.020158,0.057661,0.023062056,0.004029014252998368,0.0206215,0.0209335,0.02477875,1000,0.027486,0.065273,0.030428848999999997,0.004147682448090621,0.0282205,0.028719,0.0318165,1000,0.424936,2.296224,0.529777895,0.1481980240719625,0.45499475,0.488148,0.583448,1000,0.085706,0.195834,0.100568985,0.01617346985049204,0.0883225,0.0921585,0.111575,1000,0.025135,0.068098,0.029257504,0.0057214992390093,0.02599625,0.026618,0.031408,1000,0.037914,0.094177,0.044919317,0.008720887353160284,0.0388605,0.0413165,0.0499775,1000,0.005232,0.02469,0.006629334,0.0018476178697024988,0.005551,0.005948,0.0070515,1000,0.016114,0.101259,0.019226258000000003,0.004478040595778024,0.01673275,0.0172235,0.020829,1000,0.0,1.1,0.22000000000000003,0.44000000000000006,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.034315,1.702163,0.079591058,0.11677373992586962,0.05285275,0.067351,0.07956525,1000,0.126592,0.27288,0.13769740400000002,0.014656575763826419,0.13030825,0.1324685,0.1365415,1000,0.001938,0.023081,0.0025144537500000003,0.0011664163102687382,0.002088,0.002198,0.002917,4000,0.004041,0.026852,0.004966107,0.0017264931187383865,0.004281,0.004373,0.00567225,4000,0.000366,0.016938,0.0007287765,0.0007486589076794251,0.00045,0.0005,0.00093625,4000,0.000366,0.016938,0.0007287765,0.0007486589076794251,0.00045,0.0005,0.00093625,4000,0.020193,0.055444,0.021505825,0.003207542941002505,0.020593,0.020733,0.020926,1000,0.027889,0.070078,0.029347882000000002,0.003468594551987303,0.028382,0.0285765,0.02880775,1000,0.438895,2.332418,0.502266958,0.13858982858639457,0.46059925,0.4857665,0.5049695,1000,0.09723,0.211725,0.121340721,0.016604447291528823,0.1090165,0.1191705,0.12672425,1000,0.02516,0.06125,0.027387685000000002,0.004368541891040419,0.02593675,0.026233,0.02656325,1000,0.043042,0.124044,0.046606528,0.0073674237499424455,0.043897,0.0443405,0.045272,1000,0.008831,0.0829,0.028263164,0.010851312134903502,0.019417,0.0290515,0.03394825,1000,0.016564,0.074727,0.018566428,0.0039479841758568385,0.01708175,0.017311,0.01797375,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.034016,1.499941,0.08315624,0.09608718109461012,0.07522975,0.075877,0.07816,1000,0.040729,0.123081,0.053540832999999996,0.008585007013457298,0.05130075,0.05176,0.052672,1000,0.002861,0.019793,0.004186277,0.001255851602009967,0.00406,0.004138,0.00421325,1000,0.005726,0.025808,0.007692312,0.0019727818502449784,0.00741875,0.007509,0.007606,1000,0.000729,0.010462,0.00104895,0.0005978188082521325,0.000956,0.000988,0.001016,1000,0.000729,0.010462,0.00104895,0.0005978188082521325,0.000956,0.000988,0.001016,1000,0.006092,0.03789,0.009449371,0.002258137394703653,0.00923275,0.0093645,0.00952025,1000,0.01096,0.046095,0.014262117,0.002649967463066481,0.01385775,0.013998,0.01414725,1000,0.142557,1.75464,0.242694406,0.10660549520952081,0.2328705,0.235632,0.24920175,1000,0.011928,0.092177,0.037785894,0.01043664254876845,0.03783125,0.0382275,0.04102425,1000,0.002084,0.018877,0.003079395,0.0011479615494322968,0.002912,0.0029805,0.00304825,1000,0.006832,0.047659,0.016320483,0.004747258079535069,0.01591,0.01607,0.01629,1000,0.001552,0.065479,0.016159675,0.006356256288836614,0.017098,0.0172875,0.01743125,1000,0.00092,0.015324,0.001448988,0.0008428873577507258,0.001295,0.00134,0.001393,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.04031,1.478216,0.09866052,0.09663932252141257,0.0757245,0.103641,0.10498625,1000,0.040369,0.115067,0.053567290000000004,0.008929675524110604,0.051052,0.051609,0.05238675,1000,0.002877,0.017784,0.004186672,0.0013445992289213913,0.00401075,0.004091,0.004169,1000,0.005811,0.022399,0.007759713,0.0019605597227911726,0.007425,0.007525,0.007624,1000,0.000735,0.011226,0.0010379649999999999,0.0006561665777643661,0.000937,0.000969,0.000999,1000,0.000735,0.011226,0.0010379649999999999,0.0006561665777643661,0.000937,0.000969,0.000999,1000,0.006071,0.03309,0.009591981,0.0026222109672257494,0.00920175,0.0093335,0.00947825,1000,0.011294,0.044593,0.014254091,0.002901376611320736,0.01375075,0.0138875,0.014032,1000,0.142899,1.709913,0.249429976,0.10634460776656907,0.22181325,0.2521935,0.257281,1000,0.012011,0.075417,0.028200031,0.007774688746312548,0.0250715,0.029068,0.0297075,1000,0.002035,0.021105,0.003086398,0.0012647738634222324,0.002919,0.002975,0.00304125,1000,0.006876,0.045459,0.015257397,0.004635148988693999,0.014402,0.015066,0.01543125,1000,0.001566,0.030812,0.00764672,0.0033328750588043354,0.005845,0.009013,0.00931,1000,0.000982,0.016144,0.001437676,0.0009532394898576119,0.001243,0.001304,0.001369,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008303,0.173017,0.010310854999999999,0.009212711633171583,0.0087805,0.0089575,0.0093185,1000,1.094865,1.397053,1.150312865,0.04152377912038806,1.12114425,1.1363465,1.165373,1000,0.066877,0.116959,0.07090782300000001,0.006947756730029557,0.06737375,0.067598,0.073923,1000,0.037242,0.086647,0.039187857000000006,0.004621016863261916,0.0376465,0.03785,0.0381875,1000,0.00066,0.018714,0.00094913,0.0011054645725214354,0.00075475,0.000787,0.000832,1000,0.979765,1.194197,1.031334254,0.03823174603315266,1.00616275,1.017602,1.0437225,1000,0.002727,0.013097,0.002980058,0.0004207073146927683,0.002868,0.002924,0.00302025,1000,0.008391,0.027703,0.009054257,0.0017425038309716854,0.00864475,0.008764,0.008986,1000,1.127731,1.638161,1.186862723,0.04564106072818938,1.15670425,1.172046,1.20360075,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000283,0.000849,0.000333809,4.556069050179112e-05,0.000315,0.000328,0.000343,1000,2.509846,5.117644,2.610250282,0.20006454280585673,2.56263025,2.582524,2.61543025,1000,0.051592,0.096832,0.055326384,0.006812446729372935,0.05238825,0.0528005,0.0560525,1000,0.043881,0.08763,0.046326535,0.005212071467351057,0.04435675,0.044645,0.047123,1000,0.688603,2.171199,0.7203515509999999,0.10290404905396774,0.69573225,0.712372,0.727145,1000,1.709559,2.8207,1.780618483,0.11350681375509451,1.7443355,1.7649715,1.78616875,1000,0.001178,0.019174,0.001341407,0.0007848889713526365,0.001255,0.001284,0.001321,1000,0.005855,0.026565,0.006529819,0.00147205259289164,0.00619575,0.0063115,0.006466,1000,2.526352,5.168436,2.628205554,0.20257451979083915,2.58086325,2.6005195,2.63330875,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.45999999999999996,0.5642694391866354,0.0,0.0,1.1,5
FEMBAR_EigenSimplicialLLT,0.000276,0.00078,0.000330683,4.490704299995714e-05,0.00031,0.000323,0.000336,1000,2.615084,5.170443,2.70857697,0.1956992365213955,2.66053025,2.6845185,2.71480075,1000,0.051765,0.102517,0.054319361,0.006252918405886886,0.05212,0.0524655,0.05320825,1000,0.043827,0.087866,0.045953959,0.005255858216249654,0.04429975,0.044524,0.044922,1000,0.690577,2.07978,0.721208259,0.09322833143707936,0.69921825,0.7099435,0.72652875,1000,1.809814,2.97854,1.879471862,0.11807891965461471,1.84048975,1.8621135,1.888895,1000,0.001175,0.011613,0.001383512,0.0005432261774399315,0.00129,0.001324,0.001387,1000,0.005907,0.026768,0.006696831,0.0013007304887789016,0.00634675,0.00652,0.00672025,1000,2.631367,5.221509,2.727082695,0.19808114192883677,2.678539,2.702291,2.733592,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,2.4,0.72,0.96,0.0,0.0,1.2,5
