SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.331571,0.399245,0.34276429803921565,0.009743510244652243,0.33654,0.341003,0.345712,255,11.83663,12.939075,12.251494976470587,0.20336413878218318,12.0709575,12.318646,12.3906045,255,0.283226,0.344706,0.29329103529411765,0.01106698001363894,0.2868645,0.288431,0.296102,255,0.136413,0.184348,0.14023012156862746,0.0048624507591564425,0.137822,0.138441,0.1406355,255,3.842373,4.392066,3.9080776352941173,0.05581863519379852,3.871596,3.896092,3.944138,255,3.842373,4.392066,3.9080776352941173,0.05581863519379852,3.871596,3.896092,3.944138,255,0.022234,0.047405,0.023964749019607844,0.001774576829907383,0.0233895,0.023764,0.024238,255,0.054492,0.102764,0.057206486274509805,0.004133232646323594,0.0558095,0.0564,0.0571545,255,40.011349,48.742809,47.146323956862744,1.7560060120674768,47.488958,47.785573,48.0151695,255,27.085177,35.454984,34.372445235294116,1.7981632491957746,34.9826865,35.085989,35.1728865,255,0.020358,0.033082,0.021858392156862746,0.0011867701906555796,0.021371,0.021771,0.0221055,255,21.775192,22.177687,21.90072870588235,0.06636266488541495,21.851483,21.89228,21.9336585,255,4.864444,13.141216,12.052856756862745,1.7842528620579416,12.721692,12.770907,12.827716,255,0.364441,0.475934,0.39450002352941177,0.01608798509908764,0.3873335,0.392616,0.400832,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,12.035411,30.888651,13.36110716980057,0.873535302816736,13.02671,13.255883,13.4177695,1755,11.707128,30.531997,13.025967192022792,0.8546639992455975,12.698796,12.916693,13.0604855,1755,0.007882,2.045659,0.2528700158594492,0.22560224249136746,0.0496745,0.2917905,0.41165775,10530,0.009178,0.886882,0.10303483551756885,0.08418523473428337,0.02300375,0.110356,0.1718755,10530,0.095564,12.907198,1.8796435020892688,1.916591011301596,0.175391,1.272601,2.717734,10530,0.095564,12.907198,1.8796435020892688,1.916591011301596,0.175391,1.272601,2.717734,10530,0.093234,0.287441,0.11678567065527067,0.016046194358266694,0.1028065,0.117568,0.1241295,1755,0.138547,0.476178,0.15597104843304846,0.01595873687310868,0.145596,0.152485,0.1598455,1755,23.792915,60.904721,29.42169931282051,2.861204922816692,27.5050175,29.322665,31.1325965,1755,10.324899,40.866217,15.430491452421652,2.5891178810998965,13.639762,15.345477,17.1762725,1755,0.072745,0.351277,0.0874621943019943,0.014363708928542766,0.080513,0.084712,0.089092,1755,9.530461,39.422525,14.568145433618234,2.499187036379868,12.8666705,14.511758,16.288922,1755,0.103875,0.708041,0.27899560512820515,0.10628742370973714,0.217907,0.257653,0.3100015,1755,0.414181,1.084869,0.4936626695156695,0.0356407260783292,0.4735575,0.493576,0.5139305,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.024543,1.702685,0.09571276399999999,0.12084050754266262,0.043708,0.0805045,0.112244,1000,0.281326,0.456458,0.30749730599999997,0.026807555652583547,0.28773225,0.293419,0.32751675,1000,0.001139,0.013831,0.001836795,0.0007575536809197087,0.001392,0.001551,0.002253,4000,0.002975,0.015015,0.00387534425,0.0009415761765475683,0.003238,0.0034465,0.00449025,4000,0.022995,0.096202,0.025695773499999998,0.003798925260214756,0.023623,0.024073,0.026106,4000,0.022995,0.096202,0.025695773499999998,0.003798925260214756,0.023623,0.024073,0.026106,4000,0.020116,0.062664,0.022804311,0.0037238516337629512,0.02059075,0.020827,0.0246105,1000,0.026941,0.057421,0.029036327,0.0025259057409315576,0.02753675,0.0278625,0.030164,1000,0.580151,2.541305,0.6900696319999999,0.1582587753136191,0.59818775,0.6449165,0.76014525,1000,0.091513,0.197764,0.106249336,0.01667588299998246,0.09466775,0.0982505,0.116332,1000,0.025812,0.054655,0.029474122,0.004629535654589562,0.0265895,0.027162,0.03156725,1000,0.041666,0.117596,0.04873802,0.009149042064697264,0.04279075,0.044068,0.0532625,1000,0.006298,0.019063,0.007650729,0.001747630637623122,0.006526,0.006713,0.008297,1000,0.016924,0.066411,0.019808994,0.003836294479046675,0.0175595,0.0182045,0.02129375,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.034721,1.665391,0.096450278,0.12031860925997573,0.04378725,0.0819515,0.11390075,1000,0.282592,0.428341,0.31041036499999997,0.026814350439378073,0.289607,0.296939,0.33258825,1000,0.001262,0.013142,0.00191858375,0.0008073864616687214,0.00147975,0.001628,0.002309,4000,0.002883,0.030545,0.00391186425,0.0010847503255689474,0.00326,0.0034725,0.004477,4000,0.023147,0.060724,0.0258795175,0.003329104146492529,0.023877,0.024459,0.02608525,4000,0.023147,0.060724,0.0258795175,0.003329104146492529,0.023877,0.024459,0.02608525,4000,0.020042,0.053205,0.022806818,0.003550069577751399,0.020577,0.020857,0.024612,1000,0.026823,0.078981,0.029181176,0.0032213482129419043,0.02747075,0.0278655,0.03039325,1000,0.580099,2.512919,0.693546287,0.15842817519722505,0.60116825,0.6476915,0.76459,1000,0.091913,0.20499,0.106238811,0.015915562666374033,0.09452825,0.0984075,0.11661925,1000,0.025575,0.055006,0.029369837,0.004509978256758119,0.02642975,0.027022,0.031774,1000,0.041717,0.121175,0.048901029000000006,0.009125499621399313,0.04273325,0.0448245,0.05362875,1000,0.006107,0.021841,0.007588318,0.001654359007856517,0.00641275,0.0069685,0.00815525,1000,0.016942,0.036586,0.019788200000000002,0.0028275040007045083,0.01767375,0.018192,0.0215235,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.033599,1.738671,0.067391088,0.11715330049588127,0.04271075,0.0551005,0.0674575,1000,0.280806,0.443996,0.296711216,0.017284866220464188,0.28849025,0.2923985,0.296829,1000,0.001218,0.012726,0.001796035,0.0007768025301033719,0.001425,0.00153,0.002259,4000,0.002969,0.019924,0.00374224775,0.0009722871447622545,0.003236,0.003377,0.004411,4000,0.022879,0.0931,0.0248447425,0.003050553632489314,0.02357775,0.0239225,0.02540525,4000,0.022879,0.0931,0.0248447425,0.003050553632489314,0.02357775,0.0239225,0.02540525,4000,0.020187,0.064511,0.021213345,0.0023557735022652323,0.02056775,0.020691,0.020835,1000,0.026892,0.063368,0.028106313999999997,0.00245705956041037,0.027393,0.027548,0.02774975,1000,0.598161,2.551317,0.661578622,0.14072667947897838,0.617601,0.644326,0.66370575,1000,0.103443,0.220841,0.126657979,0.016140160159259852,0.11549375,0.125406,0.13175,1000,0.025752,0.055221,0.027559603,0.00302755564662171,0.026499,0.026798,0.02716625,1000,0.046853,0.113081,0.050471929,0.006760771248308805,0.0481215,0.048523,0.04965,1000,0.009281,0.070808,0.029298902999999998,0.010081384795036395,0.0207835,0.030556,0.035567,1000,0.017052,0.051574,0.018743194,0.002667912795494635,0.017667,0.017868,0.01824125,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.037217,1.48503,0.080880592,0.09564363206412403,0.07385675,0.074654,0.07762075,1000,0.087515,0.182991,0.112123038,0.01022018071829241,0.11159575,0.112189,0.11342225,1000,0.002103,0.016261,0.003094592,0.0008967210321699832,0.00297375,0.003041,0.00310325,1000,0.004387,0.021029,0.00591224,0.001059842578121864,0.00579425,0.0059005,0.005982,1000,0.028955,0.092047,0.037251813,0.00405879132945154,0.03705375,0.0373035,0.037616,1000,0.028955,0.092047,0.037251813,0.00405879132945154,0.03705375,0.0373035,0.037616,1000,0.006278,0.028634,0.009833584000000001,0.0016545769836861627,0.00969875,0.009941,0.010144,1000,0.010618,0.040374,0.012708872999999999,0.001415349485770564,0.012571,0.012681,0.01279125,1000,0.190199,1.785574,0.303366557,0.10634491895043577,0.29957075,0.302142,0.305951,1000,0.012915,0.089311,0.039847348,0.010231511324672227,0.04119675,0.041658,0.0423,1000,0.002146,0.012582,0.003259383,0.0007006511145434652,0.003158,0.00322,0.003284,1000,0.007108,0.051084,0.017387723,0.004213098323356696,0.01751325,0.0177125,0.017934,1000,0.001888,0.060408,0.017081035,0.006309485971596656,0.01827225,0.0186985,0.01897225,1000,0.001046,0.010855,0.0015843160000000001,0.0007835771973098758,0.0014,0.00146,0.001533,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.036916,1.468651,0.09641820200000001,0.09551023006646564,0.07491125,0.1033995,0.1052445,1000,0.08704,0.259365,0.111383711,0.01158778696030778,0.1106385,0.11151,0.11275125,1000,0.002144,0.022471,0.0031433180000000004,0.0013650386378692729,0.00293375,0.003005,0.003075,1000,0.004423,0.021549,0.005919085,0.001249652580429857,0.005779,0.005862,0.00594,1000,0.028717,0.071261,0.036963598,0.003980221596895831,0.0367555,0.0370585,0.03733975,1000,0.028717,0.071261,0.036963598,0.003980221596895831,0.0367555,0.0370585,0.03733975,1000,0.006415,0.036938,0.009678563,0.0016096717093963602,0.009598,0.009731,0.00996225,1000,0.010556,0.040979,0.012701492,0.0015129431615021102,0.012541,0.01263,0.012719,1000,0.189933,1.771911,0.307364646,0.10852220217281201,0.28633375,0.3181315,0.323004,1000,0.012933,0.069265,0.029589789000000002,0.006816504412708833,0.027466,0.0316105,0.0321515,1000,0.002199,0.012016,0.003271239,0.0007184442691531474,0.003143,0.003233,0.003305,1000,0.007182,0.053686,0.016162744,0.003994494366307706,0.015762,0.0165385,0.016866,1000,0.001868,0.027587,0.008072154,0.002879957982728915,0.006516,0.009751,0.01005425,1000,0.000949,0.010127,0.001551338,0.0007867258313771069,0.00134175,0.001414,0.001508,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.006428,0.161488,0.008081060000000001,0.009247410268415693,0.006719,0.006836,0.00704025,1000,1.139057,1.321188,1.161373425,0.024370171461612144,1.148658,1.1523905,1.16510675,1000,0.066342,0.114723,0.067743193,0.003777035765484754,0.06681475,0.066946,0.06707625,1000,0.036794,0.067372,0.038466709,0.0031524662834547493,0.03718075,0.0373435,0.03969675,1000,0.022318,0.046726,0.023302121,0.0016861460696982926,0.02279775,0.022948,0.02312725,1000,0.985094,1.130536,1.0083524719999999,0.021730857820878035,0.998718,1.0011755,1.008534,1000,0.002728,0.013226,0.003047428,0.0006500092528695264,0.002873,0.0029165,0.002977,1000,0.011386,0.025813,0.011854568999999999,0.0009211035095139959,0.01164,0.011719,0.011803,1000,1.174993,1.516375,1.200103911,0.030552700834641098,1.186025,1.1900455,1.20442875,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000287,0.012273,0.00035267,0.0003816668299708529,0.000319,0.00033,0.000345,1000,2.519644,4.95027,2.575301084,0.18849034943831194,2.530045,2.544567,2.5668085,1000,0.051326,0.108469,0.053156792,0.004199501129269523,0.052066,0.0523545,0.052724,1000,0.043243,0.08519,0.044943423999999996,0.0027868704451811175,0.04418975,0.0444235,0.04468475,1000,0.698331,2.089902,0.717033962,0.0949256732690717,0.7036555,0.7054515,0.70749625,1000,1.69574,2.68039,1.7357736480000001,0.10643142350207525,1.7033785,1.7102675,1.729843,1000,0.001209,0.010176,0.001377436,0.0003631571752065488,0.001301,0.001338,0.00137725,1000,0.012655,0.045154,0.013450443999999999,0.0019455683110248274,0.013016,0.013137,0.01329775,1000,2.544485,5.022323,2.601956714,0.1917534050608651,2.55634775,2.5719375,2.59270375,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000294,0.001034,0.000340145,4.7185929841426244e-05,0.000321,0.000333,0.00034625,1000,2.648959,4.94294,2.7117567570000003,0.17438527819671001,2.65914925,2.678882,2.71975025,1000,0.051748,0.091855,0.053360527000000005,0.003188073865403843,0.05230325,0.0526365,0.0529815,1000,0.044026,0.083764,0.04551235,0.00379290397868177,0.044473,0.044674,0.044958,1000,0.698306,1.886424,0.717730872,0.08274416896178012,0.7047135,0.7071875,0.71143725,1000,1.821902,2.860145,1.870970601,0.10515347624056848,1.830155,1.8366285,1.890769,1000,0.00119,0.013042,0.0014367339999999998,0.0005340148342920821,0.00131875,0.001387,0.001472,1000,0.01275,0.026519,0.013348026,0.0008921237701821423,0.01307575,0.0131955,0.01338225,1000,2.674399,4.997837,2.7382969530000003,0.17658472632986918,2.685368,2.705234,2.745662,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
