SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.326602,0.409113,0.33814402352941175,0.010931547088875804,0.331465,0.33577,0.3405675,255,12.141314,14.03393,12.581227039215685,0.26243326488504826,12.5474035,12.60342,12.6712495,255,0.286345,0.394722,0.29819347450980394,0.01379983448715526,0.290414,0.293493,0.3011785,255,0.136544,0.209194,0.1442377882352941,0.01343696621521693,0.1380395,0.138947,0.1426605,255,3.860376,4.157252,3.9249880509803923,0.05644067487841313,3.8836455,3.90555,3.9520085,255,3.860376,4.157252,3.9249880509803923,0.05644067487841313,3.8836455,3.90555,3.9520085,255,0.022547,0.044609,0.024448,0.00215023103911385,0.0234755,0.023809,0.024306,255,0.052697,0.084257,0.05603023529411765,0.0028042326956412415,0.054853,0.055294,0.055995,255,40.262028,52.288738,47.57958603137255,1.8129732563866308,47.8553435,48.218992,48.393928,255,27.167043,39.144604,34.4787466745098,1.8261874880450717,35.0515675,35.164148,35.2401115,255,0.020719,0.048093,0.02233603137254902,0.0024540694716256063,0.021637,0.021954,0.0224045,255,21.8012,25.835863,21.951300937254903,0.281191504168684,21.8856945,21.91999,21.960348,255,4.897997,13.416443,12.093581254901961,1.7851098706013064,12.736049,12.817428,12.8625635,255,0.389894,0.570143,0.40920007058823527,0.02143724712506015,0.3974835,0.403665,0.4110055,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,12.696242,36.190639,13.259334063817663,1.1541809542949302,12.921788,13.097291,13.265185,1755,12.358377,35.694265,12.917879907692308,1.1384059352009104,12.588584,12.761977,12.9265935,1755,0.008437,0.855325,0.2583640015194682,0.22860026187509833,0.05463075,0.288709,0.40906075,10530,0.008564,3.118627,0.10745182981956315,0.09189605305361677,0.02311275,0.111401,0.18328525,10530,0.058844,14.096938,1.8679557658119659,1.9128795533894436,0.1723285,1.1368985,2.71888025,10530,0.058844,14.096938,1.8679557658119659,1.9128795533894436,0.1723285,1.1368985,2.71888025,10530,0.093608,0.252421,0.11860318632478632,0.01416151747052014,0.111792,0.117381,0.1228175,1755,0.132917,0.230063,0.15025318461538462,0.012114393608682529,0.1433565,0.146432,0.1526385,1755,23.825457,62.75933,29.35729038746439,3.0935006782832377,27.3050085,29.13444,31.009883,1755,10.472038,45.941433,15.46557131054131,2.6946771992278946,13.6786645,15.303511,17.269046,1755,0.076201,0.197953,0.08902541538461538,0.01114506274110824,0.08343,0.085982,0.0900085,1755,9.610061,44.725444,14.591865643304843,2.61015021457843,12.88544,14.456664,16.3342635,1755,0.105418,0.76799,0.2864457737891738,0.10944263282018998,0.2230085,0.261951,0.317114,1755,0.416319,0.81959,0.49617324102564103,0.029318516384993294,0.479281,0.496966,0.512231,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.02831,1.782763,0.09518263099999999,0.12216991846702213,0.043174,0.081445,0.11085375,1000,0.277618,0.464515,0.304399481,0.025637685774414956,0.2853695,0.291263,0.3218145,1000,0.001344,0.014146,0.0020453905,0.0007643433309120646,0.001624,0.001821,0.00240525,4000,0.003038,0.025091,0.003995110499999999,0.0011041822031665563,0.00342175,0.00363,0.00447,4000,0.021111,0.072768,0.024371085,0.0033297533754431423,0.022067,0.0235895,0.02570825,4000,0.021111,0.072768,0.024371085,0.0033297533754431423,0.022067,0.0235895,0.02570825,4000,0.020656,0.05819,0.02311889,0.00308681562842681,0.021171,0.021407,0.024948,1000,0.025656,0.069171,0.027983481,0.0034100046192987775,0.026298,0.026628,0.02910325,1000,0.578553,2.709932,0.6864587830000001,0.16007797253051373,0.60045425,0.6422275,0.75428825,1000,0.09262,0.263652,0.106745822,0.016885205321532697,0.09532675,0.0988385,0.1177965,1000,0.026012,0.060071,0.029712314,0.004720084372911568,0.02679025,0.027416,0.03213,1000,0.041992,0.170492,0.049046783000000004,0.009895239105242027,0.043057,0.044721,0.05415025,1000,0.006279,0.023892,0.007627005,0.001804850797427588,0.00652675,0.0066965,0.008131,1000,0.016975,0.056239,0.019787703,0.0033922616792917085,0.01763725,0.0181435,0.02136575,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.035017,1.822177,0.095948521,0.12297389298881108,0.04350025,0.0825795,0.11241875,1000,0.271666,0.443927,0.30445842300000003,0.025467142304390396,0.285445,0.291855,0.32317275,1000,0.00127,0.036615,0.00204746475,0.0009768410189265383,0.001615,0.0018015,0.00241,4000,0.002983,0.021678,0.003945008,0.000915601713047764,0.003369,0.003581,0.004466,4000,0.021163,0.093565,0.02444258725,0.00335197143542236,0.022064,0.023688,0.02592325,4000,0.021163,0.093565,0.02444258725,0.00335197143542236,0.022064,0.023688,0.02592325,4000,0.020752,0.05577,0.023278197,0.002937868761907345,0.021274,0.0215365,0.02512725,1000,0.025721,0.070137,0.027998227,0.0032619847279640964,0.0263335,0.026598,0.02919725,1000,0.574541,2.648382,0.687405822,0.15904620369371383,0.5965705,0.641954,0.75552125,1000,0.091779,0.203967,0.106581079,0.015930290649789132,0.0952425,0.098935,0.1170645,1000,0.025488,0.062959,0.029497061,0.004592102014032246,0.0266145,0.0274765,0.03147775,1000,0.041961,0.119671,0.049015349,0.009052229582218902,0.04305225,0.044194,0.05409025,1000,0.006018,0.027956,0.0075696,0.0017959912360587956,0.00635975,0.0069235,0.0081835,1000,0.016965,0.047906,0.019922993,0.003286383391655788,0.01768,0.0183215,0.02150925,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.036986,1.710837,0.066651799,0.11776427689822834,0.0419755,0.0542885,0.06673125,1000,0.273245,0.447134,0.293089879,0.01643202551879588,0.285278,0.288931,0.2937295,1000,0.001376,0.017423,0.0019535250000000002,0.0007558127938682964,0.001615,0.0017335,0.00235,4000,0.003064,0.021861,0.0038334435,0.0009413987703453568,0.003394,0.003545,0.00434825,4000,0.021142,0.162936,0.02363772925,0.003506817814621176,0.021907,0.0233055,0.024116,4000,0.021142,0.162936,0.02363772925,0.003506817814621176,0.021907,0.0233055,0.024116,4000,0.020884,0.070725,0.022071155,0.002887533880489543,0.02129,0.021441,0.02160925,1000,0.025844,0.057913,0.027018189999999997,0.0024637401928571936,0.02632,0.0264605,0.026666,1000,0.593879,2.577984,0.658735588,0.1422786831185201,0.6159005,0.6429295,0.6604115,1000,0.103432,0.238553,0.127818294,0.016224987911291767,0.11675775,0.1264255,0.13294925,1000,0.02584,0.054245,0.027770581,0.0032073975144093067,0.0265775,0.0269285,0.027354,1000,0.04716,0.115041,0.051024497,0.006650494808056841,0.04851975,0.049031,0.05006375,1000,0.009117,0.083118,0.029452945,0.01024294252761261,0.020876,0.0308025,0.0357085,1000,0.017371,0.042082,0.018979546,0.0025365977757389915,0.017821,0.0180135,0.01851525,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036952,1.456891,0.079459249,0.09536393333370324,0.07161725,0.0726775,0.07537025,1000,0.080077,0.249009,0.108230275,0.012131580315250565,0.105779,0.108571,0.10977325,1000,0.00225,0.025455,0.003256107,0.0011526289886823948,0.003086,0.003161,0.003243,1000,0.00439,0.066985,0.006067576,0.0024946555221561154,0.00580475,0.0059195,0.00601925,1000,0.024858,0.069917,0.034089347,0.0043167431724149405,0.03292175,0.033392,0.03582925,1000,0.024858,0.069917,0.034089347,0.0043167431724149405,0.03292175,0.033392,0.03582925,1000,0.006618,0.032091,0.009915595999999999,0.0017588181295358541,0.00988475,0.009994,0.01010525,1000,0.010212,0.037207,0.012505146,0.0017747271386565316,0.01228,0.0123895,0.012485,1000,0.183233,1.788579,0.29684302,0.10608168716824598,0.29103525,0.294368,0.298354,1000,0.012927,0.089691,0.039580327,0.010034644840255732,0.04085975,0.0413475,0.042048,1000,0.002172,0.012135,0.0031986700000000002,0.0006246275491042642,0.003108,0.0031745,0.00323525,1000,0.007365,0.049507,0.017408047,0.004145165742740693,0.017604,0.0177955,0.018051,1000,0.001849,0.056597,0.016991528,0.006283862752894592,0.018232,0.0184555,0.018597,1000,0.000988,0.004734,0.001451428,0.0005106904216998789,0.001333,0.001373,0.001421,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.033349,1.498164,0.093800833,0.09737516903713754,0.073022,0.09986,0.10192175,1000,0.081025,0.170348,0.107540418,0.010294816616981383,0.10617125,0.108443,0.10994625,1000,0.00223,0.01245,0.003196529,0.0008602791879145979,0.003051,0.0031295,0.003206,1000,0.004447,0.027535,0.005926843,0.001287001304720007,0.005774,0.0058575,0.005943,1000,0.024912,0.069589,0.033974509,0.003943255220236068,0.03307575,0.033505,0.03582875,1000,0.024912,0.069589,0.033974509,0.003943255220236068,0.03307575,0.033505,0.03582875,1000,0.006483,0.020013,0.009736535,0.001253047912401996,0.00975675,0.009921,0.0101,1000,0.01022,0.021296,0.012329841000000001,0.0010140888145123187,0.012209,0.012345,0.012475,1000,0.183391,1.78653,0.29989266200000003,0.10795150986016712,0.27945075,0.309779,0.31480025,1000,0.012895,0.105453,0.029648048,0.007198407601108456,0.02748175,0.03155,0.03225375,1000,0.002102,0.012365,0.003214055,0.0006961227535248361,0.00309175,0.003166,0.003237,1000,0.007248,0.049183,0.016322609000000002,0.00405771034847474,0.015955,0.016725,0.016991,1000,0.001858,0.082967,0.008120997,0.003706603905597549,0.00647175,0.0095355,0.010013,1000,0.000989,0.016909,0.001469942,0.0007921343665288106,0.00128,0.00136,0.00143,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.006449,0.144163,0.008196537,0.00920738656789379,0.00679975,0.006946,0.007216,1000,1.133203,1.759703,1.161164598,0.03644679583390556,1.1450695,1.1511465,1.1649645,1000,0.066443,0.153064,0.067966754,0.004803210041991085,0.066797,0.066933,0.06719825,1000,0.036662,0.079125,0.038171741,0.0034343165835314313,0.037106,0.0372865,0.03818025,1000,0.021372,0.057836,0.023161824,0.0024274354609389722,0.02192975,0.022205,0.024194,1000,0.985601,1.467386,1.008512477,0.030386495687220516,0.99511725,1.0007095,1.0087945,1000,0.002817,0.011876,0.003185056,0.0006648080962683892,0.002991,0.00304,0.00311225,1000,0.011059,0.031216,0.011628647999999998,0.0013405016136118597,0.011315,0.011395,0.0115,1000,1.169218,1.821362,1.200167021,0.04171004315661348,1.1825,1.1890575,1.2024595,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000281,0.001109,0.000334194,5.234789741718382e-05,0.000315,0.000326,0.000341,1000,2.519954,5.048021,2.580050196,0.18957528243430252,2.53373425,2.542361,2.57892,1000,0.050475,0.095293,0.053593394,0.004154092490395947,0.05214375,0.0524655,0.05307775,1000,0.042725,0.090031,0.045734398999999995,0.0035582503888567205,0.04449875,0.044923,0.046243,1000,0.698168,2.083109,0.717728988,0.09592927297163185,0.70335225,0.705678,0.70892,1000,1.69373,2.785368,1.738733343,0.10737847457773532,1.7075475,1.7122065,1.7402955,1000,0.001194,0.010244,0.001429711,0.000297857689977949,0.001368,0.001405,0.00144925,1000,0.012662,0.037263,0.013535517,0.0014826810222401173,0.01318475,0.0133385,0.013525,1000,2.545202,5.109916,2.607035639,0.19191390710272843,2.5600455,2.569316,2.6053695,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000299,0.000883,0.00036184300000000004,5.435064259969702e-05,0.000339,0.000353,0.00037,1000,2.624636,5.078091,2.684309654,0.18218286016192708,2.64060925,2.650429,2.68306525,1000,0.050837,0.124278,0.053108812,0.004281904494574347,0.05194,0.0523035,0.05264525,1000,0.042804,0.086255,0.045187824,0.003619979435718385,0.044375,0.0445105,0.044733,1000,0.698028,2.025401,0.718679657,0.08704546496703518,0.703856,0.7067015,0.71615575,1000,1.800903,2.92633,1.8431269909999999,0.10615343287059971,1.81323175,1.8174895,1.841872,1000,0.001263,0.003781,0.0014868499999999998,0.00018275679330738981,0.001397,0.001456,0.0015255,1000,0.012812,0.035816,0.013472950999999999,0.0013816268760410678,0.01308875,0.0132455,0.013485,1000,2.650005,5.140189,2.711560454,0.1846131673877188,2.66751275,2.6770175,2.71056925,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
