SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.34109,0.578849,0.3568925647058823,0.020574787253724136,0.347319,0.351419,0.358315,255,11.477019,12.479824,11.926471964705883,0.22330368003148243,11.719663,11.97207,12.061088,255,0.283222,0.343529,0.2932916274509804,0.011522312145352284,0.285888,0.289268,0.296411,255,0.136005,0.181032,0.14066003529411764,0.006765533814766897,0.137492,0.138508,0.139502,255,3.562682,3.952751,3.6756926078431373,0.06010946239884021,3.632002,3.681419,3.7127735,255,3.562682,3.952751,3.6756926078431373,0.06010946239884021,3.632002,3.681419,3.7127735,255,0.022692,0.04768,0.02436176862745098,0.002526632055235818,0.023629,0.023959,0.0242855,255,0.052083,0.090355,0.055018682352941176,0.0046147560525547325,0.0535145,0.054212,0.0548475,255,39.840348,54.182972,48.10446758431373,3.0034817838134673,47.2502965,47.622524,48.0116875,255,27.175789,41.658894,35.6498609372549,3.0747626895869575,35.000705,35.141575,35.3498715,255,0.020743,0.050603,0.022374549019607844,0.0021919392641661303,0.0216995,0.022056,0.022361,255,21.777208,28.318501,23.153332992156862,2.5129354781133637,21.869425,21.910575,21.9816885,255,4.869613,14.350651,12.054639380392157,1.7898551360977617,12.673376,12.767026,12.852471,255,0.400214,0.506149,0.416695168627451,0.016649677909355794,0.407139,0.411372,0.418339,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,8.972952,13.564677,9.385571776068376,0.29087268772451,9.152014,9.333503,9.537258,1755,8.690038,13.237598,9.072261948148148,0.28717581151227267,8.842806,9.01587,9.215668,1755,0.004789,0.633796,0.17713760208926876,0.17178859136726504,0.02993325,0.124268,0.28275625,10530,0.0063,0.329063,0.08251445042735042,0.0793527271841855,0.014723,0.062732,0.13950925,10530,0.035238,5.46836,1.169954801994302,1.203600360271472,0.09079275,0.886745,1.75065325,10530,0.035238,5.46836,1.169954801994302,1.203600360271472,0.09079275,0.886745,1.75065325,10530,0.09802,0.190308,0.11270770712250713,0.012377445199880552,0.1040555,0.107408,0.1201955,1755,0.132139,0.231471,0.14622533105413107,0.011715664994316973,0.1384575,0.142371,0.149966,1755,23.954014,41.211625,30.967608864387465,3.6783837371906367,28.446806,30.452819,32.890892,1755,14.24711,31.601833,21.058745884900283,3.654589585902458,18.632051,20.52807,22.970223,1755,0.072909,0.178264,0.0842321584045584,0.00976122153668783,0.0791885,0.081794,0.086103,1755,13.445774,30.347229,20.21782349344729,3.5655508816674044,17.8513665,19.689773,22.1366805,1755,0.101159,0.672964,0.25639160683760687,0.10415332315655183,0.199071,0.230743,0.282429,1755,0.435467,0.646222,0.498097788034188,0.029811270524950223,0.478345,0.491745,0.5127665,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.036046,1.844549,0.108562572,0.12295709878427848,0.0539065,0.093374,0.1247935,1000,0.125842,0.274599,0.14559952299999998,0.018265144845127042,0.1328035,0.137794,0.15783925,1000,0.00188,0.039195,0.002667615,0.0013846121961672156,0.002091,0.0022275,0.003032,4000,0.003946,0.026127,0.00520398875,0.0016508894825588531,0.004346,0.004538,0.005787,4000,0.000316,0.018786,0.0007349885000000001,0.0007614228574634137,0.000458,0.000511,0.00093,4000,0.000316,0.018786,0.0007349885000000001,0.0007614228574634137,0.000458,0.000511,0.00093,4000,0.020156,0.060798,0.023388382000000003,0.004688272380960389,0.02080875,0.021193,0.02488,1000,0.027565,0.094726,0.030738598000000002,0.0050269089069124775,0.02838875,0.029,0.0318455,1000,0.419234,2.475631,0.527963534,0.15150577522010455,0.4558615,0.487972,0.58246325,1000,0.085405,0.194192,0.100661357,0.01579709749117068,0.08850425,0.092784,0.11107825,1000,0.024842,0.095388,0.02928919,0.005507359209085603,0.02611075,0.0271395,0.031578,1000,0.037775,0.113899,0.044683344,0.008677269111630916,0.0386275,0.0410985,0.05013425,1000,0.005362,0.028598,0.0066467489999999995,0.002107765164338523,0.005562,0.005761,0.00705025,1000,0.016367,0.05306,0.019510206,0.0038503345028145283,0.016943,0.0177075,0.02102425,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.041508,1.750303,0.108510814,0.12197776143589209,0.0536255,0.0948875,0.125092,1000,0.125421,0.245558,0.144798633,0.01757957276102895,0.13182175,0.137501,0.15555775,1000,0.001894,0.020199,0.00259187025,0.0010109435535255852,0.00208175,0.002214,0.003011,4000,0.004044,0.025827,0.005258655,0.0016827350789637091,0.00433175,0.004559,0.005783,4000,0.000358,0.020844,0.0007370295,0.0008906058837273364,0.000455,0.000505,0.000874,4000,0.000358,0.020844,0.0007370295,0.0008906058837273364,0.000455,0.000505,0.000874,4000,0.019906,0.058287,0.023471934,0.004552951593597718,0.02061375,0.0221015,0.0254265,1000,0.027538,0.183468,0.030582297999999997,0.006407120831324785,0.02825075,0.0286915,0.0318565,1000,0.421686,2.35007,0.527762666,0.15041591547878316,0.45416,0.486928,0.579553,1000,0.085144,0.175891,0.100531186,0.015687582438330135,0.0882515,0.0927005,0.11127825,1000,0.025071,0.061616,0.029280093,0.005523115520279382,0.02597125,0.026673,0.0316355,1000,0.037703,0.093437,0.045004451,0.008861575450313505,0.038871,0.041415,0.050087,1000,0.00523,0.033096,0.006550622,0.0017558373635151974,0.00548875,0.0058835,0.006978,1000,0.016268,0.049416,0.019150748999999998,0.003398915948651717,0.016795,0.0174015,0.0207495,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.03494,1.67102,0.080113189,0.11671257735243995,0.052772,0.0674995,0.07987625,1000,0.12547,0.275829,0.13755369099999998,0.015019321236311547,0.130404,0.132307,0.13590075,1000,0.001857,0.033629,0.00247390775,0.0012559329318239639,0.00203675,0.002135,0.002875,4000,0.004019,0.033529,0.0048913377499999995,0.0015127994631394268,0.004271,0.004376,0.005646,4000,0.000356,0.015893,0.000728676,0.0007887037374857558,0.000442,0.000497,0.00094525,4000,0.000356,0.015893,0.000728676,0.0007887037374857558,0.000442,0.000497,0.00094525,4000,0.019987,0.0548,0.021541367999999998,0.003618845698365157,0.02047675,0.0206755,0.02089025,1000,0.027598,0.074071,0.029620212,0.005221418185996598,0.028171,0.028406,0.0286475,1000,0.438072,2.332404,0.503407805,0.138257925311365,0.46613,0.4857105,0.5077715,1000,0.097274,0.234103,0.121091522,0.017030504565911018,0.10870575,0.118792,0.12588625,1000,0.025178,0.06251,0.027455932000000002,0.005047677801264261,0.02577075,0.0260725,0.02647475,1000,0.042958,0.146339,0.046635341999999996,0.008169417672578382,0.043672,0.0440345,0.0449685,1000,0.008759,0.076062,0.027982018,0.010043399922420494,0.01955125,0.029137,0.03370175,1000,0.016418,0.059981,0.018477976,0.003819476186785827,0.016994,0.017244,0.01777075,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040446,1.428022,0.085332081,0.09641077542272149,0.07554525,0.0765845,0.079105,1000,0.040304,0.104718,0.053729317000000006,0.009121398826523868,0.05120275,0.0516465,0.052345,1000,0.002899,0.027786,0.004276875,0.0018269646168919092,0.004042,0.0041065,0.004167,1000,0.00567,0.024521,0.00776388,0.00211778972412277,0.007391,0.0074865,0.00759,1000,0.000768,0.011295,0.001050334,0.0005764669309197189,0.00096075,0.000991,0.00102,1000,0.000768,0.011295,0.001050334,0.0005764669309197189,0.00096075,0.000991,0.00102,1000,0.006071,0.027143,0.009404249,0.0020976599593354023,0.00918575,0.009329,0.009492,1000,0.011241,0.040972,0.014271737999999999,0.0026885848785850154,0.0138635,0.0139885,0.014135,1000,0.142345,1.661533,0.245840355,0.10566324446629952,0.2336595,0.236896,0.255879,1000,0.012167,0.105961,0.038206146,0.011459380453614583,0.0376635,0.0382545,0.0409475,1000,0.00205,0.018603,0.0031101170000000004,0.0011586627280235607,0.002907,0.0029865,0.00310625,1000,0.006865,0.056848,0.016422253,0.005353355519951108,0.01583475,0.0160005,0.016224,1000,0.001598,0.065967,0.016391336,0.006882468624055179,0.017029,0.017331,0.01772,1000,0.000969,0.016564,0.001447196,0.00099736588250451,0.001279,0.001324,0.001369,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.026725,1.516078,0.098149231,0.09890768832112921,0.07523075,0.1031435,0.10486225,1000,0.039767,0.118699,0.053600288,0.008551930590986809,0.05074475,0.0514175,0.05414325,1000,0.002809,0.059709,0.004165012,0.0020211103932878086,0.00401975,0.0041035,0.004175,1000,0.005658,0.030292,0.0078061350000000005,0.0022639351056898695,0.0073765,0.0075145,0.00769825,1000,0.000775,0.014955,0.0010672400000000001,0.0008326968130117948,0.000948,0.000976,0.001005,1000,0.000775,0.014955,0.0010672400000000001,0.0008326968130117948,0.000948,0.000976,0.001005,1000,0.006042,0.027902,0.009393869000000001,0.002235979584843967,0.0090315,0.0092535,0.00948025,1000,0.011166,0.043593,0.01408764,0.0025383934388506445,0.013661,0.0138325,0.013983,1000,0.14189,1.758351,0.24753678099999998,0.10871195308374805,0.2212895,0.2513145,0.25694725,1000,0.011961,0.077797,0.027669506,0.007205237395947755,0.02486575,0.0287855,0.029727,1000,0.001964,0.019419,0.0030011689999999997,0.0010347249578699647,0.002869,0.0029405,0.003012,1000,0.006835,0.056228,0.014902164,0.004312188597580584,0.01420475,0.0149245,0.01522175,1000,0.001574,0.025184,0.007509310000000001,0.0030412277599515623,0.0059005,0.008963,0.00925225,1000,0.000952,0.020102,0.001462492,0.0012450279346006659,0.00124,0.001306,0.001361,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.008396,0.131055,0.009997219,0.008239979191177547,0.008726,0.0089475,0.0093115,1000,1.10182,1.298522,1.140254973,0.03688210657400511,1.11375475,1.122855,1.1749665,1000,0.067021,0.114195,0.06935623699999999,0.005472388053385012,0.06744025,0.0676935,0.069678,1000,0.037082,0.080499,0.038980356,0.0038087752011984116,0.03758975,0.0378255,0.03996575,1000,0.00065,0.010733,0.000937603,0.0006656332063464081,0.000757,0.000797,0.000884,1000,0.988163,1.165137,1.023043415,0.03321731134635636,0.99982975,1.0061145,1.05398875,1000,0.002743,0.013036,0.003014725,0.0004880504455227963,0.00290975,0.002963,0.003027,1000,0.008474,0.026036,0.008971276,0.0010488574821318672,0.008728,0.0088135,0.008957,1000,1.134803,1.48039,1.176298704,0.04064699120365964,1.14822325,1.158801,1.210421,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000277,0.001025,0.000326003,5.043977588173841e-05,0.000304,0.00032,0.000334,1000,2.505976,5.134306,2.606981864,0.1997827291067361,2.56041025,2.5793105,2.607754,1000,0.051438,0.106954,0.055248862999999995,0.0066739527097688526,0.052135,0.052709,0.05600625,1000,0.043817,0.082306,0.046340663,0.005125731604896125,0.044306,0.044572,0.0469685,1000,0.687799,2.142275,0.7192236559999999,0.1004575461022698,0.69545475,0.7062185,0.7253095,1000,1.708959,2.856005,1.778742277,0.11584480012915674,1.74274525,1.7631525,1.780174,1000,0.001192,0.018379,0.0013860139999999999,0.0006447818994078539,0.001288,0.0013235,0.00138825,1000,0.005819,0.026478,0.00643916,0.0014319611930495883,0.006101,0.006213,0.006361,1000,2.523923,5.191412,2.62494821,0.2021811727190984,2.57814675,2.5969495,2.6253715,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000279,0.000893,0.000340298,5.704683335646248e-05,0.000309,0.000326,0.00035725,1000,2.609068,5.06856,2.701556075,0.19065721301834707,2.65454425,2.6764175,2.70379075,1000,0.050529,0.092684,0.053196641,0.005517438076872182,0.05107875,0.0520385,0.052366,1000,0.042306,0.101186,0.045260616999999996,0.005963534501980432,0.0432205,0.044043,0.04429225,1000,0.688841,1.991305,0.718148121,0.09099905388217153,0.694879,0.7059085,0.72563875,1000,1.812936,2.949851,1.877619132,0.1149280336369877,1.8412205,1.861203,1.88021275,1000,0.001189,0.011502,0.001350855,0.0004523885298888556,0.00128,0.001311,0.00134625,1000,0.005772,0.024209,0.006500425,0.0012700122095377667,0.00615575,0.0063175,0.0065125,1000,2.627494,5.117681,2.719656216,0.19283083527113434,2.67179425,2.6943175,2.72181,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
