SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.319218,0.432976,0.3370551137254902,0.015125490447754271,0.3274125,0.333436,0.3426805,255,11.567612,13.374909,12.082669196078431,0.29085026468002395,11.9651785,12.046131,12.250854,255,0.284817,0.375528,0.3028541333333334,0.017300312962540015,0.2888245,0.29851,0.3086515,255,0.136818,0.211886,0.15370512156862745,0.018590421771126076,0.138478,0.143155,0.1718855,255,3.599339,3.90624,3.705853968627451,0.059113468001129696,3.670353,3.695564,3.7541535,255,3.599339,3.90624,3.705853968627451,0.059113468001129696,3.670353,3.695564,3.7541535,255,0.025336,0.053676,0.028092662745098036,0.0034578295657633233,0.0261825,0.026965,0.029177,255,0.051477,0.076133,0.054388207843137255,0.00256334708274263,0.052673,0.053515,0.055974,255,39.645549,53.285961,47.175221635294115,1.7844101856716745,47.307099,47.678049,48.0691155,255,27.141794,40.763442,34.56325367843137,1.7431590601702118,35.03869,35.147326,35.2682925,255,0.020416,0.041826,0.021977349019607843,0.0015330527994914102,0.0214015,0.021825,0.0222045,255,21.752596,27.728662,22.05898576862745,0.788007460404396,21.883055,21.94332,22.0091205,255,4.872492,13.649085,12.068688231372548,1.7941513446001403,12.7181565,12.784124,12.83599,255,0.39266,0.51923,0.41162974901960786,0.020464181658419022,0.400507,0.404581,0.413985,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.952249,15.362772,9.333513347008546,0.36205423769352607,9.0969505,9.231033,9.481298,1755,8.65468,15.062025,9.04110263988604,0.356955293001309,8.8106095,8.936472,9.1879055,1755,0.004999,0.605124,0.17159531320037988,0.16641354784765225,0.02991225,0.1175355,0.26679775,10530,0.006094,0.309477,0.07878703903133903,0.07584210879418127,0.01533325,0.060771,0.11039025,10530,0.03795,5.767827,1.1530572905982905,1.1906209719625735,0.0945385,0.8756785,1.70212,10530,0.03795,5.767827,1.1530572905982905,1.1906209719625735,0.0945385,0.8756785,1.70212,10530,0.093122,0.204376,0.10908630997150996,0.013696949007233934,0.0995625,0.102748,0.1168135,1755,0.129613,0.212926,0.14143307692307694,0.012874122525274964,0.1334995,0.135769,0.1435565,1755,23.773855,40.955664,30.713422446153846,3.641187996413401,28.2767285,30.082054,32.430483,1755,14.187813,30.852418,20.797245865527067,3.5950469120076383,18.471989,20.188385,22.6385515,1755,0.072806,0.171398,0.08527800170940171,0.010447653698155307,0.079722,0.082104,0.0865325,1755,13.341002,30.020989,19.950626980056978,3.5038037399780313,17.7081725,19.360061,21.755072,1755,0.105295,0.67957,0.2645283857549857,0.10705916946704878,0.2028325,0.237107,0.292625,1755,0.432341,0.645528,0.49453601082621085,0.030107970150414165,0.4751265,0.488606,0.5119425,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.026281,1.872558,0.089866144,0.12136887176356738,0.03715825,0.0754195,0.104956,1000,0.194883,0.313917,0.217854683,0.020734476991873006,0.202721,0.2076135,0.2333115,1000,0.001979,0.01489,0.00263424025,0.0007660770033292591,0.00215,0.0022475,0.00303725,4000,0.004169,0.023562,0.0052264095,0.001186719018474782,0.004484,0.0046795,0.00581425,4000,0.015009,0.057885,0.018094002,0.0026986480088177487,0.016092,0.0171165,0.019455,4000,0.015009,0.057885,0.018094002,0.0026986480088177487,0.016092,0.0171165,0.019455,4000,0.020172,0.058253,0.022649326,0.0032593055186226406,0.02058175,0.0208345,0.02454075,1000,0.025709,0.063607,0.028113176,0.0033981446736453115,0.0263385,0.026702,0.02946075,1000,0.486787,2.571749,0.590028493,0.1530085700005655,0.50412175,0.5502425,0.6547935,1000,0.090155,0.186663,0.104368559,0.015753100313288144,0.09309875,0.0964975,0.11555725,1000,0.025154,0.057161,0.029039118,0.004614318189296876,0.02607075,0.0267935,0.03162,1000,0.040993,0.110598,0.047907858,0.008665082044956989,0.0420865,0.04317,0.05292675,1000,0.006236,0.020381,0.0075487340000000005,0.0017235040717224895,0.00648375,0.0066455,0.00810725,1000,0.016314,0.038672,0.019284921,0.0029012469965101215,0.0171195,0.0177005,0.02097875,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
BilateralLagrangianConstraint_PGS,0.024529,1.718357,0.089945972,0.11914328200705744,0.0370445,0.076372,0.10697775,1000,0.195305,0.33579,0.218284367,0.02121115703205063,0.20238975,0.207561,0.23430375,1000,0.001966,0.022834,0.00268863,0.0009634540643434952,0.002152,0.0022795,0.003088,4000,0.004212,0.022602,0.0052575834999999994,0.0011874846723338157,0.00447675,0.00467,0.005862,4000,0.015054,0.064705,0.01815839125,0.00292012829960833,0.01598025,0.0172665,0.01942525,4000,0.015054,0.064705,0.01815839125,0.00292012829960833,0.01598025,0.0172665,0.01942525,4000,0.020097,0.046671,0.022784617,0.003069634562665563,0.020729,0.0210135,0.02455925,1000,0.025762,0.068524,0.02801569,0.0029497510647341074,0.026341,0.0266625,0.02955075,1000,0.487441,2.450243,0.591683355,0.15160827618350844,0.5029585,0.5516805,0.658641,1000,0.090161,0.196222,0.10493514,0.015751134723009638,0.093117,0.0968865,0.11656125,1000,0.025143,0.070331,0.029210499,0.004739727900628791,0.0261245,0.026894,0.03199725,1000,0.041263,0.111492,0.048219574,0.008578768193192074,0.0420985,0.0434855,0.053524,1000,0.006011,0.017561,0.007506202,0.0016346404960100554,0.006371,0.0068095,0.0080225,1000,0.016514,0.055791,0.019425157999999998,0.00325169183334399,0.01711875,0.01779,0.0211025,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.025923,1.594634,0.062242042000000004,0.11214429056940989,0.03677975,0.050707,0.06185225,1000,0.196245,0.383009,0.20784401,0.01638474093423207,0.2009135,0.203695,0.2071215,1000,0.001955,0.020725,0.0024911735,0.000837382073128957,0.002118,0.002188,0.002935,4000,0.004179,0.020132,0.00494817,0.0010488752910141415,0.004399,0.004513,0.00571525,4000,0.014902,0.061766,0.0173807575,0.002661932841225291,0.0157455,0.016546,0.01902925,4000,0.014902,0.061766,0.0173807575,0.002661932841225291,0.0157455,0.016546,0.01902925,4000,0.02025,0.046524,0.021267633,0.0023733540002096186,0.020642,0.02078,0.020933,1000,0.025881,0.061472,0.027233106,0.002670267548535914,0.026286,0.026478,0.026697,1000,0.504162,2.338803,0.565785542,0.13580202531525898,0.520632,0.550409,0.5678355,1000,0.102197,0.213491,0.125924099,0.01645742656229093,0.11443475,0.1244145,0.130973,1000,0.025325,0.055117,0.02723309,0.0032458607252776575,0.02618075,0.026462,0.02678175,1000,0.046363,0.110488,0.049936727,0.006826007403634353,0.047406,0.047864,0.0488515,1000,0.009449,0.073611,0.029644227999999998,0.010289503511832629,0.020996,0.031073,0.0358305,1000,0.016927,0.055426,0.018503334,0.002780229944526891,0.0173175,0.017527,0.018023,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.031434,1.44532,0.075337046,0.0954448504560926,0.06845775,0.069253,0.07211,1000,0.060382,0.13756,0.078616159,0.008001447571515982,0.0779565,0.0785165,0.079377,1000,0.002906,0.014689,0.004163733,0.000705563709179405,0.004128,0.00419,0.004256,1000,0.005878,0.023571,0.007638033999999999,0.0010966462295763388,0.007587,0.00767,0.007767,1000,0.019065,0.052639,0.0259069,0.00286815423922773,0.025869,0.0260795,0.02630525,1000,0.019065,0.052639,0.0259069,0.00286815423922773,0.025869,0.0260795,0.02630525,1000,0.006157,0.033966,0.009449367,0.0017059886811790397,0.00945975,0.009553,0.00967725,1000,0.010001,0.060913,0.012319861000000001,0.002158143648990724,0.01216275,0.0122665,0.01237225,1000,0.158108,1.701755,0.261398811,0.10493214942571834,0.25717225,0.2598505,0.264062,1000,0.012508,0.087294,0.039204364,0.009912351598763232,0.04020675,0.040933,0.041816,1000,0.001943,0.015266,0.00303172,0.000654393236211989,0.002969,0.00303,0.00309,1000,0.007129,0.047607,0.017141639,0.003953088349718356,0.01722475,0.017452,0.01783325,1000,0.001895,0.058662,0.016871213,0.006221646361826666,0.018186,0.018477,0.018762,1000,0.000974,0.011588,0.001429279,0.0007434395652364757,0.001287,0.001325,0.00136425,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.028795,1.504384,0.089509894,0.09708769551162888,0.06873575,0.0959795,0.0981045,1000,0.059957,0.134456,0.078153455,0.007778292191090214,0.07766025,0.078132,0.078977,1000,0.002954,0.013161,0.0041349709999999994,0.0007648539717874255,0.00410375,0.004165,0.00422425,1000,0.005913,0.018725,0.007566448,0.000949154151492791,0.007545,0.007623,0.00769625,1000,0.019185,0.058016,0.02561915,0.002870058350190811,0.02562925,0.025871,0.0260815,1000,0.019185,0.058016,0.02561915,0.002870058350190811,0.02562925,0.025871,0.0260815,1000,0.006217,0.03778,0.009544551,0.0023722790003283764,0.009384,0.0095245,0.00967425,1000,0.010142,0.028704,0.012303144,0.0014948745423158428,0.012133,0.0122625,0.01236825,1000,0.15725,1.775493,0.265899483,0.10718960864996062,0.24469,0.274956,0.28026125,1000,0.012674,0.066376,0.029288416,0.006903215992632999,0.02692725,0.030978,0.03166725,1000,0.002018,0.007792,0.003021757,0.0005287362536756866,0.00297,0.003038,0.003099,1000,0.007218,0.04691,0.016171924,0.004048669360447207,0.015685,0.0164325,0.0167745,1000,0.001905,0.023096,0.007961069999999999,0.002879887722655173,0.00638475,0.0096545,0.009909,1000,0.000957,0.021852,0.001415424,0.0008847791194552456,0.00124,0.0013065,0.001363,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.005269,0.126006,0.006246026,0.008395751112754831,0.005477,0.005546,0.005644,1000,1.122893,1.272258,1.142378365,0.021439432892727713,1.12948175,1.137169,1.14206275,1000,0.066762,0.117828,0.068002025,0.00364234479125398,0.06713675,0.0672795,0.0675515,1000,0.037455,0.077346,0.038588732,0.0029294195647219944,0.037864,0.0381255,0.03836525,1000,0.015194,0.05326,0.016113821,0.002387423945795761,0.015525,0.015683,0.015955,1000,0.993553,1.143391,1.011565236,0.019119149499920336,1.00036225,1.007355,1.01045325,1000,0.002778,0.012442,0.0030185169999999996,0.00041720071873260235,0.00291975,0.002972,0.0030325,1000,0.01085,0.021797,0.011378484000000001,0.000880984597903959,0.01116375,0.011248,0.011364,1000,1.157625,1.439928,1.179681111,0.026775007366360876,1.16559175,1.1730575,1.1788645,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000288,0.000842,0.000333078,4.1658683560573535e-05,0.000316,0.000327,0.000341,1000,2.565903,4.965804,2.632776642,0.18584220496815526,2.57718225,2.5928705,2.63098775,1000,0.051984,0.10164,0.054401816,0.004009057399956255,0.0524005,0.053084,0.054995,1000,0.044336,0.091441,0.046213381,0.0039037309996769755,0.044763,0.045038,0.046327,1000,0.689851,2.078946,0.71282002,0.09596127204584984,0.69582575,0.699726,0.70748925,1000,1.768298,2.766979,1.811898926,0.10596598087741425,1.7738895,1.777877,1.814068,1000,0.00121,0.002848,0.0013930869999999999,0.00012103526523703743,0.001335,0.001374,0.001424,1000,0.011844,0.045658,0.012470496999999999,0.00174204925705073,0.012108,0.012246,0.01251075,1000,2.589179,5.02393,2.658103671,0.18859060505959666,2.6017885,2.618128,2.65600225,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FEMBAR_EigenSimplicialLLT,0.000273,0.002756,0.00033767000000000004,8.943502166377554e-05,0.000314,0.00033,0.00034725,1000,2.585581,4.805552,2.638152503,0.17157048548230547,2.6000145,2.606403,2.632822,1000,0.052122,0.097138,0.053678273,0.00356509939587538,0.052664,0.0530215,0.05344625,1000,0.04455,0.086199,0.045708387,0.003054733621321342,0.0448855,0.0450755,0.045491,1000,0.689195,1.898004,0.7075261700000001,0.08415689936308907,0.69519,0.697658,0.70092425,1000,1.787572,2.775209,1.823634917,0.10219093537913287,1.7945505,1.800191,1.8193505,1000,0.001219,0.002693,0.0014043430000000002,0.00013022841990518045,0.001332,0.0013815,0.001444,1000,0.01198,0.028372,0.012572441,0.0010106632864208534,0.01226275,0.0124175,0.01262925,1000,2.609217,4.86177,2.6636791179999997,0.17365435477607835,2.62474375,2.631912,2.65856675,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
