SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.328303,0.418042,0.34615502352941174,0.01477815683031572,0.336409,0.341276,0.3499065,255,11.982152,13.988535,12.577513478431372,0.30257879894451367,12.441323,12.596492,12.6787105,255,0.28594,0.379084,0.3014951843137255,0.016894911961580557,0.291063,0.294244,0.302643,255,0.137344,0.214451,0.14734941176470587,0.013179887171370537,0.13897,0.140134,0.1505745,255,3.888126,4.623215,3.990114337254902,0.08074919084815252,3.929055,3.991745,4.0226505,255,3.888126,4.623215,3.990114337254902,0.08074919084815252,3.929055,3.991745,4.0226505,255,0.0229,0.053933,0.025121823529411766,0.003144447421800208,0.024085,0.024464,0.024978,255,0.053509,0.092747,0.05622540392156863,0.003164180755970684,0.0550575,0.055536,0.056203,255,40.299914,64.068853,47.943327270588235,2.3517957262436724,47.9155835,48.21659,48.396231,255,27.268668,50.344357,34.8368314509804,2.3096162674754783,35.103772,35.203574,35.2802325,255,0.020608,0.042131,0.02241506274509804,0.0019011599338567677,0.021676,0.022062,0.022461,255,21.781657,28.506676,22.21845790588235,1.1984231007158443,21.894948,21.931614,21.9743725,255,4.874461,24.688913,12.183193572549019,1.961552969929096,12.7545505,12.846798,12.888229,255,0.38764,0.558329,0.41019435294117645,0.025682663642799163,0.3964215,0.401662,0.410458,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,12.212576,25.727293,13.537754532763532,0.5621118775281679,13.242276,13.447689,13.6154395,1755,11.862108,25.293862,13.192522055840454,0.5112314205383502,12.9105305,13.105166,13.259687,1755,0.008853,0.855327,0.26301115289648624,0.23270405552645415,0.05474075,0.321528,0.4230295,10530,0.010046,1.443383,0.10561160332383665,0.08467572309258341,0.02725525,0.1148395,0.18246425,10530,0.076788,11.457908,1.905810881671415,1.9460864281043913,0.1709165,1.1765685,2.74254825,10530,0.076788,11.457908,1.905810881671415,1.9460864281043913,0.1709165,1.1765685,2.74254825,10530,0.093468,0.208384,0.11542808945868946,0.015176578862090076,0.1022365,0.116228,0.1199525,1755,0.133405,0.222659,0.15066902564102566,0.015124721031560663,0.1395995,0.147305,0.150433,1755,24.028301,48.600548,29.201902622792023,2.617896626698868,27.4093545,28.991884,30.8953035,1755,10.156902,29.140178,15.042738494586894,2.459504476811508,13.288724,14.827195,16.6944055,1755,0.073677,0.183169,0.08872137321937322,0.01271949818561077,0.081899,0.085015,0.089278,1755,9.334184,27.975951,14.183868782905982,2.366252541537745,12.4753405,13.973255,15.8363845,1755,0.105067,1.005243,0.2759924786324786,0.1098798084878183,0.2130245,0.250549,0.3074535,1755,0.416651,0.793374,0.49194839145299146,0.032415904995864234,0.470603,0.489578,0.513195,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.034971,1.73147,0.09566736,0.12236230943779379,0.04337225,0.082018,0.111672,1000,0.195102,0.343807,0.217533854,0.021051005147134517,0.20225525,0.2077045,0.233383,1000,0.002094,0.022414,0.00280180025,0.0010159575819639014,0.002275,0.0023995,0.003199,4000,0.00414,0.02426,0.005314018,0.0013206798089150905,0.004488,0.004697,0.00599925,4000,0.014955,0.062844,0.017505,0.0026930204729076978,0.01571675,0.0164195,0.01863825,4000,0.014955,0.062844,0.017505,0.0026930204729076978,0.01571675,0.0164195,0.01863825,4000,0.020563,0.058928,0.023234,0.003397701272919678,0.02110275,0.021371,0.0251015,1000,0.025772,0.066866,0.028061476999999998,0.0033738219673644606,0.026338,0.02672,0.02923225,1000,0.490246,2.461255,0.599411604,0.15622306736256072,0.51235975,0.560069,0.6581175,1000,0.091377,0.205541,0.106206068,0.016845845857343465,0.09462975,0.098285,0.11671475,1000,0.025565,0.075704,0.029651075000000002,0.004818410772378689,0.026753,0.0273885,0.0319395,1000,0.041686,0.121886,0.048940606,0.0095283193325352,0.042768,0.0450105,0.05367675,1000,0.006199,0.022544,0.007553216000000001,0.0017370730621778694,0.006439,0.006594,0.0081425,1000,0.016586,0.054801,0.019507461,0.003457361628826091,0.017332,0.0178775,0.021124,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.025623,1.674579,0.094302125,0.11796922753912299,0.043637,0.079492,0.1109325,1000,0.194729,0.316768,0.2153918,0.02019409533111102,0.19999,0.2051235,0.22944625,1000,0.002098,0.013598,0.0027581605,0.0008059111326565418,0.002272,0.002378,0.003143,4000,0.004091,0.022201,0.00523800025,0.0012648510753246556,0.004413,0.004614,0.00591,4000,0.01473,0.051805,0.01738713775,0.0025703390514239437,0.0156045,0.016334,0.0185515,4000,0.01473,0.051805,0.01738713775,0.0025703390514239437,0.0156045,0.016334,0.0185515,4000,0.020318,0.050625,0.023081545,0.003345270927141029,0.020901,0.021204,0.0248105,1000,0.025441,0.064421,0.02806093,0.00328805254749677,0.02627375,0.02665,0.0291805,1000,0.490568,2.395722,0.594749049,0.15119937160045538,0.5089245,0.554956,0.6548055,1000,0.091231,0.208018,0.106096421,0.01596768711954737,0.09429725,0.0982825,0.1170635,1000,0.025929,0.070451,0.029876099,0.004694259958204169,0.02683775,0.0275075,0.0322565,1000,0.041231,0.119299,0.048582106,0.009043043931042468,0.042361,0.044743,0.05367075,1000,0.006066,0.023842,0.007663646,0.0017996407098873931,0.00642575,0.0069595,0.00830875,1000,0.016435,0.042121,0.019406722,0.0031945481540768795,0.017211,0.0177155,0.0210785,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.030468,1.651405,0.066152761,0.11375300363003114,0.0421795,0.0532625,0.06617,1000,0.195287,0.320398,0.207411703,0.01350264391698126,0.2013185,0.2040625,0.20745,1000,0.002041,0.017638,0.00265368525,0.0008795751341883406,0.002287,0.0023655,0.003083,4000,0.004075,0.021334,0.00498627025,0.0010891279039740636,0.004386,0.004573,0.005793,4000,0.014883,0.045313,0.016894395,0.002233326320754538,0.015591,0.016228,0.01811725,4000,0.014883,0.045313,0.016894395,0.002233326320754538,0.015591,0.016228,0.01811725,4000,0.020602,0.059827,0.021701455,0.0025588510949203355,0.02099575,0.021114,0.02126025,1000,0.025673,0.052458,0.026813484000000002,0.002180105068510231,0.026162,0.026319,0.026513,1000,0.509599,2.39837,0.5685440479999999,0.13662445005680243,0.52611975,0.5534565,0.56887,1000,0.102595,0.236552,0.125759386,0.016074375988852693,0.115043,0.124555,0.130868,1000,0.025528,0.063963,0.027531504000000002,0.0032356279851033553,0.02641375,0.026757,0.02716825,1000,0.046532,0.110608,0.049709179,0.006249605841407841,0.0476345,0.048031,0.048728,1000,0.00946,0.082524,0.029395187000000003,0.010221401709258423,0.02089575,0.030803,0.0355375,1000,0.016777,0.042535,0.01856597,0.0027062634171676637,0.0174565,0.017655,0.01801825,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036833,1.424023,0.07800342,0.09577224567311556,0.0706085,0.071225,0.07428425,1000,0.060626,0.13902,0.078423911,0.008861043460511805,0.07739575,0.077994,0.078786,1000,0.003106,0.02445,0.004412661,0.0012708916122466936,0.004254,0.004318,0.00438,1000,0.005923,0.021845,0.007942501,0.0012510460303278214,0.007843,0.007925,0.008002,1000,0.018653,0.062923,0.02485087,0.003589351934416574,0.02452475,0.024713,0.02495875,1000,0.018653,0.062923,0.02485087,0.003589351934416574,0.02452475,0.024713,0.02495875,1000,0.00646,0.02976,0.009780513000000001,0.0018343748122537553,0.00971375,0.009822,0.009946,1000,0.010114,0.037046,0.012399674999999999,0.0017807272052099952,0.012177,0.0122745,0.012399,1000,0.162637,1.76182,0.265304362,0.10705705638393462,0.260423,0.262316,0.2660285,1000,0.01294,0.088975,0.039325705,0.01024125989241436,0.040275,0.040889,0.041721,1000,0.002092,0.012513,0.003245638,0.0007859131472090285,0.003074,0.0031835,0.00329325,1000,0.007276,0.058325,0.017495091,0.0044327368208274,0.01752925,0.0177,0.01791225,1000,0.00188,0.059515,0.016582126,0.006214662492213394,0.01774875,0.0180025,0.01832125,1000,0.001059,0.013428,0.00148987,0.0007596940799427096,0.00132675,0.001374,0.00141,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.036766,1.519774,0.0938403,0.10068439941112027,0.072174,0.098685,0.10230475,1000,0.060421,0.141454,0.07845824800000001,0.00915156200342302,0.07724375,0.0779725,0.07901875,1000,0.002994,0.014727,0.004323981,0.0009569528518370171,0.004178,0.0042605,0.00433825,1000,0.006011,0.02846,0.008002248,0.001319807742247332,0.00786675,0.0079685,0.00808125,1000,0.018545,0.055538,0.024804409,0.003215431468981885,0.024475,0.024747,0.0250505,1000,0.018545,0.055538,0.024804409,0.003215431468981885,0.024475,0.024747,0.0250505,1000,0.006455,0.03886,0.009789673,0.0019157031372503935,0.009672,0.0098005,0.00994425,1000,0.01002,0.032788,0.012339421,0.0017650795471476632,0.012078,0.012177,0.012288,1000,0.160713,1.777893,0.271182218,0.11083140111921566,0.24857925,0.2781475,0.284824,1000,0.012848,0.068314,0.029510083,0.007115147622088456,0.02723625,0.0310435,0.03192925,1000,0.002089,0.012877,0.003247677,0.0008101186114829112,0.00308875,0.0031695,0.00327025,1000,0.007274,0.047569,0.016257478,0.004027480850546158,0.0158265,0.016531,0.01687,1000,0.001875,0.035455,0.007988578,0.0030879399145572767,0.00630775,0.009493,0.009855,1000,0.001037,0.018177,0.001515164,0.0009362429861440886,0.00130675,0.00137,0.001428,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FixedProjectiveConstraint,0.006202,0.136312,0.008111569,0.008975061012117912,0.006589,0.006935,0.00748375,1000,1.12291,1.279497,1.1422897520000002,0.017285831321822393,1.13171525,1.135216,1.14882375,1000,0.067571,0.114619,0.069202908,0.004080763163372263,0.0681075,0.0684175,0.06859625,1000,0.037695,0.070241,0.038849193,0.0026342756821849536,0.038093,0.038381,0.03872,1000,0.015182,0.042186,0.016306351,0.0018050754709426971,0.01564375,0.01595,0.01628025,1000,0.992198,1.147982,1.009429179,0.014904740008297999,1.001451,1.0032885,1.01534025,1000,0.002733,0.00868,0.00317977,0.0006338265528518035,0.0029535,0.003047,0.003145,1000,0.010934,0.029835,0.011626144,0.0010881340006010291,0.01122825,0.0113845,0.011768,1000,1.157867,1.426978,1.1811530730000002,0.023865408885323357,1.16857375,1.1733445,1.188587,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000289,0.001122,0.00034798500000000004,5.5954935215760906e-05,0.000324,0.000339,0.000355,1000,2.501658,4.939806,2.555677788,0.1824539091194624,2.5114685,2.5216055,2.5575445,1000,0.052316,0.099663,0.054579017,0.004048103374014922,0.052672,0.0529555,0.055775,1000,0.044377,0.091395,0.04584751,0.003809508019666057,0.04471,0.044874,0.045142,1000,0.69097,2.092722,0.711192473,0.0953583521061751,0.69650825,0.6983885,0.709538,1000,1.698386,2.715092,1.7355049809999998,0.10235491834304124,1.70679625,1.7101495,1.73496875,1000,0.001278,0.011909,0.001538534,0.0005751200108186117,0.001395,0.001446,0.0015935,1000,0.012703,0.039359,0.013406412,0.0013703104824294382,0.013046,0.013202,0.0133895,1000,2.527376,5.002829,2.582544727,0.18480480925194145,2.5379895,2.5480595,2.585357,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.96,0.48000000000000004,1.2,1.2,1.2,5
FEMBAR_EigenSimplicialLLT,0.000291,0.009628,0.000362168,0.00030308235147563444,0.00031975,0.0003325,0.000359,1000,2.602709,4.979708,2.7057620669999998,0.19457084045736275,2.622079,2.6544965,2.745469,1000,0.05237,0.118465,0.055837623,0.007283219850373253,0.05272275,0.0530125,0.05718825,1000,0.044571,0.088005,0.046735333,0.004636942892478945,0.04500425,0.0452205,0.04719425,1000,0.691423,1.934555,0.7149400300000001,0.08679616386123928,0.6972455,0.700406,0.70644575,1000,1.799965,2.966892,1.879312956,0.12355730518386221,1.81312475,1.834049,1.93682425,1000,0.001279,0.005022,0.001538947,0.00040605733362543764,0.001388,0.001431,0.001503,1000,0.012516,0.055921,0.013667958000000001,0.0027442591835021703,0.01288775,0.013067,0.013365,1000,2.627004,5.039295,2.733282409,0.1981826006928906,2.64796375,2.681166,2.77148175,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
