SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.330284,0.394398,0.3427383490196078,0.010026074557624637,0.3365745,0.340652,0.346124,255,12.05047,14.011326,12.52013340392157,0.2297744356111129,12.367379,12.565902,12.664199,255,0.283951,0.376624,0.29783250588235294,0.011397746347197917,0.290453,0.29635,0.3003545,255,0.137095,0.220063,0.14135625098039215,0.00820699078092484,0.13838,0.139139,0.1400995,255,3.877568,4.343358,3.9825019372549018,0.0666589894748475,3.9429445,3.977573,4.023105,255,3.877568,4.343358,3.9825019372549018,0.0666589894748475,3.9429445,3.977573,4.023105,255,0.022701,0.051859,0.024754313725490196,0.0030221630488332656,0.0237575,0.02425,0.0247235,255,0.05321,0.101186,0.05610634901960784,0.004217582532143291,0.054768,0.055279,0.05603,255,40.254283,59.29366,47.60475349019608,2.1102468960677707,47.8009865,48.122322,48.324491,255,27.177478,44.68147,34.56047388235294,2.0934342418381355,35.031436,35.117366,35.1959755,255,0.020819,0.041568,0.0224430431372549,0.0016464844336634464,0.021829,0.022216,0.0225825,255,21.779311,28.667352,22.053257780392155,0.9207658340128501,21.8736645,21.9089,21.9385405,255,4.882092,15.567351,12.079504309803921,1.799926295438218,12.73229,12.790122,12.8384335,255,0.389095,0.495845,0.40285577647058823,0.013845032213936397,0.3959,0.39904,0.404246,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,12.320239,29.086901,13.530375962962962,0.6238227350718389,13.2437725,13.403435,13.591091,1755,11.973528,28.694351,13.1939243002849,0.6119392055545365,12.9099045,13.077016,13.24922,1755,0.007225,0.857887,0.25598665175688506,0.22765356361541692,0.05118,0.289075,0.4097685,10530,0.008958,0.391009,0.10006996039886039,0.07925217083819729,0.026405,0.102616,0.1592,10530,0.059629,11.978375,1.9033926677113011,1.950726728153678,0.16496075,1.1540625,2.7382265,10530,0.059629,11.978375,1.9033926677113011,1.950726728153678,0.16496075,1.1540625,2.7382265,10530,0.092843,0.246487,0.10852227920227919,0.01517069419959234,0.098444,0.100793,0.117766,1755,0.133816,0.301977,0.14689861196581197,0.014751941945325754,0.138105,0.140115,0.1483225,1755,23.858891,71.833663,29.182832744159544,2.809257060994875,27.402004,29.015854,30.8699495,1755,10.087852,55.254816,15.06057151965812,2.6169927058052824,13.3296585,14.866442,16.7054305,1755,0.074196,0.143575,0.08545210541310541,0.010957092621933987,0.079828,0.082602,0.084641,1755,9.330004,53.668008,14.217618561823363,2.526162364460558,12.562406,14.022136,15.834251,1755,0.104281,0.869721,0.2699882290598291,0.10996139744088418,0.206194,0.243547,0.302678,1755,0.411606,0.897674,0.485467845014245,0.033993129733457826,0.4624415,0.483522,0.504894,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.031602,1.72002,0.094766789,0.12126954437069713,0.04351525,0.0803665,0.10893125,1000,0.195184,0.363749,0.216811927,0.022289367874923485,0.20106725,0.206099,0.23087525,1000,0.00208,0.019035,0.0028068744999999997,0.001095007232053629,0.002263,0.002366,0.0032,4000,0.004115,0.027701,0.00528281675,0.0013549354012902008,0.004445,0.004639,0.006023,4000,0.014818,0.053321,0.01755267,0.002979333962918558,0.015654,0.016409,0.01856025,4000,0.014818,0.053321,0.01755267,0.002979333962918558,0.015654,0.016409,0.01856025,4000,0.020654,0.065097,0.023187148,0.0035601861462704444,0.02107275,0.021352,0.02505675,1000,0.025629,0.090419,0.028057771000000002,0.0036936435159012028,0.02629975,0.0267175,0.02923975,1000,0.492203,2.485735,0.59743117,0.15705162295685804,0.51043525,0.5563415,0.65630275,1000,0.091551,0.21285,0.10632585,0.01680259248192076,0.0946045,0.0983495,0.11633525,1000,0.02551,0.068235,0.029690051,0.005016647168418266,0.0266915,0.0274135,0.03197575,1000,0.041779,0.125586,0.048847174,0.009395298325850223,0.0428275,0.0447565,0.05362025,1000,0.006298,0.02386,0.007600497,0.001784859731180857,0.00649275,0.006674,0.008171,1000,0.016686,0.052179,0.01963432,0.0036467698136295906,0.01738175,0.0180035,0.02121225,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.007275,1.699381,0.09520199800000001,0.12106254532768587,0.04424375,0.0822665,0.1106715,1000,0.195526,0.370598,0.216056128,0.020798738530103597,0.2007205,0.205707,0.23021925,1000,0.002092,0.016646,0.00275744725,0.0007871976557494551,0.002269,0.002378,0.00313925,4000,0.004144,0.026043,0.005246104999999999,0.0012371115553881952,0.004417,0.0046135,0.005933,4000,0.014817,0.050028,0.017471963,0.0024970899255195036,0.0156905,0.016415,0.01865425,4000,0.014817,0.050028,0.017471963,0.0024970899255195036,0.0156905,0.016415,0.01865425,4000,0.020509,0.057968,0.023073938,0.0030847669143966128,0.020982,0.0213035,0.02484,1000,0.025762,0.062475,0.028060222000000003,0.0028264100765310043,0.026324,0.0267495,0.02943775,1000,0.493305,2.450828,0.596975288,0.15416259763993684,0.51227775,0.55465,0.6552735,1000,0.09148,0.211664,0.105829783,0.015763390700097205,0.09430675,0.0980805,0.11660575,1000,0.025799,0.066685,0.02965556,0.004439936930227726,0.026802,0.0274845,0.03211175,1000,0.041377,0.115244,0.048531657,0.008831511316719862,0.04254275,0.04455,0.0528145,1000,0.006114,0.031536,0.0076666189999999995,0.0018579101274924467,0.0064715,0.0069815,0.00823325,1000,0.01653,0.045148,0.019425905,0.0030315538797743642,0.01728275,0.017904,0.0211055,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.034514,1.696145,0.067312282,0.11519065333704152,0.042604,0.053764,0.06745525,1000,0.195806,0.322327,0.2073906,0.013242157789650447,0.20136975,0.203955,0.2074695,1000,0.002101,0.019709,0.0026033604999999996,0.0007823965637959755,0.002241,0.002314,0.003078,4000,0.004099,0.028575,0.00502979175,0.0012736549999438377,0.004409,0.004573,0.00584125,4000,0.014851,0.056761,0.01695714575,0.00232617349170412,0.01562975,0.016289,0.01827725,4000,0.014851,0.056761,0.01695714575,0.00232617349170412,0.01562975,0.016289,0.01827725,4000,0.020666,0.056213,0.021729796,0.002804434901077934,0.02099775,0.021136,0.021308,1000,0.025791,0.059264,0.026728383999999997,0.0019375639841161373,0.026179,0.026324,0.026507,1000,0.5106,2.42638,0.570301919,0.1379336926624762,0.52747325,0.5555735,0.5731965,1000,0.103182,0.219939,0.126128767,0.016076069621294597,0.1151465,0.125222,0.131363,1000,0.025752,0.076067,0.027669289,0.0030442753284614385,0.026676,0.027075,0.0275175,1000,0.046685,0.128302,0.050003053,0.006861983729228086,0.04778875,0.048239,0.048963,1000,0.009322,0.090573,0.029299696,0.0101103762495559,0.0209025,0.0307995,0.035484,1000,0.016941,0.041194,0.018604423,0.0025590150597585393,0.0175155,0.017683,0.0180585,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.036482,1.48528,0.077724681,0.09588486779464858,0.07000125,0.071598,0.074064,1000,0.06059,0.139451,0.077682099,0.007754331804172362,0.0771275,0.077573,0.07816875,1000,0.003027,0.013189,0.004283227,0.0008875047534920588,0.00417,0.004239,0.004309,1000,0.005923,0.024775,0.007848252,0.0012277367993572563,0.007747,0.0078335,0.007929,1000,0.018425,0.04971,0.024563297999999997,0.0025988839703218764,0.024524,0.0247025,0.02488575,1000,0.018425,0.04971,0.024563297999999997,0.0025988839703218764,0.024524,0.0247025,0.02488575,1000,0.006485,0.026429,0.009682605,0.0014508622115745517,0.00971,0.009813,0.009926,1000,0.010157,0.045914,0.012394376,0.0018711961080079232,0.012198,0.0123075,0.01241125,1000,0.161525,1.746425,0.263793901,0.10526577791237379,0.25916,0.261759,0.265096,1000,0.012897,0.088005,0.039378438,0.010238587720977733,0.04032925,0.0407855,0.041818,1000,0.002087,0.025895,0.003270934,0.0011755308790686867,0.00309,0.003171,0.003263,1000,0.007198,0.052591,0.017508303,0.004329230665740855,0.01754,0.0177345,0.018031,1000,0.001871,0.058461,0.016601038000000002,0.006269117164207094,0.01774775,0.018016,0.018224,1000,0.001049,0.010787,0.001514631,0.0007539048009125555,0.00133375,0.001388,0.001446,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.036463,1.510413,0.092871702,0.09923258441561016,0.0717985,0.0980795,0.100408,1000,0.060569,0.135395,0.077794639,0.00795635554853345,0.07695825,0.077532,0.07842175,1000,0.003047,0.014384,0.004377999,0.001083130924218767,0.004208,0.004286,0.00436725,1000,0.00602,0.018381,0.007946425,0.0011051687031286219,0.0078395,0.007939,0.008064,1000,0.01841,0.055138,0.024634453,0.0030204273005306715,0.02446775,0.024665,0.024917,1000,0.01841,0.055138,0.024634453,0.0030204273005306715,0.02446775,0.024665,0.024917,1000,0.006491,0.032381,0.009652232,0.0017163861442507625,0.009568,0.009703,0.00984625,1000,0.010131,0.050668,0.012371585999999999,0.002052085598264361,0.012102,0.012201,0.01229525,1000,0.161779,1.773523,0.269422396,0.10921443405960216,0.24759975,0.2785695,0.28239925,1000,0.01305,0.068574,0.029463990000000002,0.006759087348888162,0.027244,0.0313695,0.03183825,1000,0.002144,0.020133,0.003255851,0.0010063138888035878,0.00309975,0.003169,0.003244,1000,0.007243,0.043795,0.016229656999999998,0.0038759779562519444,0.01581875,0.0166015,0.01690025,1000,0.00191,0.020709,0.00799231,0.002855461780850866,0.006378,0.009657,0.0099,1000,0.001026,0.017235,0.001496525,0.0008847519027247129,0.001303,0.001367,0.00141425,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006092,0.162641,0.007970566,0.009427477773701934,0.006534,0.0067165,0.0070445,1000,1.12364,1.607934,1.1689708970000001,0.0452585843970665,1.13346925,1.1436005,1.21373975,1000,0.067768,0.121163,0.069778666,0.00410821809017535,0.068145,0.0684055,0.070652,1000,0.037779,0.073957,0.039693229,0.0030375792596340594,0.03813775,0.0384105,0.041146,1000,0.015238,0.043896,0.016120111,0.001944350430524035,0.015599,0.015733,0.01590525,1000,0.991202,1.437191,1.035199707,0.041527255486549446,1.0025075,1.0101095,1.07733225,1000,0.002752,0.013362,0.003169271,0.0007079916324074742,0.002947,0.0030365,0.003117,1000,0.010851,0.030565,0.011513349,0.001260576883493823,0.0111825,0.011297,0.011395,1000,1.158366,1.647989,1.2073933510000001,0.04900271950600088,1.17016825,1.1820605,1.25127775,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000281,0.001295,0.000341485,5.632182325706439e-05,0.00032,0.000333,0.000351,1000,2.504505,4.907375,2.567051992,0.1814999197166818,2.52738575,2.5351435,2.570191,1000,0.052527,0.091386,0.054000281000000004,0.0033386238868789936,0.05287275,0.0531365,0.0535695,1000,0.044278,0.090996,0.045706355000000004,0.0036932226232621016,0.04468475,0.0449195,0.04526075,1000,0.692095,2.070906,0.7198466339999999,0.09399972864425749,0.69970975,0.7119625,0.719166,1000,1.700954,2.699412,1.738923434,0.10262653387083501,1.70974125,1.7151915,1.73864725,1000,0.001262,0.011328,0.001497468,0.00036560569330359175,0.001406,0.0014565,0.001515,1000,0.012585,0.038759,0.013276918,0.0012232504548439786,0.01288975,0.0130585,0.01330475,1000,2.529884,5.013086,2.594120717,0.18458242352960616,2.55425,2.5611015,2.5966415,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.00029,0.001137,0.000365039,8.191325581980001e-05,0.000331,0.000347,0.00036625,1000,2.602142,4.999835,2.692218169,0.1929207285458005,2.61168725,2.63677,2.73739125,1000,0.052222,0.109972,0.054480922,0.005834011352227213,0.05262525,0.052878,0.053501,1000,0.04433,0.118381,0.046086689,0.004808016635815542,0.0448255,0.045003,0.0453095,1000,0.691886,1.920117,0.712729326,0.08656337833575888,0.69673475,0.6984695,0.70197975,1000,1.799624,2.973732,1.87007042,0.12202226132731518,1.80707125,1.814048,1.93152275,1000,0.001235,0.01303,0.001500656,0.0006866346566144183,0.001349,0.001388,0.001445,1000,0.012526,0.041022,0.013713761,0.002771065773286336,0.012874,0.013007,0.01335175,1000,2.627304,5.057729,2.719644153,0.1964202037629673,2.6376375,2.6642145,2.7627215,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
