SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.338191,0.471376,0.35771918823529414,0.014541372696074334,0.349606,0.353576,0.359938,255,11.479525,13.517118,12.002176439215686,0.34302845930584874,11.865471,11.95746,12.0431975,255,0.283342,0.396566,0.29865572156862746,0.020098988590613542,0.2871835,0.290629,0.297898,255,0.136164,0.211724,0.14212530588235292,0.010425136811843365,0.1377765,0.138364,0.142767,255,3.577969,3.929987,3.671518882352941,0.057074354484079756,3.62791,3.663272,3.6977305,255,3.577969,3.929987,3.671518882352941,0.057074354484079756,3.62791,3.663272,3.6977305,255,0.022784,0.043284,0.02418375294117647,0.001450726054105315,0.023641,0.023999,0.024359,255,0.051298,0.086707,0.05539407058823529,0.004623440043750385,0.0534655,0.054335,0.055534,255,39.686399,54.73764,47.55576278039216,2.384408130899263,47.30991,47.57762,47.82565,255,27.180815,41.523663,35.02335764313725,2.378376473702515,35.0155715,35.135535,35.333156,255,0.021216,0.055648,0.02282258039215686,0.0029127623598751975,0.0219215,0.022266,0.022859,255,21.741944,28.32753,22.487290552941175,1.7679559195410344,21.8609135,21.894967,21.934896,255,4.891321,13.240438,12.085392996078431,1.799186733431434,12.689647,12.804592,12.910936,255,0.40317,0.565352,0.42475456078431373,0.024065031540195805,0.4108425,0.414909,0.425795,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,9.001286,13.825913,9.33924785868946,0.31626137009616895,9.1224985,9.203956,9.5272165,1755,8.701341,13.486769,9.031408168660969,0.3107592523846356,8.8174395,8.898866,9.203655,1755,0.0049,0.599341,0.17388092763532761,0.1691094496029992,0.02938725,0.1219165,0.277496,10530,0.006246,0.317688,0.07787695061728395,0.07568710218748675,0.013337,0.063177,0.10726525,10530,0.033681,5.561918,1.1627992166191834,1.2007903218915466,0.084661,0.8764305,1.731284,10530,0.033681,5.561918,1.1627992166191834,1.2007903218915466,0.084661,0.8764305,1.731284,10530,0.096992,0.213184,0.10892905925925926,0.010398634765964162,0.102881,0.105912,0.1097605,1755,0.131353,0.222175,0.1422745703703704,0.010215326634671318,0.1370065,0.138949,0.1428265,1755,24.107747,41.315891,30.80569183247863,3.6731081254050784,28.376941,30.245107,32.524138,1755,14.450514,31.016049,20.96329155042735,3.640763478655596,18.5975935,20.466552,22.7491155,1755,0.07135,0.138345,0.08211735897435897,0.008359333538840734,0.0773785,0.080119,0.082824,1755,13.667363,30.217314,20.13733496980057,3.552685978298602,17.8349165,19.669759,21.911066,1755,0.099991,0.650902,0.25164645356125354,0.10199437403751371,0.1946685,0.227001,0.2794785,1755,0.433466,0.851717,0.4899695327635328,0.028515470782807813,0.4725105,0.485156,0.503792,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.043886,1.743907,0.109386916,0.1205252466530019,0.0553595,0.0948635,0.12570375,1000,0.12618,0.266312,0.14610853099999999,0.019018949952955843,0.13169975,0.138525,0.158288,1000,0.00191,0.024097,0.0027010452500000003,0.0013597849900636636,0.00211,0.0022475,0.00304,4000,0.004039,0.026058,0.005205347,0.0017563667564295905,0.004321,0.00449,0.005725,4000,0.000355,0.013021,0.00073963575,0.0007220623349628047,0.000467,0.000521,0.000906,4000,0.000355,0.013021,0.00073963575,0.0007220623349628047,0.000467,0.000521,0.000906,4000,0.019945,0.060428,0.023390338,0.004456588473457696,0.0206925,0.0213125,0.02538925,1000,0.027358,0.068102,0.030570385999999998,0.004690534507601879,0.02822,0.0287475,0.03172625,1000,0.421519,2.37497,0.5301322190000001,0.14942637179673152,0.45775975,0.492093,0.581536,1000,0.085926,0.190074,0.100874479,0.01615306423114695,0.08822025,0.0923155,0.11133925,1000,0.024944,0.065713,0.029378912,0.005610210721555475,0.02611375,0.026669,0.031697,1000,0.037894,0.111856,0.044868953,0.008946249629469938,0.03879875,0.0411275,0.050231,1000,0.005285,0.025525,0.006620859000000001,0.002223416951252958,0.005501,0.0056525,0.0070175,1000,0.0162,0.053148,0.019480481,0.004269474095440678,0.016746,0.0175555,0.02085075,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.037425,1.756158,0.108848769,0.12167627415796242,0.05463325,0.094197,0.12519475,1000,0.126272,0.263874,0.14625109099999997,0.018942632048285134,0.13217275,0.1376275,0.15697925,1000,0.001883,0.024759,0.0026343384999999997,0.0013196241172840656,0.002093,0.002219,0.00297525,4000,0.004026,0.033595,0.00528645175,0.0017860025064853455,0.004338,0.004538,0.005785,4000,0.00036,0.021496,0.0007446064999999999,0.0008389881329063898,0.000473,0.000519,0.00089,4000,0.00036,0.021496,0.0007446064999999999,0.0008389881329063898,0.000473,0.000519,0.00089,4000,0.019929,0.059316,0.023266494,0.0049784241478568305,0.02044375,0.020841,0.02521025,1000,0.027368,0.073776,0.030610369999999998,0.004932435193400923,0.0281915,0.0286325,0.0318035,1000,0.418781,2.355627,0.530825738,0.15042527814313444,0.45444,0.492096,0.58416775,1000,0.085218,0.203528,0.10164641899999999,0.01756157798250029,0.08814075,0.092526,0.11229975,1000,0.024764,0.073252,0.02959793,0.006726948363344259,0.025813,0.026556,0.0317595,1000,0.037693,0.118086,0.045166813,0.009771077548358268,0.038614,0.041326,0.05013875,1000,0.005198,0.026717,0.006719201,0.0020730524239871502,0.005548,0.005997,0.00708375,1000,0.016099,0.053793,0.019620083,0.004632031788331229,0.01683475,0.0175955,0.02087625,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
BilateralLagrangianConstraint_UGS,0.012354,1.724401,0.07983475100000001,0.11828915261043593,0.052593,0.067356,0.07968425,1000,0.125313,0.248487,0.136426476,0.013009134011279306,0.12916575,0.132927,0.13660875,1000,0.001904,0.01976,0.0024568257499999998,0.00098128532822362,0.002054,0.002166,0.002896,4000,0.004036,0.025673,0.00489208625,0.0013834161665279678,0.00429,0.004409,0.005657,4000,0.000349,0.012414,0.000728041,0.0007228965972523318,0.000457,0.000503,0.000926,4000,0.000349,0.012414,0.000728041,0.0007228965972523318,0.000457,0.000503,0.000926,4000,0.020083,0.055006,0.021723537,0.0036730381248540017,0.020686,0.02087,0.021052,1000,0.027674,0.066734,0.029547079,0.004769840033036643,0.02816475,0.0283745,0.02865025,1000,0.43707,2.363721,0.500754838,0.13971204411842147,0.45755725,0.484616,0.50332025,1000,0.096613,0.218846,0.120314839,0.01654214108593803,0.10884175,0.1187805,0.125074,1000,0.024883,0.067379,0.026972181,0.003894505555553747,0.02575375,0.0260475,0.02635975,1000,0.043068,0.111654,0.046431588,0.007224605543298264,0.043884,0.0442425,0.04505675,1000,0.008813,0.08714,0.028104435,0.010523216264801129,0.019545,0.029238,0.0338495,1000,0.016448,0.059977,0.018281870999999998,0.0032540901457026356,0.016978,0.017194,0.01770275,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040435,1.450446,0.083661473,0.09629388069718278,0.0754825,0.0761675,0.07827425,1000,0.040586,0.190885,0.05446789,0.009299328053246644,0.051488,0.05196,0.0563635,1000,0.002902,0.022897,0.004226619,0.0013069773379209757,0.00403975,0.0041335,0.004268,1000,0.005795,0.027987,0.007828069,0.0018498672250296777,0.007462,0.007568,0.00776025,1000,0.000773,0.009999,0.0010547529999999999,0.0007098581322989827,0.000948,0.000973,0.000999,1000,0.000773,0.009999,0.0010547529999999999,0.0007098581322989827,0.000948,0.000973,0.000999,1000,0.006085,0.035126,0.009596044,0.0025853792692879705,0.009182,0.0093435,0.00967625,1000,0.011241,0.047133,0.014485007,0.003020116149579516,0.013931,0.014086,0.01433675,1000,0.142632,1.681958,0.24559977600000002,0.10592678387405058,0.23373475,0.2369875,0.2508975,1000,0.011995,0.095447,0.037976724999999996,0.01092812241756904,0.03766,0.038441,0.040145,1000,0.002055,0.017693,0.00315835,0.0012325404461923349,0.00296,0.0030465,0.003147,1000,0.006732,0.053747,0.016224034,0.004549862412078413,0.01582275,0.016064,0.016897,1000,0.001567,0.067898,0.016382960999999998,0.007048768633135791,0.0170745,0.0173305,0.01756875,1000,0.000932,0.019199,0.001412305,0.0009498389873947057,0.001266,0.001303,0.001345,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.039915,1.459573,0.09911128,0.09816537936082965,0.07563425,0.1032625,0.1054095,1000,0.039987,0.112483,0.053686652,0.009064043743434606,0.0512375,0.051699,0.05268175,1000,0.002851,0.024515,0.004327167000000001,0.001801190499395053,0.00409375,0.0041755,0.004249,1000,0.005697,0.024609,0.007836735,0.002093726239692047,0.007443,0.0075715,0.007712,1000,0.000771,0.015135,0.001082672,0.0009811367633597264,0.000949,0.000978,0.001012,1000,0.000771,0.015135,0.001082672,0.0009811367633597264,0.000949,0.000978,0.001012,1000,0.006061,0.04262,0.009587057000000001,0.002917499214695867,0.009195,0.00936,0.0095045,1000,0.011059,0.043897,0.014149844,0.002771607340454993,0.013636,0.013793,0.01395625,1000,0.141826,1.686496,0.24911156099999998,0.1077457146534389,0.22197525,0.252322,0.2571885,1000,0.011926,0.067457,0.027718589,0.0071447000898623445,0.024855,0.028757,0.0293445,1000,0.002029,0.023614,0.0031066089999999998,0.0013540748687273535,0.002912,0.002989,0.0030565,1000,0.006813,0.040346,0.014762293,0.0038025244789680187,0.01418,0.01489,0.01516325,1000,0.001576,0.033861,0.007658359,0.003542819052974481,0.005897,0.008953,0.0091875,1000,0.000917,0.013279,0.0014248540000000001,0.0008894543983161813,0.00124175,0.00131,0.00136725,1000,0.0,3.4,0.6799999999999999,1.3599999999999999,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008344,0.159964,0.010235565,0.009641546812196422,0.008699,0.0089375,0.00938025,1000,1.093098,1.323162,1.126644193,0.026297916626222523,1.108899,1.121862,1.1375335,1000,0.067016,0.129685,0.069199347,0.006001349827713012,0.067408,0.06752,0.067668,1000,0.037084,0.082135,0.039096687,0.004499093936008783,0.037485,0.0376745,0.040198,1000,0.00061,0.004638,0.000878318,0.0005093213473594053,0.000721,0.000768,0.00084525,1000,0.979011,1.205768,1.00973726,0.023568399925247365,0.99480475,1.0053025,1.0205905,1000,0.00273,0.024135,0.002998563,0.000830746483610373,0.002855,0.0029385,0.003018,1000,0.008386,0.029413,0.00901915,0.001699664291411689,0.008636,0.008762,0.00893225,1000,1.126564,1.495675,1.162847038,0.032570483298326354,1.14351475,1.156382,1.1722415,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000278,0.001202,0.00034187400000000004,5.863147724558882e-05,0.00031,0.000329,0.000359,1000,2.505145,5.213025,2.605642531,0.2055781184276358,2.551824,2.5828115,2.61369975,1000,0.051518,0.097084,0.055054382,0.006379160394603353,0.05208875,0.052845,0.056503,1000,0.043866,0.102111,0.046260969,0.005165464130747498,0.04440575,0.044619,0.04702,1000,0.688947,2.178487,0.720107296,0.10196553910087654,0.6950035,0.708062,0.72663975,1000,1.708075,2.896399,1.77668851,0.11794682535772592,1.738755,1.763026,1.78173975,1000,0.001195,0.020287,0.001417906,0.0009308778991704553,0.001278,0.001331,0.00139325,1000,0.005899,0.026396,0.006576831,0.001419651347493109,0.00619775,0.006353,0.00656225,1000,2.521154,5.264453,2.623981303,0.20795633160800656,2.569924,2.600906,2.631716,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000266,0.011098,0.00035762200000000004,0.00047544316076267204,0.000311,0.000325,0.00034725,1000,2.610227,5.040195,2.691949575,0.1896156397952932,2.62586025,2.673013,2.697215,1000,0.051797,0.098842,0.054114069,0.005117867518238334,0.05231,0.0530235,0.05370325,1000,0.044081,0.084489,0.046282889,0.004705249764112316,0.04446075,0.0447695,0.04738825,1000,0.689526,1.976503,0.716953868,0.08970298364593329,0.69519825,0.700023,0.725412,1000,1.812451,2.943175,1.867056503,0.11487977399154296,1.82109075,1.850311,1.8746795,1000,0.001141,0.012082,0.0013977249999999998,0.0005853909542989198,0.001281,0.001348,0.001411,1000,0.005875,0.025796,0.006554539,0.0012182267606972849,0.00620675,0.0063635,0.00659625,1000,2.62676,5.089719,2.710100423,0.19186616624629804,2.6439095,2.691292,2.7150145,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.96,0.48,1.2,1.2,1.2,5
