SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.341085,0.541361,0.3591538588235294,0.02305409631135019,0.348267,0.352752,0.3590495,255,11.797075,13.391963,12.296887427450981,0.275996033398382,12.179919,12.293658,12.4173145,255,0.282506,0.396005,0.2940267254901961,0.015798107523642378,0.285667,0.287209,0.2951875,255,0.136264,0.228844,0.14186699215686274,0.010504569931371572,0.1376975,0.138545,0.1404295,255,3.593894,4.175505,3.715327274509804,0.08324848872237826,3.651901,3.690081,3.774681,255,3.593894,4.175505,3.715327274509804,0.08324848872237826,3.651901,3.690081,3.774681,255,0.02213,0.049084,0.023999329411764705,0.0027763048798007638,0.0231995,0.023598,0.024015,255,0.046989,0.081003,0.049788811764705884,0.0036932338106669804,0.0485695,0.049131,0.049749,255,40.034051,50.029983,47.427644643137256,1.7357291334835612,47.617982,47.914645,48.2242665,255,27.209909,36.703395,34.60505628627451,1.7137608386384675,34.988149,35.2183,35.309891,255,0.020516,0.04315,0.022197352941176474,0.0022471247094334244,0.021423,0.021717,0.0221205,255,21.71089,27.976047,22.003524600000002,0.8194740165134458,21.8467775,21.878879,21.9129875,255,4.86756,14.01751,12.153870137254902,1.8272887322090159,12.686512,12.883298,12.9682065,255,0.398288,0.52194,0.42258663529411766,0.020595099936452844,0.4102355,0.414231,0.430611,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,8.880748,10.34432,9.385312703703704,0.28633874895488254,9.1456985,9.334653,9.5487365,1755,8.514821,10.030701,9.071746578917379,0.2813670770212549,8.8382745,9.0244,9.2236815,1755,0.00449,0.5896,0.17746897787274454,0.17278950853733283,0.02975725,0.124047,0.28471475,10530,0.006128,0.331781,0.0827017044634378,0.07981901245203352,0.01473375,0.0595395,0.139591,10530,0.035561,3.873646,1.1770067137701805,1.2087102985025158,0.08937325,0.9925465,1.7725075,10530,0.035561,3.873646,1.1770067137701805,1.2087102985025158,0.08937325,0.9925465,1.7725075,10530,0.09775,0.189244,0.11359071680911681,0.012406630861819633,0.1046545,0.109185,0.1211835,1755,0.118864,0.227861,0.1319361789173789,0.011495714655287632,0.125005,0.129163,0.134384,1755,23.906895,41.250796,30.84112437094017,3.6949353852658406,28.4140425,30.277134,32.691527,1755,14.284574,31.419335,20.94603905982906,3.66888702674933,18.5500505,20.398819,22.724984,1755,0.072558,0.141426,0.08321708547008547,0.008497126035644603,0.078836,0.080993,0.085133,1755,13.389558,30.222138,20.109188177207976,3.577058222179296,17.764101,19.566718,21.8784665,1755,0.101055,1.087579,0.25626595384615386,0.10569013759695017,0.198692,0.23003,0.2817395,1755,0.435957,0.727778,0.49505575612535613,0.03162492294907336,0.4731745,0.488239,0.5104315,1755,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.036853,1.82536,0.110843499,0.12655623854777762,0.05744175,0.0956055,0.126181,1000,0.124518,0.276496,0.144767007,0.018966359496248905,0.129718,0.1389445,0.157161,1000,0.001818,0.024219,0.00263727325,0.0014200709931494403,0.002006,0.002139,0.003004,4000,0.004036,0.030998,0.00520325175,0.0017549349214064714,0.004273,0.004575,0.0056935,4000,0.000352,0.018955,0.0007297190000000001,0.0008317526225020273,0.000442,0.000494,0.000898,4000,0.000352,0.018955,0.0007297190000000001,0.0008317526225020273,0.000442,0.000494,0.000898,4000,0.019889,0.057786,0.023168131,0.004024720568417017,0.02056275,0.0216205,0.02492125,1000,0.025284,0.066824,0.027827136,0.004330146968580166,0.02583,0.026212,0.02884125,1000,0.421514,2.458167,0.531028185,0.15659289133651877,0.45369975,0.489101,0.581109,1000,0.087724,0.219612,0.103917543,0.017698037832204763,0.090613,0.0958955,0.1136055,1000,0.025202,0.074924,0.029518394,0.005649191088533296,0.0260565,0.0271295,0.0316315,1000,0.0397,0.14201,0.047705841,0.01034683722853119,0.04070375,0.0434335,0.052573,1000,0.00531,0.040106,0.0066383860000000005,0.002268983896594244,0.00556575,0.005728,0.007078,1000,0.016118,0.055494,0.019503991999999998,0.004013664373852901,0.01688275,0.017893,0.0208005,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.03582,1.813668,0.108947083,0.12391910270713757,0.05333625,0.094336,0.126413,1000,0.125014,0.252213,0.141653575,0.017012758708932978,0.12826575,0.133316,0.15320225,1000,0.001836,0.021914,0.00251918875,0.0011249958836028857,0.001978,0.002088,0.00299625,4000,0.003989,0.084607,0.0051739455,0.0020380654620325007,0.00425,0.0044335,0.00573,4000,0.000351,0.021625,0.00072807825,0.000784627881945918,0.000458,0.000515,0.0008595,4000,0.000351,0.021625,0.00072807825,0.000784627881945918,0.000458,0.000515,0.0008595,4000,0.01985,0.061167,0.022781825000000002,0.0036714712329494015,0.02043675,0.020769,0.02456125,1000,0.025302,0.076637,0.02807416,0.0046233264315209245,0.02595075,0.0263135,0.029173,1000,0.419594,2.423066,0.524221128,0.1535817267885461,0.4491595,0.4850205,0.57915525,1000,0.087028,0.203458,0.102602901,0.016335182291581537,0.09035525,0.0944965,0.11438475,1000,0.02514,0.06907,0.029286382,0.005301775950950398,0.02596275,0.0268155,0.03202475,1000,0.03954,0.102627,0.04689309,0.009343396035377073,0.04056575,0.0419325,0.05226025,1000,0.005339,0.022774,0.0066577730000000005,0.0017569177452205892,0.0056145,0.0060085,0.007056,1000,0.016113,0.055687,0.019208691,0.003850917664079433,0.01683,0.017329,0.020782,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.037195,1.727683,0.08040541899999999,0.11776417691597663,0.05293375,0.0671935,0.08044875,1000,0.124815,0.303744,0.13571777100000001,0.01483581394203092,0.12828975,0.1310705,0.13463175,1000,0.001837,0.023939,0.002429311,0.0013141651352775265,0.001965,0.002053,0.002901,4000,0.004004,0.025483,0.00487705025,0.001480214338271636,0.004239,0.004349,0.00563,4000,0.00035,0.093663,0.0007582905,0.0017014983664728422,0.000453,0.00051,0.000912,4000,0.00035,0.093663,0.0007582905,0.0017014983664728422,0.000453,0.00051,0.000912,4000,0.019988,0.057112,0.021608510999999997,0.003879341715275802,0.0204795,0.02067,0.0209535,1000,0.0253,0.08015,0.026898737000000002,0.004394313591202954,0.025789,0.025958,0.02617225,1000,0.435085,2.360055,0.501152939,0.14074939195848513,0.45961275,0.483423,0.5057925,1000,0.098046,0.227029,0.12302173200000001,0.0176131170619563,0.11044175,0.1205245,0.12795525,1000,0.024884,0.062805,0.027324931,0.0050879434833967065,0.02561475,0.025959,0.026399,1000,0.044457,0.130446,0.048487290999999995,0.007882230467724159,0.045689,0.0461375,0.04709825,1000,0.008967,0.100182,0.028229963,0.010845921724760463,0.0193695,0.0290355,0.0336455,1000,0.016168,0.091265,0.018462013,0.0043297028557201245,0.01689375,0.017173,0.01804425,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,-0.003712,1.595315,0.083134337,0.1014635643268234,0.07434175,0.0752965,0.077276,1000,0.039932,0.13369,0.053951384,0.009153632626806912,0.0508625,0.051327,0.05581875,1000,0.002857,0.021622,0.004251522,0.0014584831564046258,0.00404775,0.0041325,0.004262,1000,0.005715,0.022976,0.007744078000000001,0.0017757618911092782,0.00738575,0.007492,0.0077095,1000,0.00073,0.017413,0.001059707,0.0009474794241306773,0.000921,0.0009575,0.000993,1000,0.00073,0.017413,0.001059707,0.0009474794241306773,0.000921,0.0009575,0.000993,1000,0.005944,0.032269,0.009536489,0.0023328352213302594,0.009104,0.0092985,0.00966025,1000,0.009843,0.036144,0.012648353,0.002359184439248233,0.012248,0.012406,0.012571,1000,0.139266,1.866039,0.243133592,0.1124631982976633,0.23063275,0.2341375,0.24897425,1000,0.011852,0.100676,0.038529482000000004,0.010914864047054182,0.03850975,0.0389355,0.04160075,1000,0.001983,0.023674,0.0030957510000000003,0.0012668205591160099,0.0029,0.00299,0.00312225,1000,0.006759,0.050004,0.016813662,0.004458541067182851,0.016532,0.0167655,0.01764725,1000,0.001544,0.077541,0.016430497999999998,0.007050951179947001,0.01708975,0.017318,0.01764025,1000,0.000936,0.021049,0.001410084,0.000952212699423821,0.001241,0.0012945,0.00136,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FrictionContact_LCP_without_friction,0.039976,1.485332,0.098192414,0.09975352794144476,0.07477425,0.102937,0.10462275,1000,0.040104,0.108226,0.053443464,0.008938439226436794,0.0510145,0.0515475,0.0523585,1000,0.002745,0.021578,0.004153366,0.0014301953775774832,0.003971,0.0040585,0.004142,1000,0.005666,0.033532,0.007730875,0.002172079551806287,0.007347,0.007491,0.007621,1000,0.000754,0.015937,0.001056176,0.0008259621668236384,0.000932,0.000971,0.001008,1000,0.000754,0.015937,0.001056176,0.0008259621668236384,0.000932,0.000971,0.001008,1000,0.006009,0.032181,0.009390111999999999,0.0025202513683075345,0.009111,0.009245,0.009364,1000,0.009909,0.038164,0.012577168,0.0024771563317190944,0.012124,0.012264,0.012418,1000,0.140234,1.742926,0.246654439,0.10992233003455795,0.218864,0.25159,0.25499775,1000,0.011958,0.12207,0.028639975999999998,0.008137907299018834,0.0255845,0.029642,0.030123,1000,0.002011,0.023038,0.0031261239999999997,0.001452300900854916,0.002907,0.002982,0.00306725,1000,0.006766,0.066305,0.015734502,0.004754267826700133,0.01496375,0.015666,0.01601775,1000,0.001599,0.039156,0.007644633,0.0035085856754981768,0.005872,0.0089875,0.009287,1000,0.000929,0.016451,0.0013684259999999998,0.0008979794677630443,0.001181,0.001261,0.001326,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.008461,0.149685,0.010126571,0.00891708223674981,0.008798,0.0089245,0.009222,1000,1.09573,1.288373,1.140903191,0.041618417588184665,1.1014425,1.1323125,1.16755375,1000,0.066881,0.153218,0.069285201,0.006436333205063191,0.06723575,0.0674265,0.06921625,1000,0.037227,0.07817,0.040572419,0.005055480874401465,0.037718,0.038134,0.04074175,1000,0.000648,0.01285,0.0009553099999999999,0.0007725756609549644,0.000791,0.000831,0.00087025,1000,0.981309,1.160907,1.022182967,0.037515693082760856,0.9870845,1.011589,1.04824175,1000,0.002708,0.012505,0.002992349,0.00042351256557391547,0.00286675,0.002949,0.00304525,1000,0.008136,0.0284,0.008526721,0.0009430992689844481,0.00832575,0.008404,0.008504,1000,1.128816,1.489061,1.176552017,0.04570667234116603,1.135739,1.16729,1.2033645,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000286,0.003211,0.000355737,0.00012961807679100933,0.000325,0.000342,0.000359,1000,2.506393,5.099228,2.601811961,0.20138608735355945,2.55265125,2.571155,2.599268,1000,0.051548,0.134926,0.054088569,0.006905980287492791,0.0520965,0.052368,0.052702,1000,0.044078,0.11053,0.046337167,0.006716283724583931,0.044461,0.0446225,0.04483225,1000,0.687865,2.144961,0.7221320450000001,0.10158795353467348,0.69429175,0.7148565,0.72497225,1000,1.704236,2.822964,1.771543226,0.1173778979349133,1.73532225,1.7506385,1.774202,1000,0.001114,0.021614,0.0014201020000000001,0.0011252239046500925,0.001215,0.001273,0.001436,1000,0.005946,0.023892,0.00660807,0.0013951795300605582,0.006252,0.006373,0.00652725,1000,2.522921,5.149077,2.620146695,0.20388854796507325,2.56999,2.5891355,2.617702,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000285,0.000829,0.000357841,5.086794392345734e-05,0.00032875,0.000351,0.000376,1000,2.611341,5.209598,2.704512546,0.1970057663098009,2.655919,2.6787715,2.71023,1000,0.052246,0.107926,0.055862616999999996,0.006196809344195688,0.05311875,0.054158,0.05622525,1000,0.043895,0.085322,0.046417361,0.0048144162922081225,0.04460275,0.0449185,0.04704425,1000,0.689025,2.084736,0.7186577900000001,0.09370057821442673,0.6965205,0.702299,0.72707975,1000,1.812543,2.976103,1.875754396,0.11739859671712087,1.84233975,1.8530775,1.8812145,1000,0.001138,0.012807,0.0013525170000000001,0.0004108955119139171,0.001235,0.001305,0.00139125,1000,0.00596,0.025228,0.006905641,0.0015660253427448102,0.00640175,0.006609,0.00698325,1000,2.627817,5.26333,2.7232897549999997,0.1996582497420304,2.67363225,2.697928,2.7303825,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
