SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.34376,0.534794,0.364672831372549,0.02352126874843852,0.349372,0.359223,0.370678,255,11.707557,14.209191,12.336733419607842,0.39946388147525785,12.146066,12.272103,12.4423875,255,0.284831,0.430729,0.301731831372549,0.021747830931891875,0.2873345,0.29448,0.306568,255,0.139322,0.263403,0.15547606274509806,0.021972188017725023,0.140804,0.143166,0.172667,255,3.550924,4.287771,3.658578039215686,0.10762240110591467,3.5918495,3.633417,3.683652,255,3.550924,4.287771,3.658578039215686,0.10762240110591467,3.5918495,3.633417,3.683652,255,0.025506,0.054863,0.02855784705882353,0.0034154450087772676,0.026663,0.027171,0.0299295,255,0.058224,0.099408,0.061674572549019605,0.004028339336918389,0.059787,0.060358,0.06282,255,39.935484,56.321372,47.64476699215686,2.3153091974053868,47.579175,47.940838,48.252732,255,27.205692,42.56482,34.7538030117647,2.156171296673621,35.052574,35.222358,35.369198,255,0.020331,0.049993,0.022505454901960785,0.003380070650863516,0.021344,0.021814,0.0223735,255,21.808276,28.505274,22.125316301960783,0.8214322664729726,21.8844855,21.925469,22.041549,255,4.877813,16.212934,12.183930192156863,1.866213080986881,12.720133,12.843014,12.945001,255,0.398553,0.528084,0.41930993333333333,0.02302096540435472,0.4051975,0.410567,0.4197765,255,0.0,12.0,2.4,4.8,0.0,0.0,0.0,5
SofaScene,8.706455,18.198067,9.394780193732194,1.0935170006267212,8.900997,9.137653,9.3073815,1755,8.397527,17.924968,9.07044893960114,1.086076721615108,8.5805195,8.824029,8.9714025,1755,0.004734,0.727749,0.17638468205128205,0.17260672723474813,0.02870025,0.118587,0.28209475,10530,0.006052,0.363882,0.08562725821462487,0.0834364182600374,0.01496125,0.0634115,0.14515075,10530,0.034607,7.336611,1.207331807977208,1.2752858437002432,0.09572425,0.8842025,1.73348,10530,0.034607,7.336611,1.207331807977208,1.2752858437002432,0.09572425,0.8842025,1.73348,10530,0.095058,0.216073,0.1128323225071225,0.01575332525178674,0.1014285,0.110018,0.1180055,1755,0.146644,0.267882,0.16344787236467237,0.015785041183232904,0.153559,0.159066,0.163543,1755,23.85572,50.724814,31.137496724216525,3.9899308355657928,28.381514,30.425948,33.280897,1755,14.442835,40.554678,21.188874237037037,3.6660791043735124,18.700389,20.495112,23.0290535,1755,0.073249,0.179559,0.088016449002849,0.012688942749107757,0.0807555,0.084378,0.08956,1755,13.66005,38.581493,20.318505803988607,3.5676597556925684,17.8603075,19.670901,22.146386,1755,0.102206,1.017498,0.2678787094017094,0.11130510008415116,0.203786,0.240609,0.297331,1755,0.434388,0.926185,0.5121360535612536,0.0476007573735442,0.48482,0.503304,0.5289445,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.040971,1.661922,0.11137083199999999,0.12016678222483024,0.05519825,0.095375,0.1270445,1000,0.126057,0.283121,0.14639637400000002,0.020272757119250553,0.130239,0.138428,0.15905,1000,0.00192,0.025314,0.0026877197500000003,0.001365217001143019,0.002107,0.002248,0.003053,4000,0.004014,0.025949,0.0053619395,0.002057653246380388,0.004291,0.0045075,0.005809,4000,0.000382,0.018121,0.00076587325,0.0008432405458612847,0.00048,0.0005275,0.0009025,4000,0.000382,0.018121,0.00076587325,0.0008432405458612847,0.00048,0.0005275,0.0009025,4000,0.019963,0.054944,0.02347018,0.004652640621582544,0.02071675,0.021131,0.0255035,1000,0.025706,0.072927,0.029225868999999998,0.005627389489793558,0.02647,0.027006,0.029905,1000,0.421883,2.287317,0.539240174,0.1520929176654052,0.456826,0.5020425,0.59411675,1000,0.087744,0.239554,0.10613713899999999,0.019625401571883284,0.09105375,0.0972395,0.115906,1000,0.025163,0.070085,0.030306958,0.006788121404942313,0.0261865,0.02692,0.032466,1000,0.039681,0.133236,0.048346412,0.010765504287782158,0.04073325,0.043897,0.05321625,1000,0.005586,0.026009,0.007042445,0.002515721166380527,0.005799,0.0059765,0.00737125,1000,0.016297,0.161641,0.019890052,0.006073997042417456,0.01705375,0.0178545,0.021096,1000,0.0,6.0,1.44,2.3268863315598383,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.035611,1.724209,0.107121555,0.11949826456287545,0.053208,0.0938415,0.124029,1000,0.124626,0.232997,0.143760968,0.017491279291491975,0.130559,0.1365145,0.1549675,1000,0.001889,0.021533,0.0026066102500000004,0.00104479682060434,0.002074,0.002228,0.003047,4000,0.003985,0.025021,0.00525571525,0.0015965352617989485,0.004359,0.0046035,0.00577325,4000,0.000378,0.015831,0.000771289,0.0007628769304278378,0.000506,0.000558,0.000888,4000,0.000378,0.015831,0.000771289,0.0007628769304278378,0.000506,0.000558,0.000888,4000,0.020154,0.069982,0.023089202,0.004179999559951651,0.020676,0.021016,0.02486625,1000,0.025705,0.056055,0.028110546,0.0033909838041317744,0.026298,0.0266375,0.02921025,1000,0.419597,2.329367,0.5237321979999999,0.14889406999069102,0.44497525,0.4870345,0.576598,1000,0.087654,0.206729,0.102877559,0.01633205085861904,0.0905865,0.095017,0.1135725,1000,0.025138,0.073563,0.029108494,0.004954536655426419,0.02604275,0.0268615,0.031663,1000,0.039641,0.125919,0.046751138,0.009021849239759884,0.04047225,0.0433195,0.05185875,1000,0.005359,0.023636,0.006760937,0.001894298246061322,0.005646,0.0060495,0.00722725,1000,0.016325,0.053464,0.019695731,0.004177830922935848,0.01709175,0.0177585,0.02101175,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.037472,1.644531,0.078879471,0.11360233670748661,0.05278075,0.0669625,0.0788515,1000,0.124989,0.241667,0.134331784,0.01173219206854985,0.12825975,0.1314015,0.13405625,1000,0.001908,0.035841,0.0024737062500000003,0.0012209631161345282,0.002051,0.002128,0.00291825,4000,0.003936,0.026127,0.0048089032500000005,0.001316370396730889,0.004211,0.00434,0.0055775,4000,0.000382,0.010682,0.00074712475,0.0006690021242024852,0.000476,0.000526,0.000954,4000,0.000382,0.010682,0.00074712475,0.0006690021242024852,0.000476,0.000526,0.000954,4000,0.020179,0.057605,0.021538152999999997,0.002882440815279821,0.020706,0.020933,0.0211775,1000,0.025761,0.060844,0.027129918000000003,0.003000726899148938,0.02621675,0.0263925,0.02669525,1000,0.436983,2.276076,0.496677402,0.13400762607275155,0.45326875,0.4814215,0.50207425,1000,0.099099,0.209543,0.122790685,0.016375495460955524,0.110468,0.1209455,0.1280175,1000,0.024968,0.05747,0.027041374,0.0039033972946811344,0.02571475,0.0260625,0.02649925,1000,0.045042,0.105768,0.048472567,0.007032485183170385,0.045844,0.0462875,0.047322,1000,0.009159,0.07844,0.027943464,0.01003069889163781,0.019589,0.0290165,0.0337055,1000,0.016617,0.052672,0.018798993,0.003668694206519671,0.01731875,0.0175595,0.018088,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036127,1.501661,0.08211476200000001,0.09616994108203122,0.0742445,0.0747465,0.077394,1000,0.040606,0.170127,0.053527944,0.009582850822738713,0.05132475,0.051855,0.0532355,1000,0.002926,0.038496,0.004277993999999999,0.0018476706843926494,0.004073,0.004141,0.004209,1000,0.005679,0.027634,0.007685723,0.001793770456404888,0.00748075,0.0075735,0.007687,1000,0.000787,0.016051,0.001066037,0.0006760720831619953,0.000962,0.000997,0.001031,1000,0.000787,0.016051,0.001066037,0.0006760720831619953,0.000962,0.000997,0.001031,1000,0.006139,0.03878,0.009498245,0.0022875678190984856,0.0093135,0.00946,0.00959425,1000,0.009835,0.042103,0.01249558,0.0021423250989520705,0.01218275,0.012321,0.01246975,1000,0.139917,1.798213,0.23986633,0.1073186774831534,0.23130525,0.2336025,0.239179,1000,0.011943,0.113935,0.038151602,0.010472141741764003,0.0386305,0.039066,0.04027525,1000,0.001932,0.020192,0.0029305900000000003,0.0009324766977785558,0.002793,0.0028855,0.0029665,1000,0.006726,0.045551,0.016902215,0.004672793256155787,0.01683075,0.016991,0.01721125,1000,0.001621,0.085205,0.016108015,0.0064124502952284165,0.01701975,0.0173685,0.01759425,1000,0.00092,0.018892,0.0014380530000000001,0.0008875455290806212,0.00129,0.0013305,0.001375,1000,0.0,13.3,2.9,5.22072791859526,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.039833,1.480393,0.096036261,0.0955371060182947,0.07432675,0.1016545,0.10384725,1000,0.040286,0.107331,0.052118221,0.007325394803569225,0.0506655,0.051156,0.05184375,1000,0.002874,0.018803,0.00414711,0.0012247864164416586,0.004003,0.004082,0.00415125,1000,0.005736,0.032473,0.007534025,0.0016445060572630918,0.00737275,0.0074715,0.00755725,1000,0.000778,0.006037,0.0010256669999999999,0.00041008862714174356,0.000946,0.000977,0.00100525,1000,0.000778,0.006037,0.0010256669999999999,0.00041008862714174356,0.000946,0.000977,0.00100525,1000,0.006015,0.032755,0.009385267,0.0021126273830732664,0.00917975,0.009331,0.009488,1000,0.009967,0.034927,0.012355384,0.0017953372208429257,0.0121125,0.012246,0.0124,1000,0.140086,1.71305,0.241591723,0.10566150633184382,0.21755,0.2480045,0.2532795,1000,0.011914,0.077191,0.028158828,0.007443567600446442,0.025544,0.029358,0.030211,1000,0.001946,0.020529,0.0029826709999999997,0.0012015345990686243,0.00281975,0.002889,0.002969,1000,0.006866,0.050336,0.015672713,0.004317801585370848,0.01511575,0.015816,0.016138,1000,0.001599,0.043217,0.0073780420000000005,0.0030675141088894768,0.0057745,0.008795,0.0090815,1000,0.000922,0.013024,0.001362896,0.0007115548574663798,0.00121075,0.001273,0.001333,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.00854,0.131269,0.010312452,0.008382561529848499,0.008924,0.009067,0.00947525,1000,1.114191,1.456247,1.189193814,0.0822822563523838,1.124491,1.156797,1.21141375,1000,0.066917,0.115664,0.069830677,0.006415405181176868,0.06727375,0.0675935,0.06950825,1000,0.03769,0.074246,0.039851082,0.0040153396478101325,0.03827,0.038591,0.040171,1000,0.000696,0.009564,0.00086951,0.0004443542504578976,0.000796,0.000829,0.000867,1000,1.000771,1.321474,1.0701978829999998,0.07959170554973245,1.00922075,1.036356,1.08693525,1000,0.002584,0.012937,0.002996866,0.0008101787938745373,0.002784,0.002834,0.002906,1000,0.011189,0.032897,0.011847223,0.0017999333546748334,0.0114375,0.011534,0.01166025,1000,1.149704,1.605586,1.2284738149999999,0.08407265165659267,1.1632195,1.19532,1.250413,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000274,0.009827,0.000342294,0.00030543818943282126,0.000306,0.000321,0.000341,1000,2.507872,4.932096,2.5824292969999996,0.18454417250698216,2.524202,2.5544115,2.58490975,1000,0.0508,0.103042,0.054124753,0.005273942178863076,0.0525375,0.0528725,0.05340925,1000,0.043108,0.097494,0.045366417,0.004180543853508895,0.04408775,0.04446,0.04482225,1000,0.687414,2.095024,0.71231712,0.096539825739389,0.69346,0.6966965,0.716518,1000,1.71122,2.724828,1.762949626,0.10555485034095839,1.720735,1.7427,1.7657755,1000,0.001177,0.010995,0.0013980589999999999,0.0005432540432606094,0.001301,0.001342,0.00139425,1000,0.011481,0.029934,0.012353901,0.00166336845443185,0.01185875,0.0120625,0.012257,1000,2.530093,4.986884,2.6065316060000003,0.1867206752106921,2.5477065,2.5778285,2.608833,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,7.2,1.6800000000000002,2.7988569095257443,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000275,0.000931,0.00033729399999999997,6.345090672322974e-05,0.000309,0.000326,0.000344,1000,2.615158,4.9879,2.693357444,0.182951219842544,2.635732,2.664457,2.69609675,1000,0.051285,0.109003,0.054061463000000004,0.005349206479528622,0.0525665,0.052809,0.0530935,1000,0.042658,0.089862,0.045741396000000004,0.00506665119099233,0.044299,0.044578,0.0448625,1000,0.688761,1.923574,0.715117267,0.08628162464281552,0.696129,0.7015575,0.71868275,1000,1.815624,2.929052,1.870434415,0.11037437630616437,1.8264185,1.8481595,1.87184525,1000,0.001195,0.010095,0.001425522,0.00040077090153353196,0.001326,0.001368,0.001419,1000,0.011508,0.039719,0.012478444,0.0019015459502373325,0.01194475,0.0121075,0.0123255,1000,2.637942,5.042972,2.71767981,0.18543864713775796,2.65962975,2.687803,2.72060225,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
