SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.343798,0.439776,0.3641647960784314,0.017740669935334866,0.3501005,0.357826,0.375495,255,11.776488,13.745242,12.384631207843137,0.34675485367558506,12.2072575,12.339325,12.5825945,255,0.282756,0.439927,0.30010125098039214,0.019682925443327705,0.2864375,0.294503,0.304471,255,0.136835,0.207927,0.14950557647058824,0.01681398126866376,0.138107,0.139513,0.160513,255,3.560845,4.507775,3.701133035294118,0.10191764883286095,3.6366645,3.686197,3.7394785,255,3.560845,4.507775,3.701133035294118,0.10191764883286095,3.6366645,3.686197,3.7394785,255,0.024934,0.038976,0.02760869019607843,0.002428289986983489,0.026263,0.026754,0.028315,255,0.05034,0.086058,0.05371536862745098,0.004308113958543817,0.0518685,0.052494,0.0543465,255,40.004307,59.138712,48.308704266666666,2.5577663326089803,47.692178,48.032067,48.457895,255,27.142337,45.73083,35.37367363529412,2.453575114938832,35.115552,35.221803,35.3791545,255,0.020186,0.042715,0.02206553333333333,0.002191261808099157,0.0212015,0.021638,0.0221215,255,21.778721,29.096448,22.75704434509804,2.0322066722967627,21.8709845,21.925449,22.0066785,255,4.874284,16.123041,12.169503298039217,1.8083255933703708,12.7642385,12.852667,12.9426865,255,0.401102,0.530396,0.42319323137254905,0.02396681956530483,0.407688,0.413497,0.4302055,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.649943,18.170485,9.398834407977208,0.9968141223066329,8.989086,9.211869,9.375252,1755,8.37427,17.808119,9.090440875783475,0.9895891053014262,8.6848595,8.904162,9.0600985,1755,0.004862,0.9961,0.1807109118708452,0.17653732362409763,0.02935875,0.1197865,0.285933,10530,0.006264,0.352055,0.0924475792022792,0.0886046785938342,0.0160075,0.059784,0.15583725,10530,0.037155,8.828114,1.2228348169990504,1.278173816199268,0.1015325,0.899504,1.78997575,10530,0.037155,8.828114,1.2228348169990504,1.278173816199268,0.1015325,0.899504,1.78997575,10530,0.094277,0.231697,0.11756328262108262,0.016209719688453746,0.109349,0.115068,0.120117,1755,0.127192,0.233731,0.1447808148148148,0.013925677742519337,0.1379895,0.140941,0.1448815,1755,23.73924,54.356571,31.21563389287749,4.1021413741099195,28.309856,30.537414,33.181877,1755,14.422433,39.774245,21.196194406267807,3.8198924528900644,18.485633,20.690153,23.012109,1755,0.074619,0.166719,0.0900613829059829,0.012679920834696908,0.0832035,0.086919,0.0906655,1755,13.588885,38.621785,20.309719088888887,3.7252212866812444,17.6761235,19.79139,22.1091755,1755,0.106124,0.833302,0.28516429686609684,0.11117418715189474,0.2191685,0.2583,0.3198715,1755,0.433327,0.919452,0.5089566501424502,0.04429386109010618,0.4820875,0.50159,0.527794,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.037462,1.710719,0.10603973900000001,0.11983920122633861,0.05339025,0.0922825,0.12262725,1000,0.192292,0.314654,0.213806867,0.021313047413387673,0.19740175,0.2026195,0.22870025,1000,0.001883,0.022966,0.00264675375,0.001134570943401486,0.002096,0.0022105,0.003042,4000,0.004237,0.022328,0.00525601575,0.0013716906983726096,0.004466,0.004631,0.00583225,4000,0.014207,0.055218,0.01732370575,0.0030845059630623083,0.0153155,0.016152,0.018518,4000,0.014207,0.055218,0.01732370575,0.0030845059630623083,0.0153155,0.016152,0.018518,4000,0.020282,0.049968,0.022996245999999998,0.0036452138315171577,0.020736,0.021019,0.024922,1000,0.025586,0.062957,0.028288784,0.0035541601468341297,0.026264,0.0268005,0.029625,1000,0.496798,2.415723,0.6021937169999999,0.15224754188509879,0.525652,0.560563,0.665191,1000,0.08969,0.235998,0.10469919400000001,0.016476491498081863,0.09263825,0.0964675,0.11568725,1000,0.025114,0.067028,0.029058743999999997,0.005140406499340689,0.02596175,0.026691,0.03141625,1000,0.040756,0.185576,0.048017589,0.009684591357929307,0.041845,0.044136,0.053764,1000,0.006131,0.025703,0.007520656,0.0018812364273700422,0.00638675,0.00658,0.00804975,1000,0.016469,0.052485,0.019546118999999997,0.0037624197996554026,0.01710125,0.017773,0.0210115,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.033927,1.673372,0.106847795,0.11781733094586286,0.05286575,0.093547,0.12424525,1000,0.191834,0.42774,0.216959968,0.024774334325809364,0.19882025,0.205497,0.23214775,1000,0.001933,0.022033,0.00269684825,0.0011278390296145713,0.002115,0.002232,0.003064,4000,0.004138,0.080467,0.005357,0.001967503513465732,0.004476,0.004665,0.005911,4000,0.01448,0.085566,0.01762828325,0.0035372163546381267,0.01541575,0.016331,0.018758,4000,0.01448,0.085566,0.01762828325,0.0035372163546381267,0.01541575,0.016331,0.018758,4000,0.020433,0.060413,0.023235395,0.0041763661282237935,0.02084,0.0210965,0.02493025,1000,0.025575,0.087813,0.028569119,0.004627949317012775,0.02632625,0.026749,0.02970825,1000,0.498919,2.444493,0.610072512,0.155268994003883,0.529109,0.5657395,0.67135825,1000,0.09061,0.224407,0.106279357,0.017375782528264765,0.09334175,0.097586,0.117102,1000,0.025344,0.068973,0.029524942,0.005617146041953689,0.02608775,0.026887,0.03185725,1000,0.04116,0.124526,0.048745537,0.00953285894591077,0.04212125,0.044623,0.054259,1000,0.006104,0.025633,0.00769084,0.0020593227533342124,0.00638775,0.0069405,0.00823125,1000,0.016744,0.051522,0.019777786,0.0037488667711995318,0.017297,0.0181415,0.02116775,1000,0.0,8.4,1.6800000000000002,3.3600000000000003,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.036765,1.770155,0.078197527,0.11809830046492317,0.05201175,0.0658545,0.0782975,1000,0.193881,0.385025,0.207183237,0.01585153696058622,0.19902025,0.202333,0.207309,1000,0.001946,0.018344,0.00249914575,0.0009677169113469794,0.00209,0.002167,0.00296,4000,0.004192,0.027018,0.005084117500000001,0.0015378336518277098,0.004426,0.004561,0.005772,4000,0.014493,0.051856,0.016890871,0.0031594549544753762,0.01518975,0.015846,0.01844425,4000,0.014493,0.051856,0.016890871,0.0031594549544753762,0.01518975,0.015846,0.01844425,4000,0.020455,0.074474,0.021737233,0.003416277555572878,0.020911,0.0210505,0.021239,1000,0.02547,0.064266,0.027067641,0.003551573720777734,0.026066,0.0262515,0.02648525,1000,0.519063,2.83204,0.580939971,0.1458699373434299,0.53470225,0.5623845,0.58605325,1000,0.102086,0.304369,0.126182553,0.018627151290500406,0.114034,0.1236405,0.13047425,1000,0.025201,0.069878,0.027547996999999998,0.004577653518888362,0.02606,0.0263925,0.02681725,1000,0.046463,0.152509,0.050351401,0.008262120289865005,0.04750625,0.047939,0.04890925,1000,0.009252,0.07857,0.028621931,0.009970596014694359,0.020332,0.0297685,0.034428,1000,0.016939,0.103169,0.019123607,0.004561726795913034,0.01753375,0.0177615,0.01835725,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040138,1.552776,0.080897264,0.09763542804461044,0.073161,0.0744775,0.07707725,1000,0.0598,0.138554,0.07847319400000001,0.009686610489039188,0.07665375,0.077133,0.08069125,1000,0.002888,0.021846,0.004183436,0.001399198892904079,0.004059,0.004117,0.00417,1000,0.005804,0.025993,0.00762671,0.0016167245819557518,0.00749675,0.0075715,0.007647,1000,0.018447,0.064318,0.025229315,0.004226732968591108,0.024826,0.025007,0.0253925,1000,0.018447,0.064318,0.025229315,0.004226732968591108,0.024826,0.025007,0.0253925,1000,0.006267,0.039966,0.009490234,0.002174866877591362,0.00927375,0.0094175,0.009661,1000,0.009672,0.032389,0.012118739,0.0018024389600979557,0.01192075,0.0120295,0.01211825,1000,0.163359,1.815958,0.26789226,0.10746588769626574,0.260901,0.2635495,0.26821525,1000,0.012663,0.092413,0.039180415999999996,0.010624108060488843,0.039462,0.0401995,0.04235575,1000,0.001925,0.023962,0.0029757530000000003,0.0010775762645822335,0.002859,0.002935,0.00301525,1000,0.007283,0.057805,0.016848035,0.0041536837428690935,0.01713675,0.017321,0.01749825,1000,0.001908,0.065354,0.016818915,0.006642431058714498,0.017496,0.0178275,0.01812425,1000,0.000989,0.016534,0.001332935,0.0006138953988873024,0.00125375,0.001287,0.001326,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040114,1.625626,0.096350524,0.09723028350087963,0.0740285,0.099364,0.10347275,1000,0.05968,0.138749,0.07978308,0.011467005273636182,0.076629,0.0773145,0.08091775,1000,0.002919,0.023507,0.004222259,0.0013555025761388282,0.004088,0.00415,0.00421125,1000,0.005971,0.042291,0.007991637,0.00252740057039461,0.007621,0.007724,0.00782625,1000,0.018413,0.060042,0.025503777,0.004605901123479639,0.02479375,0.0250575,0.025472,1000,0.018413,0.060042,0.025503777,0.004605901123479639,0.02479375,0.0250575,0.025472,1000,0.006274,0.03414,0.009432071,0.0021168125070395345,0.009242,0.009367,0.009608,1000,0.009699,0.045362,0.012298349,0.0026727888994828976,0.011892,0.012002,0.012106,1000,0.162583,1.888486,0.27604425099999996,0.10785099621629834,0.24911675,0.2802805,0.2871335,1000,0.012844,0.060299,0.029438232,0.007324724885494062,0.02664775,0.0305495,0.0312385,1000,0.002025,0.018261,0.003029855,0.0011477068650029938,0.00288975,0.002962,0.00304,1000,0.007194,0.044848,0.016040786,0.00425868658769391,0.0155965,0.016316,0.01656425,1000,0.00191,0.030657,0.007785732,0.0031275394037767134,0.00624825,0.0092665,0.009556,1000,0.001005,0.016797,0.001341189,0.0008123207945627146,0.00120875,0.001262,0.001317,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.008668,0.126751,0.010355389,0.008205118420576207,0.00898375,0.0091355,0.00956625,1000,1.118362,1.236658,1.146550865,0.02096394176086108,1.130609,1.1440615,1.1559665,1000,0.066803,0.1189,0.069006791,0.006098567564052972,0.06723175,0.067498,0.06780125,1000,0.037867,0.081831,0.039046822,0.0036071189966947305,0.038235,0.038363,0.038535,1000,0.014632,0.04502,0.015804131,0.0025209509772780195,0.0150815,0.015259,0.01551525,1000,0.987749,1.093178,1.0141985470000001,0.01755487109185912,1.00019425,1.012975,1.02428875,1000,0.002857,0.013446,0.003214914,0.0006378571349479442,0.00302575,0.003086,0.00314825,1000,0.010922,0.032645,0.011623513,0.0016716622385610676,0.01120375,0.011301,0.01146575,1000,1.156387,1.415766,1.187999851,0.026604228207200428,1.170752,1.1838515,1.1967275,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,4.8,1.44,1.9199999999999997,0.0,0.0,2.4,5
FEMBAR_EigenSimplicialLDLT,0.000293,0.001391,0.00037092099999999997,9.45125005435789e-05,0.000334,0.00035,0.000369,1000,2.565062,5.072453,2.664844762,0.21227878828897,2.596653,2.6244695,2.66173725,1000,0.050934,0.127215,0.054887933,0.007921589643910558,0.05208275,0.052421,0.05300625,1000,0.042686,0.092491,0.046192236,0.00603236161352285,0.04420975,0.044539,0.0449815,1000,0.688461,2.070992,0.7183200529999999,0.09783570558342282,0.69527975,0.701047,0.720484,1000,1.768497,3.449368,1.837344101,0.13239311476636087,1.7828995,1.812209,1.8410395,1000,0.001296,0.015486,0.001579615,0.0008877266103790063,0.00139375,0.0014325,0.001491,1000,0.011663,0.039104,0.012863196,0.002536788817301117,0.0120635,0.01221,0.01243925,1000,2.590261,5.130483,2.691691198,0.2159435697136981,2.6221215,2.6502195,2.6876,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000291,0.003126,0.000367463,0.00010023505689627757,0.000338,0.000359,0.00038,1000,2.609727,5.041363,2.693118121,0.18291114663771688,2.63581525,2.667308,2.7040065,1000,0.052106,0.10009,0.054968597,0.005359468384699269,0.052704,0.0530315,0.05650125,1000,0.043993,0.090166,0.046273767,0.004686861857865132,0.0445905,0.045005,0.04687825,1000,0.688721,2.029509,0.7176416330000001,0.08859981123638082,0.6945335,0.703037,0.721877,1000,1.812695,2.899732,1.866523155,0.10940408119005879,1.822973,1.8475525,1.8745045,1000,0.001264,0.011756,0.001480229,0.0005428124064158815,0.001369,0.001415,0.001494,1000,0.011682,0.035159,0.012513083000000001,0.002044315440951078,0.01202875,0.0121455,0.01230925,1000,2.634582,5.09662,2.7191981120000004,0.18531888723782433,2.66124075,2.6930835,2.72995375,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,4.9,1.2200000000000002,1.8977881862842334,0.0,0.0,1.2,5
