SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.3322,0.475872,0.3436576549019608,0.014766062490490285,0.3362975,0.340337,0.344777,255,11.927038,15.665293,12.352140698039214,0.4163361019695306,12.074297,12.372051,12.4246,255,0.281644,0.552984,0.29076462352941174,0.019640390337347373,0.28402,0.285844,0.292355,255,0.135871,0.283136,0.1439195137254902,0.013095500483320031,0.137503,0.138792,0.146038,255,3.916256,5.019198,4.008575988235294,0.1169316904821595,3.9494875,3.978202,4.0426495,255,3.916256,5.019198,4.008575988235294,0.1169316904821595,3.9494875,3.978202,4.0426495,255,0.022753,0.042573,0.024529011764705882,0.0017538102642529058,0.0238325,0.024182,0.0246865,255,0.055277,0.111368,0.05771441176470588,0.004592424500330315,0.056463,0.056894,0.0572565,255,40.074835,62.438848,47.476502956862745,2.7017606662971323,47.589732,47.889073,48.0428545,255,27.090003,47.304161,34.599132329411766,2.4619449810953395,34.9624505,35.090893,35.1590045,255,0.020327,0.057162,0.022058266666666666,0.0024633027182687207,0.021286,0.021809,0.0222485,255,21.775042,31.018571,22.10515834117647,1.2649738345775352,21.870012,21.900101,21.930583,255,4.834544,15.656217,12.059315454901961,1.8246215645203172,12.654877,12.742373,12.810611,255,0.391645,0.569841,0.4102251803921569,0.0231878575801995,0.4008335,0.404663,0.4103085,255,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
SofaScene,12.146794,26.619308,13.72357635954416,0.6136097247448585,13.469475,13.632383,13.785352,1755,11.798439,25.731607,13.38547802962963,0.598901227246705,13.141311,13.286652,13.4440735,1755,0.008755,2.159495,0.25527181870845206,0.22768756996925743,0.051557,0.291055,0.409221,10530,0.008018,1.067247,0.10893225745489078,0.08869826219103878,0.02333825,0.1154585,0.18459175,10530,0.10555,12.284869,1.9438724312440645,1.9859177461152024,0.177707,1.263742,2.82252875,10530,0.10555,12.284869,1.9438724312440645,1.9859177461152024,0.177707,1.263742,2.82252875,10530,0.092286,0.336234,0.11813564900284901,0.014481637070138755,0.112148,0.118244,0.122847,1755,0.138814,0.475639,0.15712068774928775,0.015013012445806507,0.149234,0.154048,0.160058,1755,24.227253,61.511227,29.791202035897438,2.7164746638690036,27.9852035,29.730004,31.4703165,1755,10.411268,41.588512,15.426911901994304,2.553326339182307,13.709685,15.332194,17.13472,1755,0.074929,0.334577,0.08940119829059828,0.01231102362876586,0.0832345,0.087015,0.0910235,1755,9.614975,40.087112,14.559368772079772,2.4616285971121994,12.9288435,14.461778,16.231796,1755,0.106181,0.737029,0.2832169145299145,0.10939553088566643,0.2212515,0.258721,0.315435,1755,0.408806,0.983204,0.49276014643874644,0.032301877204386646,0.4731845,0.493504,0.509767,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.038427,1.718562,0.09563498399999999,0.12236002160294737,0.043395,0.0812875,0.11231775,1000,0.287641,0.448949,0.316489255,0.027636009949158272,0.29613625,0.302907,0.336346,1000,0.001253,0.016838,0.00191041175,0.0008344668299051423,0.001471,0.001624,0.002282,4000,0.00303,0.024645,0.00394695075,0.0009688907520068697,0.00337,0.003584,0.00442525,4000,0.02358,0.083643,0.02636246325,0.0038886704045405338,0.02434,0.024895,0.026472,4000,0.02358,0.083643,0.02636246325,0.0038886704045405338,0.02434,0.024895,0.026472,4000,0.020185,0.051947,0.022760147,0.0036221481222323032,0.020631,0.020865,0.02455375,1000,0.027242,0.072335,0.029525634999999998,0.0029198318142959873,0.02790375,0.0282925,0.03070825,1000,0.587181,2.594149,0.699618709,0.16027981151994883,0.61092225,0.6558355,0.7661085,1000,0.091603,0.235838,0.105936088,0.016137511017881783,0.0947,0.0980295,0.116274,1000,0.025799,0.053122,0.029695129,0.004586129507368823,0.026745,0.027445,0.03213375,1000,0.041564,0.135495,0.048507341999999995,0.009055946560632742,0.04255675,0.0436265,0.0536985,1000,0.00626,0.019354,0.007627481,0.001755605311463542,0.00652475,0.006705,0.0082335,1000,0.016625,0.039161,0.019497360000000002,0.002864838352577681,0.017486,0.0180425,0.0211575,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.037544,1.778663,0.095511072,0.12164829582685824,0.04348575,0.0811225,0.112264,1000,0.287024,0.42673,0.31422894799999995,0.026661870297360914,0.29416425,0.300127,0.3364235,1000,0.001206,0.023451,0.0019066929999999999,0.0009522822266802,0.001436,0.0016035,0.00230725,4000,0.003069,0.023826,0.00397049825,0.0010460805251016469,0.00337,0.00356,0.004461,4000,0.023357,0.072526,0.0260791685,0.0035189291136093876,0.023998,0.0245735,0.026522,4000,0.023357,0.072526,0.0260791685,0.0035189291136093876,0.023998,0.0245735,0.026522,4000,0.020176,0.058275,0.022801569,0.003595279751179176,0.0205565,0.020758,0.02457675,1000,0.027102,0.051536,0.029339924,0.002651010199192753,0.02769275,0.028052,0.03062425,1000,0.587324,2.620139,0.697573767,0.15892907677831866,0.60386325,0.651402,0.76690075,1000,0.091432,0.204863,0.106144546,0.01635378588596182,0.0944975,0.098184,0.1163545,1000,0.025584,0.069568,0.02958947,0.004659087535033014,0.02665475,0.027326,0.03177625,1000,0.041519,0.117527,0.048730114,0.009202465747342067,0.04260175,0.043824,0.05335275,1000,0.006065,0.019932,0.00761348,0.0016728280107650038,0.006434,0.006915,0.0082115,1000,0.016879,0.045128,0.019582298999999997,0.003027417825408148,0.017467,0.017969,0.0211995,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.034414,1.752325,0.066704763,0.11735053260631939,0.04246975,0.0537615,0.06709075,1000,0.285598,0.429041,0.300698398,0.01697904732020015,0.29268625,0.2963005,0.30117825,1000,0.001185,0.016531,0.00177313725,0.0008643846932427931,0.001392,0.001504,0.002219,4000,0.003011,0.022607,0.0037629255,0.0010034185088734161,0.003291,0.003423,0.00431625,4000,0.023472,0.062407,0.025267281,0.0025764537577917055,0.024169,0.024422,0.02577925,4000,0.023472,0.062407,0.025267281,0.0025764537577917055,0.024169,0.024422,0.02577925,4000,0.020092,0.059575,0.021015993,0.0018462966199803863,0.0205055,0.020684,0.020859,1000,0.027093,0.064254,0.028454641,0.0024239358927411834,0.027718,0.0279375,0.0281645,1000,0.602771,2.599237,0.665921768,0.14177411487562944,0.62237025,0.649296,0.66862375,1000,0.10353,0.242218,0.12710860499999999,0.016210569474851125,0.11621,0.1258125,0.13217025,1000,0.025663,0.064782,0.027727053,0.003450788817385237,0.02652775,0.0268865,0.0273485,1000,0.047148,0.13209,0.050542213,0.006867375676750982,0.048303,0.048819,0.04976025,1000,0.009121,0.063525,0.029705146,0.010133746442095538,0.0210425,0.031129,0.03608925,1000,0.016896,0.044658,0.018541609,0.0024129639384207545,0.01748875,0.01775,0.01819825,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.037133,1.563322,0.081489433,0.09996694459094722,0.07345675,0.0746185,0.07734175,1000,0.087087,0.227791,0.113228753,0.012560226896596693,0.11108625,0.1128075,0.1143245,1000,0.002076,0.016546,0.00315492,0.001184545150511368,0.002945,0.0030565,0.003135,1000,0.004421,0.024169,0.005880347,0.0011202282332591872,0.00570475,0.005851,0.00595825,1000,0.028792,0.080672,0.037227024,0.004934087510515394,0.0367295,0.0370225,0.0373805,1000,0.028792,0.080672,0.037227024,0.004934087510515394,0.0367295,0.0370225,0.0373805,1000,0.006375,0.028297,0.009680816,0.001835388302824228,0.009608,0.009761,0.0098765,1000,0.010719,0.039164,0.013116278,0.0016647064109674115,0.012895,0.0130075,0.01310725,1000,0.190474,1.926805,0.305413632,0.11192122373186676,0.29818575,0.3023765,0.305787,1000,0.01307,0.10071,0.039795686000000004,0.010418207597250307,0.040566,0.0412735,0.0418775,1000,0.002171,0.013846,0.003199076,0.0008356583394091153,0.003053,0.0031305,0.00319725,1000,0.007272,0.053451,0.017544789,0.0045092933429173795,0.01747075,0.017759,0.01797925,1000,0.001863,0.058404,0.016955698,0.006336510306374952,0.0181535,0.0183595,0.01851925,1000,0.001048,0.01053,0.001581065,0.0007654586538638126,0.001409,0.001465,0.001523,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.036844,1.464922,0.096041122,0.09864369656573663,0.07487975,0.1027435,0.10496825,1000,0.087936,0.178353,0.112137905,0.010033268742736585,0.11145625,0.1122305,0.11343425,1000,0.002088,0.015864,0.003137775,0.0010349032449340375,0.00299275,0.003059,0.003135,1000,0.004389,0.015588,0.0058417569999999995,0.0009803359219935786,0.00572375,0.0058195,0.0059,1000,0.029256,0.074574,0.03727427,0.0038194766022453916,0.0371785,0.0373775,0.03756775,1000,0.029256,0.074574,0.03727427,0.0038194766022453916,0.0371785,0.0373775,0.03756775,1000,0.006399,0.02587,0.00960677,0.0015859505128155797,0.00956475,0.009704,0.00986425,1000,0.010697,0.039639,0.012978876,0.0015194730345169012,0.012802,0.0129185,0.01303,1000,0.190384,1.771812,0.30816289,0.11003489444609786,0.2872955,0.3180815,0.32429325,1000,0.013071,0.067916,0.029508223,0.0068269596676171305,0.027394,0.0312875,0.0321335,1000,0.002131,0.012007,0.003179977,0.0006903481081823866,0.00303,0.003133,0.00322825,1000,0.007367,0.04352,0.016136347,0.003741322241479742,0.015809,0.0164905,0.01683125,1000,0.001882,0.045237,0.008153665,0.0032186079476654184,0.006541,0.009789,0.01002675,1000,0.000981,0.013801,0.0015125409999999998,0.0007619731900263946,0.00132375,0.0013975,0.001478,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006401,0.143548,0.008132063,0.009151076190865803,0.006791,0.006953,0.00716625,1000,1.140119,1.350919,1.170627753,0.03470490077666252,1.14598475,1.1541605,1.18945325,1000,0.066531,0.105809,0.06796813800000001,0.0031100891191340485,0.0668125,0.0669725,0.068615,1000,0.036703,0.075797,0.038480480000000004,0.003378105750209724,0.03723675,0.0374645,0.03879175,1000,0.022531,0.055912,0.023436673999999998,0.0015707763652805576,0.02292875,0.023076,0.02337425,1000,0.987131,1.132217,1.01726987,0.031665987298568475,0.99451725,1.0004995,1.03483075,1000,0.00274,0.00898,0.003069424,0.0006372322953397763,0.002877,0.0029305,0.002991,1000,0.011296,0.022172,0.011710958,0.0007156472820014061,0.01152075,0.0115845,0.011664,1000,1.175852,1.547138,1.209385952,0.03903983415696967,1.1834085,1.191422,1.22856025,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000283,0.000861,0.00037420600000000003,5.9791450592873225e-05,0.00034,0.000362,0.000395,1000,2.583136,4.961431,2.6310863870000003,0.182503898654728,2.59089425,2.598988,2.62437775,1000,0.050781,0.089551,0.052575752,0.0027427527713040412,0.051661,0.05207,0.05257175,1000,0.042895,0.072829,0.044703311,0.0020815208522325687,0.04418575,0.044448,0.0446925,1000,0.698219,2.027262,0.7166540870000001,0.09229725671459271,0.70457725,0.7065835,0.709083,1000,1.759778,2.764869,1.792691371,0.10336737278162467,1.7643945,1.768938,1.78619975,1000,0.001201,0.003709,0.001434343,0.00015834728084498326,0.001356,0.001414,0.001477,1000,0.012807,0.031461,0.01341217,0.001268670503755802,0.01309275,0.0132355,0.013401,1000,2.608223,5.025197,2.657938914,0.184901854376679,2.617152,2.6262035,2.6510745,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000284,0.009271,0.000350643,0.00028640507598679183,0.000314,0.00033,0.0003545,1000,2.611648,4.811999,2.66031192,0.16951749222958556,2.62227575,2.631034,2.6515105,1000,0.051511,0.083992,0.053147249,0.002486958253971908,0.052181,0.052454,0.0529185,1000,0.043138,0.080505,0.045162199,0.0031128924680109008,0.0443375,0.044553,0.044808,1000,0.700091,1.867489,0.71673217,0.08017991548492118,0.70542675,0.707491,0.71105275,1000,1.786585,2.769639,1.8209102279999998,0.10208946032212148,1.79455275,1.79784,1.81390525,1000,0.001181,0.010296,0.0014396690000000002,0.00031264060107254145,0.001343,0.0014025,0.001492,1000,0.012959,0.03291,0.013552079,0.0009426980559855845,0.013284,0.013399,0.01356675,1000,2.639682,4.868747,2.687208574,0.17166171141240122,2.64868475,2.658058,2.679233,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
